app.softwork	postgres-native-sqldelight-driver-linuxarm64	0.0.11		N/A
co.touchlab	stately-mingwx64	0.9.5		N/A
com.armanbilge	http4s-jawn_sjs1_2.12	1.0-148-8da8898		d31ae52021deeb8b18bf1cd4306375ba24576846
com.armanbilge	http4s-jawn_sjs1_2.12	1.0-377-020cf9e		c516aa6cd617e25b304846223debe932d47dc714
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.10.0		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.10.0-rc2		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.11.1		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.12.1		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.12.1-rc2		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.7.0		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.7.0-rc2		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.7.0-rc3		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.7.0-rc4		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.8.0		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.8.0-rc6		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.8.0-rc8		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.8.1		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.8.1-rc2		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.8.2		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.9.0-rc1		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.9.0-rc2		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.9.1		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.9.2		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.9.3		N/A
com.boozallen.aissemble	aissemble-foundation-pdp-client-python	1.9.4		N/A
com.busymachines	pureharm-effects-cats-2_sjs1_2.13	0.5.0		029a8e35a81bc2e1e1264f13ec8afb864e4771e8
com.cloudogu.conveyor	conveyor	1.0.0		bb9ef2a14788876c399414b662c33ffe247d8382
com.craigburke.asset	javascript-core	0.1.0		e0a946a3fc150ff1f8ff991706038c25a5683515
com.craigburke.asset	javascript-core	0.2.0		69bf528c6c4f98378c483410554e7ce2507c8a89
com.craigburke.asset	javascript-core	0.2.1		8c40537e3424ba8d80a28585a5b346794bf3fe07
com.craigburke.asset	javascript-core	0.2.2		c2665a0b1cca5acce6a3d61951899a61712ea7dc
com.craigburke.asset	javascript-core	0.2.3		86585c9b79c0b2a3aaa4920869f831bcbef53579
com.craigburke.asset	javascript-core	0.2.4		0158eb56d8d6d65196042d6dc1b65116ed911316
com.craigburke.asset	javascript-core	0.3.0		efc8b86ca8c46462945f46ffdaf949e6569857f5
com.github.alexarchambault	case-app_2.13.0-M2	2.0.0-M2		5e2fd68749532506a8c1c9e7365598f520056bcb
com.github.alexarchambault	case-app_2.13.0-M2	2.0.0-M3		3783a995f0212e2025159a84e507d97a0e9c0ef8
com.github.atais	fixed-length_2.10	0.1		e352731ff6e3a1a0f502db7c8c79681c498597c5
com.github.atais	fixed-length_2.10	0.2		1c0916b72db450d2f898ae617aeb1a5e8a3bd173
com.github.atais	fixed-length_2.10	0.3		eee1d6642bb9c5d9ed7f9b741011d46bce94183a
com.github.atais	fixed-length_2.10	0.4		f2244bac65baf91d44528e8511aae2d37c34bba1
com.github.atais	fixed-length_2.10	0.4.1		11c0ca39ce53dcb360f2459694a8f0aa136a0333
com.github.axet	libk2pdfopt	2.42-1		N/A
com.github.axet	libk2pdfopt	2.42-2		N/A
com.github.axet	libk2pdfopt	2.42-3		N/A
com.github.axet	libk2pdfopt	2.42-4		N/A
com.github.axet	libk2pdfopt	2.42-5		N/A
com.github.axet	libk2pdfopt	2.42-6		N/A
com.github.axet	libk2pdfopt	2.50-1		N/A
com.github.axet	libk2pdfopt	2.50-2		N/A
com.github.duanxinyuan	library-springboot-quartz	1.0.0		N/A
com.github.liaomengge	base-mybatis-generator-plugin	1.0.6		b014e61fdfa95462468edbd59cfa4baf21e4a43d
com.github.liaomengge	base-mybatis-generator-plugin	1.0.7		f70484480865d8f2b1c454f7903bcb617907fa18
com.github.liaomengge	base-mybatis-generator-plugin	1.1.0		5056e558602fa753563e6668941450ed4a036743
com.github.lzj960515	kq-universal-async-starter	1.0.1		949206861c69d8da815d533f7cd4c79a5ec79b6d
com.github.lzj960515	kq-universal-async-starter	1.1.1		e996167ae2a00934c86dde4ac47b572eb4ae044e
com.github.lzj960515	kq-universal-async-starter	1.1.2		aa2d9b5fb16db0725e2d12d5a4bff2067c08ec0d
com.github.lzj960515	kq-universal-async-starter	1.1.3		68adc34fcb398707be055a32437f4cb60c39998e
com.github.lzj960515	kq-universal-async-starter	1.1.4		95f16eb0d798162f95a259f97b4f8101cdc56f56
com.github.lzj960515	kq-universal-async-starter	1.1.5		e4d39464960a333c15a9601a462a8ad517abbd14
com.github.lzj960515	kq-universal-async-starter	1.2.0		4677cfa2a98882638114c8c4b199a5da874f3833
com.github.lzj960515	kq-universal-async-starter	1.2.1		81e9f5feca7d7d5feffcc9f80a10c5badc505ca5
com.github.pocketberserker	dog-core_2.12	0.4.0		d5602bce8744ab25ee78eabde81b3136bffb9d92
com.github.pocketberserker	dog-core_2.12	0.5.0		dbfef8061487cda5f67bb2634fb1be6372a91fd1
com.github.pocketberserker	dog-core_2.12	0.6.0		2e4db076b7248b84e4740fe24afe56fe566d5a00
com.github.pocketberserker	dog-core_2.12	0.7.0		ebf8a6c2386be8c1047ec4cd8f2f7c04975daeef
com.github.pocketberserker	dog-core_2.12	0.8.0		7c67af9ad024b102f7cbc67bc439bfea0e45f7ad
com.github.pscheidl	fortee	0.2.2		11ba7e456d1f2942fd08b5ee682d9ff126a46861
com.github.pscheidl	fortee	0.3.0		8ba7f6cbd512b4699e8d004309c345cd6055bb92
com.github.pscheidl	fortee	0.3.1		998b4e4fdbc160ef2c7bc32da8df1493fd3e3f66
com.github.pscheidl	fortee	0.3.2		242e7e7e4c21dff40f36568072a4c784204f97dd
com.github.pscheidl	fortee	0.3.3		29aaf03eeacce5608fdb42a2cb5c2188827f3e70
com.github.pscheidl	fortee	0.3.4		a53590d7f480ddf8fc49bc68ef6e7465bb33622a
com.github.pscheidl	fortee	0.3.5		535a33f2bd53a626b2d999d1e01885fcdbeaf518
com.github.pscheidl	fortee	0.3.6		54d288455195cef1cb4ca495bce82961b9596e20
com.github.pscheidl	fortee	0.3.7		f1ef926c5926cbe95d9314f3f0ceb38886979b8a
com.github.pscheidl	fortee	1.0.0		ee1cf6504e1cb1fe5fe640563bfae36eb6294ecf
com.github.pscheidl	fortee	1.1.0		2731a0d2d0250f4e1d6987174abeaedbb6fdd8ad
com.github.pscheidl	fortee	1.2.0		97a84d3e2eb1849438e18f5688ff68c3397617e0
com.github.scalaspring	akka-spring-boot_2.11	0.2.0		bee4227ee46650154d333c3bfb977599162c2760
com.github.scalaspring	akka-spring-boot_2.11	0.2.1		80d106a546e73082a3d30a4bc41d22335647ee65
com.github.scalaspring	akka-spring-boot_2.11	0.3.1		3287ab5f1739076230ec1360389a22e2f234c4f3
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.10.0-preview		8acd84cf7f9061e37f2ad4338d5b6b71da7aaf4c
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.11.0-preview		16f52c157ba0cbae85e16afdbfce2845b1f8440a
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.11.1-preview		90a7f9fb71d4804e9db47644ebc5e1a7b666f6b5
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.11.2-preview		ee0044f2b0469ab9ea7615bf6e7868d8c22d2e27
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.11.3-preview		e3de07e6cdfbc0da6ce6797153b666493f126147
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.5.0-preview		955b802140b711cb338081d75577bf3ce45ebced
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.5.1-preview		b682f8c43f1a38c88a4f862ed802b69961a0a33e
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.6.0-preview		e5d42596129ae60350d70770d2a94fe968ddf165
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.6.1-preview		0d3a123519a4bfa4fc51ce8915928827c1987411
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.7.0-preview		ea772145b9cf718fe29915543a7cba181b972549
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.8.0-preview		7848287f92db0d74e4909a9c566b5c7fe048be35
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	5.9.0-preview		a6b1ad9e256f1b8901a6973568f3632957cc05c6
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	6.0.0-preview		03d8e7cd50aed94ca8600b1059d399ab8bc31e4a
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	6.0.1-preview		15310508e01953d188bdacc4b07fbb76713edfad
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	6.1.0-preview		2af80a18e6919508cc02cdffb2b9941e0204eb1d
com.google.cloud	google-cloud-securitycentermanagement-spring-starter	6.1.1-preview		00d7871fa7c2cd1ea8f03b855896452c477e02dd
com.helger.peppol	peppol-reporting-support	1.0.0		f677290863fef39c149183f25157952bf5900605
com.helger.peppol	peppol-reporting-support	1.0.1		fdc4d06241f5782663c279b8c6d8a15aaa92b77d
com.hynnet	zmq	3.1.0		44b1a02d4e1de2ab99bb92629473b796a4dd59f7
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	18.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	18.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	18.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	19.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	20.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	21.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.13		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	22.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	23.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.10		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.11		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.12		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.4		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.5		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.6		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.7		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.8		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	24.0.0.9		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	25.0.0.1		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	25.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	25.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.javax.persistence-2.0	25.0.0.4		N/A
com.jwebmp.jre11	jwebmp-angular-animate	0.62.0.1		fa53c1589713a52deaf63bca7de7877f50fe1565
com.lateral-thoughts.stub	http-server	0.3.2		8412c41cea5f44492b667e2348413e83e899c8ca
com.lateral-thoughts.stub	http-server	0.4.0		9064fca26a32083e1279d61e01731be3a8d3e704
com.lateral-thoughts.stub	http-server	0.4.1		298ef034cd4fc852b89a929a171750f31d64c8eb
com.lateral-thoughts.stub	http-server	0.5.0		554fa651ed912e7b350c9011cb0cd833e54953c0
com.lateral-thoughts.stub	http-server	0.6.0		bfd3b51c9f768133badd2eaa89dd6035525941de
com.lateral-thoughts.stub	http-server	0.7.0		6697ef97089eed3c8173e3c07d871f7fea26fbe3
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.8.4		N/A
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.8.4	metadata	b110555a3bf6487f11d8380dae920795b92937ff
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.0		N/A
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.0	metadata	0fecad5118170eea6a13a6861fc97cc7d68cb84c
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.1		N/A
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.1	metadata	1445bf725c42d6854cd9becd92a0769f3bc9567f
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.2		N/A
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.2	metadata	df2d8346244f9fbfe06d07cd78a87a5910e0208b
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.3		N/A
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.3	metadata	58afabeddd37079fee74a00e49325f371532f668
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.4		N/A
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.4	metadata	4f725cd3259c0edf75c66b968c7e2ff8ab202c8d
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.5		N/A
com.monkopedia.ksrpc	ksrpc-api-macosx64	0.9.5	metadata	90e3741fcd4c53344065a4dc8bda263284eec854
com.oath.microservices	micro-error-codes	1.0.0		6835ac2c95f2eb9aad0e5b96b57968aea2308e9f
com.oath.microservices	micro-error-codes	1.0.1		0a524eb3315e7c7039d883c18a03a2876ef7dfbb
com.oath.microservices	micro-error-codes	1.1.0		65275d8f5c65a3e8faddbf2e2f8da11bc2aeae18
com.oath.microservices	micro-error-codes	1.1.1		c6648619c7aa174175c4abf7d86ce6b97a3cb837
com.oath.microservices	micro-error-codes	1.1.2		a584b3aa1ce4520fe19eccf4c35f06ffb5d60fec
com.oath.microservices	micro-error-codes	1.1.3		d67657872326a6729c493ab633ac292f4b201d8b
com.oath.microservices	micro-error-codes	1.1.4		ba39b51ec8d31be0a2590d2ef230f7dc7f96e61b
com.oath.microservices	micro-error-codes	1.2.0		c2217f9258fb3858164a08e8de1eb4130baf6fa7
com.oath.microservices	micro-error-codes	1.2.1		83a9d2606dceae935efdb3372dc297e7d7755761
com.oath.microservices	micro-error-codes	1.2.2		3eae9719dfe0c7ab2e069dcb76df9a0b49445fb2
com.oath.microservices	micro-error-codes	1.2.3		f461396633dfdeda42f2b91ab129bc1ba92323a2
com.oath.microservices	micro-error-codes	1.2.4		173e56067bb8ede2d8e170407c46018ded5ca96c
com.oath.microservices	micro-error-codes	1.2.5		a76bfd09620fed4562c9448f970024f1efb4a164
com.oath.microservices	micro-error-codes	1.2.6		bf9cee16e81e955460d1b17b6ed02d0368d1e614
com.skrstop.framework	components-util-db	1.2.1.20231221-RELEASE		e0938f240e2a01bbb11ec3dfc50d0a56f120c801
com.skrstop.framework	components-util-db	1.2.2.20240510-RELEASE		7f6ecb66867d984ee5a73615b92a23ae0551167a
com.skrstop.framework	components-util-db	1.3.1.20231221-RELEASE		35eba59b5ccfac07e4deefb8291d94cf27aac94b
com.skrstop.framework	components-util-db	1.3.2.20240510-RELEASE		a0e2618238d238c92507efb169602b2f35bf0c5d
com.sparkutils	dmn-4-spark_3.0_2.12	0.0.1-RC1		a8da49e9dea61798d59d46d761320e3904c7b9e6
com.vaadin	vaadin-date-picker-flow-testbench	1.3.0		3c37edb12412e54bdd2797f3b0b3b35bbcd218f0
com.vaadin	vaadin-date-picker-flow-testbench	1.3.1		99f06801f8275c1cd3efbf2090c99a0eaafbd8c4
com.weavechain	bulletproofs-gadgets	1.0.1		e06a8dc81a60b3215d47c101c38e642a779d1b18
com.weavechain	bulletproofs-gadgets	1.0.10		9e3cb7de75407420dd9fb70f899eb63d5b4804b5
com.weavechain	bulletproofs-gadgets	1.0.11		ebedbe2eb13d16278a0c92c3112c6dedc1895f4f
com.weavechain	bulletproofs-gadgets	1.0.2		00d9c380dfbf72fc35afebe3c1165c3a24326e34
com.weavechain	bulletproofs-gadgets	1.0.4		00d9c380dfbf72fc35afebe3c1165c3a24326e34
com.weavechain	bulletproofs-gadgets	1.0.5		fb70c58c32f8fe08f243f50c70aac434513f2cc5
com.weavechain	bulletproofs-gadgets	1.0.6		7db6cf9529c45999c8961d046deb481037e91a64
com.weavechain	bulletproofs-gadgets	1.0.7		0670b7d034ca79a24be5120b741add8b107d5bc0
com.weavechain	bulletproofs-gadgets	1.0.8		c052eedb72b6f5a925c15da5474919890dfdf972
com.weavechain	bulletproofs-gadgets	1.0.9		037ef6aa123405a83ffcec11be8ae5151d04595e
com.websudos	reactiveneo-testing_2.10	0.3.0		fe3859152e13675be72421587c43f3b1bbfee2a7
