ai.yavar.mavencl	copper-ai-android-sdk	0.0.1		N/A
com.beachape.metascraper	metascraper_2.10	0.3.1		ec614afb674af88a04b8f8ebfa424dff6da8362d
com.beachape.metascraper	metascraper_2.10	0.3.2		ff32c171d5b30ba8b6b4c4fb549c48c4136eaf0c
com.beachape.metascraper	metascraper_2.10	0.3.3		ca35be7d991be6dc65974cf97912b70e953058a8
com.beachape.metascraper	metascraper_2.10	0.3.5		60e1a867845d3246490077af51d66fc52636820f
com.beachape.metascraper	metascraper_2.10	0.3.6		b49c2128881dfbc8e0ce744d9ae6ed68788ec3b3
com.beachape.metascraper	metascraper_2.10	0.4.0		d4d14f356462e1335c6e290101993db2a3adec83
com.fakerandroid.tools.build	dex2jar	1.0.1		866cc75dba70db80c48f6d4db4b1618f9ef083be
com.farao-community.farao	farao-glsk-document-cim	2.2.0		c4b6a80bd3a25e47f3a282e222683bb1c1dee71b
com.farao-community.farao	farao-glsk-document-cim	2.3.0		bb3e76fe053a90eb93044ac5d88742c0bb243afe
com.farao-community.farao	farao-glsk-document-cim	2.4.0		60b4f4b611dc1b95f3255caff78b9f778dfe22b2
com.farao-community.farao	farao-glsk-document-cim	2.4.1		b8d6beca0dbfc47969ef1d87351ede87d032089b
com.farao-community.farao	farao-glsk-document-cim	2.4.2		d5bd8bbaaec7e1dad48a3d148293e99ffb8c4090
com.farao-community.farao	farao-glsk-document-cim	2.4.3		b63a0434921011cb05566df88f6da0056cc83542
com.farao-community.farao	farao-glsk-document-cim	3.0.0		0e5f37d82e772ed5112cad1bed304ffe6443abbc
com.farao-community.farao	farao-glsk-document-cim	3.1.0		eb06e2f8b46b506a73981b6e9e2df706d4eca468
com.farao-community.farao	farao-glsk-document-cim	3.2.0		0063b91dbcce924fd17b48178840ef644a2e32d6
com.farao-community.farao	farao-glsk-document-cim	3.3.0		efbf419c83e2b3fcee2f4a1e0a5489dff342d013
com.farao-community.farao	farao-glsk-document-cim	3.3.2		f141b13cebbff319bbff9ac7e1e1ce31f05f0e11
com.farao-community.farao	farao-glsk-document-cim	3.3.3		88ed97e9152cbbf8388a22264a6965e3066d3e06
com.farao-community.farao	farao-glsk-document-cim	3.4.0		80e67be5392b0472dc802fb7905d570ea27771c6
com.farao-community.farao	farao-glsk-document-cim	3.4.1		e1221c58e6b692cf67700b0c369aee13791b01f6
com.farao-community.farao	farao-glsk-document-cim	3.4.2		f5dcc4323577578e1ee0e2d56bb2603ba2c8b344
com.farao-community.farao	farao-glsk-document-cim	3.4.3		d9ff499af3a80a870895a2271ac4a3c57d3962e1
com.farao-community.farao	farao-glsk-document-cim	3.5.0		9850747c7756724e3d3bbafeec972f966147f3ab
