au.com.dius	core	4.0.0-beta.0		22375fc9c9508bebc0be7119ce3996b3c8a859af
com.github.esrrhs	fakecore	1.0.10		a377da74ac22d8c30721230826f804a86b6e72e8
com.github.esrrhs	fakecore	1.0.11		316d3366632e672287e5059aedb9eb8781515c6d
com.github.esrrhs	fakecore	1.0.12		305b0f3d57c807e1e05a4b5bd2691ee4aebb16cf
com.github.esrrhs	fakecore	1.0.13		1e069eb1bbccddaaaeacf7facdbdcea0b4079138
com.github.esrrhs	fakecore	1.0.15		c62da928fc42063a1179335d318e423d5c1f16dd
com.github.esrrhs	fakecore	1.0.16		39f52fde036331ae4a320a51ab53bdd4d9567338
com.github.esrrhs	fakecore	1.0.17		33a27c22a57f97330df098c31633ba44039fb917
com.github.esrrhs	fakecore	1.0.2		4af4096a313e83b4df5c670bca2fb442d0f9e09e
com.github.esrrhs	fakecore	1.0.3		867fbe2c45a2d3d7ccad5fd7f76c5bded63c1153
com.github.esrrhs	fakecore	1.0.4		567b7d3321baaee166b55356a54713da88ebd0f3
com.github.esrrhs	fakecore	1.0.5		9df3de095aa5725a590652c3227f4d810ad0c2d5
com.github.esrrhs	fakecore	1.0.6		6171363f58bbb811feb5dab84f9eb19242898891
com.github.esrrhs	fakecore	1.0.7		7d9c39b79bf73d32991291534f61cb3ee8033804
com.github.esrrhs	fakecore	1.0.8		f4ee0c7205993a59d602adaae76307783fe5e574
com.github.esrrhs	fakecore	1.0.9		c29bdddd1659091af2dacf6e94f20f2e94f24569
com.github.frtu.tools	spring-boot-admin-web	1.1.3		f3b8eaf97272ba5c014141fdfc77156a85625d74
com.github.frtu.tools	spring-boot-admin-web	1.1.4		5d590da0530fd2731face0f31fabcc31f26416a0
com.github.frtu.tools	spring-boot-admin-web	1.1.5		e83ec67e1ccd086a580c848ae76ed3ca3b586c47
com.github.japgolly.microlibs	compile-time_sjs1_3	2.6		3463a9ea4974f0ec30970f2e9454b948336fd637
com.github.japgolly.microlibs	compile-time_sjs1_3	2.6-RC7		b5d956f9dd91dd91d61d7875541aecd56acc3503
com.github.japgolly.microlibs	compile-time_sjs1_3	3.0		2a2c6d6cd6ae2378a89cd9426ba5816f428a9ba2
com.github.japgolly.microlibs	compile-time_sjs1_3	3.0.1		ec5fba327a688917bc9811f976a171c196414cf0
com.github.japgolly.microlibs	compile-time_sjs1_3	4.0.0		e4151eefc3c42ae08de69ddf0de0f7a2051c5f3d
com.github.japgolly.microlibs	compile-time_sjs1_3	4.0.0-RC1		68b5e67c37cf79fc35d3e85eac8b89857c11eec2
com.github.japgolly.microlibs	compile-time_sjs1_3	4.1.0		5ea31cf59674af86adc379a50635a4e907c06d01
com.github.japgolly.microlibs	compile-time_sjs1_3	4.2.0		da47dc9f6c5a7f94a71b847f2b1f5b69f14439bb
com.github.japgolly.microlibs	compile-time_sjs1_3	4.2.1		59ccfe0e10b269dfb7f81719727279444a4a174e
com.github.mheath	nats-client	0.4		d5a70e62a69351e62be6f75bca4ffff6daa99b8e
com.github.mheath	nats-client	0.5.Beta1		3ccac577e41e263ee0221c309dbf305bbe19aaba
com.github.mheath	nats-client	0.5.Beta2		287f94fb607c92cfabb635f45ae48dece860dc74
com.github.mheath	nats-client	0.5.Beta3		67416f09b3afdcc254add04d66ed6ae5cb19f7dd
com.github.mheath	nats-client	0.5.Beta4		486f7a2841837ed9826656fa380b5e4dde94cb31
com.google.cloud	google-cloud-visionai	0.1.0		a552c651809260576b6b58c8fdb7e706c399c42e
com.google.cloud	google-cloud-visionai	0.10.0		7a6082095b3b4eb2817a295370f4b0be2e87a75d
com.google.cloud	google-cloud-visionai	0.11.0		adfe9713ab34cc0a04bdb0fffeabd1f6e9333add
com.google.cloud	google-cloud-visionai	0.12.0		0323f335ec8c9797f9b4f0b82135600887ead33d
com.google.cloud	google-cloud-visionai	0.13.0		405a475ab8782367c923fe9b0b72bb6c2ccc4783
com.google.cloud	google-cloud-visionai	0.14.0		08cac6aa111008cfebb433ef3291f5aa35113fc5
com.google.cloud	google-cloud-visionai	0.15.0		b41a59d03c3b3e55d3683860301dd06b003c894e
com.google.cloud	google-cloud-visionai	0.16.0		f6144b8b16e183f0c00e6cca348df6690cf1c146
com.google.cloud	google-cloud-visionai	0.17.0		96376787b3dd0184d646fe85c1d6c0a9d908894e
com.google.cloud	google-cloud-visionai	0.18.0		e9c2cb482e68107b4b3b2902b85c40328d239293
com.google.cloud	google-cloud-visionai	0.2.0		bc824e5c68260c4f9dd60bf3c3041b154aeb587f
com.google.cloud	google-cloud-visionai	0.3.0		4f284b4a7a94ea46054426a7f175ad8433e3a153
com.google.cloud	google-cloud-visionai	0.4.0		3c9746b3cdfd8cf42f92ca0b24d4d254707d5fba
com.google.cloud	google-cloud-visionai	0.5.0		8635783fff169ad91ab14c209065b45303417fed
com.google.cloud	google-cloud-visionai	0.6.0		d53d63ce025a35023d097873c2491fe199b4cf16
com.google.cloud	google-cloud-visionai	0.8.0		3afff115df62ef8a49d1b87c6d1186bc7bd661dc
com.google.cloud	google-cloud-visionai	0.9.0		263c9c6edffc21adc340a062a12e5e19821f292b
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.0		75635b14ca69a95537db68087cde894b081ffce8
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.1		22eaa1a1a6c666044fc22d8f3dcda299eb04f72d
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.10		58a5f709fceeee9cbe83da87ede93931690c5018
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.11		da51ca27623fc89b2c076b19bb2051306682719b
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.12		fdff201f15ab0621521cb8fefc04edb051d50d85
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.13		f74c04089d8d12f11ae9535a520695b7bc7df696
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.14		2802337cc35abbb88c12bf8064fe8a0d3b3dc000
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.15		5f3deea6207fd0f0d8cdccbf2316dcc4ee77d099
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.16		a7648235037164c31248498dd22d07408677b7ad
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.17		c353703762fc261223ce2c7348fa0bef4e37b126
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.2		66df61303151d426ba29fe4036c29d755e431d0b
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.3		01602dab1419d527b946ec2e0166def72ea213c7
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.4		477e9393057c499c257194a25fdd98d1fa4fcc6f
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.5		57e80c39a722123f899f2b5c862678aabc920633
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.6		e1324a2294d9e9aa9406e4fef0aa213a5e0ba45a
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.7		1d5fac38fee865ee281d6c0b75181401fda11de8
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.8		09171428b7844acc9136bfcea5f0bc29b5586702
com.liferay	com.liferay.fragment.collection.contributor.cookie.banner	1.0.9		01a49942274dc8bf48a6c425fffc732d345536a6
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.38		821119263c5e69bb085cb02b796c6b2e23942248
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.39		14c35d79225d53b96e36f376425f181348fd2b3c
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.40		1b48971011c1fa4bf79483e2707c0a775a62da37
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.41		1d6fba2eec06886aede6ef355802533677797a02
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.42		d915d65ee972f9ce270ab0c80fcbba9f0fa226c7
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.43		b0ec084a27f9d079503d1e2465727c471d1389b6
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.44		ee4dbf9d5abe551bcb06c572eed22ccb73469ba0
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.45		d0cc3f4e855ef6cc0556b7b5ccc515a438d526b2
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.46		240b2b7d933c88aae20c70e6e911066223d8aaab
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.47		caaf54477bf29204c52ece64a6026bdb3e43d050
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.48		cc849c373266830bf0e5db0331e6c06867f9e0c1
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.49		1b1ff0213a92769c5daa71d5857e7bd80261d762
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.50		272e741a887e6618026b439164d0f0726f99879f
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.51		1692317496f098a6410b52d97c04f6cb7f40ee68
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.52		642d153f6e3da5b7f8d489fe297efbaca2070c21
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.53		83fcbe73a4fda859d6489bc153a0c4d538f3b390
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.54		a09a1b5fa254aeddb5d12a61a6e1ec8be73d7995
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.55		fc41cf1e9139b075560bcd3b308647cbf9705ff6
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.56		05bcb12c65bb9c2b457f83b2f4b0a3c9ec69c436
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.57		865c61158ce9c60e4a854cfbd26a85b9acb4b249
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.58		f3c4e4613d23c912ebeb0a4a1e5ec7392052379e
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.59		22dda6d4be4943dd3868e2f8185fd5c525722b53
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.60		1d74a4b405b0d3e9d1fd457a1e35c7461abeb6a8
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.0.61		89f3bb59c7146d7a941461dbfc9acf52b6667e28
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.0		f4ab402a3430baef2ec0f17237f1e2742201bb23
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.1		43e370859b20feb9fd4a1deaddb8ce9ee5056ad2
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.10		6f37b144865870dc6eaeed32d89b4413fba29d7c
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.11		35143a5c6c00866f899f97a2dcb301597ce27bf5
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.12		996c36b0d4ac50a42fb1907532b0db4235bd87fe
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.13		b3de49d399ceb1680179d8aeff587f9c7f501ced
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.14		995acddcc7bbca2168ff0274d0af1f06db492db1
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.2		8e6605f7450566d6f35e6ca2f3408c8ee05b68e0
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.3		f2d75d327564ffdc9c0f7c12711c6df0155c6549
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.4		90d23b07c384817e69d434c43addd329f210ae0d
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.5		e7928879f25dfdb566c8d6c05ba09cca0c89a9d6
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.6		3e1b30a8f055b7f5e0e3cd7b02f62e05f7e6ba52
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.7		c3fc415a6ef7e06e465628d8aae7c53457a82534
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.8		da120bfdb915c6f94a0adb84629eac4a321811a1
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.1.9		6a5af20467ce6a9abea8da9849dd932656cd332e
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.0		36cf4e7e754396a3c63d7e0cf7182aba926c0cc1
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.1		1abbd69f5402e3d3cc17e05ad6b832064c5461b2
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.10		9742292a8924340ef8179769dbc32f148cabe543
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.11		352f1e6f2474bf08544063c5789484b508be09cc
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.12		b61a4491fa6c4d65d64b2ff867a08791a2950ffa
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.13		26f9632d37f260b98390a498ad682bc8003e5542
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.14		23d15e4af27a448fad07c7c6e55ea436a74d882e
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.15		db2ada3a54ad6b35415f3328872bf42a00982e32
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.16		01f86b1c2ce296d5877a427725414135214a59e9
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.17		7c304252dd67ede8873a6303ea033e062dcdf8be
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.18		e938582c71e09f57d15fe27c8e17dafd1ddf3b25
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.19		c65cc6b5ce9dc7f3ef74fd479a091b2132877a18
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.2		a244ae1848ed7fbaae3d6bf9da0154455d3a53b3
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.20		7668280c1982d90f3ddc8ac850b791735afcb4af
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.21		17dde66e7063f7f95dc11de71012b353ad557dfa
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.22		1229fb4eda8f537ae1c2f40f3002b0952afe7a1d
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.23		9b9e8913881979765b8ad8325c72806b81a266bb
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.24		5629c809cfcb31af684818c78e3f0bc78bf76557
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.25		90a70b998250bd839d5cae26d04ca52a441daedb
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.26		e2c167a2bd119c8b3765a559600abaf0f24218c2
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.27		082d67d60ef5a9fe903c609fd8713c9bdbbd62da
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.28		b129d770b1fb537970cbe59d1cd6cc532ad60987
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.29		81ccb83fff845de8bed27475f0fcde801d88267d
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.3		66fb7a39c76ee9f4b5d50459cad9c294fe95a095
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.30		4163001caa3e9f6b2e971f93f5262bb61cf2e0ea
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.4		205afbcf918e0e01102d0841c202bd4357c309ee
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.5		0e7e16b9cd70253d0af35f99e3d0b045e98c6dee
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.6		44dae40a07d9e7185fbe318e0985faaa9d69bb67
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.7		d4f202404fc6bca4370993252c8256b7ca2fa173
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.8		f0ea877a1c0b057d38969e6228f1185883f4ccd2
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.2.9		0dbf4ebac9b3744322b2794d53f5f901426b6ea3
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.3.0		ef31e2c38a72c8632853d0ac20b4f740b4743162
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.3.1		7aa4deaded2c2f95cd0ae24fec2deec61c7b1e78
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.3.2		71f115421f4a82c28774f5407a5dcde8f4b9045a
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.3.3		e66635881eeabe080bd6b3c75caceb0838483f86
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.3.4		0ed8872e59d3a2cbfc68790b937482211150ab7c
com.netease.nim	camellia-id-gen-snowflake-spring-boot-starter	1.3.5		4381deec06296e2fb4c4c06ad39116292a5fd92f
com.rallyhealth	play27-json-ops-common-v4_2.12	4.4.0		9b775bfb0403ccf7dde51cde47d1cf0068bb0b2f
com.syntaxphoenix.syntaxapi	config-nbt	2.0.1		6987e37658e5aa46c18425874e17d11590e2fee1
com.syntaxphoenix.syntaxapi	config-nbt	2.0.10		b1a5714222191287e3b34dd1646630ed3ea088e4
com.syntaxphoenix.syntaxapi	config-nbt	2.0.11		8921f327269e407aa5416a979c943ea222866f99
com.syntaxphoenix.syntaxapi	config-nbt	2.0.12		45969a0744ff18bc9a1260e684cf898c2a02838d
com.syntaxphoenix.syntaxapi	config-nbt	2.0.2		14ab86972c163a8bb2a8af69fc2acb452022301a
com.syntaxphoenix.syntaxapi	config-nbt	2.0.3		32371109a7414febc914caad679ab3fa59e0f6f0
com.syntaxphoenix.syntaxapi	config-nbt	2.0.4		9f86db50a31a83673e1be1485446c890781c677f
com.syntaxphoenix.syntaxapi	config-nbt	2.0.5		088ab100e38f8e9b08db6905ec6b115e6904432d
com.syntaxphoenix.syntaxapi	config-nbt	2.0.6		31c7248304f66cd14c395a5ab43abc044539671f
com.syntaxphoenix.syntaxapi	config-nbt	2.0.7		cc8d85684f7cc6c99df3974212b6a49d9e17513c
com.syntaxphoenix.syntaxapi	config-nbt	2.0.8		2063403cb5ba2b0ae5ac763e69a80cd7993772d9
com.syntaxphoenix.syntaxapi	config-nbt	2.0.9		61f972b0613d023888e2c5b4c05efa0041550169
com.thesamet.scalapb	sparksql30-scalapb0_10_2.12	1.0.0		c4f563a18d0c7a85dc3d919c7595751b0878af86
com.thesamet.scalapb	sparksql30-scalapb0_10_2.12	1.0.0-M1		4862b4a0a5d99466300b149262f781afeb5af448
com.thesamet.scalapb	sparksql30-scalapb0_10_2.12	1.0.1		b364333707f131748b162bb52108f75038197216
com.typesafe.genjavadoc	genjavadoc-plugin_2.12.1	0.10		17159e1c9bc84c4a9436df0f63cfa777ca051724
com.typesafe.genjavadoc	genjavadoc-plugin_2.12.1	0.11		5eb057a6b95eea9be350fac2debb849b5cee4375
com.typesafe.genjavadoc	genjavadoc-plugin_2.12.1	0.12		839c86b5ae8446ac5f539deda62ae2c9402fa5b6
com.typesafe.genjavadoc	genjavadoc-plugin_2.12.1	0.13		5dfaac00e67995b1bcbd290ba0ba493a83c74b92
com.typesafe.genjavadoc	genjavadoc-plugin_2.12.1	0.14		5884eb18d113e62aa6092670a3580fbd7ca5d907
com.typesafe.genjavadoc	genjavadoc-plugin_2.12.1	0.15		948594bedd373ea87ae7125a6dc06de0d19c6a45
com.typesafe.genjavadoc	genjavadoc-plugin_2.12.1	0.15-RC3		bbc7275edf0c7d8647e01df4c16284060c36c708
com.typesafe.genjavadoc	genjavadoc-plugin_2.12.1	0.16		71b54a55d6fe28f88b5fc589aac550329919b8af
com.vertispan.j2cl	minifier	0.10.0-3c97afeac		400a9228227d995cba5e58b675feed18894deaef
