com.appmattus.crypto	cryptohash-androidnativearm32	1.0.1		N/A
com.appmattus.crypto	cryptohash-androidnativearm32	1.0.2		N/A
com.attafitamim.krop	ui	0.1.0		4c29c7e24ccf5fee36ecd4ed62540f2cceabee74
com.attafitamim.krop	ui	0.1.1		09e1e92100568a3c7dd395b1c52e1aa528e69e42
com.attafitamim.krop	ui	0.1.2		17660b45232bb027eb1fc2b2744b5f0716fa43f9
com.attafitamim.krop	ui	0.1.3		ade8661e685ee02f26f8342646a455ed8a12c174
com.attafitamim.krop	ui	0.1.4		ade8661e685ee02f26f8342646a455ed8a12c174
com.attafitamim.krop	ui	0.1.5		caae47747420284fb194d998b544c191e1953a44
com.attafitamim.krop	ui	0.1.6		caae47747420284fb194d998b544c191e1953a44
com.attafitamim.krop	ui	0.2.0-alpha01		b7aa23b1a50e12b25f9a7579c1076575e6687056
com.attafitamim.krop	ui	0.2.0-alpha02		6fc4db9016e035049740fc1eb1e51e0458a2ea27
com.attafitamim.krop	ui	0.2.0-beta01		c43366e05adb757589f822aea58818cb0662adc3
com.dicicip	vail	1.0.0		1e6c7eaa2d8979f13ceaa02c9635c49cc35371b3
com.dicicip	vail	1.0.1		de8c3921b239f0efaf914bac8eb850b47dadc8de
com.dicicip	vail	1.0.1	exec	60d9aefe5abd188d7409b28c58d608a91360368b
com.github.aishfenton	vegas-macros_2.11	0.3.0		a2077e6485fbc7e733c505019c642838448adb0a
com.github.aishfenton	vegas-macros_2.11	0.3.1		75e6e7a6103b953ed4fc4f80db913f61bc88cf8a
com.github.aishfenton	vegas-macros_2.11	0.3.2		f53e1839ab32d3d3d3b19a4318edf145ad8b888d
com.github.aishfenton	vegas-macros_2.11	0.3.3		4f0ef394316046079202fb7358c00eb2ddf3cc7d
com.github.aishfenton	vegas-macros_2.11	0.3.4		9397061bb5c1db975f08bd7b7ecd6753974b05d6
com.github.anastr	speedometer-android-debug	1.0.0-ALPHA01		N/A
com.github.anastr	speedometer-android-debug	1.0.0-ALPHA02		N/A
com.github.davidmarquis	redisq	2.0.0		ffa54bea62bf8ec5b779616066e031f8f16a5c14
com.github.deepexi	optimus-commons	1.0.5		9f7fcc6683ac5c24316bdfaf5dd049e5c29703bd
com.github.houbb	iexcel-hutool-core	1.5.0		ae883f1f890a54269d53647b76fbe001cb883a30
com.github.houbb	iexcel-hutool-core	1.6.0		1fe2d5b83bfc9aa30161bbd4539e21f63d2b9dad
com.github.houbb	iexcel-hutool-core	1.7.0		e5bb21588f59749b3fa4d747e92a4bd0337f71ed
com.github.philcali	monido-core_2.9.0	0.0.3		d81b1b77e7ee792f927d658a7f47ff6953e0f40c
com.github.philcali	monido-core_2.9.0	0.0.4		1959bafc8ad1521d805ed1a9614023b7fe2a0c8c
com.github.philcali	monido-core_2.9.0	0.1.0		1eef95bccca0f40aa1ebbd7f2c3710cf696ff866
