com.spotify	magnolify-bigquery_2.13	0.2.3		3ca412b1f5b32572d403575c96ac95b45f540d92
com.spotify	magnolify-bigquery_2.13	0.3.0		ace178a177479efc04a2e4de92a4f1cf19cea343
com.spotify	magnolify-bigquery_2.13	0.4.0		1b6c3e6264ff286de0b24f9cd60f8b71ae8e8195
com.spotify	magnolify-bigquery_2.13	0.4.1		36d83561a880b0fcdf6f927bb29aa62b4ee94d72
com.spotify	magnolify-bigquery_2.13	0.4.2		989a546aaf131f34372aecdffe2f509d62d5ead3
com.spotify	magnolify-bigquery_2.13	0.4.3		3f82c463c18d4f0fb27aa40d43f918dc6e36af60
com.spotify	magnolify-bigquery_2.13	0.4.4		d26bf1dfffdb705c0a0fd0086ec6d544ae77c188
com.spotify	magnolify-bigquery_2.13	0.4.5		9060dfa314f9f271cf003937d7899958fedc19fc
com.spotify	magnolify-bigquery_2.13	0.4.6		79f7319a2ac812287ba5427f8d26b13422d87bcc
com.spotify	magnolify-bigquery_2.13	0.4.7		aa36d3dc5a8bc3340ab206088ff21108c679b117
com.spotify	magnolify-bigquery_2.13	0.4.8		0e2b9574aeb8ca169a8da6d199a1a24bb91fc9cc
com.spotify	magnolify-bigquery_2.13	0.5.0		ff5c865c260dc1ace3395d9ea85e58eb00abe4d8
com.spotify	magnolify-bigquery_2.13	0.5.1		c176c7b87bb89d1625d134f73e4e857c1f1fdfbb
com.spotify	magnolify-bigquery_2.13	0.6.0		4d09fd88ffe56d38250e476338c1821b78a5b97c
com.spotify	magnolify-bigquery_2.13	0.6.1		a3b75c7df01080d86b6f3572f71e727811b00f0a
com.spotify	magnolify-bigquery_2.13	0.6.2		ebfe081a843290c95a51ed59176358f961d4adba
com.spotify	magnolify-bigquery_2.13	0.6.3		ed04ea9c67f0d9c99ceb960c798ab677b2fc6a7a
com.spotify	magnolify-bigquery_2.13	0.6.4		2a37078565fd9c98e13fb8d9cec3038fc91316d4
com.spotify	magnolify-bigquery_2.13	0.7.0		10d32a1ff20c141a74aa85c64d8593d429e99aab
com.spotify	magnolify-bigquery_2.13	0.7.1		f17a53cb66beb5d0c481a44551bed8ea48344a95
