com.github.fs2-blobstore	gcs_2.13	0.9.15		8b31f8de8cceae3ef1dfe459290cec1dcbcfd429
com.github.fs2-blobstore	gcs_2.13	0.9.2		c7fe684f3387b29831b52fa1aa7c0b366f8beaef
com.github.fs2-blobstore	gcs_2.13	0.9.3		71d9e4b676c265c3330d9d7e240a884ebf995bb5
com.github.fs2-blobstore	gcs_2.13	0.9.4		01ba6c308daa926c6d8d8570af24876829e54638
com.github.fs2-blobstore	gcs_2.13	0.9.5		c2025bb86a443cc27cab8826bb67ee13f609cc74
com.github.fs2-blobstore	gcs_2.13	0.9.6		c181654ae09d2995076685bbc25eb9baaf922a12
com.github.fs2-blobstore	gcs_2.13	0.9.7		19a680d3f8b7a8da552066cf7cec293cae64aa80
com.github.fs2-blobstore	gcs_2.13	0.9.8		dda683642dcabdb72cd920a8d3b31485bc839407
com.github.fs2-blobstore	gcs_2.13	0.9.9		12638bc0082f0b8d0341345066e9a0b5e0c06557
com.github.kristofa	brave-spancollector-kafka	3.3.0		35dfa56fc2800fb3d99169ac066f57dc1bb681fc
com.github.kristofa	brave-spancollector-kafka	3.4.0		6916cc31762e1e7e2fe09f7cd3d3c6a8c6be4160
com.github.kristofa	brave-spancollector-kafka	3.5.0		abe0449abec0f8a1f45354f3d12849b462d0b0bf
com.github.kristofa	brave-spancollector-kafka	3.6.0		e5d4129228a65974a9bf1183368d16f948583943
com.github.kristofa	brave-spancollector-kafka	3.7.0		f7daef649db5a24dc0d9263b10a8550a21215a01
com.github.xfumihiro.view-inspector	view-inspector-aspect-v23	0.2.0		N/A
com.github.zakgof	velvetdb-core	0.10.2		f5793302843898c99ea1361d2e170be50839c5d5
com.github.zakgof	velvetdb-core	0.11.2		9caab1b1486cf08c1e92e428e938aa1c5d99deb6
com.github.zakgof	velvetdb-core	0.3.2		edc05a73d65036f26c1d3f378a44b23c3cb75031
com.github.zakgof	velvetdb-core	0.3.3.android		6f2925b81b6d8ffa1de3393d767e219a47d45bc7
com.github.zakgof	velvetdb-core	0.5.0		666c504333c03a2b2d999bd28586ce1fef13849e
com.github.zakgof	velvetdb-core	0.6.0		d6076fd959418f190d042ae7f32c40c4f3a007a2
com.github.zakgof	velvetdb-core	0.7.0		d22659e9c9770ac0bf3ad02bca21bf75265ac251
com.github.zakgof	velvetdb-core	0.7.3		0dcdfc7dd84da7e22469d7935efd1bc926aa0cb2
com.github.zakgof	velvetdb-core	0.9.0		b2b8cf8e88713a05a738b626df04f448f528b572
com.helger.commons	ph-bc	10.0.0		5817a08aba90c4b34ae1d0b238c33a7645eb45d4
com.helger.commons	ph-bc	10.1.0		5ba30f082557b2b1cfb27c532ad1c0b5c18f34c7
com.helger.commons	ph-bc	10.1.1		c02a89fd27aca4f869bf577e3ef3e8f6de95bd97
com.helger.commons	ph-bc	10.1.2		770e6bb2bd27fc6d4adda8bfa01687e266b13ff5
com.helger.commons	ph-bc	10.1.3		efe6267ee8e8d8f7037c4a192d46a5dbd8d00124
com.helger.commons	ph-bc	10.1.4		d0732d0d6b7ad8aa7d20f16adb6f114c23fb1d31
com.helger.commons	ph-bc	10.1.5		69f98118d916410660e9700d24cbce3dc6a2e4db
com.helger.commons	ph-bc	10.1.6		1d07f59823d38b2ea4f1c09a080976ec35b8d271
com.helger.commons	ph-bc	10.1.7		05b60e4a5281186dc031ed9e92d1a3af193ce6bf
com.helger.commons	ph-bc	10.1.8		4520948ce29f790b7b002471a98591db563a47a0
com.helger.commons	ph-bc	10.2.0		a83d6f399e063ceb046477c2950a37d3a6145b61
com.helger.commons	ph-bc	10.2.1		32842b47d77d07048d38168c1c2eb83d3dd6fcec
com.helger.commons	ph-bc	10.2.2		f794b0c62f2d0f957f5fd6424211f7eab979df1d
com.helger.commons	ph-bc	10.2.3		2170c45d3c8500ad5e5efa2ed76835fdbdbc2f08
com.helger.commons	ph-bc	10.2.4		f1cac86902360e41df218a128274bb5e886db6f6
com.helger.commons	ph-bc	10.2.5		2ccdc65ee3fd4e06b11e327815f6d2984ca169b9
com.helger.commons	ph-bc	11.0.0		0028433538e02f97efd8fb00e1e5cd7f72ddfc0e
com.helger.commons	ph-bc	11.0.1		06d12a103099a794b05d177bad9cd324f0a7731a
com.helger.commons	ph-bc	11.0.2		cc2906985bc592f8b86f3a8c9404f006f1b2d717
com.helger.commons	ph-bc	11.0.3		99559b3c2a81591d0fd29c791505b284339cb2d1
com.helger.commons	ph-bc	11.0.4		f64dd7dd7a69b3cf0ef75c2424b0d39987c57c1e
com.helger.commons	ph-bc	11.0.5		b5ba79e88098e3986a56ee3d63693e24dc29de79
com.helger.commons	ph-bc	11.0.6		68804ecce96f5693da9936c40c355f9f5b407107
com.helger.commons	ph-bc	11.1.0		42fe5e3b7323a81e3af23759e5b35794d26276f1
com.helger.commons	ph-bc	11.1.1		90fec96a7eeae9699fb976960b9fd21186080bc5
com.helger.commons	ph-bc	11.1.10		68e267bb851ee95f6a630d159132e6388e4781d2
com.helger.commons	ph-bc	11.1.11		ee1cb56914f1e7dbf364c70bbefb72689deb3a03
com.helger.commons	ph-bc	11.1.12		83173ac1884893b9528275c3f7eb5e8095f79c82
com.helger.commons	ph-bc	11.1.2		8ca4ec6a5da16ff5eb9dbdd5df8418de8d617d77
com.helger.commons	ph-bc	11.1.3		acc228dbd3d91515a95da5e28c63d1f131ce4170
com.helger.commons	ph-bc	11.1.4		bcb4c2438079458353770928f0963f875a99424e
com.helger.commons	ph-bc	11.1.5		a0d155ab79ed08323b0c535f26e9d8c3ca77d741
com.helger.commons	ph-bc	11.1.6		c234af3debb1a90ba11e14302478c873523f4398
