ch.epfl.scala	case-app-util_sjs0.6_2.12	1.2.0-faster-compile-time		dd1fe2c5246b5bd3aae2e1f7607c3cf4e79c01e7
com.azavea.geotrellis	geotrellis-geotools_2.10	0.9.0-RC3		ce4422c702c83d8b0b1fa2acb1abab01e2118705
com.azavea.geotrellis	geotrellis-geotools_2.10	0.9.0-RC4		0a7673bc59ad8df64401634a323c944007a45a4e
com.azavea.geotrellis	geotrellis-geotools_2.10	0.9.0-RC5		863a311bb2e884f2f5c9aa4e0200ef94d63d7ed6
com.azavea.geotrellis	geotrellis-geotools_2.10	0.9.1		b5a9f9512118213126ac5cd79bef1665e0359578
com.azavea.geotrellis	geotrellis-geotools_2.10	0.9.2		916331c6058a9964c0e47d54b5c9e8d59fbca01f
com.datasqrl	acorn-starter	0.1.0		10ea414e50095c4c9c8faf458c67cb00b196d995
com.dreamgyf.android.ui.widget	FlexViewPager	1.0		N/A
com.dreamgyf.android.ui.widget	FlexViewPager	2.0		N/A
com.fleeksoft.ksoup	ksoup-network-korlibs-watchosdevicearm64	0.2.0		N/A
com.fleeksoft.ksoup	ksoup-network-korlibs-watchosdevicearm64	0.2.0	metadata	12688501a06f96a89ccd6b1b60c27d527d4ddc62
com.fleeksoft.ksoup	ksoup-network-korlibs-watchosdevicearm64	0.2.1		N/A
com.fleeksoft.ksoup	ksoup-network-korlibs-watchosdevicearm64	0.2.1	metadata	cd1706369ae84f76bb8c8e0eea5a85c7c1d96eb4
com.fleeksoft.ksoup	ksoup-network-korlibs-watchosdevicearm64	0.2.2		N/A
com.fleeksoft.ksoup	ksoup-network-korlibs-watchosdevicearm64	0.2.2	metadata	c220f6362291dd6ecc691ed217b128bcb1001300
com.fleeksoft.ksoup	ksoup-network-korlibs-watchosdevicearm64	0.2.3		N/A
com.fleeksoft.ksoup	ksoup-network-korlibs-watchosdevicearm64	0.2.3	metadata	1c1fc8c4fc873869d137db8d6b15617df08f69d5
com.github.houbb	distributed-schedule-test	0.1.0		80ad69564e55d3c06e6440c1c4309cb94908ffa0
com.github.houbb	distributed-schedule-test	0.2.0		0314f9d6cc7cb001bc7e93be48d5b70ac7ae6d2e
com.github.houbb	distributed-schedule-test	0.3.0		973c05f51e904b8a74669a89b80f7819814265c4
com.github.houbb	distributed-schedule-test	0.4.0		2054c2083dadd21525eb5294a3d2f993360df0a0
com.github.houbb	distributed-schedule-test	0.4.1		838cb3e4157d1ee0fdeed7b596cbb46e7f0d31be
com.github.houbb	distributed-schedule-test	0.4.2		a7f5280f57d36834337c01b6435c690c2c863068
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.11.0		c120912314bd1a97eb8f6202a9d982eb743a6112
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.12.0		16df4d4e871e1eb2932f3c5e1d8834aab2ebcbb0
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.12.1		ffd04e690ad0da0f97536872e26a524b9875b8f7
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.13.0		b8c8c1e1ec26740c60ec381a250ec249e6fa8fd8
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.14.0		d511ea884479d685865570af6bda54db56b123e2
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.15.0		f8873d005cd5d7c9ba958c00eb55bc714ef55bee
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.16.0		7e088155e7e7edbb8bdea450369c9afc0b57cf29
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.17.0		a9cf6dd96f3ceaa922085c7daa59249facec09b0
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.18.0		1650a0eb25196e93350d6aaa66b7fbe5718979ff
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.19.0		554285bd1375ecaf5783130a0795bb060a9dbadc
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.20.0		ad789d5645b4bc32dc1443b6f5f87275d0f84f63
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.21.0		8d648460094590f5ef2842e4a88ef31d24cad87c
com.github.shynixn.mccoroutine	mccoroutine-fabric-api	2.22.0		858affe0539808d22ac9be331afd230f8337d854
com.google.cloud	google-cloud-parallelstore-parent	0.1.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.10.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.11.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.12.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.14.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.15.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.16.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.17.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.18.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.19.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.2.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.20.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.21.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.22.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.23.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.24.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.3.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.4.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.5.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.6.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.7.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.8.0		N/A
com.google.cloud	google-cloud-parallelstore-parent	0.9.0		N/A
com.googlecode.refit.maven	refit-spring-maven-plugin	1.6.0		277b18e5bc9a5b01f00c3522b7f39a5a40d4e2f4
com.googlecode.refit.maven	refit-spring-maven-plugin	1.7.0		97f2bd629177d5fda4567896ecd74b1a6b28c0a5
com.googlecode.refit.maven	refit-spring-maven-plugin	1.7.1		a05b548ab8f0e41b5389d9de9536e8dd94d85240
com.googlecode.refit.maven	refit-spring-maven-plugin	1.8.0		48c03a594953a1e665b841b485ed9bb5e114fbd5
com.inkapplications.kimchi	core-watchosarm64	2.0.0		N/A
com.inkapplications.kimchi	core-watchosarm64	2.0.0	metadata	e763ac9b0b3a5d79bd350958f0157a97a60f0475
com.inkapplications.kimchi	core-watchosarm64	2.0.1		N/A
com.inkapplications.kimchi	core-watchosarm64	2.0.1	metadata	79fa35cfb0756babe99f575dbdc53924767fa11a
com.inkapplications.kimchi	core-watchosarm64	2.0.2		N/A
com.inkapplications.kimchi	core-watchosarm64	2.0.2	metadata	15ebbb72b332c28b74e5961513f70ef6cdad1a5a
com.inkapplications.kimchi	core-watchosarm64	2.0.3		N/A
com.inkapplications.kimchi	core-watchosarm64	2.0.3	metadata	2e37b9f45541e0fbd3631eeb933f243b2381a7e8
com.inkapplications.kimchi	core-watchosarm64	2.1.0		N/A
com.inkapplications.kimchi	core-watchosarm64	2.1.0	metadata	e2fd374b84b594c930f6fd7c97fbd30ebbf280e2
com.inkapplications.kimchi	core-watchosarm64	2.1.1		N/A
com.inkapplications.kimchi	core-watchosarm64	2.1.1	metadata	50de24cadf8827830b4a1736e7102ac1b59cf741
com.inkapplications.kimchi	core-watchosarm64	2.1.2		N/A
com.inkapplications.kimchi	core-watchosarm64	2.1.2	metadata	032631094ec9e810913298712dde3c192188a648
com.inkapplications.kimchi	core-watchosarm64	2.2.0		N/A
com.inkapplications.kimchi	core-watchosarm64	2.2.0	metadata	c55c33d3e8545fc5190095e7059ef67301338ff3
com.ioki.result	result-linuxarm64	0.3.0		N/A
com.legsem.legstar	legstar-codegen	1.5.0		9b47a0ff551f35f4b57ec8e767673bcb547f6179
com.legsem.legstar	legstar-codegen	1.5.1		c81448efe12616bbec6474a6ed72b9aecbe29e42
com.legsem.legstar	legstar-codegen	1.5.10		519489ad4d5d835fa055cf7547d0327be1a2bdcf
com.legsem.legstar	legstar-codegen	1.5.2		b430b3fb825e175eb5540184751a3bc2b4506e9a
com.legsem.legstar	legstar-codegen	1.5.3		725cc8393078fe57f5c4cdf10d5c9a48752a8504
com.legsem.legstar	legstar-codegen	1.5.4		7e4ac1b38d15ef311213ac353da315815e1a9638
com.legsem.legstar	legstar-codegen	1.5.5		1a8296882338f0b2fbbf6f1e884b7e6f251fec15
com.legsem.legstar	legstar-codegen	1.5.6		6e89767b4247069208613dd1a04ee6db679c356d
com.legsem.legstar	legstar-codegen	1.5.7		48be7033515b6114d3cd27edd178b891da96f87d
com.legsem.legstar	legstar-codegen	1.5.8		5873eae752ea3a2df612d177b19bfa2a065c563b
com.legsem.legstar	legstar-codegen	1.5.9		67068140d3a53d8a6a22fdd31f6725f41323bd63
com.legsem.legstar	legstar-codegen	1.6.0		93ad4755303ae534bb5804b4e20df82b56cd7742
com.nhl.link.move	link-move	1.10		98195007c7e6507c6719bb6aa9e27b34f0b12633
com.nhl.link.move	link-move	1.6		b50d1cfed92f193582c96f29aeb57f90b709c5df
com.nhl.link.move	link-move	1.7		7da4f147aee6bab9f7b38af9b10d42e159f83d02
com.nhl.link.move	link-move	1.9		7daa61d0295de38a301d748c1ddda4bbce79fd8f
com.nhl.link.move	link-move	2.0		450b241dc736a6c995ebe63c749c40ad7059eac9
com.nhl.link.move	link-move	2.1		da47316e10d67dbf1735e967a924320f5c177346
com.nhl.link.move	link-move	2.10		6b8ca7d547628a0fd364bd8014e672424a61af48
com.nhl.link.move	link-move	2.11		93940ca452b502482737cf49c6b0457df79a4a7c
com.nhl.link.move	link-move	2.12		89e590b6cffe1f0502bedb1bb93fcfc418dd9a54
com.nhl.link.move	link-move	2.13		aebb97330b3224ec63c33e7bf82fe511d09853ce
com.nhl.link.move	link-move	2.14		0123df7a727a96e0b6463788563dbe9feb91290a
com.nhl.link.move	link-move	2.15		0687363e84f38adeb580c94fabd5bbb75ccc4319
com.nhl.link.move	link-move	2.16		38d12f68e3da8ad422b28a1d896aa4ff98c80bf4
com.nhl.link.move	link-move	2.17		31750d610900b4bdc94ebd7110b7fd77e540e32c
com.nhl.link.move	link-move	2.18		d0bfec1cf3654ad91e0bec4c258f62bdb3f39400
com.nhl.link.move	link-move	2.2		9fe314090e5f69c27c7d5292b282ba34c11099ce
com.nhl.link.move	link-move	2.3		e5d84cf2b0e8e887f7afbf4745da3903063da350
com.nhl.link.move	link-move	2.4		dd8028fd90b0eb86d86ff3e5a9c2927572993c08
com.nhl.link.move	link-move	2.5		8586b64b31cbd8e58d309165cda0c8b2900029d3
com.nhl.link.move	link-move	2.6		680ed07d4fa3ddebb57424b8f97a544070ace076
com.nhl.link.move	link-move	2.7		0b9280c37629a42b476b277cbcdb8bc8ab59a1b0
com.nhl.link.move	link-move	2.8		ebc102e3167eb72e4c3e910c0c1bdc7b9518e139
com.nhl.link.move	link-move	2.9		7c54e3aac500f29f398d0651994dd83afe302355
com.nhl.link.move	link-move	3.0.0-RC1		1073c9a0e05ba5604341fdaeac1ae8e6deda1da5
com.nhl.link.move	link-move	3.0.0-RC2		5aaab924704a8a3f6e42df6b0c1e9b275f29ee2a
com.nhl.link.move	link-move	3.0.0-RC3		43d909e61d0d403147fe24f3d222311874be360e
com.nhl.link.move	link-move	3.0.0-RC4		8dd54231d29e96ee7c0cfd7d24080decb3c34de2
com.nhl.link.move	link-move	3.0.M1		830ab3b4ea38010bda7a7958ebceb067df9316a5
com.nhl.link.move	link-move	3.0.M2		64386dba60bb738a3c63853c093ec948704cbbe2
com.nhl.link.move	link-move	3.0.M3		776da1828c7a32d2fea41d24cf79fa3b581b65a0
com.nhl.link.move	link-move	3.0.M4		5065c0fd2e70ad1462371d62e670fc98f4954b7d
com.nhl.link.move	link-move	3.0.M5		46f231fcc957bb68f063ce09ec1ee36d63df5904
com.nhl.link.move	link-move	3.0.M6		e1fccc54dcd5f5c7eff5b0b0811efd2399caf06a
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.0		a321aae38c78ed68fe2cc36bdbf5eeef4b4221e3
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.1		5aa55eb7b3f82d25b80beda029a17b7bdaedc905
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.2		048f8fd093ebc0edc1bbb7e249a7d5232893c2ec
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.3		c534f7980e63bb99be91c321dc2fa00f00093707
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.4		bb602b5107cfbbe92a4e693cc9453cc50f479216
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.5		97649382d40c32d717e61e6ba3ee9d4b17d1d648
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.6		39f6d6c945d21c8b1bd52ef97225e9772c0418bd
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.7		00008eb5f42622c86c8ad8192a4db142d41bece8
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.8		7b42b745e0af8926878f8062ff979c055e4330e4
com.nrinaudo	kantan.regex-joda-time_2.10	0.1.9		bc0352019727cefeb46c98e6f7b3e236005e66bc
com.nrinaudo	kantan.regex-joda-time_2.10	0.2.0		06c0e8e546c34a3ccb433694ab1dfd939a6fd26f
com.pholser	lambspec-guava	1.0		ffdc4b23b7d402bdaba07a8bd3fd1b16f2fcee7d
com.pholser	lambspec-guava	1.0-alpha-1		7c7731095307689c3a817f227dd606c8c450852a
com.pholser	lambspec-guava	1.0-alpha-2		4ad1af8d5a6337b3a99b7441887052e61f228faa
com.rollbar	rollbar-spring6-webmvc	1.10.0		8c6c5da17aff8f67b7da347e759b2333bf83fa3e
com.rollbar	rollbar-spring6-webmvc	1.10.3		fd4b5f656430be164c83649b81b57bdad2774fe6
com.rollbar	rollbar-spring6-webmvc	2.0.0		5db1b18871f97b4ecdeb5c0e38cb56155f65d9d1
com.rollbar	rollbar-spring6-webmvc	2.0.0-alpha.1		75bb9e0d9848aa6338557de4230aaa7f8468cff0
com.sfxcode.sapphire	sapphire-javafx_2.12	1.0.0		2dcf8e0b28404472531b841ab52f90ec4d15ec99
com.sfxcode.sapphire	sapphire-javafx_2.12	1.0.1		a23b998c7736cd7924e1f95ecbedca3303822394
com.sfxcode.sapphire	sapphire-javafx_2.12	1.0.2		dc93163abb09311a19362fdaaa8fd97a44e88c54
com.sfxcode.sapphire	sapphire-javafx_2.12	1.0.4		873e5b07b18fecd0dc0aa9e9d9b81623ac1c87a0
com.sfxcode.sapphire	sapphire-javafx_2.12	1.0.5		d4c9aee07fcc93d6a0738749749efda3be0d76bb
com.sfxcode.sapphire	sapphire-javafx_2.12	1.1.1		f103003781fe96fb44bcf6c9a9508f452e38b2f7
com.sfxcode.sapphire	sapphire-javafx_2.12	1.1.2		0519e9e17c2f7c7f5d1307ec36088d57c1c5479c
com.sfxcode.sapphire	sapphire-javafx_2.12	1.2.0		07769768d8cdb89568f2a7fa02356c250fb202a0
com.sfxcode.sapphire	sapphire-javafx_2.12	1.2.1		1682e57441e246708af1d64a08a4ced1618cef7e
com.smith9.simply	simply-runner	1.5.10		9d2ba1b1ce2cb45abad313ef9051796adc433b33
com.smith9.simply	simply-runner	1.5.11		c716f172051c7b488ec51186d44d33968143d5f0
com.smith9.simply	simply-runner	1.5.12		282214267b9ce15aaa3a6c6b67f5fd92ac7af6fc
com.smith9.simply	simply-runner	1.5.13		76d84ee4273190e139d3a97a3097ba426b28cab7
com.smith9.simply	simply-runner	1.5.14		984b4eba8bf31b7bfc2df47c6eea36cced7975cd
com.smith9.simply	simply-runner	1.5.15		97366afcc2dadafcd39ecd22be014753927cc9e9
