at.released.wasm-sqlite-driver	sqlite-wasm-emscripten-aot-349-jvm	0.7		4247928b49288a749adfbd8753b409be2f6bcafe
com.daml	daml-lf-interpreter_2.13	1.14.1		24181f9336da669546d857a7a2c6733493ed1247
com.daml	daml-lf-interpreter_2.13	1.14.1-snapshot.20210706.7133.0.8ec16e94		24181f9336da669546d857a7a2c6733493ed1247
com.daml	daml-lf-interpreter_2.13	1.14.2		24181f9336da669546d857a7a2c6733493ed1247
com.daml	daml-lf-interpreter_2.13	1.14.2-snapshot.20210708.7135.0.aa297840		24181f9336da669546d857a7a2c6733493ed1247
com.daml	daml-lf-interpreter_2.13	1.15.0		3dce2b347c95cef50b1360c57674e55db9125c79
com.daml	daml-lf-interpreter_2.13	1.15.0-snapshot.20210615.7169.0.adeba206		7dc8d180618bf96c57cad7a792ef6c17517eb737
com.daml	daml-lf-interpreter_2.13	1.15.0-snapshot.20210623.7217.0.5b73813d		84c9bada55dcf1dbe7c89de18d9b8bc7f33f9837
com.daml	daml-lf-interpreter_2.13	1.15.0-snapshot.20210630.7261.0.84e1f3a7		f8ebbb9c562bd343665e9825cdf9475b2e86d247
com.daml	daml-lf-interpreter_2.13	1.15.0-snapshot.20210705.7286.0.62aabcc4		3dce2b347c95cef50b1360c57674e55db9125c79
com.daml	daml-lf-interpreter_2.13	1.16.0		fd312ce659a8acc27819a1cc23bd6190075b120d
com.daml	daml-lf-interpreter_2.13	1.16.0-snapshot.20210713.7343.0.1f35db17		80bccdf48a4d811321a8d6292bb147557fa4651e
com.daml	daml-lf-interpreter_2.13	1.16.0-snapshot.20210720.7404.0.b7cf42d1		e42f8bfa18c9e24bdccd0ea8d8f3039aa7cb0112
com.daml	daml-lf-interpreter_2.13	1.16.0-snapshot.20210727.7476.0.b5e9d861		69d0c0db78422a6759c5057b9aa05191d7b90674
com.daml	daml-lf-interpreter_2.13	1.16.0-snapshot.20210802.7499.0.5157ad6d		fd312ce659a8acc27819a1cc23bd6190075b120d
com.daml	daml-lf-interpreter_2.13	1.16.0-snapshot.20210805.7501.0.48050ad7		fd312ce659a8acc27819a1cc23bd6190075b120d
com.daml	daml-lf-interpreter_2.13	1.17.0		b64465c8e988e492f7191bab74005957e5eb3afb
