app.summation.android	android-client	1.0		dc884fb9892f5da325b9374ee24cae05f9ed1169
co.elastic.apm	apm-agent-attach-cli	1.34.0		feac7cc23022230e7986634b0949f8ba59d2fdc5
co.elastic.apm	apm-agent-attach-cli	1.34.0	bc-verifier	937940fee55efc03b335e3fa0b1fc148da7b4fcb
co.elastic.apm	apm-agent-attach-cli	1.34.0	slim	3d4f6f2e5bcd9c1d8e78d31c4da43518047fc852
co.elastic.apm	apm-agent-attach-cli	1.34.0	slim-sources	5e308ba6e5a1f624225563ae4f6f9d67c448c23c
co.elastic.apm	apm-agent-attach-cli	1.34.1		0922ace652ed34ef3b0e5d4371d0839d9e81fa8d
co.elastic.apm	apm-agent-attach-cli	1.34.1	bc-verifier	ed1dfd67aabbd906ec96f335a44ee636167bd97a
co.elastic.apm	apm-agent-attach-cli	1.34.1	slim	3a9c4c90f8dcdba0aed4fb874446f57dbb5d28c3
co.elastic.apm	apm-agent-attach-cli	1.34.1	slim-sources	b1807c22ce7f914a7fc2e178caa58edce5b3a88c
co.elastic.apm	apm-agent-attach-cli	1.35.0		f9f11bbba0d52e886cf7bea3595b25b0318393b0
co.elastic.apm	apm-agent-attach-cli	1.35.0	bc-verifier	d9b16229cf9e9c187f2b8167cd621b141344b9e3
co.elastic.apm	apm-agent-attach-cli	1.35.0	slim	24cf79734451def89415c49bb62279f4e06c99f1
co.elastic.apm	apm-agent-attach-cli	1.35.0	slim-sources	7016cb578a286633a52b010fee410b8bdfd5f3a5
co.elastic.apm	apm-agent-attach-cli	1.36.0		ae0f825dbadeabee5a92fef42ed6984723af057c
co.elastic.apm	apm-agent-attach-cli	1.36.0	bc-verifier	f92cfbb6c65825a240c83c681db12b3db248e3a1
co.elastic.apm	apm-agent-attach-cli	1.36.0	slim	f75871fd36d58dc1717012583d20ad351515ed19
co.elastic.apm	apm-agent-attach-cli	1.36.0	slim-sources	24412528b9a1926154c2a88d22d4017627b3a8ef
co.elastic.apm	apm-agent-attach-cli	1.37.0		aa4579df50dfed7d1f0e49571c80a8c7d0f40482
co.elastic.apm	apm-agent-attach-cli	1.37.0	bc-verifier	e3802f5cd29f078fe5f82957843ff479dd78daf5
co.elastic.apm	apm-agent-attach-cli	1.37.0	slim	ef4a69cd31ced0de5cf0dac4b3d80cdc124b28ee
co.elastic.apm	apm-agent-attach-cli	1.37.0	slim-sources	9da7961bb280b267075b3931d98584446b359eee
co.elastic.apm	apm-agent-attach-cli	1.38.0		2719e117def9b9b07e173d8e32f037058ab18da8
co.elastic.apm	apm-agent-attach-cli	1.38.0	bc-verifier	258c0a176c918bccbece56f58113d9e4652e7809
co.elastic.apm	apm-agent-attach-cli	1.38.0	slim	e9ab5e5dc3bd20695cd7ba958a032ddb8c455f33
co.elastic.apm	apm-agent-attach-cli	1.38.0	slim-sources	a995f48dfa84b1b533972a39281e4b93ce6f915b
co.elastic.apm	apm-agent-attach-cli	1.39.0		3dba6467414e154737da3dbbe43ff3beaa4ec2cd
co.elastic.apm	apm-agent-attach-cli	1.39.0	bc-verifier	29937beab144317d5fb71677c6ca95b1bfeceee2
co.elastic.apm	apm-agent-attach-cli	1.39.0	slim	817639b4165f53150a82e4c1db6e16e023aeef5a
co.elastic.apm	apm-agent-attach-cli	1.39.0	slim-sources	1ecf92016fab80c96a7846e3a754376f880fb6f8
co.elastic.apm	apm-agent-attach-cli	1.40.0		fa6808fb5f67130fcd977f7141af8699aa647be8
co.elastic.apm	apm-agent-attach-cli	1.40.0	bc-verifier	57210544a51d08f98c2ece5fd5e3f4589e61d088
co.elastic.apm	apm-agent-attach-cli	1.40.0	slim	904a50b5990b6b53138f4710c5312f47535a7dbf
co.elastic.apm	apm-agent-attach-cli	1.40.0	slim-sources	1ef41afec77ee178e0cd3d9d706435ee234eda48
co.elastic.apm	apm-agent-attach-cli	1.41.0		78cd71b8a2fb3bea9a8a9ea621d4e6ca87e6f74e
co.elastic.apm	apm-agent-attach-cli	1.41.0	bc-verifier	edd7c76fc925a51d2d3bde3b175b4e1766431f94
co.elastic.apm	apm-agent-attach-cli	1.41.0	slim	e4f03300040eb4b81e20cb30064aa0b5e37bd092
co.elastic.apm	apm-agent-attach-cli	1.41.0	slim-sources	68bb7a8a3eb393d4c1715b3dc80b01c6e17c5b7b
co.elastic.apm	apm-agent-attach-cli	1.41.1		73703d8687c3eaf8cae4a4d3d8d16003cc5c7965
co.elastic.apm	apm-agent-attach-cli	1.41.1	bc-verifier	bd3e295ee94346b59b7142480fa6003dc233ec5f
co.elastic.apm	apm-agent-attach-cli	1.41.1	slim	2f48cb2408e2c94f544e2f4470b7b187b0a5592b
co.elastic.apm	apm-agent-attach-cli	1.41.1	slim-sources	2683d9d2c927515d5e8c62fea311f1df956d54dd
co.elastic.apm	apm-agent-attach-cli	1.42.0		1f493f9f82c80704d45fa01c710e14d5ae0016e7
co.elastic.apm	apm-agent-attach-cli	1.42.0	bc-verifier	0c55ce5befa9981d447d9dabab2f9b6281c9ffec
co.elastic.apm	apm-agent-attach-cli	1.42.0	slim	ab665b70429b3d5882ecb3f22e5199f3fabec045
co.elastic.apm	apm-agent-attach-cli	1.42.0	slim-sources	9abc36467a6bfd771c8a135a047ca4fc5d066e9c
co.elastic.apm	apm-agent-attach-cli	1.43.0		055e54a885c20498f4b8074bdaf8e8c43bb43933
co.elastic.apm	apm-agent-attach-cli	1.43.0	bc-verifier	e4813002fb8a21010e5866d4197976c891383ca4
co.elastic.apm	apm-agent-attach-cli	1.43.0	slim	7420fba140a7d1d9ad1b5cfaa2e4dbc1425cc9c1
co.elastic.apm	apm-agent-attach-cli	1.43.0	slim-sources	173169ec2f9866ec1d1d95f11740dee4eb939d19
co.elastic.apm	apm-agent-attach-cli	1.44.0		9afe6dd07ce6d764a134ad3e5463f5f3a7338ba6
co.elastic.apm	apm-agent-attach-cli	1.44.0	bc-verifier	4253047246f3489c0fe548a47e5c931f6253ad50
co.elastic.apm	apm-agent-attach-cli	1.44.0	slim	f89fc5acd0ba0b62115d511c9784e02f730df549
co.elastic.apm	apm-agent-attach-cli	1.44.0	slim-sources	09db2b858a3c74c696ef1083258111f7872b32f3
co.elastic.apm	apm-agent-attach-cli	1.45.0		d1136bdc6e14225870513780ba400b208d2eeb22
co.elastic.apm	apm-agent-attach-cli	1.45.0	bc-verifier	be0266b1d46bfbf7762a6fcd3c4e7385483c3a8d
co.elastic.apm	apm-agent-attach-cli	1.45.0	slim	668fab8932ecb7233aad620396ef06bd6f4c6f8f
co.elastic.apm	apm-agent-attach-cli	1.45.0	slim-sources	466dcfcfbfb56a4cb74518cee2ccc49306d6133c
co.elastic.apm	apm-agent-attach-cli	1.46.0		a6ceda4a5e813deac90687a896f1d239c99449ff
co.elastic.apm	apm-agent-attach-cli	1.46.0	bc-verifier	51d6c52a535d03c77279723b827062c083e16755
co.elastic.apm	apm-agent-attach-cli	1.46.0	slim	7c58d63b5dfcdc6e3e26a5dabfb85ff24257ae59
co.elastic.apm	apm-agent-attach-cli	1.46.0	slim-sources	ecd3d9e3dcf608ad54ec879eb901adf5432ddf08
co.elastic.apm	apm-agent-attach-cli	1.47.0		3d0151542a777c250633d34122f1ba53b24f541e
co.elastic.apm	apm-agent-attach-cli	1.47.0	bc-verifier	696596a1279102528099c88147d2d59f15abd6ea
co.elastic.apm	apm-agent-attach-cli	1.47.0	slim	662337d2a5d021a7b23723ac123af6c8474c808d
co.elastic.apm	apm-agent-attach-cli	1.47.0	slim-sources	86ecf21b8ff49d0c42ca742a627ed873ddc4d018
co.elastic.apm	apm-agent-attach-cli	1.47.1		16b0a0f96b2feb30435212fd3af723aadd342609
co.elastic.apm	apm-agent-attach-cli	1.47.1	bc-verifier	183a1ec6bd1ccad48cc238460f51115f0f402a38
co.elastic.apm	apm-agent-attach-cli	1.47.1	slim	5709f298a4bd4a700cf917539d9a523621bec8d5
co.elastic.apm	apm-agent-attach-cli	1.47.1	slim-sources	a51b08842fe9b973c345a4f5a24155613709ed7f
co.elastic.apm	apm-agent-attach-cli	1.48.0		21a2a88e762e76fef45145fbee0f48cc6f3ef915
co.elastic.apm	apm-agent-attach-cli	1.48.0	bc-verifier	f7b11adb7f9f1a2cb1df9110cc4edd217f8a8682
co.elastic.apm	apm-agent-attach-cli	1.48.0	slim	a896e946041d4cc2a6523d0b234f9a6ef5aea072
co.elastic.apm	apm-agent-attach-cli	1.48.0	slim-sources	3e86d84ce4ae4d97c369e0a69dbbf9a40654d75c
co.elastic.apm	apm-agent-attach-cli	1.48.1		63f145069d2919f21362102a14f11c7fe185b128
co.elastic.apm	apm-agent-attach-cli	1.48.1	bc-verifier	66391d88f30b0ef5be640f3cb46799838bf67d59
co.elastic.apm	apm-agent-attach-cli	1.48.1	slim	b90f4fda317a565d13ca657d5c9ecc6dd38bb77f
co.elastic.apm	apm-agent-attach-cli	1.48.1	slim-sources	528dc3b15c28ccd9c9050e4e02662564eac0f165
co.elastic.apm	apm-agent-attach-cli	1.49.0		f3bd22eab97ebef191bd10ee68f0effb9ab20cf4
co.elastic.apm	apm-agent-attach-cli	1.49.0	bc-verifier	b8482d06a3341b022bab2168cc0b25bcf487844e
co.elastic.apm	apm-agent-attach-cli	1.49.0	slim	a7dab3ba60a1b46890af1739aad4e582b83857ca
co.elastic.apm	apm-agent-attach-cli	1.49.0	slim-sources	0b8a4cffaefac73bbc6191cb6ef5701cfe4df8a9
co.elastic.apm	apm-agent-attach-cli	1.50.0		635eab87b08528d71dfd8ce3fffa6ff1e58db959
co.elastic.apm	apm-agent-attach-cli	1.50.0	bc-verifier	934155845a77a5d25275beda7d960727d1a3ba5b
co.elastic.apm	apm-agent-attach-cli	1.50.0	slim	c7ce0d0fb8437a9f3771bd5510ec783bbb9b3890
co.elastic.apm	apm-agent-attach-cli	1.50.0	slim-sources	3742704cb1d2dea83dad70fc5fd3d8e70dde34f3
co.elastic.apm	apm-agent-attach-cli	1.51.0		0992cd8ff8ac5f1667be0e41ae4a63c8a4024480
co.elastic.apm	apm-agent-attach-cli	1.51.0	bc-verifier	dd0c4143d546b755360eeb506e2bd05c8348dbd8
co.elastic.apm	apm-agent-attach-cli	1.51.0	slim	4f2d6952c2715d67a7fe4b8e194b5725fb2283bc
co.elastic.apm	apm-agent-attach-cli	1.51.0	slim-sources	c0173c0c937ae47054e9315a9a6fa726878656e0
co.elastic.apm	apm-agent-attach-cli	1.52.0		4721ea451f6a57da9df321b8e59104aa9da5a515
co.elastic.apm	apm-agent-attach-cli	1.52.0	bc-verifier	3cd6b067ab9ba3fdf3bdecb8e6499c31a9ec8c7c
co.elastic.apm	apm-agent-attach-cli	1.52.0	slim	982e7a0eb4a0039bd22f17302a59ff9ef21fd25e
co.elastic.apm	apm-agent-attach-cli	1.52.0	slim-sources	38e33326baa838b19834943f92ccb80e7e8a4b04
co.elastic.apm	apm-agent-attach-cli	1.52.1		c4cc92166f6a4492097d1347c693fb7f4df56886
co.elastic.apm	apm-agent-attach-cli	1.52.1	bc-verifier	0af201c4ba52e5411cf6659ac6549be49e9ff7ec
co.elastic.apm	apm-agent-attach-cli	1.52.1	slim	30a911262562a427c7aefb9be306c37a4e3a425e
co.elastic.apm	apm-agent-attach-cli	1.52.1	slim-sources	385dba0f8ace57f0cfa4cf491cad0eed6300b141
co.elastic.apm	apm-agent-attach-cli	1.52.2		302682cc8518edc1a483e660c2fcf67f3e9636c0
co.elastic.apm	apm-agent-attach-cli	1.52.2	bc-verifier	2d4e7d54dc6e2040bfc5ae9becbb0b6ea53c7f1b
co.elastic.apm	apm-agent-attach-cli	1.52.2	slim	c8e966c0005deebeaded30bdf9c16b2c14d2ae8f
co.elastic.apm	apm-agent-attach-cli	1.52.2	slim-sources	9597c99ceb67d8de4a429969ac169e2495a4ea13
co.elastic.apm	apm-agent-attach-cli	1.53.0		2c3798552daa71b2a7c7544d499148a32f170d7c
co.elastic.apm	apm-agent-attach-cli	1.53.0	bc-verifier	8893729efefe845d620ca3ec53589fee6553cebd
co.elastic.apm	apm-agent-attach-cli	1.53.0	slim	04c182f7094638a3176099e0001ca1013a40d240
co.elastic.apm	apm-agent-attach-cli	1.53.0	slim-sources	4c31ecc7164d704a497fdcd46ae6f4b322b4387a
com.ascentstream.pulsar	pulsar-io-debezium	2.10.6.10		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.6.9		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.1		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.1-SNAPSHOT-3c76893		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.1-SNAPSHOT-4670905		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.1-SNAPSHOT-8da4484		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.10		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.11		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.2-SNAPSHOT-86382c9		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.3		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.4		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.4-SNAPSHOT-35e64fa		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.8		N/A
com.ascentstream.pulsar	pulsar-io-debezium	2.10.7.9		N/A
com.ascentstream.pulsar	pulsar-io-debezium	3.0.10.0		N/A
com.ascentstream.pulsar	pulsar-io-debezium	3.0.11.0		N/A
com.ascentstream.pulsar	pulsar-io-debezium	3.0.7.0-SNAPSHOT-a030c50		N/A
com.ascentstream.pulsar	pulsar-io-debezium	3.0.8.0-SNAPSHOT-16a7bcc		N/A
com.behsacorp	ganjex-spring-boot-autoconfigure	0.3-RELEASE		b30eae5a1cd9e69b8857d380e910686418ed036d
com.cognitect.aws	mobile	668.2.357.0		9a43f1ab14e95a7b2ace9864aa30397c58045bb8
com.cognitect.aws	mobile	697.2.391.0		80031413095b1e324b690779c368dc187897ee93
com.cognitect.aws	mobile	746.2.533.0		1dad1e9af6ff10552fc7310ba97dc86e93ea7b6b
com.cognitect.aws	mobile	770.2.568.0		1b884ed240b7672bb7be54a11fd0043627b5f210
com.cognitect.aws	mobile	822.2.1109.0		e1a7653130c8cdcb96c3082b4fefab0765d56054
com.cognitect.aws	mobile	847.2.1365.0		c12b2414700517abe65f1b1e15fbfa86871c9d48
com.denvys5	multi-agent-system-core	1.6.12		fc8f8d21fbffc87294a90f41e8421daa0450d332
com.denvys5	multi-agent-system-core	1.6.13		41794f6313a837edbbebe9ebf51d4ec61a839c25
com.farcsal.dql	query-dql	0.1.3		2a54ace36ef718de42172cd2d0cdcd2b36286490
com.farcsal.dql	query-dql	0.2.0		f3718be73269733067d43cfd7c763d14ed7597e4
com.farcsal.dql	query-dql	0.2.1		469c0c00efc1011a215d41d111438e6c9058b064
com.farcsal.dql	query-dql	0.3.0		15faa8d92cf051bcd20a1b5953e9b30eadfe410a
com.farcsal.dql	query-dql	0.4.0		d50ff472ce97bc66bf8faefc8dca69d7af143ebe
com.farcsal.dql	query-dql	0.4.1		adc5cc18907e72cbe99d6818a1c434b21d672828
com.farcsal.dql	query-dql	0.5.0		31534f6f8bc5e417a0bdf782c56948d6007e56a6
com.farcsal.dql	query-dql	0.6.0		7895b6c31e42381024779ec31496588e55fa7c38
com.farcsal.dql	query-dql	0.7.0		2c2b243f1656c686d9b01c65551924ed70620024
com.farcsal.dql	query-dql	0.8.0		1a86ee79bde2e16a3c68aa591d0f694a4915e7c5
com.github.aqiu202	spring-jpa-querydsl-spring-boot-starter	1.0.4		012c3ad929a375f6ac9262eb096c0aa8c205bf10
com.github.aqiu202	spring-jpa-querydsl-spring-boot-starter	1.0.5		bb41ff6f3b5dd8407bdb788633c32df5ccd9f4a9
com.github.aqiu202	spring-jpa-querydsl-spring-boot-starter	1.1.0		c8695994053e4afc9391c719adc5270e22b88de3
com.github.aqiu202	spring-jpa-querydsl-spring-boot-starter	1.1.1		484d4fcd252aed1d3b06c873b98dd973b661b6f1
com.github.aqiu202	spring-jpa-querydsl-spring-boot-starter	1.1.2		cf3367cf0ae9b92b28eb60fe6ce46b5fc40336c9
com.github.aqiu202	spring-jpa-querydsl-spring-boot-starter	1.1.3		4ac26099616e007280980f5fe8f56274f49d0e39
com.github.aqiu202	spring-jpa-querydsl-spring-boot-starter	1.2.0		b4924c4e379333112def9c5d75c8d5b4e3f6022b
com.github.aqiu202	spring-jpa-querydsl-spring-boot-starter	1.2.1		589be9f488674cb50a266488c131f14a53956ca6
