ch.epfl.scala	zinc-ivy-integration_2.11	1.0.3+30-660ed3cb		7874c8addabba00f7dcd17538d8afb9dbf816892
co.touchlab	stately-iso-collections-iosarm32	1.0.1-eap		N/A
co.touchlab	stately-iso-collections-iosarm32	1.0.2-a4		N/A
co.touchlab	stately-iso-collections-iosarm32	1.0.3-a4		N/A
co.touchlab	stately-iso-collections-iosarm32	1.0.4-a1-1.4-M2		N/A
co.touchlab	stately-iso-collections-iosarm32	1.0.4-a1-1.4-M3		N/A
co.touchlab	stately-iso-collections-iosarm32	1.0.4-a1-1.4.0-rc		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.0-a1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.1-a1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.10-a1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.10-a1	metadata	7a26c7a2df002d638065b505d1f1bf26b0e4708e
co.touchlab	stately-iso-collections-iosarm32	1.1.3-a1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.4-a1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.5-a1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.6-a1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.7-a1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.9-a1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.9-a1	metadata	fef0f2a8cd527bb3f23c938b56af0e85720f4fb3
co.touchlab	stately-iso-collections-iosarm32	1.1.9-a1-hmpp		N/A
co.touchlab	stately-iso-collections-iosarm32	1.1.9-a1-hmpp	metadata	60a766dd947f49a1b2da6e86b2976fe5b98da176
co.touchlab	stately-iso-collections-iosarm32	1.2.0		N/A
co.touchlab	stately-iso-collections-iosarm32	1.2.0	metadata	3c9cf2627fac8d5813a3e560d2b530c06af1efb8
co.touchlab	stately-iso-collections-iosarm32	1.2.0-nmm		N/A
co.touchlab	stately-iso-collections-iosarm32	1.2.0-nmm	metadata	c9cc10e13f94523aeeccfcf9399ee39085760c0d
co.touchlab	stately-iso-collections-iosarm32	1.2.1		N/A
co.touchlab	stately-iso-collections-iosarm32	1.2.1	metadata	eb0b2c72fa4086c549070fb0e2776f839e5dd629
co.touchlab	stately-iso-collections-iosarm32	1.2.2		N/A
co.touchlab	stately-iso-collections-iosarm32	1.2.2	metadata	0ebcbc482d8a98bcd4c825cd08cd741aea0fef1b
co.touchlab	stately-iso-collections-iosarm32	1.2.3		N/A
co.touchlab	stately-iso-collections-iosarm32	1.2.3	metadata	bd8c2034c564a3ba4c4991e864c82b120cfe1d9a
co.touchlab	stately-iso-collections-iosarm32	1.2.5		N/A
co.touchlab	stately-iso-collections-iosarm32	1.2.5	metadata	0bf8458f2025bcbc84c8d2643a7c6d9d43448ee1
co.touchlab	stately-iso-collections-iosarm32	2.0.0		N/A
co.touchlab	stately-iso-collections-iosarm32	2.0.0	metadata	aa36877e4512d6fcf4ae8494c32f9ac20458b1d2
co.touchlab	stately-iso-collections-iosarm32	2.0.0-rc1		N/A
co.touchlab	stately-iso-collections-iosarm32	2.0.0-rc1	metadata	44ace5e28b0411571862281cfc9431795398b709
co.touchlab	stately-iso-collections-iosarm32	2.0.0-rc2		N/A
co.touchlab	stately-iso-collections-iosarm32	2.0.0-rc2	metadata	49b4d94305e3c3eee3ec6224145e2b6b854b2903
co.touchlab	stately-iso-collections-iosarm32	2.0.0-rc3		N/A
co.touchlab	stately-iso-collections-iosarm32	2.0.0-rc3	metadata	d7ea71f2cce24169f01b44036bd212f319d2b802
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.13		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.13	metadata	5ee99a4f5a5f1d2dd2addcb49e54e674a4632097
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.14		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.14	metadata	e7c6127cb042e1656003894fd1e09b387fe171ee
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.15		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.15	metadata	7969c68ef00b1427e019df9e9fb7e734aa01af51
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.15-preview		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.15-preview	metadata	ea1c1936172c1bc8745616555503ec3ca5e4cc2d
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.16		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.16	metadata	31d4637deaeac0ec45c7247eab3cce13752ec3d6
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.17		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.17	metadata	3800e6dc2f7487daf95ce3ac40841a063758325e
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.18		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.18	metadata	1159d8c917afb6a79945091264c4d51f789d848f
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.18-preview		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.18-preview	metadata	0662a6844e693da1697068bffc5df8bf47563aff
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.19		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.19	metadata	e34888f87c8b65b32c7bf200cf41ec2d0d91894c
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.20		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.4.20	metadata	afa112d01f95e647ee434200edc512355a16a021
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.0		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.0	metadata	2231c579cbba110bade8b64c74741b7d9838cce8
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.1		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.1	metadata	28ef4fe054ca297d992b27df9b02004edc911075
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.1-preview.1.9.20-RC2		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.1-preview.1.9.20-RC2	metadata	d34f622f7c05d61163c57e1972b906f5e573f7fe
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.2		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.2	metadata	1dfebd31003c9bdbf6b41ac2efcd31428178f6ec
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.3		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.3	metadata	52e347e43761d8c1b2d74d33b1054b4a9c406157
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.4		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.4	metadata	329d86a32d6c1616e3904d38228f4fb8791e9815
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.5		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.5	metadata	b96729b5c52b99731b2b60fb644bef8f0bf119f0
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.6		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.5.6	metadata	bfd3514544c2427e42689348f647d396904da5c6
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.0		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.0	metadata	63b64873e46c1a983db380708c78d7c2c991e7a5
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.1		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.1	metadata	79a4e3ae18f1396d22baf4d8c110dc7492675d5c
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.2		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.2	metadata	5ce4f5be5beba280db2553432507d7a428132f59
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.3		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.3	metadata	7549d83d4d01110320bee72116ed7c93e86df8ed
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.4		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.6.4	metadata	5b04c4e9eced253d7770f46b0dc428d32f9d6a75
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.0		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.0	metadata	1e16743b3c4c569cfbde77e6dea9b1d13b4ef8f2
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.0-preview.2.0.0-RC2		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.0-preview.2.0.0-RC2	metadata	12176ff0b27dfc924edd5fb1bb1435cc1948f35e
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.0-preview.2.0.0-RC3		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.0-preview.2.0.0-RC3	metadata	35fc9e0e04886a8c7ae758b10f4d26210a503e02
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.1		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.1	metadata	1adb6327628786d316c151ade8983b34f0c331d0
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.1-preview.2.0.0-RC3		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.1-preview.2.0.0-RC3	metadata	6f4b583cde1c34bf2a48e4f3f43efaeefe04b4f5
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.2		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.2	metadata	fb413c0eff03f767d4ad81db7e3c588f842f842b
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.2-preview.2.0.0-RC3		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.7.2-preview.2.0.0-RC3	metadata	27e6b32fd0d9b5889196b9d1d6ef6a3724f3842b
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.0		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.0	metadata	0a3f7df1186d194c368f9db435601ebb017a706a
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.1		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.1	metadata	81c9e65eb830b606b6edea33886adeed4775a48d
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.2		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.2	metadata	f4b35a0ed44ee310b5eafa36bd1bbee781aa471a
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.3		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.3	metadata	571841fee164ff562d7f753e101741a8b2d293d7
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.4		N/A
co.touchlab.skie	runtime-kotlin-tvosarm64__kgp_1.8.20	0.8.4	metadata	6c2d6802ff938a3e6b301a8ecd8b94d0129377a4
com.47deg	fetch-monix_sjs0.6_2.12	0.5.0		01079a93561176b84f625d981c21372ab1de297f
com.47deg	fetch-monix_sjs0.6_2.12	0.6.0		5d4603dc3b937cafa31da5e7ceebdd2ad966ab76
com.47deg	fetch-monix_sjs0.6_2.12	0.6.1		087a6c91ffafadec2f55e5ef96020fdce69155f4
com.47deg	fetch-monix_sjs0.6_2.12	0.6.2		106f99d87c6a39654677f6c77978909f89155a67
com.47deg	fetch-monix_sjs0.6_2.12	0.6.3		37cdb87d1a02d3c3ec9fd969d03f5ca179077edc
com.47deg	fetch-monix_sjs0.6_2.12	0.7.0		19754a88cce1b2e96e3a567fa14b5235c4a5c483
com.47deg	fetch-monix_sjs0.6_2.12	0.7.1		ac2b579f9bbd05f003ae7c958eb44266332656be
com.47deg	fetch-monix_sjs0.6_2.12	0.7.2		d39392e8312c4bdbea6ab2fecf02895aece1240a
com.47deg	fetch-monix_sjs0.6_2.12	0.7.3		dda3b90c8a06fa725d445bea216424e57246689f
com.agentsflex	agents-flex-store-vectorexdb	1.0.0		fd8f773aa7a94dc67e0f04e439dffb36126c87e0
com.agentsflex	agents-flex-store-vectorexdb	1.0.0-rc.10		22c2e882882a90561c78ddf62043830c58f5cfce
com.agentsflex	agents-flex-store-vectorexdb	1.0.0-rc.7		3ffc2e107a5cd22450cd7a05dd294ec744e9e270
com.agentsflex	agents-flex-store-vectorexdb	1.0.0-rc.8		205313e0fcef9c64988f70f5cccce7d377174699
com.agentsflex	agents-flex-store-vectorexdb	1.0.0-rc.9		b5b46f0677f93811129323679d4501cb91c2ea50
com.agentsflex	agents-flex-store-vectorexdb	1.0.1		3b3026f85a367d5df450eb7dbc64c32d92de3491
com.agentsflex	agents-flex-store-vectorexdb	1.0.2		07a5b64e4a12d80df7e68d910d1398aaba1fb0fa
com.agentsflex	agents-flex-store-vectorexdb	1.0.3		2d42bf150a5197eb4a14fdae92d0d2d7630bcfce
com.agentsflex	agents-flex-store-vectorexdb	1.0.4		7fa2a28ad118836048756143f2dd31d6c3e9c277
com.agentsflex	agents-flex-store-vectorexdb	1.0.5		195dd428e47030242cf073e667119cce8d6d3a79
com.avast	sst-jvm-pureconfig_2.12	0.1.11		0e33ffaf7fa9366935c6bf16f4c78fbcb5b25c93
com.avast	sst-jvm-pureconfig_2.12	0.1.12		52cdf725806bae5ba5a962f28f85b3eb5ccd477f
com.avast	sst-jvm-pureconfig_2.12	0.1.13		441eb0081383804b2367c3b430e8ef6306b0a94e
com.avast	sst-jvm-pureconfig_2.12	0.1.14		8b439fb6d2598ef4a602098a417abfa3c8bcf12c
com.avast	sst-jvm-pureconfig_2.12	0.1.15		8b62e41b4198fb8c018256cb3edaca8a1ffbee82
com.avast	sst-jvm-pureconfig_2.12	0.1.16		032418d17f6148286d2f2e6aac715d4fb2d600f0
com.avast	sst-jvm-pureconfig_2.12	0.1.17		55c882193a0d0413c49c40a4cb34a45f2efa9f39
com.avast	sst-jvm-pureconfig_2.12	0.1.18		69effc71d8d8e85f469bfc878fa3bb4f94179184
com.avast	sst-jvm-pureconfig_2.12	0.1.21		288ed792a884e314c0bd8901ac9ebd86a5b33ea6
com.avast	sst-jvm-pureconfig_2.12	0.1.23		b4c3ba1915212c569f1746bfa9074e18c494a676
com.avast	sst-jvm-pureconfig_2.12	0.1.24		30572fe6e9ced4ef4824a28cb9e9e0795ddd85c0
com.avast	sst-jvm-pureconfig_2.12	0.1.25		e66d78159fe69e984586a13e78e1b9b6286f932c
com.avast	sst-jvm-pureconfig_2.12	0.1.26		ba9157a6deb8a15b647a2a285c27b3c1a67ddbc6
com.avast	sst-jvm-pureconfig_2.12	0.1.27		8874601c17a22ba14f48234230ed3399291bf9fe
com.avast	sst-jvm-pureconfig_2.12	0.1.29		56fd9aec80eb1cd94198f02ee60c26eca1788f41
com.avast	sst-jvm-pureconfig_2.12	0.1.30		80dfa896484eb24d0a67d2da4eedea3f5c107540
com.avast	sst-jvm-pureconfig_2.12	0.1.31		5c956faa9a39c281abdbe01d413d479a66b4b450
com.avast	sst-jvm-pureconfig_2.12	0.1.32		e2deca425895b47c1ab7aae37fc69820a66557c0
com.avast	sst-jvm-pureconfig_2.12	0.1.33		9156d955022e7f240efdaf59518b9e13b2e1553c
com.avast	sst-jvm-pureconfig_2.12	0.1.34		9ca449835262daa96635aff6559f8c19a32a4736
com.avast	sst-jvm-pureconfig_2.12	0.1.35		dc6f947d0ff781350de810049075e8dc1fd4c678
com.avast	sst-jvm-pureconfig_2.12	0.1.39		b3d73cc0825b0f748edc9a7fd2defc07c206b4f0
com.avast	sst-jvm-pureconfig_2.12	0.1.4		393a091bdffac97ba2da1e1006f1b747ebfaaaa7
com.avast	sst-jvm-pureconfig_2.12	0.1.42		edc433fb931994906365be6ef79812cfa62cae56
com.avast	sst-jvm-pureconfig_2.12	0.1.43		9f2948691b7103b29de6e0ecf25299fa672f1cdd
com.avast	sst-jvm-pureconfig_2.12	0.1.44		ccf61c244955b7a807ca9e2785d89e5b0ab78e5e
com.avast	sst-jvm-pureconfig_2.12	0.1.45		393a2df2e7d38a081d9a46975df32bd228a8eba6
com.avast	sst-jvm-pureconfig_2.12	0.1.46		50ce7b246e95d57d3a8ddfb593fdd75b126bc4cf
com.avast	sst-jvm-pureconfig_2.12	0.1.47		d0b22fda3c07ff0c7b854da9525639a88beb2cf7
com.avast	sst-jvm-pureconfig_2.12	0.1.48		1f186575db6ea34e7748361d866965f0439d431e
com.avast	sst-jvm-pureconfig_2.12	0.1.5		faba9c5cbcb1c4acbc0e378e2fa8b954520b8255
com.avast	sst-jvm-pureconfig_2.12	0.1.6		538276a757b2ca36c4e4d83e48931202d5042260
com.avast	sst-jvm-pureconfig_2.12	0.1.7		77ebc285167d2f4925de82719f56e6126737d0c1
com.avast	sst-jvm-pureconfig_2.12	0.1.8		49570cdab2025c87c540e5341bc938dd90afe4dc
com.avast	sst-jvm-pureconfig_2.12	0.1.9		18e578aa31e09dd30486b87ceb7fd270b5dedfca
com.avast	sst-jvm-pureconfig_2.12	0.10.0		cc96530ec979db404a6c59c215455181ccb395e8
com.avast	sst-jvm-pureconfig_2.12	0.10.1		7a84c04f1bd22230c41ce8226df830b1b805c6b8
com.avast	sst-jvm-pureconfig_2.12	0.10.4		6d775c82ad2e36a5d23817f1ebe97cf6e4481ef4
com.avast	sst-jvm-pureconfig_2.12	0.10.5		0930a522af0fe7438fd5adbc5fd7f6cbaee5d52a
com.avast	sst-jvm-pureconfig_2.12	0.11.0		d09afcf5ccbe58f1e66cf38ea0143a3a816a2594
com.avast	sst-jvm-pureconfig_2.12	0.11.1		c4c39f45027b66ed5919ce5f261c31445b3db579
com.avast	sst-jvm-pureconfig_2.12	0.11.2		f79609d0e309a01f5d6a343882e52cb951c96e20
com.avast	sst-jvm-pureconfig_2.12	0.11.3		742d080cac46d302400c35796ffeeb1b2b27925c
com.avast	sst-jvm-pureconfig_2.12	0.12.0		8b884e48bc93982bbd2d0fb223abf87b70281a8d
com.avast	sst-jvm-pureconfig_2.12	0.12.1		2c37402d030142e37102fe9d5bd336f912f4dc26
com.avast	sst-jvm-pureconfig_2.12	0.12.2		a81a345a074534a2259d31967043385f59e32b71
com.avast	sst-jvm-pureconfig_2.12	0.12.3		0cb4777c3e99f1262cada11e8fdaaddf46a15f19
com.avast	sst-jvm-pureconfig_2.12	0.12.4		7ce6131ad913cf676e4670c03105e2ac40b1c798
com.avast	sst-jvm-pureconfig_2.12	0.12.5		b9436c418c324babf2653f7befc9160d049b53d7
com.avast	sst-jvm-pureconfig_2.12	0.14.0		e29dde003724eb4181a875ed4238a8304cd5e97f
com.avast	sst-jvm-pureconfig_2.12	0.14.2		2785c71e7dd9e11f35398a9e90a1333f18e74ec4
com.avast	sst-jvm-pureconfig_2.12	0.14.3		36d0f8d59a69befb51f6aeb8fc453849eae11ee9
com.avast	sst-jvm-pureconfig_2.12	0.14.4		05cb46bbfc1ec3831d3ea45056094c93b2ea8853
com.avast	sst-jvm-pureconfig_2.12	0.14.5		8bcf27e20860c4ca894b1307f824f97d63baa6e9
com.avast	sst-jvm-pureconfig_2.12	0.14.6		399b018bcbd74c99ad4171bb01f56a276938be54
com.avast	sst-jvm-pureconfig_2.12	0.15.0		d655f52e3830dbc59118cd6a47264ac036a81d0d
com.avast	sst-jvm-pureconfig_2.12	0.15.1		b751d4568702e55ce09247eefe4d4acf48f07378
com.avast	sst-jvm-pureconfig_2.12	0.15.2		b69af4e15246762a62317644460d21ba4c0a9191
com.avast	sst-jvm-pureconfig_2.12	0.15.3		cc60f3c7361c7a9afa3ea5a7437f6f5ba44eeee1
com.avast	sst-jvm-pureconfig_2.12	0.15.4		e0b43d99de5fb87ed63f16c08bd59b8b61e34084
com.avast	sst-jvm-pureconfig_2.12	0.15.5		5e7ff128b48720c68c783ad6933db398de81b573
com.avast	sst-jvm-pureconfig_2.12	0.15.6		e8fcd0c54b9827a98a9971bd0234d8bce09c9188
com.avast	sst-jvm-pureconfig_2.12	0.15.7		2d13965d30ef0aa3790ea6f2adbd9fb1b635a5e8
com.avast	sst-jvm-pureconfig_2.12	0.15.8		76bdde9bcf39fa159875b9b40062f4d98c005ac1
com.avast	sst-jvm-pureconfig_2.12	0.16.0		cf0603f3a018852725a6ced58b1676eee1688959
com.avast	sst-jvm-pureconfig_2.12	0.16.1		c54a69eac6c04365e4a1e2aff01924f4747444ff
com.avast	sst-jvm-pureconfig_2.12	0.16.2		4ae7e32fdb0c44a6cc62d49d2d8a149ada3be21c
com.avast	sst-jvm-pureconfig_2.12	0.16.3		db015f9146f34f04048a851aba50e017c371fca6
com.avast	sst-jvm-pureconfig_2.12	0.17.0		513aef6b12310729a9c104ab9c89af8e3d8591e9
com.avast	sst-jvm-pureconfig_2.12	0.17.1		12c08fa5564920efd583f6a1227208a03ef425a9
com.avast	sst-jvm-pureconfig_2.12	0.17.2		91fef640766e16f0245743e06c728b34bf0b9a39
com.avast	sst-jvm-pureconfig_2.12	0.18.0		5dac06a33f6807b0dbf2609af8883d57bd4a142a
com.avast	sst-jvm-pureconfig_2.12	0.18.1		5109aa5ab42b4281a719f4fed0f87b3cba8afb5e
com.avast	sst-jvm-pureconfig_2.12	0.18.2		b3ec0707524e5cccb9994958a2b74fac39f13b25
com.avast	sst-jvm-pureconfig_2.12	0.18.3		d19c672223cf34003850123c5d196df8f52cdd6e
com.avast	sst-jvm-pureconfig_2.12	0.18.4		3942ff3578ec039dea792ad29fcb60be7528bbf9
com.avast	sst-jvm-pureconfig_2.12	0.18.5		5cd12c9d837243564990275d7d3f790f13375633
com.avast	sst-jvm-pureconfig_2.12	0.18.6		3d0453e8269997def43fe48e0a26e97836cf75f4
com.avast	sst-jvm-pureconfig_2.12	0.19.0		4e3247343a97263ab0c243431a4c10bf832f76d8
com.avast	sst-jvm-pureconfig_2.12	0.2.0		01112e19e1919655b333a3c2d7ec8e2ae3774cea
com.avast	sst-jvm-pureconfig_2.12	0.2.1		c88a80eb77c546b4ae32aae8898b7ee9406ab596
com.avast	sst-jvm-pureconfig_2.12	0.2.2		500b27c6074212197f038827df4573228c6356c0
com.avast	sst-jvm-pureconfig_2.12	0.2.3		9bc16e8ce4011a846cc5da018426ddfb30ac5034
com.avast	sst-jvm-pureconfig_2.12	0.3.0		59eb93eeee767dc635555d32f6d0e010adf35ac0
com.avast	sst-jvm-pureconfig_2.12	0.3.1		cd48b5d4d1fc061fca148fa76c3b2adf9a22b98a
com.avast	sst-jvm-pureconfig_2.12	0.3.2		3272beabbe323e78ef9482899b4fd796b99e0b43
com.avast	sst-jvm-pureconfig_2.12	0.3.3		2550fd473b897a921893cd9e62d225ee347aa778
com.avast	sst-jvm-pureconfig_2.12	0.4.1		5cd00326bf93e1987dd5b3e4db96293bde760188
com.avast	sst-jvm-pureconfig_2.12	0.4.2		ec9413e49363ed682944471c519f5624ca7fb4b4
com.avast	sst-jvm-pureconfig_2.12	0.4.3		51a5f1d5d96b8dee441bf60fcd9c4a9d05c72e6f
com.avast	sst-jvm-pureconfig_2.12	0.5.0		75f698970715cce6f3c08e6b3a45ec2766f2b428
com.avast	sst-jvm-pureconfig_2.12	0.5.1		bf31c43ac4cb227abd5183e9a24c754682de3a81
com.avast	sst-jvm-pureconfig_2.12	0.5.4		2efef089c55abd1654525e2eec184adfc1a505ef
com.avast	sst-jvm-pureconfig_2.12	0.5.5		ee8a73d52f1ee0f81802d214cef6243bbb091f3d
com.avast	sst-jvm-pureconfig_2.12	0.5.6		8468bd3752697b1861c556f0d37f3a2a5aeb4aca
com.avast	sst-jvm-pureconfig_2.12	0.6.0		468b782e4daac75360635846fd70c4dce8dfe2e2
com.avast	sst-jvm-pureconfig_2.12	0.6.1		9d8db74d8210e5cf984541adb1836e324e61c755
com.avast	sst-jvm-pureconfig_2.12	0.6.2		bd1e37ab4a130c4ad3d1c082343c2b72845f7c52
