ai.yda-framework	openai-assistant-generator	0.1.0		267dd6fa50cfd4d5bd4b9f92de38de62d5ad8fd3
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.11.7		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.11.8		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.12.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.12.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.12.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.12.3		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.13.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.13.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.13.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.14.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.15.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.16.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.16.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.16.3		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.16.4		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.17.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.17.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.17.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.17.3		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.17.4		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.18.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.18.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.19.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.20.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.20.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.21.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.21.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.22.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.22.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.22.3		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.22.4		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.22.6		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.22.7		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.23.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.23.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.23.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.23.3		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.23.4		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.10		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.11		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.12		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.13		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.3		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.4		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.5		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.6		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.7		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.8		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.24.9		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.10		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.11		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.12		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.13		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.14		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.15		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.16		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.3		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.4		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.5		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.6		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.7		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.8		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.5.9		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.10		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.11		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.12		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.13		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.14		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.15		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.16		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.17		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.18		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.19		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.20		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.21		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.22		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.23		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.24		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.25		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.26		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.28		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.3		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.30		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.31		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.32		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.33		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.34		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.35		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.36		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.37		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.38		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.39		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.4		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.40		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.41		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.42		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.43		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.44		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.45		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.46		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.47		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.48		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.49		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.5		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.50		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.51		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.52		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.53		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.54		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.55		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.56		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.57		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.58		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.59		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.6		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.60		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.61		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.62		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.63		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.64		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.65		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.66		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.67		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.68		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.69		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.7		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.70		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.71		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.72		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.73		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.74		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.75		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.76		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.77		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.78		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.79		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.8		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.80		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.81		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.82		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.83		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.84		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.85		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.86		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.87		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.88		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.89		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.9		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.90		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.91		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.92		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.93		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.94		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.95		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.6.96		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.7.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.7.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.7.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.7.3		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.8.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.8.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.8.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.9.0		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.9.1		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.9.2		N/A
com.anaptecs.jeaf.generator	jeaf-generator-test-model	1.9.3		N/A
com.azavea.geotrellis	geotrellis-server-core_2.11	4.0.1		20a967f3adac12c94ba9ae8c4744c26bc083104d
com.azavea.geotrellis	geotrellis-server-core_2.11	4.1.0		d7d81242d1c2ace29e34a34b7c79e09fe635540f
com.azavea.geotrellis	geotrellis-server-core_2.11	4.2.0		c6ceebd685050861a24934c0604b76b04ca52f96
com.azure	azure-analytics-purview-administration	1.0.0-beta.1		ed8acb3dae61b4bcb1ed470dba1039d74967404f
com.cueker.util	poi-excel-parser	1.0.0		N/A
com.cueker.util	poi-excel-parser	1.0.1		N/A
com.cueker.util	poi-excel-parser	1.0.1.01		N/A
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.2.1		f0a79fa41447844bdb18d935b02ee54a4d953618
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.2.2		f1cb36f4c7984881155432b6d696daf9079acd55
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.2.3		0b9c40a1ea3df2a74cf14d6ce8ecf1f5b5e2b58a
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.2.4		c20648841e95fe9a7a99f4d3a6f6098ef69496ad
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.1		96579fe9c7374cbc4863c6cf8cf70da9fb184402
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.10		0a16d82cd7c4d5d87c30de21d00b98703ff46da6
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.11		7fd611b30e4fa489ae67c8b9183fefccabb36a94
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.12		50fe8a24d30372cc057df403d0ff030b02c24025
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.13		0d703c332a62438b6e5fa3089142cd1e9d506e39
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.14		d8aa34189b013a4ac105ab7e791d47f94c5e2fde
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.15		4b5250fe05fb08189d0a21926a6bd5f7b5b248fa
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.16		184ea4891f64fa3ab3b4df2067da2a9916943806
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.17		8689dd16a6c11752e02bd3112d48bde11dadfcde
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.18		10def140851f5767c6e12a28bb9de179e1fcf201
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.19		8af2810acc0ff788908f1ce8d6946973b53aa4c4
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.2		e12da693cc0c15a6ae5603e460e486c993ed2804
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.3		1b86bad3b6405e53e8966235d83639e558c14477
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.4		77a187e4be3b469c410a495022a38fc9610da4d5
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.5		5938c84f20a25a977073d078999076abb81b11ff
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.6		76eb5e66e662f31e9498357b9478b9b07d4873b9
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.7		8b9525c34b3abcf2296bbd60d2a03d95cd6f301b
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.8		e3e25135e518ae6297bebd26cc6e8a72427c57a7
com.eurodyn.qlack2.fuse	qlack2-fuse-lexicon-api	2.3.9		f53331277a476d289b2571ab313ab21ddaddcb1a
com.fadlurahmanfdev	kotlin_feature_printer	0.0.1		N/A
com.github.duxvfeng	autoId-spring-boot-autoconfigure	1.0.0		378e0051bf7f83c22a83bca972490151300aa0bc
com.github.duxvfeng	autoId-spring-boot-autoconfigure	1.0.1-RELEASE		49f6324e7b75997e11c85ba14147a77b233a1acf
com.github.duxvfeng	autoId-spring-boot-autoconfigure	1.0.2-RELEASE		3bc88f349807c8920d5a96b2d0d7df1a0f140f8f
com.github.fomkin	korolev-bridge_2.12	0.1.0		79531242c3711a0c033f02aad40feb1f990f0af6
com.github.fomkin	korolev-bridge_2.12	0.2.0		651aaafec28465e0d77162b4cbd8941ed495171b
com.github.fomkin	korolev-bridge_2.12	0.2.1		9a71a8be4906369dcc691d89fa85bc78779aa6fd
com.github.fomkin	korolev-bridge_2.12	0.3.0		5f908c8d79f3957cb9126b94364ed234c5fa13ed
com.github.fomkin	korolev-bridge_2.12	0.3.1		3a6dcdd95272d3963bb799f08ec1eebb41ac80a0
com.github.fomkin	korolev-bridge_2.12	0.4.0		486581753b40ace238de0a6b6e0a1c22d37f3e8e
com.github.fomkin	korolev-bridge_2.12	0.4.1		e42dd1d4557e84e5a1e2a5578c2f0453c6079697
com.github.fomkin	korolev-bridge_2.12	0.4.2		4dc61446f324000fc1f80b3cb177b23f0d24dbc6
com.github.fomkin	korolev-bridge_2.12	0.4.3		8b8f4a004a3d23fde24cca4fe1cd57a5765e5921
com.github.fomkin	korolev-bridge_2.12	0.5.0		422bca7bfc38842953cb6c56f498b201e6b620ac
com.github.fomkin	korolev-bridge_2.12	0.5.1		9f8f4eadd49c233b41147f2309b0c34e7502f366
com.github.fomkin	korolev-bridge_2.12	0.5.2		ee59dea3c727af4d974bc075786d416cd5207640
com.github.fridujo	spring-automocker-jdbc-sample	1.1.0		ddedec1db75a45ae98b7ae033576c809d574ab2b
com.github.fridujo	spring-automocker-jdbc-sample	1.2.0		646a9cf5930aeccf52d0a9ea1c5182e81a05a419
com.github.lailaik	halo-static	1.1.1		a346d4d7dade2294a6406e26198627aabbfb9504
com.github.skydoves	sandwich-ktor-iosx64	2.0.0		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.0	metadata	bfbe6acd377873efafea09886425e6bb83d29423
com.github.skydoves	sandwich-ktor-iosx64	2.0.1		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.1	metadata	1b10f6f33c9ff2d4657b3fb24636917b857069fe
com.github.skydoves	sandwich-ktor-iosx64	2.0.10		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.10	metadata	6eb89da1011a6086e1df54addf4f88db0f16e851
com.github.skydoves	sandwich-ktor-iosx64	2.0.11		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.11	metadata	311bece3acf35133d6d6ad84e136dfebd79a3aa6
com.github.skydoves	sandwich-ktor-iosx64	2.0.2		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.2	metadata	64f3c16073eb8ccfb617945f1347ccedf65b6e7b
com.github.skydoves	sandwich-ktor-iosx64	2.0.3		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.3	metadata	82d04800a56fb0d70452d6204dc8a1bdcdb78205
com.github.skydoves	sandwich-ktor-iosx64	2.0.4		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.4	metadata	93c6d1df5240c4b6045cc31ecd7f6845175f3e5d
com.github.skydoves	sandwich-ktor-iosx64	2.0.5		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.5	metadata	1680eabd22cedf44607463deb9d370f346243602
com.github.skydoves	sandwich-ktor-iosx64	2.0.6		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.6	metadata	b1458a38d8d2373247da1339d050fdb4adfa10c9
com.github.skydoves	sandwich-ktor-iosx64	2.0.7		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.7	metadata	022af6e498c545eed0d687573d837b7251b5ddc6
com.github.skydoves	sandwich-ktor-iosx64	2.0.8		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.8	metadata	1a30ba6e409a678fe51cf92b01c29ef497253198
com.github.skydoves	sandwich-ktor-iosx64	2.0.9		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.0.9	metadata	a5e7febca1624b17b3b8354538c106d7e912334c
com.github.skydoves	sandwich-ktor-iosx64	2.1.0		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.1.0	metadata	0c385f7cecfde27b8fd583a90ed74281ffd36f01
com.github.skydoves	sandwich-ktor-iosx64	2.1.1		N/A
com.github.skydoves	sandwich-ktor-iosx64	2.1.1	metadata	6d616bd2ef8f36ae03d466445d782cdb864c6445
com.github.tantalor93	structlogger-tests	0.1.0		9ab7d8077d06d6154f3ec054d44093db5a32c127
com.github.xenoby	protobuf-runtime-scala_native0.3.6-20-g0afae98f36_2.11	0.7.0-rc7		a9e2d18afde40899c2f34b04d4d38f3fbac54636
com.gitlab.summer-cattle	cattle-commons-webmvc	0.0.1		0a19a904067769b80236d7123d40779854596e34
com.gitlab.summer-cattle	cattle-commons-webmvc	0.0.1.SP1		ed945e35834ab902642aceb7942c47e9239a6cbe
com.gitlab.summer-cattle	cattle-commons-webmvc	0.0.1.SP2		5477873360dceff0223175c5c587daf60b0ae0bf
com.gitlab.summer-cattle	cattle-commons-webmvc	0.0.1.SP3		bd1412b006c7f086e7f28e2b99c1442289d6ea3a
com.gitlab.summer-cattle	cattle-commons-webmvc	0.0.1.SP4		61048fd0f8e9578dcb8d7d7edce87249ae4fcbdf
com.gitlab.summer-cattle	cattle-commons-webmvc	0.0.2		a28dd4c2e583c0a5ff5976c860ed7feb20bc7668
com.gitlab.summer-cattle	cattle-commons-webmvc	0.0.3		826d42b6c142aa0045cea09d1d6c8cfa60063b7a
com.gitlab.summer-cattle	cattle-commons-webmvc	0.0.4		1ac70d4efdd3003d53bfae7ee363761f6fd767ed
com.gitlab.summer-cattle	cattle-commons-webmvc	0.0.5		9bea65e341965400ee0898ca3c9f20c4fb7f874b
com.glue42.gateway.client	gateway-connection-local	1.3.1		7c92c54a36ffaaf4896cde3115403b8c0c4c6ae1
com.glue42.gateway.client	gateway-connection-local	1.3.10		f2fd55ccf97b675ce7b2ad7f1fcbe12ee6d5c584
com.glue42.gateway.client	gateway-connection-local	1.3.11		2b34af895d95ea72df66ae6b2a85d772e5e183c4
com.glue42.gateway.client	gateway-connection-local	1.3.12		0528201065492083f006e1cbb53c0029767d6b4d
com.glue42.gateway.client	gateway-connection-local	1.3.13		abe81af714db9469425132dfe7abc782938615f7
com.glue42.gateway.client	gateway-connection-local	1.3.14		e89c6124d15c80b2d3204b053526980a4279cd92
com.glue42.gateway.client	gateway-connection-local	1.3.15		27e5a57b00b2a90a0b22da8b5bb0b42ab68d3725
com.glue42.gateway.client	gateway-connection-local	1.3.16		464c8675d7c5fdb5d22453d8d13177818be0f6d4
com.glue42.gateway.client	gateway-connection-local	1.3.17		51778f3aba0f4f17cfb03fe3fa392f327c03de6b
com.glue42.gateway.client	gateway-connection-local	1.3.2		f5d710dfe8863cdb44b7495b691b30d5dd888241
com.glue42.gateway.client	gateway-connection-local	1.3.3		876acfddac94ac37e1a03469841a9db1457e6a07
com.glue42.gateway.client	gateway-connection-local	1.3.4		d8538499185cdf09c993a4b5758a5a7244a22265
com.glue42.gateway.client	gateway-connection-local	1.3.5		e57da1ffeef0f453260c401d976d16e2ba9dc0f6
com.glue42.gateway.client	gateway-connection-local	1.3.6		7b3ea2228ffdaa06c0d0550b72b821abef4614ce
com.glue42.gateway.client	gateway-connection-local	1.3.7		4e20aefab843e8b525ea9a316513b03558faa61d
com.glue42.gateway.client	gateway-connection-local	1.3.8		ec5d8cadf24d0ebd0bf7a6aba5d4ac010416f0df
com.glue42.gateway.client	gateway-connection-local	1.3.9		30b9f1be218ae841cfd01c59776a834a3ea142eb
com.glue42.gateway.client	gateway-connection-local	1.4.0		fcda07e673541e9a69172f9266f3d55fc3c9be38
com.glue42.gateway.client	gateway-connection-local	1.4.1		bb2d57d024564e7fc30a81962fecc166182cb538
