au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-app-derby	2.0		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.1.3		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.1.3	metadata	bf75dd1fc5815d069ea5790062df05b6d8c664a5
co.touchlab	kermit-crashlytics-watchosarm64	1.2.0-M2		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.2.0-M2	metadata	bf8aa2a47b0bd1495e69eb7847b4287f0d1c9ff6
co.touchlab	kermit-crashlytics-watchosarm64	1.2.1-alpha		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.2.1-alpha	metadata	da8d8b3dcb21c61f7bd6088dd8e84e8be9b3d93a
co.touchlab	kermit-crashlytics-watchosarm64	1.2.2		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.2.2	metadata	4d32866a4478f6e79f6d92be6fe0b3974b058ff6
co.touchlab	kermit-crashlytics-watchosarm64	1.2.3		N/A
co.touchlab	kermit-crashlytics-watchosarm64	1.2.3	metadata	fbf876c83bd0ee5efb740429a4f978bbc5b072d9
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0	metadata	3854627fee15125e06fd7fbabc3d477d00061adb
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC	metadata	cef2b412ef671a2307709ed1f99f0db83b12d775
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC2		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC2	metadata	d7f972ff6f328742f7d25a3d8434d9e33e536dba
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC3		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC3	metadata	d145a964dc4c3c290c1f7d1c649fc3fdea444c1e
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC4		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC4	metadata	20638abcdcdf85788cd786e86e9f78bf9b6895f6
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC5		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.0-RC5	metadata	8d1b52bc4a329c3103f3f84d567c6c285957143b
co.touchlab	kermit-crashlytics-watchosarm64	2.0.1		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.1	metadata	f34aa054fecce8d92d687e90113effece3fc692d
co.touchlab	kermit-crashlytics-watchosarm64	2.0.2		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.2	metadata	67314c1309cdc8931475bdda6d9c621764864858
co.touchlab	kermit-crashlytics-watchosarm64	2.0.3		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.3	metadata	ed39cd03bbb42d69b10340e419de77e78c18112b
co.touchlab	kermit-crashlytics-watchosarm64	2.0.4		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.4	metadata	97ae2fecb556c466e6bf75b70de5ac0bb44fcb58
co.touchlab	kermit-crashlytics-watchosarm64	2.0.5		N/A
co.touchlab	kermit-crashlytics-watchosarm64	2.0.5	metadata	5e96de4248692878c1797426635d513ae9c29827
com.arangodb	velocypack	1.0.0		288ede34e51b736c28d2b40bc285eb9557dbf675
com.arangodb	velocypack	1.0.1		9b90fd3ef497cb324781b80d0928a2c7ae4f4d8c
com.arangodb	velocypack	1.0.10		228edc5f87289da1cf8c0340e0a084f5603d7f2f
com.arangodb	velocypack	1.0.11		89c0311e03c028b613cacb59b5400673dfa9bb1d
com.arangodb	velocypack	1.0.12		3a768f6532c35b3c9dadd740d7e4b8f7f752187e
com.arangodb	velocypack	1.0.13		df37aced2630bd1809449fddb98e0184a238caab
com.arangodb	velocypack	1.0.14		3452c9464282b0ffbdeff4f6fb5d82ebb4341201
com.arangodb	velocypack	1.0.15		8f786a675b0bfd8d0fb98014eea49bef91feab8a
com.arangodb	velocypack	1.0.2		3e805ce6f76540427fa2fa7c258cbbfeec0ff5c5
com.arangodb	velocypack	1.0.3		4c785a9e45c0cbc67e593aab3596b5d908a40be0
com.arangodb	velocypack	1.0.4		98f902f0a40ce61d07d3ae62b1215ccc8c517723
com.arangodb	velocypack	1.0.5		823f77a467dc636a510a2cd62aa42460da3f0d12
com.arangodb	velocypack	1.0.6		fcea726108c99ce66fff7ce20a112772d783d2fb
com.arangodb	velocypack	1.0.7		6d17e033935ba0ae2199f89d42724bad9dc0d4a1
com.arangodb	velocypack	1.0.8		537ab6c778c74b1183de50169c74c9766cda9090
com.arangodb	velocypack	1.0.9		a697808f04c0d8a169d283cb29e78da1c58c96cf
com.arangodb	velocypack	1.1.0		8a2bf114f6ffe7344071a41bb505f749ac65d4ab
com.arangodb	velocypack	1.2.0		fa3d2ef149535a10098767dd7d705e6a2dbd0967
com.arangodb	velocypack	1.3.0		268fe99a11bbf25c9745887c106b619366488d33
com.arangodb	velocypack	1.4.0		d1b62a4b7199e6d898a00ce1cc26f2ebb6e1a0e3
com.arangodb	velocypack	1.4.1		85eae5b5483996c2ba3e2343772cca71d0e8a469
com.arangodb	velocypack	1.4.2		ba8f0c4cdebb8259c553a84d7670b7484612dae4
com.arangodb	velocypack	1.4.3		e30abc62caf397ac9e3e14ee0b1c67a17dcd3dea
com.arangodb	velocypack	2.0.0		cb8e511d77f98af592dd7b735bf3823b9b8225a0
com.arangodb	velocypack	2.1.0		c030440b66b654472cd66297eed9a714aa0eb1f0
com.arangodb	velocypack	2.1.1		0cb6c2734364dc2a301f45802eb8e9a3de8d157b
com.arangodb	velocypack	2.2.0		b89dbd78d1f481daec670c94cf93e732ad8aba70
com.arangodb	velocypack	2.2.1		20804c6d9c3872273f49157619106f31759b8a16
com.arangodb	velocypack	2.3.0		9fa4f4e7232607362c2b84af9eb932a2ef64f0be
com.arangodb	velocypack	2.3.1		beca8535c67b091a8345a8e684481b8aca7af7ea
com.arangodb	velocypack	2.4.0		f85fbd3ad1603e31e1a7cbe7f06a919ade6b54c2
com.arangodb	velocypack	2.4.1		3dee343fad627d7cfc4749dccbb041ea12d96bc4
com.arangodb	velocypack	2.5.0		597b076f1c3d80f70370964ab68427aa98bc231c
com.arangodb	velocypack	2.5.1		bfef5e109bfbcbe29236493beb17fab183928b18
com.arangodb	velocypack	2.5.2		6c7de649d310ec562f3650e6f31d0a925b259f97
com.arangodb	velocypack	2.5.3		e403d9956808d3e4d4c459c544d1717f7a676894
com.arangodb	velocypack	2.5.4		0ae0f162f2750da9db54ab5ac73357330b225a14
com.arangodb	velocypack	3.0.0		e69788442693c4798de783edbe7d7536c57773d2
com.arangodb	velocypack	3.1.0		04bd511f55d42bfdcb1d56778e3fcc94c46e6d3a
com.benasher44	uuid-jvm	0.0.1		46f4726653e036271ceb3fe14a6f540744048211
com.benasher44	uuid-jvm	0.0.2		9820166a81e78eee1e58206e054c66045fa652f6
com.benasher44	uuid-jvm	0.0.3		fa7404c77827aeb20140deb686998880abb92e25
com.benasher44	uuid-jvm	0.0.4		a99580f8ce8c1cb7f6a47c471c3231134107c492
com.benasher44	uuid-jvm	0.0.5		2d1f42553ba8fe9beaa29b47a16947d9c893a865
com.benasher44	uuid-jvm	0.0.6		129567ce3b69af309ec3c4ef5d7c5329d468c9f2
com.benasher44	uuid-jvm	0.0.7		208de8dbbaa3392a3b3dac5dad317ca4ec8646a9
com.benasher44	uuid-jvm	0.1.0		d2315de04690befa99682dc3fb77700fa9f205e1
com.benasher44	uuid-jvm	0.1.1		70cd1b10b46b3d5a6bc2f56e7a3904472b3ef6ac
com.benasher44	uuid-jvm	0.2.0		4f45ddff7626ca3342c80897afa235cdbf540ba2
com.benasher44	uuid-jvm	0.2.1		7f484cfcc784030ef20a7b206951e2bcd85993e9
com.benasher44	uuid-jvm	0.2.2		234b6c56a11cbdd49c863aa102a21fbf41963c66
com.benasher44	uuid-jvm	0.2.3		ed86de45050d58d98920272aa7e4d7db90b3d289
com.benasher44	uuid-jvm	0.2.4		7c3bf5140196d1f0d0b69bf8dc812d9444446044
com.benasher44	uuid-jvm	0.3.0		cb418fb4a6e5155f0c666c37ecad901726271ec2
com.benasher44	uuid-jvm	0.3.1		13bb3e11588c88d22fe3d2bb5ed2837b42498584
com.benasher44	uuid-jvm	0.4.0		e12f3e43877a01e620290e8895acbd0f445fa191
com.benasher44	uuid-jvm	0.4.1		6b1319159777dd20f2d23a1917880ada870544bd
com.benasher44	uuid-jvm	0.5.0		3f4c2f0b3ce6c1ab9b02ab76f5c82c56570ae084
com.benasher44	uuid-jvm	0.6.0		7d834b97dda0588ea97545c8f89f9e22149d10ad
com.benasher44	uuid-jvm	0.7.0		2815349c8b17cae89ba6ff35d4726cd1380e77bc
com.benasher44	uuid-jvm	0.7.1		2815349c8b17cae89ba6ff35d4726cd1380e77bc
com.benasher44	uuid-jvm	0.8.0		9f208660189b9d6be81415ad695e6a09746ab073
com.benasher44	uuid-jvm	0.8.1		835c8e059961b5b77eafeb2050977eeb3488a45b
com.benasher44	uuid-jvm	0.8.2		f9a2eba1cc4cb9efa3b86407c9bb9b1b7d8522a6
com.benasher44	uuid-jvm	0.8.3		f9a2eba1cc4cb9efa3b86407c9bb9b1b7d8522a6
com.benasher44	uuid-jvm	0.8.4		f9a2eba1cc4cb9efa3b86407c9bb9b1b7d8522a6
com.blue-veery	spring-rest2ts-generator	1.2.0		263468911d2fd608f6aa38f6994f6347bd5d0f21
com.blue-veery	spring-rest2ts-generator	1.2.1		ffee80c886e815fc34a51720364fbea12d76c2c5
com.blue-veery	spring-rest2ts-generator	1.2.2		3ea7d5b8623f42a3a3cb9a1f12f3afd6a58ac266
com.blue-veery	spring-rest2ts-generator	1.2.4		ba6e011d76795dd2179c7cfbab4b6247f275a4e6
com.blue-veery	spring-rest2ts-generator	1.2.5		2a01933eb5f765bda1370c68785a910dea03a644
com.blue-veery	spring-rest2ts-generator	1.2.6		d622c15bfe29bf64c9ae23e355e58614fda73ad7
com.blue-veery	spring-rest2ts-generator	1.2.7		8140bd6d5dff1f35c0b358478ef84eb6d60b23f5
com.blue-veery	spring-rest2ts-generator	1.3.0		a930b97d2b9ee61d2d230ba340514ac2b4c5cb03
com.blue-veery	spring-rest2ts-generator	1.4.0		79badaedfd01bad507eef06aaf8ebf0c1f34d8cf
com.blue-veery	spring-rest2ts-generator	1.5.0		d5ff57b16061cf0e4e60191665b7fd444a5f0024
com.blue-veery	spring-rest2ts-generator	1.5.1		a67419c116406275fdaacbdb8fddb0ee0139408e
com.daveayan	transformers	1.0		3168eb41e310b61de85b7e4c05215e4ce53cc88a
com.daveayan	transformers	1.1		b909e16b061e4edfd855573eb724a4a08bf2ad8c
com.daveayan	transformers	1.2		87536108cd3386f64509a799165057776b99f965
com.daveayan	transformers	1.3		d181a2abd70b705a9d01ccd6cdb587172074ac14
com.deviceatlas	deviceatlas-cloud-java-client	2.0.0		95b2447b59accbe5488026553e3ab2c3687a7ddc
com.github.adedayo.eclipse.sdk	org.eclipse.equinox.p2.artifact.optimizers	1.0.0		808b8541c48c571565d09df13c4c478246c05543
com.github.mcpat.libxjava	libxjava-cldc	0.1		46e322dbb6c5419b31081cbc7781dc815050f954
com.github.mcpat.libxjava	libxjava-cldc	0.2		1e878808f5326eaf148faf971e43035cf534c4c5
com.github.mcpat.libxjava	libxjava-cldc	0.3		b6909c8a06e486b4486e2dc620b7900d3446c882
com.hedera.evm	hedera-evm	0.34.0		936aa76a48e66d937e78482213fdfa5f19cb860a
com.hedera.evm	hedera-evm	0.34.1		936aa76a48e66d937e78482213fdfa5f19cb860a
com.hedera.evm	hedera-evm	0.34.2		936aa76a48e66d937e78482213fdfa5f19cb860a
com.hedera.evm	hedera-evm	0.34.3		936aa76a48e66d937e78482213fdfa5f19cb860a
com.hedera.evm	hedera-evm	0.34.4		936aa76a48e66d937e78482213fdfa5f19cb860a
com.hedera.evm	hedera-evm	0.34.5		936aa76a48e66d937e78482213fdfa5f19cb860a
com.hedera.evm	hedera-evm	0.35.0		5e5b99963f4f52852a1cf06af45a380b4d7a8305
com.hedera.evm	hedera-evm	0.35.1		1d35811caab26e93a6b9b8f3bac47bb00266cd46
com.hedera.evm	hedera-evm	0.35.2		1d35811caab26e93a6b9b8f3bac47bb00266cd46
com.hedera.evm	hedera-evm	0.35.3		1d35811caab26e93a6b9b8f3bac47bb00266cd46
com.hedera.evm	hedera-evm	0.36.0		3772e6ddadf942865fb1423eac9f8a76303af7ac
com.hedera.evm	hedera-evm	0.36.1		3772e6ddadf942865fb1423eac9f8a76303af7ac
com.hedera.evm	hedera-evm	0.36.2		3772e6ddadf942865fb1423eac9f8a76303af7ac
com.hedera.evm	hedera-evm	0.36.3		3772e6ddadf942865fb1423eac9f8a76303af7ac
com.hedera.evm	hedera-evm	0.36.4		3772e6ddadf942865fb1423eac9f8a76303af7ac
com.hedera.evm	hedera-evm	0.37.0		ef70ba50c28ee86c5005b00944bfeb9f7ead31ea
com.hedera.evm	hedera-evm	0.37.1		ef70ba50c28ee86c5005b00944bfeb9f7ead31ea
com.hedera.evm	hedera-evm	0.37.2		ef70ba50c28ee86c5005b00944bfeb9f7ead31ea
com.hedera.evm	hedera-evm	0.38.0		7348425be926d578e414c727ccc20fb1ce4bc43b
com.hedera.evm	hedera-evm	0.38.1		7348425be926d578e414c727ccc20fb1ce4bc43b
com.hedera.evm	hedera-evm	0.38.2		7348425be926d578e414c727ccc20fb1ce4bc43b
com.hedera.evm	hedera-evm	0.38.3		7348425be926d578e414c727ccc20fb1ce4bc43b
com.hedera.evm	hedera-evm	0.38.4		7348425be926d578e414c727ccc20fb1ce4bc43b
com.hedera.evm	hedera-evm	0.38.5		7348425be926d578e414c727ccc20fb1ce4bc43b
com.hedera.evm	hedera-evm	0.38.6		7348425be926d578e414c727ccc20fb1ce4bc43b
com.hedera.evm	hedera-evm	0.39.0		7348425be926d578e414c727ccc20fb1ce4bc43b
com.hedera.evm	hedera-evm	0.43.0		1443fd3ba59665ad76077982093120f45175bee5
com.hedera.evm	hedera-evm	0.43.2		8219eec4389687bae5da87c1fe378f76afbff9d7
com.hedera.evm	hedera-evm	0.43.3		8219eec4389687bae5da87c1fe378f76afbff9d7
com.hedera.evm	hedera-evm	0.43.4		8219eec4389687bae5da87c1fe378f76afbff9d7
com.hedera.evm	hedera-evm	0.44.1		242f9d74dc4c9d23b963441d2ec12a0350b39506
com.hedera.evm	hedera-evm	0.44.2		242f9d74dc4c9d23b963441d2ec12a0350b39506
com.hedera.evm	hedera-evm	0.44.3		242f9d74dc4c9d23b963441d2ec12a0350b39506
com.hedera.evm	hedera-evm	0.45.1		cf8bfc580394aada5d89467565842b600181a196
com.hedera.evm	hedera-evm	0.46.0		6c50edcad06fd547604f7cf52d6c0876e5e04312
com.hedera.evm	hedera-evm	0.46.1		beb2743bc2ce1d8a2a1c87181b36e30ffcc8becf
com.hedera.evm	hedera-evm	0.46.2		e49b711aee37c02280f552d8fef13da131592c5f
com.hedera.evm	hedera-evm	0.46.3		6f6caa9775ba561022104dffbc86c9d96e4dbde3
com.hedera.evm	hedera-evm	0.47.0		a090359470c98263e72f4093cb28e87edba504a6
com.hedera.evm	hedera-evm	0.47.1		19cf2fa898c5640003a596d702ccef390a84f5b0
com.hedera.evm	hedera-evm	0.47.2		8d3f543fb56a18848250319404008cc597796511
com.hedera.evm	hedera-evm	0.47.3		8d894dcad043a62d113bc9e7105ce3b3b071ae14
com.hedera.evm	hedera-evm	0.48.0		0564192fd8cee70a150c28c4119dee904ec89bca
com.hedera.evm	hedera-evm	0.51.3		59ee15d51696d6370180e495656263073a4bd6ca
com.hedera.evm	hedera-evm	0.51.4		2fec812ec16a2a946915f7bdce8478330ebb8039
com.hedera.evm	hedera-evm	0.51.5		03ad50aaa0ea8ef19f60e838b0533f2504680737
com.hedera.evm	hedera-evm	0.53.4		9fe640d4e8892145f41cba352370880d49e56695
com.hedera.evm	hedera-evm	0.53.5		9713e637237baeb9df1c9582822aa6dbd5f2fd32
com.hedera.evm	hedera-evm	0.54.0		aa8b3644683b5b8114b7c748904c5775a8e3c095
com.hedera.evm	hedera-evm	0.54.1		14ba2a9604d14baa582e9a5ad0e6ef1bce466d77
com.hedera.evm	hedera-evm	0.54.2		7f1b77048528b5e9e33cebb8eb2e3cef4b0b0729
com.hubspot	basepom-policy	11.0		bfa5e993c781ae4897fd655c58d0c3f1c2c45f13
com.hubspot	basepom-policy	11.1		fd0390edf6be48548074d550bd999676e657d287
com.javiersc.run-blocking	run-blocking-all-iossimulatorarm64	0.1.0-beta.2		N/A
com.javiersc.run-blocking	run-blocking-all-iossimulatorarm64	0.1.0-beta.2	metadata	d6bfd2d56dbb6c84732c68219424a778abe0d0fe
com.javiersc.run-blocking	run-blocking-all-iossimulatorarm64	0.1.0-beta.3		N/A
com.javiersc.run-blocking	run-blocking-all-iossimulatorarm64	0.1.0-beta.3	metadata	3689c4caf9384a4866c5057aeefb493ec1572879
com.jdcloud.sdk	xdata	0.1.0		becb15c447a432f887c57309e812ed8e30e25efa
com.jdcloud.sdk	xdata	1.0.0		6683f601f259408d39e35b8784b61770c09b1950
com.jdcloud.sdk	xdata	1.1.0		a207618caa8628568c55d92b1087f942fae01cf8
com.liferay	com.liferay.shared.dependencies.guava	1.0.0		7c23c075957625a45ae24fdc2df429961e0be0ed
com.liferay	com.liferay.shared.dependencies.guava	1.0.1		5c8ea37ce3dc3cfe3150588303fe7ad0aa7b36b3
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0		1b6c0370b4b6ae49a3f3a7db30968bccbf8d897f
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-1-94a413		9c56e1c180734b54d72ed4d3fa9c78f43428d36c
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-10-cbc4e7		bd8723f00c55ccb876d183ea8da7b62f626d45cb
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-11-880d68		a76aa2197be7ae403b4cd4c0b1139d1ffeeb8345
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-12-e618b0		8d6ccd265b5c9be28bdc8b609d912ed7c62c917d
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-13-5bbb02		eee6f4fc855e160979173681fb3e6aa5258758a9
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-15-111690		47af92f87a63b50542e4c330984283730f6de36a
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-16-7e178c		67417756ad13c2461475c5cf249c7b5114ef47c8
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-17-099efe		c68f0b96940b4497faaeefb37b3d08817b1a2eac
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-19-83fef1		7684ed013b2a7183ca0b7e4f3a3ef887e270e89c
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-20-4fd18b		6db9830d51f81219a585d9d289aaacd3f1b9d458
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-21-c4247b		b62ba976fbb4ed0e641000f1151bcc9ba0a62b1d
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-26-6e9327		2a8c8f09f32839f37a9a6d3b1234ab70a07c2c31
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-27-f295a0		8f62fe5b51a76808d96f73e9491123939aae02ec
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-29-fcf5ac		f7002fddd92186b73d1de8b90add65869b5b07a4
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-3-76892d		b2630a27c85027669cff669065cb337e0d181007
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-30-0f1a37		5c09f4df502e0dce3b0a22d220beeabd528361df
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-31-9bf72c		8c8a8f98b0a2119d1ff3e37589d75fe05eac6fd1
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-32-13ed05		50e94249cca4965778c402efe6d9e191bd546a6c
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-33-66ab76		c712d9b4c55c069d90cd862cadb5d5ea1681e1f4
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-34-265125		c495f6d20081f4c857c02c2663c91486e9026f83
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-35-11bc3c		1f6881250b2ccfa12303d3d6af222b1a89f9d247
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-36-0ff6e0		35023e6021cdfda4654fc40354db50d9fe93347a
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-37-3076ad		c3a8bd6d478ec97a0f9100c581ebb15b2d94ad49
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-38-677a10		6eba90237f6f8fcc834a6056610bfc64dee566e4
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-4-8753cb		5713d2a5fcd0733199d301c0a0e0e07bf9a3196a
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-5-1d2c81		18b67ca516c17f162f68ad9aed00e03fe2a02575
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-6-66a7f3		becd0ce2473849f6376ea53875d8fbaca72fc55a
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-64-1b78fd		de37616770b7d74fa424c375889155eb43e14656
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-65-610987		0ee33f80b520c04e3fa247eda23f932a78e39da2
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-67-524491		44f2db1e49eb7d4616e889626d1eb05ae188e7a1
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-68-17cad8		7b4008df959ebd8fde73a7e1f64c1e973f68b949
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-69-0ca128		bff4a68e40dc64501bf90062a92ba07ac88aec22
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-7-e2d694		8cf3c8e31c9f000ebf2e99873b3f2b9578c6cbb8
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-70-3d160c		833c36d7c4617cb6a72c63528ecfe0514f989232
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-8-5cb73c		597176a957e8c3ee5a0654b4089606878bc1278a
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-81-827582		9d3c8f905a0ab68acf72c44c3ed17a04f91a8f57
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-82-30f1bf		92a648cda4b3ba7bbefef8f4009324eac542c1d1
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-10-ce4e28		a4cde1f9fbb15fcb397957202e78ff0212352dd2
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-11-a6eef4		85e7a2ed7e586321ab3047776bea14136c2d00ba
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-12-a7aa2c		76d572ae290b511788205377db0d5d95aef16a61
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-13-45eb34		8788f35f091dd1b92e31df9cf5fc2618791cd14c
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-14-a2f5b9		956d8624698ad8c702ef291bae84f3a998e5882d
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-15-e631c3		517e8b911b7ba689ccf864480f61fabfd5551753
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-16-c983fc		fb067ac49c4ab80d135c7c297db282e85cf12240
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-18-1ddf30		b3a4e5255478e5b5cdb6da180d0728fc6da7a23e
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-19-51620e		e0d8ced5bba71f449288419c7d21c2d0348889b4
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-2-ada770		f65189a545d49aed148e60784e8ebc77987d389b
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-20-4363d0		e78a6160e40e019b6943e79a260eb562407514fb
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-21-d9850b		2b4fb4c5ebe472f00e249c2b2be015668940b2fb
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-22-534084		e47074d35c86a1567922113c795584aff038618f
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-23-306354		55e065e81526ee35dca5f03fa846a30159f28472
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-24-3aaec2		d74815502ba7a041fde32c9ce0bedafe7e644efd
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-25-999efe		f0dad6ac319c00b96f41e78fdfe4a0b6c73d1350
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-26-a58127		6b49b84745defa2c8d0508ecb3fded9a6c6ace0a
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-27-45e136		a7f21ae41330813d667e7c83d7e455fd8c51a358
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-3-ef7fd2		dd8ecb00f9e3ed79fc01132af66d57b9d67c3769
com.lihaoyi	mill-scalalib-worker_2.13	0.10.0-M1-30-67b260		aed61047588c99546cb55fe667d18ae7fb2c18a5
