aws.sdk.kotlin	chimesdkidentity-jvm	0.34.5-beta	-	370bb6228ddd78a83de7486f987ff5bd5016d0ff
aws.sdk.kotlin	chimesdkidentity-jvm	0.34.6-beta	-	3372214082c4aa7e22033ac1fa986afa3f146b4f
aws.sdk.kotlin	chimesdkidentity-jvm	0.34.7-beta	-	9f7b8e15648aafb9375b538b53cbb59edaeccff2
aws.sdk.kotlin	chimesdkidentity-jvm	0.34.8-beta	-	e2580d8431b4daeae342c676b450e22eacb44439
aws.sdk.kotlin	chimesdkidentity-jvm	0.34.9-beta	-	889f27b8dd891c887f48ca2cf96deb2dd6e14f3a
aws.sdk.kotlin	chimesdkidentity-jvm	0.35.0-beta	-	426b445e52e7ab705d414ae2633358d50e3ce3b5
aws.sdk.kotlin	chimesdkidentity-jvm	0.35.1-beta	-	7e189ae4a8daca8d78504f575e0fa5057b615a54
aws.sdk.kotlin	chimesdkidentity-jvm	0.36.0-beta	-	189074fe648f285ccc5f68d01ff6989b9069ebdf
aws.sdk.kotlin	chimesdkidentity-jvm	0.36.1-beta	-	50ded8a621bf7718b92b14ce30bc315c4d3590cc
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.0	-	8bbce7ef525735674ceb67e92baa68d2d8da90b8
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.1	-	36e39a5c3e379992b0b9cba87ae30dfb81eb24ba
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.10	-	0a00328eca3bcc9f8f3d3aa0b82188834bf80293
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.11	-	bb7f0c5aab3feb608aca90effb4b0714617abd7b
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.12	-	fc4073ba26baeebc1f6a4c2ae698cade438ba7d0
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.13	-	63f96ca98d1b31019fc972820b6b018f596ff3cc
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.14	-	24d85c3d4354a217342939915d5a78251891c9ff
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.15	-	d462a83cf8c3f75cc6ec30f6939055ae07ecc832
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.16	-	852ad044e5c308603b214ac2254d908e84c4fdee
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.17	-	cc574d1c08924b9295fe2e74149b5c5f3c68ee40
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.18	-	f0cba97000c919b34ccd2c92cab171e77bc76716
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.19	-	26eb3aa7b280b1ff27cb8f9013e67ca55b2e4a32
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.2	-	fb23fb56ec2d281a670d8006da3636887f77a77b
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.20	-	32b6083c0c44ba6018ab15b933dcdfcb89855568
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.21	-	3312faf62c67cc3f3b5be5817e8abc1d049ed8cc
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.22	-	faba21e4a1c0e3eec6bb402fe786778cc63a4ef7
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.23	-	93b82889a4fb385ebaf5035ba9545e7ae5823aab
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.24	-	45d7120fab8f98c204de9f73c2cd49493e9cf8b5
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.25	-	23b2ecbb68288c9b1842787f463cf487c69ad0ce
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.26	-	52e4d8462ab797ebe5e6cd575860c22e2a75ad8a
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.27	-	20a6e7f723a8bb9e5d7d8ae3c5898d40ca6752fd
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.28	-	db96f2988157a8ea0d573b7dc8807159b029627b
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.29	-	eb578502d2dcb58f241f9c9979d53b288f83a31c
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.3	-	4bd73cf6472c7f0fbc2b452a0a10d51c4f4effb2
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.30	-	c0e62df3938bab16b6a1d602cef02cd5e5d6790f
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.31	-	6af19289213004d911e31cce851a57f59560fbef
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.32	-	978b2737f50fede993eca712fbdc561f0933d9ad
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.33	-	e4beb1d51dc55c0cb2d4fefb97f7950f76240773
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.34	-	951ac450d3ea20eb610a55bffce59a18d910ebb0
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.35	-	6e875993ec2133494ba8dacf0c4b07285b3cbc20
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.36	-	7aa005ef3172609c4e3a0316888a38d0159959d9
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.37	-	76a36cb2101e8414855e7633e5a60261765c0633
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.38	-	4623f6a98865309377baf4b3e065388e34595be7
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.39	-	1fbd7e11cdd8fa99aa3af44d608ce1281fd92f53
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.4	-	7df42567bf3ba2e725135fd1d0d63e67aa38e496
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.40	-	3c1e413c62f3b392f192ff2d1b8a4416b53778c5
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.41	-	f2f881137a4f44846cbebaaf70442e379124b157
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.42	-	0d07caec93bbbc1667c85459a9e99ec0e957dd0a
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.43	-	1d9a95c815a13cd2c4732a706d6c4c78604b1d07
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.44	-	c3b50ae974a532ab35f817917306d4c3b5c51aeb
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.45	-	872e5a2c1ee3a7db0bce07daced2730706c99ff7
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.46	-	250f93393e9e3f442d9bfd4459ce2abc27f6af37
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.47	-	5a789782e0a3d3e7c0e2fbf09d1f4e65a14e00ff
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.48	-	d886eeabf279afe5b7bd5322676eb9f2d042ece0
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.49	-	9e18bcc2cad4eb0c3c38ce4429ab9ad3d49b723e
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.5	-	3aab5fe49876e221f8efec124d79f9c43a870adc
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.50	-	2e19c21e668f79892e86aa01bd4392ea50c2dbfb
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.51	-	d64be65622bf41be468e95b44359e3c6c8c8e66d
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.52	-	50d871dd4dc3d679981fbf51a555902fbc252c27
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.53	-	363808e58b062fab064d24f511be99dee1f7b929
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.54	-	0065afb491bff4da690b832393e4eb6cf56c19b6
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.55	-	d8e774fba52ee19918f943064ce0ec2a834c2c0d
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.56	-	50d72c88b2f74fe431457634726cf7a99880124d
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.57	-	6bcfc9ffc0b763a40f8cb6ba391b36d13a5c26f2
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.58	-	d6eb08822ac12b079257880d30614bae57534c5e
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.59	-	d9eb010647df2e9732978d5def70dba7f83d095d
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.6	-	f5d23f4e736c88afd3a8c69316b0efd86680fc1e
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.60	-	969354c57eb2951471f46ff9c76b214e742fcd8c
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.61	-	9d519c79e883d786018b2b039fd0788aa71f8c2e
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.62	-	23f83a0ab329d18ed1fcc957f12acf885c2f9971
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.63	-	e89b39af95302e0cc0d41026a5e7cf7f4cf9b7b6
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.64	-	814e45227a11b2ccfb777cf2aa6aef94ada162df
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.65	-	7c1da780a4221052ab8da352e0c5a4cef52c570c
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.66	-	884ed335d25561fdd60dbfd61d6cbf13cd24009c
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.67	-	bd340f945bc5f40860d713828f0298dd15657989
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.68	-	62f561599dfa23ca97e362b4390dc786916e9561
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.69	-	eb11aa24ccef542a0be6da016a8c55076f1d902c
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.7	-	99633ff2185d93a1f91638d2e3737fd08e92a2ef
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.70	-	a49b700946649e4e26a547c5f904cfed1a07173d
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.71	-	d518bee6864e79ef7cdb8eca8ce71905b4d72303
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.72	-	334d62f59ccbcdb2c315b9b05419064d3240c1a4
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.73	-	e406acda13d2ff37713a2076575c656c694f1350
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.74	-	6070f46a137f31544f6ac05744cbe46fa8ef0413
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.75	-	46c3ee3b5847b53592ad79a99f9fb7a9b3a630bd
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.76	-	5cd0dde0ac732806008957d5c05d512871dc0240
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.77	-	bcada8604cd3f8a43d123c8003ab4a44a154689b
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.78	-	4820ef4c102912a5890a72b579834792c11748ce
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.79	-	7cdb2f4415532103c3bae63ce3c38bb94ba4da32
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.8	-	53783c2b23611aa346b3a0e5fe0aba065f7d886b
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.80	-	4395c6290eb42694b152e3e641817cbb28f0bf66
aws.sdk.kotlin	chimesdkidentity-jvm	1.0.9	-	f09911d18f3037565647fb35a1770f94ffef08fa
aws.sdk.kotlin	chimesdkidentity-jvm	1.1.0	-	279cadf0e6076074e3a638eb2a3df1b4a5a98575
aws.sdk.kotlin	chimesdkidentity-jvm	1.1.1	-	98ab3e9e0c7f22be9b984fd85c21ae0febf8855e
aws.sdk.kotlin	chimesdkidentity-jvm	1.1.10	-	724447e4efe010cf7cc4a34598cf8f9bff3d6c4a
aws.sdk.kotlin	chimesdkidentity-jvm	1.1.11	-	c2713c5c2b44f2b83cfc131eb5bcbcc8fa109404
aws.sdk.kotlin	chimesdkidentity-jvm	1.1.12	-	40e5ceab72c4da7bf96c0c930a67345a01fcada7
aws.sdk.kotlin	chimesdkidentity-jvm	1.1.13	-	bd71e1019aed524bb43c7824eb2d01726de75ebd
aws.sdk.kotlin	chimesdkidentity-jvm	1.1.15	-	9d9d04883714fc31478acced9e7a8a49c5e8fd1b
aws.sdk.kotlin	chimesdkidentity-jvm	1.1.16	-	f8201e617870a3d7e5622b1e0b41eb135b78717f
aws.sdk.kotlin	chimesdkidentity-jvm	1.1.17	-	d43aca5e0475a12bc8a2d66d8869b48cc0529cf7
