at.asitplus.wallet	ehic-jvm	1.0.0		11df66ec0f3c715d6d6ed952fe50105b68bc6a4e
com.datadoghq	dd-sdk-android-fresco	1.19.1		N/A
com.datadoghq	dd-sdk-android-fresco	1.19.2		N/A
com.datadoghq	dd-sdk-android-fresco	1.19.3		N/A
com.datadoghq	dd-sdk-android-fresco	1.8.1		N/A
com.datadoghq	dd-sdk-android-fresco	1.9.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.9.0-alpha1		N/A
com.datadoghq	dd-sdk-android-fresco	1.9.0-alpha2		N/A
com.datadoghq	dd-sdk-android-fresco	1.9.0-beta1		N/A
com.datadoghq	dd-sdk-android-fresco	1.9.0-rc1		N/A
com.datadoghq	dd-sdk-android-fresco	1.9.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.0.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.0.0-beta1		N/A
com.datadoghq	dd-sdk-android-fresco	2.0.0-beta2		N/A
com.datadoghq	dd-sdk-android-fresco	2.0.0-beta3		N/A
com.datadoghq	dd-sdk-android-fresco	2.1.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.10.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.10.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.11.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.11.0-debug		N/A
com.datadoghq	dd-sdk-android-fresco	2.12.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.12.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.13.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.13.0-debug		N/A
com.datadoghq	dd-sdk-android-fresco	2.13.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.13.1-debug		N/A
com.datadoghq	dd-sdk-android-fresco	2.14.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.15.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.15.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.16.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.16.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.17.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.18.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.19.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.19.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.19.2		N/A
com.datadoghq	dd-sdk-android-fresco	2.2.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.20.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.3.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.4.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.5.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.5.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.6.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.6.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.6.2		N/A
com.datadoghq	dd-sdk-android-fresco	2.7.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.7.1		N/A
com.datadoghq	dd-sdk-android-fresco	2.8.0		N/A
com.datadoghq	dd-sdk-android-fresco	2.9.0		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-watchosx64	0.0.2		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-watchosx64	0.0.2	metadata	e2171a19953198b06afe3157a90a9e140dc324fd
com.daugeldauge.kinzhal	kinzhal-annotations-watchosx64	0.0.3		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-watchosx64	0.0.3	metadata	efb4a2faabf6518512fa9ed3bd6d89149f2c4a77
com.daugeldauge.kinzhal	kinzhal-annotations-watchosx64	0.0.4		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-watchosx64	0.0.4	metadata	2240b800d95aa5006551fd19be4cdf0140721c74
com.daugeldauge.kinzhal	kinzhal-annotations-watchosx64	0.0.5		N/A
com.daugeldauge.kinzhal	kinzhal-annotations-watchosx64	0.0.5	metadata	1f987f6084fac8b6d741367f400bf01b7a7492a2
com.daugeldauge.kinzhal	kinzhal-annotations-watchosx64	0.0.6		N/A
