at.released.wasm-sqlite-driver	sqlite-binary-api-js	0.7		N/A
com.cognitect.aws	managedblockchain	845.2.1359.0		e3eff59954bbe7d84f8849e4122f8b20466f0c59
com.cognitect.aws	managedblockchain	847.2.1365.0		21c7490c44031abece447049f64a7609be429cc0
com.cognitect.aws	managedblockchain	857.2.1574.0		9e4c08952dedcd35a4b2faf0fbe883dc4c66f24e
com.cognitect.aws	managedblockchain	869.2.1687.0		e2838ac41236448b2546191a07135b8408982f65
com.cognitect.aws	managedblockchain	871.2.29.35		b2cec9e86fea59494df07f7091293efe436a82c2
com.distrimind.bouncycastle	pg	1.69		c5caefaf4ae9f73613b1ecf56f1c06ff5247f9b3
com.distrimind.bouncycastle	pg	1.69-DMRECOMPILE		30ac62b26b07c71b65478c4b4afe456b6cda5589
com.distrimind.bouncycastle	pg	1.71		06b0367b3b765e68682ef730703854d8c4630bbe
com.distrimind.bouncycastle	pg	1.72		f2e400b244d6ce364dc7e5a05f7da9d27a518e37
com.distrimind.bouncycastle	pg	1.72c		4aec26d3c802b1488e98cfa588b080d44259cae1
com.distrimind.bouncycastle	pg	1.72d		f5e3e74b7717570c2ec483796b597725da505fda
com.distrimind.bouncycastle	pg	1.73		fc47750c582dcbcf6e7079fa5a4bea205f45b1ce
com.distrimind.bouncycastle	pg	1.76		d5843ed1122be74703b1ed491f271cb62063ba32
com.distrimind.bouncycastle	pg	1.77		aeacd5b3405384848c00c42ef3f43de70c8e3aad
com.expediagroup.beans	bull-bean-transformer	2.0.0-jdk11		e3b8c4ddf7de4f79ac4a242599928902d915bc03
com.expediagroup.beans	bull-bean-transformer	2.0.1-jdk11		fddb2f2e969b86b7d103d7b5cf52824d2638e75b
com.expediagroup.beans	bull-bean-transformer	2.1.0		4b908405af8d2d68b3f23eac4262f9bf17538dec
com.expediagroup.beans	bull-bean-transformer	2.1.0-jdk11		efd841b82030a4da92ae4c07329cb2cbd30a20f8
com.expediagroup.beans	bull-bean-transformer	2.1.1		e17c0f9cf73127d2fcd85afd2e18a4880b86b0fd
com.expediagroup.beans	bull-bean-transformer	2.1.1-jdk11		4423f25fe6cbcd435dae527f316cd21aceebb0c3
com.expediagroup.beans	bull-bean-transformer	2.1.2		673ec503bd02fe71b05bd58cea2b95cccae111cd
com.expediagroup.beans	bull-bean-transformer	2.1.2-jdk11		93c106a30e98153e90ce9639df1d32835aa97ef6
com.expediagroup.beans	bull-bean-transformer	2.1.3-jdk11		294b4f03af03c71d2fec2906b00a10851c599145
com.expediagroup.beans	bull-bean-transformer	2.1.4-jdk11		3b62d2021231e9ac687e9633c7dc9a163d4c7d0d
com.expediagroup.beans	bull-bean-transformer	2.2.0		9694ea89ea1697c95ee625e7716e2de774f93d46
com.expediagroup.beans	bull-bean-transformer	2.2.1		e7c9818f92e1250b0252aa50675734e8a4c47877
com.expediagroup.beans	bull-bean-transformer	2.2.2		0d59d9b7cd7c2a93c9e3ec8d4b3e694665fec0b8
com.expediagroup.beans	bull-bean-transformer	2.2.3		ac851187857ee1e5d2444414a1b0f14e353f472b
com.expediagroup.beans	bull-bean-transformer	2.2.4		188a7ab39c4626e08d82c8723aef7ac6a4fa6c8a
com.github.heartbridge	xheart_fs	1.0.1		807816d6e4ccd251069959b8080b20eb991f5da6
com.github.lukethompsxn	edufuse	1.0.0		f24b862d4a149c90abeb893efb358b82a23bdf75
com.github.lukethompsxn	edufuse	1.0.1		e5f7b15397ac88450ebe11045005b7f60b8839b4
com.github.lukethompsxn	edufuse	1.0.2		75401d20c580d8274654b2192b506f31a6084687
com.github.lukethompsxn	edufuse	1.0.3		eb01a14ee3120b849a2db7e78e8696a9899b72d7
com.google.api.grpc	grpc-google-cloud-connectgateway-v1	0.1.0		a307c77d3d16c8f5113583993077253a16e32eb2
com.google.api.grpc	grpc-google-cloud-connectgateway-v1	0.3.0		f5cd74b9ad555d99534d2bd5696c97e579731d58
com.google.api.grpc	grpc-google-cloud-connectgateway-v1	0.4.0		1e1822ee083a547c03895e01dde6ea1a4bdd9e50
com.google.api.grpc	grpc-google-cloud-connectgateway-v1	0.5.0		c4d4b960d104bf496b71659269b66c4dfe5cce54
com.google.api.grpc	grpc-google-cloud-connectgateway-v1	0.6.0		4d1cf19b24787b9bd0d64dbf972627c2cd2a649c
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.1		3e39d3cfb40a36826fb0f72315dc0a838524efbf
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.1-rc13		8ec6554543955dd8e14a21da0f6b11e75e88a2f7
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.1-rc14		5b031eb76e3acff10cf38a4f8bedfaf6f25b0eec
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.1-rc15		569dcbbd6bd95c0a54ee86184bcec4cccd8b7ccb
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.1-rc2		bd72d7ebddb544af75cf7db5ada4578b81cb3f6c
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.1-rc3		24c182a9de3df2160b47d6a7e48ce6b559218ce2
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.1-rc4		bee536db76e6e027c2d09fbb69cb8fa3a692e51a
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.1-rc5		bccdb0981fb7adfe234028502a581e0f57aa86bf
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.2		d05fc1d8603e666876573733619c31dc6069b634
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.3		f0d5b67073b3bcc525162fa7c909dd5f343df1d1
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.4		8f328e1802d50abaea11da519093854781fcb435
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.5		1b9d382f5579a740f76e31026b0c571eb7cadbc8
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.6		097faf2055eaaa223e9e412575d8d3091eec0b68
com.guicedee.persistence	guiced-persistence-c3p0	0.70.0.7		af5685bed58320ab181c11c5004865a0d1013ae6
com.guicedee.persistence	guiced-persistence-c3p0	1.0.0.0		fef52603aab7ee760bf832aeeaf89f5de2a31647
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.0		8961b3394208a72b114425db2288a056da296417
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.0-jre12		8ad6366a6d5a2131b0f50fa6fc54c22092030e84
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.0-jre13		2ca4cf26adf5283d770f0484538b73a5b94f93b2
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.0-jre8		68e1f8f132cb4d0251a6c0379685819ef5ff8145
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.1		fb0762ac7b675667e378bedcdc489543597e6953
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.1-jre12		5c7f749c18196692e8204c9648882fd287ddeb86
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.1-jre13		92d67a0e6a557b477cf6a86a2f8793b4faa1780c
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.1-jre8		0c372130eb0b884caa9aa6bf68a3e4ee2f9e07a4
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.2		8db631b95d0c38da657c5b5b2045aa6689f47aaa
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.3		c429e65750ad9d0a572c7db7fc7ce4eed9ee4058
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.3-jre12		40246e1e5e7479caad1bfdcdfdc489364dc34162
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.3-jre13		a59c0754c699de804215a41644c95fe2aafb9beb
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.3-jre8		6bd84ec3936677d89c6fecb840c5d32aa17a4158
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.4		56bf72ebfc09f7723cccf6353d92022abf8386a3
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.4-jre12		7e831f17b03e249a010fee7b7340c36f539684f4
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.4-jre13		eb7a1c73314db8ab97985bf6d65a160a83f6dc74
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.4-jre8		c121e45a837e352a44f5bac6f1f7c704dbd2527f
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.5		09b19c28d536dafeeec57cb317de6f6fd6b7dd8e
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.5-jre12		1ddb91be3f8a827126c336a8a0fadde5e0ad85dc
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.5-jre13		ec81453b9b0f6e8cf6e5e283d05a09fb08dbe16b
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.5-jre8		158f061484b02cbf14fa5c78a35a0426236a8d1c
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.6		c524f853175e8f8bbf9e54c27aeceb1d6c5b11dd
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.6-jre12		5d47c26ea9cca368a772bd160c10850fedeebb72
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.6-jre13		aef4b1fb29101a20c33314942a5ec426f6d110d0
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.7		0627e894c38de2b9305ccb5d3ba730d1d7e28909
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.7-jre12		6b9077406d0e8cd08077a0a798f88ffdef619f1d
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.7-jre13		0eb7a1b7f904df117e5fc1dbffc2f1a44dc4f9e5
com.guicedee.persistence	guiced-persistence-c3p0	1.0.1.7-jre8		5e70016852fcaf3d7732bf50c63eb633ef9e0848
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.0		65764a25524f0426e785b672f0e34c9f2207b9fc
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.0-jre13		d50a2967dc78fb0ae97a2befc72d58063164406f
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.0-jre14		e9323c16bea374981e13be11a50181b9ba54e9fd
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.1		49b3bba19f6594a1ed78887123f496a34f0a1cc4
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.1-jre14		2f98c03561bec91b60f12358446444553e5b96ac
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.3		ba5272b512047f5fb46c76b6565df0e2ca12d94d
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.3-jre14		c2af66dc46eef60c07e83f0c956c2a0228c48dfa
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.4		b7f24ff05fb47518c6e064aceeafdc5a39fbba6b
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.4-jre12		0aac1b63c965cec8a5cb3dcb77ff6b0805e63c88
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.4-jre13		9e6d9bc83f39512488ce6f4997dd209e40c9be78
com.guicedee.persistence	guiced-persistence-c3p0	1.0.10.4-jre14		a2831c8326afbba734e493a2e7c861bdb1e06647
com.guicedee.persistence	guiced-persistence-c3p0	1.0.11.0-jre14		1160abffacfd40e9bb2b105e0232f5a10a4eb311
com.guicedee.persistence	guiced-persistence-c3p0	1.0.11.2-jre14		a534e52f4ce9688265c4580c1a9e94267bef54b4
com.guicedee.persistence	guiced-persistence-c3p0	1.0.11.5		daf2c5c0138c1fdf090edc6c5fa6b4be1e9e144d
com.guicedee.persistence	guiced-persistence-c3p0	1.0.11.5-jre12		2e1a9fcf9d7719d5d0f93e756e007ff7e2258853
com.guicedee.persistence	guiced-persistence-c3p0	1.0.11.5-jre14		76994314beb851e992955f1947c0089cdb1bf8b1
com.guicedee.persistence	guiced-persistence-c3p0	1.0.11.6-jre14		1ca6beed9701b28862de23d11407d88517336c5e
com.guicedee.persistence	guiced-persistence-c3p0	1.0.11.7		dd93d82e98d3e2ae63ec7447b128684010c91efd
com.guicedee.persistence	guiced-persistence-c3p0	1.0.11.7-jre12		a104a3e3bf7f01c7cd1863cacf9561510cdc364d
com.guicedee.persistence	guiced-persistence-c3p0	1.0.11.7-jre14		6d1491de53c252b80626eb5f44c6e05dfdb18639
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.0		ab7eb0c90f21bb9d353f7b5e48617a37f3f71efb
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.0-jre12		7283a5b63a8cddeac3912883bbbb53ace8d7767f
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.0-jre13		77a475c2534505878777b465b547f95220b808e0
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.0-jre14		4e837d051482694c45ad1e6d7aac587c16f88880
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.0-jre8		834ece5e87dab24aa4ddc7d447a8300537771851
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.1		2862a12261d153e9f39437b19ed9a1796ca0ae30
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.1-jre12		cf194ba48e17c1f5fa90b07a476e8425398db8fb
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.1-jre14		297850d24ff54e3551523b21971153c31cc54831
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.2		922536accd637960221c39e4919c672969b9b66a
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.2-jre12		5a1876f1a1959d117503d97858bb24edf61e2ce4
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.2-jre14		72c85c8d84151a434ece161d8e22c670a4e24803
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.3		a3047ef4cdbef5eaa82388f380e7f78c1ceb84cf
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.3-jre12		c83d776da5d7bf744a2bf878566f52dacb088b61
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.3-jre13		f38032dec5481706f89f3c95f4eb95e41c51e0a0
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.3-jre14		39531598a29e1b0897ccc8147faea18fc084eb4e
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.4		2ad081776bf4493556778c0b47344e59e67ca12b
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.4-jre12		c3055a5c9cf97bb3f3aa9617bee8d25af02fbaad
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.4-jre13		3b58301b7ef75519e9b27276f2816de4a28de97e
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.4-jre14		5e4a479ccb8ccb15d041e0d9fcdedf4f702f2bf8
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.4-jre8		8c3bf60d7e681c6b19f15f5517ce2e4ea07d2b53
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.5		18c38322635354a7f3b9be563042f07f99d89f91
com.guicedee.persistence	guiced-persistence-c3p0	1.0.12.5-jre14		187003d792d1c091e284af693f07ec91bcff037c
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.0		b027c817b8da40367fbe1be4ed73b621e9dc8703
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.0-jre12		0a523b079bbf59502126fba87d41486873d7037c
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.0-jre13		21a4f2cbe692d1fa49eae0622ace3c8b4fd4df77
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.0-jre14		3fc630b46ca7024b910884aa174b29e616dc768c
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.0-jre8		4bec8e630185a90c590170fd4a95cc6ed8fa2361
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.1		50dd0e2061d99372822e158e0e189d067819f506
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.1-jre13		d70a84002b1a492cdd4f776cc2cd4659388befd3
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.1-jre14		a903da11188f66910f61d935b67b05cc473561e8
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.1-jre8		7983aa2a0599f7831242ad2054d825fd43a5ac48
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.2		2a2953cadf0a004cc93bd79d61508ef431093184
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.2-jre12		d535405411daba8a6b9564047ee0f6232cf34cfa
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.2-jre13		a7cc98d03e8b127ef13614629d3e148fed7383d4
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.2-jre14		91202fce5e996f99104307c5d45c957822f782a2
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.2-jre8		eb20666b86967ada500145d90957165fc0e8cd12
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.3		1aee8aef4258183d71fe54c5d58583deeb5ff926
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.3-jre14		1d0522cb706d1f4ee1d5e7f8572b4b62a0d45655
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.4		09d24baf2bdc9575448c0c8a6869defac319b37b
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.4-jre12		0f5e75ed50845eaa199cc7eaf635dff2e85bdeaa
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.4-jre13		3b0024cf46e7b9521cb301d78659bac1ad0e55e3
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.4-jre14		b5833db47041c4eac269f2957890a9b6a8d69683
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.5		c1fcb62945760e375a39e66cb9ed6cff22aebbaa
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.5-jre12		37227e90bb13994f181f5b35d55d0a0c13f6c90a
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.5-jre14		eb53d20c41581eaae9836096fd663566d389aeac
com.guicedee.persistence	guiced-persistence-c3p0	1.0.13.5-jre8		08b9f1e09c8609b6a89646fdb5a4c1b9126598cf
com.guicedee.persistence	guiced-persistence-c3p0	1.0.14.0-RC1-jre14		f7c12857eefd52b03eca541c375d670eef5a6284
com.guicedee.persistence	guiced-persistence-c3p0	1.0.14.0-RC1-jre8		89b1216fcd0d8b00ab01285b5464defb114bc06d
com.guicedee.persistence	guiced-persistence-c3p0	1.0.14.1		fbf64240ff01ea1925eebae9e826f2d644e7a67e
com.guicedee.persistence	guiced-persistence-c3p0	1.0.14.1-jre12		69c0eebb0c06ab1d6de456a15656c2a7fbf78ef4
com.guicedee.persistence	guiced-persistence-c3p0	1.0.14.1-jre13		98100ed9e6cfad1ea991bb437302ef9f7e554fc7
com.guicedee.persistence	guiced-persistence-c3p0	1.0.14.1-jre14		6172db2d57280edcd5e36b19983bc72029fc9f7b
com.guicedee.persistence	guiced-persistence-c3p0	1.0.14.1-jre8		cb72a6daa94b557d70e27130fc746bf59513a087
com.guicedee.persistence	guiced-persistence-c3p0	1.0.14.3-jre8		dfe1abb4f067df67a9e546913218b26f04bd3509
