app.mustats.apolostudio	color-picker-compose-jvm	0.0.0		eae5fc71e6d63b59a9fb9feea8b1a5cd926286d4
com.marciocadev	mca-projen-jsii-example	1.3.2		c495b14704632c5f72e6ed5a7dd1a066bb4261da
com.marciocadev	mca-projen-jsii-example	1.4.0		69d440f9be10a850581591b5a179f9bd074c5c7c
com.marciocadev	mca-projen-jsii-example	1.4.1		6af75ec53d1681cebb2fff66e470183b6a0d5c43
com.marciocadev	mca-projen-jsii-example	1.5.0		a7796fd3b3c1d08b808b2b6ceec6297e66c59301
com.marciocadev	mca-projen-jsii-example	1.6.0		c7f336d312f5f2908a0bc1d4e238f80c35b52604
com.marciocadev	mca-projen-jsii-example	1.7.0		29aff19995611780883a42f62c6f11551f41cfc9
com.marciocadev	mca-projen-jsii-example	1.8.0		6992b2a1b2f0cf89beb8d33e3f43b050c06077fd
com.marciocadev	mca-projen-jsii-example	1.9.0		10e7514ec47f7831b68710a49cde21770f38ce37
com.marciocadev	mca-projen-jsii-example	1.9.1		c7e935fe55ef6a89bf1540b18892e11a6e5ac449
com.marciocadev	mca-projen-jsii-example	1.9.2		b05d7bf95a9ea00fd051db7c9c91c07eddaff50c
com.marvinformatics.formatter	com.marvinformatics.formatter	1.2.0		6150c58c4f9ee3374f21585d8d9b36559057d2ed
com.marvinformatics.formatter	com.marvinformatics.formatter	1.3.0		8b2151a23893ddf1081f6f39c47102d89b91c615
com.marvinformatics.formatter	com.marvinformatics.formatter	1.4.0		df18f5cde9b3e50cb4e365fb957cb2c4a33cf8df
com.marvinformatics.formatter	com.marvinformatics.formatter	1.4.0.M6		09eb05ea33278623a073c834153d2ae201fc0167
com.marvinformatics.formatter	com.marvinformatics.formatter	1.5.0		caa19a485789e48200c1881f229d2fbace10e618
com.marvinformatics.formatter	com.marvinformatics.formatter	1.6.0		c235f247eb695feeb39d114b84aa9097482c9baa
com.marvinformatics.formatter	com.marvinformatics.formatter	1.6.0.RC1		7ded9ad397fb6becfcdcb7ddf0fc6e8aaecad250
com.marvinformatics.formatter	com.marvinformatics.formatter	1.6.0.RC2		30b39145c3f2b4bd91542b6c493c74ee81bd62ec
com.marvinformatics.formatter	com.marvinformatics.formatter	1.6.0.RC3		2bd93d3ab02b9f4c1af756041261e9b07b3de2e8
com.marvinformatics.formatter	com.marvinformatics.formatter	1.6.0.RC4		7e98a28be2e6ee0f688939f77cc6f4dbfc303e62
com.marvinformatics.formatter	com.marvinformatics.formatter	1.7.0		0ce8e9229f5fe317ed110326d88ebe164b0e1957
com.marvinformatics.formatter	com.marvinformatics.formatter	1.8.0		ca0f2fd7df4e5afebc96b5f3c367c1f90dec45ad
com.marvinformatics.formatter	com.marvinformatics.formatter	1.8.1		ea59b612ff5d51dc2ce1bd05cf9b1f910086cb64
com.marvinformatics.formatter	com.marvinformatics.formatter	1.9.0		f4c2558c09d76c350928f6b97b6d347eebbeb2d2
com.marvinformatics.formatter	com.marvinformatics.formatter	1.9.1.RC1		a631116f327b88473aad71f00f222d6722d0aecd
com.marvinformatics.formatter	com.marvinformatics.formatter	1.9.1.RC2		b702308a99571a153d83bfc1bdf884ad93a029b9
com.marvinformatics.formatter	com.marvinformatics.formatter	1.9.2		1b5340b5f18752a3366b6313f3a979479e4afad6
com.spotify	hamcrest	1.0.0		N/A
com.spotify	hamcrest	1.0.1		N/A
com.spotify	hamcrest	1.0.2		N/A
com.spotify	hamcrest	1.1.0		N/A
com.spotify	hamcrest	1.1.1		N/A
com.spotify	hamcrest	1.1.2		N/A
com.spotify	hamcrest	1.1.3		N/A
com.spotify	hamcrest	1.1.4		N/A
com.spotify	hamcrest	1.1.5		N/A
com.spotify	hamcrest	1.2.0		N/A
com.spotify	hamcrest	1.3.1		N/A
com.spotify	hamcrest	1.3.2		N/A
com.supensour	supensour-reactor	0.1.0		a17bc10698e26e575671f5f6b68bc249559de77e
com.supensour	supensour-reactor	0.1.1-RC		6c628490a2b9d1f3f3f82a877db3f2470452ab06
com.tomtom.jsystemd	jsystemd-spring-boot-starter	1.0.3.1		cc4df98126a9fa63f1ae85ce4950f68e0f9160de
com.tomtom.jsystemd	jsystemd-spring-boot-starter	1.0.3.2		6df2bc6b12e527e7f1eb5c2509c21cd7dc913164
de.bund.bva.isyfact	isyfact-standards	1.6.1		N/A
de.bund.bva.isyfact	isyfact-standards	1.7.0		N/A
de.bund.bva.isyfact	isyfact-standards	1.8.0		N/A
de.bund.bva.isyfact	isyfact-standards	1.8.1		N/A
de.bund.bva.isyfact	isyfact-standards	1.8.3		N/A
de.bund.bva.isyfact	isyfact-standards	1.9.0		N/A
de.bund.bva.isyfact	isyfact-standards	2.0.1		N/A
de.bund.bva.isyfact	isyfact-standards	2.1.0		N/A
de.bund.bva.isyfact	isyfact-standards	2.2.0		N/A
de.bund.bva.isyfact	isyfact-standards	2.2.1		N/A
de.bund.bva.isyfact	isyfact-standards	2.2.2		N/A
de.bund.bva.isyfact	isyfact-standards	2.3.0		N/A
de.bund.bva.isyfact	isyfact-standards	2.3.1		N/A
de.bund.bva.isyfact	isyfact-standards	2.3.2		N/A
de.bund.bva.isyfact	isyfact-standards	2.4.0		N/A
de.bund.bva.isyfact	isyfact-standards	2.4.1		N/A
de.bund.bva.isyfact	isyfact-standards	2.4.2		N/A
de.bund.bva.isyfact	isyfact-standards	2.4.3		N/A
de.bund.bva.isyfact	isyfact-standards	2.4.4		N/A
de.bund.bva.isyfact	isyfact-standards	2.5.0		N/A
de.bund.bva.isyfact	isyfact-standards	2.6.0		N/A
de.bund.bva.isyfact	isyfact-standards	3.0.0		N/A
de.bund.bva.isyfact	isyfact-standards	3.0.1		N/A
de.bund.bva.isyfact	isyfact-standards	3.0.2		N/A
de.bund.bva.isyfact	isyfact-standards	3.1.0		N/A
de.bund.bva.isyfact	isyfact-standards	3.1.1		N/A
de.bund.bva.isyfact	isyfact-standards	3.2.0		N/A
de.bund.bva.isyfact	isyfact-standards	3.2.1		N/A
de.bund.bva.isyfact	isyfact-standards	4.0.0		N/A
de.sciss	desktop-mac_2.10	0.4.0		e05636f47fcbb6347210b05b195c4f38112b10cd
de.sciss	desktop-mac_2.10	0.4.1		16e4954f9806e4d56c357d7dc9a41d7ef935110c
de.sciss	desktop-mac_2.10	0.4.2		c30fa6c5df10310822d47fd6c6356eb3732c3a11
de.sciss	desktop-mac_2.10	0.5.0		9f0994f83298c934e994689d404f6260fdbd7fb2
de.sciss	desktop-mac_2.10	0.5.1		67fc5cafd64f5344d6bfaa377e18a6414ba3d771
de.sciss	desktop-mac_2.10	0.5.2		52c73e50072714da9cf4fa2d85f5b0f26c20d1ba
de.sciss	desktop-mac_2.10	0.5.3		cdd8129253a0e6f212eb5c9a5d87523b51268a55
de.sciss	desktop-mac_2.10	0.5.4		234cfe481dcbb1a0f35dc08adc7dde34f2d62f64
de.sciss	desktop-mac_2.10	0.6.0		cc04d33660cbc694d02cd0ea2d84d5b9d53225bf
de.sciss	desktop-mac_2.10	0.7.0		63fccc78014c1c5064e3072d593a69428107f1bd
de.sciss	desktop-mac_2.10	0.7.1		71ce326948e425d49f353a6bdbf498f8882b2ba7
de.sciss	desktop-mac_2.10	0.7.2		32a87030a169bcb1af9eb3f6583717af210784bf
de.sciss	desktop-mac_2.10	0.7.3		f815ab2d14c1e7b810a660bbcfb2654ccc4282c2
de.sciss	desktop-mac_2.10	0.7.4		3cbbb91138d06ce014f5a6fc3a8df580ee44b410
de.sciss	desktop-mac_2.10	0.7.5		1106e40298aa94aeb8aa2b241570832ac8546c98
de.sciss	desktop-mac_2.10	0.8.0		e9e26b8f6051242fc16e931736dba0416ec8877f
de.wayofquality.blended	blended.demo.mgmt.resources_2.13	3.2-RC1		af8b298163453668799cff98d23ae61f2f2e0f6c
de.wayofquality.blended	blended.demo.mgmt.resources_2.13	3.2-RC2		d2a337fc71a5100fed6931db3d1f9215259e5adb
de.wayofquality.blended	blended.demo.mgmt.resources_2.13	3.2-alpha1		4e68baaa3e8bdf714f32526fee4bfd304b7b0998
de.wayofquality.blended	blended.demo.mgmt.resources_2.13	3.2-alpha2		f04d7f8b8f86ea8642f86d854177e7986fb573c3
edu.jhuapl.ses	jackfruit	1.0.0		02fc05bc9e8d988b53ab314d7ef5c8ede0bd570d
edu.jhuapl.ses	jackfruit	1.1.0		dffe099369bcb825b69249dbf87032ff08b27f41
edu.jhuapl.ses	jackfruit	1.1.1		e7411632c2e4c676a2a98756b61389df7c1924c3
eu.fbk.dh	tint-verb	0.2		2e7ee1f6382df50fce174809cd96e1099494ef4e
eu.fbk.dh	tint-verb	0.3		d58db43e8525adb213ab1dc89431569c19e8b45e
io.chrisdavenport	epimetheus-redis4cats_2.12	0.0.1		a3fdedabd04487ca0661f0bc329c98da8543861b
io.chrisdavenport	epimetheus-redis4cats_2.12	0.0.2		cb483911313dd7f5aa35ed423667b64d9b3de0c1
io.chrisdavenport	epimetheus-redis4cats_2.12	0.1.0		0a0f2b7c8d17904c0b0a38876ef7123b61b7f210
io.chrisdavenport	epimetheus-redis4cats_2.12	0.2.0-M1		f3c837adfe1548061999c67afd21d1ed0b468b95
io.chrisdavenport	epimetheus-redis4cats_2.12	0.2.0-M2		1bb3c173cf5c8f430809e1e41d8dceb5e2ceb680
io.chrisdavenport	epimetheus-redis4cats_2.12	0.3.0-M1		55c203b6e2eb1395a07bc72af30d92fa72cfddaf
io.fintrospect	fintrospect-jackson_2.12	14.10.0		bbaa9ea0b6efa7618825fa768df870d1e3008408
io.fintrospect	fintrospect-jackson_2.12	14.11.0		3b6e7b98aefac22e2466fd441c7df26bd8af8e0a
io.fintrospect	fintrospect-jackson_2.12	14.12.0		63628b6319481df087b929342aa530e4038ee67c
io.fintrospect	fintrospect-jackson_2.12	14.12.1		1e1f23ea9346870301191b7eb460489830ecaa3c
io.fintrospect	fintrospect-jackson_2.12	14.12.2		ee1aec353cd2c9b4030d35872e09c6fddcd5bd20
io.fintrospect	fintrospect-jackson_2.12	14.13.0		6d624b2686a0504855a9596feea2f836b33c8d01
io.fintrospect	fintrospect-jackson_2.12	14.14.0		acc8534219d3b06bf593aa11458b51861237892a
io.fintrospect	fintrospect-jackson_2.12	14.15.0		0f2c874dd5eb86badbb8e0c5e0c3080d42ee37f7
io.fintrospect	fintrospect-jackson_2.12	14.16.0		N/A
io.fintrospect	fintrospect-jackson_2.12	14.17.0		c29e7768f7ad78e41db1d75f47a49b929e66e73a
io.fintrospect	fintrospect-jackson_2.12	14.17.1		c3e32584b378dfb30d3e5563f1c7bd18371185be
io.fintrospect	fintrospect-jackson_2.12	14.17.2		9acdde94fdfd3b5c7d83715580bd2be542e7f877
io.fintrospect	fintrospect-jackson_2.12	14.17.3		a548c89348a8adc6c1e867aed994a992dfc1d2f9
io.fintrospect	fintrospect-jackson_2.12	14.18.0		db7811268f6589ba3134a23e8ab89d58289ce0b5
io.fintrospect	fintrospect-jackson_2.12	14.19.0		0b3b232318da6919f2da87a070fbc894237269fc
io.fintrospect	fintrospect-jackson_2.12	14.19.1		cb3f8d8cbbe4619d907554241079e3b1d90d1ce0
io.fintrospect	fintrospect-jackson_2.12	14.20.0		13a7c771f0be62de900cfe7b7b551b5940c31d3c
io.fintrospect	fintrospect-jackson_2.12	14.21.1		7f277b8c1993f0184373378ae2faee25edf1845f
io.fintrospect	fintrospect-jackson_2.12	14.21.2		41b357c2e67d01365616aefd7072e4cd0392e872
io.fintrospect	fintrospect-jackson_2.12	14.22.0		ff53274e0485fdb2528f3d4aff3fb271b936d26b
io.fintrospect	fintrospect-jackson_2.12	14.4.0		a3b79e6a4344079d67228321e9834ad642410d1b
io.fintrospect	fintrospect-jackson_2.12	14.5.0		1d5a19a07ca1b85a1533741729aaffb1a370afb5
io.fintrospect	fintrospect-jackson_2.12	14.6.0		30e3699363f51c3a5031166051c2b8342560a30d
io.fintrospect	fintrospect-jackson_2.12	15.0.2		23f758b4b79676ecef05db4c64f1a6b0e80d8d5d
io.fintrospect	fintrospect-jackson_2.12	15.1.0		96417d8295fde0827fd738d75336b48245446dfe
io.fintrospect	fintrospect-jackson_2.12	16.0.0		b7e2f25e0357f71dfb52846095a4189da600f5e8
io.github.davidwhitlock.cs410J	phonebill-archetype	2021.0.0		0a2a6e8aecfd91e4773411280d789f2f2f5f2f26
io.github.davidwhitlock.cs410J	phonebill-archetype	2021.1.0		b40abda240c52ff4325e211ee730df001117a9e6
io.github.davidwhitlock.cs410J	phonebill-archetype	2021.1.1		51305dc95ff687a6b3978da2ceee918c20826c3f
io.github.davidwhitlock.cs410J	phonebill-archetype	2021.2.0		d382a1242e17a5939e8e01bd918c26ccc7a7b9f5
io.github.davidwhitlock.cs410J	phonebill-archetype	2021.3.0		42ce042dc5b452d057e66c0a356d320b824da2df
io.github.davidwhitlock.cs410J	phonebill-archetype	2022.0.0		2338e93b896d61996283861532e894ff0274879a
io.github.davidwhitlock.cs410J	phonebill-archetype	2022.1.0		2ba2b1bd8e966731e59fbc6f3bb3f6dc78695443
io.github.davidwhitlock.cs410J	phonebill-archetype	2022.2.0		16033e80315021b2d4a8ae27d8fee829932d4168
io.github.davidwhitlock.cs410J	phonebill-archetype	2023.0.0		aeda4b64e26932a59add58f3771c9ccc411c7d33
io.github.davidwhitlock.cs410J	phonebill-archetype	2023.1.0		821fff8f1bf94b968eff8be5d0a5f6e168a97f29
io.github.davidwhitlock.cs410J	phonebill-archetype	2024.0.0		c6dc070f9ee00f538feb017009b529701423b131
io.github.davidwhitlock.cs410J	phonebill-archetype	2024.0.1		8083b740d9fa2b0acd199ec11b86140dee346ed7
io.github.evonit	thumbnailator2	0.4.21		762b7935b41b3a1db4e51e2dba02bd2694ab1aca
io.github.mflisar.composepreferences	screen-date-jvm	1.0.0		db9e4082381a4af9d70bbbe3571e8df4fa84d7d0
io.github.mflisar.composepreferences	screen-date-jvm	1.0.0-test03		d79773c1195f35a359399ffacbae300519eed5d8
io.github.mflisar.composepreferences	screen-date-jvm	1.0.0-test05		d79773c1195f35a359399ffacbae300519eed5d8
io.github.mflisar.composepreferences	screen-date-jvm	1.0.0-test06		d79773c1195f35a359399ffacbae300519eed5d8
io.github.mflisar.composepreferences	screen-date-jvm	1.0.0-test07		8100edd27cb8d9e13b3fc0ad4d2277084869bd0c
io.github.mflisar.composepreferences	screen-date-jvm	1.0.0-test08		d6493eb01077e3aee9dbdff82f36fd166b308dbd
io.github.mflisar.composepreferences	screen-date-jvm	1.0.0-test09		96d11fe913f72f153036d2638fc9d15925030a06
io.github.mflisar.composepreferences	screen-date-jvm	1.0.0-test10		ef21dc8aea09d87c4142afebacd929b703d41f28
io.github.mflisar.composepreferences	screen-date-jvm	1.1.0		db9e4082381a4af9d70bbbe3571e8df4fa84d7d0
io.github.mflisar.composepreferences	screen-date-jvm	1.1.1		db9e4082381a4af9d70bbbe3571e8df4fa84d7d0
io.github.mflisar.composepreferences	screen-date-jvm	1.1.2-alpha03		db9e4082381a4af9d70bbbe3571e8df4fa84d7d0
io.github.mflisar.composepreferences	screen-date-jvm	1.1.2-alpha05		db9e4082381a4af9d70bbbe3571e8df4fa84d7d0
io.github.mflisar.composepreferences	screen-date-jvm	1.1.2-alpha06		db9e4082381a4af9d70bbbe3571e8df4fa84d7d0
io.github.olegych	scaposer_native0.4_3	1.12.4		42ba456dbf4d956e2cba3fd40442ac1564e96cc1
io.github.vvk78.perceptnet.commons	reflection	0.j6.0		0038f850ec872119cfed6163481e7c7f68f9f955
io.github.vvk78.perceptnet.commons	reflection	1.3.0		eb5ddf090cc39aa6ba78be0cf9faacea9e5892d8
io.github.vvk78.perceptnet.commons	reflection	1.4.0		cf7fd5e9721c60893054be1e21ea55da521635ca
io.github.vvk78.perceptnet.commons	reflection	1.5.0		5b9e0f1a4776eea700dc1c1d6b0f7d6acee0fa15
io.github.vvk78.perceptnet.commons	reflection	1.6.0		63454e43ead06c593554e58c9331a0460593abf8
io.kronor.component	swish	"""2.3.1"""		N/A
io.kronor.component	swish	"""2.3.4"""		N/A
io.kronor.component	swish	1.1		N/A
io.kronor.component	swish	2.0		N/A
io.kronor.component	swish	2.1		N/A
io.kronor.component	swish	2.2		N/A
io.kronor.component	swish	2.3		N/A
io.kronor.component	swish	2.3.1		N/A
io.kronor.component	swish	2.3.2		N/A
io.kronor.component	swish	2.3.3		N/A
io.kronor.component	swish	2.3.4		N/A
io.kronor.component	swish	v2.3.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.10.0		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.10.0.CR1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.10.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.10.2		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.11.0		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.11.0.CR1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.11.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.11.2		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.11.3		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.12.0		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.12.0.CR1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.12.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.12.2		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.12.3		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.13.0		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.13.0.CR1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.13.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.13.2		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.13.3		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.14.0		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.14.0.CR1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.14.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.14.2		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.14.3		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.14.4		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.15.0		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.15.0.CR1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.15.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.15.2		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.15.3		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.15.3.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.15.4		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.16.0		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.16.0.CR1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.16.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.16.2		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.16.3		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.16.4		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.0		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.0.CR1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.2		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.3		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.4		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.5		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.6		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.7		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.17.8		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.18.0		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.18.0.CR1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.18.1		N/A
io.quarkus	quarkus-rest-jaxb-parent	3.18.2		N/A
