com.github.carlopantaleo	jmodel-maven-plugin	0.1.5		064cc536d317d78f46787d94e8e8d838a33d2227
com.github.davidcarboni	file-store	0.0.5		64755d946b72076d9fb1eb4d8586533705b8275c
com.github.dynckathline	crashlib	1.0		N/A
com.github.fracpete	requests4j	0.0.1		08421c766042000267b0b2867b641c6de6b92466
com.github.fracpete	requests4j	0.0.2		b8f18a987f6fe25f64a73194206db516600c9227
com.github.fracpete	requests4j	0.0.3		4dbb957c7922e3840876019e4c9bc03aef93e8de
com.github.fracpete	requests4j	0.0.4		835758d145b28e4cb7787a92fa673c95f83d2717
com.github.fracpete	requests4j	0.0.5		ffa32c8a3f979ac0b1c993e3a33a13112d7ef78a
com.github.fracpete	requests4j	0.1.0		8765d72dddd6fdb57ce4e76c979e8430160763ff
com.github.fracpete	requests4j	0.1.1		cc8721f85e463b8778a75c692fecfee1d6ad1aab
com.github.fracpete	requests4j	0.1.2		3525d7acf4d07f0974a87b1acfa1811e2b4bf214
com.github.fracpete	requests4j	0.1.3		1b31a8c3d0b20e910af2fc776e02c76c991ad448
com.github.fracpete	requests4j	0.1.4		85c8d0ed5b99cf8c64bce6b4fcebe60bc54a9443
com.github.fracpete	requests4j	0.1.5		7fb8fce753ad241d61055a304ebdcd51441dc9d4
com.github.fracpete	requests4j	0.1.6		a6fffab74d117cb21477ba699e42f116b1e845a1
com.github.fracpete	requests4j	0.1.7		b3dbadca8afbf0e4e989cec905879bfe59e222ce
com.github.fracpete	requests4j	0.1.8		4e3f73bca52f469b8c62b4cc037d8a233d963887
com.github.fracpete	requests4j	0.1.9		fcddffcff31d4e3cb48801e8e38a90c84cd46d24
com.github.fracpete	requests4j	0.2.0		ee0f34e2c70c959448f02e2d40a98ab6cc7d5410
com.github.fracpete	requests4j	0.2.1		4ed7d4be9ea2a595fd82405014145afde7d70a08
com.github.fracpete	requests4j	0.2.2		a8908cb13e2193f2c538d080e9b5395bd4f467b5
com.github.fracpete	requests4j	0.2.3		19218ca1fe090fc45d93ca73edb4d04151273ca7
com.github.fracpete	requests4j	0.2.4		e8bc276c7a68803e45c6c15755520dd55420f768
com.github.fracpete	requests4j	0.2.5		fff02ad347e0d6b59a417a57633446510764790e
com.github.fracpete	requests4j	0.2.6		4e2d7eb917ca9888ca21344b8524014cb7c45e24
com.github.htfv.querydsl	querydsl-apt-jpa	1.0.2		f6d96b0f769554e9fb85de880f5299c6b9cc1fe4
com.github.htfv.querydsl	querydsl-apt-jpa	1.1		da743656a8d2bfc8b8abc33442078d026e782a0a
