au.net.causal.shoelaces	shoelaces-jersey-client-integration-tests-common	2.0		N/A
com.amazonaws	amazon-kinesis-producer	0.12.7		c538594ab48973ba3c870480b0fa1ab456f690e6
com.amazonaws	amazon-kinesis-producer	0.12.8		06618394b283010336afc3af0c04ee09ebdff136
com.amazonaws	amazon-kinesis-producer	0.12.9		947fbbb118658385b752001f94c277e4f7cfb557
com.amazonaws	amazon-kinesis-producer	0.13.0		853393818d605dcf31ec6625ca8e1584fa19bef8
com.amazonaws	amazon-kinesis-producer	0.13.1		b728a3fd71b653ea9894619a953384917f6b9f71
com.amazonaws	amazon-kinesis-producer	0.14.0		c20bfcd98339ec3a96ce7df73ad3b4afe4c0e249
com.amazonaws	amazon-kinesis-producer	0.14.1		8953110d00d2c36834fa1f950a7839d5a8432c4d
com.amazonaws	amazon-kinesis-producer	0.14.10		2b1378c81cf1959e067f7c28c967a7009ea8f7b4
com.amazonaws	amazon-kinesis-producer	0.14.11		8275031f7b456b6851e0e526aa9027e15c31952b
com.amazonaws	amazon-kinesis-producer	0.14.12		7c8f66af26b3186e6a50b8ccae67dd55c567372f
com.amazonaws	amazon-kinesis-producer	0.14.13		ca7002507fc8346d1e5a542f29bb8b022d980856
com.amazonaws	amazon-kinesis-producer	0.14.2		b1e39c818dc486be5cd36571bedf9cd22f8e059a
com.amazonaws	amazon-kinesis-producer	0.14.3		b344c4283412616d007e17c12b556f402a6d9ee8
com.amazonaws	amazon-kinesis-producer	0.14.4		fd4bbff111ac7c3fcf6d842f5c28c1f14fe9f655
com.amazonaws	amazon-kinesis-producer	0.14.5		be4e93e2891f802b485b9a1a29d68ee2ec0d49fa
com.amazonaws	amazon-kinesis-producer	0.14.6		7f83582df816dccc5217f05ece309a5cd8c7a9a5
com.amazonaws	amazon-kinesis-producer	0.14.7		0fea086d032136dd3c23e4cf44b7c4458768140b
com.amazonaws	amazon-kinesis-producer	0.14.8		27262ca324f20aaf4dd6b695e7a9bcb7d06deeec
com.amazonaws	amazon-kinesis-producer	0.14.9		73ab9f30818e073c46a91257e0630a96008eec21
com.amazonaws	amazon-kinesis-producer	0.15.0		1756ec0e79cc93bd6b544b7ee7e8815e3a5baa0e
com.amazonaws	amazon-kinesis-producer	0.15.1		15325d8abf94db5cf03bb107fecb789b75cc5ca3
com.amazonaws	amazon-kinesis-producer	0.15.10		8b99fa093de2016d46e3f25e7e5b32d795e538d5
com.amazonaws	amazon-kinesis-producer	0.15.11		1eae65cc30e68b4e85e2e902fa624a71083cc613
com.amazonaws	amazon-kinesis-producer	0.15.12		56c216c70db0bfa3b39df8e33cc68f9d35093672
com.amazonaws	amazon-kinesis-producer	0.15.2		1094589d4b2a9dd8b8ed41677b583645afde9ff4
com.amazonaws	amazon-kinesis-producer	0.15.3		dcaeed23565daf861fa01379bc335ba176b05904
com.amazonaws	amazon-kinesis-producer	0.15.4		62bfde068d59c9ca4cc8b2c16c182005d18b2255
com.amazonaws	amazon-kinesis-producer	0.15.5		77b1127124ab1628e80492a9c87dbc1b369ce970
com.amazonaws	amazon-kinesis-producer	0.15.6		8aa5f57457b091672598eb3525cab484d1d8d332
com.amazonaws	amazon-kinesis-producer	0.15.7		a55685063a18a5619e5e2a3da7bd8cc99c658a03
com.amazonaws	amazon-kinesis-producer	0.15.8		a7fcd8802aa04bd9043a9420213b5ca41b8c9018
com.amazonaws	amazon-kinesis-producer	0.15.9		65c207c7f5d8714ca459c83f14913e18eb52e556
com.amazonaws	amazon-kinesis-producer	0.9.0		077dea4c84183b6ef7bcaa532b892621d50c7c56
com.boozallen.aissemble	aissemble-data-access-chart	1.10.0		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.10.0-rc2		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.11.1		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.7.0		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.7.0-rc2		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.7.0-rc3		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.7.0-rc4		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.8.0		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.8.0-rc6		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.8.0-rc8		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.8.1		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.8.1-rc2		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.8.2		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.9.0-rc1		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.9.0-rc2		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.9.1		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.9.2		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.9.3		N/A
com.boozallen.aissemble	aissemble-data-access-chart	1.9.4		N/A
com.brihaspathee.zeus	transaction-storage-service	0.0.2		acbe8ead354295b1bb7a18acd738e63099259c89
com.brihaspathee.zeus	transaction-storage-service	1.0.0		1e5fc5a84c01fb1f26223dc406f59bd8fb935719
com.brihaspathee.zeus	transaction-storage-service	1.0.1		747414b53a484e9c0a40c0f1b63a192992078d53
com.brihaspathee.zeus	transaction-storage-service	1.0.2		e15893d4ce3e5f423af1207088b6a1e8cfd0c947
com.brihaspathee.zeus	transaction-storage-service	1.0.3		a070116a3bf1d6b3dfe8914ca5e628f99776f435
com.buession.logging	buession-logging-springboot	0.0.1		d8dc6ef5bd65e9215151dc7560463820035d3327
com.buession.logging	buession-logging-springboot	0.0.2		40bdf8805e60497e31e88f05052e78e5d6e514cb
com.buession.logging	buession-logging-springboot	0.0.3		ee67701f80338268598ccd11103de922d831cbe0
com.buession.logging	buession-logging-springboot	0.0.4		2ec6fd78e0c85d25edf7b600b37789a86d2d919d
com.buession.logging	buession-logging-springboot	1.0.0		637d662ee94f14be65032354e5e2a26cc1109957
com.cmgapps.android	lint-nullify	1.8.0		N/A
com.cmgapps.android	lint-nullify	1.9.0		N/A
com.cmgapps.android	lint-nullify	2.0.0		N/A
com.dimafeng	testcontainers-scala-scalatest_2.12	0.34.0		56ecc7c7ba0e47811a585c97a815fbe776e102c7
com.dimafeng	testcontainers-scala-scalatest_2.12	0.34.1		b02c9e811c1e43a2c8b17078f62d53223da0d7d1
com.dimafeng	testcontainers-scala-scalatest_2.12	0.34.2		4c279f1544079e370faf656f40982f5ce0919418
com.dimafeng	testcontainers-scala-scalatest_2.12	0.34.3		9b79b5c5f7f8d59e372c624c40b3c175fa7aa344
com.dimafeng	testcontainers-scala-scalatest_2.12	0.35.0		1619b8dfb7fd06ac76cefb3b1669150b4139b1db
com.dimafeng	testcontainers-scala-scalatest_2.12	0.35.1		7802287f0a4fe07017177c587452eed999562082
com.dimafeng	testcontainers-scala-scalatest_2.12	0.35.2		75a3216d33b82bf85474c00305e12366d50ebcac
com.dimafeng	testcontainers-scala-scalatest_2.12	0.36.0		e653068003c8ff21cccd68a7e671719ab6b27128
com.dimafeng	testcontainers-scala-scalatest_2.12	0.36.1		55c080cbdadc30eaff69fc1119e87a23619f125a
com.dimafeng	testcontainers-scala-scalatest_2.12	0.37.0		b5359521c2ef45997202b9c2d4374dc21bb563a5
com.dimafeng	testcontainers-scala-scalatest_2.12	0.38.0		522429d2d51e6f83fdf10b7e6b94345a41795258
com.dimafeng	testcontainers-scala-scalatest_2.12	0.38.1		47434ff7a8de0c7356af5752deb0c5cb5b1be7ad
com.dimafeng	testcontainers-scala-scalatest_2.12	0.38.3		57abbe250978810488b279a24b16a50b9ff2a0e4
com.dimafeng	testcontainers-scala-scalatest_2.12	0.38.4		e823ee8338084a24a568ae157624eb8ff5a32a78
com.dimafeng	testcontainers-scala-scalatest_2.12	0.38.5		095611c28f64e390e39fbc3b50a8311f802093a0
com.dimafeng	testcontainers-scala-scalatest_2.12	0.38.6		c4542bc20bf9feeaad378a2a4ad85df03973ff7e
com.dimafeng	testcontainers-scala-scalatest_2.12	0.38.7		25ab06bc53fa0314b96519dce4c24e175efb9f03
com.dimafeng	testcontainers-scala-scalatest_2.12	0.38.8		d1a90b48d1c4fdb2169411388a437863c7edeba5
com.dimafeng	testcontainers-scala-scalatest_2.12	0.38.9		2af9e609629d1202232ba3b8e00880e3348e5abb
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.0		1b23c1be6bf5a501b033019e04ec23d7fcc216fd
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.1		cf5118d021c549e1640febdab2e4501ed745c670
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.10		ed8f0843ed798b7611b33cd8917dd06b12b9f2ec
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.11		3101b18d9e23496dd37cb4e350938c9c9038e299
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.12		059f902dac09dd54e3335e6f9832105356563e42
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.2		95e1375d7da20bf94da5ca9ec78c24453d5b0fd7
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.3		0252b685112873f73bfb280c364a8978aa7623d9
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.4		74f19e3fb783f663874587bf4d8a1011e9107b4a
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.5		27fb25608a82f572dbc9a12098c41d70aa55a13b
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.6		fb49688fadf5508a3acb755dac22c88fd17a5944
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.7		3fb14a96889f76ad31605bb07902724a33ebffd1
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.8		696ada8d34f701729a206b6ebf219454449d4282
com.dimafeng	testcontainers-scala-scalatest_2.12	0.39.9		534b3f3a0f86a08a3a8c1a9499224d313f6d5dad
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.0		90880d512127c08a0eb59a444b1609fcfd16c47f
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.1		baa402906ba52ee2515a0daed04bcadcb0c6649b
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.10		f77652ba19a3790002b58b1e9ba383ea2228d137
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.11		0c8f401d56700ac95073dd83f3bb11add0cfadee
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.12		17455ebb90bda3d56d8a12d77dad7a46b3c16728
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.13		5e975c440ccfb7f58338c2bedb8079367a6334cf
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.14		f5a2f253ee250ccf0883d056802655ed7e7be118
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.15		faedd7dd6e7dd2532f484557672e32932320c690
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.16		038cca53db2b11f89174589621dfdcdcbfe06315
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.17		2ff62b400dc3467f352ac7858f60622084d0eba7
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.2		da57f49d63224cd627605218e5be535a1b3218a5
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.3		ec4da031f767d61226b2fe3513b0ed16252685b7
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.4		2f7fc77b2cf2f18eec8a6fdb77900f432b4dab2d
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.5		d9ada578add3c71cddcf58ef6ba21d2b35bcbbc6
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.6		1e5515b69b4a74364c614de746e377a170936f4d
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.7		81dd18101e22224c983d16d7820052d81596ccfd
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.8		c7c08b55dbea10c4f033e91437c756c89253d599
com.dimafeng	testcontainers-scala-scalatest_2.12	0.40.9		fe6899964c5a514b92598b6154df0d6eaa8f2dd1
com.dimafeng	testcontainers-scala-scalatest_2.12	0.41.0		8065852a69fba158fcdaa4e4a8f14b94446f8991
com.dimafeng	testcontainers-scala-scalatest_2.12	0.41.1		027649d57b0a7e01ddf021281659039b5b3f192c
com.dimafeng	testcontainers-scala-scalatest_2.12	0.41.2		4802276c542ef8e3dffa5e688f72f07a6ea71d3f
com.dimafeng	testcontainers-scala-scalatest_2.12	0.41.3		0c0a6b4d41edef7f08aeffaa617be2ce35310360
com.dimafeng	testcontainers-scala-scalatest_2.12	0.41.4		bea3c01c50d595aa443adb6dd1ab4d58b3270111
com.dimafeng	testcontainers-scala-scalatest_2.12	0.41.5		caf05a92d410a0d1084d92a2169aed5f2565e1b2
com.dimafeng	testcontainers-scala-scalatest_2.12	0.41.8		15b0f84fb71da3d33054e9b9e09c3c9cd300954d
com.dimafeng	testcontainers-scala-scalatest_2.12	0.43.0		f7d2ced589d6e24acdbd15241eabf54eff2243f1
com.dimafeng	testcontainers-scala-scalatest_2.12	1.0.0-alpha1		73a20ada39849ac4b6fca7d9db7afbffd02fbbce
com.getansa	sdk-core	0.0.3		N/A
com.getansa	sdk-core	0.0.4		N/A
com.getansa	sdk-core	0.0.5		N/A
com.getansa	sdk-core	0.0.6		N/A
com.getansa	sdk-core	0.0.7		N/A
com.getansa	sdk-core	0.12.0		bff7b0b087f06d98ebb387549f4fe8d31b088638
com.getansa	sdk-core	0.13.0		bff7b0b087f06d98ebb387549f4fe8d31b088638
com.getansa	sdk-core	0.24.0		N/A
com.getansa	sdk-core	0.24.1		N/A
com.getansa	sdk-core	0.24.10		N/A
com.getansa	sdk-core	0.24.11		N/A
com.getansa	sdk-core	0.24.12		N/A
com.getansa	sdk-core	0.24.13		N/A
com.getansa	sdk-core	0.24.17		N/A
com.getansa	sdk-core	0.24.18		N/A
com.getansa	sdk-core	0.24.2		N/A
com.getansa	sdk-core	0.24.3		N/A
com.getansa	sdk-core	0.24.4		N/A
com.getansa	sdk-core	0.24.5		N/A
com.getansa	sdk-core	0.24.6		N/A
com.getansa	sdk-core	0.24.7		N/A
com.getansa	sdk-core	0.24.8		N/A
com.getansa	sdk-core	0.24.9		N/A
com.getansa	sdk-core	0.25.0		N/A
com.getansa	sdk-core	0.26.0		N/A
com.getansa	sdk-core	0.27.0		N/A
com.getansa	sdk-core	0.28.0		N/A
com.getansa	sdk-core	0.29.0		N/A
com.getansa	sdk-core	0.30.0		N/A
com.getansa	sdk-core	0.30.1		N/A
com.getansa	sdk-core	0.30.2		N/A
com.getansa	sdk-core	1.9.24-0.30.3		N/A
com.getansa	sdk-core	1.9.24-0.30.4		N/A
com.getansa	sdk-core	1.9.24-0.31.0		N/A
com.gitee.kamismile	stoneComEx	0.0.11		09ff66d667274e8544c7c28549a838883d43228a
com.gitee.kamismile	stoneComEx	0.0.12		e05aa468c34e7c80923c5522466ae2d619932e25
com.gitee.kamismile	stoneComEx	0.0.3		d092f185979c37985f1e61949755e61de099bf56
com.gitee.kamismile	stoneComEx	0.0.5		73c24d9984400a8d7aa4d67aa70c18aeaf7338c5
com.gitee.kamismile	stoneComEx	1.1.0		437d3675ad94456be90d2f8cedaac57340a4e182
com.gitee.kamismile	stoneComEx	1.1.1		19aece6070ab0c66a7f0e0707159c2838a8d81a8
com.gitee.kamismile	stoneComEx	1.1.2		6e2682c39ca6bc2984701e772c85ffd213e3b605
com.gitee.newki123456	round_circle_layout	1.0.0		N/A
com.gitee.newki123456	round_circle_layout	1.0.1		N/A
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.2.10		d32095f3516c92f09240e34e35fa90950bdb7788
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.2.11		d2805a6febaa5ad2675a2661228e366c5c8de98d
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.2.7		5f27365df2f866608c645bba58b9e0ec44e585fe
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.2.8		4028d76faf5a82fb4d5c61f01b7044b9ed7479a0
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.2.9		866bf9f80dc14ad4f4f99cc5001f17a60cc39bf4
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.0		fbff172ecf2f97787fe70a18ba7ec53a163b0967
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.1		9797f3bbe654c2bbb7dc8f57f2c2dcb3bd7ddad8
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.10		d589151c4ed3fd9354c8ee330a2d42caa0e307ef
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.11		891bd6dc7f03018b8847fe24efce5f07af564dbe
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.12		37dcfc17f362c1bfabb2cbcab165f9c43f289527
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.2		674ae37e01724e3351af2748baddbdad620cc980
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.3		d609838ac82281ba9669a97f593a313ae57d2b70
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.4		6c21ed663094f9b789b354527e93d51f6c539062
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.5		ceb58ea41136c576c9b1aede8f5586ea4b20f251
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.7		a88afc81c6a016bca3d5fbb3b2fd9f3dc4b22c8b
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.8		6ea2826ce752e911402e01b61354e550bd9fdc57
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.3.9		8cbf31160ac11236518221bf84889fc85f0c0807
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.0		a70b5e767b73de0e787c271497acb26d84316129
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.1		3ddc04e9e12792d3a0d2d2a27347dc3ec6b3e02e
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.10		60729b6b6641b734f96a4d80d1449ff77dc55cd1
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.11		4fe85e0f78eb76958628d1720c9858f8cfd36c64
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.12		e1e2d2695deea3d396bf3ed37306d7e3369b9a24
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.2		577387a066643fbb5f6d7a17e23214eb02090d23
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.3		2bc8887d36e06d91ec38ef6831b08b3ddc016d7b
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.4		398f60fb9479e8c032d212c0f4d3d5f4f028cbcd
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.5		5732c4883de1417ed06593be5754c5affbec990a
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.6		6ce9fd2bc4195ca0486252aa7810db629760bdc9
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.7		0d1e7d6d811f9a8c3d069829b2e68cccaa9c4262
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.8		d49da1cc99e85623e16bff091a902097a33a84cd
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.4.9		0cd35e339f0f01b0d2d5ed0d46e4d1393afba861
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.0		20946806b64b6e3c90822e9a628281fa96b14dab
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.1		6574bb976121c87e6f7e8c5b4a8e4e7c456c3939
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.10		fb337850a131012d768e4f78e387eb360797a7f6
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.11		1c34d2ef3007de771e1082c64abfb92779bba6b7
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.12		95a07763452bc7f029b41c7476a0087b0587c11c
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.13		7cd3b448b610efe6fdbe31a566daf4ad56026277
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.14		2993fa7b689531b297ce84ee181a1ee81f815ae3
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.15		895a24e3420498c53ebe5dcf1c95501d8c790150
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.16		80dd138cc5d599435bf6e908d43849dba39c115e
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.17		af6ea6cb220094ed180f0999ccf30efd08a1a7d5
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.18		72e5a72f841e0684669136c501df40d742b6e8d3
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.2		73f1fbb2f5b5063c06f9d747698038aa2277566a
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.3		daa0044fdd9ab39e215386cdba8fc4159834f8b3
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.4		e0e742ccd9f8426937d178a5e580061ab8d520f4
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.5		8c98205b959f0e29bc6dba652d5e20c0d8261972
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.6		5070d537648fae908d3c76c40f22fa6e5aaf2d4e
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.7		bac5f168e8f1f4bc5fbd807f0db369cbed4d264c
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.8		2cce2750e1b48e46973202de19f8c63c1bfcf83f
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.5.9		049656d79e6391c7a609b4a525859e097a44d7ac
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.6.0		7eba979bd7eec952da8429715bbf85c79f036a43
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.6.1		0a9ff0697db38fd8dd116b760151f76b794224a8
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.6.2		98bb0023fc3335ec3a3fa27e81de6a6f8b155dd9
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.6.3		167748464cb75fd78854a6be43a0fdd561a658f7
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.6.4		45e17166f29d75c1c723253c1d21efd9693208ca
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.6.5		a04686760610e781bf8aeaac4c12a2dc534512cd
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.6.6		70c5e6bb4ceec6f9e517e74d9c8e571339deafd8
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.6.7		1401eec5ac70f56baa31f87b01d7cbe861a54cf2
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.6.8		8368f773f652913d16e3c977da0dbbbf4a01c7d0
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.7.0		c5bfce1ef0d30e01ba7825566270d59bddd62d34
com.gitee.zodiacstack	zodiac-datasource-spring-boot-starter	1.7.1		541ec6d5235f85a1f5b51851db7600a2ae073e21
com.github.dozermapper	dozer-osgi-tests-model	6.1.0		f07a8509611043db81075e56dcf7216fdcebd0f8
com.github.longhaoteng	service-sdk	0.0.1		8bf56c20df471c552fef6a2843bc06ff7d696ac8
com.github.nelo686	materiallib	1.0.0		N/A
