cn.org.awcp	awcp-unit	1.0-RELEASE		N/A
com.aallam.openai	openai-core-tvosx64	3.7.1		N/A
com.aallam.openai	openai-core-tvosx64	3.7.1	metadata	6bd7f3ae8cbf9ae4d3f41fa5c6a4b40ea756c27b
com.aallam.openai	openai-core-tvosx64	3.7.2		N/A
com.aallam.openai	openai-core-tvosx64	3.7.2	metadata	a930ff47073fd4f3d1d74df2eaa4299d95a2e379
com.aallam.openai	openai-core-tvosx64	3.8.0		N/A
com.aallam.openai	openai-core-tvosx64	3.8.0	metadata	15bc101d46df5941cc93e622c2837d0f2cdae05c
com.aallam.openai	openai-core-tvosx64	3.8.1		N/A
com.aallam.openai	openai-core-tvosx64	3.8.1	metadata	02ee452841c1dbf93bae6232cde2a3b0e8c15e93
com.aallam.openai	openai-core-tvosx64	3.8.2		N/A
com.aallam.openai	openai-core-tvosx64	3.8.2	metadata	b8d4d4da7a5bdc9df982a5514d6d1c6925bcbab9
com.aallam.openai	openai-core-tvosx64	4.0.0		N/A
com.aallam.openai	openai-core-tvosx64	4.0.0	metadata	c9d76452ce5aeddc9841db7d1c9e572df4688b03
com.aallam.openai	openai-core-tvosx64	4.0.0-beta01		N/A
com.aallam.openai	openai-core-tvosx64	4.0.0-beta01	metadata	57b98a33184100c5b3d10f001a7d1d052a3f11ec
com.aallam.openai	openai-core-tvosx64	4.0.1		N/A
com.aallam.openai	openai-core-tvosx64	4.0.1	metadata	af007ccb01652fbe4f1908198e220f1ee3739061
com.aliyun	aliyun-java-sdk-aps	1.0.0		e1630f1aeae40444196efda4c3d1857d976f984a
com.armanbilge	porcupine_native0.4_3	0.0.1		5636670d15b7a4c856521f09d39689f11c23f0fc
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.0-pre-alpha05		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.0-pre-alpha05	metadata	b13c73f3b0f7ec33ba45db5ae2cc033b58a5aac5
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.1-alpha01		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.1-alpha01	metadata	8b4d88f61ccaf8fbea5a099888bd25acd65e52e4
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.1-alpha02		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.1-alpha02	metadata	163b5ef45311a99c39e765db6289b8a75932655a
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.2-alpha01		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.2-alpha01	metadata	cc82c664fd4354862d81b9f40906fa31da2dc124
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha01		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha01	metadata	2f8aea37107f01d230dd691be723b85ed7361632
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha02		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha02	metadata	c4aa7aab936271caaee206a18409e2be17f9b9de
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha04		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha04	metadata	89736c4b491284d1fbd3f4c2bad93f91147bfaed
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha05		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha05	metadata	c0d406f27fa2a1b4c99dbab6dd710aaa19f27f04
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha06		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha06	metadata	dd19a1bbfed182477b888c7a0c8c86979828b765
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha07		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha07	metadata	c09e2dad6ec7abf6534e10a7b68787a152b44e80
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha08		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha08	metadata	790d21a5200bcd7a5939d44ab34c038601027161
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha09		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha09	metadata	77c0a017b7510f961371b96354effe9c120a726b
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha10		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha10	metadata	d645ba2072ddf7a9db5c1e8550411d58b4bde648
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha11		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha11	metadata	866dd81dacb0856e9378c5ea5ef190e46b7d490e
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha12		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha12	metadata	70c38dc008401db24195a20ff4a09f4b4ec04adf
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha13		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha13	metadata	b47081953e938211212fa79bcb566092426b5487
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha14		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha14	metadata	7ba19b7f0df827bfc77cca422b87cecac4715f33
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha15		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha15	metadata	b61a53b6441266c7f28d4a45ba51b798bae95575
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha16		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha16	metadata	c4e0a92649c2f982a6c6de6901a7dba01244f589
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha17		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha17	metadata	6a7bc9fa61c80dedfe73e2745f68ce85d66bccc1
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha18		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha18	metadata	c30259b6e96316dc81091cd0e5683e284782e38e
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha19		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-alpha19	metadata	ed2a6f8f1798dc6a7e8706095fc3abb6b7911cb4
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-kotlin19-alpha10		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-kotlin19-alpha10	metadata	e5a6fe2a23bd7024b6fdfebef017a7f605805238
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-kotlin19-alpha11		N/A
com.attafitamim.mtproto	client-sockets-ktor-iossimulatorarm64	3.0.3-kotlin19-alpha11	metadata	f1a8643c7425bc4cb6f81670dbc996fc9eb58869
com.barchart.http	barchart-http-handlers	1.0.6		c6f454889846167eb1e485f3e32dd26a5a385e73
com.barchart.http	barchart-http-handlers	1.0.7		32ce721fe017427a20b5f95d08f85b58f33081ed
com.barchart.http	barchart-http-handlers	1.1.1		793ba45016ed5430fd98b7a249b5eb55c505515b
com.barchart.http	barchart-http-handlers	1.1.2		e6df9b6fafafff3659b43fc7a1546ed36f797d9f
com.barchart.http	barchart-http-handlers	1.1.3		cd26d7cde03800e89426f967d7db81bad726857a
com.barchart.http	barchart-http-handlers	1.1.4		05c2e882f0dfc94c4e4339df9237ca42659f6a9c
com.barchart.http	barchart-http-handlers	1.1.5		f7e92ebf5f1e2539f43d21b54f7217f3f42c36a3
com.barchart.http	barchart-http-handlers	1.1.6		af463c3869f300d615914a1dbf1acec82e4a979d
com.egzosn	pay-spring-boot	0.0.1		206bf7d979f17ee206ec20a22501729876ff48be
com.egzosn	pay-spring-boot	0.0.2		bfd2085c8932640bcf4d1356b49e12f49a21f6a1
com.egzosn	pay-spring-boot	0.0.3		52fee1d8b64103f64a52a2668d011db6eeea744e
com.egzosn	pay-spring-boot	0.0.4		eb84375f1f55df24edb6527ddd2f379fe5061f93
com.egzosn	pay-spring-boot	1.0.1		a7e103e690acec2e6ca2fba11a1048e2da60da00
com.egzosn	pay-spring-boot	1.0.1-b		977ec3c1d8661c30b5d64609417f84ffed2ba762
com.egzosn	pay-spring-boot	1.0.1-b2		2e0d7b9c868b890184dacbf7f6c895a4250ad963
com.egzosn	pay-spring-boot	1.0.2		fac2be494dfbd2d55d8a905d89a1ad7c564988ba
com.egzosn	pay-spring-boot	1.0.2-b		63befc188f73f39167a77884838729a1ca0477ba
com.egzosn	pay-spring-boot	1.0.2-b1		46373e4be28121be51dad5be89f80646dab0a4ca
com.egzosn	pay-spring-boot	1.0.2-fix		112bb5d09b7cb7aa9fb060581fea1a828447fc38
com.egzosn	pay-spring-boot	1.0.3		f7142c5baba4686936fe808fc0db96949129fbf3
com.github.9215095360	spring-min	1.0.RELEASE		500b6cc66c7493323d4a92dd73f2b18c0d7c8dd9
com.github.9215095360	spring-min	1.1.RELEASE		e607ad45724d4a7d34dff3b76a4aca7969ab0722
com.github.9215095360	spring-min	1.2.RELEASE		dbbf4103513138a1bacdad3294d579b414a63811
com.github.9215095360	spring-min	1.3.RELEASE		43cc2709278102c5df83caaa1f9f67f596939cdc
com.github.9215095360	spring-min	2.0.RELEASE		5ec5d07f98153bf11b2d28942735eef89d5682fa
com.github.bld-commons	common-rest-connection	1.0.0		20b0cca2876739bfdbe1bb56f85d044ffeace46e
com.github.bld-commons	common-rest-connection	1.0.1		df8932d5c1d06f457411735a1865fe22faef556f
com.github.bld-commons	common-rest-connection	1.0.2		65de11b11f44e0d1a25041412a2db9a7a4ce7dd4
com.github.bld-commons	common-rest-connection	1.0.3		6da7648ebc06dd91451dc1597ac61d1b7201c21c
com.github.bld-commons	common-rest-connection	1.0.4		8657e18e1198eec1afa32e91b61ebc723cb5c966
com.github.bld-commons	common-rest-connection	1.1.0		2f2772e6949fa4a91afe1a6b39de79ee544ad3c1
com.github.bld-commons	common-rest-connection	2.0.0		3242cff90bb1d18a1e17331a8257ca8ef2e923ce
com.github.bld-commons	common-rest-connection	2.0.1		de63c57b704a6e33800975059acf69735eb5d3bb
com.github.bld-commons	common-rest-connection	2.0.2		95fb44a9470403249e3203c4b4095a32f658b709
com.github.bld-commons	common-rest-connection	2.0.3		34417b6b43e05e6c155b0c84017d656960da4145
com.github.bld-commons	common-rest-connection	2.0.4		6228a6413655cf3569bf016d6db708ab2c0e9f7c
com.github.bld-commons	common-rest-connection	2.0.5		b08aa2ca39de8d7783ec29c40528de2973495d7d
com.github.bld-commons	common-rest-connection	2.0.6		11a3984017b9f093a3ad221eeea3985461ef3b81
com.github.bld-commons	common-rest-connection	2.0.7		79b2124969c17de168ba51d5f4248d6ec1b58342
com.github.bld-commons	common-rest-connection	2.0.8		27c2b239c08596daacb15c1c5fb9e271a160d94e
com.github.bld-commons	common-rest-connection	2.0.9		60b7b8322d420693ce4447e9d755afea2153eddb
com.github.bomiyr.ekho	ekho-lib-android	0.2		N/A
com.github.cukespace	cukespace-jbas7	1.0.0.Beta1		dba300624a3b8469771d7489d438193d486afde2
com.github.cukespace	cukespace-jbas7	1.0.0.Beta2		3ddb02caab77bbaaaf25a6e472795b3bf003057b
com.github.realzimboguy	esoslog	3.0-RELEASE		e11c8a70242c2968af0a3eadff70b96087eeb137
com.github.realzimboguy	esoslog	3.0.1-RELEASE		e34346a1c8c5c776dff828573b90a800a960ddd2
com.heartlandpaymentsystems	secure-submit	v2.0.10		160c2bd8ad2295bb444c5f8a7a573cf11c86a42b
com.heartlandpaymentsystems	secure-submit	v2.0.11		55d6b6efdcd095dfe26f15666f535226f6ce7f63
com.heartlandpaymentsystems	secure-submit	v2.0.12		902c0a190a72765ab3cd2a4bbadbe8e3861c022f
com.heartlandpaymentsystems	secure-submit	v2.0.13		365f3702ab9014785ce7eb2d36714efccb6e2e0e
com.heartlandpaymentsystems	secure-submit	v2.0.2		b46256cad2ea8df12281162b2336278aa52e3917
com.heartlandpaymentsystems	secure-submit	v2.0.4		3609ed7ca700eb88f6043cf663de00bf764013da
com.heartlandpaymentsystems	secure-submit	v2.0.5		826bb16abb8f228d05fb62eb30f814c2d82fc971
com.heartlandpaymentsystems	secure-submit	v2.0.7		c1f14541712c8fc2cc58c492b29c5fcd6559a680
com.heartlandpaymentsystems	secure-submit	v2.1.2		d36cb91968e02e4782566478713715294d777159
com.heartlandpaymentsystems	secure-submit	v2.2.1		b79934711bce50599b6113f31e0e7ed9e8a1336c
com.heartlandpaymentsystems	secure-submit	v2.4.2		478c317ed506a3170418e63a87c918f0feabca22
com.heartlandpaymentsystems	secure-submit	v2.5.1		2330b0e69af2819085af6cd58963d43d2a7ed634
com.heartlandpaymentsystems	secure-submit	v2.5.2		2449cba3928a055280784f54ba7363bfe985c6e8
com.hltech	vaunt-validator	1.0.0		c056db51ce1aee721fac92345f53c8a96ff783e8
com.hltech	vaunt-validator	1.0.1		4d0cdb6efcd805fd084f657a4d918dc9220fd1b0
com.hltech	vaunt-validator	1.0.10		4747896330a9fa95339105ac2d36f58387c9faef
com.hltech	vaunt-validator	1.0.11		015913a9d01ea84b609d918b218e426103c9d7f7
com.hltech	vaunt-validator	1.0.12		82277551767367c6a532a389f07a15290103a919
com.hltech	vaunt-validator	1.0.13		60fbbaee046d4d9e5eafb419c4870d268279d488
com.hltech	vaunt-validator	1.0.14		54510c38017b42dbe276c0aec38ec73bfce5cbe5
com.hltech	vaunt-validator	1.0.15		6b9a888dead2f4060d81d260de3a82a374ae9648
com.hltech	vaunt-validator	1.0.16		77e28b7228f863dca9cae64fffeac9dea0f5b888
com.hltech	vaunt-validator	1.0.17		2dd71723ae3b3549e2408bf67c19279c327b9605
com.hltech	vaunt-validator	1.0.18		fd553b0803bdea20614eddfe20c1574839287969
com.hltech	vaunt-validator	1.0.19		895a1c55b8ecd8ddc12ae2ab65a1710ae978b132
com.hltech	vaunt-validator	1.0.2		a8a43fd56f500af0d75467cb8a074f515ab604fb
com.hltech	vaunt-validator	1.0.20		b5b1e992f2b6f5803e3c21c12d3044fd9401e5cf
com.hltech	vaunt-validator	1.0.21		15c71c8a1479c984fa27d66622747b9eff204d53
com.hltech	vaunt-validator	1.0.22		0d5a94946a267a4e544da179e941af1343f41435
com.hltech	vaunt-validator	1.0.23		f59b361564a5d35ba4833f69be23dbb4dd5ede70
com.hltech	vaunt-validator	1.0.24		5b45733116cba1bf2a562495479f20211beea366
com.hltech	vaunt-validator	1.0.25		646562da793706e7bed2fb223656cb15514e6cb5
com.hltech	vaunt-validator	1.0.26		0521ce6ebb491dbad9d060f08c2675b366cbc66d
com.hltech	vaunt-validator	1.0.27		cb69d8732e83a3bec419b1716104e363a6048ff8
com.hltech	vaunt-validator	1.0.28		30f705d731b8b7038877f5ac26d9a69bf3d09ea1
com.hltech	vaunt-validator	1.0.3		bb07adb4b37ab7d78d9682af300c0753cce596f4
com.hltech	vaunt-validator	1.0.4		1eefd3cab33a5500a946e3cd66fba554d5ae42a1
com.hltech	vaunt-validator	1.0.5		bb47e840661f0a0b8c3812535805b721c568969b
com.hltech	vaunt-validator	1.0.6		99b2d51773d549ddc9dc696e8a5185773d9bd1aa
com.hltech	vaunt-validator	1.0.7		c156cab0b16bfec0766035ebb7bb88b9727f5b8a
com.hltech	vaunt-validator	1.0.8		ffa946b6b2dd8be878e53ebf5f737858e94c5665
com.hltech	vaunt-validator	1.0.9		744bf8d35d35aa1a5b30ad2bd12cce44d57f35ef
com.huanli233.okhttp3-compat	mockwebserver3-junit5	5.0.0-p1		ce3247d35eddff343d1308447c7b30cbc1a9769f
com.huanli233.okhttp3-compat	mockwebserver3-junit5	5.0.0-p2		228684006e4c905c97485d52a9c082b1068e16fa
com.inkapplications.glassconsole	structures-androidnativex86	0.12.3		N/A
com.inkapplications.glassconsole	structures-androidnativex86	0.12.4		N/A
com.inkapplications.glassconsole	structures-androidnativex86	0.13.0		N/A
com.inkapplications.glassconsole	structures-androidnativex86	0.14.0		N/A
com.inkapplications.glassconsole	structures-androidnativex86	0.15.1		N/A
com.inkapplications.glassconsole	structures-androidnativex86	0.16.0		N/A
com.inkapplications.glassconsole	structures-androidnativex86	0.17.0		N/A
com.inkapplications.glassconsole	structures-androidnativex86	0.17.1		N/A
com.jramoyo.flowee	flowee-common	1.0		52705f493d6f31713a798e4b9b37d7f89440388f
com.liferay	com.liferay.data.engine.web	1.0.0		4fea49720a0d074b3bd2fe4b9c8fe000f0a502ad
com.liferay	com.liferay.data.engine.web	1.0.1		c90d95cb971260cfeab2b449eaff87e694169758
com.liferay	com.liferay.data.engine.web	1.0.10		e4a1d42e079f77858d071754798603fd34c40dfa
com.liferay	com.liferay.data.engine.web	1.0.11		cd89e7aee2fb797bcfde640222d657f8632611bf
com.liferay	com.liferay.data.engine.web	1.0.2		d416022c27c2e7e8c50b7f4016001d950179c72e
com.liferay	com.liferay.data.engine.web	1.0.3		c2c418d943a14057c64cb08327ae8be47e5cd64d
com.liferay	com.liferay.data.engine.web	1.0.4		1d7a32e6b28b5d11acba958c5ebba909f599a7a0
com.liferay	com.liferay.data.engine.web	1.0.5		85cecac28f5ab7fa75b9d8f049d4978535d4d647
com.liferay	com.liferay.data.engine.web	1.0.6		97847b79a8936b738f41fbbc0ae4f7bb7f252c12
com.liferay	com.liferay.data.engine.web	1.0.7		1bc00b5668714f794defb8c4e09a2ee323fc1518
com.liferay	com.liferay.data.engine.web	1.0.8		7e62bcd369354f753042ee6c15bc49ffc62ad086
com.liferay	com.liferay.data.engine.web	1.0.9		6b090027900d55a9a86de95b93f4085ccd1e8abf
com.liferay	com.liferay.data.engine.web	2.0.0		e11e98d5807c7f395c4a62e641833f9518827fc7
com.logunify	android_sdk	0.1.1		N/A
com.obigo.viscuit	viscuit-aro	0.0.1		N/A
com.obigo.viscuit	viscuit-aro	0.0.10		N/A
com.obigo.viscuit	viscuit-aro	0.0.11		N/A
com.obigo.viscuit	viscuit-aro	0.0.12		N/A
com.obigo.viscuit	viscuit-aro	0.0.13		N/A
com.obigo.viscuit	viscuit-aro	0.0.14		N/A
com.obigo.viscuit	viscuit-aro	0.0.2		N/A
com.obigo.viscuit	viscuit-aro	0.0.3		N/A
com.obigo.viscuit	viscuit-aro	0.0.4		N/A
com.obigo.viscuit	viscuit-aro	0.0.5		N/A
com.obigo.viscuit	viscuit-aro	0.0.6		N/A
com.obigo.viscuit	viscuit-aro	0.0.7		N/A
com.obigo.viscuit	viscuit-aro	0.0.8		N/A
com.obigo.viscuit	viscuit-aro	0.0.9		N/A
com.readdle.swift.java.codegen	annotations	0.8.2		10a5d4e42188fc8ca0466a4786dd4c9618e3c1d8
com.readdle.swift.java.codegen	annotations	0.8.3		5c4995171f6a2dee27ad6e12ef088f57a272d002
com.readdle.swift.java.codegen	annotations	0.9.0		635192e389e15e5951b20dec8afe9c114e5a8ce1
com.readdle.swift.java.codegen	annotations	0.9.1		490ee7ab567f62ee5bfaf1dc75d9c4480b17c9ec
com.readdle.swift.java.codegen	annotations	0.9.2		8673feaa8e534b80c59389734c365fd3b6acb6f9
com.readdle.swift.java.codegen	annotations	0.9.3		bc4d201db8a7433846b6e44cbc9097de8f2b5a7b
com.readdle.swift.java.codegen	annotations	0.9.4		4dd23a0bcf95c7664504d459f9d1bc0ff82ab324
com.readdle.swift.java.codegen	annotations	0.9.5		7c066d02e10c69b69207e361eda487ca1e5404c9
com.readdle.swift.java.codegen	annotations	0.9.6		586e745cd5394e583c513e3f37ddc81e9cfa9219
com.sksamuel.cohort	cohort-aws-sqs	1.5.0		a88074f7c78909e6a211b8b2799ebefed8091738
com.sksamuel.cohort	cohort-aws-sqs	1.6.0		6cf25d513af777baa7329aeccbd33ae79b3979df
com.sksamuel.cohort	cohort-aws-sqs	1.6.1		9077d0c80e1e7819201a0454d0d8cf34845e3d71
com.sksamuel.cohort	cohort-aws-sqs	1.6.2		6e50c8553d7ccc82800c065af2562e899235293c
com.sksamuel.cohort	cohort-aws-sqs	1.7.0		a38d9a7a7ccbce565894ce766ab7d925718c0043
com.sksamuel.cohort	cohort-aws-sqs	1.7.1		987a74878babe9a4fde541305b7745e755c755b6
com.sksamuel.cohort	cohort-aws-sqs	1.7.2		3f592cf3263caa3351728ec594991d325d710cc8
com.sksamuel.cohort	cohort-aws-sqs	1.7.3		2be992cbc7aa06c6e1fceee8a7e1a2d7c38ec7aa
com.sksamuel.cohort	cohort-aws-sqs	2.0.0		3b75d2e808ec873983d8f545418d53388f026c4a
com.sksamuel.cohort	cohort-aws-sqs	2.0.1		771c1faaff5c074cc85d3d4989c6d9983584c2ed
com.sksamuel.cohort	cohort-aws-sqs	2.0.2		627cf4eae5758093737e408bc941bd1faeddfea6
com.sksamuel.cohort	cohort-aws-sqs	2.1.0		029cd97cbc872a9b8cedd0e81ff57bcf10818078
com.sksamuel.cohort	cohort-aws-sqs	2.1.1		f76e92a48ae252a2ff2f52bfad8518fb30df28b7
com.sksamuel.cohort	cohort-aws-sqs	2.1.2		45736d7c21da83df10616186dd139aa315c7fa4f
com.sksamuel.cohort	cohort-aws-sqs	2.1.3		ccba3a35bbc94390f5fd08e74252a4a325a30977
com.sksamuel.cohort	cohort-aws-sqs	2.1.4		549edc9aaa2d64ba3bc2af012ff666b960d4d9fd
com.sksamuel.cohort	cohort-aws-sqs	2.2.0		9fbfc1531560603689853745a04fe2aa95e444df
com.sksamuel.cohort	cohort-aws-sqs	2.2.1		fc60c42a9b3b6f602b4b9b48900973768f643bab
com.sksamuel.cohort	cohort-aws-sqs	2.3.0		b607ed33e579047c9d86f86414e7eab17d6fbdae
com.sksamuel.cohort	cohort-aws-sqs	2.3.1		8dce08f543989709da2cf3c927398ae762d3ef92
com.sksamuel.cohort	cohort-aws-sqs	2.4.0		1f0ade39334dd5bf4036d61da5f5250a0263a13e
com.sksamuel.cohort	cohort-aws-sqs	2.4.1		e54ebf72053282925db4f9e43d5c81e33ac0b9e8
