be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	sparql-interactions-processor	2.12.0		N/A
com.alilitech	boot-plus-swagger	2.1.3		9ac95659ea2e178159de174713cab577f93ccb11
com.alilitech	boot-plus-swagger	2.1.4		b4d87db3b1a91faa6e8c0824bfc47b9c26e4f29f
com.bennyhuo.kotlin	deepcopy-gradle-plugin-kcp	1.7.10.0		d095fbab670c6ec7560f0b8556ee978798e997cb
com.bennyhuo.kotlin	deepcopy-gradle-plugin-kcp	1.8.20-1.0.1		5b809b3ef35efd3a458b8ca046e5ad6eed1c8b8a
com.bennyhuo.kotlin	deepcopy-gradle-plugin-kcp	1.8.20.0		ad93ee9dd201d9fe88b2674b3e89662ea1661b88
com.bennyhuo.kotlin	deepcopy-gradle-plugin-kcp	1.9.20-1.0.1		a82e1e397011fac719dedeb42c91463081ecc013
com.bpfaas	bps-config-server-spring-cloud-starter	0.0.1-RELEASE		5c4ecfb6258cac02cde2699ddefcf9af7420a9e5
com.bpfaas	bps-config-server-spring-cloud-starter	0.0.1.RELEASE		4e3a4016eb331fb62119c325b7ee3ab979c97bd1
com.bpfaas	bps-config-server-spring-cloud-starter	3.0.1.RELEASE		9278a34cc93aa3b1062845d94ee441d66d1eabb2
com.bpfaas	bps-config-server-spring-cloud-starter	3.0.2.RELEASE		28229c2cc7a9910dcde9e9c4507b6efef822362c
com.bpfaas	bps-config-server-spring-cloud-starter	3.0.3.RELEASE		3c16fc92ed1a6756f62213ee825e29f4c79cf6d0
com.bpfaas	bps-config-server-spring-cloud-starter	3.2.2		9fa4f01e299581a87b2f0f6b478d90da1ae042e2
com.cognitect.aws	dms	668.2.364.0		4f639fb8f22f99ae4bb31e650b09e1dc8a2b01f2
com.cognitect.aws	dms	697.2.391.0		e77ae5104ae8621a9d5fbeb107e0deebd9de92b5
com.cognitect.aws	dms	712.2.423.0		2df1a3357bba042a7fabb5cd21e0b6f7980cdd35
com.cognitect.aws	dms	736.2.494.0		435d6a766e9c04f1fc710fccad7fef266165b26c
com.cognitect.aws	dms	746.2.533.0		ca3d9008a9556d873d76f13aaa7509be61a16071
com.cognitect.aws	dms	757.2.536.0		3247218628a6440633b11ea05bd310dd05461f9b
com.cognitect.aws	dms	768.2.562.0		a3a0e3985235a16f599a8ee1db8510fcc8b83c60
com.cognitect.aws	dms	770.2.568.0		b505622ada824d9a248c59d00e4e58d9c04b858f
com.cognitect.aws	dms	794.2.636.0		d3c1fdd2ae4ae510eb02493928bd0e054be352bc
com.cognitect.aws	dms	796.2.664.0		5bb14aaac2e2f38e071983eacb2d447efb4f5d48
com.cognitect.aws	dms	801.2.706.0		06d795686667e4d16bee03c6657a15320bda8ad6
com.cognitect.aws	dms	807.2.729.0		37b51c99638f407dd1afdad7922179171d0afb28
com.cognitect.aws	dms	809.2.784.0		cafc2a18966e9386001a48f5a7ed5754030974f2
com.cognitect.aws	dms	809.2.797.0		978606db5905b02414536890e75ae7de1d1f7c09
com.cognitect.aws	dms	810.2.805.0		c3fb64f5816d22105f8989700cc1d467d2915188
com.cognitect.aws	dms	810.2.817.0		aaae5e7e8e6f843a9f0a0a5b15c799cffcbb7759
com.cognitect.aws	dms	811.2.889.0		dbb2236e4d4a0ae532b084a9585143746032ebd7
com.cognitect.aws	dms	811.2.958.0		2b4dfe059e19624acf5f8db2a6bfdf372f039991
com.cognitect.aws	dms	814.2.1053.0		b78ff3f299a8581bcbf4899c4bb380c5b3c6eb5c
com.cognitect.aws	dms	814.2.977.0		4d933714782622599d8ac3aa2cfff4205e6d03e9
com.cognitect.aws	dms	814.2.991.0		c23725ea0fd3b2beab0897d931043992a6ce5e14
com.cognitect.aws	dms	821.2.1107.0		f00e113e6d032e25fa33089716b76de26071e6f0
com.cognitect.aws	dms	822.2.1171.0		b1843b607179776777bd3ecc6e51f75924a275a1
com.cognitect.aws	dms	822.2.1181.0		2764e4792a9c65491138503e19f1405ec671cbf8
com.cognitect.aws	dms	822.2.1193.0		aca89984f02db595b130c51147c98d7007b1f492
com.cognitect.aws	dms	825.2.1262.0		f455a80110f560d732110c2366557c33d5221741
com.cognitect.aws	dms	845.2.1345.0		3ac1057d2a1f7995aeee3013c86b3742c652c23b
com.cognitect.aws	dms	847.2.1365.0		ba599c34f380ffc8220bad22315f800145102c79
com.cognitect.aws	dms	848.2.1413.0		5c903cf53f2dc4f10d6dabd41cae4d72f1ba1a44
com.cognitect.aws	dms	857.2.1574.0		3d7f7c0f1ca401b123384c0d7751b31c8676ac70
com.cognitect.aws	dms	869.2.1687.0		3483973a4de8dc7706992b7fe37293079129667a
com.cognitect.aws	dms	871.2.29.35		963441db29bb329fcf4b95eeff38159d4c7e44e2
com.cognitect.aws	dms	871.2.30.22		96aa810c47114f5e6075f431917b54fbe712031b
com.cognitect.aws	dms	871.2.31.23		7c7bab3a98a3a2cdf77df57c48f1ce1c53b81cef
com.cq1080	rest	0.0.6		6fdbd8c9dbb237dda94cf427e01a3847a9a39245
com.cq1080	rest	0.0.7		a6a859c1101d801e3a780246f3e62595a5498cc0
com.cq1080	rest	0.0.8		08dfd40876d43105a9eb3fa8cb4253d5b544dc25
com.cq1080	rest	0.0.8.1		14c32e1c70a1c945c846d397b10453dd66dbed87
com.cq1080	rest	0.0.9-ssgc		9ab6574ea034f96845d1ad5f9721cab9ae1b4f61
com.gboxsw.acpmod	registry	1.0.0		a38d246ad22e5cbc0e0615f7671296ea78c888a2
com.gitee.zodiacstack	zodiac-server-proxy	1.2.10		83cb27c133fcd81bcfab0e276526cedf5fe1295d
com.gitee.zodiacstack	zodiac-server-proxy	1.2.11		3812196f2ff8477ed0779995948e0fb08cd67715
com.gitee.zodiacstack	zodiac-server-proxy	1.2.2		9ace34377bb96c0fdda9f590c1a10ec12edf0e6f
com.gitee.zodiacstack	zodiac-server-proxy	1.2.3		a9ccdaa0969b84a58e8f4aea444e3f728e6e5bb5
com.gitee.zodiacstack	zodiac-server-proxy	1.2.4		0a99f2d340dcc306a41be458f06373d268b92f20
com.gitee.zodiacstack	zodiac-server-proxy	1.2.5		ef6ac1e46f1c2702a1ea7b6043bb378c1412eadb
com.gitee.zodiacstack	zodiac-server-proxy	1.2.6		1174afb454e9262dd1ccecf84904080619e6309b
com.gitee.zodiacstack	zodiac-server-proxy	1.2.7		691d0a09bfcfcaf57449720a6544e72c27ccbadb
com.gitee.zodiacstack	zodiac-server-proxy	1.2.8		a07d5038b6ceca906ff66fc062b6ec43355091b5
com.gitee.zodiacstack	zodiac-server-proxy	1.2.9		855ed4e98edf45463698dd01a735238dc0819b72
com.gitee.zodiacstack	zodiac-server-proxy	1.3.0		11db7e00a6f25c64f3bb872f16f25a6fa3fe5000
com.gitee.zodiacstack	zodiac-server-proxy	1.3.1		c8ae87067f31c4deb8c3710beec0fe7a02dcb0d4
com.gitee.zodiacstack	zodiac-server-proxy	1.3.10		8ea51793c84c28fab27c79799f636b22d9503338
com.gitee.zodiacstack	zodiac-server-proxy	1.3.11		4ec478a5e9a58343c7e6cde5934a0844138de786
com.gitee.zodiacstack	zodiac-server-proxy	1.3.12		770618884603174cedf02892070261c5011f2bf1
com.gitee.zodiacstack	zodiac-server-proxy	1.3.2		8f8b6dd0fbb8024b019200b8088a20a283998b80
com.gitee.zodiacstack	zodiac-server-proxy	1.3.3		c895cbffa638b1e820bc3cc8a3b8b46cec350ffc
com.gitee.zodiacstack	zodiac-server-proxy	1.3.4		41c24c5a5bc172010f1255d2a97ef865ed43eb2d
com.gitee.zodiacstack	zodiac-server-proxy	1.3.5		fb36f9bedf289c78057b5fddae7223a44d394c6f
com.gitee.zodiacstack	zodiac-server-proxy	1.3.7		0885c80ff39a4d090562dd44c97078061133212d
com.gitee.zodiacstack	zodiac-server-proxy	1.3.8		41e5e74332c63df20d2e6b18cd4c487db80cb6e8
com.gitee.zodiacstack	zodiac-server-proxy	1.3.9		300291580cf2939b021b82352bd68170ae899f65
com.gitee.zodiacstack	zodiac-server-proxy	1.4.0		5f662aa487e102ba32d053d7d861d9a299526ece
com.gitee.zodiacstack	zodiac-server-proxy	1.4.1		61e595e30e9b5774852f9b612805cd6869d5b0f7
com.gitee.zodiacstack	zodiac-server-proxy	1.4.10		5abfc50d9aa332bf99636f2b345ba6091e9ddc0e
com.gitee.zodiacstack	zodiac-server-proxy	1.4.11		5d744a0bfc5622a46a2d4a76d19be1eff7ac60c8
com.gitee.zodiacstack	zodiac-server-proxy	1.4.12		9edca2a7cfab9ea8859ac500aa0cc117bd949133
com.gitee.zodiacstack	zodiac-server-proxy	1.4.2		c2379db4c813d0d5a682e63283ce9eaf985272e5
com.gitee.zodiacstack	zodiac-server-proxy	1.4.3		da2382cf016d84dfd0f95eb7c7f8bb1511e37c0f
com.gitee.zodiacstack	zodiac-server-proxy	1.4.4		7202246624f46906a265315655b42c19745c7793
com.gitee.zodiacstack	zodiac-server-proxy	1.4.5		51f1a4725bb4bacf549dd1955b65456853778311
com.gitee.zodiacstack	zodiac-server-proxy	1.4.6		8d0bc0faa2364db6eb4572d0d346f96e498482f7
com.gitee.zodiacstack	zodiac-server-proxy	1.4.7		ba0845b63f476778e73d7c2a8e416bae9ca131d4
com.gitee.zodiacstack	zodiac-server-proxy	1.4.8		eb45ae728a43861298d695bc292f609243befde5
com.gitee.zodiacstack	zodiac-server-proxy	1.4.9		9241e40613fe462fcaff20bd441b9e51b5e3baf0
com.gitee.zodiacstack	zodiac-server-proxy	1.5.0		2040e1d18780353cee32c253e11cdee8245fea5c
com.gitee.zodiacstack	zodiac-server-proxy	1.5.1		2d89dc951422a6b8fde25cd5cfb3452ade463951
com.gitee.zodiacstack	zodiac-server-proxy	1.5.10		e3bb663259253df18184158e2249ebdab53a76f2
com.gitee.zodiacstack	zodiac-server-proxy	1.5.11		55bf705d9a548c5014b6a6c5bec666e2ce58e36b
com.gitee.zodiacstack	zodiac-server-proxy	1.5.12		c6d585551a82150c72e456158d2c9437a55a7cb0
com.gitee.zodiacstack	zodiac-server-proxy	1.5.13		bdbf9bbeda9594c3dc23eee8514453920e629256
com.gitee.zodiacstack	zodiac-server-proxy	1.5.14		0209185e95718a4a2e2bf3187fdade1a0eaccd01
com.gitee.zodiacstack	zodiac-server-proxy	1.5.15		fe26b398ff2a67c7459f29e737b96645430335a0
com.gitee.zodiacstack	zodiac-server-proxy	1.5.16		f0c6bc0906e976c27e10ce532b51786e8581ade4
com.gitee.zodiacstack	zodiac-server-proxy	1.5.17		062793854e6a83e04b50f7b2e7bca6dcb988ae80
com.gitee.zodiacstack	zodiac-server-proxy	1.5.18		bf1573f5f25b72e63b016b92e7b9f848f2eed356
com.gitee.zodiacstack	zodiac-server-proxy	1.5.2		b22db2e0dda30fbd6be9c2672230a8c245e4adbf
com.gitee.zodiacstack	zodiac-server-proxy	1.5.3		21509378fdc11b66d721f85a78f8c6614e61be06
com.gitee.zodiacstack	zodiac-server-proxy	1.5.4		a777d93e8f901be195c7f4484ee5da5394154118
com.gitee.zodiacstack	zodiac-server-proxy	1.5.5		b385d1b2e28bae50fe099f8406026e04500a0bae
com.gitee.zodiacstack	zodiac-server-proxy	1.5.6		275c33253fb527659d38256444b868d4e6dacbce
com.gitee.zodiacstack	zodiac-server-proxy	1.5.7		56748c9532085a16ff8b7317b766e17eae942505
com.gitee.zodiacstack	zodiac-server-proxy	1.5.8		d00ad9634111ceb1579b810a77fc069096ab5848
com.gitee.zodiacstack	zodiac-server-proxy	1.5.9		406278c85f9a3e685f049da7f3f3bbe4a5c680a0
com.gitee.zodiacstack	zodiac-server-proxy	1.6.0		96477568443aad70f273d818202df81079343465
com.gitee.zodiacstack	zodiac-server-proxy	1.6.1		75eece565f8fa7df1fc98869df23b4850168c7f6
com.gitee.zodiacstack	zodiac-server-proxy	1.6.2		f36c9cf77c00f0cf45cc12cdf0a6f9f289411b9b
com.gitee.zodiacstack	zodiac-server-proxy	1.6.3		bb38c8fd8a20fb3b47c52b280e356b6e910f46f1
com.gitee.zodiacstack	zodiac-server-proxy	1.6.4		0f2f4278e1aefda753a35453c2fddfe55cb10ce8
com.gitee.zodiacstack	zodiac-server-proxy	1.6.5		2b372f2a788da66a6111a1b13a9f19fa31baea45
com.gitee.zodiacstack	zodiac-server-proxy	1.6.6		b68a7915507b5791c52ed1f5485f231684767d8d
com.gitee.zodiacstack	zodiac-server-proxy	1.6.7		c8962bf3f6a14b8eac988e8c612132dbccfd6365
com.gitee.zodiacstack	zodiac-server-proxy	1.6.8		e59235405c50cc9c6a4cae75280d0b75713b986c
com.gitee.zodiacstack	zodiac-server-proxy	1.7.0		efb7d022ffadee6632d98c9db662caa72f8ae857
com.gitee.zodiacstack	zodiac-server-proxy	1.7.1		fc44f68ce203c42bfef26c81b0e1535a5c4be967
com.github.atool	generator	1.0.0		3c222168eea47cc447379d58d518e1b722b1e136
com.github.atool	generator	1.0.1		1084e3b7650a3d86779b4795ec00c800e8002333
com.github.atool	generator	1.0.2		dd0b81597a5d7b7ffcb25f7b8086bed4b8867f91
com.github.atool	generator	1.0.3		d2c4b9a4db53a81e12d2cbef12c285e2c95034d2
com.github.atool	generator	1.0.4		bafc7d13c529437fa500ae49274421426da8a480
com.github.atool	generator	1.0.5		bf4f3072afcd50543ac96613e1e7ccad89057838
com.github.atool	generator	1.0.6		69154d4ffefc1c487cb6904d7238fa462803e222
com.github.atool	generator	1.0.7		6603ed9b788df75559aae7d6f0db48f7ae535bd6
com.github.atool	generator	1.0.8		7eb166d39a3859bea5011597cc03e4208091e27f
com.github.atool	generator	1.0.9		5c72364d60a89de4e5259505fec38f9a1b545f0b
com.github.atool	generator	1.1.0		7b70af426493ef449c19eb44a1c7978834895ea5
com.github.atool	generator	1.1.1		f877747307fde28bac22bdb17cda93c5a3901304
com.github.atool	generator	1.1.2		db0a1b7a8c9d2b0333b2733247f00c252d487264
com.github.atool	generator	1.1.3		4e4a4edb7a27e2ead67009583d15d8ccdd98a76e
com.github.atool	generator	1.1.4		011cf7f65657261b19f40a2a5a848d22653655e1
com.github.atool	generator	1.1.5		c5a0f6de6bb38574f6bff85af92fb6f92e4bcc40
com.github.atool	generator	1.2.0		8e911bd4402bea4c3495f77e938f420f6cf8cc76
com.github.atool	generator	1.2.1		a16c5391f1f677e42077475bfddbd1a15ed44a4a
com.github.atool	generator	1.2.2		N/A
com.github.atool	generator	1.2.3		194343212befd4ff2812bb52dae5acaf4eb73c29
com.github.atool	generator	1.2.4		fe9b97a7a17708af65487897dd77701410be59e5
com.github.atool	generator	1.2.5		2435e27d4e31e7427402607227c326e22ed24875
com.github.atool	generator	1.2.6		b0b9b123e785a3506ddbc4f009c178831fea7dd9
com.github.atool	generator	1.2.7		f0d6cf7fe2b2c52247e64ef03132bf339d989162
com.github.atool	generator	1.3.0		e80a8d1622496bbd562d083aca312487d11d5f68
com.github.atool	generator	1.3.1		8c6a622c94fabb5c496c28e63adb6addb9821d9c
com.github.atool	generator	1.3.10		9da1afb23d1872f57b6387100deefcc48d93f064
com.github.atool	generator	1.3.11		019f5965f793fc2fb500fb3885fa73deb2f600df
com.github.atool	generator	1.3.12		4981e1a07c349fbe6d1222b099c330ba620f0f8e
com.github.atool	generator	1.3.13		06990f523b969ac96a6cfd9de8816eeab451c525
com.github.atool	generator	1.3.14		674fb975d75cbf0320ed3df372c6b4c00f699e2d
com.github.atool	generator	1.3.15		53acc8cbffacf7020d1a951368fda05afe3cf41d
com.github.atool	generator	1.3.16		66aa24de384974b07b3f2b682bc9738d36e159d0
com.github.atool	generator	1.3.17		5c3cef7b9944b4d1f610d480ef6f5ae8abde02b3
com.github.atool	generator	1.3.2		72194a295e3f23f258fe8eaa4dce5d80a4f06f6e
com.github.atool	generator	1.3.3		1431f011e01eedaa2d91835ec1c70d98df10c230
com.github.atool	generator	1.3.4		8691861658881c325e2291ff1e6418bbb937e2ef
com.github.atool	generator	1.3.5		35c433379423cd1ac0823cb194e9f080732b5d3d
com.github.atool	generator	1.3.6		6ac60bd0e1bf7da51f69a36325742eb8ce5edd86
com.github.atool	generator	1.3.7		3c4b445e6351ae380a751924bd80732247e06602
com.github.atool	generator	1.3.8		2d974306d15d7b6e8086dddae95996b68e8de30a
com.github.atool	generator	1.3.9		946e45662e437fec7e4ef67117e1876a4b840b78
com.github.atool	generator	1.4.0		0f5590b755d2c2b41715dbac69c7fe824ade0734
com.github.atool	generator	1.4.1		9a1f1cb2f395ce2863938a2038ce671dec67d44b
com.github.born2snipe	flixel-gdx-gesture-plugin	0.6.0		a0a89ef41cddd99f171cccb713a845580cf0ec1a
com.github.born2snipe	flixel-gdx-gesture-plugin	0.6.6		d64854727b6140247db4c9b463ba9f8e40add894
com.github.born2snipe	flixel-gdx-gesture-plugin	0.7.0		5853bbccdb12689726f4d2f74dabd744ace9320e
com.github.born2snipe	flixel-gdx-gesture-plugin	0.7.1		c7e279e3e7d1a58db7aa5282d16acfd1e9010c56
com.github.fdietze	scalajs-react-custom-component_sjs0.6_2.11	0.1.0		baf25cc28ae43c47ad1375a9ed9ae459d5bc1db9
com.github.fdietze	scalajs-react-custom-component_sjs0.6_2.11	0.2.0		f7fba2478a9597884d99fc23018df4413d25d4cc
com.github.icebuf	icedimen	0.0.1		5b5e84ee3357d53c68a2fd686e2d7dba55ac06d5
com.github.kikuomax	spray-jwt_2.10	0.0.1		ae9655ba04e43c90847abe618a9dec2b17a41de4
com.github.kikuomax	spray-jwt_2.10	0.0.2		5ddab64c95822ed7af2a15ad1a07edad745c5ee7
com.github.kikuomax	spray-jwt_2.10	0.0.3		84cec192850598313a98e0541ffd2f85a97dbe87
com.github.kikuomax	spray-jwt_2.10	0.0.4		7069d49cddc59b72a7d13efd248746d176700aef
com.github.nanodeath	typedconfig-runtime-interfaces	0.1		ffabcec069fb3ad4eb92685867e30aa73b00791b
com.github.rholder	gradle-one-jar	1.0.0		d935cb53d8b4ef7781a97f598bfc141f9e6db8bc
com.github.rholder	gradle-one-jar	1.0.1		6621c9eac5e2bf6e3c6926a5e4ee817731e451c7
com.github.rholder	gradle-one-jar	1.0.2		f6b5a918f1afbecff414a54a1f6f4529e2886b35
com.github.rholder	gradle-one-jar	1.0.3		fadbb8c9692f0a3c80c14c40077b37625011ee05
com.github.rholder	gradle-one-jar	1.0.4		bd0ad307471d103ed129355213e0e1b9bcfee285
com.interactivebrokers.tws	tws-api	9.72.05		d25063fbcbc5673720a6b6ccc3e6c359e1cf99da
com.io7m.certusine	com.io7m.certusine.documentation	0.0.1		8ec5c4cfd874cd6a9d5563cac2c967a7554f7231
com.io7m.certusine	com.io7m.certusine.documentation	0.0.10		c3f0a7367e37b654fbdcf2d4d58741d6bf0e5cbf
com.io7m.certusine	com.io7m.certusine.documentation	0.0.2		08d72d4a7881ad2746d6894bf21a195be8df2da7
com.io7m.certusine	com.io7m.certusine.documentation	0.0.3		2555d1017cdee4579c3fba642384c4cf59761edb
com.io7m.certusine	com.io7m.certusine.documentation	0.0.4		5fef591f349ebb1d0a46051937a29135aae60c44
com.io7m.certusine	com.io7m.certusine.documentation	0.0.5		2a9264d3738a54bdcaf950571ef2e4d14cc46064
com.io7m.certusine	com.io7m.certusine.documentation	0.0.6		2393a1a2a09b23b28e20f37c77c5cd594fa02015
com.io7m.certusine	com.io7m.certusine.documentation	0.0.7		4cf3cca896474f203c52999ea0cfb95f08c0b1f0
com.io7m.certusine	com.io7m.certusine.documentation	0.0.8		2432722bf94e767d8c4b51c6634643e85bf2dca6
com.io7m.certusine	com.io7m.certusine.documentation	0.0.9		01da725a4e3f3ee070e6d6d13a539a7426552fd5
com.io7m.certusine	com.io7m.certusine.documentation	1.0.0		7d15e6853d271c7390fb2548e45aaf76fc8e57ef
com.io7m.certusine	com.io7m.certusine.documentation	1.1.0		9c09ffba38bce43a499a50ec1b66affab131d531
com.io7m.certusine	com.io7m.certusine.documentation	2.0.0		466fc1b1194672fcbb3c7c26036b83da8abe4edf
com.io7m.certusine	com.io7m.certusine.documentation	3.0.0		0f4d8981c9aa863b003c20984a250c5a41813f76
com.io7m.certusine	com.io7m.certusine.documentation	3.1.0		eb27b60ffc8c69ffecff48495622280456edb754
com.io7m.certusine	com.io7m.certusine.documentation	3.2.0		3d00fcf9889f2d42febf9eb8270b5cf289ac44e7
com.io7m.jproperties	io7m-jproperties-checkstyle	1.0.1		b6078cc58cdc457ec4cae965c67e583f957828cd
com.io7m.jproperties	io7m-jproperties-checkstyle	1.0.2		9f588aba68d89cf265234c3a1d1dff454ef242d2
com.julianpeeters	dc10-cats_3	0.1.0		e90c1ae4fe78aed7b08a13e959be2dfba8eef907
com.julianpeeters	dc10-cats_3	0.2.0		87abbafe27ffa86405e591670593b2046e005e91
com.julianpeeters	dc10-cats_3	0.3.0		02dac4f12f25bf10de05fc8540f2f414011c6542
com.liferay.cdi	cdi-portlet-bridge-shared	6.2.0.1		070bac1ee684bcb8bd605e5ec529e249077c254f
com.liferay.cdi	cdi-portlet-bridge-shared	6.2.0.2		79b867495434819cc3cc9b3c8fcb28ee158ddc3f
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.0		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.0-0f62f36		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.0-6ad1570		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.1		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.1-bdc40bf		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.1-e5705e1		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.2		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.2-0553e2e		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.3		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.3-56a118a		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.4		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.4-635f88d		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.5		N/A
com.martmists.ndarray-simd	ndarray-simd-androidnativearm64	1.5.5-14d1e4a		N/A
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.12.0		290b6d56ff8a57e158fe0514390939f0e2c57c90
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.13.0		2c0b3e1ffdc76366110b57c2b55e779d3b7cbc4a
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.13.1		b90c51c24d121e732f6a5f8e4ce909695ad1f02e
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.14.0		d8289d75fa54348c998122bd5ca379cf4e8f842a
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.14.1		3301979ac1e3061fe9b26e78c4496dc762540c0b
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.15.0		b13f2abfbaa6f590953ecbe1bc6010e3df42f6f1
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.16.0		4e97e053d80c136b65d22dd77128dce4d2890192
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.17.0		8ea5ec77b48c5831c16bc5ee39433bf2a79c593a
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.18.0		97f1ff2bacfb47ba439ed07bc4634e110e7af2af
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.19.0		19ef914e576f2f2ab05abf7bc48727d8ac2dfdb3
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.19.1		75d03724576ea3134500c523abfa9e2cf1f45084
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.20.0		3a909dd07ef3e57ebcff91da4bb5a27fd877010a
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.21.0		055b185f003adb5613a4a3ee460f71af70946080
com.oracle.oci.sdk	oci-java-sdk-identitydataplane	2.22.0		baadbb3dc39e9be491823a2fad5d6a1524b5ed82
