com.day.crx.sling	com.day.crx.sling.base	2.0.0-load9		23800559c520ce6769c54a03513b6f37d3d4ab78
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load9a		7ad1f6dbc1f142734217a24921a1fba720995fdd
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load9b		f30c2ba7b5187a23aae4f71539d56656383117e2
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load9c		536c876404d9348d53dd0b25f2b5c666ca1d5f71
com.day.crx.sling	com.day.crx.sling.base	2.0.0.10		43346e215a4856feb5b01460665ed2262e63c67d
com.day.crx.sling	com.day.crx.sling.base	2.0.0.11		c214fbdefead692a00180dae1c398e1008a424d2
com.day.crx.sling	com.day.crx.sling.base	2.0.0.12		0f7d39b5e6353cc97cd99b75de17b9d002279c4f
com.day.crx.sling	com.day.crx.sling.base	2.0.0.20100505		c91b8e3d1b1e7e7e0b94ac07dd51a344d1aa88a0
com.day.crx.sling	com.day.crx.sling.base	2.0.0.20100512		a7b1fd11a578397ecca3e21b87ae139945dc2527
com.day.crx.sling	com.day.crx.sling.base	2.0.0.5		5fcf7adebd29e7447272f35014075669b614c8e4
com.day.crx.sling	com.day.crx.sling.base	2.0.0.6		dc81ea5dc08f0da19b78becf05d6c21f69bfbc58
com.day.crx.sling	com.day.crx.sling.base	2.0.0.7		991ed1156ba3f1282d0103677b32b3a1a59f0a7d
com.day.crx.sling	com.day.crx.sling.base	2.0.0.8		2dd5e034bb8f68c885ba01dab21a0354ac16c165
com.day.crx.sling	com.day.crx.sling.base	2.0.0.9		d3619aa7a21532a3788bb91d8d3d07d83d7dce3c
com.day.crx.sling	com.day.crx.sling.base	2.1.0		a76741cc5d2616507c5fb7cfff34cb0cb7af6911
com.day.crx.sling	com.day.crx.sling.base	2.1.0-load1		8a2a1d13c907f367d583ff3ccc0f7928131e5017
