br.com.objectos	metainf-annotations	0.4.0		ff706e50d3e2f8c52c63cedf96b67b124e1ceee3
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-alpha03		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-alpha03	metadata	5af9770f56e006846b5f4b6afd0919ee8e3a023a
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-alpha04		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-alpha04	metadata	553c29cd337ef5b1c61d47b2ce90db7593fd9bf4
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-beta01		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-beta01	metadata	6e6002780f290cf7fb7dbc7871ad4a47a9ec06f4
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-beta02		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-beta02	metadata	110deaa52100e22645b496cbe66d2b742b773eff
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-beta03		N/A
cafe.adriel.voyager	voyager-kodein-macosarm64	1.1.0-beta03	metadata	bade58b5677625f2ce7f224e9b4814cc302ad864
cn.easyutil	easySql	1.2		8e707514438623e91e085b46424cb7014af9aa53
cn.psoho	fastposter-cloud-client-starter	1.1.0		486a6bf9cf1b393fa7a6e4a5a20b3109cc3def32
com.btmatthews.maven.plugins.inmemdb	inmemdb-maven-plugin	1.0.0		8440a51e5b48b7914494ee25b828de689619c247
com.btmatthews.maven.plugins.inmemdb	inmemdb-maven-plugin	1.1.0		cd822f5089def0d7990b871951ca324a7b5d0d2a
com.btmatthews.maven.plugins.inmemdb	inmemdb-maven-plugin	1.2.0		da88337c84f6d5e3bb40e6906c5b09621f30c388
com.btmatthews.maven.plugins.inmemdb	inmemdb-maven-plugin	1.3.0		e8dadbbe405a648e477acb8919d8ec3a220d6eb6
com.btmatthews.maven.plugins.inmemdb	inmemdb-maven-plugin	1.4.0		517f9d31906db1cd7606617a61c183ee3dcd516c
com.btmatthews.maven.plugins.inmemdb	inmemdb-maven-plugin	1.4.1		04634e98ca5395e82d684538f082aaab8f24ba84
com.btmatthews.maven.plugins.inmemdb	inmemdb-maven-plugin	1.4.2		2340ebf921998bda5fe58378c0d76acd5b93155c
com.btmatthews.maven.plugins.inmemdb	inmemdb-maven-plugin	1.4.3		fc1deda9f0aecadb0f13f61270143d9f76216f8f
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-adhoc.20240212.12749.0.v6b06ef19		1f8df661ee67dc2e0607ef700c0cfd49c866911c
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-adhoc.20240228.12829.0.ve76206ef		37f906d645c993f418475811bb001404b1156b8a
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-adhoc.20240320.12924.0.vf92d5e15		cfd527416ce8ea952cf66180f635bcbea0afa697
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-adhoc.20240327.12948.0.v630108aa		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240126.12648.0.va9dc2d63		34d2f1089705667e68ac57a20deb30ea24c59433
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240129.12655.0.v90d90ea7		c3cd63b26852d334567d5ae7510dbc7de5ff4eba
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240130.12664.0.va195d0f6		56a47d83638858ba727aef1a7ad84b7945adee5e
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240131.12677.0.v910a4a9e		8ffa88aff85726cb931d6440a318238d2a9baa1d
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240201.12683.0.v3b292d00		8ffa88aff85726cb931d6440a318238d2a9baa1d
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240202.12694.0.vd4b0dbc1		8ffa88aff85726cb931d6440a318238d2a9baa1d
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240206.12702.0.v3b408892		8ffa88aff85726cb931d6440a318238d2a9baa1d
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240207.12714.0.v2ff3f7c3		4504ce822dbc90570f3a7f29794cb8a95b9d468d
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240207.12729.0.vff5d3acf		06cae88063e2554cf77d0f37feea08f117f3beaf
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240208.12734.0.v02ffc1e2		1f8df661ee67dc2e0607ef700c0cfd49c866911c
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240209.12740.0.v499cb7f6		1f8df661ee67dc2e0607ef700c0cfd49c866911c
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240212.12752.0.v10502f89		1f8df661ee67dc2e0607ef700c0cfd49c866911c
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240213.12757.0.v1459f084		1f8df661ee67dc2e0607ef700c0cfd49c866911c
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240214.12763.0.v307b621e		d0b699078fd7adec844b4938836dc2c6fb9b3e2c
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240215.12772.0.v26fd657b		8c4709628595211b73980256672b619a21028705
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240216.12780.0.vd6ed98e0		8c4709628595211b73980256672b619a21028705
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240219.12787.0.v532ae367		f42ebfcb271e68a04e437b2ab2429ca4650c4f45
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240220.12792.0.vfaead3be		d22ca16531a9ff38e1491f1a54f47d9ddb36d1de
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240220.12797.0.v34858d2f		d22ca16531a9ff38e1491f1a54f47d9ddb36d1de
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240221.12802.0.vf8469599		d22ca16531a9ff38e1491f1a54f47d9ddb36d1de
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240222.12809.0.v6607acd0		d22ca16531a9ff38e1491f1a54f47d9ddb36d1de
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240223.12813.0.v0522650d		d22ca16531a9ff38e1491f1a54f47d9ddb36d1de
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240228.12829.0.v9fd32b7b		37f906d645c993f418475811bb001404b1156b8a
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240229.12833.0.v68dfd934		37f906d645c993f418475811bb001404b1156b8a
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240301.12835.0.v9c5fae54		469b5249cc148cb5fbbd05cf0edef8184545a555
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240301.12838.0.vfea93c8e		469b5249cc148cb5fbbd05cf0edef8184545a555
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240304.12844.0.v58f5c70d		469b5249cc148cb5fbbd05cf0edef8184545a555
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240306.12855.0.v7bee7ef3		708e9f86c3bf6552b9bc0c7610df39547d98df28
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240307.12859.0.v66d83e43		587dec51c94b2ecff8e7a64f2457a0516b3e8b8e
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240312.12878.0.v540a7460		587dec51c94b2ecff8e7a64f2457a0516b3e8b8e
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240312.12880.0.vde841b72		92d64ff1b2c8aa8c722e8f7ed2721826f2142cd6
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240313.12885.0.v16e70f61		92d64ff1b2c8aa8c722e8f7ed2721826f2142cd6
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240314.12895.0.v561dc0ab		4fe3da695c1a54045265a9f844e2d32a3d87fe52
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240315.12900.0.v06756ce5		4fe3da695c1a54045265a9f844e2d32a3d87fe52
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240315.12906.0.v21fe8e99		4fe3da695c1a54045265a9f844e2d32a3d87fe52
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240318.12913.0.v1c415c97		4fe3da695c1a54045265a9f844e2d32a3d87fe52
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240319.12919.0.v2e579bcd		cfd527416ce8ea952cf66180f635bcbea0afa697
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240320.12926.0.v99c6b363		cfd527416ce8ea952cf66180f635bcbea0afa697
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240321.12929.0.vd2a720c5		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240322.12931.0.vdb54939c		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240323.12942.0.vd0b5a13c		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240323.12943.0.v6a978927		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240324.12944.0.vacdb2970		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240327.12947.0.vdef6b798		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240704.12962.0.v9cbe4683		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.0.0-snapshot.20240708.12963.0.v85009764		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-adhoc.20240326.12957.0.vf78d905b		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-adhoc.20240411.13001.0.v640cac45		6926e95d136aee938b352d426012c291d03bc328
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-adhoc.20240527.13087.0.va0d93a12		7f9707ea4e061f667906d361cd1b413bbebbc144
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-adhoc.20240528.13090.0.v0ac55a50		7f9707ea4e061f667906d361cd1b413bbebbc144
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-adhoc.20240624.13151.0.vbad599d6		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240325.12947.0.ve09d7c3d		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240326.12958.0.v75b74819		2df2cdf35cc89a2195a263a7c384b931ded8b48f
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240327.12966.0.vf5f4c282		f96f6a994fed513f2b0a6b7d5e9cf44c6a7698ba
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240328.12971.0.v563cfb4f		f96f6a994fed513f2b0a6b7d5e9cf44c6a7698ba
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240329.12973.0.v3b51e1d5		f96f6a994fed513f2b0a6b7d5e9cf44c6a7698ba
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240402.12976.0.vaef62dc3		f96f6a994fed513f2b0a6b7d5e9cf44c6a7698ba
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240402.12980.0.vdee7adc6		f96f6a994fed513f2b0a6b7d5e9cf44c6a7698ba
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240403.12984.0.vcf2b387c		f96f6a994fed513f2b0a6b7d5e9cf44c6a7698ba
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240404.12987.0.v655af784		f96f6a994fed513f2b0a6b7d5e9cf44c6a7698ba
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240405.12988.0.vc3194058		f96f6a994fed513f2b0a6b7d5e9cf44c6a7698ba
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240408.12992.0.v0ec87985		c9eb00eadda9da155fdb820b4ce3dda5df418c67
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240409.12996.0.vbe4fc91c		8bffb6a596e0587a47e1ff088025b81ede5c5478
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240410.12999.0.vf813d79a		47190024e8b31cc552896807eb3b86621b38b476
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240411.13002.0.v5b63b006		6926e95d136aee938b352d426012c291d03bc328
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240412.13003.0.v91c1c12d		6926e95d136aee938b352d426012c291d03bc328
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240415.13004.0.v68817254		6926e95d136aee938b352d426012c291d03bc328
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240416.13009.0.v4f422ab2		6926e95d136aee938b352d426012c291d03bc328
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240417.13011.0.v2db3afc9		e0231f852c224cd81db6e35ee2f805b6dfc270cd
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240418.13018.0.v97a7e13f		14e277aa1e551ab138478873cae6c19eaa8059f6
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240419.13024.0.vaf57809e		823377b88864f222fe52bfc32eecf4e678f67ff2
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240423.13025.0.v612c9bdd		3e95697ff09d51bbbb196fca6a3d50d342be873d
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240424.13028.0.v077cb995		5bced2f032732b46fcf663eec70419c5059d3407
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240425.13030.0.vb3f37dee		5bced2f032732b46fcf663eec70419c5059d3407
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240426.13036.0.vf78d0168		c6eb3903d9e866c918180bc9c31abbc29cb2ec8f
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240427.13037.0.vce507d99		c6eb3903d9e866c918180bc9c31abbc29cb2ec8f
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240429.13039.0.vb3fa897d		e59e2f9fece9ab82b7eac0dd9f67f17d0dbc09d9
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240430.13043.0.vb4009e3c		bbd80a7b8e0b08d1d8b7a27f49d0d92e7d4a2f06
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240501.13045.0.vc82a4d81		bbd80a7b8e0b08d1d8b7a27f49d0d92e7d4a2f06
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240502.13050.0.v8638c25e		bbd80a7b8e0b08d1d8b7a27f49d0d92e7d4a2f06
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240503.13054.0.v122d263a		038dff8e20f6bd461f96ec17989a3671e4d389da
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240506.13055.0.v75ff49bb		038dff8e20f6bd461f96ec17989a3671e4d389da
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240506.13055.1.v75ff49bb		038dff8e20f6bd461f96ec17989a3671e4d389da
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240507.13056.0.vbd4f63ef		038dff8e20f6bd461f96ec17989a3671e4d389da
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240508.13058.0.v2e2bf73a		85f8ea1463022bce96b3015e570ff27f2eda296e
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240510.13060.0.v22c82b8b		85f8ea1463022bce96b3015e570ff27f2eda296e
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240513.13062.0.v9b1114e7		c4402dcd96dc076053c5a342463d0c4cf0ea2a6e
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240514.13067.0.v31453459		c4402dcd96dc076053c5a342463d0c4cf0ea2a6e
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240515.13071.0.v0b0f842d		c4402dcd96dc076053c5a342463d0c4cf0ea2a6e
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240516.13074.0.v3278c714		c4402dcd96dc076053c5a342463d0c4cf0ea2a6e
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240517.13076.0.v9472bf3c		7f9707ea4e061f667906d361cd1b413bbebbc144
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240521.13079.0.v39304f08		7f9707ea4e061f667906d361cd1b413bbebbc144
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240522.13083.0.vb06a9e83		7f9707ea4e061f667906d361cd1b413bbebbc144
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240523.13086.0.v894ac385		7f9707ea4e061f667906d361cd1b413bbebbc144
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240527.13089.0.vb44823df		7f9707ea4e061f667906d361cd1b413bbebbc144
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240528.13097.0.v5e7a5237		47c5327facddd0bd4617ebc92b38a4232f3ddb2e
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240529.13098.0.v78ccafad		47c5327facddd0bd4617ebc92b38a4232f3ddb2e
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240530.13105.0.v076ddc13		8e5d6092be7d929f90f2e92d37b1371e8a20e057
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240531.13108.0.v60488be0		4dd3cea74f8504648ef15dfd8c08b6b03cf7b7af
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240603.13111.0.v632d1141		4dd3cea74f8504648ef15dfd8c08b6b03cf7b7af
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240604.13114.0.v91c1c216		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240605.13117.0.v37969fdd		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240606.13118.0.vc6e5d615		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240607.13119.0.vebd948e3		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240610.13120.0.vce50fa26		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240610.13121.0.vcf927ae3		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240612.13123.0.vdcd1714d		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240613.13124.0.v24e0f5e8		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240617.13131.0.vccb03094		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240618.13133.0.vdcb8588a		a075b1ca7678b1b5da91d3160ab2d7cdc9f843eb
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240619.13137.0.ve2f44733		0ac7d072b04ccd83063c9df5c015dfb21c69126c
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240620.13140.0.v996a1164		0ac7d072b04ccd83063c9df5c015dfb21c69126c
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240621.13142.0.v275f3fa0		0ac7d072b04ccd83063c9df5c015dfb21c69126c
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240624.13145.0.v551f7a20		0ac7d072b04ccd83063c9df5c015dfb21c69126c
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240625.13151.0.v74f04330		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240627.13156.0.vc8bcbe70		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240701.13159.0.v6e9c240f		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240702.13160.0.v71542790		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240703.13161.0.v02abf338		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240704.13162.0.v178358b6		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240705.13166.0.v801ce9b3		9b21dfcf79b36c5ea5ba067be6fa7c3eaebb665a
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240708.13168.0.v7ed18470		9b21dfcf79b36c5ea5ba067be6fa7c3eaebb665a
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240709.13171.0.v28710903		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240710.13179.0.v069f1c06		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240711.13182.0.vd54971aa		58bc4c7cccc13d1b80342d1e31bd469bf8ce84a8
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240715.13184.0.ve289a005		ac9ac4f47c8ed4862828129ebb0bb2152c291a93
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240716.13186.0.v1e542000		ac9ac4f47c8ed4862828129ebb0bb2152c291a93
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240717.13187.0.va47ab77f		ac9ac4f47c8ed4862828129ebb0bb2152c291a93
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240718.13189.0.vddbb9c64		dff29ccc00cdadf70e1a7a31d33d5d482504cf13
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240719.13191.0.v97bd32cc		be015f249da44e8c075c056b6598eb1c99f475fc
com.daml	canton-community-ledger-ledger-common_2.13	3.1.0-snapshot.20240721.13192.0.vc0ac0d46		be015f249da44e8c075c056b6598eb1c99f475fc
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-adhoc.20240826.13247.0.v8d88a081		3fad8ae422840d4f64ce0bf8767b18cba7f53f33
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-adhoc.20241021.13367.0.vfac3fe4a		719003226477f1c00c58f19f0e893dac43c81798
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-adhoc.20241022.13368.0.vcd5fbc53		719003226477f1c00c58f19f0e893dac43c81798
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-adhoc.20241025.13371.0.v7e46ad7f		719003226477f1c00c58f19f0e893dac43c81798
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-adhoc.20241030.13394.0.v3e6a4a6c		c57b1f2179d00675b177f6d52739344a86432f11
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-snapshot.20240722.13195.0.vd24c87ab		be015f249da44e8c075c056b6598eb1c99f475fc
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-snapshot.20240723.13199.0.v2d43b886		0bde4c2d8f148e210b22cae63f6a361b80dc7ae2
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-snapshot.20240724.13201.0.v2357fdb4		0bde4c2d8f148e210b22cae63f6a361b80dc7ae2
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-snapshot.20240725.13204.0.vabe822d8		0bde4c2d8f148e210b22cae63f6a361b80dc7ae2
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-snapshot.20240729.13209.0.vb61832d8		0bde4c2d8f148e210b22cae63f6a361b80dc7ae2
com.daml	canton-community-ledger-ledger-common_2.13	3.2.0-snapshot.20240730.13210.0.v915c0670		0bde4c2d8f148e210b22cae63f6a361b80dc7ae2
