ai.djl.android	pytorch-native	0.30.0		N/A
au.net.zeus.jgdms	jgdms-iiop	3.1.0	jdk14	bdbb44d02963831d7d68c34cea53c6ab4271a64d
beer.devs	fastnbt_nms_v1_20_R3	1.4.0		f991d1d3d943a01eabf1c37dda9920ee5e9e3b9b
beer.devs	fastnbt_nms_v1_20_R3	1.4.1		f6e43a2c7227fe4eae1377c36da0b91aaf95bf4f
beer.devs	fastnbt_nms_v1_20_R3	1.4.2		dc86f17a93d54ebbcc55d8e601f75895269c634e
beer.devs	fastnbt_nms_v1_20_R3	1.4.3		f4a36559384d9b9916f59fc4c0672676e75ccf12
beer.devs	fastnbt_nms_v1_20_R3	1.4.5		9768aceb8f026a89047b9ac49023e59b8c8f3aff
beer.devs	fastnbt_nms_v1_20_R3	1.4.6		d92d95b7bd56cfa9f09297b5e7c4aeaeb6bc2138
beer.devs	fastnbt_nms_v1_20_R3	1.4.7		e29b1cb8bbe43f0f259ea78d5181c8e70252087a
co.early.fore	fore-net-apollo-test-fixtures-tvossimulatorarm64	2.0.0		N/A
co.early.fore	fore-net-apollo-test-fixtures-tvossimulatorarm64	2.0.0	metadata	635b8700a8b6b29056907c217c1ca961f3df65df
co.early.fore	fore-net-apollo-test-fixtures-tvossimulatorarm64	2.0.0-rc.2		N/A
co.early.fore	fore-net-apollo-test-fixtures-tvossimulatorarm64	2.0.0-rc.2	metadata	ade1854df53a8b6701e28f6ed2b11a6fdfa8b58b
co.early.fore	fore-net-apollo-test-fixtures-tvossimulatorarm64	2.0.0-rc.3		N/A
co.early.fore	fore-net-apollo-test-fixtures-tvossimulatorarm64	2.0.0-rc.3	metadata	2681ec72dceb000ceb7853f3c4ce58bee13ea6db
com.addc	addc-pdf	2.2		114bccecf0cd01b4c33de4b05d2548b43e676769
com.addc	addc-pdf	2.3		c028ee914c6dec5b48a70cc2d648b1c306dffb72
com.addc	addc-pdf	2.4		e420ce6953d9cef443d2c8587531d54d561c098c
com.addc	addc-pdf	2.5		502be0f7fd8a27ef891d4b6da44c4e4fd1ab3382
com.addc	addc-pdf	2.5.1		d7b60709551e6995ffb4b9f68ee5140b8327d83c
com.addc	addc-pdf	2.5.2		b4629b6a48a1eb7fe9f005404a615f67442e7c1c
com.addc	addc-pdf	2.6		7ed0c0337c49b080977de882ad10ccc6154d11a4
com.apollographql.cache	normalized-cache-incubating	0.0.1		6d7ac8aa9460fd0edf51948b0c2df687ea19a2ce
com.apollographql.cache	normalized-cache-incubating	0.0.2		68680d6c88dd51e5a648c9a05d64e6511e5e0f48
com.apollographql.cache	normalized-cache-incubating	0.0.3		e9421c42ff218ae0806515d9e4e25c26e3aeaeba
com.apollographql.cache	normalized-cache-incubating	0.0.4		9523785fdb7639aaa6d4be3d5a4276d1891c18e5
com.apollographql.cache	normalized-cache-incubating	0.0.5		9ca2da8547904c1d47e2c46e5fc64d0f3382ff0a
com.apollographql.cache	normalized-cache-incubating	0.0.6		13b15b4c85d8813f299ccdce4ffc2f42564e4359
com.apollographql.cache	normalized-cache-incubating	0.0.7		41bbbf97c84524173fa55fea8565d9d852be8a84
com.apollographql.cache	normalized-cache-incubating	0.0.8		d34f192107adcddbfc386e7b7ffeff52f586e337
com.artipie	nuget-adapter	0.1.2		b780f66269283e4beeac9bab7a27d5109124d7a9
com.artipie	nuget-adapter	0.2		3900f765dd0d674b4148bb701bbb58a2d623f960
com.artipie	nuget-adapter	0.3		878f1ab8aa37959c40521d8ee661d335a8f43b64
com.artipie	nuget-adapter	0.3.1		06cc7681698c5cc257ecb7107ff7c361433a6c01
com.artipie	nuget-adapter	0.3.2		cbce97115f8545a56fb299073717db5b596c5801
com.artipie	nuget-adapter	0.3.3		292626b2fa8e366bacc3384182c0772095499c62
com.artipie	nuget-adapter	0.4		560dde05ac2b626fce82bf47b5bcd8633c96fce8
com.artipie	nuget-adapter	0.5		d539aac76cf8f442919b4eeaee62d6b17d956d26
com.artipie	nuget-adapter	0.6		5fdcd67173d7f39f9219c57b0ebce529165a6bff
com.artipie	nuget-adapter	0.7		d6d3c72f5c223cbbd30b9c44d067afdf90df719c
com.artipie	nuget-adapter	0.7.1		3dc70e68883d5b6b285d794cd5f39b58d2e14f73
com.artipie	nuget-adapter	0.8		3905d7070c2fce816c39dd2dfec192361e3aa5b0
com.artipie	nuget-adapter	1.0		e16bdb4253d3e9c77723fbf83886f237769bd235
com.artipie	nuget-adapter	1.1		0e08b1432e9a42a20460f08ab151d4c68b41a5ac
com.artipie	nuget-adapter	1.2		cc0db27a38621a38387172cb4166d0111655a5d8
com.artipie	nuget-adapter	1.3		68aa3f8c2daa4e64fac9680efaa140f1700615b9
com.artipie	nuget-adapter	1.4		86222254169a241960dcfacc7c686d9676227049
com.artipie	nuget-adapter	1.4.1		7397f4a8c2cd2c9e97824e076d176eb1c1eea8f5
com.artipie	nuget-adapter	1.5.0		6408b6c026b30817cbd2b5bac393234ec62a58ee
com.artipie	nuget-adapter	1.5.1		cfbe8e9b29a9944844b425c4a82444d5fb9d5c81
com.artipie	nuget-adapter	1.5.2		f3ba804044615e332d8b3ef607b38fc1ec2cbaff
com.artipie	nuget-adapter	1.5.3		ef50eb106ddc9dcdde5f42a47262f16d64ceb7ac
com.artipie	nuget-adapter	1.5.4		bac628c504e323cb84f4dc22cdec44c2f556f399
com.artipie	nuget-adapter	1.5.5		af982e949e16c33a1a501fbb8600754a36205de5
com.artipie	nuget-adapter	v0.30.13		653d5668247dbc469fe783c0be32e062d5945c43
com.artipie	nuget-adapter	v0.30.14		673972f01bbbf41d4b91a8cbba1f4e37084b72f3
com.artipie	nuget-adapter	v0.30.15		3c04b2738a77838ab116ab30fb0c3d6cc16088d2
com.artipie	nuget-adapter	v1.17.10		2b30cd85128a31a877a06ddcd8c8c95354c508cb
com.artipie	nuget-adapter	v1.17.11		0d7e4c2672ed9d7e25310b0bec7c346213483c86
com.artipie	nuget-adapter	v1.17.12		1e8ab13559ec96de5c8495170caf8f3ae2a4344c
com.artipie	nuget-adapter	v1.17.13		5a1f1c0c91e256a4923fbabc599ff77b89974745
com.artipie	nuget-adapter	v1.17.14		076f8fa7d0e6b27fcfd61c589e0638d44b8df655
com.artipie	nuget-adapter	v1.17.15		34f692c1614e26d26805f2b57b24591c4c36d224
com.artipie	nuget-adapter	v1.17.16		a290a4372d67a9bbb9202fba721cb29da2bed3bb
com.artipie	nuget-adapter	v1.17.2		93168f5211f7fe9b0e563851b3c91241d477e8a4
com.artipie	nuget-adapter	v1.17.3		3f9545516328adc38d4c207c81a03c1ef6a11d5f
com.artipie	nuget-adapter	v1.17.4		6b660a34bf51bc01a23c73ba1c666c9009ad15b1
com.artipie	nuget-adapter	v1.17.6		cce2624aff33ca43b35c182da38425d953d77088
com.artipie	nuget-adapter	v1.17.7		ee608ebfd4fd82eb129e2bcbe0e2365bd7c59d01
com.artipie	nuget-adapter	v1.17.9		2458ed5a25416b7b4d3cb2c2eb8c1beffa4aee6d
com.artipie	nuget-adapter	v1.5.6		49e596cbcddf6fb5c0f1a0747ae2630a4c18749d
com.artipie	nuget-adapter	v1.5.7		9ae1a7ae568168df0aa5b847982ecba3ffd2e6a8
com.bidyut.tech.bhandar	bhandar-watchosarm64	0.1.0		N/A
com.bidyut.tech.bhandar	bhandar-watchosarm64	0.1.0	metadata	057bb72faa35473069eb5f45b5b33532a75896ce
com.bidyut.tech.bhandar	bhandar-watchosarm64	0.2.0		N/A
com.bidyut.tech.bhandar	bhandar-watchosarm64	0.2.0	metadata	89a2f16bb7c048353ab1b7cd5f98625e57a07686
com.free2move	geo-scala-circe_2.11	0.1.0		c28dafb6c9c0e7301f039953e889ca7198b896bc
com.free2move	geo-scala-circe_2.11	0.1.1		12e602399697aaeabe7039ea80b471bce6a817ea
com.free2move	geo-scala-circe_2.11	0.1.2		f27a70a08a188e8197e2df98a8b430916a8278b0
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.0.0		76ed920a613cf43ef3373f067e2070e80efb72c5
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.0.1		188cc8aa0f0b2c6a7db15046e317297ab174e688
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.0.2		aec9473a78c2bc4aaa96768bea9d6402b2d54e5f
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.0.4		cb2322d413d7185277df7ad644a10fb34d7bda1a
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.0.5		8b8b3abf9de141b315963256a5868fad681f9016
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.0.6		bad1758cf48260b8a99c747600be837377fcc700
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.0.7		3ee220d271cd415d85cab99d7c35fcf3280deda4
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.1.0		3c5c4c09f16b5c55cfc7bd3dc4c7de5935432e70
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.1.1		ec711e2f88c401e1df3a86cbc603f2408cd087cf
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.1.3		8301ec570d00de02f2509cc9202b58495e07ccbe
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.1.4		d391c60c9f5dd1552f6acb5d20265532573c8c05
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.1.5		4cbe54648fa7c89f3da93e7125f758b9b6bde281
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.1.6		504e9bb4ae91c699c866f7b02c81e19c1a02c0b5
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.1.7		d2763947e8f957189a74d1d7eb9519b15c81f802
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.1.8		dc8858ba4dffcac2fcd18d0650f48e146c7fde2f
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.2.0		3ed1cf8c88f7960c0512a9ea688181c4cd4af8b1
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.2.1		6b47de545a11f56281b552fed552635b27441f69
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.2.3		5017142491f07f759d877dbfe88911dfa8cdc2ba
com.github.j5ik2o	reactive-aws-kinesis-cats_2.12	1.2.6		2ad0fb2957b6e4a3dcce97acbb44535ce699ee0a
com.github.sadikovi	spark-netflow_2.11	1.0.0		0c6380ac1e561a37f30e52f20f3cc1944e0c0cb2
com.github.sadikovi	spark-netflow_2.11	1.1.0		8b3c1eb770d39d60e23dd408fe3a2f9e8496ab5f
com.github.sadikovi	spark-netflow_2.11	1.2.0		59e8d436c068e9e2e46f02bb5d2b4cfa8e832cab
com.github.sadikovi	spark-netflow_2.11	1.3.0		d1c4fa5f0e42d9da5e1b61e91aaeece3fefabdd3
com.github.sadikovi	spark-netflow_2.11	1.3.1		263784d2809a1f2b60a84b0558e822560d8b86b7
com.github.sadikovi	spark-netflow_2.11	2.0.0		3a84f137173ca50b5dc26ab2e8ef4bf3f4149602
com.github.sadikovi	spark-netflow_2.11	2.0.1		b4ef93f79ccc15a6251c0f53eac6ab62b5e5bed7
com.github.sadikovi	spark-netflow_2.11	2.0.2		dbca597e0fcee9a05af52cf5324fa57ba5a921c5
com.github.sadikovi	spark-netflow_2.11	2.0.3		eadeff51edd3b7b6aeb78180355dabe21d160332
com.github.sadikovi	spark-netflow_2.11	2.0.4		c9c497bd3bbb1acf52a158d5275bc05f3eb26528
com.github.smokestack	smokestack-jms-1.1	0.1		2f2923d93cb6f582ef43de4d05bb98147f2a48d2
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.0		90c048997d352966840b79e00f6d079e8d67b88f
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.1		f1c22e1427b8a713dbf3262a61091b982a28e03d
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.10		6400ef27afcad5a76b7f9b0bb5834b0564d3df7d
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.11		0c56db7ccd2d336c070d27624ab1816f7fc33bb9
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.12		4bc474d3ffbcda4f1ee377c01c2ae4265f6d4748
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.13		ed50a39c39294e94a1e25fff48184e904c02b1e6
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.14		07979ee60c7d4911b514f2ba9902739c482fdd2b
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.15		1c0b067a7bb64d60eba8dad2406730a59f89b44a
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.16		34b8e9d9690ce69893f4f723d46ce6b0a76f2d6a
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.17		f5c1d1e7985ed5c3d30915c1205614b4c5d06cea
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.18		6c96791ad9e9539e2e908a76c4449eeffb2aba41
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.19		df53ba96e58104d4534b79fa24c8abd800c2bf20
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.2		ed22292b0c137805e29ae8741fe1d49a09513311
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.20		807a8a166427f51f6066dc9c09c4c8a1873f4dea
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.21		bd72743d2b76e59e726f67c47fe655df98d15f3f
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.22		d262b335d90c37c3744c70ec30bfe62e13f1cfa3
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.23		f394e5a318e02cea33efa65cdc1faeefe6456b9c
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.24		cc06f581644596f0639d0759ba750a60afbcdf79
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.25		43b07ae90285c9ac244f1eb69a02031471ad7784
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.26		fda10ad064e74b8196f082a293bf61f02bc7f348
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.27		68631d7ff89275f68f4fa34b2f064119e875f1ef
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.28		6662099ef8c300cf8319b6dc8007ed7013626a3a
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.29		7f700d38bf9b7b00bd972533a8f5851dc1bbc6c2
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.3		3b229b107fe4a5076497b964e97db83bd8a346a4
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.30		eface93dc4a02b8734e3cf16e1577f7a34917d10
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.31		6eb907f5b4720a00f7570ae08616574c1ccb57e8
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.32		c6c0ff34380d9ebfbd98ebfc251eaaef94437436
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.33		f1ff5df0e6adf09bd9c3e1efb112ea53ba284657
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.34		269fc9314f7f7e2d1901d36ae3d0e1e186be555f
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.35		bbed0642e0b3b8be3056df0d6019356bdd0df60c
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.36		974069fc0660f83880d65c9d4fcdaeb9cfb6a683
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.37		d08e9a1ec9b54635b1166b7456651d16b1142e29
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.38		f19d5e3be6b0186ceb762123ad4784fd638cb2f3
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.4		78b9ef9d1780927822be14f83744d54ccd56f45d
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.5		2ab7f2ea9d0c0435b4e234ff45555e7ebdd5f0f6
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.6		4012618ae6cdf0b24a2a656694ce7a4e90f0ecec
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.7		9ebaa4d5b3a8529bb7bba80137fbbe39bc9a2cfd
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.8		8f09bc38316d811030e78fd158cd13f88299e140
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	1.0.9		bd1d70c6c5e6595acb0eeba038f68b530999d8c5
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.0		0c0d582d24759eb7e3f67bdd8fb596c8deb4e828
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.1		4386bf1f6340c46e5513308c718ef5a451967bc8
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.10		daac0d57d70a518dd661e02699a76770ffad7218
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.11		85c5c238b23c87ce62ff07d4e42807e8e5da91e7
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.12		eedc5c9e81ab409e6ecd6df5ce204098da00d555
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.13		f53db924b1d4e59d35971300d5d6d9301e19af14
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.14		44912a0dba90218c5d53a501a9fc1deca98da53f
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.15		c43ac99b1b2f6523573fecb9e93209eadb1e0fe1
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.16		915b1b2c6557e7d1ddc2affc1ca6faa76ee65f85
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.17		62fe8dc3a5c850f1ab23de29a88b1891a1308a59
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.18		404505170f8b62bfa33d83eecc10713f43b2bb9d
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.2		54bb1d06f2695160ed2eb891ebaef34390969f16
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.3		c315addaa72dd59ec5d4a0c94f83f0dffdae687f
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.4		b67c7492c620c895212395c57c511639af9cf9a7
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.5		8e0551919eb520808ce21532fcd5384c9d632065
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.6		e4e49da8bb2231c91621a72481b365064b2cb4dc
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.7		6ab975d06bb4af0531cfacbfc87962e681277bf8
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.8		bedd0151f50afb9a71a6584b314f9e6f0b541034
com.liferay	com.liferay.portal.workflow.kaleo.demo.data.creator.impl	2.0.9		fbe33af31b992bf7f4ddb22cffd780a96361f9d3
com.lmaye	lms-cloud-starter-email	1.0.3		d69cf8812cd58e1069b16104078ba6c5dd426a32
com.lmaye	lms-cloud-starter-email	1.0.4		9c6efda05ac1779f4f4da1c54cc09ff0d5836b19
com.lmaye	lms-cloud-starter-email	1.0.5		64e27919a29ec42097933bad5b08968591af44e4
com.lmaye	lms-cloud-starter-email	1.0.6		e66a1d6e99326f746c6450cc83a8a6a578c1dfb5
com.lmaye	lms-cloud-starter-email	1.0.7		da0db3b5022acea0e088c220313f84372ff38cbb
com.lmaye	lms-cloud-starter-email	1.0.8		43f3c7d33951800171938f0052c25d5f42c5adb6
com.lmaye	lms-cloud-starter-email	1.0.9		c66c6540fdad2fb3f62ef75d640005d65e8f766e
com.lmaye	lms-cloud-starter-email	1.1.0		90df8896b946223da16ebca98a3a79466f8e1f61
com.lmaye	lms-cloud-starter-email	1.1.1		3eec453a73c6fe6cb4d1c4afb985fd739445c632
com.lmaye	lms-cloud-starter-email	1.1.2		41084971b8a314c4828802e59f833a6069843850
com.lmaye	lms-cloud-starter-email	1.1.3		340235e7d1be83b1286323d586b6ac3ca344a9de
com.lmaye	lms-cloud-starter-email	1.1.4		9ea3997b9a67e23a8038f7be81753922d534092b
com.lmaye	lms-cloud-starter-email	1.1.5		e30b655e1c2f1d1a56ebcebdef98c8fdfddc8c48
com.lmaye	lms-cloud-starter-email	1.1.6		68d3fdccff72efc530ebec3cad5c3ccce17fc4d2
com.lmaye	lms-cloud-starter-email	1.1.7		50b38ba848020296d8a63ad509c28017efd51893
com.lmaye	lms-cloud-starter-email	1.1.8		b938c264c21a6064bcb06bbbc745eeddd9865314
com.lmaye	lms-cloud-starter-email	1.2.0		918c5c7b211da37ab75a65ba4d757b4dcdbc2a76
com.lmaye	lms-cloud-starter-email	1.2.1		52ab84767f0c075319d240ebaa39c88bdc634387
com.lmaye	lms-cloud-starter-email	1.2.10		b174cbd433a2fef20a319222dcad8eac126547c7
com.lmaye	lms-cloud-starter-email	1.2.11		2bc5856df5858edddb3c8588e7771f055fb41601
com.lmaye	lms-cloud-starter-email	1.2.12		7d65d237923efdf4f08201e0dca18b7fc8dddebe
com.lmaye	lms-cloud-starter-email	1.2.13		8b9b18d97c387e6f243fd27708e7b9506d58778e
com.lmaye	lms-cloud-starter-email	1.2.14		8dd64ece435325d31797d577b0cb05484fe9c387
com.lmaye	lms-cloud-starter-email	1.2.15		ad97e688a6b48205088f3d629b439fc330516b6a
com.lmaye	lms-cloud-starter-email	1.2.16		ecd55ec71dca880b58f39affb8e353286b06f3fc
com.lmaye	lms-cloud-starter-email	1.2.17		5ffbbe20496480ec4b1aa3a6f0e60ec3f23f653d
com.lmaye	lms-cloud-starter-email	1.2.18		42afec2aec5396c10739da3947220948bd07fcd2
com.lmaye	lms-cloud-starter-email	1.2.19		5998c35d7bdbbd2d0c53e7709c014710a45ca6f1
com.lmaye	lms-cloud-starter-email	1.2.20		32aaf0886ed3305f97c28570284ae701c6c4e72a
com.lmaye	lms-cloud-starter-email	1.2.21		62a1dac0494aa873faff90447aa942e608e36d33
com.lmaye	lms-cloud-starter-email	1.2.22		8a20a84fcdebc8c1e3368853bc21767d99fbf959
com.lmaye	lms-cloud-starter-email	1.2.23		a4c6005b5e3fcd94d3be6c750b7085cbc8feedab
com.lmaye	lms-cloud-starter-email	1.2.24		e078ba0bc47065c921ef87ff80bb9806f2adbafc
com.lmaye	lms-cloud-starter-email	1.2.25		e0bb41654c61c155c1734fe4c9c8953244c68e23
com.lmaye	lms-cloud-starter-email	1.2.26		8518cfea3a5f9cbc75b842867a37c3c601df219a
com.lmaye	lms-cloud-starter-email	1.2.28		9147121547f86f458611ecfd76d7b9055810d7eb
