data.org.springframework.data	spring-data-gemfire-test	0.0.2.RELEASE	-	70c96435c592486d96422a18371db3784ddbd8f4
data.org.springframework.data	spring-data-gemfire-test	0.0.3.RELEASE	-	2c6c33656efe0dc9ccfd38f82f16c8ba2bf28c79
data.org.springframework.data	spring-data-gemfire-test	0.0.4.RELEASE	-	52cb9ca53e9139da028477b87a17fc079ed417aa
data.org.springframework.data	spring-data-gemfire-test	0.0.5.RELEASE	-	9eae7274a8f8581b60a243a3f7d2063f315a1f7a
data.org.streampipes	streampipes-app-file-export	0.61.0	-	3d8a41d96dc1726ff09dcc02e7a1461f5088584c
data.org.streampipes	streampipes-app-file-export	0.62.0	-	1c44721af8391eb569c6ecde164c3d1f99560ec6
data.org.wildfly.openssl	wildfly-openssl-linux-x86_64	1.0.7.Final	-	96364be0ef04ed6b948a3ce569961df8edb3beb3
dev.lounres	kone.order	0.0.0-dev-1	-	fbd3351ff5be712e4dceb0066c6f543d81ae6008
dev.zio	zio-streams-compress-brotli4j_2.13	0.0.1	-	25d759e191b0cb0be24c6439dda439909398a9bf
dev.zio	zio-streams-compress-brotli4j_2.13	0.0.2	-	1757f43927360ac5c99ec55ac12fc94dde36943b
dev.zio	zio-streams-compress-brotli4j_2.13	1.0.0	-	e8d2b3726d822c53baef81e06890730ce39e347d
dev.zio	zio-streams-compress-brotli4j_2.13	1.1.0	-	5efff67132d4280a5aaacf1222cf4f0a5ab35cfb
eu.lundegaard.maven	find-deps-maven-plugin	0.1.0	-	6e1d95e7c2ab387347f1a80f9687240b959ba59c
eu.lundegaard.maven	find-deps-maven-plugin	0.2.0	-	837d6d0b2f8f0ba732959cdab44fe72556250e39
eu.lundegaard.maven	find-deps-maven-plugin	0.3.0	-	64079d3881390477dd2d72278cfd2fd0f5aadeee
eu.lundegaard.maven	find-deps-maven-plugin	0.4.0	-	f63b7c7534633835934fcedfd1d55e4cb799b885
eu.lundegaard.maven	find-deps-maven-plugin	0.5.0	-	ed5dd0b8080784b431bba65d76b8eda9da984c56
eu.lundegaard.maven	find-deps-maven-plugin	0.5.1	-	48b4a519aaf6d95abc2c871f0c67aec04f8ae33c
eu.lundegaard.maven	find-deps-maven-plugin	0.6.0	-	eaaa00fe3ce8e257426506a223d9d53f01be59ce
io.gitee.benming110	flood-tools-core	2.0.0	-	3781d0cffe2e103c83f4190425d8a3462a2eac8d
io.gitee.benming110	flood-tools-core	2.5.2	-	e73e8fc7dea18c73089fbdadbd85fdea7222d8db
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.102.4	-	a4b2ba949f2731586c32d67c3a8f0018d2e11e13
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.102.5	-	e7891ebd37f391a1945d298548738ea496ec4e98
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.102.6	-	9157823991c28611bdfa172342d7a8322af7ea32
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.103.1	-	065a92085e833267f7aa72b2c60a55b309414738
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.104.1	-	255aab260921633c7d685dd725df1ee278a82c09
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.104.2	-	617880999dbd23fa6a73ae6e112027901b9bd821
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.104.3	-	8b0c8052a4508c06f6de302198bc64d108508cc0
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.104.4	-	8f4d00bed8994940264332f3d0bdd3f798aa9d1c
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.104.5	-	3a179495c98c651df34f0f46f669c777e2038ec7
io.github.vigoo	zio-aws-resiliencehub_2.12	3.17.104.7	-	381315f6171749dad7d27cc2a8e7b6099706ce8b
