cc.zhaoac	faith-tool-common	1.1.0		a0bbc02e1610f6aa7a0fceb9f7b035a20d7734ba
com.agorapulse	micronaut-aws-sdk-lambda	3.3.3		542822217fd674c7700e94bb2b8c2b7927fd5dad
com.agorapulse	micronaut-aws-sdk-lambda	3.3.4		c83e3240cd7bbea1ef717c079feba9616a476cb8
com.agorapulse	micronaut-aws-sdk-lambda	3.3.4.1		99ed7a4c744859abe65c88314cc90ba910c56729
com.agorapulse	micronaut-aws-sdk-lambda	3.3.5		9f3072f30c06a2ea9fe594a57c32b9c20ce1d270
com.agorapulse	micronaut-aws-sdk-lambda	3.3.6		205bec647ad52dbaef33b00044b7648b9600c770
com.agorapulse	micronaut-aws-sdk-lambda	3.3.7		0f25f75709e44894fd0608abe925f9bfcea7cd70
com.agorapulse	micronaut-aws-sdk-lambda	3.3.8		430d863f9a1b867bf776f561aae1aacbec569b82
com.agorapulse	micronaut-aws-sdk-lambda	3.3.9		0c8cb3d6fc68ae4a18519896aec0ab879bc5fa5d
com.agorapulse	micronaut-aws-sdk-lambda	3.4.0		8e431e97d74f32543da38a3a3b6ae601bf199500
com.agorapulse	micronaut-aws-sdk-lambda	3.4.1		49969974895139c31e34276e56172cddfc823310
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha07		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha07	metadata	b137b5ee520dde8592b3df09359114e2451c3380
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha08		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha08	metadata	245c07e4ce5e33f1c64c82f0df27beb398b12ecc
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha09		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha09	metadata	39c1c0891dbc303438bf097d50192e6d03012c92
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha10		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha10	metadata	52a888cc9550bfc1b36f0e3ce9e45eef4c03040b
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha11		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha11	metadata	7e3bbc3796ec5a5b6de7420e03b734a2a5c03e5b
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha12		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha12	metadata	251b6a84f23f68b98f204d3cb307c9b5ab96177b
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha13		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha13	metadata	503adac4a9c202d43db6d82b279c42e037adfd97
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha14		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha14	metadata	b62dd491117a80e20f1b755e38a49d3a69813f49
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha15		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha15	metadata	c1bcde6d5be1d1c4b4254199339e45228c47268a
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha16		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha16	metadata	75177a667da52dad04c6d9540c01d35a151cb40f
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha17		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha17	metadata	7e737880de7b1d545b44ff12829e557947310264
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha18		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha18	metadata	a11fdd615ac31b250811464402fca0d09643d3bb
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha19		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-alpha19	metadata	ff847255e14c95270cc6d5277300111103f78c73
com.attafitamim.mtproto	internals-iosarm64	3.0.3-kotlin19-alpha10		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-kotlin19-alpha10	metadata	4827949e3eeef592a483564ef7ea066e9cfd7b17
com.attafitamim.mtproto	internals-iosarm64	3.0.3-kotlin19-alpha11		N/A
com.attafitamim.mtproto	internals-iosarm64	3.0.3-kotlin19-alpha11	metadata	48612f38897d1c88e63e6106ab617e1b129bd8a6
com.ccadllc.cedi	circuitbreaker_2.12	1.0.0		3298eb42fd216c2387bcf8e201b8b700a2667145
com.ccadllc.cedi	circuitbreaker_2.12	1.1.0		a9fd8e37a818ff74f9e0789a7764807de0bf5058
com.ccadllc.cedi	circuitbreaker_2.12	1.2.0		4fedbbc51643c9da9feb4d0a09caaa6ec659d80e
com.ccadllc.cedi	circuitbreaker_2.12	1.2.0-M10		1e08c6a7ef591123cda71ebda5716ddd265bf8ff
com.ccadllc.cedi	circuitbreaker_2.12	1.2.0-M2		68bd9763ca217f71df7152a46e8c93d93bf0a6c2
com.ccadllc.cedi	circuitbreaker_2.12	1.2.0-M3		82d45a7cf757be6b3e2afbe99ed602ab4dd689bc
com.ccadllc.cedi	circuitbreaker_2.12	1.2.0-M4		7b2b749195502d903c874aa9390181ee03da99e4
com.ccadllc.cedi	circuitbreaker_2.12	1.2.0-M6		efe97f0dd607d71235111c948842ea0afebbcee8
com.ccadllc.cedi	circuitbreaker_2.12	1.2.0-M8		55810fcef9261bc840704ba968c6097889b2bd86
com.ccadllc.cedi	circuitbreaker_2.12	1.2.0-RC2		41c67515a161dcb81128ea5bd43bc5a644760c5b
com.ccadllc.cedi	circuitbreaker_2.12	1.3.0-RC1		1f111fb186966e572bdaa7c95a49bca865efd89a
com.day.cq.dam	cq-dam-creativecloud	5.5.0		d0326fa47ef70d5c2bd784b9958f250e8527c136
com.day.cq.dam	cq-dam-creativecloud	5.6.6		b383a2664ab77f57f4857dba289d738824420901
com.day.cq.dam	cq-dam-creativecloud	5.6.8		32bc283af84b5f195e57b44d8493fe13d2644070
com.decathlon.vitamin.compose	modals	0.1.0		N/A
com.decathlon.vitamin.compose	modals	0.1.0-alpha05		N/A
com.decathlon.vitamin.compose	modals	0.1.0-beta01		N/A
com.decathlon.vitamin.compose	modals	0.1.0-beta02		N/A
com.decathlon.vitamin.compose	modals	0.2.0		N/A
com.decathlon.vitamin.compose	modals	0.2.0-alpha01		N/A
com.decathlon.vitamin.compose	modals	0.2.0-alpha02		N/A
com.decathlon.vitamin.compose	modals	0.3.0		N/A
com.decathlon.vitamin.compose	modals	0.3.0-beta01		N/A
com.decathlon.vitamin.compose	modals	0.3.0-beta02		N/A
com.decathlon.vitamin.compose	modals	0.3.0-beta03		N/A
com.decathlon.vitamin.compose	modals	0.3.0-beta04		N/A
com.decathlon.vitamin.compose	modals	0.3.1		N/A
com.decathlon.vitamin.compose	modals	0.3.2		N/A
com.decathlon.vitamin.compose	modals	0.4.0-beta01		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.37		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.37	metadata	987d44c04be5e0bfa9f0e13f463939f8b4db9c01
com.ditchoom	mqtt-base-models-macosarm64	1.0.38		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.38	metadata	366edd8b3961291b1968be186a45326ef588dce1
com.ditchoom	mqtt-base-models-macosarm64	1.0.39		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.39	metadata	8dc246ec69ea405488ce15820175210471539242
com.ditchoom	mqtt-base-models-macosarm64	1.0.40		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.40	metadata	fcd8cbdd031b22f015609e721490f3419d827c79
com.ditchoom	mqtt-base-models-macosarm64	1.0.41		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.41	metadata	6d549d1e814c8b8ca2407e004c43bcf4826fec11
com.ditchoom	mqtt-base-models-macosarm64	1.0.42		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.42	metadata	153d60567df6f45f080a816d3d884247e6c45b37
com.ditchoom	mqtt-base-models-macosarm64	1.0.43		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.43	metadata	2962be93dbd8ee83ec9fde2e266befe813a48585
com.ditchoom	mqtt-base-models-macosarm64	1.0.45		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.45	metadata	a6b5fbedf2bf117b6fe1d0fe9a88c97d94c133e2
com.ditchoom	mqtt-base-models-macosarm64	1.0.46		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.46	metadata	65c3defc2e6c460bab4aca11526f8d7363ae4d9c
com.ditchoom	mqtt-base-models-macosarm64	1.0.47		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.47	metadata	ff24e826a97fa42250d2ffc0dfb26c16ed8d5e89
com.ditchoom	mqtt-base-models-macosarm64	1.0.48		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.48	metadata	f0cdc3bf7ee9030390ebf0f14762d99f7f69a89b
com.ditchoom	mqtt-base-models-macosarm64	1.0.49		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.0.49	metadata	3310af18d8851c3f553fbfd8a657b3c5ed83b084
com.ditchoom	mqtt-base-models-macosarm64	1.1.2		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.1.2	metadata	fd394b8600dec3eb28e2d5c49537d26c1508cb37
com.ditchoom	mqtt-base-models-macosarm64	1.1.3		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.1.3	metadata	517ed45c6333e0b65b811f68a596ebe1856a8fd7
com.ditchoom	mqtt-base-models-macosarm64	1.1.4		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.1.4	metadata	8458a14a733c1b7b542778bf978c2fd685ca8ca2
com.ditchoom	mqtt-base-models-macosarm64	1.2.0		N/A
com.ditchoom	mqtt-base-models-macosarm64	1.2.0	metadata	96ffa47cd4ad6779c9e23e3775324be7960faee2
com.fastjrun.codeg	apiworld-api-message	1.1		29b8b7e0a713aaad5ffed9a9e99ce0e8fbf76bec
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	0.0.3		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	0.0.3	metadata	f8ba7657038d264a56c9f67325e53bc8bade9371
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.26.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.26.0	metadata	61072d3cce3af62ca112f20f4091ec49e70a312c
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.26.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.26.1	metadata	06549385bd5bf059bc15993629dcc395341b0da5
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.27.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.27.0	metadata	aab393c64b35187c28a3e2d98abae6395fae242c
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.27.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.27.1	metadata	3a2e50c33747f46ca507bbc0b5ec6d61394ebfd6
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.27.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.27.2	metadata	f85822b927311ea96071413b3c55e225b061f9ac
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.28.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.28.0	metadata	529533f878c831fb9c81e3372a0a9e727c767805
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.29.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.29.0	metadata	b8fd28dd77bab34d96cbd032114808625f827ad1
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.29.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.29.1	metadata	50e05bb0bfdb3f7f2fb3c9ddf64bafcc4c707f39
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.29.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.29.2	metadata	8a816556cc7aa45c42be3c7a73ef9f2664538f95
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.30.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.30.0	metadata	ee6cb8771aed30ffd51f935df68fb1da0f965fbf
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.30.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.30.1	metadata	fa8d8a08926329f07889d95734ef614ae9d0dda5
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.31.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.31.0	metadata	76fc4e62f0ae3f870c53a2a21535074245124e17
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.31.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-recipe-adaptation-implementation-iossimulatorarm64	1.31.1	metadata	f8f1d6daf26c1c273703dfc9f8bf77e5920dbcde
com.github.alexarchambault.tmp.ammonite	ammonite-cross-23-repl_2.13.5-bin-aab85b1	2.3.8-91-0bf267c2		126d1b9717c1343fa29ba3f2e750f93ef1370b4c
com.github.alexarchambault.tmp.ammonite	ammonite-cross-23-repl_2.13.5-bin-aab85b1	2.3.8-93-f3ac22ce		9ed158098a52068bc6aba01ef6bcb3f593f190f2
com.github.houbb	deep-copy-api	0.0.1		07bfc627f2a6010d70883de65b902c537cefd4bb
com.github.liuyehcf	compile-engine	1.0.0		95c73cf1486a8a0e16f60f0a05a56abf5496e42c
com.github.liuyehcf	compile-engine	1.0.1		1bbb97f5b81d9c87c669ad98fb77e593aacbf946
com.github.liuyehcf	compile-engine	1.0.2		940fafeff4b7b91218c2058a2f3eb3fd1299464a
com.github.liuyehcf	compile-engine	1.0.3		d8eeea8a81c28bf082cf7f604ae4dbd279cba249
com.github.mvv.sash	sash-zio_2.11	0.1-M1		fad93f27428bc35f4bd949d3f23783ab27da68b9
com.github.mvv.sash	sash-zio_2.11	0.1-M2		7bcf232b2b8837712e6e128d74de3489979c3886
com.github.mvv.sash	sash-zio_2.11	0.1-M3		77277e55d40fc9e0979553f8fe29bdd6262ae382
com.github.mvv.sash	sash-zio_2.11	0.1-M4		3ef1d6e4cc8f854c3d6171894a255b83ddfd938c
com.github.mvv.sash	sash-zio_2.11	0.1-M5		2f696c70f3046af7c34dbf5f17cae400e7f28eed
com.github.mvv.sash	sash-zio_2.11	0.1-M6		4cfe3968ba43c2bc3d158fcb7bb22cdb49340b5f
com.github.scopt	scopt_native0.4.0-M2_2.11	3.7.2		2a50a0b8d6e4df1081504b7d8e466cfefb2a4da4
com.github.scopt	scopt_native0.4.0-M2_2.11	4.0.0		a7298f9078135c16869185d1d254d99a66735025
com.github.scopt	scopt_native0.4.0-M2_2.11	4.0.0-RC2		63c9ab90b277011146913e0b4d5144783e13a191
com.google.sitebricks	sitebricks-jetty-archetype	0.8.5		e88f3f22b0e7112aebb3af744d2770f605e4312b
