ai.realengine	realengine	1.0.0	-	5cd1eb44be6f9451608d51a5ab74f75cc99fa70d
aws.sdk.kotlin	taxsettings-jvm	1.3.31	-	f6f3e25949cb98a68bd41ee2a768783bcf577534
aws.sdk.kotlin	taxsettings-jvm	1.3.32	-	69f1f8711acfc64e67e33273c980d4074758ed3e
aws.sdk.kotlin	taxsettings-jvm	1.3.33	-	9382e558a7c36c0dcca642382afc65ec880a8c4c
aws.sdk.kotlin	taxsettings-jvm	1.3.34	-	266e49fc2c593b19c88352b0e6b17309d0034b6f
aws.sdk.kotlin	taxsettings-jvm	1.3.35	-	098cc9e473c1777762dddd957f0e4109637ee7ee
aws.sdk.kotlin	taxsettings-jvm	1.3.36	-	df66674cd627f30474ceee44c4671ac1a4e8557f
aws.sdk.kotlin	taxsettings-jvm	1.3.37	-	d71de5c23d2a7b9e248540599e2694ef29ee4dcb
aws.sdk.kotlin	taxsettings-jvm	1.3.38	-	bb5da2771b8470f81809e3dbf5eb122a5bf15bfc
aws.sdk.kotlin	taxsettings-jvm	1.3.39	-	77967ac71c986cbcdb8945bc11fc5c33f9c31755
aws.sdk.kotlin	taxsettings-jvm	1.3.4	-	c4828e9d1906ff4f488a0d20fd9a0cec1b329972
aws.sdk.kotlin	taxsettings-jvm	1.3.40	-	ad7cca947555f2044c142ea56839e72f914b63cd
aws.sdk.kotlin	taxsettings-jvm	1.3.41	-	cbd01324e8a1780423fa508a6a76b06eb9226401
aws.sdk.kotlin	taxsettings-jvm	1.3.42	-	fb712f1c8fd168e9a6aa34d4fcf07de741619b22
aws.sdk.kotlin	taxsettings-jvm	1.3.43	-	3de39d562803b1bbfccaa7102b9c7afabd8ea713
aws.sdk.kotlin	taxsettings-jvm	1.3.44	-	39f532faf270af54e5b165a4da8864ef9daebbe7
aws.sdk.kotlin	taxsettings-jvm	1.3.45	-	e2df10c62240e543b8969b3f8548801e8c267eda
aws.sdk.kotlin	taxsettings-jvm	1.3.46	-	c41c894193821e2b4ba3925cc74f99483f35ec47
aws.sdk.kotlin	taxsettings-jvm	1.3.47	-	f574e6ab497d764f93b0a499f017b5a6e7aef09c
aws.sdk.kotlin	taxsettings-jvm	1.3.48	-	d4080fc38057c50386c891ca4924662cc8780fda
aws.sdk.kotlin	taxsettings-jvm	1.3.49	-	b4315bae1e2b3207000a488dd7b60baaca579f0d
aws.sdk.kotlin	taxsettings-jvm	1.3.5	-	b05b99c90799b521289f84d1d2f6e596d57e4747
aws.sdk.kotlin	taxsettings-jvm	1.3.50	-	67b27dc41c729779deec5cb7a14470d9419dd3e0
aws.sdk.kotlin	taxsettings-jvm	1.3.51	-	d7dcb7f2ee61fe395f48c918f77ebecb3a219f87
aws.sdk.kotlin	taxsettings-jvm	1.3.52	-	bd3b336fbf764963ee37dc2f3931f8e360eb0ebd
aws.sdk.kotlin	taxsettings-jvm	1.3.53	-	ec573731e4a421c07b53a2d57628e1dd6ae2d2c0
aws.sdk.kotlin	taxsettings-jvm	1.3.54	-	56e2e31b27d17c7512ca1f80b016df9822af9df4
aws.sdk.kotlin	taxsettings-jvm	1.3.55	-	cc1c82f6e74d0cf08d39d9f7ffd4ec5b6ed34bfa
aws.sdk.kotlin	taxsettings-jvm	1.3.56	-	3581c79fbdf61aead5b8fd43697e6c034bf20ea7
aws.sdk.kotlin	taxsettings-jvm	1.3.57	-	7c894560c02fcb516dd8e2fa59f95101bbe135e3
aws.sdk.kotlin	taxsettings-jvm	1.3.58	-	531939316b1cceb6067a296467fcc6bbaf416b12
aws.sdk.kotlin	taxsettings-jvm	1.3.59	-	1db6d3c8d062c532065265b43060f056f8ff9541
aws.sdk.kotlin	taxsettings-jvm	1.3.6	-	c8ab11c6c74b728a2da7b5dfcca65beef192d819
aws.sdk.kotlin	taxsettings-jvm	1.3.60	-	f738a3d9c40d239437d8cb71fa2a91012a5f65a4
aws.sdk.kotlin	taxsettings-jvm	1.3.61	-	b19c3340e7ed78f01f91a8a95fb1f70331b1cce9
aws.sdk.kotlin	taxsettings-jvm	1.3.62	-	de3fd8e19b5e857303a82aaaaf6694451d39b40e
aws.sdk.kotlin	taxsettings-jvm	1.3.63	-	de8edd86dad2199c02c4e365be68b061f370a3ed
aws.sdk.kotlin	taxsettings-jvm	1.3.64	-	042ae87974bd2d00be1aacbb3ae807ac3a5a52be
aws.sdk.kotlin	taxsettings-jvm	1.3.65	-	1ebe03d04c02eae22e140afd4b4739eef916080e
aws.sdk.kotlin	taxsettings-jvm	1.3.66	-	9de708b02843837d17619aa78e714958f6915259
aws.sdk.kotlin	taxsettings-jvm	1.3.67	-	4f91245e5f3b15afda9ede26b9f03cf90382c735
aws.sdk.kotlin	taxsettings-jvm	1.3.68	-	285786de29f65edce213be85d7c2e2f60462826a
aws.sdk.kotlin	taxsettings-jvm	1.3.69	-	f09f25a70d90a05d208ecd41457bf433dbbf5146
aws.sdk.kotlin	taxsettings-jvm	1.3.7	-	cad1f4b39435db4fad50dbfde20402836b7a8cf7
aws.sdk.kotlin	taxsettings-jvm	1.3.70	-	78c9cb196a3fd020e7810645e6238dea26974ac9
aws.sdk.kotlin	taxsettings-jvm	1.3.71	-	210f7b6b9c5b728d2c2e5b1b46b6cc55d58fcae6
aws.sdk.kotlin	taxsettings-jvm	1.3.72	-	387ab2b87ff97dbeb21dfd349ddf11a14f33acb6
aws.sdk.kotlin	taxsettings-jvm	1.3.73	-	fb86b7bc0288e24e5b15ea9de4b9ede5a9f68e55
aws.sdk.kotlin	taxsettings-jvm	1.3.74	-	aef78b8d36e6f2cb33250f46c932c9ce5759fe19
aws.sdk.kotlin	taxsettings-jvm	1.3.75	-	ab59f189d581908f023e5955e64319ae2951ffb6
aws.sdk.kotlin	taxsettings-jvm	1.3.76	-	51690afb724f50b2edab5181ecf6597621556a54
aws.sdk.kotlin	taxsettings-jvm	1.3.77	-	57a72d9c799dd3f1c19d44eda34f6350c7ef6e1c
aws.sdk.kotlin	taxsettings-jvm	1.3.78	-	9be03342311b0af27ed9c705ac9b1d0cf075bf0b
aws.sdk.kotlin	taxsettings-jvm	1.3.79	-	8763ab0801804929f61ffc5eb39d4278dc39b4ce
aws.sdk.kotlin	taxsettings-jvm	1.3.8	-	de21e5d59ecac055e2afaf166da312968b1803f6
aws.sdk.kotlin	taxsettings-jvm	1.3.80	-	0804bb9e8097c94faa56d174903eebde2cfb6e70
aws.sdk.kotlin	taxsettings-jvm	1.3.81	-	6b9676bf3fd3f9ff645f9ff98566b3f87c550e1c
aws.sdk.kotlin	taxsettings-jvm	1.3.82	-	ebc5e3a7a55a60118fbac2ded8b0d0195f238e45
aws.sdk.kotlin	taxsettings-jvm	1.3.83	-	690bd6cb3cd27bae89a997de977ece200af23655
aws.sdk.kotlin	taxsettings-jvm	1.3.84	-	111182ab4f89d3c8eff9cd67e629e2570ff480c8
aws.sdk.kotlin	taxsettings-jvm	1.3.85	-	92ef922b528e8a0912483daf80af7e82fe34ad63
aws.sdk.kotlin	taxsettings-jvm	1.3.86	-	7f4c0b80157b0d730b42cc9f7a97b2c3df69789a
aws.sdk.kotlin	taxsettings-jvm	1.3.87	-	279bb5f05a6d9b2b5f7c23b7862a19e4ce3d1d24
aws.sdk.kotlin	taxsettings-jvm	1.3.88	-	4b838f262926276672350632bcad4f5f996cdbaa
aws.sdk.kotlin	taxsettings-jvm	1.3.89	-	8d6fc36f147af1459aa4c57dba9ab8c26ddf6037
aws.sdk.kotlin	taxsettings-jvm	1.3.9	-	27edb0b1d5c21c3c6e3a3e3150d9bef5b595fab5
aws.sdk.kotlin	taxsettings-jvm	1.3.90	-	7fa63e4909cafb062b70a477e3cd472988365a98
aws.sdk.kotlin	taxsettings-jvm	1.3.91	-	3a8a7edb1cb6061d2ad00bad9700488fa251dae9
aws.sdk.kotlin	taxsettings-jvm	1.3.92	-	bc8c825cfd3395349148ad8e1836743d1ab61894
aws.sdk.kotlin	taxsettings-jvm	1.3.93	-	c3a9fabdc00c129d27e0c818a6124d2b16cf546a
aws.sdk.kotlin	taxsettings-jvm	1.3.94	-	626d2ad63d578f935aab6fc742708005e5430e01
aws.sdk.kotlin	taxsettings-jvm	1.3.95	-	44bcc6d46588279aa238edb7f7eabe7431d872bf
aws.sdk.kotlin	taxsettings-jvm	1.3.96	-	26bae6ab92cc0d2e2a2e6d1df2f491ed428c0b14
aws.sdk.kotlin	taxsettings-jvm	1.3.97	-	4fc8a8447466622f0ac9324916a775c3217c8820
aws.sdk.kotlin	taxsettings-jvm	1.3.98	-	b933e37e4d232f676282d8577cc5457a6ae5b4c5
aws.sdk.kotlin	taxsettings-jvm	1.3.99	-	8f8ba5d7678c174f4cf77cf3a1e225428a82768d
aws.sdk.kotlin	taxsettings-jvm	1.4.0	-	f8edfa08841db9c521366b5973396c56a8a1ab18
aws.sdk.kotlin	taxsettings-jvm	1.4.1	-	5c21816ab467f9758b8c59a65c27eb4c843536c2
aws.sdk.kotlin	taxsettings-jvm	1.4.10	-	31298ab41c2cb5dd86af84c8c190b34841247dff
aws.sdk.kotlin	taxsettings-jvm	1.4.11	-	a9e8f8f4e041f1a3b08768ddc5c846f8aba3fa8c
aws.sdk.kotlin	taxsettings-jvm	1.4.12	-	f7901050fc4249e8f3f2153dbff1fcee960e743b
aws.sdk.kotlin	taxsettings-jvm	1.4.13	-	9e71f93f67fd01a9b488aa96508abb3fbff8cd6a
aws.sdk.kotlin	taxsettings-jvm	1.4.14	-	29780413855589654d4d7c7c46be890465716140
aws.sdk.kotlin	taxsettings-jvm	1.4.15	-	28f04bb1389c0056d6967294ad28d1aae730d494
aws.sdk.kotlin	taxsettings-jvm	1.4.16	-	e623db5e5718dbbe64a645e9f47b2e5ef8b019fd
aws.sdk.kotlin	taxsettings-jvm	1.4.17	-	e70964aab7cb6a92682c05ef5a8cd6b3d22f0457
aws.sdk.kotlin	taxsettings-jvm	1.4.18	-	86876aa92b8c7b3cdf07f756e4a353801bd0bf20
aws.sdk.kotlin	taxsettings-jvm	1.4.19	-	48b8cdf5e658b61611ae47eb010e1199b943e96b
aws.sdk.kotlin	taxsettings-jvm	1.4.2	-	d45340903bed2a403a34183e4fcf445340c4319c
aws.sdk.kotlin	taxsettings-jvm	1.4.20	-	c7f971e2ee364344e3b9b57812a03b38feb454b3
aws.sdk.kotlin	taxsettings-jvm	1.4.21	-	a6bdd1e12a82070cc8e1ba7de46ddc0123b2b8f3
aws.sdk.kotlin	taxsettings-jvm	1.4.22	-	7609e764107014df84d5bbd3941fe94bfd8607a6
aws.sdk.kotlin	taxsettings-jvm	1.4.23	-	3d68b7b84fe2e1f3b5bd670f8fdc415784ea1f24
aws.sdk.kotlin	taxsettings-jvm	1.4.24	-	a6fcbc14e3f9e20a84e177ae00fed0b2b57fe78c
aws.sdk.kotlin	taxsettings-jvm	1.4.25	-	f759592f61fe735d05f7d53d471af151796f07df
aws.sdk.kotlin	taxsettings-jvm	1.4.26	-	138a4745e7763b47bf6d12cb02c52daf185149ba
aws.sdk.kotlin	taxsettings-jvm	1.4.27	-	57bcf3ce3f960e067af2126f99f2d385d0cb664d
aws.sdk.kotlin	taxsettings-jvm	1.4.28	-	05db8f6f94524a1a0af7fc4f33b5e9efd47d3e7b
aws.sdk.kotlin	taxsettings-jvm	1.4.29	-	59fc1286d9ea143647720a76bf9f700aff93eb4f
aws.sdk.kotlin	taxsettings-jvm	1.4.3	-	6742008cf7bae9e4f51864ca5ab555d237c6b1d8
aws.sdk.kotlin	taxsettings-jvm	1.4.30	-	3650279f65538b9b8c6df53556faacacd1a276f6
aws.sdk.kotlin	taxsettings-jvm	1.4.31	-	9cf914c94b383411728aa08d43d82820a8b443fc
aws.sdk.kotlin	taxsettings-jvm	1.4.32	-	0090ff867d199893f0ce037177795f3cdca4454d
aws.sdk.kotlin	taxsettings-jvm	1.4.33	-	2d5d51ccafe04d6db87f1ad29cf8925a8242c171
aws.sdk.kotlin	taxsettings-jvm	1.4.34	-	563fe340c7e422d1659184a0aab60cfb0c313334
aws.sdk.kotlin	taxsettings-jvm	1.4.35	-	5bdf244a9475eca0987e243f4752cc83a72030a1
aws.sdk.kotlin	taxsettings-jvm	1.4.36	-	05df19ec37305960c5f3b7bfb377da5b8d416fb7
aws.sdk.kotlin	taxsettings-jvm	1.4.37	-	5ac5ca0f7a3f0a2bd31990f7fa7e1ab8ed0043ac
aws.sdk.kotlin	taxsettings-jvm	1.4.38	-	7a1a810dc7a26f2b657ad38b8db28418a39169b2
aws.sdk.kotlin	taxsettings-jvm	1.4.39	-	3217ae34b8f1ea764d2ea46eb85598c102290ebc
aws.sdk.kotlin	taxsettings-jvm	1.4.4	-	21bb021767bb1efc0de0cb50159f0201e3112d94
aws.sdk.kotlin	taxsettings-jvm	1.4.40	-	b3cfec22af09abe31089f35f259ef51f2c6807ae
aws.sdk.kotlin	taxsettings-jvm	1.4.41	-	3363ce268cc392703ffb74bb87dd597f054eae4c
aws.sdk.kotlin	taxsettings-jvm	1.4.42	-	7372f05382d62d80edb994cdedb2d4e9d56a0a82
aws.sdk.kotlin	taxsettings-jvm	1.4.43	-	922b4062ebff13e6e50a7ac02783811531831387
aws.sdk.kotlin	taxsettings-jvm	1.4.44	-	17e7640729081e7ec98d5ad9512c1fa33f3b343a
aws.sdk.kotlin	taxsettings-jvm	1.4.45	-	e290a893671f69b358c685644fdc46200dbe38de
aws.sdk.kotlin	taxsettings-jvm	1.4.46	-	fe0fc138e33f8a31d969fc39ec3d4ff0192d9151
aws.sdk.kotlin	taxsettings-jvm	1.4.47	-	8bc96d47df7c00e0da4162fc3f5576aa8a1297f8
aws.sdk.kotlin	taxsettings-jvm	1.4.48	-	a36dd2634a3468feaf5cda97acd92397d890166a
aws.sdk.kotlin	taxsettings-jvm	1.4.49	-	756d8d52405a87af0787acc62539e7eba43f1a2e
aws.sdk.kotlin	taxsettings-jvm	1.4.5	-	e7a95990c39418743eda99b7674ac877a0c93f0d
aws.sdk.kotlin	taxsettings-jvm	1.4.50	-	adffbce43ae67449bac537ef826a24200ac531a7
aws.sdk.kotlin	taxsettings-jvm	1.4.51	-	eb03a1c14cec6250517219e184612354fd8c1581
aws.sdk.kotlin	taxsettings-jvm	1.4.52	-	b499c3c2960913ef38278ffe09cab8591c4f1a9b
aws.sdk.kotlin	taxsettings-jvm	1.4.53	-	4bb9439f4380ab3a2849802172c32c4454c1d79d
aws.sdk.kotlin	taxsettings-jvm	1.4.54	-	47e1ba3a8a3d496565250240095a0734aa564180
aws.sdk.kotlin	taxsettings-jvm	1.4.55	-	1eaac226576a1a165b72ac41f3617399604cfc70
aws.sdk.kotlin	taxsettings-jvm	1.4.56	-	3e97eb014cae87b932127abea1dee38d1e3dae85
aws.sdk.kotlin	taxsettings-jvm	1.4.57	-	e7b7c72ad00e85f0fd18d3e191d8d5228f900ee4
aws.sdk.kotlin	taxsettings-jvm	1.4.58	-	4b4aec87c05b31439a6e10d2f5f5b799732efd71
aws.sdk.kotlin	taxsettings-jvm	1.4.59	-	4ae701671301a5a8089682b82d36f481b1302ef0
aws.sdk.kotlin	taxsettings-jvm	1.4.6	-	47e0fd22b4f025c95c03dc27623d1214dfb6f84d
aws.sdk.kotlin	taxsettings-jvm	1.4.60	-	5a12af03412a8078d109be4e62860d3faf0fe115
aws.sdk.kotlin	taxsettings-jvm	1.4.61	-	731068f4238967ec1058ee8552ed05c4db2daa3b
aws.sdk.kotlin	taxsettings-jvm	1.4.62	-	b92af5b28f5c59243cf780f61c9d9b9abe1efefb
aws.sdk.kotlin	taxsettings-jvm	1.4.63	-	3fcd093321db84daff12a08f7314e2907344b684
aws.sdk.kotlin	taxsettings-jvm	1.4.64	-	0d673eff49c53d1536a3290f9e7a16498dfa3984
aws.sdk.kotlin	taxsettings-jvm	1.4.65	-	3ddc2cab4c077de1720e98f2b4efb1e5da3fb84d
aws.sdk.kotlin	taxsettings-jvm	1.4.66	-	383be83c54f792ed45a5ee7d34b12a7e9f292d9e
aws.sdk.kotlin	taxsettings-jvm	1.4.7	-	ba611bfe5a7fe4b21636f053016c71cdfd11c4d6
aws.sdk.kotlin	taxsettings-jvm	1.4.8	-	0be2b1867ea52edac9a0e8a7230cc1dcf25575f2
aws.sdk.kotlin	taxsettings-jvm	1.4.9	-	dd00737f69a1c3aebfd9c97f0a22309d59735cc8
be.personify	ipersonic-generator	1.2.30.RELEASE	-	80e5f9a07108a733727ad8cdae0a6606264987cb
be.personify	ipersonic-generator	1.2.7.RELEASE	-	b6dab9393c9c87b36b84803390425b0c331a18ac
be.personify	ipersonic-generator	1.2.8.RELEASE	-	7ad28d1ff89eb3a4d1971b229a9ab9856b49f297
be.personify	ipersonic-generator	1.2.9.RELEASE	-	0443ea1260f7529c58db75358d6d0e9e71a516fb
be.personify	ipersonic-generator	1.3.0.RELEASE	-	9bbe7c724f2bfc054c65d1ca711c0f37fe69b6e9
be.personify	ipersonic-generator	1.3.1.RELEASE	-	2402161774b5a8faee8a9ffcab5e4077dcfae660
be.personify	ipersonic-generator	1.3.2.RELEASE	-	445727fda77d5d5769dc704211a66275dc209b67
be.personify	ipersonic-generator	1.3.4.RELEASE	-	66b46e3f8cab246b02f5da18d6e04af781d4174a
be.personify	ipersonic-generator	1.3.5.RELEASE	-	35a0d9f8397041bfaf9126fb5857332917e21651
be.personify	ipersonic-generator	1.3.7.RELEASE	-	935c387215beb13e6ea0e1db6716321304b60549
biz.aQute	biz.aQute.trace.tester2	1.0.0	-	0E155A60033A9B63B1ED6646CE97020514D58D38
biz.aQute	biz.aQute.trace.tester2	1.1.0	-	69ACB90282EF2EC0A595B916F134146517165BF5
biz.aQute	biz.aQute.trace.tester2	1.10.0	-	4463E34D66D89E77BC2A1FBFA98488E3C26DA63C
biz.aQute	biz.aQute.trace.tester2	1.2.0	-	46DAE1021D990DB90E9A2260BEB0DB489BC3ECF7
biz.aQute	biz.aQute.trace.tester2	1.3.0	-	EA54A03EDF8A1F0E497E5FD824BB72479FD8F7A2
biz.aQute	biz.aQute.trace.tester2	1.6.0	-	E00640228A8AB6F2A646C9831DCDEBFE135254F2
biz.aQute	biz.aQute.trace.tester2	1.7.0	-	9B5C505B1D6DAD19E914ABC5DF4AED17FCDD911D
biz.aQute	biz.aQute.trace.tester2	1.8.0	-	D2535E70F518EF087899C7E3E9841EF9B8AAE49E
biz.aQute	biz.aQute.trace.tester2	1.9.0	-	8C998C2E61EE58DAFF9DA23A7D50E87160A5DA2C
br.com.objectos	way-code-mustache	1.21.0	-	765af3c89c1e4c6ca3c932089cead29d97e4e5f4
br.com.objectos	way-code-mustache	1.22.0	-	80b8bcbc8ca17a0e78b6d0c51e6a558ee1976646
br.com.objectos	way-code-mustache	1.23.0	-	610ab027a35a37e837dd83109786e9caf89def3c
