ai.latta	spring	1.0		57dfd0f63f7a4544d647e7cbf06a74f1344f7a78
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1029		895212281d8a00e1642a56e0c4a47b88c1e6f09b
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1030		2983924ae61f14a01082027cf52f2b5a01227d0b
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1031		35da324e6577bdf976888b31de86fa42a9690db6
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1032		cafc0dd800a9189fb796de7adc8e21245bd9bc56
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1033		f60737535e2458076c4da02780a35c8d3ca521a5
com.amazonaws	aws-java-sdk-timestreamquery	1.11.1034		613debccbdfb2a2d63c5fd1358dc2e14b7954357
com.amazonaws	aws-java-sdk-timestreamquery	1.11.872		75b405fee5765db6f70a06683baef92dbb857f09
com.amazonaws	aws-java-sdk-timestreamquery	1.11.873		07522d82bbf0914e25cf01efe7cd2ae5ed9152e9
com.amazonaws	aws-java-sdk-timestreamquery	1.11.874		99b3e1626e8aad45ce9cac7efb53e19105d248a3
com.amazonaws	aws-java-sdk-timestreamquery	1.11.875		acf959f195341184f7cc91cf9d3cbbe65c90d94c
com.amazonaws	aws-java-sdk-timestreamquery	1.11.876		def2b60928ea88ab009be9fcd00be61263cd84d0
com.amazonaws	aws-java-sdk-timestreamquery	1.11.877		f6d5127a4461b7dc7e2aa51cabbeb1ca7892d552
com.amazonaws	aws-java-sdk-timestreamquery	1.11.878		c8cf2b1ce52a8336278e9b3fcd8817c0909a953b
com.amazonaws	aws-java-sdk-timestreamquery	1.11.879		e8de97cc080b437e0c0758eb8d6a4b7a069cab25
com.amazonaws	aws-java-sdk-timestreamquery	1.11.880		bfa34aff832b8db58a7e6decfc94af94ae322db5
com.amazonaws	aws-java-sdk-timestreamquery	1.11.881		afa47882e0f3fcc8009db56012a783c0d6aafad1
com.amazonaws	aws-java-sdk-timestreamquery	1.11.882		1cd8711454adcee336111f90652e3b42062178cd
com.amazonaws	aws-java-sdk-timestreamquery	1.11.883		9e7e16f3b1027a1119f8a18fda736149cf682912
com.amazonaws	aws-java-sdk-timestreamquery	1.11.884		1d68400a64eaf04262fe0c5a59ee6948b1f648af
com.amazonaws	aws-java-sdk-timestreamquery	1.11.885		9fa56cf2150efa0ae221ab26e02661acfff0534e
com.amazonaws	aws-java-sdk-timestreamquery	1.11.886		3b9fd0c04aa454ba8d3d7a902f49d41ae4dc4bc9
com.amazonaws	aws-java-sdk-timestreamquery	1.11.887		8b70c779f6b550c31b29534868f9b8e6d252d755
com.amazonaws	aws-java-sdk-timestreamquery	1.11.888		5599858cc2fc3600ee011cf273848a4c02b4a59d
com.amazonaws	aws-java-sdk-timestreamquery	1.11.889		0defbaedf8d297a11939e3360564daf6396d0e39
com.amazonaws	aws-java-sdk-timestreamquery	1.11.890		38b995b2ed3baf259b9382e6305ddf2ea30e2a08
com.amazonaws	aws-java-sdk-timestreamquery	1.11.891		ad4364260501f880629b8da1670e81699cdbc317
com.amazonaws	aws-java-sdk-timestreamquery	1.11.892		0d21aed81edebd3184a2ae05ea44c96f17894b47
com.amazonaws	aws-java-sdk-timestreamquery	1.11.893		32cb7b814862b06b534321fa53cd6291e8ddef1c
com.amazonaws	aws-java-sdk-timestreamquery	1.11.894		86091fa87d5b8e4713da9e88ae75a2698d7761ee
com.amazonaws	aws-java-sdk-timestreamquery	1.11.895		ecbc891376d28c7922ebe982ca61d58771a8627e
com.amazonaws	aws-java-sdk-timestreamquery	1.11.896		60d1bdc3a9327f12a84ca019c0f222e73cccc6a2
com.amazonaws	aws-java-sdk-timestreamquery	1.11.897		5ceda3b5fb73a9ab6ebadff5e1fd7763711e7657
com.amazonaws	aws-java-sdk-timestreamquery	1.11.898		08966e30cf1c60de2a6f171f92e27d5d29c30377
com.amazonaws	aws-java-sdk-timestreamquery	1.11.899		025683e22b51a99326f27a53bf2df6fcb53190e3
com.amazonaws	aws-java-sdk-timestreamquery	1.11.900		ea8437906e6e983545c7fa633b691855dc8bc2e0
com.amazonaws	aws-java-sdk-timestreamquery	1.11.901		d312a4da4e096d68423443dba7aaede3076db35a
com.amazonaws	aws-java-sdk-timestreamquery	1.11.902		deac4f8721553c0239d061e7b87cb41bdf8c2317
com.amazonaws	aws-java-sdk-timestreamquery	1.11.903		aa8137de1c7fe460dc2de2a1d89eb028dbc72915
com.amazonaws	aws-java-sdk-timestreamquery	1.11.904		6f2e432f7be7ae452036d67ca25b500db3d7edc0
com.amazonaws	aws-java-sdk-timestreamquery	1.11.905		4e5de2838b37f65c0d7d0d4cc894c5aa5064f23c
com.amazonaws	aws-java-sdk-timestreamquery	1.11.906		bd5633738b0c4d23f923ae83104f02a8ccc83ce0
com.amazonaws	aws-java-sdk-timestreamquery	1.11.907		7d07ec5a39c2d7c2bcdbd5e7ebc4d1479ccad65e
com.amazonaws	aws-java-sdk-timestreamquery	1.11.908		63d86c234732453521cf1c46cc4f784082ec49cd
com.amazonaws	aws-java-sdk-timestreamquery	1.11.909		f908f77c4d4a9cea0fa2f2a731284aa29822fbb8
com.amazonaws	aws-java-sdk-timestreamquery	1.11.910		c28c7471c9d2f0f76e14c011cf3db9235214bfbe
com.amazonaws	aws-java-sdk-timestreamquery	1.11.911		b4d2077cc646192465f9d00d57d65d1387745205
com.amazonaws	aws-java-sdk-timestreamquery	1.11.912		4ed5ac4e7702ad834e4f215b1eab30fc1a6ea249
com.amazonaws	aws-java-sdk-timestreamquery	1.11.913		b875445fedb3ee78c1b6150ac896a7cdef23913f
com.amazonaws	aws-java-sdk-timestreamquery	1.11.914		78f5aacac27884d524861c46522e052dc19cf762
com.amazonaws	aws-java-sdk-timestreamquery	1.11.915		43781f0fdaadf2c2f9a94d04f2802162b993f16a
com.amazonaws	aws-java-sdk-timestreamquery	1.11.916		681fc1e2b3954c63a4df3c067689d73b4eb79336
com.amazonaws	aws-java-sdk-timestreamquery	1.11.917		2b19b4c7d92d823b8cd3c43656aff98e79ec24d1
com.amazonaws	aws-java-sdk-timestreamquery	1.11.918		1515f38e967274c30a20c8c3e62f3d4b9338e58c
com.amazonaws	aws-java-sdk-timestreamquery	1.11.919		443b530cffd6193583623f454110c6933709796e
com.amazonaws	aws-java-sdk-timestreamquery	1.11.920		e0dcf8a113dc0a6875df8d3c33c1dd2582e4952d
com.amazonaws	aws-java-sdk-timestreamquery	1.11.921		19a23360fdc4a0e1cbce2398f01b75c5569999f7
com.amazonaws	aws-java-sdk-timestreamquery	1.11.922		36c47e01cda44f924f0ddc1736bda5b20a1b1935
com.amazonaws	aws-java-sdk-timestreamquery	1.11.923		28818b79e4cdf0dd8744767e46a9e2a72188b0a2
com.amazonaws	aws-java-sdk-timestreamquery	1.11.924		2369fa4651a128900a8d9b6342fd7d375409f9d4
com.amazonaws	aws-java-sdk-timestreamquery	1.11.925		a9c7cebbb6b4ea242cd65ab9eb2dd05a4e48108a
com.amazonaws	aws-java-sdk-timestreamquery	1.11.926		732d4c652fc033eb247c6bb88656bfb6319ae912
com.amazonaws	aws-java-sdk-timestreamquery	1.11.927		bf028bc317f693dba79858e36fc497bc9dbb6ffb
com.amazonaws	aws-java-sdk-timestreamquery	1.11.928		61571471cc1b0a3c9e00d06108b035144a3b96e2
com.amazonaws	aws-java-sdk-timestreamquery	1.11.929		b8283f2a2360ab7a18bc41fdb0158d19ab0666fb
com.amazonaws	aws-java-sdk-timestreamquery	1.11.930		72289b669315a058f338d8a52a20900955932e30
com.amazonaws	aws-java-sdk-timestreamquery	1.11.931		38bdf24b329cc28c8fe312245f041c9a522285e6
com.amazonaws	aws-java-sdk-timestreamquery	1.11.932		61bc10b4384f179c983fd5dbcbf0db75ceb1c1df
com.amazonaws	aws-java-sdk-timestreamquery	1.11.933		c04ffc0ca7206fe5dc38093957616d271a12a41b
com.amazonaws	aws-java-sdk-timestreamquery	1.11.934		ab31ffd2e66171619ecd450d562cc5380c7519b0
com.amazonaws	aws-java-sdk-timestreamquery	1.11.935		430d76fb7ad07016f0d54b877fb322f192a2d6bc
com.amazonaws	aws-java-sdk-timestreamquery	1.11.936		277988ce0917c045d9731f1331674aeaf159e1cd
com.amazonaws	aws-java-sdk-timestreamquery	1.11.937		aad43f73bca52cb2f9c5e0ff44088f27cc224ff7
com.amazonaws	aws-java-sdk-timestreamquery	1.11.938		9e727469a6ffb79113544e6f286fb07612bd40e1
com.amazonaws	aws-java-sdk-timestreamquery	1.11.939		eee4d1b95d74e9aa6967209ce9e37833346ee94f
com.amazonaws	aws-java-sdk-timestreamquery	1.11.940		4d6d7f19bf0a0f50da08f8f1ff8a9104104dac5f
com.amazonaws	aws-java-sdk-timestreamquery	1.11.941		931276e04fb89642188d7d46fdd4ff6167ea0ae7
com.amazonaws	aws-java-sdk-timestreamquery	1.11.942		69d2ffcb23ad17f4528fded8305f6ec3c363b914
com.amazonaws	aws-java-sdk-timestreamquery	1.11.943		5f0ddc32dd362be4b7c024541733ce30977d6a8f
com.amazonaws	aws-java-sdk-timestreamquery	1.11.944		54a2738eeb0c7cc8c8634a8bb413bc9c212eac2b
com.amazonaws	aws-java-sdk-timestreamquery	1.11.945		d927195552c44f06a3ab4d78f0a12aff3f3e9a54
com.amazonaws	aws-java-sdk-timestreamquery	1.11.946		2e8b655a2b667d3aa6a4451c014ce855e6cecfed
com.amazonaws	aws-java-sdk-timestreamquery	1.11.947		f35dabddd1200e0eaca72c3a0b66a6b0bd5747ad
com.amazonaws	aws-java-sdk-timestreamquery	1.11.948		6d4bea732cdf5a32e454a434cc04638334d717b3
com.amazonaws	aws-java-sdk-timestreamquery	1.11.949		6f2651c9fe201d4588fab5146e9a8fa3940dd3db
com.amazonaws	aws-java-sdk-timestreamquery	1.11.950		b6f0f09d8dd5228a5d8fd3c77d5f3fdd95c0ba98
com.amazonaws	aws-java-sdk-timestreamquery	1.11.951		9df5b18ccd0a14d40cd5513cfdac9e0651abaf3b
com.amazonaws	aws-java-sdk-timestreamquery	1.11.952		c5f708be0a0ea5b5ac4ae8dbb763044d201e6f5f
com.amazonaws	aws-java-sdk-timestreamquery	1.11.953		f5e0cc30c16ea9e604989ead2e380994946b003b
com.amazonaws	aws-java-sdk-timestreamquery	1.11.954		b69b0e7df453e00508293aeebbaa751de257f18c
com.amazonaws	aws-java-sdk-timestreamquery	1.11.955		06ec04425f0b2b8866c24f4209c59d9ee1bb339e
com.amazonaws	aws-java-sdk-timestreamquery	1.11.956		1686c78c0c8a952a564b1e78eb8988ad85882859
com.amazonaws	aws-java-sdk-timestreamquery	1.11.957		5687acb83b35b836ba419ac1e1db57b7a38e5598
com.amazonaws	aws-java-sdk-timestreamquery	1.11.958		b454641c6a881b9ae700f93eba8078ecf9a82377
com.amazonaws	aws-java-sdk-timestreamquery	1.11.959		63be6b45572f8c4a53d78d90be323028b2ab99c7
com.amazonaws	aws-java-sdk-timestreamquery	1.11.960		b34fa02fe8b0ff08ee2f2f33af509c5ed742fa19
com.amazonaws	aws-java-sdk-timestreamquery	1.11.961		e0df0c0488fbb9c46a4e2299708bf78ce4955e9f
com.amazonaws	aws-java-sdk-timestreamquery	1.11.962		5ee93488bd6e33ee143143cca23a73b7f629d785
com.amazonaws	aws-java-sdk-timestreamquery	1.11.963		1f86776fef27e596cdb17f6da072978a5243f12a
com.amazonaws	aws-java-sdk-timestreamquery	1.11.964		c809ef0a35d88aec3f118a96640170ced9fba5ae
com.amazonaws	aws-java-sdk-timestreamquery	1.11.965		4cf73fa67620d24a90117e484e46480dfa1dc40f
com.amazonaws	aws-java-sdk-timestreamquery	1.11.966		734deade73e059ca52e8497503d14635e77dab55
com.amazonaws	aws-java-sdk-timestreamquery	1.11.967		7added1be439b6652f7874d96c62924e91a3cd4c
com.amazonaws	aws-java-sdk-timestreamquery	1.11.968		d4bc9a77b3830286b396f752cf0ad93cc4254990
com.amazonaws	aws-java-sdk-timestreamquery	1.11.969		e42a8ca695228fd44d4b6ed5baf3e975c0b60546
com.amazonaws	aws-java-sdk-timestreamquery	1.11.970		461f918c3b425c62131a0877b060ce6e25448248
com.amazonaws	aws-java-sdk-timestreamquery	1.11.971		d7fd2b9893becc0bc148a2d075ba87befa8d8642
com.amazonaws	aws-java-sdk-timestreamquery	1.11.972		01e2351a916c0b742136f499ab1b868fa6d11d60
com.amazonaws	aws-java-sdk-timestreamquery	1.11.973		38dd951c58f442eb545e179bfbe870b1f7178530
com.amazonaws	aws-java-sdk-timestreamquery	1.11.974		c0729e735b6f7211d409a250bc066b807a71a885
com.amazonaws	aws-java-sdk-timestreamquery	1.11.975		8215474833ff50ced20b0e54f8beaef1ef1cd5fe
com.amazonaws	aws-java-sdk-timestreamquery	1.11.976		dce3cf8612f27f545987da6a9254a417ecfa339e
com.amazonaws	aws-java-sdk-timestreamquery	1.11.977		31b7046952e7fdf9c37ba502b6fc3ce863385d14
com.amazonaws	aws-java-sdk-timestreamquery	1.11.978		0f709be77351096d288798b596619fefe7566151
com.amazonaws	aws-java-sdk-timestreamquery	1.11.979		ec893771fa540bf9b8521ccbc1761b25f6fe088f
com.amazonaws	aws-java-sdk-timestreamquery	1.11.980		d11e0824c97c947dd6a343b99a1beb1ffd808f02
com.amazonaws	aws-java-sdk-timestreamquery	1.11.981		6a9327a852051f0fd351a3d157a7e4d92122e594
com.amazonaws	aws-java-sdk-timestreamquery	1.11.982		2eb677b2dc0de0471a05b8ff8585a6378a419b3d
com.amazonaws	aws-java-sdk-timestreamquery	1.11.983		5424ce47d4c657ea6b994ccd624c0e5ac9e7d030
com.amazonaws	aws-java-sdk-timestreamquery	1.11.984		d01d54d98e9fa73eabe0a25fd503dd91c0cb0495
com.amazonaws	aws-java-sdk-timestreamquery	1.11.985		1b7b79ae80394def92b8879ac70eb188f2aa732a
com.amazonaws	aws-java-sdk-timestreamquery	1.11.986		ee1c9170bc0d3fae2b4a34cff69d2a7c000c1631
com.amazonaws	aws-java-sdk-timestreamquery	1.11.987		9f0fa7fd146fa1415144ae14684d5fa1dadc1649
com.amazonaws	aws-java-sdk-timestreamquery	1.11.988		5b0962f804cf595f51b50b4e3301c60e2b5a2a08
