com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.7		67e0776e54618f048771d52908892e5c4139fc63
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.8		01489933bd25f215aeb993984bf6afb026c3e823
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.4.9		16f5b28ca9c62dc713a45c20fda3bd80df258d76
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.5.0		71a33ccf735a84fa4c464388e23482ab6d749a7c
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.5.1		b526acf54ab834c7cd7502a2c51f6410aabe0d10
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.5.2		68ac0063251b9ecd1dc18c1e171d0d25f444d3e3
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.5.3		1ddfe2bba5ef3f0d22aaf85f99ebca715fde4dbe
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.5.4		fe9639a5c5dfe22b4e2edfcbc39f8c24fef4fc90
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.5.5		c3d777eb338bc426ba676cdbfac509192ca0b7ea
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.6.0		376718e4ae62e5d493f39ce359c2085aec1b59f7
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.6.1		877130e428ab9a03b8d39dc9e8e7ea9d70d9f171
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.6.2		a3ca5037b146ce59197a9233782bf99a9ae1f46a
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.6.3		f322f74468299bed7d1cd9e6d5b3d97d7cb295ce
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.0		5270a36bb3a028d1d0120d6a72a95a05891dd716
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.1		4763dcb3182428b2177cd03ea5a8878045e36948
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.2		fd88f52f98051f38a44552ad5ac8256987495725
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.3		205829b37ce671d74ec89fbe82cf2760216ea42a
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.4		dbbf24f810b06961092e73d93f88437bb8018429
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.5		052ccbd96d0c9cf73230a98cc6318cfcdbe5b07e
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.6		f4842eea3faced64c8b0364a88ca1ec895f9e6e4
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.7		6b69797f668076d6e07871e68992f95a40d9dd0c
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.8		3286bf64d0fd208c65729fd997a87927377b1297
