activation	activation	1.0.2		N/A
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.906		394ebf9008d4a8c1efa559d09df1783b4d237a9f
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.907		54c0cb437f403ed0a50f5d303d14812dd78fa6a0
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.908		d34a3e91736f8b998d6c27c16ad6b0da1f960877
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.909		62a19efa8cfadb1fdc753e81d50b544f9824da0b
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.910		6bb19645e455a477020ce2d32365c7fe2b2baafe
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.911		6dd8ae7dd18f2dafb870321eb88dd8e78dac963e
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.912		30296cb7cadfe90a8dd3be2c4c3a2a2b868d59ca
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.913		c386e0863c8f26966912aea243835325fcb3aeac
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.914		2d7d609ef84aa966f6ebeac5afea069679c6a994
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.915		f04ae2ee1e00df505cffc69d78110fef7b53047f
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.916		7f17f633cf9f838a9b3f51fdf468c7b1eb696a7c
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.917		17288727a771b22213d946d89cb564cca333c5b6
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.918		482d6da201c4ac06ba5893d6d32b0fba37e13b3e
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.919		17beb8e5629289bc64980cc0fbb8fbe2a4e9c8da
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.920		b1b2ac8f362d95280c99c111efa9974ce4ab2e8d
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.921		41a09d0bd58dce3d3f7f1367a1e5139043b32360
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.922		9c103acad412833014fbafa8ef43bcefe7d551ee
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.923		58900401e4cfe7493d00dcb393c28e123cf3123a
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.924		449366e42af368c2977ffa3443045e4de1096d79
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.925		5e543902fb4632165f41900f8854b84fb033ef90
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.926		f5d476cad1554a66a26da89285e9137416047d1d
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.927		d261936789d2fb34943a1a396850645c28617952
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.928		20074ad69d9b3746e7a93b27c88cbdef88b8a772
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.929		dd6d7ecd39b74ab8c8fef13b45243d01ff8cf844
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.930		383f2b0ea89bd962b2fe0fb7ef7d2fa7dc9f5567
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.931		1a254259f11e066e274c4f080894a4d54be61532
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.932		6f779059871d32e04b94cab69d0c79ba6a6dd30f
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.933		22b63e59f7a8b89e3e76e94c555e50b894d22c52
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.934		e983070138616e887201ad459d0faf692d29e2a7
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.935		172750ea725355910ce7290ca53386d677141b61
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.936		7f7f85bb247cde59ddd11fd6dcce849315bfbb51
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.937		fdd39a282bcd750cbc6baec90e73e7cd56d6a515
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.938		9ce52e80bd0cfc9067f10c5f19132de586de22cc
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.939		2f9dd64c74ea4c737bfd8fa803cdcbfbd04876ab
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.940		5099177adeb8bf8e87449b3d83a428c95bec4069
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.941		a828298b0ca28e5461eb6a69978d9a73d163f0f7
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.942		a64d607ff6c57f7d548d05821223344b22637860
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.943		133556917918fcb57e126ec63400029b44e6951d
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.944		04e8bbc95ea45a00a092dda9790a1f36503a1208
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.945		1f860cfdfc6e5234ca4fc57c1f37584140cd4456
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.946		1274a41d71ad3cdbdcbda263820707aa0e0f7782
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.947		2896a2327ac5ce9823511a9a9ab4dac56b03a3a9
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.948		b313bd150a48884c0e03058ffb9bbd01c3d5d216
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.949		c14cf2353f20f2ca907e15d91031f694b54b3eef
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.950		a632bbc00eb066f213db45a05a7b9c04cbbbd7b4
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.951		59f35f2ee575d6e66e229bdb0f423c506537cfa7
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.952		0d51a08818303062b93ba75adcc97b0d1f725019
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.953		e007e9848ce741fae818e887922c4778b64a1599
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.954		2da8ae9f0167bf77da7df4dda251e61086ce7b92
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.955		7a505600b5108f951e63aaefca747285dd8f3c62
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.956		bdbc8db0f78dd9d14e870627672ead79e0d1669f
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.957		02809edbbdb35ff29c10e72486a5d84ab3400d42
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.958		74b6160436b27a8a9d7a17d60b27e930554ea354
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.959		6bf617d359f99acdfb892a07b7a96f79a0a021c1
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.960		344ebf7c697a34be8f8e5ea1e038de1c8e774303
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.961		4ea0846c8024c244c613bdf7c13aeef31345e195
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.962		79ed55719b3b4c9f9ed22f028791faf4dff0a6c4
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.963		f7f5a1aefc816e31b044606c32b2b7399e93c0d8
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.964		fa4a190eafd3095149ba57fcad38b5503f8a5f4a
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.965		c2d9cc0f5e7f72b521be4ad8c76c8f2cfc04d359
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.966		e53f7972ed70c355fa1ef89061b1cb6c50537298
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.967		abc7c6a498ffd65704fbb1704ab0d6f0c4213360
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.968		a86669389bea10abd81eeddf5b3e750a62acd314
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.969		85097b4e48a6834751453c929afeaaea01092274
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.970		d635cc1aa5eb78c1ea8fa359e4c966dd54ecf7fd
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.971		bb86de835f98a64e9509984aa15e6a75f77f9a4d
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.972		e50b5f6a1b8c88f00bf1aefac0d70a976e1a692b
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.973		69998c6970359fb35068044e4e9411062f3e80cb
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.974		23ba40cce793223123bb0c594788818fbe09bc67
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.975		f0dbfb2d5450802ca1c51e205c4a294c7b2a7b29
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.976		d88e67105afe692be828b15b28023febb98dcba7
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.977		309407f07e3e2046e4d0904459f272099bb03bba
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.978		7190db0e9d098ab1fd1aeeefb79127043ba4567e
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.979		de539dbd4c63e0531a74385e15ffc407a35f4c3f
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.980		61c27c8446d3ae92d869990fd0e85aaf1db88f0a
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.981		2ee675490e81667c0b5191cd5a3b7c17a3997bc4
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.982		1261aea65c7a4dbec7f0ca5043a994f21d640401
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.983		3c8e99b8c9a389d15810bdd8afd4f7455fc74437
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.984		a7fcab7891c37d675f9cd6a9be5d0a105316f314
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.985		6014084de13e69310c23f7e2009faa412d080635
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.986		359f68ca4e4a909f4bd620ac7c53089956070616
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.987		6e57d013cd89d43897a9d0384fa5ff7f2b76dd7d
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.988		3470b4898f8cd6f48ab5f2bc2a8593c481abf08e
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.989		5fc248d734a91588686db1825b5d63a16988feb9
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.990		9d5e239db81e02a5ed460bc9f9dfe5dc7eabe1f9
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.991		1baaaf2d485ed1c7e7db379f69f31e1272859f79
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.992		27c3ccbfcf9d4a1674541ddbdcc7c59ab047c2bb
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.993		8143170ee4672d63a3fdacd105dccec7f688fd33
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.994		eec1b88360b13d717f8ef4cd66257d5f9c890191
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.995		f7df106eca04e8063283587fe2630340e060142f
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.996		ae9c5efbf01f4f08660bc6128003129c480882a6
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.997		4bb5a00f7678e80f90c9f62e1b18deb621910315
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.998		821dc8f0e2adf2019b2bd45a40163487bd708ad0
com.amazonaws	aws-java-sdk-timestreamwrite	1.11.999		acd2cba6ca089e69ab7f6c9b6704ecad94295ba7
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.1		07dc3793aeb9f295ed1007186168d9c80b3322a9
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.10		b829afa003499c38e2e3d261d67f3f84b486119e
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.100		e800a051d402a09c3f73682768659aa338a81a56
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.101		0bcd0795a25019f539c5960994ba3dc25d708ed1
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.102		05edae7f9e96cabdc5834d8e7d1f3217c86dbcad
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.103		637b1d88aa7cecb26dc7628fb0f7cb2faaf3efeb
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.104		94acc5b65432bc7bdaea89771e5ae15a1b0e61e3
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.105		1c8ff88e997eaa25da7d0a62be819a2e26aa46f0
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.106		ac9bdb3ed058d1665bcf1a1a6affb817f600037f
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.107		ffa85b202b71e85eb4144ac59746d1374174ff6d
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.108		7a6fbb87c1b53757f9a0597f9cb35a4c57fcee15
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.109		8bc4b1355a9c1807e0cbf9e3f72a95472abc1fe8
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.11		c239e83e03ce7113a9898653b7858984bc7ceb81
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.110		417048a1263c84ce1f247d2f4fd0f5f8784eeeac
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.111		ca9e9f95a6f02ad82b349efe8d1bf937f8aabf29
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.112		9e27063f41c0197dba0b03c69fc8552857e88148
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.113		e8eff4101dd1860e4b4af15cefa9e89b533aaad4
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.114		c0751b210a4ecde77322f7a09737f3a1cde1f648
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.115		f7b138e6a112757aab85e340961110a163ef762d
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.116		c0defb60947d301300970ee33861cf8a7b34fcfa
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.117		c6bb2b400712da81624a4261113269305a05fe9e
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.118		0e8f685a7ffed3078d7f9b19fd07f4a44fb7e720
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.119		905ebfd19eb3ebcbb5abb999f35005dddfac36e1
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.12		5f2c1d06ba8096bdeafcbcf59adcc9a0a22c73be
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.120		9e867098ba5f06ee443e5b1cf5c3a603b56ea329
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.121		01ae5590526b95044f9f78eb634bd4391b4e0f62
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.122		b935f66506eb0edb70c922c8ece2fd1b0436b7ac
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.123		b1625d7ba430418c700493bb7d644d6944327ce4
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.124		8b7bf0a01b6bbea4a8ca91aa0095a39c3d10fe3c
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.125		c46840175f743ef3dbe56d4f76df760177d15197
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.126		8822c3b2367fe9f750327565c227edc3eb0bbd58
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.127		709c77b0c7d4d2007cff71d1b23d6e8efb9e5259
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.128		0ce30d3443c1913956f96b3da189907a7d9b1ec3
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.129		11e9b6d01795786ce6b8168b5f7a59296dd4809b
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.13		7f6feeaf6255d306f139940c30dccec618b20b89
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.130		109f9414429506d37d3abd4f649469560f6064af
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.131		2afef57d8a7cda8740695420ea79d4f597c5685a
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.132		7eb1aaa704663340275f294ed5ae692e0e02832c
com.amazonaws	aws-java-sdk-timestreamwrite	1.12.133		423a1b74694d5c4d9b0d364205e2bd6ec1ed52a4
