at.asitplus	android-attestation-versionCatalog	1.5.2		N/A
aws.sdk.kotlin	iottwinmaker-jvm	0.22.1-beta		0362ab4d06fea6e2922fafbb21308c447c40656d
aws.sdk.kotlin	iottwinmaker-jvm	0.23.0-beta		5940608376b17a4dccccae43a41440bd19a222f8
aws.sdk.kotlin	iottwinmaker-jvm	0.24.0-beta		3b55d3cb46f6a9f1b27c6f4a6933a6eeea696378
aws.sdk.kotlin	iottwinmaker-jvm	0.25.0-beta		e6fe9c4a9f5125b0ea3376bfd7a854a87e3bbd5e
aws.sdk.kotlin	iottwinmaker-jvm	0.26.0-beta		ca25081a58a6b7e03f8471452f619ae4a0565300
aws.sdk.kotlin	iottwinmaker-jvm	0.26.1-beta		515c2706c9bd4a5ede040fc0d279d92c8ac789aa
aws.sdk.kotlin	iottwinmaker-jvm	0.27.0-beta		e468352d8f84537351ba542dfe278036d4c363c4
aws.sdk.kotlin	iottwinmaker-jvm	0.27.1-beta		ec985e8d26c1a484e1391cd5a53debc7b2fd53e9
aws.sdk.kotlin	iottwinmaker-jvm	0.27.2-beta		ff2885beca697e91fe800737d429866ad8e49ce1
aws.sdk.kotlin	iottwinmaker-jvm	0.28.0-beta		3c5364eb4e90d8f6ffa34105aadf5fbc46196154
aws.sdk.kotlin	iottwinmaker-jvm	0.28.1-beta		853ffb5948650c3ebcef31fceba390708c6e4911
aws.sdk.kotlin	iottwinmaker-jvm	0.28.2-beta		eebceefb1112a21cf79397c1aabb2e6950a1f72d
aws.sdk.kotlin	iottwinmaker-jvm	0.29.0-beta		fc9683ec1a84f24b0eaa0b3093d53da3447042a2
aws.sdk.kotlin	iottwinmaker-jvm	0.29.1-beta		a631da0cdcb8f3329b9b981eeb08dc132f0e8845
aws.sdk.kotlin	iottwinmaker-jvm	0.30.0-beta		e246d38b721ee31fca682d642d72825269883bea
aws.sdk.kotlin	iottwinmaker-jvm	0.30.1-beta		fecf2b28064e45f7ebd77b4157435f377c4879e0
aws.sdk.kotlin	iottwinmaker-jvm	0.31.0-beta		c6e3d5a401700eef3983ceec5cd4c22ddcd0dfe0
aws.sdk.kotlin	iottwinmaker-jvm	0.32.0-beta		62433a8ce3704de96e61819e81160d3fd87064a1
aws.sdk.kotlin	iottwinmaker-jvm	0.32.1-beta		ac6de2cecc48b3b4055f29f046a768ada0777e7e
aws.sdk.kotlin	iottwinmaker-jvm	0.32.2-beta		65fb75e8e21657ceeeba70933489603adafb2209
aws.sdk.kotlin	iottwinmaker-jvm	0.32.3-beta		2b108aba30e4e1731fa953c02ca54e3064ce3ad8
aws.sdk.kotlin	iottwinmaker-jvm	0.32.4-beta		4f659f016030994f2ad4fa00e9d8aa1696abbdaa
aws.sdk.kotlin	iottwinmaker-jvm	0.32.5-beta		384a6f8f5f3cff53fc9388820279e44c9c84d7a1
aws.sdk.kotlin	iottwinmaker-jvm	0.33.0-beta		34bc2f0bf77ca8b9c3acf411bffe497bfa166918
aws.sdk.kotlin	iottwinmaker-jvm	0.33.1-beta		00c6684e8b33581b7a27dd971d6f0df5f2b1c75f
aws.sdk.kotlin	iottwinmaker-jvm	0.34.0-beta		2673438e3f06b79c2ce60fd42e47fa0259b2faad
aws.sdk.kotlin	iottwinmaker-jvm	0.34.1-beta		f3032bf4f213242b6be81c3e70ac7c6c1869f1d7
aws.sdk.kotlin	iottwinmaker-jvm	0.34.2-beta		31055a5b7f53d7087c1a1df4f88e4251f99df2ba
aws.sdk.kotlin	iottwinmaker-jvm	0.34.3-beta		f19146c38ad5869ab157d59443b5e4db7c3b27fc
aws.sdk.kotlin	iottwinmaker-jvm	0.34.4-beta		1dc98cb80b0375e2e050e227d33039daf6db0782
aws.sdk.kotlin	iottwinmaker-jvm	0.34.5-beta		c3d9a06976568da3e940bf6af771bf660c636d12
aws.sdk.kotlin	iottwinmaker-jvm	0.34.6-beta		c44d7f37af20e4fa6bb516b258338797d19f3b58
aws.sdk.kotlin	iottwinmaker-jvm	0.34.7-beta		1a91d85b23af21a498d40cb8360ac5885ad119a3
aws.sdk.kotlin	iottwinmaker-jvm	0.34.8-beta		4b6bf15c82dbd295c65c435f71a04e958c78060f
aws.sdk.kotlin	iottwinmaker-jvm	0.34.9-beta		9c830eccceb74f31e8e64df3680d2823c8454c80
aws.sdk.kotlin	iottwinmaker-jvm	0.35.0-beta		5928696bdefb0e5aeb3e6c4c01b2eec9177ccb20
aws.sdk.kotlin	iottwinmaker-jvm	0.35.1-beta		a7fbede9b670b07aedda1969008481df885b9703
aws.sdk.kotlin	iottwinmaker-jvm	0.36.0-beta		e1a96774cedf03461910761335aabe882277569a
aws.sdk.kotlin	iottwinmaker-jvm	0.36.1-beta		192023987e4d81c3c639bd094cbb43383881dd0f
aws.sdk.kotlin	iottwinmaker-jvm	1.0.0		962d78988780a15334401ff77f7a883131b073d0
aws.sdk.kotlin	iottwinmaker-jvm	1.0.1		ca63f7e06ed7f33e6b26c9cb3531bbab105881da
aws.sdk.kotlin	iottwinmaker-jvm	1.0.10		574611e3a649f23aac3a2165dcc4e5c30ba51086
aws.sdk.kotlin	iottwinmaker-jvm	1.0.11		95c1a47549a775e87204a01f8b86e1f10c08d974
aws.sdk.kotlin	iottwinmaker-jvm	1.0.12		767a468d569552812f09a3e52ee51008534655bc
aws.sdk.kotlin	iottwinmaker-jvm	1.0.13		4ad5355b8525c48abe38f40da663526e3eae4eb1
aws.sdk.kotlin	iottwinmaker-jvm	1.0.14		d14af15114ba78509063ba612c49f32306112c7d
aws.sdk.kotlin	iottwinmaker-jvm	1.0.15		c952da662a255c3821308e323639e0827c2528e4
aws.sdk.kotlin	iottwinmaker-jvm	1.0.16		62c87b2a73863a98892cb81fc15aeb3de8df136f
aws.sdk.kotlin	iottwinmaker-jvm	1.0.17		71c8792d75af3f8108b261c59ef2fca63484fa62
aws.sdk.kotlin	iottwinmaker-jvm	1.0.18		6a75f4a2a825a706586684e9cb44f5eacf5b356d
aws.sdk.kotlin	iottwinmaker-jvm	1.0.19		3d20fd4790968dee3d2cdb2081f6340b7c88f24e
aws.sdk.kotlin	iottwinmaker-jvm	1.0.2		bec39e0ebde70373a5335208e326b0bbfd33c3a3
aws.sdk.kotlin	iottwinmaker-jvm	1.0.20		1f5d9e43df3166f94af2bd6f2c38e8d24022d236
aws.sdk.kotlin	iottwinmaker-jvm	1.0.21		5ddcd40a597c23f639debe472b9689d2fa0da481
aws.sdk.kotlin	iottwinmaker-jvm	1.0.22		5dd048e3c0c2e8a3f6de83e16dad92141137ceda
aws.sdk.kotlin	iottwinmaker-jvm	1.0.23		b344d0ca51bd3b7a30a6f56e4d3976e9e4681c04
aws.sdk.kotlin	iottwinmaker-jvm	1.0.24		3ae903df1b7e4091b7fc5b08b76818727216c067
aws.sdk.kotlin	iottwinmaker-jvm	1.0.25		01970ab8db4f1b90ca6170e9a6297f9409767609
aws.sdk.kotlin	iottwinmaker-jvm	1.0.26		89d8e12a1a47358021e62bf1b85c83bf6482496b
aws.sdk.kotlin	iottwinmaker-jvm	1.0.27		3b50105ff3bc5a6edca2df2fde760329afe0c827
aws.sdk.kotlin	iottwinmaker-jvm	1.0.28		62bcab8386262cc6d459568ff2fb038d13e7973e
aws.sdk.kotlin	iottwinmaker-jvm	1.0.29		dbbfa75a0077ec7471d8a83f5a1f99b0861affc1
aws.sdk.kotlin	iottwinmaker-jvm	1.0.3		ac2dee4223d7f22f08ee4d1b018ded5d2f50cca7
aws.sdk.kotlin	iottwinmaker-jvm	1.0.30		cf9a8061f4d8d2959571ae8f0c6317b0345a7da9
aws.sdk.kotlin	iottwinmaker-jvm	1.0.31		88425ea7a6293a1688c2ab701c1b1f36ce50f984
aws.sdk.kotlin	iottwinmaker-jvm	1.0.32		754b6ea2247132e861487b4abc9f9b8e4ec38aa7
aws.sdk.kotlin	iottwinmaker-jvm	1.0.33		0f7af7abf12e0907679b0987b6acb70c9975da51
aws.sdk.kotlin	iottwinmaker-jvm	1.0.34		7e11cf76808131acf903f1c07f9501545e82c791
aws.sdk.kotlin	iottwinmaker-jvm	1.0.35		864cf91da69274fa8ab424e3e8d0419f83514b38
aws.sdk.kotlin	iottwinmaker-jvm	1.0.36		7bbe9a35f833cee4025616c7f9268c16c2791f6a
aws.sdk.kotlin	iottwinmaker-jvm	1.0.37		3f079c3dfda12fe63e01f908b5a69b28dca5ee24
aws.sdk.kotlin	iottwinmaker-jvm	1.0.38		3db40849d762d0ecb301ebd63b10b9d24f4ec9ce
aws.sdk.kotlin	iottwinmaker-jvm	1.0.39		5d1a26c64aaa1d73e11f0c57b8cea63177d16f7d
aws.sdk.kotlin	iottwinmaker-jvm	1.0.4		0a276a624cf86d2a1b6aa2ceee4691da7c80f0be
aws.sdk.kotlin	iottwinmaker-jvm	1.0.40		ba3b8ae80c007938f3447fd81f320df2c9010852
aws.sdk.kotlin	iottwinmaker-jvm	1.0.41		6dfc415683866c34f4d6699aad932917e63e09e5
aws.sdk.kotlin	iottwinmaker-jvm	1.0.42		7ab33b2354f66d6840cabbe103ce4329cfb4a633
aws.sdk.kotlin	iottwinmaker-jvm	1.0.43		85331c0b8f021251e68065a5b7486ddaf49fa2a5
aws.sdk.kotlin	iottwinmaker-jvm	1.0.44		39e014d609a4bd245a768f85a3bae7859767748c
aws.sdk.kotlin	iottwinmaker-jvm	1.0.45		17c7d192c744448b2f412484ff8cc32b5449adaf
aws.sdk.kotlin	iottwinmaker-jvm	1.0.46		856c3ee90ad89daa7e4d6de1cc7d729b6262ed69
aws.sdk.kotlin	iottwinmaker-jvm	1.0.47		8897d4e481d17030686d427f1b68ac96545e0c38
aws.sdk.kotlin	iottwinmaker-jvm	1.0.48		bda00783b7ce6c8ecea8e4a093b3c1d574eeb134
aws.sdk.kotlin	iottwinmaker-jvm	1.0.49		fd91f3c535941a8d8dc58961f2340438f988a74e
aws.sdk.kotlin	iottwinmaker-jvm	1.0.5		eee2054db70f9d330a6353eab644f6f7b09a9c08
aws.sdk.kotlin	iottwinmaker-jvm	1.0.50		97c5b7b2e73e88c22751c2ded294d1d83e209fb6
aws.sdk.kotlin	iottwinmaker-jvm	1.0.51		9438a155c05ec1c3b086798cf7562fc02cc35acb
aws.sdk.kotlin	iottwinmaker-jvm	1.0.52		e82b1df02e60d34c35f508d718d85f0f748afd04
aws.sdk.kotlin	iottwinmaker-jvm	1.0.53		d63c785aea3215f9bbfe974d47e9da9a7224da45
aws.sdk.kotlin	iottwinmaker-jvm	1.0.54		8ffaf0450906d1eba40aa84a7dabe7d7688ac9c8
aws.sdk.kotlin	iottwinmaker-jvm	1.0.55		c22c126e02e79edae7c07496f9118c7f655939bc
aws.sdk.kotlin	iottwinmaker-jvm	1.0.56		373e6b9a0b730281658361f4cb3a409a996a4c88
aws.sdk.kotlin	iottwinmaker-jvm	1.0.57		fdfc43808fd21c36dd4314d6c3b09062c071050f
aws.sdk.kotlin	iottwinmaker-jvm	1.0.58		7482b2ad3f2daaa6c7ab45268fa79a05b9c2a7a1
aws.sdk.kotlin	iottwinmaker-jvm	1.0.59		9b33e978e1d5a181e44de11c48356d7ea6369093
aws.sdk.kotlin	iottwinmaker-jvm	1.0.6		a89f7e28736608d430799ed0c01c5e5be1ce61db
aws.sdk.kotlin	iottwinmaker-jvm	1.0.60		0fa59c8397577ec2b6eb5b2b5ece63b3024a5e74
aws.sdk.kotlin	iottwinmaker-jvm	1.0.61		d1b9b7158638b4a73e513d434922e1b00a8bf4cf
aws.sdk.kotlin	iottwinmaker-jvm	1.0.62		314acc0515d09551856dcf886f7af3cd0d2567c9
aws.sdk.kotlin	iottwinmaker-jvm	1.0.63		28521bc8946921619a889ca551e5e5a5babb41dd
aws.sdk.kotlin	iottwinmaker-jvm	1.0.64		1906355e7d597dda1e4fe58a5c8f05988ebc010a
aws.sdk.kotlin	iottwinmaker-jvm	1.0.65		296a61b2868c0729b8a69e5d50dfb7c7c7b30e24
aws.sdk.kotlin	iottwinmaker-jvm	1.0.66		282b069f8f0a8159075b9e815d271724a00f0429
aws.sdk.kotlin	iottwinmaker-jvm	1.0.67		52121d351f0431dc462e4ffe528daa4a028ff663
aws.sdk.kotlin	iottwinmaker-jvm	1.0.68		56ade16084890162e36fd6c3d14008db8a2adfbc
aws.sdk.kotlin	iottwinmaker-jvm	1.0.69		36ef463c6bb256d51809a2032591d2285e72d172
aws.sdk.kotlin	iottwinmaker-jvm	1.0.7		afb299b06b117482cd40fe2685d1fd1329358213
aws.sdk.kotlin	iottwinmaker-jvm	1.0.70		7fa6f01196db16cb96fc1dbad4de0c3d6718197a
aws.sdk.kotlin	iottwinmaker-jvm	1.0.71		997382c7817ea047bce54cdb0517c87afa7d0761
aws.sdk.kotlin	iottwinmaker-jvm	1.0.72		a91769cbb6ffbf7f180997ef709164072c4cfe72
aws.sdk.kotlin	iottwinmaker-jvm	1.0.73		aa764eb19ef0a9d21c390dbbea585daa0a963ce8
aws.sdk.kotlin	iottwinmaker-jvm	1.0.74		09a7111b2a2bda76e1767401123cf2d7c3030a1b
aws.sdk.kotlin	iottwinmaker-jvm	1.0.75		ce0ca4fc2bad3bd20241d92664eca4331e914ff4
aws.sdk.kotlin	iottwinmaker-jvm	1.0.76		0d1b1863f2ce27d9b24ea5a2556e78b1995a4782
aws.sdk.kotlin	iottwinmaker-jvm	1.0.77		e3c0f773e083e87c29b0751e57f6b7fee047db22
aws.sdk.kotlin	iottwinmaker-jvm	1.0.78		9ef47c9c2b87518743d1471498ad3b0a0702072b
aws.sdk.kotlin	iottwinmaker-jvm	1.0.79		76b70dfddebafc8e8dd8df8416a09b6fd823376a
aws.sdk.kotlin	iottwinmaker-jvm	1.0.8		92accad64fb9644c871253c215af861caa1946dd
aws.sdk.kotlin	iottwinmaker-jvm	1.0.80		d1a867ab1188f2b592057ab4df00aa1f819dddb0
aws.sdk.kotlin	iottwinmaker-jvm	1.0.9		26517762711a2d07acec2ba8ed2f849c7b30f496
aws.sdk.kotlin	iottwinmaker-jvm	1.1.0		befa239d4ebe8feb1fc6324cb543e4b7caa9d7e1
aws.sdk.kotlin	iottwinmaker-jvm	1.1.1		3deb675cdcd9e8508e58ec3efd7999d0098bd237
aws.sdk.kotlin	iottwinmaker-jvm	1.1.10		9cc52785c42c93fc6e65810df0c79fc1861cdb12
aws.sdk.kotlin	iottwinmaker-jvm	1.1.11		27ed1854ae0e7d965f98ee202138695f7256d063
aws.sdk.kotlin	iottwinmaker-jvm	1.1.12		ec56f43eac2fe686e326c65df7f95ff4ea278a57
aws.sdk.kotlin	iottwinmaker-jvm	1.1.13		5bc9381f723e7282ea0f5267b0194ec4c0555859
aws.sdk.kotlin	iottwinmaker-jvm	1.1.15		2f31c59db72b292f595e2fdf5ced7932e58e677e
aws.sdk.kotlin	iottwinmaker-jvm	1.1.16		273171e54ebf6a98996a2454b9b71f04fc1f330f
aws.sdk.kotlin	iottwinmaker-jvm	1.1.17		caf9eeafffc2626ac291cae41e530e31712ec135
aws.sdk.kotlin	iottwinmaker-jvm	1.1.18		5527a18af15841169a159b44fb6e26961e718418
aws.sdk.kotlin	iottwinmaker-jvm	1.1.19		0fd2593d2d87ac1e06e7ba38bfffbb076a5443e5
aws.sdk.kotlin	iottwinmaker-jvm	1.1.2		09e4586df0afe88dc1b4bcb011f544659e9c29b2
aws.sdk.kotlin	iottwinmaker-jvm	1.1.20		5842d28ce53ee8aec4a96195e0b3ef8653392a5f
aws.sdk.kotlin	iottwinmaker-jvm	1.1.21		8c34ab749d54acda405fe8b5f3b3b9b3ee5c8aaf
aws.sdk.kotlin	iottwinmaker-jvm	1.1.22		4674bcf03484bbb728122a42fe113524c1f35ff6
aws.sdk.kotlin	iottwinmaker-jvm	1.1.23		2941512426b2d7c280f3ea49417201cbfd9dc3b9
aws.sdk.kotlin	iottwinmaker-jvm	1.1.24		ac84cc43d330cb5c2311ac9c3bafde9e8b0038d3
aws.sdk.kotlin	iottwinmaker-jvm	1.1.25		dae858775253e38658b2a3c4ec2de07e51845a70
aws.sdk.kotlin	iottwinmaker-jvm	1.1.26		72a433a9ddf02c9da292c16ee6825d3027a60a7d
aws.sdk.kotlin	iottwinmaker-jvm	1.1.27		a36e3ebd11ee05921ff6b267acf2fb13a905ab01
aws.sdk.kotlin	iottwinmaker-jvm	1.1.3		7296927c68664586ca4472d6b708eebeaea24760
aws.sdk.kotlin	iottwinmaker-jvm	1.1.4		0264791703f7832c080ac5070aed4e89a47022ec
aws.sdk.kotlin	iottwinmaker-jvm	1.1.5		e7c8df4fe0e7d17342023c7f6f19b201a19b8e27
aws.sdk.kotlin	iottwinmaker-jvm	1.1.6		5b61d59f16c1b115d3eeb6cb4e3de9cf7eab83eb
aws.sdk.kotlin	iottwinmaker-jvm	1.1.7		296d087a999e1cf3cc53adb353c7d7b07e327d09
aws.sdk.kotlin	iottwinmaker-jvm	1.1.8		cb82d0b09cf7709adef8eba70978affa782fbdea
aws.sdk.kotlin	iottwinmaker-jvm	1.1.9		f67e60ae648a6638a8979f33ce697ee0742369cd
aws.sdk.kotlin	iottwinmaker-jvm	1.2.0		35f8f65a331c175008e987a11cc336a39781d522
aws.sdk.kotlin	iottwinmaker-jvm	1.2.1		755a0c076a0e09b71fa87dacc7b158aa739e8dca
aws.sdk.kotlin	iottwinmaker-jvm	1.2.10		0aa82b39b2f1c3e45f454ea54e8d16a00b32cf4f
aws.sdk.kotlin	iottwinmaker-jvm	1.2.11		086e770b4bf07a0688ee581ce27cb5447077cd41
aws.sdk.kotlin	iottwinmaker-jvm	1.2.12		53d6975f2e57023097d80d4c7edbc6235d357935
aws.sdk.kotlin	iottwinmaker-jvm	1.2.13		158520426eca3b1ac760f3b8a7494b501bcb4fb5
aws.sdk.kotlin	iottwinmaker-jvm	1.2.14		dd0ab8d577c9624262600f8f3c15093f92c70d81
aws.sdk.kotlin	iottwinmaker-jvm	1.2.15		34d5d970ef1c7b9fcc931e8b749e659c37d84f8e
aws.sdk.kotlin	iottwinmaker-jvm	1.2.16		51fda6415de01f8c0d329ee7634f090a9dba748b
aws.sdk.kotlin	iottwinmaker-jvm	1.2.17		1d5d834ba2334209dac0baf7d8af0e4fbba2f819
aws.sdk.kotlin	iottwinmaker-jvm	1.2.18		77a4c96672fbfb0707136de799f39bac29c4540b
aws.sdk.kotlin	iottwinmaker-jvm	1.2.19		09a91efed54296da6f5d756c614ed80e4a4cbcfd
aws.sdk.kotlin	iottwinmaker-jvm	1.2.2		5a25484871425bd67a5c2cf971d831921ccbfbd2
aws.sdk.kotlin	iottwinmaker-jvm	1.2.20		58dff1b42238e8be602726d7ba376293f598726b
aws.sdk.kotlin	iottwinmaker-jvm	1.2.21		1441beeed408e6827c1d9854ea30abe725ea6bd7
aws.sdk.kotlin	iottwinmaker-jvm	1.2.22		920e5cbec44761e3b2ec35bc417c2fd6e06871d8
aws.sdk.kotlin	iottwinmaker-jvm	1.2.23		265f29cf01f0279b4ad2bb9582a79b878e097728
aws.sdk.kotlin	iottwinmaker-jvm	1.2.24		dfb57d07d44ac20ce2a38e640439bb1b9e4214e5
aws.sdk.kotlin	iottwinmaker-jvm	1.2.25		bb45749567c6e8970321af12779d6d0f969e785d
aws.sdk.kotlin	iottwinmaker-jvm	1.2.26		db918299e007eb018238e828e5b0ce16eda16203
aws.sdk.kotlin	iottwinmaker-jvm	1.2.27		4c85874e7c33719df3887908b1cdb7a55292e634
aws.sdk.kotlin	iottwinmaker-jvm	1.2.28		0be52c4e78cae451bab45e02a377a0cf45099ddd
aws.sdk.kotlin	iottwinmaker-jvm	1.2.29		07981e562de253dc275069d088165325042a175a
aws.sdk.kotlin	iottwinmaker-jvm	1.2.3		7d208c8f8e95f9f8543e68277ca07e3ee614ef66
aws.sdk.kotlin	iottwinmaker-jvm	1.2.30		ddc7ec736fe3015cf8bc29f4ef86575e0cdcfcd9
aws.sdk.kotlin	iottwinmaker-jvm	1.2.31		006337c968df7899bcde237881d884581c28a44d
aws.sdk.kotlin	iottwinmaker-jvm	1.2.32		35856fc790aff6d548664f62e65ee89bee54f23a
aws.sdk.kotlin	iottwinmaker-jvm	1.2.33		361831ba21b0eb65a264d12d39a2bea55d4ed257
aws.sdk.kotlin	iottwinmaker-jvm	1.2.34		f76c58629dfefeebff5452d65b599b0ebede0b47
aws.sdk.kotlin	iottwinmaker-jvm	1.2.35		2a41ee84a294ea1fdcc5ea5a1bc7ad7d4db1c61c
aws.sdk.kotlin	iottwinmaker-jvm	1.2.36		8a1c238ae8204fa7487ec433eacf6dfcff1246ba
aws.sdk.kotlin	iottwinmaker-jvm	1.2.37		629e0e0b5547e6a6ff9375521acbf6cbad44f289
aws.sdk.kotlin	iottwinmaker-jvm	1.2.38		3eb573c77ceb33761af0d466046f0ece11c30757
aws.sdk.kotlin	iottwinmaker-jvm	1.2.39		af2341fb47e04c1c7b4506699b82970d0fbb9dc2
aws.sdk.kotlin	iottwinmaker-jvm	1.2.4		e3110b078409a3bcb85afa569cc49669a27aa0e9
aws.sdk.kotlin	iottwinmaker-jvm	1.2.40		d055182aa21e0d5fbb931ecf039ed34000d42a25
aws.sdk.kotlin	iottwinmaker-jvm	1.2.41		e99d6847ed1d552f592c3cc350f77b8fc332280f
aws.sdk.kotlin	iottwinmaker-jvm	1.2.42		693e024a3721d92679205203d5d8a8abeb7e0130
aws.sdk.kotlin	iottwinmaker-jvm	1.2.43		03946d4f2a3a70953cc935ebcfdebe4d3d3039a0
aws.sdk.kotlin	iottwinmaker-jvm	1.2.44		cadbd5c6cc0a9d2810b81649f11d0bd3f7c72cbf
aws.sdk.kotlin	iottwinmaker-jvm	1.2.45		e986193381395e1803851fc337249358accada89
aws.sdk.kotlin	iottwinmaker-jvm	1.2.46		2326ace3f820207b4e3b92a4e0f7e129616d732a
aws.sdk.kotlin	iottwinmaker-jvm	1.2.47		823b6a98e55b541848f77433469964c65bcd456b
aws.sdk.kotlin	iottwinmaker-jvm	1.2.48		729ad90978526db98a9509d50352a25c3844e8b7
aws.sdk.kotlin	iottwinmaker-jvm	1.2.49		8bf907e34ed5987246a74d1dc07444cd9b8a9a9b
aws.sdk.kotlin	iottwinmaker-jvm	1.2.5		ac610019dde20d607e419568f1e79fc7b2f923ae
aws.sdk.kotlin	iottwinmaker-jvm	1.2.50		70424cf5b095f1a35ff7970f13beca02017ff99c
aws.sdk.kotlin	iottwinmaker-jvm	1.2.51		78b89301d1f2035f4c30e10e40875d6659507b4d
aws.sdk.kotlin	iottwinmaker-jvm	1.2.52		30ccabeb6150261e85fb54fe7fee542b7e4417d3
aws.sdk.kotlin	iottwinmaker-jvm	1.2.53		78099063b484e07458f79a4f5fd0f786ba07d88b
aws.sdk.kotlin	iottwinmaker-jvm	1.2.54		d3814e89483a5a6d89928d82d97564d44f4f97e3
aws.sdk.kotlin	iottwinmaker-jvm	1.2.55		885aeb2d46f2c2bc9a4192e419b9bab93fba666a
aws.sdk.kotlin	iottwinmaker-jvm	1.2.56		cfed884c7eb5f41091c25abef96b1f02cefa9015
aws.sdk.kotlin	iottwinmaker-jvm	1.2.6		8d027ee1397cd394247055ac5334e7c833fdda3f
