com.adobe.aem	core-forms-print-components-print-dor-api	1.0.6		fbe6c065d352b2db613f010160f219cc100dffae
com.attafitamim.navigation	router-core-wasm-js	3.0.0-alpha01		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.1-alpha01		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.1-alpha02		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha01		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha02		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha03		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha04		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha05		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha06		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha07		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha08		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha09		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha10		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha11		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha12		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha13		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha14		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha15		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha16		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha17		N/A
com.attafitamim.navigation	router-core-wasm-js	3.0.2-alpha18		N/A
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	8.5.0		d57167991310ae8f86771cdfa022fa93d101554a
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	8.6.0		dc089c68e4936eaa3601a47299c37a56aca35db4
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	8.6.1		03cc4cf25a4a45af77f2a823293632903af705ce
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	8.6.2		5fbfd4daf2ae98b8a31367758682293bc7eb28bb
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	8.6.3		6fbb4101a05eb08d4174aeb009714bae2e74e318
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	8.6.4		0348e869b9ec5ea8a8c34daf5064a02229f4d57c
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	8.6.6		068e21d916a8491ec8f790fd9b4023fb0906a622
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	8.6.7		1ce26f0234f257b2b2daa9df111f3984c04c8bf4
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	8.6.8		4492a1c28aaa93c01b712e2ca6572785d462a8a1
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.0.0		dbcd4fdf4c3c4a1a99358e5a30a7115f6d184472
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.0.0-beta2		16baa4b5cb13f7703a992c9b7c5aaaf6ff769326
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.0.0-beta3		c3345116a594a6dd943e66ad52d9be8887caa0ee
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.0.1		db548c99ff80cf7dd3c16b34d7765785e1a4e87e
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.1.0		c333d08329c42d1aa504e02761428d7648405bd7
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.1.1		346b22a8c805a199efd1200d6f2bc0524228acb1
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.1.2		62eae1449b26aed429298ffb07858de8c844e334
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.2.0		763a169171c77c2642f9354cd4edbfbba95c0441
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.2.0-testing		b4df9e50115693fe9dac9f32546e4db29196db5e
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.2.0-testing2		32575c4c4e0f07f6d2629b25c829b8b148dd0977
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.2.0-testing3		c2069411459bdd32d788f8c7a70d4d0f87f26b25
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.3.0		0a3bb83267f95c61e0d2d424c3de37d5fec66322
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.4.0		7cf9cfb34e9df1456796552cb266997865c1de23
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.4.1		94500be2d4e70ba3ff5aebf5a0d00df1a2847f5e
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.4.2		2a9f3f978741037bf39bf50fdfd64193b55201e8
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.4.3		b106c18f1f294a7b2a8314a013330d4052d591cb
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.4.4		f3409255e62f07c8f3dcf7eb3b5daaea42d3aaa5
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.5.0		8a43d85f5f07e430166aed68d13cbed5edfa7991
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	9.6.0		6c1bab542b9b05f6daa7d3ed7b75c459a0313a63
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	untagged-07877868007dd359bc82		a7977cdf4eb6b2d7170e20ecbbb560ffc106570d
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	v9.0.0-beta		d5dc3d5f718afae26c63e058854458aae9ddd567
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	v9.0.1		844ff49016e9c906669744316b06c075757c5f16
com.avast.clients.rabbitmq	rabbitmq-client-extras-scalapb_2.13	v9.4.1-beta		a9bdbb6dce5d84cf484760ddc3a028f3d4a6b320
com.boozallen.aissemble	aissemble-hive	1.7.0		N/A
com.boozallen.aissemble	aissemble-hive	1.7.0-rc2		N/A
com.boozallen.aissemble	aissemble-hive	1.7.0-rc3		N/A
com.boozallen.aissemble	aissemble-hive	1.7.0-rc4		N/A
com.boozallen.aissemble	aissemble-hive	1.8.0		N/A
