city.smartb.ssm	ssm-chaincode-client	0.1.0		e132c28afe0e8e93bed4218e1e719c26057111b4
com.googlecode.redbox-mint	plugin-transformer-local	1.6		4112b2e08fbd1b2dbde0f8b77aa8a144b6449e28
com.googlecode.redbox-mint	plugin-transformer-local	1.6-RC01		4e4603e8b5ec38e915d319b31bdac15a6a4c399f
com.googlecode.redbox-mint	plugin-transformer-local	1.6.1		b2d84da1d39cf796ec650ca23193e9165db72f25
com.googlecode.redbox-mint	plugin-transformer-local	1.6.2		2530324467c9ecceb9700f8bac6d829e6f9bc8a2
com.googlecode.redbox-mint	plugin-transformer-local	1.7		232eacc72c82d4e5e5b5df261a424beec7533e93
com.googlecode.redbox-mint	plugin-transformer-local	1.8		d743a1e29a0c72ef90310e04732f6434a0ac8599
com.googlecode.redbox-mint	plugin-transformer-local	1.9		c6f7032b7b11c91d26f75dc96693e6ce313d69e6
com.googlecode.refit	refit-maven	1.6.0		N/A
com.googlecode.refit	refit-maven	1.7.0		N/A
com.googlecode.refit	refit-maven	1.7.1		N/A
com.googlecode.refit	refit-maven	1.8.0		N/A
com.graphhopper	jsprit-examples	1.7		1e4eb256f163bf79db1652effd23efd943bec0d9
com.graphhopper	jsprit-examples	1.7-RC1		493ebb760f73abcb448075d7d93de5ac53b79fd9
com.graphhopper	jsprit-examples	1.7.1		ff0ee4b60a5f33f1b4907f1abfe8bd34121f978d
com.graphhopper	jsprit-examples	1.7.2		ab65fbd53a4bc2626725c3083ada25a1ae4ec2ff
com.graphhopper	jsprit-examples	1.7.3		2b01f5eb44aa36514bf4356bb4155cdb41e22c04
com.graphhopper	jsprit-examples	1.8		ddd18e804d8ccd65995ad883007ca25a4f01de9e
com.graphhopper	jsprit-examples	1.9.0-beta		453ed66837f61a02fd1713b8d4e9e5f5591e2063
com.graphhopper	jsprit-examples	1.9.0-beta.1		76bac075f3d948a0d96af762de3767410184082d
com.graphhopper	jsprit-examples	1.9.0-beta.2		8383e83e2a1b5718a0f1ded9be8bce7f1b644891
com.graphhopper	jsprit-examples	1.9.0-beta.3		59ff36618ebc7478aef9caf9d25e2151707590df
com.graphhopper	jsprit-examples	1.9.0-beta.4		9c73d0acde064e5cf86bcdc586fad9a5db06ae26
com.latenighthack.ktbuf	ktbuf-test-jvm	1.0.5		6cb27cd6f1e84842a4e6fbaf6fd0f03a11846433
com.mercoa	mercoa	0.0.1751		4e5c29bfbc199f3cb99bbaabacef6be6a0b888f4
com.mercoa	mercoa	0.0.1818		f51b68244f66a0be607df5d5b9805b017667bcc9
com.mercoa	mercoa	0.3.6		c824aaa2155d108559cfc275a127430d7e43df67
com.mercoa	mercoa	0.4.0		41d3e7ac31a11c45148b6d7b866b29f4a6aa5798
com.mercoa	mercoa	0.4.49		77a647da15ff8b7432594554af3850b73849caf3
com.mercoa	mercoa	0.5.0		81f60f695a9f2cd8994dd1e2cea67f5792ec7d88
com.mercoa	mercoa	0.5.1		df9bf1fdcb956cae5747333bf8fb8e8c71ce724f
com.mercoa	mercoa	0.5.10		ec620c887914b48562c45a4f49814fc4045bb155
com.mercoa	mercoa	0.5.10-rc1		145b2783d374e7966825d134f94a4c200df51095
com.mercoa	mercoa	0.5.11		d38e14f8ddec15b645ca33eb02fa4bf1f80709dd
com.mercoa	mercoa	0.5.11-rc1		ec9e2dd3bc44ff5097f104d8b7a78b04c618f030
com.mercoa	mercoa	0.5.12		d3c31fe15e09426bfc367538df5aa522060ac284
com.mercoa	mercoa	0.5.13-rc1		dc8275680c90a71527324abb3f777e461d75bd75
com.mercoa	mercoa	0.5.13-rc2		0a85003856d4eb35ce4db3b7cb39afab941df74f
com.mercoa	mercoa	0.5.2		d7acc67721a1b8a5a67ea333604ee0cb40ab98c0
com.mercoa	mercoa	0.5.3		1bb1032f643959db2f6e9f70f771a2d71c4e4958
com.mercoa	mercoa	0.5.4		947921002778b3e6c40897b099a71645f10e9d08
com.mercoa	mercoa	0.5.5		15374efe32695e817a5400c5cd9f27a6c4179b7c
com.mercoa	mercoa	0.5.6		2505ce0861399a27c060a72a9d4f86edf8e1d4e5
com.mercoa	mercoa	0.5.7		ac4bb0143b5dcb41a8f42f9dc57c37399417f675
com.mercoa	mercoa	0.5.8		5ec56b7a9e679974cf2206daf392ee54900777b9
com.mercoa	mercoa	0.5.8-rc1		d3d0b4d5190162bd4295b8f4f9345abf06e462b2
com.mercoa	mercoa	0.5.9		fd113e06a248ab5871bb79fcae083f50675616b8
com.mercoa	mercoa	0.5.9-rc1		f29e2973841a492775717b2c175721b19cc6a1f3
com.mercoa	mercoa	0.6.0		41ee7e56e0b4cc5dbab7b50c48418cd0fe5e8291
com.mercoa	mercoa	0.6.1		8ce83cb6a9ec0b121bd9dd7a07bcfb81c296a28c
com.mercoa	mercoa	0.6.10		1b08e0f03c24c6be0c287c73d45359c6e519fdf7
com.mercoa	mercoa	0.6.11		3e0980b6a34f6297fda59f81f91006ddcd695a4f
com.mercoa	mercoa	0.6.12		fe57062ffadea56a79bd25c2fc5b9753fe5a98f4
com.mercoa	mercoa	0.6.13		8c1f9e586809b88e9fc5ca26aae2715054954076
com.mercoa	mercoa	0.6.14		12a0abf6942dd9ef583dda38511d2c9b5e3b2b99
com.mercoa	mercoa	0.6.15		6f559e5da8daf541d7e4241841684083e7dfb668
com.mercoa	mercoa	0.6.16		6c2e1dc46b08a4eab28ebf8eb3985bd854431a82
com.mercoa	mercoa	0.6.17		33a25c1218e809761c73a870545374b74f6a91f2
com.mercoa	mercoa	0.6.2		491ec863874efe147a4f694ff7a40b7ad560f065
com.mercoa	mercoa	0.6.3		a5a1ded84a4fd952353d82e74e0aeec5abddbc46
com.mercoa	mercoa	0.6.4		1117c416074c266c2db2a1b2b9b1220c84132643
com.mercoa	mercoa	0.6.6		b46b877beb3b715d0c563df976fc53fc368aa852
com.mercoa	mercoa	0.6.7		9e709bd4733753db5b521a5db0aec32737a9bf67
com.mercoa	mercoa	0.6.8		ae175394a8990d28674dfe7c4959f3fa12a7366b
com.mercoa	mercoa	0.6.9		7d16d4f4008a89ef036d85d820d09018db4a572f
com.mercoa	mercoa	0.6.9-rc1		e2ac556708982fecf561ca0bf052c8711e497962
com.mercoa	mercoa	v0.3.10		73718028cf17c118d29e5db15c02676efa683041
com.mercoa	mercoa	v0.3.11		d1f06b595d174fe95c51f90dfad528d76e7e865a
com.mercoa	mercoa	v0.3.12		5b7841c68d8dafae17f7a8ce8b85190f8853af88
com.mercoa	mercoa	v0.3.13		7a9e780e091d581db1cc46c5a6a685bcb748b565
com.mercoa	mercoa	v0.3.14		fe968b3bd3d55680004496406c72db19a189e712
com.mercoa	mercoa	v0.3.15		9e4fda5bd6f4215edb1d9124a304beab0b6e50ef
com.mercoa	mercoa	v0.3.16		9e26c565a908d8fd5c7985878bc8ed80b687d485
com.mercoa	mercoa	v0.3.17		4cf219afef215703db3d76e6bba0a68aba954926
com.mercoa	mercoa	v0.3.19		89fee9bad33236fe9ff5e3df87e2cabf375afd94
com.mercoa	mercoa	v0.3.20		1c056147e9ecf0691e420c7208cf458828f7b474
com.mercoa	mercoa	v0.3.21		253f8f8b423646592f61e79407c6f3587914f969
com.mercoa	mercoa	v0.3.22		8354472378802103427ade543e3b2cf2608953fb
com.mercoa	mercoa	v0.3.23		68d0f32fbf6eb395dbcc9054024dda4c912ce376
com.mercoa	mercoa	v0.3.24		10dd9b097bb31a5c4f9849103bc9068c6c1f1d82
com.mercoa	mercoa	v0.3.25		4a8b2b3527d37365e5738376ccff17d9563dfdbc
com.mercoa	mercoa	v0.3.26		87a91624c5f58e7b6eb5ed51b84dbee7585fc09e
com.mercoa	mercoa	v0.3.27		f014047cbbb8b5b213e0cc81735dda6929a83e1f
com.mercoa	mercoa	v0.3.33		851e6e4c4d6fadca7cee19a4b81b009d1ea3fd87
com.mercoa	mercoa	v0.3.34		74171b436f3f1973621f6188b5f3ae4627055a83
com.mercoa	mercoa	v0.3.35		8fdeb5f5ab075d8fad71327d535b391d78ec8f5a
com.mercoa	mercoa	v0.3.36		8d67e3a41b27ae8223297a29593ea8a6004c6f76
com.mercoa	mercoa	v0.3.37		f2861c53591f52c0c09d99618760bea4fd3df4c3
com.mercoa	mercoa	v0.3.38		46d1b4cce5e32e3a260771e60a09b8d51613c8b2
com.mercoa	mercoa	v0.3.39		ac3d7449c5b2d352bcde42bbb518b3a857c684ed
com.mercoa	mercoa	v0.3.5		7ff1c1c3dddcca4418274923565e17afe011c221
com.mercoa	mercoa	v0.3.7		acf8a65234880e2f46ba73f4ac0d5c5a7da0c201
com.mercoa	mercoa	v0.3.8		8a9bebf6c8a08b1b48b038f0153b7536b68e5ac2
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.0.0		b8335a9a6b0964d32be8c05903ee902ecca6f878
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.0.1		01781311c9c7414b6f837b2b9057eef881b72621
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.0.2		da2ef113e00ed050675a6627812f196fe94b6ad8
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.1.0		fc90ae0a9839381a9395c67289d51561e1707104
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.1.1		40f75a9ff5dd113c19fb85b2461ac630e718816a
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.1.2		5da3ed16a62dc2d369966f881029711712d2d89c
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.1.3		821e045c4676100e61e589ac7fd50774065fc41b
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.1.4		d496f22d3e9eec8620376fb37b69c65cf9ccaa42
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.1.5		9fc733e201bc821cbba13d484154fb9ce62ce690
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.1.6		8a74d3ca1ad1cb623aeb0ab423097ca13d03ac17
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	1.1.7		eaff43761c2d4737469c17c44810cdeae6b238c8
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	2.0.0		401fab7d5f7ed272587dfdb145afd6a8e8e53714
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	2.0.0-preview-001		9e652421ef7aa98af0ed87ffab2b85b4fa0acf88
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	2.0.1		3713021d6c610fe5e52c7104acc3dac284f55081
com.microsoft.azure.sdk.iot.provisioning.security	x509-provider	2.0.2		4c3d0e5f87c3ed8254e176d3d3801959e7bf78af
com.netflix.karyon	karyon3-jetty	3.0.0		00fc3092a5dae0b165101b2d0419b08b6c14dc41
com.netflix.karyon	karyon3-jetty	3.0.1-rc.1		9e9b8f5448b93409d9527abbe52a5faa0123b91b
com.netflix.karyon	karyon3-jetty	3.0.1-rc.13		cb0bb44bd4385777d9915b3168ac47cbdea964ed
com.netflix.karyon	karyon3-jetty	3.0.1-rc.14		be9fe15ada9ae53cd84c928571457beaf6ab27b8
com.netflix.karyon	karyon3-jetty	3.0.1-rc.15		2c09d93eb1fff449bc9966f950f293cceb9e90a7
com.netflix.karyon	karyon3-jetty	3.0.1-rc.17		2663992e706aff4abaf21e10a35b9cca69ece11d
com.netflix.karyon	karyon3-jetty	3.0.1-rc.2		92c9a432012dfc12154c05713169ab7b0ca76759
com.netflix.karyon	karyon3-jetty	3.0.1-rc.20		1d71f622d121538592bde06af7d8582256663a2e
com.netflix.karyon	karyon3-jetty	3.0.1-rc.3		c3988a7cd187de37609f49761aa1bac79158f138
com.netflix.karyon	karyon3-jetty	3.0.1-rc.4		304f1fbc8f065e0712010170e082c98edab8f859
com.netflix.karyon	karyon3-jetty	3.0.1-rc.5		e413469bddb656a2013e62d38efc71b366fedfa2
com.netflix.karyon	karyon3-jetty	3.0.1-rc.6		b6fbac62d65d3e8606958c479cd4eb36a6bb25c2
com.netflix.karyon	karyon3-jetty	3.0.1-rc.7		ed489e7b9d784dbb439b5039c12928141774ea0d
com.netflix.karyon	karyon3-jetty	3.0.1-rc.8		10429d000fb26a883a0890e6ab9d9e7734cd8070
com.netflix.karyon	karyon3-jetty	4.0.0-rc.1		37220024eb1c5cfa45c131d2ea6af3a0d896e360
com.osinka.camel	camel-scala-extra_2.9.1	1.3.0		3b7836d68ee9cbe0709dd4e48a092c6f70d6f0bb
com.osinka.camel	camel-scala-extra_2.9.1	1.4.0		2b113f7eca885d832890010c2dbaebd2a083ce85
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.0.0		82d0ad064638a4463ffcd5f5c5a7261f6664ec87
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.0.1		ac43fbab43e328936305ada706e5545164d81f56
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.0.1-S		1fc0bda673b6dabf0df56f49321a98827f00fbcd
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.0.2		f1ba059f32f394a6bb64fe6f9e7c4dbc009445cc
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.0.3		e06eaee2bee42759e5512886456d5d93a346cbfc
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.1.0		c8a25467eb17435346a32dd429a5b7093c052d5f
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.1.1		ec095ae9d0c9dcad5bde42b797d5d3094799790e
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.1.1-RC		f45fdb03ec6b4b3488f3025551a20620212070e3
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.1.1-RC1		0f2bc6597fcb0cca516f2c6e8969133a3323b1e5
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.1.1-RC2		faa54eba82a49e5888e783d5684d0e15c48eb33b
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.1.1-RC3		028e852b0abc2d3b11796e39c6871b6e5ae0baa5
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.1.2		ec644e9c2be94dfe6993d1f8a573a02a6fb875b2
com.pingcap.tispark	spark-wrapper-spark-3.1_2.12	3.1.2-RC1		a8f2a0dc64600462e848ca7a4b2f218a6609297f
