ca.gosyer	accompanist-placeholder-material3-android-debug	0.30.1		N/A
com.metaring	framework-java-impl	1.5.0		1edac016578afca88117c07d24855e18a75aae3b
com.metaring	framework-java-impl	1.5.1		cef443adb0d1ab2ad34d97717f8180e163476c48
com.metaring	framework-java-impl	1.5.2		6fe4cabcf50307a578ad382395a1c8154d53756d
com.metaring	framework-java-impl	1.5.3		afc7c4266c437ed3abe349024321e85fda54f94b
com.metaring	framework-java-impl	1.5.4		b8c58713df75b79f1d09ec282e6a4f100928fcca
com.metaring	framework-java-impl	1.5.5		379ff5557b90ab8aefb504fe67f267910b3b099b
com.metaring	framework-java-impl	1.5.6		a12c9fadac662ccfa71149df968854c83df9814b
com.metaring	framework-java-impl	1.5.7		e8ee62fff8d346556ff0a0c2f87e3c4b8d132ef6
com.metaring	framework-java-impl	1.5.8		e600027d4bfde819ef158f50d7f718e0f5dcf88e
com.metaring	framework-java-impl	1.5.9		ff5ebf813182ca7ef8c2e82c60e69ffb19c65b41
com.rallyhealth	play28-json-ops-v4_2.12	4.4.0		1e005bbb2da5358490085086e3eadffcd9aadfd6
com.sitewhere	sitewhere-influx	1.10.0		c957fb5840104c4614a4aa6d7ffba2f4770a1368
com.sitewhere	sitewhere-influx	1.11.0		67ac3a34f6baa36c6d72d2d5ac81871e72ab5d19
com.sitewhere	sitewhere-influx	1.6.0		aa9bdb5f645271d988427589ae095e627273b53d
com.sitewhere	sitewhere-influx	1.6.1		a5c06fd72c8de7a5f890cf0fe4030dfa973dde6e
com.sitewhere	sitewhere-influx	1.7.0		a629ab32f757f2b864f2c6f62e5a2a0e674edd55
com.sitewhere	sitewhere-influx	1.8.0		4a8b4ccc7f61c3d374c5af25c6ccb6d22afe273d
com.squareup.okio	okio-watchosarm32	2.10.0		N/A
com.squareup.okio	okio-watchosarm32	3.0.0		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.1		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.10		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.11		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.2		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.3		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.4		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.5		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.6		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.7		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.8		N/A
com.squareup.okio	okio-watchosarm32	3.0.0-alpha.9		N/A
com.squareup.okio	okio-watchosarm32	3.1.0		N/A
com.squareup.okio	okio-watchosarm32	3.1.0	metadata	bc872d71e21c9e844ab44620200aeda0bfc84d05
com.squareup.okio	okio-watchosarm32	3.10.1		N/A
com.squareup.okio	okio-watchosarm32	3.10.1	metadata	8bd03245914ee813dea9582e579a1b56eb946fbc
com.squareup.okio	okio-watchosarm32	3.10.2		N/A
com.squareup.okio	okio-watchosarm32	3.10.2	metadata	8bd03245914ee813dea9582e579a1b56eb946fbc
com.squareup.okio	okio-watchosarm32	3.11.0		N/A
com.squareup.okio	okio-watchosarm32	3.11.0	metadata	22dc4b428b54f1ef996fb35d43aff7a876239f61
com.squareup.okio	okio-watchosarm32	3.2.0		N/A
com.squareup.okio	okio-watchosarm32	3.2.0	metadata	6ba58fa63ec2c6098d3938d3d84acd5e8569d491
com.squareup.okio	okio-watchosarm32	3.3.0		N/A
com.squareup.okio	okio-watchosarm32	3.3.0	metadata	9eb3b2947e5e6844c3073eb1be1426f270ce2b89
com.squareup.okio	okio-watchosarm32	3.4.0		N/A
com.squareup.okio	okio-watchosarm32	3.4.0	metadata	db3bbaed15422e86c725409d9c12f2dfa9312ddb
com.squareup.okio	okio-watchosarm32	3.5.0		N/A
com.squareup.okio	okio-watchosarm32	3.5.0	metadata	54e32266da5cb044d8d2b4613c74ceb7db45ed75
com.squareup.okio	okio-watchosarm32	3.6.0		N/A
com.squareup.okio	okio-watchosarm32	3.6.0	metadata	3a621d8317a5eb245becd173c6a9509f0a5942a1
com.squareup.okio	okio-watchosarm32	3.7.0		N/A
com.squareup.okio	okio-watchosarm32	3.7.0	metadata	403027040ad2044c323065158197211e88a1f1bc
com.squareup.okio	okio-watchosarm32	3.8.0		N/A
com.squareup.okio	okio-watchosarm32	3.8.0	metadata	403027040ad2044c323065158197211e88a1f1bc
com.squareup.okio	okio-watchosarm32	3.9.0		N/A
com.squareup.okio	okio-watchosarm32	3.9.0	metadata	403027040ad2044c323065158197211e88a1f1bc
com.squareup.okio	okio-watchosarm32	3.9.1		N/A
com.squareup.okio	okio-watchosarm32	3.9.1	metadata	4c364f14a6b2bdadac45355b591136cdf2214af0
com.tencent.hippy	hippy-common	2.13.13.1		N/A
com.tencent.hippy	hippy-common	2.13.3.1		N/A
com.tencent.hippy	hippy-common	2.14.0		N/A
com.tencent.hippy	hippy-common	2.14.1		N/A
com.tencent.hippy	hippy-common	2.14.10		N/A
com.tencent.hippy	hippy-common	2.14.12		N/A
com.tencent.hippy	hippy-common	2.14.2		N/A
com.tencent.hippy	hippy-common	2.14.4		N/A
com.tencent.hippy	hippy-common	2.14.5		N/A
com.tencent.hippy	hippy-common	2.14.7		N/A
com.tencent.hippy	hippy-common	2.14.8		N/A
com.tencent.hippy	hippy-common	2.14.9		N/A
com.tencent.hippy	hippy-common	2.15.0		N/A
com.tencent.hippy	hippy-common	2.15.1		N/A
com.tencent.hippy	hippy-common	2.15.2		N/A
com.tencent.hippy	hippy-common	2.15.3		N/A
com.tencent.hippy	hippy-common	2.15.4		N/A
com.tencent.hippy	hippy-common	2.15.5		N/A
com.tencent.hippy	hippy-common	2.15.6		N/A
com.tencent.hippy	hippy-common	2.15.7		N/A
com.tencent.hippy	hippy-common	2.16.0		N/A
com.tencent.hippy	hippy-common	2.16.1		N/A
com.tencent.hippy	hippy-common	2.16.2		N/A
com.tencent.hippy	hippy-common	2.16.3		N/A
com.tencent.hippy	hippy-common	2.16.4		N/A
com.tencent.hippy	hippy-common	2.17.0		N/A
com.tencent.hippy	hippy-common	2.17.2		N/A
com.tencent.hippy	hippy-common	2.17.2.1		N/A
com.tencent.hippy	hippy-common	2.17.2.2		N/A
com.tencent.hippy	hippy-common	2.17.2.3		N/A
com.tencent.hippy	hippy-common	3.0.0		N/A
com.timesprint	hashids-scala_2.11	1.0.0		2c309d52ad1d45aad267865bad3881a03bfd17a0
com.twitter	util-collection_2.11	17.10.0		e48ce343d6f06429d807b3cce2de32db210b01de
com.twitter	util-collection_2.11	17.11.0		63c4351d799b99cf860bef3599dad886ad729f25
com.twitter	util-collection_2.11	17.12.0		f3bfe0ba646de67e0ba75d9e97296737555cc285
com.twitter	util-collection_2.11	18.1.0		328e980d773befb72f4dd79b7e9e890bdb37e52f
com.twitter	util-collection_2.11	18.10.0		dee9941a6692c6bc9a69b46df210164a4f413c12
com.twitter	util-collection_2.11	18.11.0		40c63152bead530ccab0d3301ac01c6e942b82e6
com.twitter	util-collection_2.11	18.12.0		069752ac91a8666be8fe7379a01559af05d4fc52
com.twitter	util-collection_2.11	18.2.0		7f9f0f97b6c32edfbcaeb6c80b60a744921daa52
com.twitter	util-collection_2.11	18.3.0		dbb5fdcaaf32a499b2b64c5e3126d724cd535663
com.twitter	util-collection_2.11	18.4.0		38fde68ecc7307603ace9060b4ee9eb33f974d3b
com.twitter	util-collection_2.11	18.5.0		2c1312d8c1d3585c148113e7e1442f3e2f79048a
com.twitter	util-collection_2.11	18.6.0		bba0763fb51a0092dea2a6ca4350eba8bf641d01
com.twitter	util-collection_2.11	18.7.0		b90874ccf45275f1a4bc73ce3698d23b625abe3a
com.twitter	util-collection_2.11	18.8.0		52b56a9d0790cd9b945025bcce44ab2935c23915
com.twitter	util-collection_2.11	18.9.0		89766635721ff5fa0ad0055c8b5cc3757a990bff
com.twitter	util-collection_2.11	18.9.1		e62829885ead78f31cfcc5ba229ab8348a09c32d
com.twitter	util-collection_2.11	19.1.0		0a8f58b538d108b0d4c1c2cc5b019aa05262f25e
com.twitter	util-collection_2.11	6.20.0		5ddec62bcc68595b78f2410e2faa7aeef687af5c
com.twitter	util-collection_2.11	6.21.2		41ee8cca1aa486c4b734bbabade8159cd0397e8e
com.twitter	util-collection_2.11	6.22.0		c94abdd91b7a4aecdc347d604cf6b08a35d2437e
com.twitter	util-collection_2.11	6.22.1		2ff1fb19e26980acdfb5086998d268a4bbcef6a1
com.twitter	util-collection_2.11	6.22.2		0e7e58e55d1124a4a01fa2c5d87899638d4f6e95
com.twitter	util-collection_2.11	6.23.0		52bab24d5120dfa7b0b06aaec0e46d4f79eaa523
com.twitter	util-collection_2.11	6.24.0		d7a2c1160b430aab20388d2e08e4ea5a8432a9d0
com.twitter	util-collection_2.11	6.25.0		796c3e8a6ac1f4047e2e8c89d9843808c6f793ee
com.twitter	util-collection_2.11	6.26.0		b4f946af7aa3bb08847ea658c4ea677037e0000e
com.twitter	util-collection_2.11	6.27.0		386e837c19116fedbf56f3f0cc94fcc73c97b8dc
com.twitter	util-collection_2.11	6.28.0		2c31aee90ac889fc7ccbadda8da41e392a5291ff
com.twitter	util-collection_2.11	6.29.0		d40933e2398400fca10d89abc0b234f9232322a3
com.twitter	util-collection_2.11	6.30.0		cea66d162bd1f0892953de01f8e9c8e63208aa96
com.twitter	util-collection_2.11	6.32.0		6d0a47ccb188fb5718047cf783c3c9ac9da61cfb
com.twitter	util-collection_2.11	6.33.0		76438f8caba3d9dcb5eac07b512a1f53d13cd609
com.twitter	util-collection_2.11	6.34.0		6a81f40064af82e7769c4ed1f7a2cf5f70650e14
com.twitter	util-collection_2.11	6.35.0		61133e91063576de6a8b524cc9e6b37bc7817e67
com.twitter	util-collection_2.11	6.36.0		2dee9a1c08430192180ccee1196f4a96d8c50295
com.twitter	util-collection_2.11	6.37.0		a894d43db8bab942a5f6537473cd32d1462458d9
com.twitter	util-collection_2.11	6.38.0		d9eea193bb61e92c8c00f03202e787e0878bbcf3
com.twitter	util-collection_2.11	6.39.0		b548ec47f1961778e5a17ba3e454de0f6d261e87
com.twitter	util-collection_2.11	6.40.0		ebde05775f7423dc007b3349bbad1964903efba0
com.twitter	util-collection_2.11	6.41.0		86e3b5a108a6d3753a0d516e04906af6c8e2e922
com.twitter	util-collection_2.11	6.42.0		8d098464589eee6a4eff7ce3fcc9ce9c0fde466f
com.twitter	util-collection_2.11	6.43.0		7a6c384c01b862fcc636d0972e36979c475873df
com.twitter	util-collection_2.11	6.45.0		a16c6c0b9f71ae943f7eca3385c47798ce2480e3
com.twitter	util-collection_2.11	7.0.0		1190b39a1a99bc4d0cbecc4a136dca3468298d20
com.twitter	util-collection_2.11	7.1.0		fcbe0364f69262793f91f2e5069a941d8ad234a4
com.vertispan.j2cl	backend-kotlin	0.10.0-3c97afeac		4e8c8d20fdcaeb0b596caeaa4e27ffbd672728d1
com.vertispan.j2cl	backend-kotlin	0.11.0-9336533b6		7958e3c575f16cc514a194d292340400ef261a65
com.vertispan.j2cl	backend-kotlin	v20230718-1		9d97cc80f3863e813b54848283b64b9ca33c3643
com.ververica	flink-sql-connector-tidb-cdc	2.2.0		c31fcdd513a3ffc2afb471cc7787e6d828d47362
com.ververica	flink-sql-connector-tidb-cdc	2.2.1		97c3f2486afeb8cd763f3a9f596333e2ff3eab4f
com.ververica	flink-sql-connector-tidb-cdc	2.3.0		8592a64ec818bc9d2957fc901845ce925caea22e
com.ververica	flink-sql-connector-tidb-cdc	2.4.0		92917a5cd4a2919b8a7e26206658ae4436386440
com.ververica	flink-sql-connector-tidb-cdc	2.4.1		e93efcedd53abdce6f999fcfef34db360f790d4f
com.ververica	flink-sql-connector-tidb-cdc	2.4.2		a3dfbefbbfb19f62d1128daf441ba3e784224c7b
com.ververica	flink-sql-connector-tidb-cdc	3.0.0		4c326de9ded3b6f77848468d0d494d6be88c994e
com.ververica	flink-sql-connector-tidb-cdc	3.0.1		e57f3c6c994c029aad942ec26f2d341afb0be106
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.30.0		4faadcadaca3ef946445f8d2c25282ec943a64a4
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.31.0		cfce0a1f336ca07cb1411fde3b6248b31a9ce67a
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.31.1		9219a0748a2a3dc796ae31beb46c750870d41241
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.31.2		1b5856fb47551b1aacbc76127c7ef55618dd74bf
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.32.0		7a34fe938dbbb6fe6dc7da32858f78d22d7eda67
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.33.0		bfed46758ea2d7f24dbe6670002c04b3e65dcb4c
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.34.0		8baef299788fd90d213e5e861c084d5d6356b231
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.35.0		d2f40ec709898ed7c7a89bd1b4dc04aa868ed479
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.35.1		cea0c4cd0228c917a0b9c8abac7ba00cfaec86f3
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.36.0		6c44524518e08120cb23e766adea02d2b14a5f52
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.37.0		4dca939eb13f6894bfea0fadc32fc037d9642879
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.38.0		72ea45e113d0404cb17c9e3b87bd29bffa526cff
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.38.1		030ab0d310683d41167a64a60885b43ed90a22cc
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.39.0		9c31afae7ef8ae35b970e89136367614da2fa48a
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.40.0		32f54ece1c50c4414497226744413034eb26ae49
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.41.0		22ee7e11d5bcddc8cd9fa469ee86b19704ff3206
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.42.0		ebae5e2e9fb6aa66633e25b9718d147c34482353
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.43.0		e0340c86c2a99f9a8b5ccdf0f6d0293d88ee6258
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	2.44.0		bed971e89c20794c3d12f0e68bcd0ca076610cf0
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	3.0.0		9768ae339ae8f3b6d406727bcf522b2e5e745dc2
com.vmware.pscoe.maven.plugins	abx-package-maven-plugin	3.1.0		7ceec636d31c88cd7006879fe56c14f14d1da419
