com.github.pureconfig	pureconfig-squants_2.11	0.7.0		d63789e01802e2bf8cf540d586e4bb1dc48dd244
com.github.pureconfig	pureconfig-squants_2.11	0.7.1		4aea963aa910d1d9d370ccbac81d84df339ddf98
com.github.pureconfig	pureconfig-squants_2.11	0.7.2		9c35085df65df9246a6a47dce7908f1f007b9b97
com.github.pureconfig	pureconfig-squants_2.11	0.8.0		fb72ec842086c5ad88c761403791899e1e331e3c
com.github.pureconfig	pureconfig-squants_2.11	0.9.0		417a0cca1637568ee0c224378555406e56421ada
com.github.pureconfig	pureconfig-squants_2.11	0.9.1		5a14d6b2cb2cda1b105aaeaae49854a79de16567
com.github.pureconfig	pureconfig-squants_2.11	0.9.2		ace736ba336263d265278b02784cd28337bdde23
com.github.scalaprops	scalaprops-scalazlaws_sjs0.6_2.13.0-M5	0.5.5		bd7042dbad91086106fbf7b526a71a288d821094
com.google.cloud	sdk-platform-java-config	3.21.0		N/A
com.google.cloud	sdk-platform-java-config	3.22.0		N/A
com.google.cloud	sdk-platform-java-config	3.23.0		N/A
com.google.cloud	sdk-platform-java-config	3.24.0		N/A
com.google.cloud	sdk-platform-java-config	3.25.0		N/A
com.google.cloud	sdk-platform-java-config	3.27.0		N/A
com.google.cloud	sdk-platform-java-config	3.28.0		N/A
com.google.cloud	sdk-platform-java-config	3.28.1		N/A
com.google.cloud	sdk-platform-java-config	3.29.0		N/A
com.google.cloud	sdk-platform-java-config	3.30.0		N/A
com.google.cloud	sdk-platform-java-config	3.30.1		N/A
com.google.cloud	sdk-platform-java-config	3.31.0		N/A
com.google.cloud	sdk-platform-java-config	3.32.0		N/A
com.google.cloud	sdk-platform-java-config	3.33.0		N/A
com.google.cloud	sdk-platform-java-config	3.34.0		N/A
com.google.cloud	sdk-platform-java-config	3.35.0		N/A
com.google.cloud	sdk-platform-java-config	3.36.0		N/A
com.google.cloud	sdk-platform-java-config	3.36.1		N/A
com.google.cloud	sdk-platform-java-config	3.37.0		N/A
com.google.cloud	sdk-platform-java-config	3.38.0		N/A
com.google.cloud	sdk-platform-java-config	3.39.0		N/A
com.google.cloud	sdk-platform-java-config	3.40.0		N/A
com.google.cloud	sdk-platform-java-config	3.41.0		N/A
com.google.cloud	sdk-platform-java-config	3.41.1		N/A
com.google.cloud	sdk-platform-java-config	3.42.0		N/A
com.google.cloud	sdk-platform-java-config	3.43.0		N/A
com.google.cloud	sdk-platform-java-config	3.44.0		N/A
com.google.cloud	sdk-platform-java-config	3.45.0		N/A
com.google.cloud	sdk-platform-java-config	3.45.1		N/A
com.google.cloud	sdk-platform-java-config	3.46.0		N/A
com.google.cloud	sdk-platform-java-config	3.46.1		N/A
com.google.cloud	sdk-platform-java-config	3.46.2		N/A
com.google.cloud	sdk-platform-java-config	3.46.3		N/A
com.idfy	rftsdktest	0.0.1		N/A
com.idfy	rftsdktest	0.0.2		N/A
com.io7m.smfj.jcanephora	io7m-smfj-jcanephora-tests	0.1.0		435558db39ceddd56acf4256e47a425ec7010cdb
com.isotrol.impe3	impe3-mapping-api	2.9.190		332b0e2106643598e4db4ba7a3d4b8434e1b2efc
com.isotrol.impe3	impe3-mapping-api	3.0.0		2f9be70a80094adc62c6704df1737ef3f228bfb1
com.isotrol.impe3	impe3-mapping-api	3.0.3		faca6d4e7fdd3616ee264415a04b2f56b3f8915b
com.isotrol.impe3	impe3-mapping-api	3.0.4		d5277306b66442324862deb172071aae6d49d61f
com.isotrol.impe3	impe3-mapping-api	3.0.5		e1c93345700470ac530f8a130cc06afb42251b85
com.isotrol.impe3	impe3-mapping-api	3.1.0		f394eeab8d29ae04219090537e434ab033a61f5a
com.isotrol.impe3	impe3-mapping-api	3.1.1		6ab28b974ef4e584817215da90898783ffe340d5
com.liferay	com.liferay.item.selector.url.web	1.0.0		19f74b80b15349201752cbacdf66e29f035242df
com.liferay	com.liferay.item.selector.url.web	2.0.0		3ab0cd49d9138c021e40f5eab28d124756fc764c
com.liferay	com.liferay.item.selector.url.web	2.0.1		8dc73d062cc595fd967fd113e5a797afd93226ab
com.liferay	com.liferay.item.selector.url.web	2.0.10		3f46e6c155a31143026bbce3e9911cefa0879cc1
com.liferay	com.liferay.item.selector.url.web	2.0.10	jspc	dc9333dac186cd5fd2a82af46b0a686c4395f0ae
com.liferay	com.liferay.item.selector.url.web	2.0.11		469742521c23aa3f1d7c35281bc38f88d393d043
com.liferay	com.liferay.item.selector.url.web	2.0.11	jspc	4512ab52bba36dab3f6ba316254fd95701fe5408
com.liferay	com.liferay.item.selector.url.web	2.0.12		da604374931f3a155beae4aa637fe26185afe933
com.liferay	com.liferay.item.selector.url.web	2.0.12	jspc	f4338fa4ab5e7fe4dd13ecd55208762c05a54bf8
com.liferay	com.liferay.item.selector.url.web	2.0.13		0fa0018255413316b5e011d95d9d6e4152264b76
com.liferay	com.liferay.item.selector.url.web	2.0.13	jspc	4304f13990cdc7e2a4cfa3c1900899d507314911
com.liferay	com.liferay.item.selector.url.web	2.0.14		a0a44a779f1d05dd638233fca64cf7bc16dd9fac
com.liferay	com.liferay.item.selector.url.web	2.0.14	jspc	ef57caa78cdd9afd4c28df187489969f74ddd58d
com.liferay	com.liferay.item.selector.url.web	2.0.15		4ca9ad41e674a9d1a3b86638bc246909fff177ca
com.liferay	com.liferay.item.selector.url.web	2.0.15	jspc	0ba6ff9c4ef0e57eda670d60699af3cd20ba5f58
com.liferay	com.liferay.item.selector.url.web	2.0.16		ee7d48d636d4f4d9760ab54ffc8ef332dd44f1b8
com.liferay	com.liferay.item.selector.url.web	2.0.16	jspc	30ca4e19692425cca0d06b1cb6026420730cb7c5
com.liferay	com.liferay.item.selector.url.web	2.0.17		6fdb9289ad127a54fab3e6e5282c522c216f7f53
com.liferay	com.liferay.item.selector.url.web	2.0.17	jspc	e0e1f5fa31b4a3c7b6c2eb8d718ce9ffcb754427
com.liferay	com.liferay.item.selector.url.web	2.0.18		341a4e92160b4d1bc7b86f2ddeda00561fe05802
com.liferay	com.liferay.item.selector.url.web	2.0.18	jspc	c4b010ef87d1534954f45c8edda06de90f3c9655
com.liferay	com.liferay.item.selector.url.web	2.0.19		e31967cad78562a90d7aed7acddaf4f3d4296764
com.liferay	com.liferay.item.selector.url.web	2.0.19	jspc	0aa55bea3be7099195a3b2da5d93af3b41b3896b
com.liferay	com.liferay.item.selector.url.web	2.0.2		8e142a8d093faeb200c76d3cfb836615046cffac
