biz.aQute	osgi.enroute.web.simple.provider	2.2.0		F373C59B2E7A4B2ECD33C6E0C17DE15F93546E31
co.fs2	fs2-core_0.27	2.4-1fc5930		7faf09ff048ea026caa1ea3ac0abbfb8faa22170
co.fs2	fs2-core_0.27	2.4-255d5cd		6008107bfc97ae246958d7323aa71f217d9f5968
co.fs2	fs2-core_0.27	2.4-2c6305e		53b2b9e9941123334da5ad8123f48dc6fc75de62
co.fs2	fs2-core_0.27	2.4-2d51981		219ebd7b86e86db3f46de88b890d3886ddb5bbac
co.fs2	fs2-core_0.27	2.4-2fe2518		b9ab74214b885949b963bcd8fb53c16161d2d4de
co.fs2	fs2-core_0.27	2.4-30a57b9		d14bc4c12cb3e76dda24dc8526a29b8a4a873b26
co.fs2	fs2-core_0.27	2.4-3411bc5		96cb95e6be0d6ecaeabc798f5bf175fb233387d6
co.fs2	fs2-core_0.27	2.4-35ba5da		f717889a870a19c1e7e3b1f565cb3ba0ef6a6ea8
co.fs2	fs2-core_0.27	2.4-3dea4bf		285c4463fa8cc3633c459b5a5f6bab6302a94690
co.fs2	fs2-core_0.27	2.4-42795dd		3a6f3891cc3d2045ab4d465ac3d72df2804b8ffd
co.fs2	fs2-core_0.27	2.4-42b3d0d		97daaed7f3033bc1fdcaf4719b741535e1044944
co.fs2	fs2-core_0.27	2.4-42b8876		4c31c11907a2e446097b84fbeed2060eb7cf12d1
co.fs2	fs2-core_0.27	2.4-43a0721		f2c4c29c4e1f4639e229cf80ace8e3d6e70cd499
co.fs2	fs2-core_0.27	2.4-5461f35		e7e8e45e1a64a44bc099ed4df6d7ad0b08081028
co.fs2	fs2-core_0.27	2.4-559c861		3d42d443ffb3cc28a211c89eda1fdc001de68229
co.fs2	fs2-core_0.27	2.4-5730e6e		a19b959d4ce95e94e7f5202b2388bdc0a325170e
co.fs2	fs2-core_0.27	2.4-58cbf86		8d9b5004eee64cfe9c22f3a7c6dd5ad9cbef078c
co.fs2	fs2-core_0.27	2.4-59006ce		38d90ddb987fa81a7a7ab0b0c7e4045ca0afd16e
co.fs2	fs2-core_0.27	2.4-5fc8de0		696eedaaee6c9dde170b26383636eada6a828f8a
co.fs2	fs2-core_0.27	2.4-676b2de		a36bc6fc8b350124370b0dd091f488bcff08df77
co.fs2	fs2-core_0.27	2.4-6aecba0		2e8a1dbebbbec3df2fd8de746bde528597fff6bc
co.fs2	fs2-core_0.27	2.4-6c35565		c111443262e54de3be9e92f2a9f73b098122ced1
co.fs2	fs2-core_0.27	2.4-708dd49		d424be78697a57bb979830f4a116511f6f40175b
co.fs2	fs2-core_0.27	2.4-71f938e		159b8d6f3d6f136d89b389ff6097d08e3e57bf16
co.fs2	fs2-core_0.27	2.4-72b47d9		2b2f6ec7b824f1a2be39086a6afbe82607762e5f
co.fs2	fs2-core_0.27	2.4-7382e69		1d8849a5238163fab243583b11ac5165ef83a27e
co.fs2	fs2-core_0.27	2.4-773fe74		5dd5cd832f003707087cb2ef9a074df8b157c322
co.fs2	fs2-core_0.27	2.4-7a3b858		ac9e387e29dbea05e532be57d462d4bd2d601601
co.fs2	fs2-core_0.27	2.4-7b28fee		fe3e5f227c679db74f9ffe84bfb0a4754250f6ea
co.fs2	fs2-core_0.27	2.4-7dcf028		78c4c8a5af89f03d5838832413d1b7eb5fad76b1
co.fs2	fs2-core_0.27	2.4-87f8361		b4141fe2ba5350494e3b3610347df7b823167e41
co.fs2	fs2-core_0.27	2.4-995d5d6		55c2121e2faca475cd0a2128100af67e1e4b197b
co.fs2	fs2-core_0.27	2.4-9cf1c25		a8608927afa1942008a2ed827ed4dca86654b076
co.fs2	fs2-core_0.27	2.4-a02957a		d2bb4a473d43052d83d3885e3bdd060844dcb5f9
co.fs2	fs2-core_0.27	2.4-a11eb33		535b8a02f01b2e41f93053b6c597180aae9e9e11
co.fs2	fs2-core_0.27	2.4-a87c970		0dd617625e189520a77e41dd6d0a3072ccd282b7
co.fs2	fs2-core_0.27	2.4-a9ff266		e493819242fcc27e4ee2220ee0d8fd96e1a172f5
co.fs2	fs2-core_0.27	2.4-b2f49e5		faeb04553d1aa5732af45fce22cbfb2285d6b393
co.fs2	fs2-core_0.27	2.4-bc3a1aa		7a7a03ab1d257a8ff78e812f51482c64b5fc84a6
co.fs2	fs2-core_0.27	2.4-bc3a967		66308c4eb038e48c79586858fefe63826cd6fa0e
co.fs2	fs2-core_0.27	2.4-c73acad		844f3aa849cbc6e0ed2c4df08e4fc5e41c9831f1
co.fs2	fs2-core_0.27	2.4-ca001f9		88ce415d3efd8a06e3e35d0725aae55487749bbc
co.fs2	fs2-core_0.27	2.4-cb7fa92		9931eeaef742ff63ee327a5645128dc228031066
co.fs2	fs2-core_0.27	2.4-cc9fba3		94e4a1b1ab522949d583f8153f948c56f20fce13
co.fs2	fs2-core_0.27	2.4-cecaf46		9924b9662da93da330e14bba06efacc134c7957a
co.fs2	fs2-core_0.27	2.4-cf47eef		c0ef4c8a93b10fd70ea3a91a211580c67fe7ddc2
co.fs2	fs2-core_0.27	2.4-d1ab4fa		50edba4dae8ddd0e9c7fc1afe75bef6ee05d9bf3
co.fs2	fs2-core_0.27	2.4-d204632		aeecf2e733569e8ffe311fd6f059420220ce3602
co.fs2	fs2-core_0.27	2.4-d6bd357		5e9f57fa1d68f12c308eabcc45b26cf5cf7f622a
co.fs2	fs2-core_0.27	2.4-e148c86		53bded3a1ae724a1cb6709a6b47025972a5f5da3
co.fs2	fs2-core_0.27	2.4-e1eb628		016b22a5ba8ce2876480dc68cb1223b43398889c
co.fs2	fs2-core_0.27	2.4-e50d6c5		44ba85993c108730851a1183b62ccbb3cdb77eef
co.fs2	fs2-core_0.27	2.4-f2b36a2		0ff66c17b390c5cde8a162511cf3b558f41a5333
co.fs2	fs2-core_0.27	2.5-089f71a		bc1eba245a2ec22c10038ceffc89bb516520802f
co.fs2	fs2-core_0.27	2.5-18-8b53db4		9c0816a0ba3db19796640bd1a49581f1c76a0540
co.fs2	fs2-core_0.27	2.5-20-a4be4f7		49977eaa4546ccfd768e9bece1133f05b567976f
co.fs2	fs2-core_0.27	2.5-22-5cea9be		e6b0ccb864d23386c5c7a17d0746273005b4b854
co.fs2	fs2-core_0.27	2.5-24-d5ab588		306858a1c5c72d41122aab99790a3759b88f5ede
co.fs2	fs2-core_0.27	2.5-28-a449123		2d56a67a783f76f02d0b77bdc03e276cea4aea2f
co.fs2	fs2-core_0.27	2.5-30-dd15d91		c25804ebe66d5914812375270635306f4f20a2ce
co.fs2	fs2-core_0.27	2.5-32-f908fc9		35308d7ad0c7bdfc0ec4668ddb8ea3810fd69ffa
co.fs2	fs2-core_0.27	2.5-33bc9c7		3cab856366b1d0b35580534d4f5b3a3e236151e5
co.fs2	fs2-core_0.27	2.5-6e32e73		8a6a5391555567b2775a1a83f8753615dc1623b5
co.fs2	fs2-core_0.27	2.5-766988d		9b401ecdac9d2d345792d0d2d46a21dc0260752f
co.fs2	fs2-core_0.27	2.5-8bf1517		2c7a698068717a97a7972848ff1672b0b1605863
co.fs2	fs2-core_0.27	2.5-90ea652		65033b8f1e96b1164c9450011e1e2a5b5bedf151
co.fs2	fs2-core_0.27	2.5-b7ff7aa		9d92037008d14182a003132182afed578c78f83d
co.fs2	fs2-core_0.27	2.5-bdc810b		05acc70f0b44d1cf7fc1308bd2f8201680eb862c
co.fs2	fs2-core_0.27	2.5.0-M1		f0b6ef301adf3d06a7fd0e85a3acaaeb7296cdfd
co.fs2	fs2-core_0.27	3.0-0289145		567a45ddc7b0330339e7ade11707ce77c70338c7
co.fs2	fs2-core_0.27	3.0-045ebbb		e571f569dfef4d76601047d418c80619339528da
co.fs2	fs2-core_0.27	3.0-047d51d		7b8706ac8c032512a2ddf863504e472a72e8c336
co.fs2	fs2-core_0.27	3.0-0591bb7		700560e3c066fe435385df53123faf820886a3ce
co.fs2	fs2-core_0.27	3.0-085e456		41e8ea3d473815a2f6344a717feaa46a371605ae
co.fs2	fs2-core_0.27	3.0-0ca6acd		82019e1a664b97976ecb7f756ebac9ec0e61524a
co.fs2	fs2-core_0.27	3.0-0dfc858		b5d29fe14b60862796b290291fbca9f48bb082da
co.fs2	fs2-core_0.27	3.0-0e26dbd		2d03a8bf9050598948d7e4d3f002f7d326e502ee
co.fs2	fs2-core_0.27	3.0-12e0bc0		4bf937658b5846ea422a0bb692f706c19b286731
co.fs2	fs2-core_0.27	3.0-164efcc		ddc9897f7e5cbcc693bcc55a6be240279f143642
co.fs2	fs2-core_0.27	3.0-1988212		68b67e7af1bf5cc6b44368d333df4f82defe627e
co.fs2	fs2-core_0.27	3.0-1df9440		25f612440fa34cb97a68005cab10e93670c9e17b
co.fs2	fs2-core_0.27	3.0-211a7df		196ef4bf29d96045bf6de5abbb4da1633e0f6ea3
co.fs2	fs2-core_0.27	3.0-23cbe2e		45d0abb60d113576d3cc90dddb16ba454c01f588
co.fs2	fs2-core_0.27	3.0-2420663		9021efe73ba6a28b29bb5f6181192b4be8eaf0b0
co.fs2	fs2-core_0.27	3.0-26c010f		0c447eb2aa544f438f9eee22a10e9b4fb2d11d3d
co.fs2	fs2-core_0.27	3.0-299a260		a788eca3ede918200d012e6ebad203e767097813
co.fs2	fs2-core_0.27	3.0-2a9f5d4		4ca78a20ac2f4f278ee9078a2022c3b3477be824
co.fs2	fs2-core_0.27	3.0-33717ac		fb6e367b8ad2176be4b8aef00657a70903e9749b
co.fs2	fs2-core_0.27	3.0-39cd17f		24850645f4d6110315f1a8c3fed947030bc8c018
co.fs2	fs2-core_0.27	3.0-3d80771		19fc106e5bcd3bbe724a92293296d7e3ce5a43dc
co.fs2	fs2-core_0.27	3.0-41a359d		21a96d687afe3b8c4c9fda599f1418340fcf2bca
co.fs2	fs2-core_0.27	3.0-472ffaf		f7399b03cdf7d4049531f0da2060946832b14eea
co.fs2	fs2-core_0.27	3.0-501ba3d		8082e7e4b80e5af23a078b7d09edf9843a4857e5
co.fs2	fs2-core_0.27	3.0-5158029		a2173f95bafd40c6023eb7ee93ca564e7ba9d0cf
co.fs2	fs2-core_0.27	3.0-51f9bf5		bcb8d418550cd1febb52903c2b694460fbafbe4b
co.fs2	fs2-core_0.27	3.0-56d8005		7f720f7bd58716015327e49f4a41c232a456ee95
co.fs2	fs2-core_0.27	3.0-5795280		41bc0407a9722468df8443967060c00e8af86481
co.fs2	fs2-core_0.27	3.0-603367c		6e6f0d147741163228caf708750a0715fa83a106
co.fs2	fs2-core_0.27	3.0-6ad6339		e6b3f2094346ba20e4eaf95cf41b9f856e4248f8
co.fs2	fs2-core_0.27	3.0-6aefadf		c74276a5737b53854bac1f3e6016d4ad98ecad37
co.fs2	fs2-core_0.27	3.0-6d55693		026a207d8021fe23494c2337447a0ab400a53d7f
co.fs2	fs2-core_0.27	3.0-6d9fecd		602743907cabcb75505258982e3bcb09b860b398
co.fs2	fs2-core_0.27	3.0-7440a4e		2bf96ce0ab32511f2e5b842988c2d36875ced85d
co.fs2	fs2-core_0.27	3.0-7d18a6e		31f64fa6b6b63d5e8b5d76e42f12a57a7073e07c
co.fs2	fs2-core_0.27	3.0-7d50d80		0983e1e24df984d5095bacf5bb0bea2e8ea587b6
co.fs2	fs2-core_0.27	3.0-7e19100		671abfb4f3145c52b0835c1603b1bdcd73912c7d
co.fs2	fs2-core_0.27	3.0-830d0c6		ef5d98661fe848a395c1a7f96128622d1213e250
co.fs2	fs2-core_0.27	3.0-8ddee2f		0936e40219b8bf2e8761e8bae23069add71b02a8
co.fs2	fs2-core_0.27	3.0-8e44251		1bcec875eb392d481800b2a4149b2070c3eac5db
co.fs2	fs2-core_0.27	3.0-9213a80		6dbb4485fd1f93c31cf07a12e5987730fc7c8df8
co.fs2	fs2-core_0.27	3.0-9d83065		b1186061d068daf847d8fab526dcbcf2287c128c
co.fs2	fs2-core_0.27	3.0-9d86994		d650fbd9d6599eb08b04562b9bc5dd4e259dd4db
co.fs2	fs2-core_0.27	3.0-a8f0cd8		d11f13218969b75a43f2843a61a5cde3a75742f9
co.fs2	fs2-core_0.27	3.0-ab44d2b		d10acc1cd28e5fceb2cbc990246283c25047eb4c
co.fs2	fs2-core_0.27	3.0-ac72373		7ed3eb773919577e3257743ef9807801c30973ce
co.fs2	fs2-core_0.27	3.0-b465a1c		4dc364c8282c297e251a827f9cec6a5c2bdf2d89
co.fs2	fs2-core_0.27	3.0-c40b2d0		325b42ef821f433f51986f33edc124f75e9e7057
co.fs2	fs2-core_0.27	3.0-c44258a		26b5a069bbb465b359a1f0a46a0ac37e2f2fbd41
co.fs2	fs2-core_0.27	3.0-c5c790d		701b57e093db335ac380f89d2f692df37127de84
co.fs2	fs2-core_0.27	3.0-c6cbc65		9eaf8e29b28a35ea279120c0557388a86baf2961
co.fs2	fs2-core_0.27	3.0-cb6c0f1		770f41698bf14437a3c4acb6c775533d915f603a
co.fs2	fs2-core_0.27	3.0-cd73a32		b681a34995fcf0c57aa7ff2bcab672d66d3028b2
co.fs2	fs2-core_0.27	3.0-cdf1f50		1c081cdcf48accd0c258684e946eec91fc50521f
co.fs2	fs2-core_0.27	3.0-d07d4d4		8c59bae2983c35e6292732edc7b2b64428fbf3e1
co.fs2	fs2-core_0.27	3.0-d1f7d52		1eff23d746fabdcf3222f37e35c1583a8ec6529f
co.fs2	fs2-core_0.27	3.0-dc65d2b		9aaf20f47612db6c14471ec5bbf28bb704d6283f
co.fs2	fs2-core_0.27	3.0-e03233e		704a6193a663ac501c42f226241814f2cda7989c
co.fs2	fs2-core_0.27	3.0-e30ee9a		b587595be9c4f0d01ff8bcd94df8ebb70b407441
co.fs2	fs2-core_0.27	3.0-eb1c3c3		ea0993e39cdf9a3c86c7eb39a5934d43ce6f9b88
co.fs2	fs2-core_0.27	3.0-ef221c8		d1f01611b54f0befc562fa336dc7ba696ffb6d78
co.fs2	fs2-core_0.27	3.0-f37da33		60c191eeb79bd09159dda32e1a03fe30d489221b
co.fs2	fs2-core_0.27	3.0-fc6b8a9		3ad372c4ff1b9c9b7646c170a482944c8ad63084
co.fs2	fs2-core_0.27	3.0-fe9753c		4ab8aaaf06944287ca111a64908f46c046e4df61
co.fs2	fs2-core_0.27	3.0.0-M1		2e06bae9d96c5268f0ec9d8f9e4b2ad2b62da664
co.fs2	fs2-core_0.27	3.0.0-M2		27492c229690200e9f7f29e36466a7babe0bfb35
co.fs2	fs2-core_0.27	3.0.0-M3		35edddaa9cd529596795147bd0480a481ee073b4
com.applovin.mediation	amazon-publisher-services-adapter	9.2.1.1		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.2.1.2		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.2.2.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.2.2.1		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.3.0.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.3.0.1		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.3.0.2		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.4.2.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.4.2.1		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.4.2.2		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.4.3.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.4.3.1		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.4.3.2		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.1.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.1.1		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.2.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.2.1		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.2.2		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.2.3		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.4.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.4.1		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.4.2		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.6.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.6.1		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.5.7.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.6.2.0		N/A
com.applovin.mediation	amazon-publisher-services-adapter	9.6.2.1		N/A
com.arasthel.navigation	navigation-processor	1.0.0		0dc224654d2cad7b688bec20c3ed7858c581bc6f
com.arasthel.navigation	navigation-processor	1.0.1		80ac5b3af4849d4f11fcfedea645366f86fe1d45
com.arasthel.navigation	navigation-processor	1.0.10		41809d9b3eabbbd94911027150af08cfb060ef42
com.arasthel.navigation	navigation-processor	1.0.11		3f29625af0eb2c7be350e4435f6b961d3c6539a7
com.arasthel.navigation	navigation-processor	1.0.13		50d8fcce8042c047dc2b5000aedb483c3958254b
com.arasthel.navigation	navigation-processor	1.0.14		f1771ca06ded36a215860e17bff6210b1e3f3eb4
com.arasthel.navigation	navigation-processor	1.0.15		3f0952ebb6e7545b72f0beb2ccb04c693f573983
com.arasthel.navigation	navigation-processor	1.0.16		7ea4c103dd48270c31b00eba0450605561e94fc4
com.arasthel.navigation	navigation-processor	1.0.17		2963d529777aacefa5c921b222ac5044050549de
com.arasthel.navigation	navigation-processor	1.0.18		ce8de08f0aac793d75d7cafc2edb49f5e200570d
com.arasthel.navigation	navigation-processor	1.0.19		186d110b1ce3725cccf449d86f00fa6007c05161
com.arasthel.navigation	navigation-processor	1.0.2		ab11724249951d2e661c73ebcd6f0c210adb68f4
com.arasthel.navigation	navigation-processor	1.0.20		d3b1930a8e629e4e8694342087f9a5755a8853a3
com.arasthel.navigation	navigation-processor	1.0.3		72c55b1cd36f77a3cc1d04fb894f36d6c60e69a1
com.arasthel.navigation	navigation-processor	1.0.4		fd9ed9427db1b5cd90e9e9aedda1e0205c01ebd6
com.arasthel.navigation	navigation-processor	1.0.5		77dbe2318acc726f8d94ca8b61219d33f3c80200
com.arasthel.navigation	navigation-processor	1.0.6		2ededa9aedd123716ae8271c8d185f578373f52c
com.arasthel.navigation	navigation-processor	1.0.7		4d6090e20792120f3a5d566b43f3f2760b1e020d
com.arasthel.navigation	navigation-processor	1.0.8		7c9101c6add54fe0df54aa7e78005ab7809809f3
com.arasthel.navigation	navigation-processor	1.0.9		f63ea4c5cfe0dbc4163b967639f728b71bdfde84
com.danhaywood.mavenmixin	jettyconsole	0.0.1		N/A
com.danhaywood.mavenmixin	jettyconsole	0.0.2		N/A
com.envisioniot	event-base	1.0		N/A
com.ethlo.kfka	kfka-http	0.3		f2652968bba9dd594e4b4a9cb931bbc1f81fff9e
com.ethlo.kfka	kfka-http	0.3.1		e93725002dc31f95e0446f7fb1e63797b8a9fd1c
com.ethlo.kfka	kfka-http	0.4.0		f365280c163e98b4dd51f1493cc0ba0b4e735204
com.fizzed	shmemj-linux-riscv64	0.0.2		1827a967098bbc2852f2876cd01ff921328027fa
com.github.grimmjo	jaxrs-analyzer-gradle-plugin	0.1		11d43c12678e55b681628d0759b19120b8739b91
com.github.grimmjo	jaxrs-analyzer-gradle-plugin	0.2		a9fdf588b23541e79b1d56786339a2b6bd89ca58
com.github.grimmjo	jaxrs-analyzer-gradle-plugin	0.3		20895aecce507ba34b06e22da809637b8e05d114
com.github.hadilq	android-lifecycle-handler-android	0.4.0		N/A
com.github.hadilq	android-lifecycle-handler-android	0.4.1		N/A
com.github.hadilq	android-lifecycle-handler-android	0.4.2		N/A
com.github.hadilq	android-lifecycle-handler-android	0.4.3		N/A
com.github.houbb	sandglass-client	1.0.0		N/A
com.github.houbb	sandglass-client	1.3.0		N/A
com.github.houbb	sandglass-client	1.4.0		N/A
com.github.houbb	sandglass-client	1.5.0		N/A
com.github.japgolly.microlibs	test-util_2.11	1.1		7759b92ebf5990e33048c221636b30d53f008977
com.github.japgolly.microlibs	test-util_2.11	1.10		7e66de19b33b4dc6ba28332f9c1bb445eaea3b7e
com.github.japgolly.microlibs	test-util_2.11	1.11		ece4f8667085737bc549a41b1945f54ad1eef397
com.github.japgolly.microlibs	test-util_2.11	1.12		2c3f3edab15bdd227977d23b44f8764b993de80c
com.github.japgolly.microlibs	test-util_2.11	1.13		397e55c6e5d448af986272e05223e985f7bee30b
com.github.japgolly.microlibs	test-util_2.11	1.14		cadf69fea13a14a341bde9aeb9778cf81ee1e5f7
com.github.japgolly.microlibs	test-util_2.11	1.15		214045e3046dd49286ebde3b021479232b362a96
com.github.japgolly.microlibs	test-util_2.11	1.16		4dc42059c4d35417af03c81ee8cbfa2b33d991e9
com.github.japgolly.microlibs	test-util_2.11	1.17		63b4b41cebe7ae0bbfc259a1d0cb73729fb83db1
com.github.japgolly.microlibs	test-util_2.11	1.18		bb05e94047242b0045624b142e1a7f8169ba2484
com.github.japgolly.microlibs	test-util_2.11	1.19		a4001090bb1da2f9c8927435a0de29a906ad9fcf
com.github.japgolly.microlibs	test-util_2.11	1.2		f9f9643c8d2ea69bddb47e64a0e9bc102b17b1a7
com.github.japgolly.microlibs	test-util_2.11	1.20		cda343c82a19870ccee4160088bdcb1ad2030ada
com.github.japgolly.microlibs	test-util_2.11	1.3		603263fc9c59d45bc1417e65cb227e80eb7a78d6
com.github.japgolly.microlibs	test-util_2.11	1.4		7e04c8b999dd96ba183aa2a5f7d6d73b3462f485
com.github.japgolly.microlibs	test-util_2.11	1.5		558aa61a8fdbc08907179282bc3b1ead94266fcf
com.github.japgolly.microlibs	test-util_2.11	1.6		7f32fe789312acddb9ab8420c46546fc7792b82a
com.github.japgolly.microlibs	test-util_2.11	1.7		780060ccd2b7ae4a59320a4ba2ff817cee5ff2d5
com.github.japgolly.microlibs	test-util_2.11	1.8		61d64cbe8b550115a2a278e9f9832bb430ec913a
com.github.japgolly.microlibs	test-util_2.11	1.9		a7191be1cc88de75b58b6db10bdff8014844378e
com.inkapplications.glassconsole	structures-linuxarm64	0.10.0		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.11.1		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.11.2		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.12.3		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.12.4		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.13.0		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.14.0		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.15.1		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.16.0		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.17.0		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.17.1		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.7.4		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.8.0		N/A
com.inkapplications.glassconsole	structures-linuxarm64	0.9.0		N/A
com.intoverflow.booster	booster-generator	1.1.1		dff546219c83ce4a628147df23e12e0e42880ec5
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-alpha.1		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-alpha.1	metadata	1a515e637e33f804f79381f1011cafcb25eb9562
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-alpha.2		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-alpha.2	metadata	c47996c61b9acccb3aea7be1d5c90049a9ae7d9d
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-alpha.3		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-alpha.3	metadata	df6fd5ed6242b735c2e115d5d15f1c767c7554a8
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-alpha.4		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-alpha.4	metadata	3f415ca904fd21f656d3f747877a3222ae7bca98
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.1		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.1	metadata	b91789d972f17dfe49b45308fe1f1451d9687d90
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.2		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.2	metadata	5fbf895bbb105f23cdcfe5b4966210d6d2ba217c
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.3		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.3	metadata	45c1a30e9db5a202dee43893cb41571ad0bf5988
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.4		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.4	metadata	31d18f3de5d01bfd441e3c40b6580dea9740f53a
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.5		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.5	metadata	e00e32853fae9cefbc00a08953312fc4b567550a
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.6		N/A
com.javiersc.semantic-versioning	semantic-versioning-core-macosx64	0.1.0-beta.6	metadata	2bc299cd48a167f18136ecf77917fd9cc8885de9
com.kunminx.arch	binding-state	5.3.0		N/A
com.kunminx.arch	binding-state	5.4.0		N/A
com.kunminx.arch	binding-state	5.5.0		N/A
com.kunminx.arch	binding-state	5.6.0		N/A
com.kunminx.arch	binding-state	6.0.0		N/A
com.kunminx.arch	binding-state	6.2.0		N/A
com.lordofthejars	nosqlunit-vault	1.0.0		c7411e078a9c2be9eac00d62436e064d99758d74
com.lordofthejars	nosqlunit-vault	1.0.0-rc.3		54ce8213572b5394bfd5d897b40d0e166d89bd17
