at.bestsolution.efxclipse.ide	org.eclipse.fx.ide.l10n	2.4.0		f42e96b1062f865296a0ef45d53f2f59638d4d45
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.0-snapshot.20220331.9659.0.4bf0de89		655ec7dd99f5709727d79fd85e1d62153101cbe5
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.0-snapshot.20220404.9660.0.4b71431b		655ec7dd99f5709727d79fd85e1d62153101cbe5
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.0-snapshot.20220405.9667.0.17bca6b1		655ec7dd99f5709727d79fd85e1d62153101cbe5
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.0-snapshot.20220406.9678.0.ef3c5d4e		972288b6d61ff3157bf73d0e90f93097bf005cb5
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.0-snapshot.20220407.9685.0.7ed507cf		6e4067e432f1af8d9b873032931c683c5c504a4a
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.0-snapshot.20220409.9691.0.7eccdfab		6e4067e432f1af8d9b873032931c683c5c504a4a
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.0-snapshot.20220411.9707.0.f6fed6ea		6e4067e432f1af8d9b873032931c683c5c504a4a
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.1		655ec7dd99f5709727d79fd85e1d62153101cbe5
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.2-snapshot.20230421.9663.0.66e7657c		655ec7dd99f5709727d79fd85e1d62153101cbe5
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.1.2-snapshot.20230505.9664.0.f49b4f17		655ec7dd99f5709727d79fd85e1d62153101cbe5
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0		8beed62dcc93914d94cebe52e6a5591cb7fae824
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-adhoc.20240830.12942.0.v3e4e9451		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-adhoc.20240926.12977.0.vf09a26b8		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-adhoc.20240930.12985.0.v0bdf66d5		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-adhoc.20241003.12993.0.va759f925		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-adhoc.20241008.12997.0.v9ba70c83		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-adhoc.20241009.13006.0.v20f6fb6c		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-adhoc.20241029.13035.0.v7977e389		006d78974543ef04421269cc5061693815efe670
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-adhoc.20241031.13042.0.v386ef7fb		006d78974543ef04421269cc5061693815efe670
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-adhoc.20241212.13143.0.vdbbc65bd		006d78974543ef04421269cc5061693815efe670
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240620.12856.0.v6dca8f13		54da00ccae67a20fb7d0217f09c5e4e64471f373
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240621.12858.0.v69032bec		54da00ccae67a20fb7d0217f09c5e4e64471f373
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240624.12860.0.v89a57673		54da00ccae67a20fb7d0217f09c5e4e64471f373
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240625.12862.0.v525059bd		54da00ccae67a20fb7d0217f09c5e4e64471f373
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240626.12863.0.v0dd3ff7a		54da00ccae67a20fb7d0217f09c5e4e64471f373
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240627.12866.0.v1b779380		54da00ccae67a20fb7d0217f09c5e4e64471f373
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240628.12867.0.v53e86a7d		3a0c5dc3a2b6a96766530684592fbccdd1cbe25a
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240701.12869.0.v4fda922b		3a0c5dc3a2b6a96766530684592fbccdd1cbe25a
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240702.12870.0.vad7e96c5		3a0c5dc3a2b6a96766530684592fbccdd1cbe25a
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240703.12873.0.vf7419f57		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240705.12877.0.v924a1f35		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240705.12878.0.vdad6987d		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240708.12879.0.vf67d8519		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240708.12883.0.v00a0c804		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240709.12884.0.v2a1c56cf		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240710.12887.0.v4fa4f3b7		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240711.12891.0.v2c3ad8f7		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240715.12892.0.v4ae1ae43		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240716.12893.0.v672e6a67		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240717.12894.0.v12701aca		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240718.12895.0.v0f0dbf7c		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240719.12899.0.veadcd58c		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240722.12903.0.vb94f2695		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240723.12906.0.vdd916f3d		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240724.12908.0.v0f1b48fb		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.10.0-snapshot.20240725.12909.0.v3500e776		08ecec2a33b98e13ace9cb1e19ff4600ac4be4e8
