ch.admin.bit.jeap	jeap-central-publishing-maven-plugin	0.7.0.1		a8acf8589153660895afc691fb7f076993dfb209
com.buralotech.oss.springboot.memcached	memcached-spring-boot	1.3.2		N/A
com.consoliads	consoliadsinapp	"""1.1.3"""		N/A
com.consoliads	consoliadsinapp	"""1.1.4"""		N/A
com.consoliads	consoliadsinapp	"""1.1.5"""		N/A
com.consoliads	consoliadsinapp	1.1.6		N/A
com.consoliads	consoliadsinapp	11.0.1		N/A
com.consoliads	consoliadsinapp	11.0.2		N/A
com.consoliads	consoliadsinapp	11.0.6		N/A
com.consoliads	consoliadsinapp	11.0.7		N/A
com.consoliads	consoliadsinapp	v1.1.4		N/A
com.consoliads	consoliadsinapp	v1.1.4.0		N/A
com.contentgrid.starter	contentgrid-spring-boot-autoconfigure	0.1.0		cc5395fb83a5ef304822435f01143968467a55d8
com.genexus.android	CoreUserControls	2.0.3		N/A
com.genexus.android	CoreUserControls	2.0.4		N/A
com.genexus.android	CoreUserControls	2.1.0		N/A
com.genexus.android	CoreUserControls	2.1.1		N/A
com.genexus.android	CoreUserControls	2.1.2		N/A
com.genexus.android	CoreUserControls	2.2.0		N/A
com.genexus.android	CoreUserControls	2.2.1		N/A
com.genexus.android	CoreUserControls	2.2.2		N/A
com.genexus.android	CoreUserControls	2.2.3		N/A
com.genexus.android	CoreUserControls	2.3.0		N/A
com.genexus.android	CoreUserControls	2.3.1		N/A
com.genexus.android	CoreUserControls	2.3.3		N/A
com.genexus.android	CoreUserControls	2.3.4		N/A
com.genexus.android	CoreUserControls	2.3.5		N/A
com.genexus.android	CoreUserControls	2.3.6		N/A
com.genexus.android	CoreUserControls	2.4.0		N/A
com.genexus.android	CoreUserControls	2.4.1		N/A
com.genexus.android	CoreUserControls	2.4.3		N/A
com.genexus.android	CoreUserControls	2.5.0		N/A
com.genexus.android	CoreUserControls	2.5.1		N/A
com.genexus.android	CoreUserControls	2.5.2		N/A
com.genexus.android	CoreUserControls	2.5.3		N/A
com.genexus.android	CoreUserControls	2.5.4		N/A
com.genexus.android	CoreUserControls	2.5.5		N/A
com.github.e-rikov	relistview	1.0.0		N/A
com.github.e-rikov	relistview	1.0.1		N/A
com.github.e-rikov	relistview	1.0.2		N/A
com.github.easy-develop	argument-parser	1.0.0		5837e841514c05ff39fe741bde0ffcab22781023
com.github.easy-develop	argument-parser	1.0.1		a1a803a96d57f2beb1109731fb30111b6478035d
com.github.finagle	finch-arrows-json-test_2.12	0.23.0		335e9bc7d67ec8dbc9ee1364460536b2c1db6cab
com.github.finagle	finch-arrows-json-test_2.12	0.24.0		b5de2c35d62fdcbe7af9fb346f84f5a50b196517
com.github.gphat	censorinus_2.12	2.1.10		6bcae12bb6ed9a8598f68c54cfc3d81cc664b802
com.github.gphat	censorinus_2.12	2.1.11		49723bae16f3c2ffb14332ddf987753234ad1bfe
com.github.gphat	censorinus_2.12	2.1.12		6c86f3f7c39abd48119d8fd01d4d1ab19534a86a
com.github.gphat	censorinus_2.12	2.1.13		cb24b4c8bc3eb76c83f530ce82dce1196d2feebc
com.github.gphat	censorinus_2.12	2.1.14		b705ae59bbbf798d2f970aa774ad89e1c7cb01dc
com.github.gphat	censorinus_2.12	2.1.15		c786c364c0a758c74053669ade3f43002562eb3a
com.github.gphat	censorinus_2.12	2.1.16		f73d6096ffb8d21a6a24e3ce6aabbeeb270979ec
com.github.gphat	censorinus_2.12	2.1.6		d81a4f6094093955ec7671ba77551a332ba8705b
com.github.gphat	censorinus_2.12	2.1.7		2655736a44c29fe323d769bc0f30548e90125204
com.github.gphat	censorinus_2.12	2.1.8		109333e06d51fe9a79db28ca5c966d211a82b04e
com.github.gphat	censorinus_2.12	2.1.9		9e1344e320ca5063e7e257f5c406e954eff796b3
com.github.homeant	data-shield-spring-boot-starter	1.0-BATE		b212d7ef3cc56cdf776fe65c180a183e7f0fa176
com.github.homeant	data-shield-spring-boot-starter	1.0-RELEASE		3dd4ce417c1157b7740a9d2696f1198f18e3a46e
com.github.japgolly.microlibs	scalaz-ext_3.0.0-RC1	2.6-RC1		6ca127422ab867a44a913639136fe006bba53f61
com.github.japgolly.microlibs	scalaz-ext_3.0.0-RC1	2.6-RC2		3c6f6ad9e65ff8c40cf0b16bdae1011d77ad3d60
com.github.jershell	rjpath-wasm-js	1.0.1		N/A
com.github.jershell	rjpath-wasm-js	1.1.0		N/A
com.github.jershell	rjpath-wasm-js	1.1.1		N/A
com.github.jkutner	env-keystore	0.1.0		f1c27c3d3275595cf1180cef04f2a137999208e1
com.github.jkutner	env-keystore	0.1.1		067a2f00e00e6b5b8f8783c179c0c234424e8f26
com.github.jkutner	env-keystore	0.1.2		d98100cbd969d8af1ed7c267935fd7e84eac57f2
com.github.jkutner	env-keystore	0.1.3		b62e208ea0b946544519cf75bf08fab4bc308a67
com.github.keim-hs-esslingen.efs	demo-consumer-service	1.0.0		c3319d0be24f0f9ca4c3083ed4980e8255a5ad5e
com.github.ptgoetz	storm-jms	0.1.0		fb82e5ca5d8bba3b84e6823544eadf40b0984e2b
com.github.ptgoetz	storm-jms	0.2.0		fe9352def1aad55ca39c5f7ef7b76435fc3dffb1
com.github.ptgoetz	storm-jms	0.2.1		af41a377f5f006d19d44b9043f8ebe9dbde6aa6a
com.github.ptgoetz	storm-jms	0.8.1		02c14451f78f2c295b688c7bebf530d3d1b1031b
com.github.ptgoetz	storm-jms	0.9.0		653064dda69f0fe22d4505ce207dedc5032eecbe
com.github.ptgoetz	storm-jms	1.0.2		9aec85183c5a99aeb400cea241e067602ff6413d
com.github.rustock0	fuzzy	1.0		0c6dc084492bdc45136bebaf07cdf5da978a7c3c
com.github.rustock0	fuzzy	1.1		cd4714e8ab3d475ce8936f4f2ecc4c7781da53b8
com.github.srimaddy	projectname	0.0.10		N/A
com.github.xenoby	javalib_native0.3.6-16-g2519ab6690_2.11	0.3.6-16-g2519ab6690		df02e80bd4ab7b1f687b83ce10680c78f83b1d0a
com.github.xiongxcodes	haohope-dependencies	1.0.0-releases		N/A
com.github.xiongxcodes	haohope-dependencies	1.0.1-RELEASES		N/A
com.github.zhongl	akka-stream-netty-core_2.13	0.1.10		a235a4544d135e8b3643b4a1b6c03aab4b6926e9
com.github.zhongl	akka-stream-netty-core_2.13	0.1.11		94f1d6267603420a7901c9382107b8249df43e64
com.github.zhongl	akka-stream-netty-core_2.13	0.1.12		25e2b9285048e0cc3b6da38fe3f8c569ba2fc184
com.github.zhongl	akka-stream-netty-core_2.13	0.1.13		3721da5883e286f9f33947b1192de171a38389ed
com.github.zhongl	akka-stream-netty-core_2.13	0.1.14		c874685ec8396242cb36762b61f74a6d8506ff71
com.github.zhongl	akka-stream-netty-core_2.13	0.1.15		08db01a99447c450db780d01a15d1ce3163d2554
com.github.zhongl	akka-stream-netty-core_2.13	0.1.16		d25a084ffc096d64150fd50bf0b9f1308709de6a
com.github.zhongl	akka-stream-netty-core_2.13	0.1.17		b7c4f7e0517bc60261feb00b1978de5e09194262
com.github.zhongl	akka-stream-netty-core_2.13	0.1.18		04186bb3854fdeb7bc3076e946977caa1b6dd663
com.github.zhongl	akka-stream-netty-core_2.13	0.1.4		cb5f13cf5c94821bfd91b74da4cfa8a1acbae7b4
com.github.zhongl	akka-stream-netty-core_2.13	0.1.5		4be8415ce816c9dfb50315194d81e3cb3a981ca6
com.github.zhongl	akka-stream-netty-core_2.13	0.1.6		56e5c543e3c225d6b404dab90b89f148e1a82ce6
com.github.zhongl	akka-stream-netty-core_2.13	0.1.7		4becca5f993560046b0c65a6b48f10a53cb77cda
com.github.zhongl	akka-stream-netty-core_2.13	0.1.8		f73f98ef41e0b48e8a17320c19d1a6b2b66b141c
com.github.zhongl	akka-stream-netty-core_2.13	0.1.9		70f04e51a03c206311dc325909aa6598a4e19fc8
com.google.cloud	google-cloud-life-sciences	0.1.0		fa2d9e7bb6964db926d907675a844ce8933df83f
com.google.cloud	google-cloud-life-sciences	0.1.1		013f7376a4657c2693be9fc7af1870b2a9859835
com.google.cloud	google-cloud-life-sciences	0.10.0		55c3e203a3c855ae249418035449629647df3ffe
com.google.cloud	google-cloud-life-sciences	0.11.0		19f8a02807a917b8de539bef8272c33dc7d57abf
com.google.cloud	google-cloud-life-sciences	0.12.0		e8b811a19837685299013147da08f68630474bc0
com.google.cloud	google-cloud-life-sciences	0.13.0		3b89c2c3fe241846fa3dfb4705b977c54d090b53
com.google.cloud	google-cloud-life-sciences	0.14.0		ce0bc9f6e24639feb5a124402266ccffc8f8a4da
com.google.cloud	google-cloud-life-sciences	0.15.0		aa8b6bdec4ec4d175aa383feb7f1d84d5f68cac1
com.google.cloud	google-cloud-life-sciences	0.16.0		310f2b8194306ab00ef7192b1935e4433eca10ea
com.google.cloud	google-cloud-life-sciences	0.17.0		cf882f1644cb42c189cb39418fed6c97635178e1
com.google.cloud	google-cloud-life-sciences	0.18.0		9da52564f6e0402f9ecc208c8f0446f7a6f78c61
com.google.cloud	google-cloud-life-sciences	0.19.0		fe4392f9700c64f58b4795d57b95c4917d271f04
com.google.cloud	google-cloud-life-sciences	0.2.0		a32b1c50448a29cd6a71658f7c7821adf08f4050
com.google.cloud	google-cloud-life-sciences	0.2.1		6238eebd5f97130e1bef7ff864a02e33812f712a
com.google.cloud	google-cloud-life-sciences	0.2.2		c8b6f845191ddb1e151de8945245989cd65a2802
com.google.cloud	google-cloud-life-sciences	0.20.0		1b4d1ec8d11d673ad384a4a274e60584abeb8e78
com.google.cloud	google-cloud-life-sciences	0.21.0		7b23a365cb25fd9be39f0511f2d22f9f336f2bdd
com.google.cloud	google-cloud-life-sciences	0.22.0		a95a87102561ca0e5095084a5861d43ba37c9eb5
com.google.cloud	google-cloud-life-sciences	0.23.0		8ea9c834322f26588d51ef579daa44e0682ddf2e
com.google.cloud	google-cloud-life-sciences	0.24.0		b584bfc9a9e7aeb468f06fa60234a99fb23e4c02
com.google.cloud	google-cloud-life-sciences	0.25.0		5e7faac4355e453254d8aa3614d0adeb58c8e139
com.google.cloud	google-cloud-life-sciences	0.26.0		5ac1e95e911bb693c4eb111bd9b7cd7f98a632b7
com.google.cloud	google-cloud-life-sciences	0.29.0		5671aeb22c7b9b29aae21be26726f6ef1f92f249
com.google.cloud	google-cloud-life-sciences	0.3.0		493672d29a12eeccefee3e89ceb673030347407d
com.google.cloud	google-cloud-life-sciences	0.3.1		aa223b63b8755bbacc2ff79c3cd0a111356fdb72
com.google.cloud	google-cloud-life-sciences	0.3.10		4a11f2cb863709a7801de6fe726e91b5adb5f126
com.google.cloud	google-cloud-life-sciences	0.3.2		a407320a39435d90d3e06adb43c29bb32109b346
com.google.cloud	google-cloud-life-sciences	0.3.3		540e29f5cf65bbc805080dad3cfcbb7a97ee8da3
com.google.cloud	google-cloud-life-sciences	0.3.4		294fcb6ece83ebe8c547083d11ff1f4b666b89e6
com.google.cloud	google-cloud-life-sciences	0.3.5		b8f833da41d00f0667ab7de58add9e80aa3d677d
com.google.cloud	google-cloud-life-sciences	0.3.6		32a6801d1460b412f424e5e95b00e2d93542a63a
com.google.cloud	google-cloud-life-sciences	0.3.7		25c23b82efde34d499787f9decc324a061c9eb59
com.google.cloud	google-cloud-life-sciences	0.3.8		211e8ca9509f8adb867129f73fe5f6f6fadce713
com.google.cloud	google-cloud-life-sciences	0.3.9		db40d70a746921c7e42c2cb7e4c559c8850e0b69
com.google.cloud	google-cloud-life-sciences	0.30.0		f64e57c0f25bc90e470dca527272e0bf1245c4f2
com.google.cloud	google-cloud-life-sciences	0.31.0		370981e25f93b7141794281af6249affc6528581
com.google.cloud	google-cloud-life-sciences	0.32.0		caea70272269dd94e5c0f5192338a70918c87a00
com.google.cloud	google-cloud-life-sciences	0.33.0		ab68b0f463f610988c148e0d49cc73aaa718593f
com.google.cloud	google-cloud-life-sciences	0.34.0		bb6a07f3c68a8d868408c56932447297ae257cfc
com.google.cloud	google-cloud-life-sciences	0.35.0		8b336e9f9eb55b25e8b0f28962b29f1d898d88cb
com.google.cloud	google-cloud-life-sciences	0.36.0		7127f0d70c5f9fff6ebded8858997a5967656385
com.google.cloud	google-cloud-life-sciences	0.37.0		61056e558cd8b8f500a77f237e17ab1187c29ff9
com.google.cloud	google-cloud-life-sciences	0.38.0		0c0c1fd9b94c57a1279603c04bab112eb2b5f488
com.google.cloud	google-cloud-life-sciences	0.39.0		382aaaac28666cc46cf6f26c24890835b9ce0314
com.google.cloud	google-cloud-life-sciences	0.4.0		b9cb4d1a39e93285caf7dbb2c917c17252235b6d
com.google.cloud	google-cloud-life-sciences	0.4.1		76a7ce58c2c620aa171b9a8dbb7b84c8cf111b65
com.google.cloud	google-cloud-life-sciences	0.40.0		09a3d8fdd61f356d7052ef65f4ee0e88727610f7
com.google.cloud	google-cloud-life-sciences	0.41.0		5824d76c5d409319d1a7035eea8c9d547f9234b2
com.google.cloud	google-cloud-life-sciences	0.42.0		464aa48d430d134278a92adc798883d4f5ae55f1
com.google.cloud	google-cloud-life-sciences	0.43.0		d51110ab1f93c27e9d371067cdf0348f6974ce9d
com.google.cloud	google-cloud-life-sciences	0.44.0		420f697e75faf82d23c04b055c4c03b1b6e91542
com.google.cloud	google-cloud-life-sciences	0.45.0		39a7a22d78d5595179c9e4fd20d84c8e0d3b8437
com.google.cloud	google-cloud-life-sciences	0.46.0		f19265fe1e06c6b715d4146b491a4191839c2d0a
com.google.cloud	google-cloud-life-sciences	0.47.0		dfc41bbd2d32bc4d9f4de0c2c2b67087bb3edbe7
com.google.cloud	google-cloud-life-sciences	0.48.0		12a4674cd8dcabe785dbe1685543bc80a633724a
com.google.cloud	google-cloud-life-sciences	0.49.0		f96892ceb6523849ebe236b4a697577a575a98fc
com.google.cloud	google-cloud-life-sciences	0.5.0		53dc50c6a56320f090ef61115500513a50b675d7
com.google.cloud	google-cloud-life-sciences	0.5.2		298f6ed380e7073e8708a303ac82ee9c83c85707
com.google.cloud	google-cloud-life-sciences	0.5.4		2acc9f81a7577e928f1d7c607c39f4cbd4cad1e0
com.google.cloud	google-cloud-life-sciences	0.5.5		ab40e4b61fca08257bf519cb92786f851444b366
com.google.cloud	google-cloud-life-sciences	0.5.7		629cd9bd1e410786a334d8a06b09af99f62f5634
com.google.cloud	google-cloud-life-sciences	0.50.0		28fefcd28a3fe9f28b33c84d662c723d73d40e43
com.google.cloud	google-cloud-life-sciences	0.51.0		5311cea37160d2f82e6b72fbf17fa8b60c8fcc68
com.google.cloud	google-cloud-life-sciences	0.53.0		1d51c9d5244b580a69bd90747f9c09c2fe38f807
com.google.cloud	google-cloud-life-sciences	0.54.0		17db6746b775a8ed7800b56fe67f3f54d56b958b
com.google.cloud	google-cloud-life-sciences	0.55.0		955cad454cc5baafbbece5108870ede9eed7264b
com.google.cloud	google-cloud-life-sciences	0.56.0		65f6577594a36d9f119b0efbf7ba2ffc6b1b7fe1
com.google.cloud	google-cloud-life-sciences	0.57.0		c443fc8c3fd1c7b24595f2764328cafb1d8c042e
com.google.cloud	google-cloud-life-sciences	0.58.0		bb3c9118394cc56d9437b417abe7e158cbfa4be7
com.google.cloud	google-cloud-life-sciences	0.59.0		25d3bcb24c8d568647b5f27788aa9175aca5fbfc
com.google.cloud	google-cloud-life-sciences	0.6.0		eca0275e0e71e9f151e75738deea26d3974ba887
com.google.cloud	google-cloud-life-sciences	0.60.0		70db1527eb63cc4b9a8b2e4172c576b0b6c98bab
com.google.cloud	google-cloud-life-sciences	0.61.0		47ecff789c1895793263cc95caa09d40e75533a0
com.google.cloud	google-cloud-life-sciences	0.62.0		b2876f4d808acc1f368889c695e4775bd837fbbc
com.google.cloud	google-cloud-life-sciences	0.63.0		7496a8addbddcbb80cf8d563be79834fcd442662
com.google.cloud	google-cloud-life-sciences	0.64.0		bec74346758e3c4d52469fdc1bbe2cb43bb769ce
com.google.cloud	google-cloud-life-sciences	0.65.0		7c1c4f202fed4a8b6d39f568e7dbc62430662836
com.google.cloud	google-cloud-life-sciences	0.7.0		c5ba316eb389056e23ea368ec3c46dbd496bea13
com.google.cloud	google-cloud-life-sciences	0.8.0		edb23ada2bd8cd47b7cbea242e6d11f5442bc062
com.google.cloud	google-cloud-life-sciences	0.9.0		78da84c37a43834a4a60dcb94a4eb850a76bb673
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.0		d491d7ff99d7a8b7a9beed52a616a99812417d9e
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.1		d4849512bcb359edeaa6f586e9e3f51993bb6c8f
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.10		1c4d98d3fdda4f459943433404b1d9ed719e9245
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.11		646b68c34ad2be31a9d9eae7fa8403264b0e1c02
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.12		241f05dc9c602ec0d7b560f4a028ddd3f7f611c1
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.13		70dc41220d4620a2b8557eb43e13f5d280ddce62
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.14		e7f6beb032b377b845e4dbc32395b7f536a339a4
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.15		fd6f83c2946e46d9d75fb56eebc9842f642bdbbc
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.15	jspc	da19366edd44faad11d4d40df202ad8b6c796192
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.16		618ee983c741048bc7bb68d7ee264c7ccfeed106
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.16	jspc	4e4cbcc23e80767aa8d457cb9d42c10d9bcc9b50
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.17		6f73314ed215fbe20db64cd887490f83ae0c81ab
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.17	jspc	5cf435b66111b622a2a998e829b2c34bda47f8fa
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.18		4369d4114cb2e45739b6d6f27c15cac43676ab0d
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.18	jspc	da81f9aae4d2f6beab9ca62ec41c43711a7fef0f
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.19		e78a7eb5138ab1c9597026b3dcb40a8df74c298f
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.19	jspc	6a3eb4e3506534c4bd1c7a999884175d94e3cb35
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.2		4ddf8c7936b6675b1c5c2947bc34db9a6b80c040
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.20		7ae66587efcea7c93ac55a178d17b0599a26e1a4
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.20	jspc	38b9f80057f4998372eece0842a344fbbc41ac07
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.21		a324104538fb03ef37c077d4f1ea2c3b68950f0b
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.21	jspc	b350b9f7462678cf7eb8a38be48a0e71e5480ff9
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.22		0bbe9e492d9e37e77da032fdf9a778e367f87ef1
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.22	jspc	2b91df222d6e7557a6cad1a425b7509b2dd1d514
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.23		1b51768d392425596f5ce726fec02a6faecac433
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.23	jspc	3722efe3258d3f67a5c75d7f6992228269e15bd6
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.24		9da1ec14bdace8dfc99a5f6b1d62b1492a5ded05
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.24	jspc	f8c523bda539ec852034ee44088e86da45c88d54
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.25		dc3a746eb17b3e8362881e449550d226b9382ad1
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.25	jspc	900279dcf2a49f4c7c6ae7a6109fa0d66b2bed92
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.26		3eed0568837dc82116304b72a915f9365c5fd5ef
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.26	jspc	2c80a130b7d58d0c7836ee83f5009569d6e42e4a
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.27		8f50debe27c64113bab51c0530837e3c3ac452c9
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.27	jspc	68bfb2d959b1dfbef052c55a7a8f1d6034ed21ab
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.28		5f1136cbb33bb79d56ee247357a9cf980590b254
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.28	jspc	ad29895e1052f49ce924e444afd77b7bfb573dfd
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.29		5e807da646453674a819b4bfc8b1f739b0b19904
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.29	jspc	53c92353dc88bdefd1880b5018e98fd5dd58d2ba
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.3		34cf781cd6095917e81b7cf8f0b9c04af84b3bda
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.30		be5a476b0d69df93ca860e72434ddba5c607ee0c
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.30	jspc	c981060977595ccb9ae9d4c2495546be7f013234
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.31		33b83ad47ab9c6e47ea31f4b9055ee825437cc09
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.31	jspc	d6eec00dc43409857504b8226647670d941fad63
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.32		b898a6be846b7df7b431e5bc6b757d2c8ae6f26f
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.32	jspc	dd39f888d3151577fd1accbbb9729b738d5e15a5
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.33		c45fe94d48e96e617c977a90dd153745b6cd37ca
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.33	jspc	67a7a9fd44b9cebd5f34f937575ea751a522b058
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.34		e22b0939bfd4bed63e77592f02e52b7093f9246c
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.34	jspc	d3ceb7f54a72e4b7ba89cc24856480e5c4bb59d7
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.35		2d76d65b1aa9202b3c92d5fa86dec1b29d3d3190
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.35	jspc	25e12c3b82d4333d034e0af421a1f7ee07aba9bf
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.36		648fd996f9c54a0e393c8597666a4c882d207585
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.36	jspc	24d68ce6c74b4fa366a3edb1dc665c89b12c40c4
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.37		8a036729df59f74632a24fe77ddb0f8dc88df94f
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.37	jspc	d44077b9aed442ce61111c79cbe959dbbc55d00a
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.38		d0cf1afbbf16a51b0bcdd8d69b27c6bb6b69dfff
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.38	jspc	263b2c32c38af1e2d480605a1da4310d603d1725
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.39		41665368e110d7b4c57afa4120c05f61ee7a4f28
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.39	jspc	240e20e6fe7eaf13c81a2f31b03f400cf9ae7eb0
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.4		04e9355ef9548509f393b38d59aad162c258ca23
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.40		15686769e83278d576db656281021779fe09d786
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.40	jspc	96ab1d03509ddb3c3131fd7dface347e09458884
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.41		165e09f7c18a1049560b270d6962e100293304a5
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.41	jspc	524f72c1c31ccb1c9b547f7fa66b680a31a5300b
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.42		ff4bbb35e3a17eb7232a7bdb38afe653fd508c68
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.42	jspc	ab946baae779b22d14bc0b6a3f25ac8abd0596ad
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.43		96907162043fe348abed048bc3a04f585bf94e85
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.43	jspc	752c7436add30d507703a1bc37826c15160e27f0
com.liferay	com.liferay.content.dashboard.document.library.impl	1.0.44		f048bf5d89d544cf864acb1dce43f07dc1c3a69a
