ca.stellardrift.guice-backport	guice-bom	5.0.1		N/A
cn.herodotus.engine	message-sdk-websocket	3.0.2.0		1926d600ebb52fb367b60725f705b87d2499bbd2
cn.herodotus.engine	message-sdk-websocket	3.0.2.1		33785f407bdd29ad37ecbf264e9da22ad975cf83
cn.herodotus.engine	message-sdk-websocket	3.0.2.2		ec5bfa7c7708325a56ebc9ab460ec6a5f2e2c9d9
cn.herodotus.engine	message-sdk-websocket	3.0.2.3		6b88a5846ddf55bbe0e01a642e9d651dcfdb13c2
cn.herodotus.engine	message-sdk-websocket	3.0.3.0		f89e7457c19645c2d296376dfe9ff55e167fc62f
cn.herodotus.engine	message-sdk-websocket	3.0.4.0		2752c3a84787d712b8ef077639d4c2069e8d7973
cn.herodotus.engine	message-sdk-websocket	3.0.4.1		9613133562a088af811dd2fd3b549ca0e719caa6
cn.herodotus.engine	message-sdk-websocket	3.0.4.2		32aa34c560a7d8fff05b5ea0e65d75ce52761083
cn.herodotus.engine	message-sdk-websocket	3.0.5.0		783c017e6ababbedbd2efbdca66dc01fa1f7843a
cn.herodotus.engine	message-sdk-websocket	3.0.5.1		8a49d9f2d10ccd6e6634ad52e131434791bfcdaf
cn.herodotus.engine	message-sdk-websocket	3.0.5.2		5c129201eb4b4abb555d0ffe101625d4e6b3ecb1
cn.herodotus.engine	message-sdk-websocket	3.0.5.3		77571b8fadad77235b8ee78a8a84514d48fa87df
cn.herodotus.engine	message-sdk-websocket	3.0.5.4		f2898dcc46a23d24f7257302028715d08ad6e1cd
cn.herodotus.engine	message-sdk-websocket	3.0.5.5		4024a90f51f9d4a883d7f85f97ca1b19121cf970
cn.herodotus.engine	message-sdk-websocket	3.0.6.0		40fd544e87a73a865b47942efe2347fda5afa346
cn.herodotus.engine	message-sdk-websocket	3.0.6.1		939dad672404268837909dffbb9ad6046050579d
cn.herodotus.engine	message-sdk-websocket	3.0.6.2		38d3a85fda82c7be54752c2f3d390fbf6b3cb670
cn.herodotus.engine	message-sdk-websocket	3.0.6.3		c33d56dc5141e435f9fce84181ed429898cc2caf
cn.herodotus.engine	message-sdk-websocket	3.0.6.4		3d2343b43eec48103f7ddcb533966db00d4048cd
cn.herodotus.engine	message-sdk-websocket	3.0.7.0		4655e7b02555eae4791ceb8029652dc085a33970
cn.herodotus.engine	message-sdk-websocket	3.1.0.0		b549517c94148e1cae3837857326011d4ad4d6b6
cn.herodotus.engine	message-sdk-websocket	3.1.0.1		8ae14f3f74012befdbfad68dc653461cca22e603
cn.herodotus.engine	message-sdk-websocket	3.1.0.2		13f4052b3af712f012d9a903bd264eecaa4b6f9a
cn.herodotus.engine	message-sdk-websocket	3.1.0.3		5568d97631d6b5754825dc1b26065bf00353d3cf
cn.herodotus.engine	message-sdk-websocket	3.1.0.4		20eacde8231e19a21be3fd3dbd6ef12488afcd85
cn.herodotus.engine	message-sdk-websocket	3.1.0.5		140bb3c64ecdf3bf726544ac8dc3e2c800b1be0e
cn.herodotus.engine	message-sdk-websocket	3.1.0.6		32d4624e7e1b8b64379e410ba439192f01873445
cn.herodotus.engine	message-sdk-websocket	3.1.0.7		995687cd88937daa458e1540ae2c8650371992d2
cn.herodotus.engine	message-sdk-websocket	3.1.0.8		0cc600020e4b33686de13bfa26e566277f4c2c51
cn.herodotus.engine	message-sdk-websocket	3.1.1.0		4d652f8b887e6546ab00328dcb0870f42e978d1e
cn.herodotus.engine	message-sdk-websocket	3.1.1.1		24d35042ed4f9735b012ac1f5a5757e95201a72e
cn.herodotus.engine	message-sdk-websocket	3.1.1.2		a09b85f5c6b8c55c3a7e7393e140deef81223f74
cn.herodotus.engine	message-sdk-websocket	3.1.1.3		c59d64f1c7437dd2fded885de7395599ff5e5ffa
cn.herodotus.engine	message-sdk-websocket	3.1.10.0		19c6b4a5ac1d75edcc05c639377d9026e7937ad0
cn.herodotus.engine	message-sdk-websocket	3.1.10.1		01f1dd532914c0079446e44aaf384599fa1962e0
cn.herodotus.engine	message-sdk-websocket	3.1.10.2		b677a5ce904a8d85dd479a6c1242a2112c9ba7bd
cn.herodotus.engine	message-sdk-websocket	3.1.11.0		4a84fe7e3e9a31e650dd349133c135547695c9d9
cn.herodotus.engine	message-sdk-websocket	3.1.11.1		9b16e66c2aebf48a110ea8ab387124b364111435
cn.herodotus.engine	message-sdk-websocket	3.1.11.2		9a96ae1f44ad302ffde70919b330754c6926637b
cn.herodotus.engine	message-sdk-websocket	3.1.11.3		7083de7c8b3a17814b786c5d1cd45de7ccbcdf3f
cn.herodotus.engine	message-sdk-websocket	3.1.12.0-Final		e67b56f70d8886d609af3b230d7b3e26959313b7
cn.herodotus.engine	message-sdk-websocket	3.1.2.0		db10817a364b5132c248a6248c28c0122b6bf2bb
cn.herodotus.engine	message-sdk-websocket	3.1.2.1		dcbdc23485937aa257f681c3f6c3f72c85f578dd
cn.herodotus.engine	message-sdk-websocket	3.1.2.2		a507e96cf32898b68a3badd1b487a9ab9c8cbf00
cn.herodotus.engine	message-sdk-websocket	3.1.2.3		09efbe9b9a60eebd4672d1efe806c468be1f39f5
cn.herodotus.engine	message-sdk-websocket	3.1.2.4		b072c68d421089712b090b27ec61170a2c9735a3
cn.herodotus.engine	message-sdk-websocket	3.1.3.0		6d706f6518db54a61074755989538e94358d681c
cn.herodotus.engine	message-sdk-websocket	3.1.3.1		b9f3f7349ddd9e6fa598bc6a792aa7265a684f5f
cn.herodotus.engine	message-sdk-websocket	3.1.3.2		ea902144ad8b4d3f3fa3e952eccc9bdf07712e11
cn.herodotus.engine	message-sdk-websocket	3.1.3.3		7a463d7ff57443870acb581c7216a0b56aca3422
cn.herodotus.engine	message-sdk-websocket	3.1.3.4		f9ed5d717bc7af37720435d068d913bac1f680b7
cn.herodotus.engine	message-sdk-websocket	3.1.3.5		bb3d2a2164ef898d49bebe2c1aff73906f287d7a
cn.herodotus.engine	message-sdk-websocket	3.1.3.6		e2ea674f6049bdb193cdc964272183997182ccd7
cn.herodotus.engine	message-sdk-websocket	3.1.4.0		f40987620a0aa299fa9bcda64164a3345619e91c
cn.herodotus.engine	message-sdk-websocket	3.1.4.1		6d855f2d06e64b7a93588a77303b6e02b7624c3c
cn.herodotus.engine	message-sdk-websocket	3.1.4.2		ad7fb7de9037502f070eb30bd178709da91bc2d8
cn.herodotus.engine	message-sdk-websocket	3.1.4.3		5699a279fedb2ac77fe45275808299ff06743571
cn.herodotus.engine	message-sdk-websocket	3.1.5.0		21ceab74cfd533906413fc2b701716e619cd5e7b
cn.herodotus.engine	message-sdk-websocket	3.1.5.1		b796943b739680cbe8c1ab5b868be8f1717a6cb7
cn.herodotus.engine	message-sdk-websocket	3.1.5.2		6cbb44422c33bdca7360b734c5bcbd99010f49de
cn.herodotus.engine	message-sdk-websocket	3.1.5.3		aada48f420990327e22c89ee5aa003abb0e4a8d5
cn.herodotus.engine	message-sdk-websocket	3.1.5.4		d81834c99d789b9b688105a19e2036716bd68cae
cn.herodotus.engine	message-sdk-websocket	3.1.5.5		7468c2b4e2e43aaac7b7a3559cd9d79a360d9f56
cn.herodotus.engine	message-sdk-websocket	3.1.5.6		ed44ddcba08abb64d5322528c7344e71a24e0d2d
cn.herodotus.engine	message-sdk-websocket	3.1.5.7		d3804dce1e20bfcb8e53688fe496e3819c046e2c
cn.herodotus.engine	message-sdk-websocket	3.1.5.8		270541bd9d601a1dc3245a0a4ad03db4ee780ecc
cn.herodotus.engine	message-sdk-websocket	3.1.6.0		aa8aee702edb588987d6597cf8bb054e98fe5a13
cn.herodotus.engine	message-sdk-websocket	3.1.6.1		8f94e9ad4228ebe4d5adcae7574e9b408304a568
cn.herodotus.engine	message-sdk-websocket	3.1.6.2		2711043eda8ad88b64fd38ffbb71b3df5e08345c
cn.herodotus.engine	message-sdk-websocket	3.1.6.3		f07ec47d13b8dea05a2fb470ea2b51e60661e1c3
cn.herodotus.engine	message-sdk-websocket	3.1.7.0		331df49faf84ee61fc8ad6a2454954b083f3fa33
cn.herodotus.engine	message-sdk-websocket	3.1.7.1		006c937ce4e9251aff7055a80d34e24611032e08
cn.herodotus.engine	message-sdk-websocket	3.1.7.2		f276acea344b3efd119a380444c314013f8868c2
cn.herodotus.engine	message-sdk-websocket	3.1.7.3		34c43574826b8dcbfc4dff05e4f54205c573c541
cn.herodotus.engine	message-sdk-websocket	3.1.7.4		4e1b8cae93a954a910ce2e738c7b0edbd49a86be
cn.herodotus.engine	message-sdk-websocket	3.1.7.5		94b73190adcb054d589966455f6f6c633c725a14
cn.herodotus.engine	message-sdk-websocket	3.1.8.0		73aac12ded2a5349489f8994c77461ca22a03969
cn.herodotus.engine	message-sdk-websocket	3.1.8.1		dea6b7842a681d4d9375e5d5474f07821ed6944e
cn.herodotus.engine	message-sdk-websocket	3.1.8.2		10b7fc2cab223277ac4d8e309c9d5c0f5f168edc
cn.herodotus.engine	message-sdk-websocket	3.1.8.3		aedf01bedd941d6291c5191edaa1d38ca5b06606
cn.herodotus.engine	message-sdk-websocket	3.1.8.4		8eea20974ea05a934361c7dedd5162f8e1e12a59
cn.herodotus.engine	message-sdk-websocket	3.1.9.0		2e7705534714ed08ae7adf0fc846b855ed6b4c71
cn.herodotus.engine	message-sdk-websocket	3.1.9.1		2e109014da3ed03924f8eb47f71310464c14fbbf
cn.herodotus.engine	message-sdk-websocket	3.1.9.2		6d21d85f1874f83d7083d12e48db371a1e897a9e
cn.herodotus.engine	message-sdk-websocket	3.2.0-RC1		ad799b03ef9c50d06f2b5afa818804f7a8bcad21
cn.herodotus.engine	message-sdk-websocket	3.2.0-RC2		ea7f07510a1e0bac16fa8ab64944413f2383ae6a
cn.herodotus.engine	message-sdk-websocket	3.2.0-RC3		5cded18acebed7bb143f8a5bb3b09bc2e160b691
cn.herodotus.engine	message-sdk-websocket	3.2.0.0		a89b85c58e688071db55efcffe31bb9e674397a8
cn.herodotus.engine	message-sdk-websocket	3.2.0.1		1254b9c1e2932a7899854f9449cd72d80a5b933c
cn.herodotus.engine	message-sdk-websocket	3.2.0.2		63ec695c8dbfe4696e01e6b3b9b59ee61904a65c
cn.herodotus.engine	message-sdk-websocket	3.2.1.0		2f106d7cb8ef2df5f58d5890c26fcc5aeb75695a
cn.herodotus.engine	message-sdk-websocket	3.2.1.1		52b4904c27a915a2fa59763b57b6fa15a2df3d4d
cn.herodotus.engine	message-sdk-websocket	3.2.1.2		58c75e6c2387909a31b74d2697344ca0670ed460
cn.herodotus.engine	message-sdk-websocket	3.2.1.3		dfc01ba56b6d4b0b860218158a8f72485ba1da20
cn.herodotus.engine	message-sdk-websocket	3.2.1.4		6b9f71be38a98e2f62cdeeb2e291efdc853fe30a
cn.herodotus.engine	message-sdk-websocket	3.2.1.5		d531d9d8de45bb97a59e4bd1cbd53e468b114cf5
cn.herodotus.engine	message-sdk-websocket	3.2.1.6		1b4c57197d42465ae96f6d8d5817b5b77b4e597d
cn.herodotus.engine	message-sdk-websocket	3.2.1.7		40c8a00f859b1253d8041febd31439312c524629
cn.herodotus.engine	message-sdk-websocket	3.2.2.0		55ddcc61c7b19dc3008d6c4dc759a21acbc3b7e7
cn.herodotus.engine	message-sdk-websocket	3.2.2.1		29d66883630a3ec1ccf9d3ff495716f9b7848f66
cn.herodotus.engine	message-sdk-websocket	3.2.2.2		46091cd99a2a190ab61d46cb9943dc2a8736585c
cn.herodotus.engine	message-sdk-websocket	3.2.2.3		f8073d0117b38e063d22c6cbb47b5edd9954fad1
cn.herodotus.engine	message-sdk-websocket	3.2.3.0		c018bf53647b7c967f9b64f7c3700ac7e2ed30b5
cn.herodotus.engine	message-sdk-websocket	3.2.3.1		5513c3c0335ceb8221b2513315ed0ba7adaa13a1
cn.herodotus.engine	message-sdk-websocket	3.2.3.2		24493e45aebc1be848231b1f05784d824d2ad635
cn.herodotus.engine	message-sdk-websocket	3.2.3.3		9de66b9ae18aba31721748e0e8877d1b23dd4e43
cn.herodotus.engine	message-sdk-websocket	3.2.4.0		9b43c1d42802ff7e0a4a85319516463183483f7f
cn.herodotus.engine	message-sdk-websocket	3.2.4.1		b8702788924b34bee53534a3d958f8562851e213
cn.herodotus.engine	message-sdk-websocket	3.2.4.2		2cd3ee90202661b6b2e866ae9550d2cd1bc72d89
cn.herodotus.engine	message-sdk-websocket	3.2.4.3		8db4b56af530b50afd675ca9bef78f1ec6ab8285
cn.herodotus.engine	message-sdk-websocket	3.2.5.0		fff5dea6a859452d01e43645dad395d5e29b2b74
cn.herodotus.engine	message-sdk-websocket	3.2.5.1		021305039672bf240b4a685dcfd5da185890d6e7
cn.herodotus.engine	message-sdk-websocket	3.2.5.2		721c056c1d59e3078ea0389ffcfc18afdf405f6e
cn.herodotus.engine	message-sdk-websocket	3.2.5.3		ea32b5c28323d14735f2a92c19fcd2365f614cdd
cn.herodotus.engine	message-sdk-websocket	3.2.5.4		79531320ad6f8d452b63887223383f798be2a430
cn.herodotus.engine	message-sdk-websocket	3.2.6.0		dc0588fce33a2dd3544d25dcb0edb3c3f4d8472b
cn.herodotus.engine	message-sdk-websocket	3.3.0.0		48e4448a6d462d4287ff85228b230346d57ca115
cn.herodotus.engine	message-sdk-websocket	3.3.0.1		8477a427f2593e9d262706f7ced6e80c996d719a
cn.herodotus.engine	message-sdk-websocket	3.3.0.2		e8d1e1216cd7ddf84f7d04de4025f772297962b5
cn.herodotus.engine	message-sdk-websocket	3.3.0.3		24f992e56b79c37b75fee2b24dc3b7f97a5b98b1
cn.herodotus.engine	message-sdk-websocket	3.3.0.4		95ef373e6301d1b777bedef2d0d1897c6290e272
cn.herodotus.engine	message-sdk-websocket	3.3.0.5		42567df2a11b47231622d6ccc42eb7f6649eda44
cn.herodotus.engine	message-sdk-websocket	3.3.0.6		f1be714223f0e6295aa5de7330fb3d2cb44fe457
cn.herodotus.engine	message-sdk-websocket	3.3.1.0		9b0aaf2d03f4561650b3d25469523d62a825a4da
