biz.netcentric.cq.tools.aemmjml	aemmjml-all-package	0.1.0		N/A
com.episode6.redux	side-effects-iosarm64	1.0.0	metadata	1f00b6ade975529d9a2109bb7a984b4d843cd83f
com.episode6.redux	side-effects-iosarm64	1.0.0-alpha03		N/A
com.episode6.redux	side-effects-iosarm64	1.0.0-alpha03	metadata	2ba474a568259b64e4edbe096aa1eeaa8cbec55b
com.episode6.redux	side-effects-iosarm64	1.0.0-beta01		N/A
com.episode6.redux	side-effects-iosarm64	1.0.0-beta01	metadata	97cc91227db9ece007239c61ae70a7e477c00bd5
com.episode6.redux	side-effects-iosarm64	1.0.1		N/A
com.episode6.redux	side-effects-iosarm64	1.0.1	metadata	a1cef69a7703ce11112b9c32732dee56d21ae17b
com.farao-community.farao	farao-crac-file-xlsx-afs	1.0.0		6a448f94adb635132dd4ba1930d8156be15fcf94
com.farao-community.farao	farao-crac-file-xlsx-afs	1.0.1		1c040ece7081b03132ace23b6fe143363392fea0
com.farao-community.farao	farao-crac-file-xlsx-afs	1.0.2		2288592cdc622eb14b3047dfe19a5ad957d532b0
com.farao-community.farao	farao-crac-file-xlsx-afs	1.1.0		b1938448283dffb2ad38fd1193dd1e25dc7a55f0
com.farao-community.farao	farao-crac-file-xlsx-afs	1.2.0		e68a520bb994f07c436da81d915ad355481d2b87
com.farao-community.farao	farao-sensitivity-computation-server	0.0.2		32a36a2fc9d1cc9249853896c1e7b63180c2f333
com.farao-community.farao	farao-sensitivity-computation-server	1.0.0		83937239e55f610d0c82a2ece6160da4001325d7
com.farao-community.farao	farao-sensitivity-computation-server	1.1.0		1d19819b8d590ff82bb2ca34be60eb7c4ab3b49c
com.fizzgate	fizz-plugin-ip	2.3.4-beta2		3f49d0299dd37d24931182f23d7c7946ee544ed3
com.fizzgate	fizz-plugin-ip	2.7.1		9282043aaef6229c90d2c74d8f3a00ee398a26b4
com.github.houbbbbb	sso-spring-boot-starter	0.0.1		24d76a5617ee5f6e7623ce3bf15ace7433333dae
com.github.houbbbbb	sso-spring-boot-starter	0.0.1	exec	0e6aa3090bb986ccb0a3d486d8be21e94f39a28f
com.github.houbbbbb	sso-spring-boot-starter	0.0.2		01611d82d070c343fe0202d07ac0e606c5f37f1b
com.github.houbbbbb	sso-spring-boot-starter	0.0.2	exec	10032be5ebfb22e544207f03100ca5cfbac8d142
com.github.houbbbbb	sso-spring-boot-starter	0.0.3		8086b245abc2aa883aa5cd54329ec085ed6391bb
com.github.houbbbbb	sso-spring-boot-starter	0.0.3	exec	7cfbd3b381b58d55f329a156fd25690e8a977ef5
com.github.houbbbbb	sso-spring-boot-starter	0.0.4		b72e0bcf09f4a245a5acc42dd65aa7c93a7f0b5c
com.github.houbbbbb	sso-spring-boot-starter	0.0.4	exec	24c9c1dd4ecf0bb58b4d8e9185d1c2d2101ea839
com.github.houbbbbb	sso-spring-boot-starter	0.0.5		4b1a444dae7e5f2ad741dc04d01a283710d7fc7e
com.github.houbbbbb	sso-spring-boot-starter	0.0.5	exec	2ae997b47091cea1bcd37f8b907ffff85472bc4b
com.github.houbbbbb	sso-spring-boot-starter	0.0.6		22eeed18429dd98db0cec510dcd063fc68051d2e
com.github.houbbbbb	sso-spring-boot-starter	0.0.6	exec	368bcb2ef8264ce6d528a232ff2dba6ec2b341e8
com.github.houbbbbb	sso-spring-boot-starter	0.0.7		4579a8b220eafd20df4f2ace49beaa2e3cdf3623
com.github.houbbbbb	sso-spring-boot-starter	0.0.7	exec	9dd6c39ad447955cc7d71798a19532936ffa5539
com.github.houbbbbb	sso-spring-boot-starter	0.0.8		e65c8f652861de38c7a3c9ad08837989f4fe5094
com.github.houbbbbb	sso-spring-boot-starter	0.0.8	exec	1154addb0cf902c518283db334fbf5aff60091d0
com.github.houbbbbb	sso-spring-boot-starter	0.0.9		c357a3175e60f4f25c709195c660e8f90f51d355
com.github.houbbbbb	sso-spring-boot-starter	0.0.9	exec	be2c8cd8a7c6ebaf1b5928c231f3f65be60a1b6b
com.github.houbbbbb	sso-spring-boot-starter	0.1.0		5a607189bc67ab2a989d0396a23fd27050fe5b26
com.github.houbbbbb	sso-spring-boot-starter	0.1.0	exec	5f3fad01e1028ee5c6d8ac98c804d1fc9b23b629
com.github.houbbbbb	sso-spring-boot-starter	0.1.1		24e3506ff53a95e0420e2901d67d9849bffd475c
com.github.houbbbbb	sso-spring-boot-starter	0.1.1	exec	ed029b937f5e72e9063c09ff7037bdcac21d7d4e
com.github.houbbbbb	sso-spring-boot-starter	0.1.2		8c52fe8029d7f2519cb140f2240c4506d4c0e100
com.github.houbbbbb	sso-spring-boot-starter	0.1.2	exec	ccb5c7867e6a1763121c2e2988bcb11d583d6461
com.github.houbbbbb	sso-spring-boot-starter	0.1.3		f77b3f11a5714ea1004f700bfd3b2552b089cba0
com.github.houbbbbb	sso-spring-boot-starter	0.1.3	exec	db6b870d69499c26424487c9b2cdfa67496bef3f
com.github.houbbbbb	sso-spring-boot-starter	0.1.4		c3b7bc9f2cea80113db66426da827f52cfaffb52
com.github.houbbbbb	sso-spring-boot-starter	0.1.4	exec	69aff6d0183d0ff104ff0ef6ffd2f5c97acc5815
com.github.houbbbbb	sso-spring-boot-starter	0.1.5		d131f6045f635d550c5611b11295948c6b2f579c
com.github.houbbbbb	sso-spring-boot-starter	0.1.5	exec	6fe8b1a33d4725fe84a1fd15f4061d7f6693a347
com.github.houbbbbb	sso-spring-boot-starter	0.1.7		b43e7c42067ca5e5e4310b7733c5ffda2fd02b4e
com.github.houbbbbb	sso-spring-boot-starter	0.1.7	exec	e3b44186753ac9984d3bef6138b56ea57c8a953f
com.github.houbbbbb	sso-spring-boot-starter	0.1.8		ef8fbf6fda5bcf3248923069edec2394ede13427
com.github.houbbbbb	sso-spring-boot-starter	0.1.8	exec	dc3e22b94841cf36e8a6c69ee5a0c3b0fc450afe
com.github.houbbbbb	sso-spring-boot-starter	0.1.9		63c5a16ec635866862ecb7d8430df1ce6a8baf3b
com.github.houbbbbb	sso-spring-boot-starter	0.1.9	exec	bcc159ce09267b1001bc0e243916d8d17cb60c78
com.github.houbbbbb	sso-spring-boot-starter	0.2.0		3cb01b375af9050e1987f011d1d3a946535ed751
com.github.houbbbbb	sso-spring-boot-starter	0.2.0	exec	4116f060aab87dcfd17cbc47345421d0564af9e0
com.github.houbbbbb	sso-spring-boot-starter	0.2.1		0e7471191e026612b0c64946ca4ec254ff94e2ee
com.github.houbbbbb	sso-spring-boot-starter	0.2.1	exec	a842f820528c24478ee5efc893f987bb8cb4b646
com.github.houbbbbb	sso-spring-boot-starter	0.2.2		a09fa07cde0127e8e01ed4be93b648efb766f9da
com.github.houbbbbb	sso-spring-boot-starter	0.2.2	exec	d62924daa80ea28fdc7457dbbad8c02416350a43
com.github.houbbbbb	sso-spring-boot-starter	0.2.3		69cd036475a5dd778fe4c16419022b1358028d0e
com.github.houbbbbb	sso-spring-boot-starter	0.2.3	exec	b11a152a13f291c2ec4cc3b9ed76b56247f759e8
com.github.houbbbbb	sso-spring-boot-starter	0.2.4		a9229c4fe45354412135daa421489076ce18b3dd
com.github.houbbbbb	sso-spring-boot-starter	0.2.4	exec	1f103df010dfabd9ff64cca0af8149026f244fc1
com.github.houbbbbb	sso-spring-boot-starter	0.2.5		0cb19af3497cb8760d78b43ef29791feef5fa56d
com.github.houbbbbb	sso-spring-boot-starter	0.2.5	exec	0cf8667fea923734355e18404494d52a97ac8899
com.github.houbbbbb	sso-spring-boot-starter	0.2.6		d0d725aabbf08056b0e43219d0f7d49328c9769c
com.github.houbbbbb	sso-spring-boot-starter	0.2.6	exec	c7cf0716084ea68ba9bb47e266e103800def6232
com.github.houbbbbb	sso-spring-boot-starter	0.2.8		f4dd32ce5fc9e6801b160884e37ca51e83eb0ef5
com.github.houbbbbb	sso-spring-boot-starter	0.2.8	exec	e3cc9d6257a429dae2dc49ff258322f9e2eea56c
com.github.houbbbbb	sso-spring-boot-starter	0.2.9		ae512c18f187dd2daa94b5d7c866770bfcc37828
com.github.houbbbbb	sso-spring-boot-starter	0.2.9	exec	d1a0c74db05692ebb1f527364a1f25c9015edaa5
com.github.houbbbbb	sso-spring-boot-starter	0.3.0		dc927b21c5f4334369690bd62433f55a4cffc079
com.github.houbbbbb	sso-spring-boot-starter	0.3.0	exec	b13f184104e5900d9ea93ba43d00008bdcfd23aa
com.github.houbbbbb	sso-spring-boot-starter	0.3.5		9a14a7d154a7176edb32692125dda8f8dccd25e4
com.github.houbbbbb	sso-spring-boot-starter	0.3.5	exec	950cc22a093fd1ce1304a26b646dd2a56b7378dc
com.github.houbbbbb	sso-spring-boot-starter	0.3.6		c8aac2840b084118b41bac1adcbcfca031667b7a
com.github.houbbbbb	sso-spring-boot-starter	0.3.6	exec	251c974773c4c0a324d2a7801b50f252df742c04
com.github.houbbbbb	sso-spring-boot-starter	0.4.6		ea72994fa614e335fd2e19441312c06265e770cf
com.github.houbbbbb	sso-spring-boot-starter	0.4.6	exec	85e1f052c202188c217b3a8f9f2c35d6e4ba44af
com.github.houbbbbb	sso-spring-boot-starter	0.4.7		930aebcd12fc1a02333dc00747d1b17f55892dd1
com.github.houbbbbb	sso-spring-boot-starter	0.4.7	exec	e6d336f1af31729335f492445a274037c3472c8e
com.github.houbbbbb	sso-spring-boot-starter	0.4.8		bf5a54bbdafcfcc1f20c04191a22590477e57d58
com.github.houbbbbb	sso-spring-boot-starter	0.4.8	exec	a0c273d4032361d9a51607a57704004e62951e0d
com.github.houbbbbb	sso-spring-boot-starter	0.4.9		cc56e30af7f16996172993b544196500c12b79ce
com.github.houbbbbb	sso-spring-boot-starter	0.4.9	exec	ee6e3bbbba03ad7b6b2df5683e47902268639140
com.github.houbbbbb	sso-spring-boot-starter	0.5.0		7b977348154604635b31779a34a3e32d2ff1ae4f
com.github.houbbbbb	sso-spring-boot-starter	0.5.0	exec	36b9977d4db95ce77f2d88ee81f9b68efada588e
com.github.houbbbbb	sso-spring-boot-starter	0.5.1		44899367b430516f052cdd7924e278c44a9e0a23
com.github.houbbbbb	sso-spring-boot-starter	0.5.1	exec	113ce3b6b8135eacf00ec8c4950da7a643cafee5
com.github.houbbbbb	sso-spring-boot-starter	0.5.2		dd239e3c2021e65d4294e5eba5ed4c197b3e27e4
com.github.houbbbbb	sso-spring-boot-starter	0.5.2	exec	db13cf706af54d48e0d0de4feea56c50983f8c4e
com.github.houbbbbb	sso-spring-boot-starter	0.5.3		417c71706617b3e5ead2cfe721627b5d6f30313c
com.github.houbbbbb	sso-spring-boot-starter	0.5.3	exec	65fcb796c7ba303f032567271711242e685d5790
com.github.houbbbbb	sso-spring-boot-starter	0.5.4		971b97e4603cfe12ce4786d7d1dab62e2baa7e00
com.github.houbbbbb	sso-spring-boot-starter	0.5.4	exec	f9ca976f48fd8da6bcb2131f93e9841865f762d7
com.github.houbbbbb	sso-spring-boot-starter	0.5.5		99be88020a74623d6aa36cad200e812e00ae4448
com.github.houbbbbb	sso-spring-boot-starter	0.5.5	exec	0396b869bfba8e92e559dd78f82b0b650ac7e7f3
com.github.houbbbbb	sso-spring-boot-starter	0.5.6		bcda1e36ee16f141c6e9aae6de11213a95bb5d4d
com.github.houbbbbb	sso-spring-boot-starter	0.5.6	exec	7b9f866d7724fe209a88e8d7a61ba8fe08299365
com.github.houbbbbb	sso-spring-boot-starter	0.5.7		939129c6d0ede192cd833c0cc91c0665ba09e801
com.github.houbbbbb	sso-spring-boot-starter	0.5.7	exec	1e4b6ce72331044394139fa51cbd943236190f02
com.github.houbbbbb	sso-spring-boot-starter	0.5.8		fe1381c0e1d8aa933c05aa4930c025681337bdc4
com.github.houbbbbb	sso-spring-boot-starter	0.5.8	exec	c1743c4af6a3dce298a9058dfa3bba524fa2f1c2
com.github.houbbbbb	sso-spring-boot-starter	0.5.9		4a40c7c2a2c5ace9befd3bb7ccae956b1e4471c1
com.github.houbbbbb	sso-spring-boot-starter	0.5.9	exec	e511d81f0e7fba4e26770066965719d89f3521d7
com.github.houbbbbb	sso-spring-boot-starter	0.6.0		ca27f3fd8093840d820ca6bae8e5a876c59bddbe
com.github.houbbbbb	sso-spring-boot-starter	0.6.0	exec	c770569905f19d12687dfde3eb6eeb444a69a996
com.github.houbbbbb	sso-spring-boot-starter	0.6.1		cc1739484cc1d792c3ff369e26899dff44818225
com.github.houbbbbb	sso-spring-boot-starter	0.6.1	exec	2ccdf7f62cfdcb6deed582a913e6ad38e2edc170
com.github.houbbbbb	sso-spring-boot-starter	0.6.2		9ba5672112accf128f25bebc21c2cca96374aaaf
com.github.houbbbbb	sso-spring-boot-starter	0.6.2	exec	4b8c3479cefe0d87e109421fd3159a1deeb89839
com.github.houbbbbb	sso-spring-boot-starter	0.6.3		e06f11bca657a1321ae0817f8021514db83a6b94
com.github.houbbbbb	sso-spring-boot-starter	0.6.3	exec	7cff27366649a84d1c0da2ce1f36730393f71b33
com.github.houbbbbb	sso-spring-boot-starter	0.6.4		64a5d1e687a9f7179efb5df98c5833847a91b7fe
com.github.houbbbbb	sso-spring-boot-starter	0.6.4	exec	4c34beb22b8f78f7d684ee72a5f2a4c0bd736ad9
com.github.houbbbbb	sso-spring-boot-starter	0.6.5		f8722825d2f11cc729a5b7c1c8193cb902c07a8e
com.github.houbbbbb	sso-spring-boot-starter	0.6.5	exec	edf2b94d840bb42837959b61e574239880924d4e
com.github.houbbbbb	sso-spring-boot-starter	0.6.7		91957441cf0f3cf2a9312159a367a8e570876939
com.github.houbbbbb	sso-spring-boot-starter	0.6.7	exec	bee153c57cb41bc7df369710c7ea52bf62b0cb7b
com.github.houbbbbb	sso-spring-boot-starter	1.0.0		c2c80477705258bf34f67099c46894feedc8ed21
com.github.houbbbbb	sso-spring-boot-starter	1.0.0	exec	0cf46f136819de34391b4854d0165d43a170d8f1
com.github.houbbbbb	sso-spring-boot-starter	1.0.1		a2d4e70fd1d86b18c0181439f392f4a7c4442f53
com.github.houbbbbb	sso-spring-boot-starter	1.0.1	exec	77dc43842b6a564a830697d0a988f0536dbbfc6a
com.github.houbbbbb	sso-spring-boot-starter	2.0.0		89e0cc03f6e6d75240292331f43e4b66b299b582
com.github.houbbbbb	sso-spring-boot-starter	2.0.0	exec	85d48df0b5b93fa9e1eac2fc10500805dc80bfc3
com.github.houbbbbb	sso-spring-boot-starter	2.0.1		78c9f2dfd68dfce5c79a5920924fbf8f09bf18cb
com.github.houbbbbb	sso-spring-boot-starter	2.0.1	exec	ce5abfec5ffd433615dac4c6e363c351a2075001
com.github.houbbbbb	sso-spring-boot-starter	2.0.2		6af20e42072fa5c6409c5476084e3927df062f9f
com.github.houbbbbb	sso-spring-boot-starter	2.0.2	exec	d851054b5e3cf2b01021e97f89a62f7a18fc6e6d
com.github.houbbbbb	sso-spring-boot-starter	2.1.0		05e1403a63b09785decac4fb443275c41c339c83
com.github.houbbbbb	sso-spring-boot-starter	2.1.0	exec	cb4a12ed406d0fac483c60893d85a2a539818924
com.github.houbbbbb	sso-spring-boot-starter	2.2.0		4d8ca5b0ef98a65a0abfefd56b6b925df9045b90
com.github.houbbbbb	sso-spring-boot-starter	2.2.0	exec	3c2fb1fee13cd0a459a8a079fbe5de74d999280f
com.github.houbbbbb	sso-spring-boot-starter	2.3.1		1748b0728c08275658b414770ff8621e7fb22559
com.github.houbbbbb	sso-spring-boot-starter	2.3.1	exec	9e69b92d8422759eef8b1dc59578e96f648eb33f
com.github.houbbbbb	sso-spring-boot-starter	2.3.2		f16dcd468fd817ba6ff709d83d06c0971478f714
com.github.houbbbbb	sso-spring-boot-starter	2.3.2	exec	bb355368d422ec049bbd1de684dd6e23ab961fdc
com.github.houbbbbb	sso-spring-boot-starter	2.3.3		c42446e8da9b3909619499c0db80022c927eca2e
com.github.houbbbbb	sso-spring-boot-starter	2.3.3	exec	ea9be7491f9df247e6107d7e64545887cf210969
com.github.houbbbbb	sso-spring-boot-starter	2.3.4		5359b6e4fc00f545ff6c651554a6bd68137ef6dc
com.github.houbbbbb	sso-spring-boot-starter	2.3.4	exec	1085f4738811c67ccaa94162af7a611171881342
com.github.houbbbbb	sso-spring-boot-starter	2.3.5		25a246abc4420804b85568245f990eb2d816ddf3
com.github.houbbbbb	sso-spring-boot-starter	2.3.5	exec	05d9e76f6b8a02c0d629b1702076d4ccc97028c3
com.github.houbbbbb	sso-spring-boot-starter	2.3.6		7e67ee34b3f504c66a11dd3011ede66b9cc819ea
com.github.houbbbbb	sso-spring-boot-starter	2.3.6	exec	a9d2a64a4aec3d208bf8b3e5915418a35c1c073b
com.github.houbbbbb	sso-spring-boot-starter	2.3.7		a30e580fc737401eb31b43cb546dfafbf220869c
com.github.houbbbbb	sso-spring-boot-starter	2.3.7	exec	79d5161c47f0c142c8b81f621cafc8cb849ed9f3
com.github.houbbbbb	sso-spring-boot-starter	2.3.8		f04b4093205d0f898f558b6d5b8d41f607d571d6
com.github.houbbbbb	sso-spring-boot-starter	2.3.8	exec	0c38a1ac2b5f06b287a94a06055e74b8f7d96bd5
com.github.jkutner	tomcat-redis-session	8.0.18.1		55c5c9282190b474a8d94cf2c8fa289811785615
com.github.jkutner	tomcat-redis-session	8.5.5.0		aa8dd02ea63c7a6d2c0c3ca91199f401005a8669
com.github.losizm	t2_3	1.0.0		9451ef60c58e41ffd8295be07b1bbe99f5a322ad
com.github.losizm	t2_3	1.0.1		ef950fdceba0919837fd842d1578d1be2411afc1
com.github.losizm	t2_3	2.0.0		72feb4b9832359ebd9d471d7c6933699580799e7
com.github.michaelruocco	api	0.1.11		70faf5c1295a976ba67928acb6edcdd2279bfb24
com.github.michaelruocco	api	0.1.12		51feb072beb43a3d4608ab23a470c7712c84ce48
com.github.michaelruocco	api	0.1.13		f7d6f81777c0f52fbdaacbaecf5b9c9908d95a0b
com.github.michaelruocco	api	0.1.14		4e3d0fee9a04b37df49cc30be67b7d7fbd7dc11c
com.github.michaelruocco	api	0.1.15		c4dcd67d9395f5e242bfd09018def56f9b7c444d
com.github.michaelruocco	api	0.1.16		7cb4dd12ada1c91a4dd6490710c27a0646f80084
com.github.michaelruocco	api	0.1.17		dd02295f30ef381cb6819489e2764fd67dd12d06
com.github.michaelruocco	api	0.1.18		1fe884775ede2d4e63ba90504eae2055ff24421a
com.github.michaelruocco	api	0.1.19		3599c71ea76c5c6a801db16a9bed45881d6714c6
com.github.michaelruocco	api	0.1.20		3acb10b5a0b4c541db4d60a79ffe32797f482bf5
com.github.michaelruocco	api	0.1.21		78d0a5525a95d5cde5f3e21a33b899ffc1592dc8
com.github.michaelruocco	api	0.1.22		7b90d312b78e1903052d91bf214a97c02788e58a
com.github.michaelruocco	api	0.1.23		b01c579f3e9bc98488f82dd357afcc5504d77708
com.github.michaelruocco	api	0.1.24		895d46cec7dd3848bf6cd77812d598773881fd55
com.github.michaelruocco	api	0.1.25		ffe76510e9d3135aa255f65cb5d47210a80177b7
com.github.michaelruocco	api	0.1.26		5c1627f565b7bf7c775be2c57787d76820e75b32
com.github.michaelruocco	api	0.1.27		529d36e1e9fca9606d3c179ea088c2d5e7df397a
com.github.michaelruocco	api	0.1.28		a83b519fbddb76056fef4deb95b3bed1ddb0a110
com.github.michaelruocco	api	0.1.29		b9d53e57f0cebfa5ba471928f4b6f9757bbba31e
com.github.michaelruocco	api	0.1.30		6883e8c17c077fbf852181af1e66a012aa0a7506
com.github.michaelruocco	api	0.1.31		185de4f46281efa866dbea254272346f8486d426
com.github.michaelruocco	api	0.1.32		2a0e46e9c02f1d0ebbef2f50ecab42d56658f7cb
com.github.michaelruocco	api	0.1.33		307b7b3125d302f37735a7833f74ff2f1de8ced5
com.github.michaelruocco	api	0.1.34		b29166b79bd59fc73a194f75ce3d1463f6288e8e
com.github.michaelruocco	api	0.1.35		b1aec33d0e0e28e334891a8db665712c93ced9fa
com.github.michaelruocco	api	0.1.36		696af58fb5f6d768150ef31be4feb3df9052a853
com.github.michaelruocco	api	0.1.37		a631d90f4214a5b093ea007d1d05e13b69ad6749
com.github.michaelruocco	api	0.1.38		43b7c6b842536309b415b2921066bbf44df4225f
com.github.michaelruocco	api	0.1.39		a8736aeb2ad88b2f8bc9817b7bb8c2f9dbe822e5
com.github.michaelruocco	api	0.1.40		d3557b794d0061bf1eacb7c45fa332f06d0c79f8
com.github.michaelruocco	api	0.1.41		aeee0aef3c55c0a1c771fbad27fb433b81b61742
com.github.michaelruocco	api	0.1.42		073d01730d74d09f0b64ba7b0d536600becab436
com.github.michaelruocco	api	0.1.43		226e68846dfcd90141427ed74d729b501e2f0eca
com.github.michaelruocco	api	0.1.44		0aeea5bdaf47ee8cc7d3f2186160d9ee438c50a2
com.github.michaelruocco	api	0.1.45		fc24707418d775eb5b63abafa0f88938832f5498
com.github.michaelruocco	api	0.1.46		0de0dc92954f0b3a68056257fc0e89aa63f2dafe
com.github.michaelruocco	api	0.1.47		1332aeaa5200e66acf5e64ba521e6858e857232d
com.github.zengfr.platform	captcha-sdk-hutool	2.7.2.6		5a211bf9ea4d7087d06d0a3c6d5b3fa326946125
com.github.zhangjianli	stallbuster	1.0		N/A
com.github.zhangjianli	stallbuster	1.1		N/A
com.io7m.idstore	com.io7m.idstore.server.service.verdant	0.0.10		476d8fa98594ebb88e86d19d573d7cb61b0b348d
com.io7m.idstore	com.io7m.idstore.server.service.verdant	0.0.11		56d1741fac010a4e476f6f214b51c31c9543fa03
com.io7m.idstore	com.io7m.idstore.server.service.verdant	0.0.12		7a3bbbfcb10d75edeac1a3ee82966431cb573b79
com.io7m.idstore	com.io7m.idstore.server.service.verdant	0.0.13		c205eda3206b16f58128aca4701ab053ad6d8780
com.io7m.idstore	com.io7m.idstore.server.service.verdant	0.0.14		52c40bab16f56c31250715a2f6b3b09b6bdda015
com.io7m.idstore	com.io7m.idstore.server.service.verdant	0.0.6		6ef5de620b6073b104e0c54c7ad0a35850a2f81b
com.io7m.idstore	com.io7m.idstore.server.service.verdant	0.0.7		a3f9f2e0f1d054614b1d74bd892dff8c73a3cc57
com.io7m.idstore	com.io7m.idstore.server.service.verdant	0.0.8		627f7e7b08fcd158b4f0c82e15739731e1c5abca
com.io7m.idstore	com.io7m.idstore.server.service.verdant	0.0.9		0ae7439fe16fd860e54ceefe77244863007752da
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0		785c38f3f548c2749b121b57e2810436ea3a84e8
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0001		8eb9ecba34883d140c7a27027f7fe0479dac52a6
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0002		dafd50673512cb4fffa6c6160c7f5ad2e4bc8b76
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0003		b2a21e857a87c1449781c9b6f6db7ad4bb41967f
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0004		14f517986dbfe28d41aa287443dbeeee6c34c8eb
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0005		f1a73952a87e1ae253a498d714e5395a69036162
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0006		524a8e0d8660e5deed5fb1ff26b3fd206db284c4
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0007		fa54f996d3eee42e057586a9e71c03f9e9e73ea1
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0008		2d846592e93c865a0d6379e9a71ba46468bc80aa
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0009		fe987237ee2a2538148fb56a319b02fe331cd5e8
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0010		01571463a5ab465603b7ce6e7e7fbb7f1220e199
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0011		0625d82102830a805d27e0e0088d5b138f4e6253
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0013		3194a94fe20ecca5d1750e8ef669ad05e7d0f1f0
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0014		37cadfce14d5f21647552e8426fbea5869f52199
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0015		00bbb6c031954e2e37269372b152d7e1a23bff02
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0016		27db8fbc5de31c1d54a16d98fad3470b30f71628
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0017		7cf03abb401a835c8d006b10c37d25702059f3a4
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-beta0018		f2cbb6b53d1be7bba2514d8822e2c5da17ef0549
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-rc0001		1efd038e7620bca454300334140a2ad3d90be0e2
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-rc0002		b09f043f64d2ffa13b5e805b476523887afb4b30
