com.daml	daml-lf-kv-transaction-support_2.13	1.18.2-snapshot.20220310.8437.1.5221a5d1		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.2-snapshot.20220324.8440.0.5cfb1a21		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.3		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.3-snapshot.20220620.8442.0.c7424302		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211123.8463.0.bd2a6852		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211201.8538.0.1d0ff3cc		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211207.8589.1.85e2fa55		c22ca4ef6ad62b77a9404f592b8e58a7ec384475
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211207.8589.2.85e2fa55		c22ca4ef6ad62b77a9404f592b8e58a7ec384475
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211207.8589.3.85e2fa55		c22ca4ef6ad62b77a9404f592b8e58a7ec384475
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211207.8608.0.c4d82f72		c22ca4ef6ad62b77a9404f592b8e58a7ec384475
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211209.8636.0.0a17087b		c22ca4ef6ad62b77a9404f592b8e58a7ec384475
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211209.8636.1.0a17087b		c22ca4ef6ad62b77a9404f592b8e58a7ec384475
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211210.8653.0.35beb44c		c22ca4ef6ad62b77a9404f592b8e58a7ec384475
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211220.8735.0.606a8ef0		c22ca4ef6ad62b77a9404f592b8e58a7ec384475
com.daml	daml-lf-kv-transaction-support_2.13	2.0.0-snapshot.20211220.8736.0.040f1a93		c22ca4ef6ad62b77a9404f592b8e58a7ec384475
com.exyte	animatednavigationbar	1.0.0		N/A
com.gft.mobile	shared-loading-indicator	1.0.0		N/A
com.gft.mobile	shared-loading-indicator	1.0.1		N/A
com.github.alexarchambault.tmp.ammonite	ammonite-cross-23-repl_2.13.5	2.3.8-125-0c2846b7		69a722a74a630b4bdd62d7962a83f0f0ae93fffa
com.github.cb372	cats-retry-mtl_2.13	1.1.0		746cf02feb7416bb357a56ccf2cb9cfc61014794
com.github.cb372	cats-retry-mtl_2.13	1.1.1		da778ce07ef693c8ebdbd90293579e03fd100cde
com.github.cb372	cats-retry-mtl_2.13	2.0.0		936bf97b17d85b50488d512b33b8c5f3a4fca09b
com.github.cb372	cats-retry-mtl_2.13	2.1.0		1befcc19a6a235adcb1f5ad4becc26f9f2b63189
com.github.cb372	cats-retry-mtl_2.13	2.1.1		3495c4bede0923843d167d842659c4cc7ca03efe
com.github.cb372	cats-retry-mtl_2.13	2.1.2		4e1dec0b0043613a691c998e1a59c13727b5ef21
com.github.cb372	cats-retry-mtl_2.13	3.0.0		a87ba37e053bca1c869adf5f638ac14edf7d162d
com.github.cb372	cats-retry-mtl_2.13	3.1.0		d876a2fa4ba303254da1bf41ac2dec53bad33d78
com.github.cb372	cats-retry-mtl_2.13	3.1.3		b42c764944e78965745de9ab1555344135c17e7a
com.github.timgent	spark-data-quality_2.12	0.1.10		f43e95e6505dd22fd09feaaffb30d205cb847ae0
com.github.timgent	spark-data-quality_2.12	2.4.0_0.1.10		31bacfc017d23f149e9287aa3c31af77241214cd
com.github.timgent	spark-data-quality_2.12	2.4.1_0.1.10		60856ee477a05761eeb6cf5a3060b36874a81350
com.github.timgent	spark-data-quality_2.12	2.4.2_0.1.10		043dd42a2bfeb5dc63bf514826b1dd3ce3a0f70b
com.github.timgent	spark-data-quality_2.12	2.4.3_0.1.10		37eab959c1491bfcfb67467bfd70ece827f5870f
com.github.timgent	spark-data-quality_2.12	2.4.4_0.1.10		a2a1820feb1ece5c84a7a98bf1c0cc291e66405f
com.github.timgent	spark-data-quality_2.12	2.4.5_0.1.10		75faf611a88c5b33d1027af07f17afd1449a8fbe
com.github.yamin8000	yarca	1.0.0		N/A
com.github.yamin8000	yarca	1.0.0	release-sources	dfe36785cf77cfcf14cc8ccd95d15e964a01fe5b
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.1.0		53ab95c343a78bc292fb6eabf0836c96fd070c13
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.1.1		7bc3949e1e653ed01e9abccb0a061e7ac8e83f1e
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.10.0		b7f7e301ecdf5fd85e9dd7073986ea7e1ca4f10a
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.11.0		9a799f40e90024a6e99e2a6e54065f2023928f95
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.12.0		70e394a856c3aa78233463b49068b60b64baef01
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.13.0		5af3fb82c49567d7a80cd55682096396a0402392
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.14.0		8fa9346c2effe5facba80f8fa150b91f21e9e7c6
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.15.0		e7cdf32d954af5e82df7cf09c1b004f624eb3fc7
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.16.0		4aa1feace08bdc1b66ffa09ae372b868a82686c7
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.17.0		351aaa6ab7c6b6a3c6133bc6618ae026b4bdedda
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.18.0		d8a6a5a58d4be0d6834c508b2dec26424863e327
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.19.0		49fa08f128efe4fcacea39780b2df338f2823a18
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.2.0		e5bc6068bfefa4d92c3c373143f1ffa6cd6208c5
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.20.0		3bc9d852047e0151703261a0f8c57120392e8e32
com.google.api.grpc	proto-google-cloud-orchestration-airflow-v1beta1	0.21.0		1e9db6c6ed55c373ad91f480ae938fa2045026c6
