au.gov.nehta	clinical-document-packaging-library	1.2.5		6402a9e676f98b8349044b5f8312fed538513801
com.amplifyframework	aws-storage-s3	1.17.2		N/A
com.amplifyframework	aws-storage-s3	1.17.3		N/A
com.amplifyframework	aws-storage-s3	1.17.4		N/A
com.amplifyframework	aws-storage-s3	1.17.5		N/A
com.amplifyframework	aws-storage-s3	1.17.6		N/A
com.amplifyframework	aws-storage-s3	1.17.7		N/A
com.amplifyframework	aws-storage-s3	1.17.8		N/A
com.amplifyframework	aws-storage-s3	1.18.0		N/A
com.amplifyframework	aws-storage-s3	1.19.0		N/A
com.amplifyframework	aws-storage-s3	1.2.0		N/A
com.amplifyframework	aws-storage-s3	1.20.0		N/A
com.amplifyframework	aws-storage-s3	1.20.1		N/A
com.amplifyframework	aws-storage-s3	1.21.0		N/A
com.amplifyframework	aws-storage-s3	1.22.0		N/A
com.amplifyframework	aws-storage-s3	1.23.0		N/A
com.amplifyframework	aws-storage-s3	1.24.0		N/A
com.amplifyframework	aws-storage-s3	1.24.1		N/A
com.amplifyframework	aws-storage-s3	1.25.0		N/A
com.amplifyframework	aws-storage-s3	1.25.1		N/A
com.amplifyframework	aws-storage-s3	1.26.0		N/A
com.amplifyframework	aws-storage-s3	1.27.0		N/A
com.amplifyframework	aws-storage-s3	1.28.0		N/A
com.amplifyframework	aws-storage-s3	1.28.1		N/A
com.amplifyframework	aws-storage-s3	1.28.2		N/A
com.amplifyframework	aws-storage-s3	1.28.3		N/A
com.amplifyframework	aws-storage-s3	1.28.3-rc		N/A
com.amplifyframework	aws-storage-s3	1.29.0		N/A
com.amplifyframework	aws-storage-s3	1.29.1		N/A
com.amplifyframework	aws-storage-s3	1.3.0		N/A
com.amplifyframework	aws-storage-s3	1.3.1		N/A
com.amplifyframework	aws-storage-s3	1.3.2		N/A
com.amplifyframework	aws-storage-s3	1.30.0		N/A
com.amplifyframework	aws-storage-s3	1.30.1		N/A
com.amplifyframework	aws-storage-s3	1.31.0		N/A
com.amplifyframework	aws-storage-s3	1.31.1		N/A
com.amplifyframework	aws-storage-s3	1.31.2		N/A
com.amplifyframework	aws-storage-s3	1.31.3		N/A
com.amplifyframework	aws-storage-s3	1.32.0		N/A
com.amplifyframework	aws-storage-s3	1.32.1		N/A
com.amplifyframework	aws-storage-s3	1.32.2		N/A
com.amplifyframework	aws-storage-s3	1.33.0		N/A
com.amplifyframework	aws-storage-s3	1.34.0		N/A
com.amplifyframework	aws-storage-s3	1.35.0		N/A
com.amplifyframework	aws-storage-s3	1.35.1		N/A
com.amplifyframework	aws-storage-s3	1.35.2		N/A
com.amplifyframework	aws-storage-s3	1.35.3		N/A
com.amplifyframework	aws-storage-s3	1.35.4		N/A
com.amplifyframework	aws-storage-s3	1.35.5		N/A
com.amplifyframework	aws-storage-s3	1.35.6		N/A
com.amplifyframework	aws-storage-s3	1.35.7		N/A
com.amplifyframework	aws-storage-s3	1.36.0		N/A
com.amplifyframework	aws-storage-s3	1.36.0-dev-preview.0		N/A
com.amplifyframework	aws-storage-s3	1.36.1		N/A
com.amplifyframework	aws-storage-s3	1.36.2		N/A
com.amplifyframework	aws-storage-s3	1.36.3		N/A
com.amplifyframework	aws-storage-s3	1.36.4		N/A
com.amplifyframework	aws-storage-s3	1.36.5		N/A
com.amplifyframework	aws-storage-s3	1.36.5-dev-preview.0		N/A
com.amplifyframework	aws-storage-s3	1.37.0		N/A
com.amplifyframework	aws-storage-s3	1.37.1		N/A
com.amplifyframework	aws-storage-s3	1.37.10		N/A
com.amplifyframework	aws-storage-s3	1.37.11		N/A
com.amplifyframework	aws-storage-s3	1.37.12		N/A
com.amplifyframework	aws-storage-s3	1.37.13		N/A
com.amplifyframework	aws-storage-s3	1.37.2		N/A
com.amplifyframework	aws-storage-s3	1.37.3		N/A
com.amplifyframework	aws-storage-s3	1.37.4		N/A
com.amplifyframework	aws-storage-s3	1.37.5		N/A
com.amplifyframework	aws-storage-s3	1.37.6		N/A
com.amplifyframework	aws-storage-s3	1.37.7		N/A
com.amplifyframework	aws-storage-s3	1.37.8		N/A
com.amplifyframework	aws-storage-s3	1.37.9		N/A
com.amplifyframework	aws-storage-s3	1.38.0		N/A
com.amplifyframework	aws-storage-s3	1.38.1		N/A
com.amplifyframework	aws-storage-s3	1.38.2		N/A
com.amplifyframework	aws-storage-s3	1.38.3		N/A
com.amplifyframework	aws-storage-s3	1.38.4		N/A
com.amplifyframework	aws-storage-s3	1.38.5		N/A
com.amplifyframework	aws-storage-s3	1.38.6		N/A
com.amplifyframework	aws-storage-s3	1.38.7		N/A
com.amplifyframework	aws-storage-s3	1.38.8		N/A
com.amplifyframework	aws-storage-s3	1.4.0		N/A
com.amplifyframework	aws-storage-s3	1.4.1		N/A
com.amplifyframework	aws-storage-s3	1.4.2		N/A
com.amplifyframework	aws-storage-s3	1.5.0		N/A
com.amplifyframework	aws-storage-s3	1.6.0		N/A
com.amplifyframework	aws-storage-s3	1.6.1		N/A
com.amplifyframework	aws-storage-s3	1.6.10		N/A
com.amplifyframework	aws-storage-s3	1.6.11		N/A
com.amplifyframework	aws-storage-s3	1.6.2		N/A
com.amplifyframework	aws-storage-s3	1.6.3		N/A
com.amplifyframework	aws-storage-s3	1.6.4		N/A
com.amplifyframework	aws-storage-s3	1.6.5		N/A
com.amplifyframework	aws-storage-s3	1.6.6		N/A
com.amplifyframework	aws-storage-s3	1.6.7		N/A
com.amplifyframework	aws-storage-s3	1.6.8		N/A
com.amplifyframework	aws-storage-s3	1.6.9		N/A
com.amplifyframework	aws-storage-s3	2.0.0		N/A
com.amplifyframework	aws-storage-s3	2.1.0		N/A
com.amplifyframework	aws-storage-s3	2.1.1		N/A
com.amplifyframework	aws-storage-s3	2.10.0		N/A
com.amplifyframework	aws-storage-s3	2.11.0		N/A
com.amplifyframework	aws-storage-s3	2.11.1		N/A
com.amplifyframework	aws-storage-s3	2.11.2		N/A
com.amplifyframework	aws-storage-s3	2.11.3		N/A
com.amplifyframework	aws-storage-s3	2.12.0		N/A
com.amplifyframework	aws-storage-s3	2.13.0		N/A
com.amplifyframework	aws-storage-s3	2.13.1		N/A
com.amplifyframework	aws-storage-s3	2.13.2		N/A
com.amplifyframework	aws-storage-s3	2.14.0		N/A
com.amplifyframework	aws-storage-s3	2.14.1		N/A
com.amplifyframework	aws-storage-s3	2.14.10		N/A
com.amplifyframework	aws-storage-s3	2.14.11		N/A
com.amplifyframework	aws-storage-s3	2.14.12		N/A
com.amplifyframework	aws-storage-s3	2.14.13		N/A
com.amplifyframework	aws-storage-s3	2.14.2		N/A
com.amplifyframework	aws-storage-s3	2.14.3		N/A
com.amplifyframework	aws-storage-s3	2.14.4		N/A
com.amplifyframework	aws-storage-s3	2.14.5		N/A
com.amplifyframework	aws-storage-s3	2.14.6		N/A
com.amplifyframework	aws-storage-s3	2.14.7		N/A
com.amplifyframework	aws-storage-s3	2.14.8		N/A
com.amplifyframework	aws-storage-s3	2.14.9		N/A
com.amplifyframework	aws-storage-s3	2.15.0		N/A
com.amplifyframework	aws-storage-s3	2.15.1		N/A
com.amplifyframework	aws-storage-s3	2.15.2		N/A
com.amplifyframework	aws-storage-s3	2.16.0		N/A
com.amplifyframework	aws-storage-s3	2.16.1		N/A
com.amplifyframework	aws-storage-s3	2.17.0		N/A
com.amplifyframework	aws-storage-s3	2.18.0		N/A
com.amplifyframework	aws-storage-s3	2.19.0		N/A
com.amplifyframework	aws-storage-s3	2.19.1		N/A
com.amplifyframework	aws-storage-s3	2.2.0		N/A
com.amplifyframework	aws-storage-s3	2.2.1		N/A
com.amplifyframework	aws-storage-s3	2.2.2		N/A
com.amplifyframework	aws-storage-s3	2.20.0		N/A
com.amplifyframework	aws-storage-s3	2.21.0		N/A
com.amplifyframework	aws-storage-s3	2.21.1		N/A
com.amplifyframework	aws-storage-s3	2.22.0		N/A
com.amplifyframework	aws-storage-s3	2.23.0		N/A
com.amplifyframework	aws-storage-s3	2.24.0		N/A
com.amplifyframework	aws-storage-s3	2.24.1		N/A
com.amplifyframework	aws-storage-s3	2.25.0		N/A
com.amplifyframework	aws-storage-s3	2.25.1		N/A
com.amplifyframework	aws-storage-s3	2.26.0		N/A
com.amplifyframework	aws-storage-s3	2.27.0		N/A
com.amplifyframework	aws-storage-s3	2.27.1		N/A
com.amplifyframework	aws-storage-s3	2.27.2		N/A
com.amplifyframework	aws-storage-s3	2.27.3		N/A
com.amplifyframework	aws-storage-s3	2.3.0		N/A
com.amplifyframework	aws-storage-s3	2.4.0		N/A
com.amplifyframework	aws-storage-s3	2.4.1		N/A
com.amplifyframework	aws-storage-s3	2.5.0		N/A
com.amplifyframework	aws-storage-s3	2.6.0		N/A
com.amplifyframework	aws-storage-s3	2.7.0		N/A
com.amplifyframework	aws-storage-s3	2.7.1		N/A
com.amplifyframework	aws-storage-s3	2.8.0		N/A
com.amplifyframework	aws-storage-s3	2.8.1		N/A
com.amplifyframework	aws-storage-s3	2.8.2		N/A
com.amplifyframework	aws-storage-s3	2.8.3		N/A
com.amplifyframework	aws-storage-s3	2.8.4		N/A
com.amplifyframework	aws-storage-s3	2.8.5		N/A
com.amplifyframework	aws-storage-s3	2.8.6		N/A
com.amplifyframework	aws-storage-s3	2.8.7		N/A
com.amplifyframework	aws-storage-s3	2.9.0		N/A
com.amplifyframework	aws-storage-s3	2.9.1		N/A
com.amplifyframework	aws-storage-s3	main		N/A
com.amplifyframework	aws-storage-s3	v1.37.0-cpkey-preview.0		N/A
com.amplifyframework	aws-storage-s3	v1.37.0-cpkey-preview.1		N/A
com.amplifyframework	aws-storage-s3	v1.37.0-cpkey-preview.2		N/A
com.amplifyframework	aws-storage-s3	v1.37.0-cpkey-preview.3		N/A
com.discord4j	connect-rsocket	0.5.0		13ec5cb19dec0d13bcf1ac1ab6313510ddfd738c
com.discord4j	connect-rsocket	0.6.0		b40a9e5fa15b77b6c07c72e3b4fe27d5a1e6b823
com.discord4j	connect-rsocket	0.6.1		3738257771681dc363afe9df532836989ee900d9
com.discord4j	connect-rsocket	0.6.2		faa5ce866fde0046fe7af52068d09e6cabf74b94
com.discord4j	connect-rsocket	0.6.3		d032c8f12f1ad6c88df25ff2cda08694b6f34fdf
com.discord4j	connect-rsocket	0.6.4		ef2a27d35fcbef81e14a27b24cf205b85bf0cb01
com.discord4j	connect-rsocket	0.6.5		b79e1c29b4ff083abc013f8a163277913416d7bb
com.discord4j	connect-rsocket	0.6.6		cf9aa4c50b3887168b3068c7a0f33abda048a829
com.discord4j	connect-rsocket	0.6.7		27656e2d512860cc86bca88c45ae79bddf8d4823
com.discord4j	connect-rsocket	0.6.8		c48aeb8b941e0f64b675002861d9bfed16c46367
com.dispalt	vitess-client_2.11	0.1.11		4e8d58f2ede830e291303df3744cf99a212fb888
com.dispalt	vitess-client_2.11	0.2.0		ecf138a41b96c1c204cce12e995f4ecefc4482a6
com.dispalt	vitess-client_2.11	0.2.1		e87476e83cc040cac992d3d9693965a7b97cef2e
com.dispalt	vitess-client_2.11	0.3.0		e8beced750bc90dfe97df83668ed1be256f7a2d7
com.dispalt	vitess-client_2.11	0.4.10		d64e0ee23a4082f478a662d81085b15acf2d8017
com.dispalt	vitess-client_2.11	0.4.3		0dd092a1ae57d62217a03b55bc5241f368a8dea1
com.dispalt	vitess-client_2.11	0.4.4		85ff2913a7c79d8cb95fce55fc4b5340083ad83f
com.dispalt	vitess-client_2.11	0.4.5		efcaa1c45e1a1a61bc11b8e0c00211cd3088ae7e
com.dispalt	vitess-client_2.11	0.4.6		167fe4b3166ca03f78e88ea94600d75bbf05b61d
com.dispalt	vitess-client_2.11	0.4.7		e7c155bc59285dbbac4185cabe32d6e12964f29d
com.dispalt	vitess-client_2.11	0.4.8		6452a3b33bd5610473d39084a7e1778cd8afbe68
com.dispalt	vitess-client_2.11	0.4.9		ed6c7915ebc7d40e55801df59731c2fceb51da53
com.dispalt	vitess-client_2.11	0.5.0		21c28b1e77b6713402ee1c8ac321b44d3d221044
com.dispalt	vitess-client_2.11	0.6.0		c6037edef87c08092982306f3d1182140f97e12a
com.dispalt	vitess-client_2.11	0.6.1		6fcb22a7b0d693218973c9086ffb32ada8b56bc9
com.eed3si9n.ifdef	ifdef-annotation_2.12	0.2.0		665d5bab609f491161e0168cd4d92f9a1b2a39da
com.eed3si9n.ifdef	ifdef-annotation_2.12	0.3.0		1bdb6ac01d6e76e3ea430987ff2877583162075a
com.eed3si9n.ifdef	ifdef-annotation_2.12	0.4.0		aa89576c2efe9735d41357000dbdeb1edeb468d8
com.eed3si9n.ifdef	ifdef-annotation_2.12	0.4.1		d66d7acc0abab96577dfb54f0c0e7e1e49f62562
com.epam.reportportal	commons-fonts	5.1.0		3f5367a6e9113414527d1e871557bac6ab377cda
com.epam.reportportal	commons-fonts	5.10.0		4f9c16a58639bb2ce632b2553b0925ca5049262d
com.epam.reportportal	commons-fonts	5.11.0		19bacf6e120675514cddc6d4ff8368ccf7aafc71
com.epam.reportportal	commons-fonts	5.3.0		2af123c00a0d0e23f99b613e77cd467ed039252e
com.factset.sdk	realtimenews	0.11.0		d2f2fce293e64b694ee13123e200d5fed4fd461f
com.factset.sdk	realtimenews	0.11.1		eec5570264d84808292421c979b878f97393821c
com.factset.sdk	realtimenews	0.11.2		e96c4aef5d89a4e50acb791e31f0922609891b51
com.factset.sdk	realtimenews	0.11.3		0ce9bb30903faceb8d5a2bfbf64c65dca73fb00b
com.factset.sdk	realtimenews	0.11.4		c7a5bba2cd582d6d88145e6b3e83cff855c24df9
com.factset.sdk	realtimenews	0.12.0		6da4c0c061d445cc9f8ebe1b011cb850bd4bb451
com.factset.sdk	realtimenews	0.12.1		1ec2e5d3fb4d67e5095abeaaeedcbd42d4ad6e96
com.factset.sdk	realtimenews	0.12.2		5df035e9fad9a03973d3fbd895ad2d6a82744d10
com.factset.sdk	realtimenews	0.20.0		7b252023a7c66301a79f92f11b6fc50199b5e0c1
com.factset.sdk	realtimenews	0.20.1		afb91ba9886f5391e8c188c7abc56505e7d86699
com.formance	formance	1.0.20230227		d9f6a29046d32392065aa61b2c0641284253b81f
com.formance	formance	v1.0.20230301		fd16f28b7f671b201b526fa8c8576d446ba587c4
com.github.jklasd	spring-junit-springcloud-test	2.0.1-RELEASE		N/A
com.github.luues	commons-weixin	1.0.0.RELEASE		e38dd8553495f1804c086dc3a39facaac2938e3b
com.github.luues	commons-weixin	1.0.1.RELEASE		17ea20caf2e9a96c17f569dd7768545cafb69ea1
com.github.luues	commons-weixin	1.0.2.RELEASE		338907caa5659612233af755c4ca2431080584d8
com.github.luues	commons-weixin	1.1.0.RELEASE		91e720246eea474e2b8a01c2ec5ecf6805fb55c6
com.github.luues	commons-weixin	1.2.0.RELEASE		d841458825ce8efb5906b68bf506b30836ba934e
com.github.luues	commons-weixin	1.2.1.RELEASE		492cde61753354f87983c186176400cfd8ea551f
com.github.luues	commons-weixin	1.2.2.RELEASE		b503eced1ff519352d20377bebd08b1f4c1d9ef3
com.github.luues	commons-weixin	1.2.3.RELEASE		1246ce0d57564eab31a92eb0c627ce0422b31633
com.github.luues	commons-weixin	1.2.4.RELEASE		fb1d6135f7e2d8499dcbc227678fcbf095f974e0
com.github.marianobarrios	lbmq	0.1.0		8184f7444adeac49d91cea839190bffc31bbf828
com.github.marianobarrios	lbmq	0.2.0		c691f444b229bea264b63cab02af9b6b7be24554
com.github.marianobarrios	lbmq	0.5.0		32704223f2b77b4207ad052b19ef65370c6db1de
com.github.marianobarrios	lbmq	0.6.0		11372b3f201519610e7443103fc9a97981a68c08
com.github.marianobarrios	lbmq	0.7.0		74c53068f1f8dd86ea8b510ddb06c6d86d3939db
com.github.tadukoo.maven	TadukooMavenBasePOM	0.1-Alpha		N/A
com.github.tadukoo.maven	TadukooMavenBasePOM	0.3-Alpha		N/A
com.github.tadukoo.maven	TadukooMavenBasePOM	0.3.1-Alpha		N/A
com.github.tadukoo.maven	TadukooMavenBasePOM	0.4-Alpha		N/A
com.github.tadukoo.maven	TadukooMavenBasePOM	0.4.2-Alpha		N/A
com.github.tadukoo.maven	TadukooMavenBasePOM	0.4.3-Alpha		N/A
com.github.torresmi.remotedata	remotedata-coroutines-js	2.0.0		c8c692aac39386e3aa0dda9f5d02ea25d53f48bb
com.hotels	circus-train-comparison-tool	10.0.0		f10f6bc261971b3f9429d741d118c686605eac43
com.hotels	circus-train-comparison-tool	10.0.0	all	1d4f242a9246369bb39c754b5b307e77188b718a
com.hotels	circus-train-comparison-tool	11.0.0		efef602c4e3fc7b7509324929ae007180d8f4d7a
com.hotels	circus-train-comparison-tool	11.0.0	all	bcf1c5143e5dd17c29c8ed7b209030e64cea6faa
com.hotels	circus-train-comparison-tool	11.1.0		0f7121455a9a41f0b82c341dcd2cf303639641d8
com.hotels	circus-train-comparison-tool	11.1.0	all	0e99ee0b164868d268e883153c95b1a4771e134c
com.hotels	circus-train-comparison-tool	11.1.1		bd1f96dd864553c7af4b729ae1367b1496e87362
com.hotels	circus-train-comparison-tool	11.1.1	all	6ef28f4274b3e1a4e5487d4abb3030fbc4822cf1
com.hotels	circus-train-comparison-tool	11.2.0		29cdd0468ab45b238962dfb4ca9a9ac91b667482
com.hotels	circus-train-comparison-tool	11.2.0	all	826a3e12b4b1b4afd72211d1bc8fc7c5d05d8a4a
com.hotels	circus-train-comparison-tool	11.3.0		260eed05f30513761a9c482102eaa44f1745dc64
com.hotels	circus-train-comparison-tool	11.3.0	all	731d635ece2fe2e6ce63ffc4939552e4e947c022
com.hotels	circus-train-comparison-tool	11.3.1		c06ffba77a5d2a2dd31919019efdd8fd3f6c0670
com.hotels	circus-train-comparison-tool	11.3.1	all	05855c1ab681642e45597864a5c193b0a7ad650d
com.hotels	circus-train-comparison-tool	11.4.0		77710eff130d544bccab22289cda5b6cfcab6abe
com.hotels	circus-train-comparison-tool	11.4.0	all	779c2dd61e618eec72e42e24aac63429e46c5977
com.hotels	circus-train-comparison-tool	11.5.0		7f21a48e8a9f3c5428c8d7d2f277dababea8bd43
com.hotels	circus-train-comparison-tool	11.5.0	all	dd271dc2f9bb209b6c3d50c9bd05a40e7e92049a
com.hotels	circus-train-comparison-tool	11.5.1		0eb0dfd0a296b94c67d5f186331e7c3962bfa3e4
com.hotels	circus-train-comparison-tool	11.5.1	all	76de0377b2d82c8d15e88552848cd3107f70696f
com.hotels	circus-train-comparison-tool	11.5.2		27afac81f13f1a948886664cdab1947a5057267a
com.hotels	circus-train-comparison-tool	11.5.2	all	cd1a1210922372aceb5169edd81a3999556ae003
com.hotels	circus-train-comparison-tool	12.0.0		49a39cda9cdfc49184494dc2370a9940b93c5efe
com.hotels	circus-train-comparison-tool	12.0.0	all	333bc397082fb4a41348647b69bd9f0b06a2603e
com.hotels	circus-train-comparison-tool	12.1.0		ffb44b2ab824d896c3423d7dcd4450085ac568bb
com.hotels	circus-train-comparison-tool	12.1.0	all	279e851e58d41954bfc40aeaad87b93e943a93b4
com.hotels	circus-train-comparison-tool	13.0.0		1d697601a3ceb138f99af1ba19e7f1a78bf4584b
com.hotels	circus-train-comparison-tool	13.0.0	all	fc7a97812ef40b02735897fde15db55ae8459cc5
com.hotels	circus-train-comparison-tool	13.1.0		682dc563a845b13cf43647870e096be3cf1aa6a1
com.hotels	circus-train-comparison-tool	13.1.0	all	8c0f59a13b02b409fa02bcd85adf465a2319a0c5
com.hotels	circus-train-comparison-tool	13.2.0		f5e3bd16bd751fc696e2a74b896c62cdcfd31d2e
com.hotels	circus-train-comparison-tool	13.2.0	all	fc694ec9314e0672f29a22bd13aab4a75cce7ff4
com.hotels	circus-train-comparison-tool	13.2.1		702cf436dc16dde0d44f9855a2842557405bcf3b
com.hotels	circus-train-comparison-tool	13.2.1	all	6bf0b31325cdefc3f98c450ba92daf3f1df2f82b
com.hotels	circus-train-comparison-tool	14.0.0		838887aaa3ae70f2b7ddaa90dd9960d67664b671
com.hotels	circus-train-comparison-tool	14.0.0	all	13d09511c75c9e346ff3eb0483e47d64001b0f11
com.hotels	circus-train-comparison-tool	14.0.1		1dd3ec4cf711e710005f44af4d6ab31ad404153c
com.hotels	circus-train-comparison-tool	14.0.1	all	91971c471a08dfb756d3b9f4464ea859af453465
com.hotels	circus-train-comparison-tool	14.1.0		54b61e23ea0df204be384028aca5a730022876aa
com.hotels	circus-train-comparison-tool	14.1.0	all	893c3bbb047391b10c222334739a6417f1198cb8
com.hotels	circus-train-comparison-tool	15.0.0		94ea1d0d653fe3aa241e751057df7a451cdd1019
com.hotels	circus-train-comparison-tool	15.0.0	all	43676e92accc2c940b9d599fa1c844112345aad6
com.hotels	circus-train-comparison-tool	15.1.0		5baac8c4b166c061deecd604369baa9ee7b48a57
com.hotels	circus-train-comparison-tool	15.1.0	all	9363eb5fb30b3e63b3042a8446b05d1badfd6cfe
com.hotels	circus-train-comparison-tool	15.1.1		506b0d4db0224174b62d827df8aa1e99b1bd1866
com.hotels	circus-train-comparison-tool	15.1.1	all	448eda6ce397b723849dee95304aca3ddff1503c
com.hotels	circus-train-comparison-tool	16.0.0		a9ac2db06ee7215ee7016be6ad00baaf74f88249
com.hotels	circus-train-comparison-tool	16.0.0	all	d4735fd8b806aaf5a6af31b759868e09ca7630b9
com.hotels	circus-train-comparison-tool	16.1.0		4a89315b64cb1e8b70624a092ca796f1f8ecf264
com.hotels	circus-train-comparison-tool	16.1.0	all	c87d62524e1761c503c716f9f3c2a08921ec7fdd
com.hotels	circus-train-comparison-tool	16.2.0		ed4b969bc0d3c30b918efb428299cec82413faa1
com.hotels	circus-train-comparison-tool	16.2.0	all	933328cd36c8ea374c9534015ed6fdf13c39e34d
com.hotels	circus-train-comparison-tool	16.3.0		86990ac03698400442ce5d1691a64f3e2d23c1d0
com.hotels	circus-train-comparison-tool	16.3.0	all	83e9d4ba37c176748805b9b4b158860db7ef256e
com.hotels	circus-train-comparison-tool	16.3.1		2f2d04a3526b77acc731f1cc3e54d1582f1cdb20
com.hotels	circus-train-comparison-tool	16.3.1	all	1fc05d7ef7799d6503af828d32a1f168764f111d
com.hotels	circus-train-comparison-tool	16.3.2		39f239d65f1d689ad243be4b6536632c9d1530c1
com.hotels	circus-train-comparison-tool	16.3.2	all	ab1af1264c49bc329e1314b0a8dd6019e5d3d85b
com.hotels	circus-train-comparison-tool	16.3.3		997b8e834bcac4392231d9df9643b8f90355f768
com.hotels	circus-train-comparison-tool	16.3.3	all	d44e684b071398b7ee11a7d1c832b6b914513bf8
com.hotels	circus-train-comparison-tool	16.4.0		3808b352b893f4f960847eb2ebd38c9151665e28
com.hotels	circus-train-comparison-tool	16.4.0	all	e44d2890a6b0f4eab03fb2545a2855ee4ab824c0
com.hotels	circus-train-comparison-tool	16.4.1		ba7294e2ebf686b94e764544f996650fbba4621a
com.hotels	circus-train-comparison-tool	16.4.1	all	b81cd6e6e1177c35d04494d763992276a5d7e8a5
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.jaxrsEJB-1.1	18.0.0.2		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.jaxrsEJB-1.1	18.0.0.3		N/A
com.ibm.websphere.appserver.features	com.ibm.websphere.appserver.jaxrsEJB-1.1	18.0.0.4		N/A
