by.exonit	swagger-play2-play26_2.12	1.0.0		a66c4bafb96bc11a61ed78a85e885a63966b3844
com.boozallen.aissemble	aissemble-root	1.8.1-rc2		N/A
com.boozallen.aissemble	aissemble-root	1.8.2		N/A
com.boozallen.aissemble	aissemble-root	1.9.0-rc1		N/A
com.boozallen.aissemble	aissemble-root	1.9.0-rc2		N/A
com.boozallen.aissemble	aissemble-root	1.9.1		N/A
com.boozallen.aissemble	aissemble-root	1.9.2		N/A
com.boozallen.aissemble	aissemble-root	1.9.3		N/A
com.boozallen.aissemble	aissemble-root	1.9.4		N/A
com.bsb.common.vaadin	com.bsb.common.vaadin.embed-simple-archetype	0.4		555dcc8ed52d03987dc08dd861248006135438e4
com.bsb.common.vaadin	com.bsb.common.vaadin.embed-simple-archetype	0.5		d066415c1d63391ebfd72444aa14f5fa7023bddc
com.clutchproject	fprint	0.1		N/A
com.clutchproject	fprint	0.2		N/A
com.dahuatech.icc	java-sdk-oauth	1.0.10		d41b077f71dfd50381c26f929c1000426dc4ca77
com.dahuatech.icc	java-sdk-oauth	1.0.11		262d9c391f0bf8187f3e5a2b740769a3a038f450
com.dahuatech.icc	java-sdk-oauth	1.0.11.1		938c57c99dcd80335c4723d4ef540cefc154b0a0
com.dahuatech.icc	java-sdk-oauth	1.0.12.1		d1c31291ba84bf4044508297e588c78a0c3d3506
com.dahuatech.icc	java-sdk-oauth	1.0.12.2		715c12bd3b5c2686c25d4a3c8dd5de43ed4dec72
com.dahuatech.icc	java-sdk-oauth	1.0.12.3		4e889d555bce9d0ea93d330b1057d393dc184058
com.dahuatech.icc	java-sdk-oauth	1.0.12.4		a206be47662759722da9f3d4339e06f3286a44e5
com.dahuatech.icc	java-sdk-oauth	1.0.12.5		9deb59585bcff06bfd25381f8991465adc3f8b9b
com.dahuatech.icc	java-sdk-oauth	1.0.12.8		6d05aa208eeaa195730b6754110a9847902156ed
com.dahuatech.icc	java-sdk-oauth	1.0.12.9		92e086323ffbb613fe9522393fec203667f7e1ef
com.dahuatech.icc	java-sdk-oauth	1.0.13		f093f3e9bf6d27c0612358a33a3d108ea4b54b51
com.dahuatech.icc	java-sdk-oauth	1.0.13.1		12cb400fa5f1daa159e89aeb7ff75b5b7a065f70
com.dahuatech.icc	java-sdk-oauth	1.0.13.10		57fb6ec6c790ad18227ffe056502f55df44212b0
com.dahuatech.icc	java-sdk-oauth	1.0.13.2		83382ff8d98c9611944aacae307071a07cd70123
com.dahuatech.icc	java-sdk-oauth	1.0.13.3		da29a65fe1fa7e5ba95a72339e7c3636cecc5335
com.dahuatech.icc	java-sdk-oauth	1.0.13.4		b8453fb95f183929b4468c2e06e118761c62224d
com.dahuatech.icc	java-sdk-oauth	1.0.13.5		64344a81985cb358325397243e314c9a87cc6129
com.dahuatech.icc	java-sdk-oauth	1.0.13.6		299afed137207063343b56c3b6d8a32f1cfd49ba
com.dahuatech.icc	java-sdk-oauth	1.0.13.7		fe2f99af87d2356f89fd4bf8de00a906bab36f4e
com.dahuatech.icc	java-sdk-oauth	1.0.13.9		e2f1684b7a69caed16dd3bfeaf4a8230638d3e7a
com.dahuatech.icc	java-sdk-oauth	1.0.3		a67d14293072797970327eba0cd4051974a7bdc3
com.dahuatech.icc	java-sdk-oauth	1.0.4		edb824d64e4f242dc2526fea54821ea1c3364c2a
com.dahuatech.icc	java-sdk-oauth	1.0.5		d8979fc092df8a58133a84a04ce46b475aa3804e
com.dahuatech.icc	java-sdk-oauth	1.0.6		c232670601b77a88dc2a27cb2b9b876758aa351c
com.dahuatech.icc	java-sdk-oauth	1.0.7		e5f3e9492202042c26596a19781f3735d20e090f
com.dahuatech.icc	java-sdk-oauth	1.0.8		db1d2d084a7f220be1229272c6b8c62040737d73
com.dahuatech.icc	java-sdk-oauth	1.0.9		e9e6775b7f6bbe94d682e09a04db8db15b42bb0c
com.dahuatech.icc	java-sdk-oauth	1.0.9.1		930a5aba1d50e49a128865b45b661dafb30b4300
com.dahuatech.icc	java-sdk-oauth	1.0.9.2		7ff8a628a5ce371089f766831d2cbdcf3e053041
com.dahuatech.icc	java-sdk-oauth	1.0.9.3		2a847f06ae0842499f1cb8188b6cd4e3a7b2c74d
com.dahuatech.icc	java-sdk-oauth	1.0.9.4		6a7affbfdfceb83cebf3ef846b2c853d535dbbfd
com.diglol.crypto	common-watchosx86	0.1.0		N/A
com.diglol.crypto	common-watchosx86	0.1.0	metadata	b8d965a4904d39340f42b2464b059cfcd9147d63
com.diglol.crypto	common-watchosx86	0.1.1		N/A
com.diglol.crypto	common-watchosx86	0.1.1	metadata	9401e27e826146c7285f46fed6fbbb2233c92fb3
com.diglol.crypto	common-watchosx86	0.1.2		N/A
com.diglol.crypto	common-watchosx86	0.1.2	metadata	3bbc43ea7c8ae37bd1c9955a9bfbd439bf1f9956
com.diglol.crypto	common-watchosx86	0.1.3		N/A
com.diglol.crypto	common-watchosx86	0.1.3	metadata	33b92dabbff15a8164454bbe278fe52ac60bcd76
com.diglol.crypto	mac-jvm	0.1.0		a50c7164763eb88272499aa7bbf902551a9fadd6
com.diglol.crypto	mac-jvm	0.1.1		dca593cc108b11f1487d78a0c90f9f0a7cecff98
com.diglol.crypto	mac-jvm	0.1.2		ee287e66e582d216fb688749cb80a7ada37d25fe
com.diglol.crypto	mac-jvm	0.1.3		ee287e66e582d216fb688749cb80a7ada37d25fe
com.diglol.crypto	mac-jvm	0.1.4		6bb90ddffc8cf9f8b65f55b8b6d257d9f50d2ac3
com.diglol.crypto	mac-jvm	0.1.5		2892bc41a5b2f56d614d0cd77a6884b0c1a40177
com.diglol.crypto	mac-jvm	0.2.0		0f2d4d8405b569a077dbcf95a8d771a973594c1d
com.episode6.redux	compose-jvm	1.0.0		34aaf8f1a24b9011966cf8867f878a11764cac13
com.episode6.redux	compose-jvm	1.0.0-alpha03		6b1a0aa9800d382ab016513ef5d1ffc0221fce39
com.episode6.redux	compose-jvm	1.0.0-beta01		bc0435bc44da0ab1d070a4d8ea7e5faa5feee8e6
com.episode6.redux	compose-jvm	1.0.1		a69693bf80e64ed4c9fd4ee6521c06f843a2183a
com.evolvedbinary.thirdparty.org.codehaus.mojo	keytool-api-1.7	1.6.0		0f3c7b547796c4ca1eefaee8c5e0f7835771d0cb
com.fraktalio.fmodel	application-mingwx64	3.2.0		N/A
com.fraktalio.fmodel	application-mingwx64	3.3.0		N/A
com.fraktalio.fmodel	application-mingwx64	3.4.0		N/A
com.fraktalio.fmodel	application-mingwx64	3.5.0		N/A
com.fraktalio.fmodel	application-mingwx64	3.5.1		N/A
com.fraktalio.fmodel	application-mingwx64	3.6.0		N/A
com.github.bibsysdev	core	1.1.2		ad156d35a2f3a24b9133e9ac88c53fab8adca5b0
com.github.bibsysdev	core	1.1.3		10d3260f1959b7f7a0150716af410bee1381db87
com.github.bibsysdev	core	1.10.0		031bb34e2335c021e9e990b1e153ea656016a41c
com.github.bibsysdev	core	1.11.0		aaaf6aba193fedfe19f37b27693437c8c8a603e1
com.github.bibsysdev	core	1.12.0		b1711c55162cb1e91df58ac14ef5439bc29c6a6d
com.github.bibsysdev	core	1.13.0		915b0fbb77218bc69af107cff4091407454d4a3d
com.github.bibsysdev	core	1.13.1		5a734584cd408dfedb55c27f5edc098d35359304
com.github.bibsysdev	core	1.14.0		db7c33812ac3316e46bd5b25ccb151c1ef4e9c9c
com.github.bibsysdev	core	1.15.0		cfdcd20ed2868a6d4ba948d077303f6bc6842643
com.github.bibsysdev	core	1.15.1		c75814a191ab736cd477f09e27d2590e82d9eeeb
com.github.bibsysdev	core	1.16.0		dc602995f7edb5fbbb5605ee473ba767e657bb49
com.github.bibsysdev	core	1.16.1		6a9f697c2fa9bf272ba15f314e1c89230db27fe5
com.github.bibsysdev	core	1.16.10		63e9f4386724f8f2ac9f662f5876ad20b9c024d0
com.github.bibsysdev	core	1.16.11		06c1bd9496bfe87a9106b3aaddc82c02feabee92
com.github.bibsysdev	core	1.16.12		c2d58e2ef666507d17ec5bafacabcbe348ee7e7e
com.github.bibsysdev	core	1.16.13		e63eaca07e43b79b52967baf05dc1fb44f0f4824
com.github.bibsysdev	core	1.16.14		ee66128056849e016f4fa192429cd30540ab22a0
com.github.bibsysdev	core	1.16.15		562e3297ba5969b2f56b800649e74b31b92f250d
com.github.bibsysdev	core	1.16.16		924894e9623c2c500215c921fc82fbe123460720
com.github.bibsysdev	core	1.16.17		3f672f21d497345bf8585c26c0e8f9c82c2956af
com.github.bibsysdev	core	1.16.18		8d5c15871a3d212f0f9665a23f68dbee254e995f
com.github.bibsysdev	core	1.16.19		28f1bea4faa1531e154d52de8f76db81c491d968
com.github.bibsysdev	core	1.16.2		b3e41239a778c58a0c8f8cc9ebaa038045bf60e5
com.github.bibsysdev	core	1.16.20		3dee051ebe6b3494a4940ab324b67484ea07a320
com.github.bibsysdev	core	1.16.21		d032c1c52e033a24d02731ed6220d0d71697efcb
com.github.bibsysdev	core	1.16.22		2cddd43fcf2816a202092d8263c3e012361e3353
com.github.bibsysdev	core	1.16.23		0664aaca64f5919cc83f456f81974febe64ba15b
com.github.bibsysdev	core	1.16.24		677cc40dbf7983e72e116fd72b592e015a12bea1
com.github.bibsysdev	core	1.16.26		b5925c56dcd98cb6663e8a16ea926996814b0d5e
com.github.bibsysdev	core	1.16.29		379f4a847c5b8d096d0e7aa68b58f92cb382d65b
com.github.bibsysdev	core	1.16.3		c75a5f52904ab34a056091f3d19e7bd23112dfaa
com.github.bibsysdev	core	1.16.30		63f606c44e6e98551e19b92843a4af595cb73696
com.github.bibsysdev	core	1.16.31-alpha		6ef383f0f17bc766cda58a88e4b7d4296d5a7db3
com.github.bibsysdev	core	1.16.5		24575cb818c66cbfb2a4c4185794c3c486c4b59f
com.github.bibsysdev	core	1.16.6		fae9541bf4ef2c0e480b18d2d22bcfed329b531d
com.github.bibsysdev	core	1.16.7		ef453e7e9f5b9cc65c9fcaf018dbc31b65420269
com.github.bibsysdev	core	1.16.8		194fe14e2d3d1d107a7c13dc9945ce036366e218
com.github.bibsysdev	core	1.16.9		661e07cd13df1a8b8ca2681e8a28676fd71ccea6
com.github.bibsysdev	core	1.17.0-alpha-1		312b5f78ce674550c529b4b6c5efacbab33b558c
com.github.bibsysdev	core	1.17.0-alpha-2		ce9c5ba96a46ed1d50aa9b1597d287e97c7c08f4
com.github.bibsysdev	core	1.18.0-beta		e470284dfc29ef4568033a76d29d033a3597df32
com.github.bibsysdev	core	1.18.1		69cecd55cede2d9682feb8029bf00342fdaded99
com.github.bibsysdev	core	1.18.10		59053706b172b44aa1c479752b8f02f023ad2253
com.github.bibsysdev	core	1.18.2		70e00b5da80ce36c9ca93911d3e0d35c0c2c8e4c
com.github.bibsysdev	core	1.18.3		d8e76b7f8cef64b3bbb0901ec312813a66e01d86
com.github.bibsysdev	core	1.18.4		24622907bad1f3b2f2b5939ae75751ba3a5e3059
com.github.bibsysdev	core	1.18.5		f0043c2007227ac30918e315633f40375e069254
com.github.bibsysdev	core	1.18.6		1d4f4839ebb468d1265edcb60be789174a28c639
com.github.bibsysdev	core	1.18.7		b605d18baf0710f31c3ff4742b94ea12f91f2c8f
com.github.bibsysdev	core	1.18.8		e9cd46f02670b4f20546394d411d16b7b95feaf8
com.github.bibsysdev	core	1.18.9		f75a45bc49b95ed86e52e82604a6b94737c61c37
com.github.bibsysdev	core	1.19.0		d7abab0ba3c83973542a3a588c227e4d050ed665
com.github.bibsysdev	core	1.2.0		85b2418f7b4f1a078d41706102d8943ad95f119e
com.github.bibsysdev	core	1.2.4		ab007c6fc5c07fd604912bcd4ccf01bdba044be8
com.github.bibsysdev	core	1.2.5		09e9fec65a1dc6f35463549e77f8ba2495c9f783
com.github.bibsysdev	core	1.2.6		ffc0a2b1566f5712633d74351a64c781b0ba95bb
com.github.bibsysdev	core	1.2.7		da5cc1bed7459fd97dd909c42d7e71c232d04fe7
com.github.bibsysdev	core	1.20.0		ac70c7fee1eadd64076127d236fd83d9fe69861d
com.github.bibsysdev	core	1.20.1		35e5c2e475c33b70a87e5b286d07265060a0fdcc
com.github.bibsysdev	core	1.20.10		a5f9814d09a02ec20814868504eb16ae671fee2f
com.github.bibsysdev	core	1.20.11		9e77c801b7e9a1a6698faa712b15b93915cfb7a7
com.github.bibsysdev	core	1.20.12		1038641a0cba51b6e38426cf288ebcdd4f65aa5d
com.github.bibsysdev	core	1.20.13-beta		244ff2bf05596e70e97149925382a7128391de8a
com.github.bibsysdev	core	1.20.13-beta2		5cfbd55b297d2f47b9f3245962df0bccb9e1408a
com.github.bibsysdev	core	1.20.13-beta3		2a80560a026d3f4b1b7d303038d868fb1e0cf881
com.github.bibsysdev	core	1.20.14		c30bf5e134da36171ae839bf3bb9991ebf8bb47a
com.github.bibsysdev	core	1.20.15		46c26abd8776c67d0619588a6539e9b5004ec674
com.github.bibsysdev	core	1.20.16		fdaa4a35c06a66266b451126c36539960823313b
com.github.bibsysdev	core	1.20.17		945b9e164b998671683f1d7226653d564e7743d8
com.github.bibsysdev	core	1.20.18		10d76d81fae0b9e7105e2446753f90bf225ccc9e
com.github.bibsysdev	core	1.20.19		843a7203ad0c1757abeb5d112b30d20ccec2817d
com.github.bibsysdev	core	1.20.2		3011a9cf01dbb8104613b823730d7bb7f7acb5d1
com.github.bibsysdev	core	1.20.20		0f854e1b7eb8c3ce108338d7e601f44acf821c06
com.github.bibsysdev	core	1.20.22		afdaf2f3473215e1b37f0919900e6350e07150f4
com.github.bibsysdev	core	1.20.23-alpha		a501855fc0c2573e3f8be23d479427779d72a2c2
com.github.bibsysdev	core	1.20.23-alpha2		55b23f59c87755df228ee23d3032befaf73be9fd
com.github.bibsysdev	core	1.20.23-alpha3		e4c3ac523ed4d95e4a2d2152cfec305506640da7
com.github.bibsysdev	core	1.20.23-alpha4		5ecc2981f572451eada09b6de834e2ff2420cf18
com.github.bibsysdev	core	1.20.23-alpha5		e2bc71a964d0e406e7659ceb2292c93514fee94e
com.github.bibsysdev	core	1.20.23-alpha6		7d864e8c49b099e331d2ece5c46429bf4f530b1a
com.github.bibsysdev	core	1.20.23-alpha7		bbc479bb2756233344d84aa8d3ef1e5d3e971938
com.github.bibsysdev	core	1.20.3		bdead9938359df49aa2c8fb24d064495cd759de9
com.github.bibsysdev	core	1.20.4		6abb5887ec6487fe25e412ff4c4d346d4d1aba03
com.github.bibsysdev	core	1.20.5		1f435cca77d699cbe422a9318ca1caaa84af20ed
com.github.bibsysdev	core	1.20.6		dd6a4e5f7b08071d49c66c331cee717bef6a73d5
com.github.bibsysdev	core	1.20.7		8bffcccbe75cedab43dccb304c55b7349ff70d87
com.github.bibsysdev	core	1.20.8		3695f22671405464f43df61cbad1fb170192843a
com.github.bibsysdev	core	1.20.9		9883d055589bffe1892072f7f4bba491efaf3dbd
com.github.bibsysdev	core	1.21.0		cbbead5f97af441c676ad3d3ba19b581655ba603
com.github.bibsysdev	core	1.21.0-alpha1		0e3073f9416f4d87657799f1d68931e30a910ccc
com.github.bibsysdev	core	1.21.0-alpha10		8b012d1ae6c60d2e092de3ec29445e0b5eaa71e2
com.github.bibsysdev	core	1.21.0-alpha11		324d297f322fd6058b9316b23a6407e5ad6ea820
com.github.bibsysdev	core	1.21.0-alpha12		5e4cc91e7a9eb0a13957011cabad0728dfad08cd
com.github.bibsysdev	core	1.21.0-alpha13		570955bf0a97baa66fbc8c4f0e4f9ea58a7421a9
com.github.bibsysdev	core	1.21.0-alpha3		f0c748054d51e02f29217456a3136edde8f668d2
com.github.bibsysdev	core	1.21.0-alpha6		dfad78f47bc2729babb7b2eac3e8f2bfc2998f81
com.github.bibsysdev	core	1.21.0-alpha7		3b84c2cc541d0db591f484e22a814368b720a5b2
com.github.bibsysdev	core	1.21.0-alpha8		72ec145985699a9b97a1d6b5de183974c32c2aa9
com.github.bibsysdev	core	1.21.0-alpha9		19e336f6ef6da93b65799cdcfb31ee7216626f8d
com.github.bibsysdev	core	1.21.1		7818a2ecb2a36a12668500a06adf363326a7427a
com.github.bibsysdev	core	1.22.0		cd918531e825a19882aaad5158ff4c5d9531779d
com.github.bibsysdev	core	1.22.1-alpha1		a8411896f620d5a49c096d654a349441fb69d778
com.github.bibsysdev	core	1.22.1-alpha2		17b21681907c3e2818582f2a845fd8059a54b449
com.github.bibsysdev	core	1.22.1-alpha3		23669f919abbf21e25ffc1bda71120fec2afd081
com.github.bibsysdev	core	1.22.1-alpha4		258cb95f65d70e73468d5787ab95bae1db3cbb71
com.github.bibsysdev	core	1.23.0-alpha1		71460908738468c16aca717f75e2036d0200cc15
com.github.bibsysdev	core	1.24.0-alpha1		c0aa4cc39e06ce370b589817d33662ed9eea4edc
com.github.bibsysdev	core	1.24.0-alpha2		f47f28bcd2471e15dc4c5478b7e7ee85517067ce
com.github.bibsysdev	core	1.24.0-alpha3		4f7a8450c4036b8b3daca272ea12d901021b632d
com.github.bibsysdev	core	1.24.0-alpha4		fdf4df43c144b9ce47d2f6df73c4341eabe6d520
com.github.bibsysdev	core	1.24.0-alpha5		bb8b9ad24634514c2658760ae93b3eb11c7c09d5
com.github.bibsysdev	core	1.24.0-alpha6		0f7122eda2697b40422853f99259b6827c7a939f
com.github.bibsysdev	core	1.24.1		dbd831ba455a6d6bee9cc7a9c4b038228e3e863d
com.github.bibsysdev	core	1.24.10		652c1d809a1772f729f4f727c0d200ca10cb4b52
com.github.bibsysdev	core	1.24.11		ace3116e58605b15e419f8c633815f7568935326
com.github.bibsysdev	core	1.24.12		d55a2089eaab3095a24b8e40af9fffaf66f5c1ad
com.github.bibsysdev	core	1.24.13		3c67c560f965b651c3c64e946b9c57f1cb7898f6
com.github.bibsysdev	core	1.24.14		c80434f648dbbc43a8fe3fc086b11c7ccf1bbe1d
com.github.bibsysdev	core	1.24.15		6f8b9c00f7157464133b4ffe9f4b90090eb0a69e
com.github.bibsysdev	core	1.24.16		179f7a324e706df0ce80ff6a22255b7ea09b82f3
com.github.bibsysdev	core	1.24.17		106d8c6fdb0c8c7175922fe9e2ced1cbcfa82cd9
com.github.bibsysdev	core	1.24.18		d9c1e7e031b797cba4697aedb384d30cabbccf07
com.github.bibsysdev	core	1.24.3		afb30c96aa212e453cd1856e8e82e42738bf6f93
com.github.bibsysdev	core	1.24.4		c678d08378f989488c1e61fa05ce198de7a6e254
com.github.bibsysdev	core	1.24.5		172270261aa2e86ae6b4135fddceee37ae3f9a7c
com.github.bibsysdev	core	1.24.6		f882cd58aa544fd0befafe74305b26f945f5c11a
com.github.bibsysdev	core	1.24.7		254ff4c0198ba77bd8ca002389a7e360f6368adc
com.github.bibsysdev	core	1.24.8		fcc634840193ea03a8dec8c22979d9a9fefe346f
com.github.bibsysdev	core	1.24.9		1fc71807170ab0550fa7c63ef5bc234caf0ea8a1
com.github.bibsysdev	core	1.25.0		a6179d4afa753ead06fd247a2f177886731a1e9e
com.github.bibsysdev	core	1.25.1		4708ea52d4cc103a650a3072458dee75f1c88fbc
com.github.bibsysdev	core	1.25.10		505631f578a9cfe7b36be1d2e66f49d84a6be340
com.github.bibsysdev	core	1.25.11		027dbf45567f93db728d2d8b72e227c06dee30eb
com.github.bibsysdev	core	1.25.12		ae4c59d46fa560c5a87ec2396204a9a997268a24
com.github.bibsysdev	core	1.25.13		073fd63a25a20ff3a3703118d9d0f4d22fe8e5e9
com.github.bibsysdev	core	1.25.14		9435ba58f247b20f2d51864e8835ec176ca927e6
com.github.bibsysdev	core	1.25.15		9591b41d8c5ccb636335919eb941742f90c402b8
com.github.bibsysdev	core	1.25.16		64986c7eae185551688bd747403aed7491e6691a
com.github.bibsysdev	core	1.25.17		84527b36a132099e7995fb060538eb49834593bd
com.github.bibsysdev	core	1.25.18		ce631d20d93700f6684cf057f22a47e85648e111
com.github.bibsysdev	core	1.25.19		b92974c8540f52afaad73b1549cb75a8762bf7f7
com.github.bibsysdev	core	1.25.2		37b156d6952af381a5ac1966744842383d60bc62
com.github.bibsysdev	core	1.25.20		c98a17096accfd0fb8661c7fb68f1186036f63fe
com.github.bibsysdev	core	1.25.21		0e13d8027f35a69c92446412b2198faacc5aeab5
com.github.bibsysdev	core	1.25.3		70b9b384c45e6755440622f2e905c9d3e827e613
com.github.bibsysdev	core	1.25.4		25743dcd6d4852fbfbdcf717c254e23561827946
com.github.bibsysdev	core	1.25.5		dce88c76aace60faac469ad70240f89cf3a3d624
com.github.bibsysdev	core	1.25.6		4670e5f6d1de28e70d88cfe0629e0b8c5499a6e8
com.github.bibsysdev	core	1.25.7		fdc9b1b609d08c6a510dfe148caf18736cb4d94c
com.github.bibsysdev	core	1.25.8		fc5d6737d1eb3b1679bcf5bd5ad7c72c4bc0b930
com.github.bibsysdev	core	1.25.9		58bb7252242b615ab691b918f573156861d00345
com.github.bibsysdev	core	1.26.0		373d313268b76115b497d093e5beec1eb9056fd4
com.github.bibsysdev	core	1.26.1		0cdb0b7e5f5ec566e654912b29e91c61e76c7f7b
com.github.bibsysdev	core	1.27.0		e8f923bef99181c778c082dc0bc14dfda0cc4c5c
com.github.bibsysdev	core	1.27.1		44d4e9dfef9d38d826f4366664c7be4e09190f0f
com.github.bibsysdev	core	1.27.10		8bb69bcd4227b44ffbeda24492d8dc1da03e9282
com.github.bibsysdev	core	1.27.11		d3fcfb7bb5be984f4696889b8b23c6690df39c74
com.github.bibsysdev	core	1.27.12		0ff944ebb7bad2afd4811d0a172c55c65dbbf9d9
com.github.bibsysdev	core	1.27.2		6403435b55c3862e15453156dbdf3fb77e2989fb
com.github.bibsysdev	core	1.27.3		8dec2067bad27bf1c52e58b5c59549cbfb27741e
com.github.bibsysdev	core	1.27.4		d340634f29872fa86d1ef4403e55b6e0c3752a82
com.github.bibsysdev	core	1.27.5		f26092bee6e9c339e93dc996e2a0d39c579b8aba
com.github.bibsysdev	core	1.27.6		226da621de1ab980cced5c06de44a27d0de03108
com.github.bibsysdev	core	1.27.7		89afef9a8a1a3139f6e6715c49e79a599c54fc79
com.github.bibsysdev	core	1.27.8		9b31db6dcc4b088f37fe42c0f2c50a8d62bf547f
com.github.bibsysdev	core	1.27.9		db2ce4409b417dc1bae7cf2fc9b977c1ab76803a
com.github.bibsysdev	core	1.28.0		e44b87951a16f1ee1fabc5e15175e2087d45cc34
com.github.bibsysdev	core	1.28.1		045eac748391abb859e35aab0d37d1c6b19849b7
com.github.bibsysdev	core	1.28.2		12a98e9d9f3dafceb3c1855920a785749442901f
com.github.bibsysdev	core	1.28.3		47bfd8c96f28f926e6cd38ece329d273a8ddacc2
com.github.bibsysdev	core	1.28.4		dd052c288e24e40834fd7ad6b29f7998be617442
com.github.bibsysdev	core	1.28.5		81846b00bf22bd0755eab44be4bbcace8d2c8f0a
com.github.bibsysdev	core	1.28.6		00573a7d3c70aba67009cb1bd7f79f6adf214d4a
com.github.bibsysdev	core	1.29.0		269955389514f6a8aa55444e2ef98d9aaaf94958
com.github.bibsysdev	core	1.29.1		0b08c63230163bdc7936cccaaba5bfb2a9be1bdd
