au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-standalone	2.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.3.2	metadata	b26b040129063c03344bdc802f364e8f1aef0eca
com.aallam.openai	openai-client-watchossimulatorarm64	3.4.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.4.0	metadata	cd3004428aa1387bef42d946894700f834806529
com.aallam.openai	openai-client-watchossimulatorarm64	3.4.1		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.4.1	metadata	57679fc4efd232bb3fd4b909b76c9472bfbf1512
com.aallam.openai	openai-client-watchossimulatorarm64	3.4.2		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.4.2	metadata	b37a95e96c701c546dd13a983f15f07c8bf94c69
com.aallam.openai	openai-client-watchossimulatorarm64	3.5.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.5.0	metadata	8064a1cb76b77d5fc1e58d383984ded39a8126f1
com.aallam.openai	openai-client-watchossimulatorarm64	3.5.1		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.5.1	metadata	531fa3c3533e8bb410b93a144732582c501cafd9
com.aallam.openai	openai-client-watchossimulatorarm64	3.6.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.6.0	metadata	5c29a3417f3ce4cdad19ddef76b3cd8324c9030b
com.aallam.openai	openai-client-watchossimulatorarm64	3.6.1		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.6.1	metadata	5c7dfd0c61d42d68afe42a55d864fbff0c6fe1e0
com.aallam.openai	openai-client-watchossimulatorarm64	3.6.2		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.6.2	metadata	421d36acaa9ff1ce7f7e764e979ce62f108e9206
com.aallam.openai	openai-client-watchossimulatorarm64	3.6.3		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.6.3	metadata	ef25f397347ebc18ab5f4f2b9ab19f5736ee56a4
com.aallam.openai	openai-client-watchossimulatorarm64	3.7.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.7.0	metadata	017a351cdd8e280e920f645891016d65b9e1768f
com.aallam.openai	openai-client-watchossimulatorarm64	3.7.1		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.7.1	metadata	24718f24bdd344568c7612da5e7ebfced2daa2d2
com.aallam.openai	openai-client-watchossimulatorarm64	3.7.2		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.7.2	metadata	c457eb7073b8359ea6e5981078e362002992b175
com.aallam.openai	openai-client-watchossimulatorarm64	3.8.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.8.0	metadata	1d0f334ebbb96c92a7d8d26f29b0848830c31931
com.aallam.openai	openai-client-watchossimulatorarm64	3.8.1		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.8.1	metadata	71f59fa979d4c78b1efa16444afc27b21eb4a1bf
com.aallam.openai	openai-client-watchossimulatorarm64	3.8.2		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.8.2	metadata	9385f8d31b9c7542c8ba7bfc0b51b23257c3cbd9
com.aallam.openai	openai-client-watchossimulatorarm64	4.0.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	4.0.0	metadata	6efbadfc8593731c3c1bd534b30e7e1473bf54f2
com.aallam.openai	openai-client-watchossimulatorarm64	4.0.0-beta01		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	4.0.0-beta01	metadata	0525d37b5ee5a00c1683c8874024eeb049c4d6b5
com.aallam.openai	openai-client-watchossimulatorarm64	4.0.1		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	4.0.1	metadata	94277c5f971b4d608aff72d20f90e48abd6e408b
com.bhaptics.tactosy	ble	0.10.0		N/A
com.bhaptics.tactosy	ble	0.10.1		N/A
com.bhaptics.tactosy	ble	0.9.10		N/A
com.bhaptics.tactosy	ble	0.9.100		N/A
com.bhaptics.tactosy	ble	0.9.101		N/A
com.bhaptics.tactosy	ble	0.9.11		N/A
com.bhaptics.tactosy	ble	0.9.8		N/A
com.bhaptics.tactosy	ble	0.9.9		N/A
com.bhaptics.tactosy	ble	0.9.91		N/A
com.bhaptics.tactosy	ble	0.9.95		N/A
com.bhaptics.tactosy	ble	0.9.99		N/A
com.chatroulette	neutron-circe_2.12	0.0.2		01f0d4b7fd57c1463aef56d865b8c771aeccd692
com.davidlj95	my-kotlin-library	0.0.1		5bc001347bc78d59d470ed459d5e6f8a3441eb3d
com.diffplug.durian	durian-swt.win32.win32.x86	3.0.0		a2bc9d554a710bd4f34d37d09d1325835e6d298c
com.diffplug.durian	durian-swt.win32.win32.x86	3.1.0		b88ba79e2a501289bf973d49cf0d20a59a11b443
com.diffplug.durian	durian-swt.win32.win32.x86	3.1.1		27d383cd3596ed7a112828a566de46db661beeaf
com.diffplug.durian	durian-swt.win32.win32.x86	3.2.0		1eaa503f9ffff19ffddc44c76ff19c6463a0c6a6
com.diffplug.durian	durian-swt.win32.win32.x86	3.2.1		2a321db8de578b03b06737f0a600ac43cb2f2f7b
com.diffplug.durian	durian-swt.win32.win32.x86	3.3.0		f5a099ad97deeb8549a99cb720ef3ebfcaa4d818
com.diffplug.durian	durian-swt.win32.win32.x86	3.3.1		e98406eb020ec2db60aa6d55bec92210d142bfb4
com.diffplug.durian	durian-swt.win32.win32.x86	3.4.0		eb23ec6133148b07265ce07eacdeda4a11c2c62c
com.diffplug.durian	durian-swt.win32.win32.x86	3.4.1		cd3ab177d128d9ef519cf6ef5afb88c0b52806e0
com.diffplug.durian	durian-swt.win32.win32.x86	3.5.0		9c1d6df1da58e3f3c184d44912d8f9d7b2e5cd62
com.diffplug.durian	durian-swt.win32.win32.x86	3.6.0		198c309973337d2f9790b80a01e39cec5d22a7ac
com.diffplug.durian	durian-swt.win32.win32.x86	3.6.1		99e11b69c0f21d8e5468590ca50f539e58b50b49
com.diffplug.durian	durian-swt.win32.win32.x86	4.0.0		70d2ce7e5929e6fab3714b7f85d3194ecbb514f2
com.diffplug.durian	durian-swt.win32.win32.x86	4.1.0		68a92c3306a0ac968d3f355addc7fba1d963f759
com.diffplug.durian	durian-swt.win32.win32.x86	4.1.1		4729172a71186a14569e990bbdd64dfe6ab7efba
com.diffplug.durian	durian-swt.win32.win32.x86	4.2.0		5625484ebe6091075456ee07321c2147e314bc05
com.diffplug.durian	durian-swt.win32.win32.x86	4.2.1		158f6373565634126e9647cf51597070f49ff188
com.diffplug.durian	durian-swt.win32.win32.x86	4.2.2		02ed1484678ab4b1b8da8d458f8cae9a1c1e30be
com.diffplug.durian	durian-swt.win32.win32.x86	4.3.0		8029547f0339ac03834c04b34b93810093bc6882
com.diffplug.durian	durian-swt.win32.win32.x86	4.3.1		532a0bc6329c10f78f4936da4f2c3f24f8fe099b
com.diffplug.durian	durian-swt.win32.win32.x86	5.0.0		ef80605015d59afe54feb4245dea6934bd21f767
com.diffplug.durian	durian-swt.win32.win32.x86	5.0.1		6618ab38a930ae630e9bb0a23d097b576d6a9984
com.ea.orbit	orbit-metrics	0.4.0		ea1a3519178b241d5521a817b718d6ba91c605d3
com.ea.orbit	orbit-metrics	0.4.1		2e2cb0c1b2a90a9c5e08e4b19434f8a3d88d704c
com.ea.orbit	orbit-metrics	0.4.2		b5ba4961e4b747e66dd09587fa58acc2fce61d61
com.ea.orbit	orbit-metrics	0.4.3		945570715a7b3efb0de2e9fb1ca40978b9bd8626
com.ea.orbit	orbit-metrics	0.4.4		a4c4d7d13418c5705087871c9405bab8eea910f2
com.ea.orbit	orbit-metrics	0.4.5		7c88aff35c6be961931869fa2fab84db6b1e48d8
com.ea.orbit	orbit-metrics	0.5.0		6e482bb86ad8f1b4a8a2465e3a7676faa69c04f5
com.ea.orbit	orbit-metrics	0.5.1		0c3fa1b5ae86aa301406a37182ff37f7b3495452
com.ea.orbit	orbit-metrics	0.5.2		f05fac9ae440b6ac1a0aa0ac851a8e0dea6ac57a
com.ea.orbit	orbit-metrics	0.6.0		5e2e6055ba14d854202b68eb74dee1c90e07aa75
com.ea.orbit	orbit-metrics	0.6.1		5048ac372ab42685cf22f6e53785c3385aec7212
com.ea.orbit	orbit-metrics	0.6.2		08d0bdd42d4d00d655d1f6ba40fea8793f82e086
com.ea.orbit	orbit-metrics	0.6.3		8724a8676f119c5f1e04db38ecab2709fd974af0
com.ea.orbit	orbit-metrics	0.7.0		69cdd881807e26bd35656d51addec2a00e33fc54
com.ea.orbit	orbit-metrics	0.7.1		c72ff977585e809a9bb3baa1657e1d228e3e888f
com.github.alexarchambault.tmp.ammonite	ammonite-sshd_2.12.3	2.3.8-125-0c2846b7		ac8433382220221c324377651c91a95c25f525bf
com.github.alexarchambault.tmp.ammonite	ammonite-sshd_2.12.3	2.3.8-126-b13d995b		2f6abf338c49e047d6c99d24e41c7096b9a15ec9
com.github.alexarchambault.tmp.ammonite	ammonite-sshd_2.12.3	2.3.8-91-0bf267c2		89df89b71284809e688b5d922d63240189338222
com.github.alexarchambault.tmp.ammonite	ammonite-sshd_2.12.3	2.3.8-93-f3ac22ce		49e3a3527a28d4b9df7f4c5dce62a8b6a2c0c45e
com.github.funthomas424242	nitrite-spring-boot-starter	0.0.1		847e8fc83357c238576b01cb6e7c9ccae0c1c0eb
com.github.funthomas424242	nitrite-spring-boot-starter	0.0.2		b84232d2b49921051495a7912b1dc5bc58e07c02
com.github.marklister	base64_2.13.0-M5	0.2.5		d6af26a6853fea027a058e31fe781d5c000046e9
com.github.marklister	base64_2.13.0-M5	0.2.6		8649ddb3fe0f2bd3e89475eb1d5a6ea87835a130
com.github.tntim96.apache.tiles	tiles-request-servlet	1.1.0.0		87fb95db79c5e006883a8c54f1804db57a94f44f
com.github.yuyenews	Mars-start	2.1.6		N/A
com.github.yuyenews	Mars-start	2.1.7		N/A
com.github.yuyenews	Mars-start	2.1.7-hotfix		N/A
com.github.yuyenews	Mars-start	2.2.0		N/A
com.github.yuyenews	Mars-start	2.2.1		N/A
com.github.yuyenews	Mars-start	2.2.2		N/A
com.github.yuyenews	Mars-start	2.2.3		N/A
com.github.yuyenews	Mars-start	3.0.0		N/A
com.github.yuyenews	Mars-start	3.0.1		N/A
com.github.yuyenews	Mars-start	3.0.10		N/A
com.github.yuyenews	Mars-start	3.0.11		N/A
com.github.yuyenews	Mars-start	3.0.12		N/A
com.github.yuyenews	Mars-start	3.0.13		N/A
com.github.yuyenews	Mars-start	3.0.2		N/A
com.github.yuyenews	Mars-start	3.0.3		N/A
com.github.yuyenews	Mars-start	3.0.5		N/A
com.github.yuyenews	Mars-start	3.0.6		N/A
com.github.yuyenews	Mars-start	3.0.7		N/A
com.github.yuyenews	Mars-start	3.0.8		N/A
com.github.yuyenews	Mars-start	3.0.9		N/A
com.google.inject.extensions	guice-dagger-adapter	4.0		d0a76fea36fc4db26fe46a6c481a7b568e0bc899
com.google.inject.extensions	guice-dagger-adapter	4.0	site	8020093accc8a7f77784382900c3d28a8b35aa5c
com.google.inject.extensions	guice-dagger-adapter	4.1.0		82fe48adfae1e82d95c20242344fdf29af3791e4
com.google.inject.extensions	guice-dagger-adapter	4.2.0		71b35d2cb265e2c65cb9c017a4893ce4e89a48b7
com.google.inject.extensions	guice-dagger-adapter	4.2.1		a4d708eac1bca46605f8b81134c20ff50069e4c4
com.google.inject.extensions	guice-dagger-adapter	4.2.2		c8e4053cd5be727c145362c6d7b3ab3f033d5b31
com.google.inject.extensions	guice-dagger-adapter	4.2.3		c1df713d8b29c714997d5413f360120fededc989
com.google.inject.extensions	guice-dagger-adapter	5.0.0		c77a12754bd5e179aeaca04980a72960aedc14a1
com.google.inject.extensions	guice-dagger-adapter	5.0.0-BETA-1		c391e8d580460d2d146d85603fe3bcb5e4765b32
com.google.inject.extensions	guice-dagger-adapter	5.0.1		2e7239af29b13d7a1ddbeac997413483047161bd
com.google.inject.extensions	guice-dagger-adapter	5.1.0		6dd28c32401eea6bba0a760e2066d598231b46c3
com.google.inject.extensions	guice-dagger-adapter	6.0.0		1347f762b1618b86a9280e9c2761867ec88c86a9
com.google.inject.extensions	guice-dagger-adapter	6.0.0-rc1		c34bc903432a0c30522447681c4048aa1d43a875
com.google.inject.extensions	guice-dagger-adapter	6.0.0-rc2		458fafb88a9e526c27362762e9a41664b3554c5b
com.google.inject.extensions	guice-dagger-adapter	7.0.0		2c9da49ece6504c7402c378c966d3ced1fe4802f
com.google.inject.extensions	guice-dagger-adapter	7.0.0-rc1		408caeb7b7492c69d7ac4219b5bc03c53c21d49e
com.guoshiyao.rely	home-integrate-faitht	10.1.1-RELEASE		bb08ee55707fec0e672dcab4c1a1ed61da223318
com.guoshiyao.rely	home-integrate-faitht	10.1.2-RELEASE		ecc317621072a3dc382910fda547528d44ee9f5b
com.guoshiyao.rely	home-integrate-faitht	9.0.10-RELEASE		3ac993ee0891bf66600c6c0819bd959470058e8c
com.guoshiyao.rely	home-integrate-faitht	9.0.11-RELEASE		5f2d1a7ede66542c9b87b81636c67dc74d6b1d99
com.guoshiyao.rely	home-integrate-faitht	9.0.12-RELEASE		30b5c8338f9e8f97ce51a2ba777c8eb963bb6297
com.guoshiyao.rely	home-integrate-faitht	9.0.13-RELEASE		9b0a12858c3094baf35a643b684ee2cd902edd5e
com.guoshiyao.rely	home-integrate-faitht	9.0.3-RELEASE		f69148c75eecdb14102c9916c3a581a88516c90d
com.guoshiyao.rely	home-integrate-faitht	9.0.4-RELEASE		e936317a3e69c5eef4f41af0fce5ceea3bcb7465
com.guoshiyao.rely	home-integrate-faitht	9.0.5-RELEASE		6556e851b6dfcdaf0271517697c70da4a4c1cce2
com.guoshiyao.rely	home-integrate-faitht	9.0.6-RELEASE		1df6702e357842c5247b5c36743db602f1ab6804
com.guoshiyao.rely	home-integrate-faitht	9.0.7-RELEASE		f688af42214dcdbcc60993ce43e3d8e668495c0c
com.guoshiyao.rely	home-integrate-faitht	9.0.8-RELEASE		9b1852c7982802030836bf8252cec7ce40edd56f
com.guoshiyao.rely	home-integrate-faitht	9.0.9-RELEASE		ed722393894a87de30e4ec317d0fb3b850a90b8b
com.io7m.jxtrand	com.io7m.jxtrand.tests	1.0.0		1e9cf35a65d1773391d4c3a3709fea0fe4e14d08
com.io7m.jxtrand	com.io7m.jxtrand.tests	1.1.0		311762062ceb10c9f019303572f183b2ae6a9184
com.io7m.jxtrand	com.io7m.jxtrand.tests	2.0.0		c7c9971691187d7ce7056da533d1efd494ff81c1
com.io7m.jxtrand	com.io7m.jxtrand.tests	2.1.0		f53993c774fbe1fbf6773e7af21b4a7b23ac61e8
com.litongjava	jfinal-plugins	1.0.0		0edb5738e31ce1884534371422e1acb892eb84ef
com.litongjava	jfinal-plugins	1.0.1		6e9d68165401baae349684ab719e819a7783cba8
com.litongjava	jfinal-plugins	1.0.2		d8878a92037018dbaee0e65dba0427aa4e739951
com.litongjava	jfinal-plugins	1.0.3		1ed0bb3db8401e0abe7c83d2c643561f2ecc72ea
com.litongjava	jfinal-plugins	1.0.4		07d718f41486f4365f5d4ad240c6d33174e0ddd7
com.litongjava	jfinal-plugins	1.0.5		645cad8861c3fd8e422d0367caffbea8254db5d3
com.litongjava	jfinal-plugins	1.0.6		22ffc486ca5aafdd3dc23e04f2e365626472594e
com.litongjava	jfinal-plugins	1.0.7		6cf20563f5ab1b16b53b9c7be50d592352d0b013
com.litongjava	jfinal-plugins	1.0.8		057c0b84acfd535744850dafb9dbf4196f9dddaf
com.litongjava	jfinal-plugins	1.0.9		ebfde00cdd0122a72d58a2a1a729062fdcd753a4
com.litongjava	jfinal-plugins	1.1.0		d89074018379410841291720687c65807296ae53
com.litongjava	jfinal-plugins	1.1.1		0c9ee259b5cd369eb04aacc6876301c7b3ff93ac
com.litongjava	jfinal-plugins	1.1.2		85cc0d6c62bc723aaad6e12d8d6d1a91f94cd50e
com.litongjava	jfinal-plugins	1.1.3		e15cad65bdf59e2e848e19fb0ac7059a7433caa9
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.10.0		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.10.0	metadata	62f53d5694ebb61334a0dd50f9b31cdb53cc9c50
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.10.0-rc01		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.10.0-rc01	metadata	542f898f3463b387b5abcc5b4ffaabc5690dbe36
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.10.0-rc02		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.10.0-rc02	metadata	49aff0a88e0f8796527e83b8071be885771bcb97
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.0		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.0	metadata	c5a1ba4e3b637c92eac8f3ad50cb1be8319da62d
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.0-b01		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.0-b01	metadata	669d24e329037911efaa219914aa2b43ad2af742
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.0-rc01		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.0-rc01	metadata	6b5520046c6bbe9b1a9faa2b39fedbe6be7d7d4f
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.0-rc02		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.0-rc02	metadata	373cd141bd8f58c4da856019ea07f818c11122a7
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.1		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.1	metadata	cebe9f99fd6efb6bdf12c9d1bf43b9c5e084e0e9
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.2		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.2	metadata	3bdbf40ab02061e9f9357d69d14d9a2f64de6cc3
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.3		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.6.3	metadata	e4f0a1ed24b4afe7c4b2b41f25af5bdaf32b2f11
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.7.0		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.7.0	metadata	e179a2a4b1d81838e438b7bdbeec044271e9a90f
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.0		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.0	metadata	5756f4c818688a12c2cd1ecbdd0505470a102cda
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.1		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.1	metadata	4408298cdaaee74a43086ccd83f70d5a0020644b
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.2		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.2	metadata	6aef858f7f5328e33a69412680df46b522237ee2
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.2-b01		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.2-b01	metadata	5f2c79450ca4e65008344add206737e20fbb7e0d
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.3		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.8.3	metadata	c38e1f8d9bec2dcd89695608e67e814d7850f3a2
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.0		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.0	metadata	d35ca6de6f83303d7ac6f473fedd258fa3ea3e55
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.0-b01		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.0-b01	metadata	75dc614a2ccb37a750e7a0a8e523b241fed53739
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.0-b02		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.0-b02	metadata	5c39fff25de4a9cceda29994ff9c71e7e452ad9a
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.1		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.1	metadata	ac7a8c675e108a3d04c1be682201395530f1f5f6
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.2		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.2	metadata	77bfc9dfb0cbcc627ca81da00683fffc927e8aa5
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.2-wasm1		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	10.9.2-wasm1	metadata	66dee971ec4f52e4f700e50acb15ad0714487fee
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.0		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.0	metadata	fd4471dee4b10bda6da1c05c3f5b985906179344
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.0-b01		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.0-b01	metadata	21cdf564f4b9de510258bfa7754f33a2e3c1af3b
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.0-b03		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.0-b03	metadata	a9346b257480280ccb13939116c613e1446ce56e
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.1		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.1	metadata	55e50c6a50c56d3a4ffe63cf3629e3b7eac6fa0d
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.2		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.2	metadata	eff1e719cb64ab3a3e9dfa6da532b91b7ab874a7
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.3		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.3	metadata	258cb6a7986d7d502e734a59792e64f8ac462253
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.4		N/A
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.1.4	metadata	b45448ca7db0f2af70b4f61b1bd30b5f9988b698
com.mikepenz	aboutlibraries-compose-iossimulatorarm64	11.2.0		N/A
