ai.whylabs	whylogs-spark-bundle_3.4.2_2.12	0.7.0-a6		608e9a434f1787f776b8c5dca6fba90ede85b3b3
com.digitalpebble.stormcrawler	storm-crawler-langid	1.17		317f1ff67617666e31e346a91147a6dcc2b8ef4c
com.digitalpebble.stormcrawler	storm-crawler-langid	1.18		8991df2c907e4f011b0747800630637d37215a7c
com.digitalpebble.stormcrawler	storm-crawler-langid	1.3		14689a7949d200f547f34b1d17294e6c07a25b39
com.digitalpebble.stormcrawler	storm-crawler-langid	1.4		4f88a0bf90a4f1160282fc8dbd787f1aeac0e571
com.digitalpebble.stormcrawler	storm-crawler-langid	1.5		290e77ed20d1a7f2c051903093d99cb0f2d81490
com.digitalpebble.stormcrawler	storm-crawler-langid	1.5.1		713d2b8fc58da7ec42fe84522768658029698f34
com.digitalpebble.stormcrawler	storm-crawler-langid	1.6		7717b1cb32a6e74c3c85fe76647685bb7d670f7e
com.digitalpebble.stormcrawler	storm-crawler-langid	1.7		8b3017436be84d5cd24eee8a6bf64192ba8c08ef
com.digitalpebble.stormcrawler	storm-crawler-langid	1.8		4ee82d9b159125b881e6618b8b18e54d00198431
com.digitalpebble.stormcrawler	storm-crawler-langid	1.9		fe2417c0b82744e656b057fc1ebe17b55c85e763
com.digitalpebble.stormcrawler	storm-crawler-langid	2.0		173b6774cb713339e20c5b25ee593befd37fe239
com.digitalpebble.stormcrawler	storm-crawler-langid	2.1		ceeafbbb7608796c2bc51805c4d305c2ea5a6692
com.digitalpebble.stormcrawler	storm-crawler-langid	2.10		ad3abc78ceb69ec350cd9f783cf283b0b7357247
com.digitalpebble.stormcrawler	storm-crawler-langid	2.11		1638efa47c468d9faab8c70bad83c61f9cd8a2ad
com.digitalpebble.stormcrawler	storm-crawler-langid	2.2		0c0be905236ae59862cf87f036ab6b306894eecf
com.digitalpebble.stormcrawler	storm-crawler-langid	2.3		efb98d4af98e640823a393f0970915efaa69a61e
com.digitalpebble.stormcrawler	storm-crawler-langid	2.4		564c9086c75dd9ee8e8de15f9c25b400e8a8dae9
com.digitalpebble.stormcrawler	storm-crawler-langid	2.5		1b1338dc3e6a27a2d34060b2f962dcd990976c3c
com.digitalpebble.stormcrawler	storm-crawler-langid	2.6		1fc3f9dc232a71deaffe086352ed7c0d7a2c9ec7
com.digitalpebble.stormcrawler	storm-crawler-langid	2.7		0fc2e1c7f737894f853096cf150694b7e3698553
com.digitalpebble.stormcrawler	storm-crawler-langid	2.8		36d5ae13f2f71a4ccfadbf83295eb04279a506b2
com.digitalpebble.stormcrawler	storm-crawler-langid	2.9		289298a38f29ede3f670df4b4c39cedd883d1e5b
com.gitee.pichs	xwidget	4.0.0		N/A
com.gitee.pichs	xwidget	4.0.1		N/A
com.gitee.pichs	xwidget	4.1.0		N/A
com.gitee.pichs	xwidget	4.2.0		N/A
com.gitee.pichs	xwidget	5.0.0		N/A
com.gitee.pichs	xwidget	5.1.0		N/A
com.gitee.pichs	xwidget	5.3.0		N/A
com.gitee.pichs	xwidget	5.4.0		N/A
com.github.EmergentOrder	onnx-scala_0.20	0.2.0		7f754e6ee253e101d67524d9d028d97b99da0500
com.github.nebelritter.dice-roller	dice-roller	0.0.3		9078fdada3700822601cc0d99f58cb8239ad33e8
com.github.p2m2	data-model-rdfjs_sjs1_2.13	1.0.0		35e4353fa22366b82ad6f632e55b47b7d9889e8e
com.github.p2m2	data-model-rdfjs_sjs1_2.13	1.0.1		518eceaf82fe1a59d78f4571a0797b8289c4deaa
com.github.p2m2	data-model-rdfjs_sjs1_2.13	1.0.2		797205a67727eb4754c38e6250d80bbecaa1aa84
com.karadzhov	scala-iso-country-i18n-hi_2.13	0.3.0		c6c8e83cb93c27f524d8d35b648f87aa0783c5b7
com.karadzhov	scala-iso-country-i18n-hi_2.13	0.3.1		ea54244516f953f9c262aa4a8fa3a3ba18fd5c5d
com.karadzhov	scala-iso-country-i18n-hi_2.13	0.4.0		bd6f6397204eee10e17666ba70268abe92c3dd70
com.karadzhov	scala-iso-country-i18n-hi_2.13	0.5.0		9028a7ee4f324b7106efc0e6797199003fb21dea
com.linecorp.abc	kmm-shared-storage-android	1.0.1		N/A
com.linecorp.abc	kmm-shared-storage-android	1.0.2		N/A
com.mattunderscore.code.generation.specky	dsl-model-transformer	0.1.0		24bff4ee7358eb0a679b1ac1da1cb552c7cadba5
com.mattunderscore.code.generation.specky	dsl-model-transformer	0.2.0		d11f3951689a3a9f4c40981d27373b0d32369afd
com.mattunderscore.code.generation.specky	dsl-model-transformer	0.3.0		e4b1747b0be366cefddf91e6b15b43c1ee655a76
com.mattunderscore.code.generation.specky	dsl-model-transformer	0.4.0		dc1e3ea9a57d53737bcb6f81feef3b09dccabde4
com.mattunderscore.code.generation.specky	dsl-model-transformer	0.5.0		2b6c58782306d798743bb472ccf93c300dd28650
com.mattunderscore.code.generation.specky	dsl-model-transformer	0.6.0		31146955fcebd5dee57bdfa1527e3a5b1f1a3113
com.remondis.limbus	limbus-utils	2.0.1		f4edadc6767e7eb0e6a283dc30b8392c8c677f55
com.remondis.limbus	limbus-utils	3.0.1		26d08660054948cdb024284904683f0a7f1d254b
com.remondis.limbus	limbus-utils	3.1.0		4f638d20669be1abc76be02e776c01b3802baf8f
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.10		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.10	metadata	92e116fe91500282ce80ab796c8d98b853b2ec89
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.11		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.11	metadata	6e84dd37849ddec0a2278db1b1b408dc28fb10df
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.12		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.12	metadata	80227791d9650109de57c22a4098069f56eb0335
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.13		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.13	metadata	09a3e8d800fc9afb25b2c95af5c50e7cd12ff81d
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.14		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.14	metadata	63f8b54e833ee83db61a31a0b0ae8088ded82799
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.15		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.15	metadata	07d1e861065f18677e0709e42a03655660342d6e
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.15-kotlin-2.0.0-Beta1		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.15-kotlin-2.0.0-Beta1	metadata	1c08999534e8430b50cb1b898a1f51a6dd675478
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.15-kotlin-2.0.0-Beta2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.15-kotlin-2.0.0-Beta2	metadata	54f003666f8129eea95caaf7d2765e135ee8ea22
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.16		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.16	metadata	5a6a37caffc0e74903ddd9d098694d1b48b3c45e
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.17		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.17	metadata	88698719612427359bcf116cd39b0b6491e2855c
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.17-kotlin-2.0.0-Beta3		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.17-kotlin-2.0.0-Beta3	metadata	7739cd8596eefcf03fdcae7a18272fbad9841c8d
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.5		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.5	metadata	2924a1530e0b101fbabf57ba2a30ca1c3076280c
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.6		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.6	metadata	734082a0b9408cc99abfe4b9605225a75327990e
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.7		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.7	metadata	1fa1d0c76ca98b41603dbfb02450a35424c0b44f
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.7-kotlin-1.9.0-Beta		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.7-kotlin-1.9.0-Beta	metadata	06e9a9e10377da90467d2f0829ee576dbaa38f84
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.7-kotlin-1.9.0-RC		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.7-kotlin-1.9.0-RC	metadata	a5031af30d55b9af56ab16a9bb5f2d043eee10b0
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.8		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.8	metadata	de50a47da3e1496c74ed47b66c4e80c6d0111731
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.9		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	0.1.9	metadata	915ca6261bdd6beb9ca2b3afb108d04fbc5b909a
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-1		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-1	metadata	81d5f5c70b0ec8bf240827e958e100243d5be54a
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-1-kotlin-2.0.0-Beta4		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-1-kotlin-2.0.0-Beta4	metadata	281429f1dd226c03f2467df702b2b55afd636549
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10	metadata	75c78e46c7dc52171015b409473f00226f624d5a
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10-kotlin-2.1.20-Beta2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10-kotlin-2.1.20-Beta2	metadata	7bf509b549288c536323de8a8559a64d15a8c747
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10-kotlin-2.1.20-RC		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10-kotlin-2.1.20-RC	metadata	7b5571934622b93a6e31139592e62b5ee89fc951
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10-kotlin-2.1.20-RC2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10-kotlin-2.1.20-RC2	metadata	80568a59d083b91e57c24e5f2da87c55267ed1a4
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10-kotlin-2.1.20-RC3		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-10-kotlin-2.1.20-RC3	metadata	81db140d10c3febc717bc2fe1c4f572f73077165
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-11		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-11	metadata	1e7c98f057a11842ad88ac2bf2b3c7b0e771ecec
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-11-kotlin-2.1.21-RC		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-11-kotlin-2.1.21-RC	metadata	86b069a9492c592f3348a5c78cd32bec09f102a5
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-11-kotlin-2.2.0-Beta1		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-11-kotlin-2.2.0-Beta1	metadata	2b2f7e4b46032436173c54c252a5ae9d015030f3
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-2	metadata	5fa98610c76eb0f77530b4160d8725fa0b37996f
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-2-kotlin-2.0.0-Beta5		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-2-kotlin-2.0.0-Beta5	metadata	f0b15d7c4d61975616f37046dbbd5dc2d661b770
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-2-kotlin-2.0.0-RC1		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-2-kotlin-2.0.0-RC1	metadata	09a3285dc93ad1ec7dfd959dc45b6d271e16cdc9
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-2-kotlin-2.0.0-RC2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-2-kotlin-2.0.0-RC2	metadata	248de7768cfb49b11e737a037aeac69bf37d3424
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-3		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-3	metadata	c39526bd2ac61208488e0f7a0749b323643b4cc7
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-3-kotlin-2.0.0-RC3		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-3-kotlin-2.0.0-RC3	metadata	806f9618abb1c4616e6ee8ac32a98c9b39118b97
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-4		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-4	metadata	b93ac21d0d83aed5e95a1c264660ef3d52a4bed9
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-4-kotlin-2.0.10-RC		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-4-kotlin-2.0.10-RC	metadata	d22d749b2feadd914183ea1c4aaf8d94ee1e979d
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-4-kotlin-2.0.20-Beta1		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-4-kotlin-2.0.20-Beta1	metadata	72feb0fe2a7015ed28029dcf2b1e135e89660caf
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-4-kotlin-2.0.20-Beta2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-4-kotlin-2.0.20-Beta2	metadata	d6499b47bd02615af6740a2e5fd6d72cb031e1bb
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-5		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-5	metadata	8d63506ead3431f99c9b5430ea6214c02856425f
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-5-kotlin-2.0.10-RC2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-5-kotlin-2.0.10-RC2	metadata	2a57c037fc0cfc67936d496aefe083c4b44d16f1
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-5-kotlin-2.0.20-RC		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-5-kotlin-2.0.20-RC	metadata	4b9be486d0c30b8aba5b3368af7d56d09c6443b9
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-6		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-6	metadata	8051f57d92c21e6c1a3e377c3b49b3c7f30c9a65
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-6-kotlin-2.0.20-RC2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-6-kotlin-2.0.20-RC2	metadata	21627bd65af0fc34b1d3f264347938e420bd0e09
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-7		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-7	metadata	f660af8c5791a2cc95fb88ace0a6ed4851fb2b27
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-7-kotlin-2.1.0-Beta1		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-7-kotlin-2.1.0-Beta1	metadata	e95ab980b45474f3539e8a9927096d91a1270ede
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-8		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-8	metadata	16f23508d32ebf73f0c470d793d5f4592e0f149d
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-8-kotlin-2.1.0-Beta2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-8-kotlin-2.1.0-Beta2	metadata	21d5ddf6cf1b33e031da37abb92ac5aa108a16a5
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-8-kotlin-2.1.0-RC		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-8-kotlin-2.1.0-RC	metadata	59dfecfc3e1e9fecdccc4b4eb97098f16474c6aa
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-8-kotlin-2.1.0-RC2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-8-kotlin-2.1.0-RC2	metadata	7a8f73ac744388ffb75888f03db3198ec3aba170
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-9		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-9	metadata	55a486f4c2cfbf39cd3315a0dd94469cb94720b2
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-9-kotlin-2.1.10-RC		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-9-kotlin-2.1.10-RC	metadata	22ec0f3bdb0535088b21d1ba50cf832433fff89e
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-9-kotlin-2.1.10-RC2		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-9-kotlin-2.1.10-RC2	metadata	677eccb87a2654f237ad7de3b419308668372d09
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-9-kotlin-2.1.20-Beta1		N/A
com.rickclephas.kmp	nsexception-kt-core-watchosdevicearm64	1.0.0-BETA-9-kotlin-2.1.20-Beta1	metadata	c7623046da1792e848042f39b983a92d95138e3e
com.sap.cloud.yaas.rammler	rammler-core	1.4.1		01957d4b4cf37e58bfaf0040f85b7cbcc5af17b2
com.sap.cloud.yaas.rammler	rammler-core	1.4.2		4721a21a356b2887c180fc0636f341c3d5b35abb
com.sap.cloud.yaas.rammler	rammler-core	1.5.0		a06fab526c65baf53d71ba0a878e6c2facdcc508
com.sap.cloud.yaas.rammler	rammler-core	1.6.0		462d6d8c57257729ba5ec5bece62654e747b5555
com.sap.cloud.yaas.rammler	rammler-core	1.6.1		01f02f73a10f4b91196d9eb9e55e041577f9a690
com.sap.cloud.yaas.rammler	rammler-core	1.7.0		b074cb565c69d77d565521d258bc8e955bafb2ca
com.sap.cloud.yaas.rammler	rammler-core	1.7.1		9bf3982cf3b71992f900dbdc573ee096c9c5d0b8
com.sap.cloud.yaas.rammler	rammler-core	1.7.2		e180415535cde3facc361e1ee4c6d713ec5f1015
com.sap.cloud.yaas.rammler	rammler-core	1.7.4		d2bd7beef9e1a5bd0b197d20e8711d77a77cd10b
com.sap.cloud.yaas.rammler	rammler-core	1.7.5		13c3a9e135005fd00b762cf10801feb5e51c023a
com.sap.cloud.yaas.rammler	rammler-core	1.7.7		3390a8e4a2baa3a770087b1c706ce55240078a58
com.sap.cloud.yaas.rammler	rammler-core	1.8.0		05fb3e8ba6746646907570d12f86c588c381387a
com.sap.cloud.yaas.rammler	rammler-core	1.8.1		f59580919b7a24c8427e0284831a9fb710348345
com.sksamuel.jqm4gwt	jqm4gwt-examples	1.3.0		N/A
com.sksamuel.jqm4gwt	jqm4gwt-examples	1.3.4		N/A
com.sksamuel.jqm4gwt	jqm4gwt-examples	1.3.5		N/A
com.sksamuel.jqm4gwt	jqm4gwt-examples	1.4.3.Final		N/A
com.sksamuel.jqm4gwt	jqm4gwt-examples	1.4.5.Final		N/A
com.sksamuel.jqm4gwt	jqm4gwt-examples	1.4.6.Final		N/A
com.sksamuel.jqm4gwt	jqm4gwt-examples	1.4.7		N/A
com.soywiz	korlibs-compression-lzma-macosx64	6.0.0-alpha1		N/A
com.soywiz	korlibs-compression-lzma-macosx64	6.0.0-alpha1	metadata	52db554797edbe87ffbd2ace0ad5b7cf28266b4f
com.soywiz	korlibs-compression-lzma-macosx64	6.0.0-alpha2		N/A
com.soywiz	korlibs-compression-lzma-macosx64	6.0.0-alpha2	metadata	fa2ccaf74d489df2d50ead90ec1387a9a23c6952
com.yomahub	tlog-common	1.0.0		b3e53f07bb3c01adad8e69c5c946fd5bec0d4f35
com.yomahub	tlog-common	1.0.1		950862c18fece90994b945af4d9b66333336149e
com.yomahub	tlog-common	1.0.2		aa5299208c7cb1154dea753834e28f9fb9fa0c90
com.yomahub	tlog-common	1.0.3		9ca27bec005c8fbeae78fd4b038f7ca20723d62c
com.yomahub	tlog-common	1.1.0		c419490499936f399e2232937563d2241ab3a414
com.yomahub	tlog-common	1.1.0.BETA		53db13734cc1338e75eca80426c55827b3b5d381
com.yomahub	tlog-common	1.1.1		76eabaf54af563ed97b0be2a53e27e5e208aad97
com.yomahub	tlog-common	1.1.2		50f60d01e70ac6f061de8f19689b3dd922bfce54
com.yomahub	tlog-common	1.1.3		b47d2c9044137e78d388239fa3f9581f8788c3b3
com.yomahub	tlog-common	1.1.4		95592563c39c9aa33d0bde7c6be41bfe940c79a9
com.yomahub	tlog-common	1.1.5		4f7ef875b56b533141774f63ad44023f99209ec4
