be.yildiz-games	engine-client-addon-parser-xml	2.1.0		363622bc711fc44bf99cea02803cf6aa683ae1a2
com.foreach.across.modules	spring-security-acl-module	1.1.0.RELEASE		430482bc449775b9ab569ffee906eb71e76e992e
com.foreach.across.modules	spring-security-acl-module	2.0.0.RELEASE		f22ae5dd3540b351a630d97917ede6375caca7d7
com.foreach.across.modules	spring-security-acl-module	2.0.1.RELEASE		bb9cd24bc0998facf2bf05e1913763d782e6a6b0
com.foreach.across.modules	spring-security-acl-module	3.0.1.RELEASE		b5634fe177007cc2c3ab137daf3c0cad782922b5
com.foreach.across.modules	spring-security-acl-module	3.0.2.RELEASE		c0cca2b101f6a107060d0df691ca996381195149
com.foreach.across.modules	spring-security-acl-module	4.0.0.RELEASE		a46cbe33f714a7c8a8723ba59c55d915942ad553
com.foreach.across.modules	spring-security-acl-module	4.0.1.RELEASE		a3458ce0a2c50000e12ab6502f2e3b61e3716822
com.foreach.across.modules	spring-security-acl-module	4.1.0.RELEASE		fdd74c76cdb49609da9c0c1a74657f4031b050f9
com.foreach.across.modules	spring-security-acl-module	4.2.1.RELEASE		d8fc1b76636d7d405b44cabbe6cb973f2c42ee87
com.foreach.across.modules	spring-security-acl-module	4.3.0		56c55045f8a63dfff2c12241a4a1906f7f0de003
com.foreach.across.modules	spring-security-acl-module	4.4.0		79addda51e80372005cdfbfe79fdad72c35dd010
com.foreach.across.modules	spring-security-acl-module	4.4.1		1b752205f4444b34f71ed40d4221a39b21554446
com.foreach.across.modules	spring-security-acl-module	4.4.2		415fe7ea248191ae378214eea955325e7c5f4e92
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1		d5f7a2420dce3babe3ec816afad270ff2bf99eee
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-beta4		34ca88782607322916d4df9418831fa40c878fec
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-beta5		a16db7b1eb69f05c17c348706ba152085461bc12
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-beta6		663c077926585df047ad208a621141cf5491d4ec
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc1		a91a2a20fa40f8af407a394b6cc9fe2d1cf2e53d
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc10		6e56485306eecfc2ac788d83b6c8a73d96fe6938
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc2		8d64677909f55d8593b88bfd6feba54aa3c682bd
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc3		b8d847774d41f49358ee6a93cb4ad1b20c2b00e5
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc4		32c7c41b378f24c293301f4f8216a6d7be7bd8cc
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc5		758f5b5a0798339ba1cf5a65cc33bc831fc3abc1
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc6		4514cb6152e35778cafbcaf7fce4262e71224d4f
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc7		a163a4b5fe229e37bd4682247aea8614b71f007b
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc8		31e802820de73287da50f25c0572279bf77b8eb6
com.geetools.geemvc	geemvc-tomcat-boot	0.9.1-rc9		21eac1724533e2917f9e9990d4417799ed657f45
com.gitee.primexpy	mybatis-pojo-plugin	1.0		dbf391e40586c2ae11335db4a8f1862691172739
com.github.braginxv	netgym	0.6-beta		f12c60034ccf8d14592c9943430b31cb712ff08b
com.github.braginxv	netgym	0.7		574ea0f15b39fdd7d6163b7ac6f40dcfdb2ab885
com.github.braginxv	netgym	0.8		a8dd5697761a17cf6e61f6dbf0eb8a5f21871463
com.github.braginxv	netgym	0.9		5c57d3368d3f417767cc51abf18541234fbb43be
com.github.chenhaiyangs	rpc-tcc-transaction-spring	1.0.0		8d88f060ad379f33d1d5c2bbbac910d403ca8751
com.github.chenhaiyangs	rpc-tcc-transaction-spring	1.1.0		a971ecf09e3dbd26248b6a9ced22275aa1279ee9
com.github.chenhaiyangs	rpc-tcc-transaction-spring	1.2.0		ce6d81a33e86f5a3bda395f1f98873f03e590ea7
com.github.cornerman	colibri_sjs1_2.12	0.1.0		222e9bf018b8549b24f226e9b304225251c96385
com.github.cornerman	colibri_sjs1_2.12	0.1.1		8d2d9e7d44e32dc9f398d179163421eb313878ab
com.github.cornerman	colibri_sjs1_2.12	0.1.2		b9c2b4c5a0f96509ad2818af8579524543bed227
com.github.cornerman	colibri_sjs1_2.12	0.2.0		45903abbef1ef435d8a2366743137a69ab3f4276
com.github.cornerman	colibri_sjs1_2.12	0.2.1		20c34eacaf16165f02837719007144b10956c9ea
com.github.cornerman	colibri_sjs1_2.12	0.2.2		e7eedc981248c51ae6d19b219e5f5ae9c91ccebb
com.github.cornerman	colibri_sjs1_2.12	0.2.3		107ccf901e808953ff545f00be04f5a824ed02cb
com.github.cornerman	colibri_sjs1_2.12	0.2.4		eddbf3a4935b906c2b0b1a92358154b580a6b57b
com.github.cornerman	colibri_sjs1_2.12	0.2.5		892e0ac7b7dd07ecddd6d8ecf63c67e935334b35
com.github.cornerman	colibri_sjs1_2.12	0.2.6		17a895504205c59f7366919806b58fc8e37a3e1a
com.github.cornerman	colibri_sjs1_2.12	0.3.0		b3407d20b51bcdcefb873c4a7d76568993961ed9
com.github.cornerman	colibri_sjs1_2.12	0.3.1		82d067b58da563496880498685ab954ce4a63cdb
com.github.cornerman	colibri_sjs1_2.12	0.3.2		1f02ec8fb4c1856906a93765ea2e8413a897036e
com.github.cornerman	colibri_sjs1_2.12	0.3.3		3654fcc087db4fb6a1a7a1955d39ba6615f47758
com.github.cornerman	colibri_sjs1_2.12	0.4.0		40a65c519edc1aa652a30a0dfe7b99216f583692
com.github.cornerman	colibri_sjs1_2.12	0.4.1		bd9ce707be6ae6d0f12e6288e5f0438606c5ffca
com.github.cornerman	colibri_sjs1_2.12	0.4.2		c7045cded3682ed6f7cb07215436dbb2bb8ccb4f
com.github.cornerman	colibri_sjs1_2.12	0.4.3		fd71174b2add93333afee89257f7c5f1f7004760
com.github.cornerman	colibri_sjs1_2.12	0.4.4		d5de699a890126f75bc20b3be4add3d4134760a4
com.github.cornerman	colibri_sjs1_2.12	0.4.5		17c1673815c30e2e0ee1f560d7f0a231a3665fc1
com.github.cornerman	colibri_sjs1_2.12	0.4.6		b6e1bd08595c0171e7f00ceb28d269ab01f8a6e8
com.github.cornerman	colibri_sjs1_2.12	0.5.0		0ec50a472c8e5b63b1a5dd3e8923b004e02dcb4c
com.github.cornerman	colibri_sjs1_2.12	0.5.1		a9166eafc2f415965cd1004037fb067bd131fdd7
com.github.cornerman	colibri_sjs1_2.12	0.6.0		5228855ef744cd6091c311d8c52f103ecdc541ed
com.github.cornerman	colibri_sjs1_2.12	0.6.1		b7bc784fe809557034ffb127edfe76e696798300
com.github.cornerman	colibri_sjs1_2.12	0.7.0		5ae1331e47b6374e167954f99fbc623792005982
com.github.cornerman	colibri_sjs1_2.12	0.7.1		041a7c7d2d5d8f417a86bb1ce3457451aa2f45a7
com.github.houbb	chinese-baisc-test	0.0.1		5189b75a0a8b04fa4c2b18d68b025f3d39293e03
com.github.luues.tool	tool-parent	1		N/A
com.github.luues.tool	tool-parent	1.0.0.0.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.0.1.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.0.3.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.0.4.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.0.6.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.0.7.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.0.8.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.0.9.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.1.1.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.1.2.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.1.3.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.1.4.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.1.5.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.1.6.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.1.7.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.1.8.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.1.9.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.0.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.1.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.2.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.3.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.4.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.5.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.6.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.7.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.8.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.2.9.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.3.0.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.3.1.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.3.2.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.3.3.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.3.4.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.3.5.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.3.7.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.3.8.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.3.9.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.4.0.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.4.1.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.4.2.RELEASE		N/A
com.github.luues.tool	tool-parent	1.0.4.3.RELEASE		N/A
com.github.luues.tool	tool-parent	2.0.1.RELEASE		N/A
com.github.torresmi.remotedata	remotedata-macosx64	2.0.0		N/A
com.github.xlongshu.maven	spring-boot-starter	1.0		N/A
com.github.xlongshu.maven	spring-boot-starter	1.0.1		N/A
com.guizmaii	zio-temporal-protobuf_2.12	0.6.2		5fcc66f321dfed7bcf3cec12fa3de7f676cb51d9
com.guizmaii	zio-temporal-protobuf_2.12	0.6.3		2b62d672210509c8225f541467f3a3253ddb5374
com.guizmaii	zio-temporal-protobuf_2.12	0.6.4		baef408502e8f7651e24282fdb09021547bdb65f
com.huanshankeji	compose-multiplatform-material-icons-core-wasm-js	0.3.0		N/A
com.huanshankeji	compose-multiplatform-material-icons-core-wasm-js	0.4.0		N/A
com.liferay	org.springframework.context	4.3.30.LIFERAY-PATCHED-1		f822e0480f97d79873ebb43ea7a3682e53a148f1
com.liferay	org.springframework.context	4.3.30.LIFERAY-PATCHED-2		b1c486299945e53e84bc8fdc9104d13b2ef2fe17
com.liferay	org.springframework.context	5.3.39.LIFERAY-PATCHED-1		14d8279c2a0e76c1e821c4ad99fe197f8b8a43c2
com.lmaye	lms-cloud-starter-oss	1.1.7		fe968206ddb605b0670d62c383e49c9801469612
com.lmaye	lms-cloud-starter-oss	1.1.8		07d0c7a826fc287141db37affe53eaa9b45be841
com.lmaye	lms-cloud-starter-oss	1.2.0		e86618710ed3471782580e67d15236e075613c48
com.lmaye	lms-cloud-starter-oss	1.2.1		b4299119a6e459ce466925122fdf452299a067fb
com.lmaye	lms-cloud-starter-oss	1.2.10		0370b5a97ff6e7da949442b3270b2a9544ddf1b6
com.lmaye	lms-cloud-starter-oss	1.2.11		727be310f969548928ed72e2ced1844c91e8b6fc
com.lmaye	lms-cloud-starter-oss	1.2.12		f43ca568d9b3bb8cf29b927ed9223deab4083bff
com.lmaye	lms-cloud-starter-oss	1.2.13		da48079d1fc5631617c3bd10242a947911da593b
com.lmaye	lms-cloud-starter-oss	1.2.14		033856f8f35870d7a5c65a0ef788b13e8c47c940
com.lmaye	lms-cloud-starter-oss	1.2.15		e37f373d031754d450c5db825a2aa3710093c965
com.lmaye	lms-cloud-starter-oss	1.2.16		ff7620730ff1964ba6c8982b7cc0c68130be7356
com.lmaye	lms-cloud-starter-oss	1.2.17		1a87904c741745f7312d81fc6bc0da3502141429
com.lmaye	lms-cloud-starter-oss	1.2.18		c5712d15b541f37c82c50dfe280d0b76edb60b2b
com.lmaye	lms-cloud-starter-oss	1.2.19		48e46622dd2e5d64c7dbe65a7e8a4710d5a41e8b
com.lmaye	lms-cloud-starter-oss	1.2.20		12305e4d11f02e942a5274708c71360db685522d
com.lmaye	lms-cloud-starter-oss	1.2.21		c4bac7ae5451bc2210f8d344f17de84f94b1f7a6
com.lmaye	lms-cloud-starter-oss	1.2.22		8fd782dcf2cf597a1fce60bb166d3e7a5dc47262
com.lmaye	lms-cloud-starter-oss	1.2.23		3b019197bc1d3d182fb8c6cc146d86e0599821fd
com.lmaye	lms-cloud-starter-oss	1.2.24		4f999fa3f11dc03e342aac4e21cb18c9300caa30
com.lmaye	lms-cloud-starter-oss	1.2.25		2ffbe78b4d6d1a2d5574c2cff802ed02acfdfa47
com.lmaye	lms-cloud-starter-oss	1.2.26		3a9c64b8dd4f0a9667976882c06b03c40cdb02fb
com.lmaye	lms-cloud-starter-oss	1.2.28		303b5b41fab6401c7debcd286918e1fc4986a265
com.lmaye	lms-cloud-starter-oss	1.2.29		eb1d40d01911402d59443ee26198a34d75d77ebe
com.lmaye	lms-cloud-starter-oss	1.2.3		eaa5fa6b6e37ab5344fdf589b1bef8f9cefa0f3d
com.lmaye	lms-cloud-starter-oss	1.2.4		90ffcacad835cb10062ce16b71709e716717e745
com.lmaye	lms-cloud-starter-oss	1.2.5		ea7eb235638328d9d17eca2ce086f92f57efee45
com.lmaye	lms-cloud-starter-oss	1.2.6		aa025e592ca02482afc622f933755aeed340d935
com.lmaye	lms-cloud-starter-oss	1.2.7		638bb21bf74effcc81bb5613f3436b16173088f7
com.lmaye	lms-cloud-starter-oss	1.2.8		9375313074a6d61b08d8db1cf1d75714323daf57
com.lmaye	lms-cloud-starter-oss	1.2.9		30fefecb6ffb62a1d94204d8fa5064fb7db80ead
com.lmaye	lms-cloud-starter-oss	1.3.0		b86ebbc7995f2f9f3cc64a73c62c7f697e7593be
com.lmaye	lms-cloud-starter-oss	1.3.1		0b7cf9c92e4eb15ee1b721b3a14f6cc4062de455
com.lmaye	lms-cloud-starter-oss	1.3.2		6515a52cb2ed4660dd57fc92b0364ffdb4c21497
com.lmaye	lms-cloud-starter-oss	1.3.3		ffb8cdc839f48ae943adf1a7d653adc201a67648
com.lmaye	lms-cloud-starter-oss	1.3.4		038d5819c60ccd129505d56f411aca830cf8c76b
com.lmaye	lms-cloud-starter-oss	1.3.5		0e239f315a62094318237b4471041ff4c04253d5
com.mayreh	ywutil	0.1.0		e10496db593fc57036afe3e81613f4e4095f6ab8
com.niubaite.boot	article-fronts	1.0.2-2024		N/A
com.niubaite.boot	article-fronts	1.0.3-2024		N/A
com.sap.cds	cds-feature-api	1.0.0		a9bf227913456b60b66c886e9d79f9ab24323f75
com.sap.cds	cds-feature-api	1.0.1		244b36efbc63175d425a8d76c40cfd54383697c7
com.sap.cds	cds-feature-api	1.1.0		efad4adffc939cfec8c72be5ca47a5fa746bb847
com.sap.cds	cds-feature-api	1.10.0		be1043764e50b9865f1448a51a46ed3c2715d4ce
com.sap.cds	cds-feature-api	1.11.0		5699baae29efcb4b288928a960505ddd4009ca07
com.sap.cds	cds-feature-api	1.11.1		1ce2ffd65053592fcac8baeaa7b0c07d26db2284
com.sap.cds	cds-feature-api	1.11.2		6dd3f2d899ef070729a675c921e5e472863d56a5
com.sap.cds	cds-feature-api	1.12.0		12077e7e624c931cba7ff9082008d98a61afa50e
com.sap.cds	cds-feature-api	1.12.1		2eb06678d9f011981988ec5bd41afd200d94496e
com.sap.cds	cds-feature-api	1.13.0		b76f5700d644855ffdfac2437c9bcb94c6f7e9dd
com.sap.cds	cds-feature-api	1.13.1		68c7b402b3bcfac359eeaee7f172a9545bdf4085
com.sap.cds	cds-feature-api	1.14.0		4c024e784e253323b1c72146d9d8ce82f9fd192f
com.sap.cds	cds-feature-api	1.14.1		5accdafe9801c86d925f842c1daafd8eb774a19e
com.sap.cds	cds-feature-api	1.14.2		8c92506aa638bf2e15f65e0559197f1e62f817d2
com.sap.cds	cds-feature-api	1.14.3		607a8fae4cbc3ec871570a2ffd47fdace41e3722
com.sap.cds	cds-feature-api	1.15.0		34a0d33d5be2b145ae56f0ed09e4a15c7a0e364d
com.sap.cds	cds-feature-api	1.15.1		c4838a049135c44ccbd3af25a239aa224767e598
com.sap.cds	cds-feature-api	1.15.2		7af0183fe790533cac66079b6dbc8465815f1911
com.sap.cds	cds-feature-api	1.15.3		f3c8e39cc001fe564135b351b12131efa73998d2
com.sap.cds	cds-feature-api	1.16.0		b3c566dcf860bcc5d2f72f3b23f128e6df26ab5e
com.sap.cds	cds-feature-api	1.16.1		f43ba14a3c0ebff78c759ed3691824725e536342
com.sap.cds	cds-feature-api	1.16.2		26cbf0e7c155a4fd432ee0baecc7b59bc0f36b4e
com.sap.cds	cds-feature-api	1.16.3		69ca4e5d9b971adc92f75f138b7cdf8d283813c3
com.sap.cds	cds-feature-api	1.17.0		91d3d2191a20f923641fad1961d37e15560f229b
com.sap.cds	cds-feature-api	1.2.0		de4f96193f0e7a8fcf4fc8acacb2889c3b45b4a8
com.sap.cds	cds-feature-api	1.3.0		f7ebd56fe8ccf22b3b28e5a405b77b380f85aa14
com.sap.cds	cds-feature-api	1.4.0		156f2169ec5c898b1fdf59b63435859839f091eb
com.sap.cds	cds-feature-api	1.5.1		af7033fdf610d52de40e3a99b5819bc70888b2bb
com.sap.cds	cds-feature-api	1.5.2		07fce697f0bebbccd7ca335e7d0c4563262d5172
com.sap.cds	cds-feature-api	1.6.0		5c5253a9953967a9a7dc5c775d06eda1d17e5c68
com.sap.cds	cds-feature-api	1.7.0		84018ef4b04eff5dda97849422ee87f081ffa61e
com.sap.cds	cds-feature-api	1.8.1		a4f0248977dc19482cacb62ec1ac69be46a350e4
com.sap.cds	cds-feature-api	1.8.3		2d54952ca597c2f505c302797cc7651684146dc9
com.sap.cds	cds-feature-api	1.9.0		d31fc2587a9e15e5f010279dcc25473e3ba3a8ec
com.stackify	stackify-log-log4j2	1.0.0		cc348c56aa5605957f60b46947a2065955397ed9
com.stackify	stackify-log-log4j2	1.0.1		ac4d744c38819116c5db676b7ce9581cee4d4a95
com.stackify	stackify-log-log4j2	1.0.2		818ae8f848ae6cf5dd4729792ae1e857e655f067
com.stackify	stackify-log-log4j2	1.0.3		47dfa74432781d42c95136068e00889665d9a03d
com.stackify	stackify-log-log4j2	1.0.4		2fa63b8b1719ce8d28d072111aa55c6fecb54685
com.stackify	stackify-log-log4j2	1.0.5		63343ce210400a839181bce6377950b258f63594
com.stackify	stackify-log-log4j2	1.0.6		72e9945e62a653fac03e3adbe38a16e7b11e0823
com.stackify	stackify-log-log4j2	2.0.1		7b7c9ccb7ba3046252721a81da3ac477d56e887b
com.stackify	stackify-log-log4j2	2.0.2		3243da0ace69f395164bcb7ab40f664cfe8c25b0
com.stackify	stackify-log-log4j2	2.1.0		0723589f5a22093d2322488698af3142d4ee9ad6
com.stackify	stackify-log-log4j2	2.1.1		67118919e31740f9347d4cebfb2391c3965db8eb
com.stackify	stackify-log-log4j2	2.1.2		48c16361c2be0eac64ab9891e9851d783e1afc93
com.stackify	stackify-log-log4j2	4.0.0		8814e97e14bc09cf8f0c6cca6fabd5d6d3b7db64
com.stackify	stackify-log-log4j2	4.0.1		17927f7d0d9a3caf883f4e1e3aea00ae28a04864
com.stackify	stackify-log-log4j2	4.0.2		49b98c1d64bc0d7e1ebcf012697d4d6fd7427733
com.stackify	stackify-log-log4j2	4.0.3		6ba2a56ae7a9745ff120b0c7e9a6938648cdbcbd
com.stackify	stackify-log-log4j2	4.0.4		791597e6152e186143c12dc6d911c7e5207ac4ec
com.starxmind	bass-files-converter	0.0.1		b27955c7ec479c60aa15b6e86ffe769f58edbf80
com.starxmind	bass-files-converter	0.0.2		413c22052e9a362bf53c8df8f99d3bcd384d58a2
com.starxmind	bass-files-converter	0.0.3		dece95c0f94a7179354bf0b9f47fd1150eee7278
com.starxmind	bass-files-converter	0.0.4		ac4c07efe615e147bbe978585df26f2ef5fec961
com.starxmind	bass-files-converter	0.0.6		17063c4c0912b7dcd1b623fb141cda91cea3933e
com.starxmind	bass-files-converter	0.0.7		629ec59f071d64c31b9934b60d604c12f520f188
com.starxmind	bass-files-converter	0.0.8		1ad3094992c120320ac03b0585b50d7468aa60ab
com.starxmind	bass-files-converter	0.0.9		6524d8bb72f9deb814b08d4758e2840860bb9bd0
com.starxmind	bass-files-converter	0.1.0		f3ba63a1d009a736e304dfcb36cc6402081f72b9
com.stephenn	scala-datatable_2.12	0.9.0		cae8f94f4e373c083595d05e0ce8bc34095966c7
com.wizzdi	flexicore-boot-swagger	1.0.0		3d9908c9224c9f13dc10817c8fee5f2af75efef5
com.wizzdi	flexicore-boot-swagger	1.1.0		ef3dc6efdb46b95b64961f64605164e6792b6097
com.wizzdi	flexicore-boot-swagger	1.1.1		c3001137a4eb3dda690b9373f85b708a20886aeb
com.wizzdi	flexicore-boot-swagger	1.2.0		795b554382d5d04b456170b1bf8a32a97f353ff4
com.wizzdi	flexicore-boot-swagger	2.0.0		8df220c2e718692163b0461e8152fe43eaae36cc
com.wizzdi	flexicore-boot-swagger	2.0.1		f950c9cf655b6fb45bc16bc6d80aaea0cead8371
com.wizzdi	flexicore-boot-swagger	3.0.0		f77ed4b5a814e00e4075280b4e549045f4bceb29
com.wizzdi	flexicore-boot-swagger	4.0.5		948772ec30c138ee7da6ad4867dea4182c1adb76
com.wizzdi	flexicore-boot-swagger	4.0.6		b094c2654379723725914c4bdab986c43c11cf6e
com.wizzdi	flexicore-boot-swagger	4.0.7		c77bfe90bad3f23573fbae5fc27941feef9cbf71
com.wizzdi	flexicore-boot-swagger	4.0.8		957bb9e7e393387a32a58eccb2dfcc6dac2e0260
com.wizzdi	flexicore-boot-swagger	4.0.9		a23235cba3949528a3533f686f348c774932f587
