br.com.zup.beagle	beagle-yoga-layout	1.19.0		N/A
com.github.javen205	IJPay-UnionPay	2.8.0		46c56bb3c3b59e0a27d80e5d70c84cde90b8e4f3
com.github.javen205	IJPay-UnionPay	2.8.1		da13a3979c3d7790ce3531b8a9da67f4f56dd8c8
com.github.javen205	IJPay-UnionPay	2.8.2		119d80390fc409537e506cb420edfbb40f30158d
com.github.javen205	IJPay-UnionPay	2.8.3		733f2dd9fae073097faac8a75ced44bd13695b69
com.github.javen205	IJPay-UnionPay	2.8.4		d57f20a2ba5577941559245ae28130ef9c3f3c66
com.github.javen205	IJPay-UnionPay	2.8.5		7be40e2679133390c53922f5995a218349f464de
com.github.javen205	IJPay-UnionPay	2.9.1		e94ddce63fdbbf9fc866f0641e3a2468f2df8152
com.github.javen205	IJPay-UnionPay	2.9.10		5411bf6b47fac6c1ee71ddcc2b68862b684f9430
com.github.javen205	IJPay-UnionPay	2.9.10-17		e32b5cc07df563514fe5c68606919e8c19cffc66
com.github.javen205	IJPay-UnionPay	2.9.11		12b64eaa84f1c5a68b9766e2c8e1049ec10d9c10
com.github.javen205	IJPay-UnionPay	2.9.12		721e0c411f9c85300b75039cfa5fe4cd87818f33
com.github.javen205	IJPay-UnionPay	2.9.12-17		09a5cd5adf964b265d7ee68c9f377df5e9e305b2
com.github.javen205	IJPay-UnionPay	2.9.12.1		d34fced884ece171879d02a651b677ec42f504ce
com.github.javen205	IJPay-UnionPay	2.9.12.1-17		2d58ca442aaaa2aab34e8971a374c2aa843006b3
com.github.javen205	IJPay-UnionPay	2.9.2		c9b0d29834829a293036201cf85dd8b3d9784bbb
com.github.javen205	IJPay-UnionPay	2.9.3		b4fbb20aa1022d5384c6a667b2cbb4412d55cb96
com.github.javen205	IJPay-UnionPay	2.9.4		3b7c2ea971068c0864502750bb4dc2e70eec8e7d
com.github.javen205	IJPay-UnionPay	2.9.5		8f4b3d008d52dbd8bdff6f63b3a56d76d633dbcd
com.github.javen205	IJPay-UnionPay	2.9.6		d68d9e9b356b874ea448b971b9065243ef132495
com.github.javen205	IJPay-UnionPay	2.9.6-17		4f5bd822e063d032c141bb69e597601dae9086fb
com.github.javen205	IJPay-UnionPay	2.9.7		afd60ad09976284d67ee26101f3c2a9f8f35c64b
com.github.javen205	IJPay-UnionPay	2.9.7-17		d2f5dccc341fe40dfa5dc887f947f402f0a4daff
com.github.javen205	IJPay-UnionPay	2.9.8		0a918f93876a1bc50d8cff493f97ae8b6b714a24
com.github.javen205	IJPay-UnionPay	2.9.8-17		87fe6eb8846b3748ccf79e96e6eb11ecb47b0a3e
com.github.javen205	IJPay-UnionPay	2.9.9		ae5950e66154a12acea61c3afaa8be1a97fc887a
com.github.kaeluka	spencer-server	0.1.0		dccd712b109fd2fc9cf91f2d1755edf6b2a7418e
com.github.kaeluka	spencer-server	0.1.1		9e728dda19883eb9be45a2c953d080d4353c58fd
com.github.kaeluka	spencer-server	0.1.2		6639db7bc5ce187232feb67c6ab619f34fee1320
com.github.karelcemus	play-redis_3	3.0.0		fc125627694060d63743d483d969efcaf20ea1de
com.github.karelcemus	play-redis_3	4.0.0		e2ac1f38f4fad637d274bc4cc215cb55315b9800
com.github.karelcemus	play-redis_3	4.1.0		9d3fd3e092cc830d917e1b70bea18107c5c7adba
com.github.karelcemus	play-redis_3	5.0.0		c6ba58fd0ce1516ea9fa789e371b15ff35bf9d28
com.github.karelcemus	play-redis_3	5.1.0		4c106b0d353db71d047c311e57c2da2b3889df7a
com.github.karelcemus	play-redis_3	5.2.0		2a72c2e720d08eac247ef1869bae45619272b61d
com.google.code.flexlib	flexlib-example-promptingtextinput	2.6-M1		N/A
com.google.code.flexlib	flexlib-example-promptingtextinput	2.6-M2		N/A
com.google.code.flexlib	flexlib-example-promptingtextinput	2.6-M3		N/A
com.hexagonkt	http_server_netty_async	3.0.0-B1		df07c6a9e82db7d66e3924e157fd2404de6e1377
com.hexagonkt	http_server_netty_async	3.0.0-B2		ecb108ccdc3c1c5903efef47f344ec7bbfb0eab9
com.hexagonkt	http_server_netty_async	3.0.0-B3		16fc8d7fb0321b9cf61eb915daf39fc75742d6e1
com.hexagonkt	http_server_netty_async	3.0.0-B4		02698699455f2232ff3e4badb1644670d398423e
com.hexagonkt	http_server_netty_async	3.0.0-B5		17af48bc48172e0680753b5808f9dd0f0ab6d071
com.hexagonkt	http_server_netty_async	3.0.0-B6		3861dd00031f0f7fa9fd60090d52e78a5567e0c2
com.hexagonkt	http_server_netty_async	3.0.0-B7		aef6003fc56120de3a16feae1ab8729a8118c5cc
com.hexagonkt	http_server_netty_async	3.0.0-B8		698cb403cb36726b8bad54c86dfd5516fcb8dfa2
com.hexagonkt	http_server_netty_async	3.0.0-B9		9fc7a765ae81fae629ffdf868dad7a5219a02269
com.hypertino	json-time-binders_2.11	1.2.0		d31337f74d1b359b75bdd68487ea7de75fad8e4d
com.hypertino	json-time-binders_2.11	1.2.1		b0a72eb539a6dfa62cbf253a8542cdb3e52351d9
com.intergi.playwiremobile	vast	1.0.0		N/A
com.intergi.playwiremobile	vast	1.1.0		N/A
com.intergi.playwiremobile	vast	1.2.0		N/A
com.intergi.playwiremobile	vast	1.3.0		N/A
com.intergi.playwiremobile	vast	3.0.0		N/A
com.intergi.playwiremobile	vast	3.1.0		N/A
com.intergi.playwiremobile	vast	4.0.0		N/A
com.intergi.playwiremobile	vast	5.1.0		N/A
com.intergi.playwiremobile	vast	5.1.1		N/A
com.intergi.playwiremobile	vast	5.1.2		N/A
com.intergi.playwiremobile	vast	6.0.0		N/A
com.interzoid	data-matching-sdk	0.1.0		cd63c3d533b3e773af53e313c3055c4dfba454d9
com.interzoid	data-matching-sdk	0.1.0-SNAPSHOT		N/A
com.interzoid	data-matching-sdk	0.1.1		b71d7f90edce002799cb3c7d8e6fa7de597044f7
com.kmecpp	jflame	1.0		b8f35eb8022f15f125ba4215542555221ab729eb
com.koddi	geocoder_2.12	1.0.1		e02b1ea84413d30e50ff05b23989b453f3de649f
com.koddi	geocoder_2.12	1.0.2		e8f87662d4a4fd5cb450f22f532ea9c696dbc5bf
com.koddi	geocoder_2.12	1.1.0		979c518ebd5cd604e3e82589b5fb96b9a16904eb
com.ooimi.library	hook	1.0.0		N/A
com.ooimi.library	hook	1.0.1		N/A
com.ooimi.library	hook	1.0.2		N/A
com.ooimi.library	hook	1.0.3		N/A
com.oracle.coherence.spring	coherence-spring-docs	3.0.0		236cca8c0583f508e3505d5025fb8b749317f3a3
com.oracle.coherence.spring	coherence-spring-docs	3.0.0-M1		9d44f85171788ad72a5637e1a4e01dd133126104
com.oracle.coherence.spring	coherence-spring-docs	3.0.0-M2		39cb6badbf85728b41063cd5af6735ca6e1a8134
com.oracle.coherence.spring	coherence-spring-docs	3.1.0		fb25d01fdb002977c1e2345d5dd5b21e71b649f5
com.oracle.coherence.spring	coherence-spring-docs	3.2.0		f277d33fd33a0b8c4cce35700fb42e1fc0d2b722
com.oracle.coherence.spring	coherence-spring-docs	3.3.0		0b7d26827e8c62986283f215eecea8c39140f18f
com.oracle.coherence.spring	coherence-spring-docs	3.3.0.1		599d1f3df61513ae29d90e3525b80bfef8c2b972
com.oracle.coherence.spring	coherence-spring-docs	3.3.1		b54339cc0d2b4546e15d1d03733311d65d071566
com.oracle.coherence.spring	coherence-spring-docs	3.3.2		ee4c0668e3d62dbd9fc3387bba2e6aa5bed93d3c
com.oracle.coherence.spring	coherence-spring-docs	3.3.3		85ffde5d9dc463bb3824a903189c2ac81d95b6da
com.oracle.coherence.spring	coherence-spring-docs	3.3.4		2fec8db4bca9b26fa60460e3574d3495b932c2e0
com.oracle.coherence.spring	coherence-spring-docs	3.3.5		bb845e6c3bf83bbe3dca1ebf1474b744fc1a9265
com.oracle.coherence.spring	coherence-spring-docs	3.3.6		383475702dc106e1dc0ae647c5f34c956947992d
com.oracle.coherence.spring	coherence-spring-docs	3.4.0		c94496e5f665dad5a3349eb18837ca1db59a26f1
com.oracle.coherence.spring	coherence-spring-docs	4.0.0		1ca03a1fe499bcb8511252b04db78e9235f13fcd
com.oracle.coherence.spring	coherence-spring-docs	4.1.0		f06fed338149cbfd8c10751a6c89c8e913098dba
com.oracle.coherence.spring	coherence-spring-docs	4.1.1		115ca602b1fe3b3e265f771ceb7074d4a3e88c73
com.oracle.coherence.spring	coherence-spring-docs	4.1.2		8fcdcd5c725c44570ca57a8bc9ac657fbe578e2c
com.oracle.coherence.spring	coherence-spring-docs	4.1.3		5a00025705f1a61c2335500ede23d2a416e27092
com.oracle.coherence.spring	coherence-spring-docs	4.2.0		261ba6ee28a0627e95fd80f2d73f5c9413972a5d
com.oracle.coherence.spring	coherence-spring-docs	4.3.0		ae34d2fa3365f8f09b40723fa6c653c4b9ad0d97
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.10		2dcb52569b374c488ce7976245d704179e8d436a
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.13		ba2a5839e2d10e41fa0814c00585590f2bbc6d9e
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.14		6fab45198c116b022e8e1bd645bd22d26077fd50
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.15		a8a3cbc7f99f11b18daf504e766c75bef78502d9
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.16		307f8ea75fa56adcac92c30abe59ce0ad8d4d18f
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.17		76e59828f54a0415a70f5c0aaab838cced6c06c0
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.18		512a5cc54d237b10cbeb43dae4d1ac60a920aa8c
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.19		5bcd381e8ba499ea129b49966033e9aae8c2251f
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.20		88eb2781bc12dbf6216c2e093330de1bd2382b6c
com.saucelabs.maven.plugin	sauce-connect-plugin	2.1.21		aaf53dc0ba145f45f1e7129f99cc47d2f702b887
