com.enioka.scanner	provider-cs-zebra	2.3.0		N/A
com.enioka.scanner	provider-cs-zebra	2.3.0-beta4		N/A
com.enioka.scanner	provider-cs-zebra	2.3.0-beta5		N/A
com.enioka.scanner	provider-cs-zebra	2.3.0-beta6		N/A
com.enioka.scanner	provider-cs-zebra	2.3.1		N/A
com.enioka.scanner	provider-cs-zebra	2.3.10		N/A
com.enioka.scanner	provider-cs-zebra	2.3.11		N/A
com.enioka.scanner	provider-cs-zebra	2.3.2		N/A
com.enioka.scanner	provider-cs-zebra	2.3.3		N/A
com.enioka.scanner	provider-cs-zebra	2.3.4		N/A
com.enioka.scanner	provider-cs-zebra	2.3.5		N/A
com.enioka.scanner	provider-cs-zebra	2.3.6		N/A
com.enioka.scanner	provider-cs-zebra	2.3.7		N/A
com.enioka.scanner	provider-cs-zebra	2.3.8		N/A
com.enioka.scanner	provider-cs-zebra	2.3.9		N/A
com.enioka.scanner	provider-cs-zebra	2.4.0		N/A
com.enioka.scanner	provider-cs-zebra	2.4.1		N/A
com.enioka.scanner	provider-cs-zebra	2.4.2		N/A
com.enioka.scanner	provider-cs-zebra	2.4.3		N/A
com.enioka.scanner	provider-cs-zebra	2.4.4		N/A
com.enioka.scanner	provider-cs-zebra	2.4.5		N/A
com.enioka.scanner	provider-cs-zebra	2.4.6		N/A
com.enioka.scanner	provider-cs-zebra	2.4.7		N/A
com.enioka.scanner	provider-cs-zebra	2.4.8		N/A
com.enioka.scanner	provider-cs-zebra	3.0.0		N/A
com.enioka.scanner	provider-cs-zebra	3.0.1		N/A
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	2.3.18		ee6b3834bf52d4d0134fa47fb1227d1d5628eb2e
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.0.0		1f36e9d066f0bc63f3462dbf3d22b302bc56be40
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.0.1		52ae9daade1b6e996a44d00502bc4a805c64bcb9
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.1.0		21a156996d05026247f43483e766fdea79779ef3
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.1.1		e3d8a65ece5aa7e661f9456343e225d1944f2708
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.1.2		249756d3a3efb1a613e3e8ed9f4efe7985a2ff2f
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.2.0		4bfc508bb046a1b85425fd17aa799d63d4460efd
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.2.1		7a7b50ec3c87d9ed5421c957cdbf2b88b8fb9b3e
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.2.2		7ca7cf4f361f59fdf3847c4d6ec9f94d5e66e8bf
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.2.3		cc11bfcee35e271c688477593dae7dba7850af1e
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.2.4		e16c5f2715dc9c9762c3e1ddb1ff8299beb51f0a
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.2.5		a005761492df8bf7b69e68d98d0a21ba0dba7d23
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.2.6		45a7d86b226a27c19e5cb0223b753b2b873d2916
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.2.7		a47348c3bfc50f89973fe09ee8acbb9d595685bf
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.2.8		88f4ad6ff047768ed9b5e639831fa3e6e548dce1
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.3.0		122b5515163b1ca854a3ee5f5f48178c82b9e2fa
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.4.0		89f255122c17b7c00823bcbbfa3041617cae8d17
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.4.2		26f46b71a23ad8cccae1f2d1453e45daa1411520
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.4.3		a36619592a73078c6320f01991076f04777bdac3
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.4.4		4a1e02c2b080d7ea3223fa887a27081c2228656c
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.4.5		3c4bea83536a6b1efa89a62106f5bc691e4f3f12
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.4.6		c18ee23ebf77bb76ad779a45b0ec35d9957b93f5
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.0		4ac789b383a330ff00a714ae5d4e2dabb3d98a90
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.1		46fe3625e1bdcd2cc830d941e01d9aa0be701fc9
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.10		e257d492cfb786e2c57f9801742c121575adee72
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.11		5ee9651dba760f9d08a6dfaaacabcb5a619deb35
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.2		5cfc64088bcf917542f1d3096343a36a3818ed16
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.3		9706d2eb41756243e8d64e19073c58162a7fc60c
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.4		d77cbd74dae5fab3d29ae490fc725e80778d9b1b
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.5		c1a4cf572091b5b14a89f80a3efd3da12a5ba0f3
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.6		f7da634b35077af7b32a1b403cf23f374acaa655
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.7		f97bc224d5f237c8db320548f4b1f68a9cba8b13
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.8		41b74390d5054cd6f9e2b228d75a2cf0f8f2e55e
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.5.9		6a7fb9b52c996d2fb6b6283db98334a5fa261725
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.6.0		d1a18fb35a584fc3dc3c9f5a7f1ca3cdaa790925
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.6.1		c046fd629a968fa1fbf398d78fb60a659ccce5bc
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.6.2		3e7b2a850f60c5482199a7a4e8b0ec30677378a3
com.eurodyn.qlack.fuse	qlack-fuse-lexicon	3.6.3		c7cb7cfa02de571a13d0627809200c17faad16df
