ai.kognition.pilecv4j	opencv-install-jar	0.16-opencv4.5.2		N/A
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.6		7d9da5d845ab2683de9f33d68715e3f359e77724
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.7		5b3de74bfbb9cc6dccb3f910f0cd6c8f70cc1f7e
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.8		e315254c184fd6361fffbce9a1849a7081ed477b
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.9		23fafa6bdfcc46153261e76f219a9f8ba713d814
com.enioka.jqm	jqm-cli-bootstrap	3.0.0		27718a8c54004ef274d294f95fd1cde112ce0018
com.github.j-pingus	aggregator4j	1.0		462b180eeba9cb4db37e3394e45b2652b626fba5
com.github.j-pingus	aggregator4j	1.2		ec0524bbec65bb1ed23e29b92fd41cbe976325a1
com.github.j-pingus	aggregator4j	1.3		5994255503da4f27eecc4580ffe1a6763b995a10
com.github.yungyu16.spring	spring-boot-starter-proxy	1.0.0		ad16ad8ab7a4955ace4258c52b31a812ac0d1397
com.github.yungyu16.spring	spring-boot-starter-proxy	1.1.1		3e3e0c4222711aa06ee10ed39f8e39fcfe60d1ee
com.github.yungyu16.spring	spring-boot-starter-proxy	1.1.2		bee80c24711d61cefd7054556c3a7fbbf1ae9d9e
com.inkapplications.watermelon	coroutines-androidnativex64	1.4.0		N/A
com.inkapplications.watermelon	coroutines-androidnativex64	1.5.0		N/A
com.inkapplications.watermelon	coroutines-androidnativex64	1.6.0		N/A
com.inkapplications.watermelon	coroutines-androidnativex64	1.7.0		N/A
com.inkapplications.watermelon	coroutines-androidnativex64	1.8.0		N/A
com.inkapplications.watermelon	coroutines-androidnativex64	1.8.1		N/A
com.inkapplications.watermelon	coroutines-androidnativex64	1.9.0		N/A
com.javaaidev.easyllmtools	code-generator-cli	0.1.0		85f1df2be1fd67187e73e7b0f6835ed5f3d977a7
com.javaaidev.easyllmtools	code-generator-cli	0.1.1		7f770432967442a18524b88f2666bdbfd9f94a6f
com.javaaidev.easyllmtools	code-generator-cli	0.1.2		4883c19f0c4bac9045bddc9c1b65088235ac91af
com.javaaidev.easyllmtools	code-generator-cli	0.1.3		82c41d71e94f1f5a00cd59be76a60995a8dbb42d
com.javaaidev.easyllmtools	code-generator-cli	0.1.4		b73256f92b5263926968bf44f6679678caaf7468
com.javaaidev.easyllmtools	code-generator-cli	0.1.5		dc4958217c20f93567c4fe3cc7db11c89ce57dbd
com.javaaidev.easyllmtools	code-generator-cli	0.1.6		a10a753210b9729972b103041a20d903ba26481b
com.javaaidev.easyllmtools	code-generator-cli	0.1.7		bd0d712e37db8f8b9b0f226871b40d575e2bfd68
com.javaaidev.easyllmtools	code-generator-cli	0.1.8		9db81aab2ec9c8ea616fe0e48ba67a43b2989fa9
com.javaaidev.easyllmtools	code-generator-cli	0.1.9		f65165e6b863ad766e06c011b15547b7cee778ea
com.javaaidev.easyllmtools	code-generator-cli	0.2.0		405603c87cd7ff115619bdb0e9e26514ddb2dd57
com.kotlinorm	kronos-core	0.0.1		dbe8d30133e49e4cd7097a77dea6afce561df2f7
com.kotlinorm	kronos-core	0.0.2		c657eb030af656dffdf77d7410104e952a2a1536
com.lihaoyi	upickle_3.0.0-RC3	1.3.12		6554098e6e9f3c30e16994ff224c4f14db66e5e3
com.piniacloud	spring-pinia-component-satoken	3.4.1		3260803de3f802e3aa18135f830248fe8a3b9d28
com.piniacloud	spring-pinia-component-satoken	3.4.1-M1		5cca3049a1af754f07c8ce05dcdaccae3a75725b
com.softwaremill.diffx	diffx-utest_3	0.7.0		636f99b97948cb6c57e27291ecf57bd3f808ca0f
com.softwaremill.diffx	diffx-utest_3	0.7.1		088ec9f1c97bea6341a57965b16f18532633aa4c
com.softwaremill.diffx	diffx-utest_3	0.8.0		474cc6b4215e165206b71c7e7422ff5ef20c69b5
com.softwaremill.diffx	diffx-utest_3	0.8.1		37a1d358778e27f50e7fdcc510cbdd5ae1881c21
com.softwaremill.diffx	diffx-utest_3	0.8.2		d7aae453cf84bb3df5b70622c6b4631b85b3bb9d
com.softwaremill.diffx	diffx-utest_3	0.8.3		6cd91530a5e96273c1331082d2579fae9e44cd65
com.softwaremill.diffx	diffx-utest_3	0.9.0		f045f758b2a473dbd79242eba37a135c9a060d41
com.spotify	elitzur-core_2.12	0.6.0		485321bd6b2e56b68c69cb5a72c37e92322e08b3
com.spotify	elitzur-core_2.12	0.6.1		9565b800915d03b5272ae760c47f231e845e3869
com.spotify	elitzur-core_2.12	0.6.10		eadcbeee73b835911a0d6f06e70c0c0d94bc4252
com.spotify	elitzur-core_2.12	0.6.11		8c9e8ebcac9b82f1cdb8ae7fc964df2ddab8dae2
com.spotify	elitzur-core_2.12	0.6.12		1c076db5b70f2b4da91c282b923946d7d033083b
com.spotify	elitzur-core_2.12	0.6.14		ef16950c456cd248b48a93a55ef26da8dc94d97d
com.spotify	elitzur-core_2.12	0.6.15		8de88ee3c68a2d077380ff01e21ab3c4045aed83
com.spotify	elitzur-core_2.12	0.6.15-SCI00120-RC11		ce3d4c85730ae62e07243e0e7f11e6278a63040e
com.spotify	elitzur-core_2.12	0.6.16		413c522e58e545f23872c24cd8987bb54723c3e9
com.spotify	elitzur-core_2.12	0.6.2		eebd12bdd718505bbb8b5f34193296eb602770f8
com.spotify	elitzur-core_2.12	0.6.3		19ba51ad53ee50642e000f24b9fc7be4fc6714b6
com.spotify	elitzur-core_2.12	0.6.4		3d74057a32a7655c2e9d325980b4bb885e870991
com.spotify	elitzur-core_2.12	0.6.5		0438fbf9b5cabed63fa9cdd44233f594fcc7aa03
com.spotify	elitzur-core_2.12	0.6.6		e238439e6f2a32d100f6abcc535609d45ab231ea
com.spotify	elitzur-core_2.12	0.6.7		4fe57bf7dbed98c7b170ac75d4d01054a02461d5
com.spotify	elitzur-core_2.12	0.6.8		1ed0b7505681240a6e9d9ab91ef66aea54d7d32c
com.spotify	elitzur-core_2.12	0.6.9		22d941a52395ce504b5d4e819f0706974be1c631
com.spotify	elitzur-core_2.12	0.7.1		13dc84c2d49d66dc1eca7f8cc709ec946287d0d7
com.spotify	elitzur-core_2.12	0.7.2		616b0c3db44f48c0328d71cef00a4846b953139d
com.spotify	elitzur-core_2.12	0.7.3		9cca0be0b4ce65abdbd891f962e7db608c2488a4
com.spotify	elitzur-core_2.12	0.7.4		9ff73e767f49f1abd199d9e581a12f9bd3c015d9
com.uetty.tool	common-tool	2.0.1-ALPHA		46ca53f8137e05754a275cd2078a1c1be563d91e
com.uetty.tool	common-tool	2.0.2-BETA		686ae24a6f45966d1bccd40ee268e9eef877c86f
com.velocidi	apso-profiling_2.12	0.15.0		0388eaa3f47137bfeb9f2d75dd99114707952ffb
com.velocidi	apso-profiling_2.12	0.15.1		8312d59d75fe8d63af6129f6528a505d1abce4bb
com.velocidi	apso-profiling_2.12	0.15.2		6fa45ab92727fe7ab06e5f76fe1df793d14c0cc0
com.velocidi	apso-profiling_2.12	0.15.3		8a86eb013e8a1bb320e20edb0b8aef52db95fc0e
com.velocidi	apso-profiling_2.12	0.16.0		bd22ab7b918e3036f705b9fc684c3934e537f45f
com.velocidi	apso-profiling_2.12	0.16.1		598924bdaa7d85b3af5d2c4fc431988078e381ab
com.velocidi	apso-profiling_2.12	0.16.10		fd97aa1f80d1820c90ebca274d2e328e224dce75
com.velocidi	apso-profiling_2.12	0.16.11		3b050c023192d1cd421aad875c94191556124e17
com.velocidi	apso-profiling_2.12	0.16.2		7ebf9837878dca0f51b47a7ce22c4a6ccacbb0d9
com.velocidi	apso-profiling_2.12	0.16.3		29cfc02ba68c8b9cfae860300c932c032b0c4840
com.velocidi	apso-profiling_2.12	0.16.4		3949c550c4a6cb475f9a46efde97606999710ab8
com.velocidi	apso-profiling_2.12	0.16.5		03ee391b2ca4a21845d4f6c9c6152bf9f1777aca
com.velocidi	apso-profiling_2.12	0.16.6		1f43c8cc1b66ac24749595462aab07d7ed4e986a
com.velocidi	apso-profiling_2.12	0.16.7		e913d2137d87be6f21b764884cb0f728b68a25bd
com.velocidi	apso-profiling_2.12	0.16.8		83f4b7437092c04aa6f1ce6c2d9b8d9f5817e7bf
com.velocidi	apso-profiling_2.12	0.16.9		cb276226e4285a8f5ad1871c394b6e92ded965d7
com.velocidi	apso-profiling_2.12	0.17.0		eb6fcedc9e86fe67aa37d00c35f05855d7c03142
com.velocidi	apso-profiling_2.12	0.18.0		74448b6f56e382dd4eba384830afebafffc5b2b0
com.velocidi	apso-profiling_2.12	0.18.1		cbe34718873da74afac119d96a163d896ff0dc2f
com.velocidi	apso-profiling_2.12	0.18.2		f3f6ce06ffc83d56ecc60eee42d7fcc1c41ba4c6
com.velocidi	apso-profiling_2.12	0.18.3		cfedfdd43a602f0cbaba1787eada9263d93e2aa9
com.velocidi	apso-profiling_2.12	0.18.4		b8bf685367da5a56e7260517875d091417a6e558
com.velocidi	apso-profiling_2.12	0.18.5		468e8c4a4d44c91e5b0fec5440187b08570f6707
com.velocidi	apso-profiling_2.12	0.18.6		58b49a7281ef33a1635d94f846f040f8fea4be80
com.velocidi	apso-profiling_2.12	0.18.7		ee9aa61fc383a19eeb02c44c2435e747bd54cce5
com.velocidi	apso-profiling_2.12	0.18.8		60f4f774da1a9aae827ad6b3f643f81856fd6f2e
com.velocidi	apso-profiling_2.12	0.19.0		916d94162ab34c34173cbddd58c3e9cccdb051e0
com.velocidi	apso-profiling_2.12	0.19.1		1d0bb2a3efd86f6cdc6b37b1e61698aa9f2dfa4e
com.velocidi	apso-profiling_2.12	0.19.2		d8765aacc1af0e40742d3451b732f9d2001eb499
com.velocidi	apso-profiling_2.12	0.19.3		748bbd493c8e389a208502d43a4c9872b4e2a96c
com.velocidi	apso-profiling_2.12	0.19.4		c3dae20d3d58faef62f5a0e83afa062d357c014c
com.velocidi	apso-profiling_2.12	0.19.5		b58fc90e7662f14c9956c9ef9188ff716bbcfcdf
com.velocidi	apso-profiling_2.12	0.19.6		feda2eb90703450b529bb8ecc7052b8732397759
com.velocidi	apso-profiling_2.12	0.19.7		e62d096e33df7ec0a022b6048b09972fc4630164
com.yukihirai0505	sinstagram_2.11	0.0.1		0eb744c72fb7509037a19fdc1e4b63c01c15983e
com.yukihirai0505	sinstagram_2.11	0.0.2		97e4b5ba8c46d56bc1f751bd9cc02fedebad4e5d
com.yukihirai0505	sinstagram_2.11	0.0.3		522ab883489151720418850215971dde896fd1f3
com.yukihirai0505	sinstagram_2.11	0.0.4		c41c24293da5017262d744365d5155a69ee35358
com.yukihirai0505	sinstagram_2.11	0.0.5		00fa90c7e30827e9e6a9558282f97a36d6ca23f4
com.yukihirai0505	sinstagram_2.11	0.0.6		8aa30fa4cab86c109b21ee258f34309d5bcaae1a
com.yukihirai0505	sinstagram_2.11	0.0.7		02248caacc8dafe16c2b5ca86adccf7d5629d06e
com.yukihirai0505	sinstagram_2.11	0.0.8		0d6c7b096cc349b97b61f1ad0ede361ee6d99e68
com.yukihirai0505	sinstagram_2.11	0.0.9		9cc28bb005a4728e1bbbccbece05fa749021107e
com.yukihirai0505	sinstagram_2.11	0.1.0		802acb725dcd24eb0cd23ccff43daea93b837856
com.yukihirai0505	sinstagram_2.11	0.1.1		88b38636aa8d4f425c298b807653f64bdba2ba25
com.yukihirai0505	sinstagram_2.11	0.1.2		5c53c05a3c35334a1cab9c9840c9b49fb4491917
com.yukihirai0505	sinstagram_2.11	0.1.3		6fcb790d6a9ab6cecef53dfa69fea13851dafbac
com.yukihirai0505	sinstagram_2.11	0.1.4		e09c989d8628663db52b8064e93c95f4c5572b88
com.yukihirai0505	sinstagram_2.11	0.1.5		192c9c53fe03aac2b002fd8f3a24d9dc151e9626
com.yukihirai0505	sinstagram_2.11	0.1.6		99b476ad9c461a5b29e687ca0b087d9ee1478855
com.yukihirai0505	sinstagram_2.11	0.1.7		bb03103ddbc0895d519ce4e6359ff2a2069186f9
com.yukihirai0505	sinstagram_2.11	0.1.8		c88c58da5757533878d027b40ffeda86d9ecd5de
com.yukihirai0505	sinstagram_2.11	0.1.9		7b0197eeb1e089b5aece281032f2d55bdca03654
com.yukihirai0505	sinstagram_2.11	0.2.0		081286026152a2013068f91814d8e3fb700ee731
com.yukihirai0505	sinstagram_2.11	0.2.1		5375d0d68e59c4d85b5fde49905532bde616b089
com.yukihirai0505	sinstagram_2.11	0.2.2		03326230796709107996f5f0b329be857bcffaac
com.yukihirai0505	sinstagram_2.11	0.2.3		3cb1c8e1bf013e254d0b82a6812c08dcc674b81e
com.yukihirai0505	sinstagram_2.11	0.2.4		923a985a3a56e5b3fc6c725cb4bc10b76b37412f
com.yukihirai0505	sinstagram_2.11	0.2.5		8754b1ba8a46b831926129b923a16fcc17fa288f
com.yukihirai0505	sinstagram_2.11	0.2.6		f429582bdfde641fba5fbe3b6380bae22c906299
com.yukihirai0505	sinstagram_2.11	0.2.7		ec679318d366bf15aa3bdbcc378cc41c2d58adba
com.yukihirai0505	sinstagram_2.11	0.2.8		9cef9ecd9a158f08b5ee6bc2680d4b91e90b21ad
com.yukihirai0505	sinstagram_2.11	0.2.9		ceb3eff6206bae0e75eebf7178045121a4d4e239
de.quantummaid.injectmaid.integrations	integrations-parent	0.0.40		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.0.41		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.0.42		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.0.43		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.0.44		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.0.45		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.0.46		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.0.47		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.0.48		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.1		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.10		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.11		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.12		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.13		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.14		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.15		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.16		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.17		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.18		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.19		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.2		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.20		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.3		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.5		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.6		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.7		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.8		N/A
de.quantummaid.injectmaid.integrations	integrations-parent	0.1.9		N/A
de.telekom.test	bddwebapp-selenium	2.1		cb6340ad8f3ae4404d9fb92d682db9b0685a3ab3
de.telekom.test	bddwebapp-selenium	2.2		ab7c97c56f46534d581021bfeb0b970951964ca1
de.telekom.test	bddwebapp-selenium	2.3		0bd96f7a38d3ff5976b753d81d1bc921ad631651
de.telekom.test	bddwebapp-selenium	2.4		b0499dd9b55dbf7a8f38dfa7b39837f1cf1d2265
de.telekom.test	bddwebapp-selenium	2.5		885267a83923308395c956966961ee5270fef56b
de.telekom.test	bddwebapp-selenium	2.6		bc98f1c5e31f58b18c957fdf5fda222afcfc4e15
de.telekom.test	bddwebapp-selenium	3.0		92d626b22d06dba9f831d317d879c8046cf2935e
de.telekom.test	bddwebapp-selenium	3.1		adbb900fad05bf323dc8711786698323673b85ab
de.telekom.test	bddwebapp-selenium	3.2		a453f1d0d8d8b5ca3c8eefb5b1fb48b1364f2475
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.10.0		19c51d3e10b4d6877d501c22fb3370121662793e
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.4.0		7948f9ff9581d06452cbccf41ce33aff8653755c
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.5.0		ac9458406221f96f9f8120b1c06eaf5488f10069
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.6.0		144a0e6f198e862cb1e50442549aa516e8ab6cb1
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.6.1		436a147b0b294d7c1960374fe8ee6f57097dd20a
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.6.2		d18eeab8d2c5c76cbcec99136be49d855380e4cb
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.7.0		f988866247b343d086c5d563fa6b1130d113600a
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.8.0		1ffb18e97db2fbec635ec32569a1bf337ca4dc9a
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.9.0		44159df2fa3faa2734416cfb980b5beb874cb37f
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.9.1		4de61a1d5f7b194173b705fb69aab8936aaf97e9
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.9.2		50c9197d136d9181bca34dcf1c6a67c31ea32e72
de.tudarmstadt.ukp.dkpro.core	de.tudarmstadt.ukp.dkpro.core.api.metadata-asl	1.9.3		d194232c5d01aff3435b93b50999cabc5301cf0d
de.wayofquality.blended.samples	blended.samples.reactor	2.0-RC1		N/A
de.wayofquality.blended.samples	blended.samples.reactor	2.0-RC10		N/A
de.wayofquality.blended.samples	blended.samples.reactor	2.0-RC2		N/A
de.wayofquality.blended.samples	blended.samples.reactor	2.0-RC3		N/A
de.wayofquality.blended.samples	blended.samples.reactor	2.0-RC4		N/A
de.wayofquality.blended.samples	blended.samples.reactor	2.0-RC5		N/A
de.wayofquality.blended.samples	blended.samples.reactor	2.0-RC6		N/A
de.wayofquality.blended.samples	blended.samples.reactor	2.0-RC7		N/A
de.wayofquality.blended.samples	blended.samples.reactor	2.0-RC8		N/A
edu.gemini	lucuma-catalog_3	0.120.0		bb830871b5ab5112405768f29ee3f9a3097c8519
edu.gemini	lucuma-catalog_3	0.121.0		4d0cc6c1fc2b91dd486222e10b10cefa86b43c64
