ai.wanaku	wanaku-tool-service-sqs	0.0.4		780400b60fd9a1d7d18fbbebad4048ad40cf3cd5
co.touchlab.skie	configuration-annotations-watchosx64	0.5.0		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.5.0	metadata	446b8d5aee8537dcb735ea50e663b71bab548518
co.touchlab.skie	configuration-annotations-watchosx64	0.5.1		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.5.1	metadata	a350e7d09782e12a842247ed46aa85fd982d33b1
co.touchlab.skie	configuration-annotations-watchosx64	0.5.1-preview.1.9.20-RC2		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.5.1-preview.1.9.20-RC2	metadata	eb5790f9712442d7f70b80e9ecd773f6c4e134cf
co.touchlab.skie	configuration-annotations-watchosx64	0.5.2		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.5.2	metadata	511a8ffdd9f6dc9192e724695d6f261babcde782
co.touchlab.skie	configuration-annotations-watchosx64	0.5.3		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.5.3	metadata	01f7939a47f3c62c07c248c2eadf852866630025
co.touchlab.skie	configuration-annotations-watchosx64	0.5.4		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.5.4	metadata	13e6a05b2c02daf5a4609458b61de7af4af10859
co.touchlab.skie	configuration-annotations-watchosx64	0.5.5		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.5.5	metadata	be7191ec87cfc9f0578d983e459135c9d9d36ddf
co.touchlab.skie	configuration-annotations-watchosx64	0.5.6		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.5.6	metadata	37e9939478a426b02483e21f5a50b1cfb9720560
co.touchlab.skie	configuration-annotations-watchosx64	0.6.0		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.6.0	metadata	41818f4b427d326262a3d12a89257c49359ae268
co.touchlab.skie	configuration-annotations-watchosx64	0.6.1		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.6.1	metadata	258c1e165c350e48a6c8095ed0a20930d0e03369
co.touchlab.skie	configuration-annotations-watchosx64	0.6.2		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.6.2	metadata	c904f75a7fc5a2bacffd526b7a795591036c8b53
co.touchlab.skie	configuration-annotations-watchosx64	0.6.3		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.6.3	metadata	83251ed59d5c14305115ee988cdbd2b607183757
co.touchlab.skie	configuration-annotations-watchosx64	0.6.4		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.6.4	metadata	aa3e8ce3250acdf53e163d6c973d1d2360a98534
co.touchlab.skie	configuration-annotations-watchosx64	0.7.0		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.7.0	metadata	c13b72664f9a8ca87838f2db252338e532792104
co.touchlab.skie	configuration-annotations-watchosx64	0.7.0-preview.2.0.0-RC2		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.7.0-preview.2.0.0-RC2	metadata	a91230134d726d0bd9ab653050a60d4e22b12375
co.touchlab.skie	configuration-annotations-watchosx64	0.7.0-preview.2.0.0-RC3		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.7.0-preview.2.0.0-RC3	metadata	63d8cf1fc9f6a4200a98371f4bb19569372a2037
co.touchlab.skie	configuration-annotations-watchosx64	0.7.1		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.7.1	metadata	557fe400ce31995b7cf13fb1e7791be2f3a16a4d
co.touchlab.skie	configuration-annotations-watchosx64	0.7.1-preview.2.0.0-RC3		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.7.1-preview.2.0.0-RC3	metadata	5b744781b0418f8b97a9df9951c644d49bd4a1b5
co.touchlab.skie	configuration-annotations-watchosx64	0.7.2		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.7.2	metadata	6cc5914cddaf8df61be5fb3b2429d258299c2355
co.touchlab.skie	configuration-annotations-watchosx64	0.7.2-preview.2.0.0-RC3		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.7.2-preview.2.0.0-RC3	metadata	d26ee9d3003f00143cc2a0a4bd29aa3c0b8295cd
co.touchlab.skie	configuration-annotations-watchosx64	0.8.0		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.8.0	metadata	0c53c38ddcb44bd0617429b4e7e42e58360306ea
co.touchlab.skie	configuration-annotations-watchosx64	0.8.1		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.8.1	metadata	ecc4b726c8771d7dffa8ed29a964e2f26e6b7309
co.touchlab.skie	configuration-annotations-watchosx64	0.8.2		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.8.2	metadata	a488d5e2fbad2abb6a51b09dcefadbdb5610b0e7
co.touchlab.skie	configuration-annotations-watchosx64	0.8.3		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.8.3	metadata	84d69c250ca46179c19444617e5804526f6c710f
co.touchlab.skie	configuration-annotations-watchosx64	0.8.4		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.8.4	metadata	15788212d37ae0bd0710b8e7c22fd930f8f5d12d
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0	metadata	ebc1f2c69daeea81b3e4aab91f6388e124528e52
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0-RC.1		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0-RC.1	metadata	5670883b8edf5cd3e34df08c436bd1101431af23
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0-RC.3		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0-RC.3	metadata	ef374d76d5fb6c1e1efe3240e4d3b93cf4526f9d
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0-RC.4		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0-RC.4	metadata	35756525ac77e1499b61ba8355e1d3a656153e11
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0-RC.5		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.0-RC.5	metadata	173d5f5a368644c61e49e40694fc89157ba4b083
co.touchlab.skie	configuration-annotations-watchosx64	0.9.1		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.1	metadata	dab0a9a0f8ce10d7f334aacaf798589e261eada2
co.touchlab.skie	configuration-annotations-watchosx64	0.9.2		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.2	metadata	e9b90adad305dbc907d3ed0f2b8415b6f8594034
co.touchlab.skie	configuration-annotations-watchosx64	0.9.3		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.3	metadata	23786b3c8931a7c36b0b578aa1d7455c0b7459c5
co.touchlab.skie	configuration-annotations-watchosx64	0.9.4		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.4	metadata	803cf69f8a568dedd1ad5b37c0fa938b26a90613
co.touchlab.skie	configuration-annotations-watchosx64	0.9.5		N/A
co.touchlab.skie	configuration-annotations-watchosx64	0.9.5	metadata	9dec4b63ec8d9b4b37de3fede8972756f16f7a77
com.badlogicgames.gdx	gdx-openal	0.9.9		71624eb8ed88843ccd2a3d255bcc0c8531cedbb0
com.codeplex.jpa4azure	jpa4azure	0.6		5a3be608a090fd2efe0171c386f9584dc779b28b
com.codeplex.jpa4azure	jpa4azure	0.7		36965cf40e39ff6fa0da07a245240393724c9877
com.datastax.astra	stargate-sdk-rest	0.3.5		a809f51fd28cfe698dfb4fa7e13242d58673304c
com.erpya	production	erpya-3.9.4-1.0.0		5460ee9b9325561e82eebc920e6c88c4a5693a45
com.erpya	production	erpya-3.9.4-1.0.1		25b3080e009b10e283799e7b71edc7d025310ca2
com.erpya	production	erpya-3.9.4-1.0.2		a7a8d2b686b6ad0ce267762729151f4fe32b3d22
com.erpya	production	erpya-3.9.4-1.0.3		a51cd1e33d652ee93879b83cbf7d77171013f3fa
com.erpya	production	erpya-3.9.4-1.0.4		9a72f6f652b368862b80019a3a47a3bcefc1eaf1
com.erpya	production	erpya-3.9.4-1.0.5		161649ac087f84b9391c6615b180361e2041f8e8
com.erpya	production	erpya-3.9.4-1.0.6		d780ee640ebff57452bae245d27f785fb5ef0296
com.erpya	production	erpya-3.9.4-1.0.7		6df357b3e1a96b8c400c6802917b7a2e8366f1da
com.erpya	production	erpya-3.9.4-1.0.8		560eaaf978cf5d4e7cf7b8eb56c8ac0588c859d6
com.erpya	production	erpya-3.9.4-1.0.9		a5280b1d813c79a35ad7436aaef465dd48b0e159
com.erpya	production	erpya-3.9.4-rc-1.0.1		d96c4b1ab62897b33788e96a8a31101e729c785f
com.erpya	production	erpya-3.9.4-rc-1.0.2		dba536030685f8c33991a4c3c8cdde79899fde5b
com.erpya	production	erpya-3.9.4-rc-1.0.3		2075f734d519dd324df13c75b657661718b85917
com.erpya	production	erpya-3.9.4-rc-1.0.4		86a5c055bdf29720d8ecc3282cfc36e81b733fdb
com.erpya	production	erpya-3.9.4-rc-1.0.5		7a80025c803b09043b8b97c2ae04f9878912d050
com.erpya	production	hw-air-terminal-vertical-1.0.34		007368d93c6bc540df734b8ee90273d3378caf51
com.erpya	production	shw-aereo-1.0.0		83050d1a4f07d5aa3dbf64858da8bd4193efee1c
com.erpya	production	shw-aereo-1.0.1		519a51b25d5ffce8c4b9475173ec9a47dee0fbdb
com.erpya	production	shw-aereo-1.0.3		b22291286469d00e43e48aabb4dc5bff2cecdec0
com.erpya	production	shw-air-terminal-vertical-1.0.0		bc0c10799927ca2f58dfbe1d32f14e5efee5a35d
com.erpya	production	shw-air-terminal-vertical-1.0.1		48953d80becc7aba6bd7589191c2473b9584bf75
com.erpya	production	shw-air-terminal-vertical-1.0.13		ba8930a01ea8fd33b94372f3781dc907bf329469
com.erpya	production	shw-air-terminal-vertical-1.0.14		057af619dda166f091546e038a7ee19ed200b259
com.erpya	production	shw-air-terminal-vertical-1.0.17		cb6d722530d44b209b34eea0046142fab2f73701
com.erpya	production	shw-air-terminal-vertical-1.0.18		402dcec48c6f9f00b8ecbe16ac7fc21b717cbbec
com.erpya	production	shw-air-terminal-vertical-1.0.21		2cfc5ce0772e60173984ab8dc747e36d8ec1d27d
com.erpya	production	shw-air-terminal-vertical-1.0.22		4f81b80674e8bf66880b27c6fe6f76bd0ba070d4
com.erpya	production	shw-air-terminal-vertical-1.0.24		e36f0cde3f4533dd0b17c2b70d8a11796287e72b
com.erpya	production	shw-air-terminal-vertical-1.0.27		0ab32ba1d1ea1d61d7177a54c8c61a67cdc4459f
com.erpya	production	shw-air-terminal-vertical-1.0.3		152ad2538a7e6d90f2ba46b53c19343f712c8cf3
com.erpya	production	shw-air-terminal-vertical-1.0.31		27bf36e870de31016ef3a81c540db3dfa8d75b8a
com.erpya	production	shw-air-terminal-vertical-1.0.34		1b7429f3b4b3a565e10543b877943440c3d7f298
com.erpya	production	shw-air-terminal-vertical-1.0.35		ca0305ea546154d14e7b6e4065493bc1318985e0
com.erpya	production	shw-air-terminal-vertical-1.0.36		bc9e0d5ba2f8eb12cee5b017d8c0403edff35d50
com.erpya	production	shw-air-terminal-vertical-1.0.37		387a3b4aa86558ababa8707ad18aeda893875137
com.erpya	production	shw-air-terminal-vertical-1.0.38		4b584ce8c77b72eaef43785f33f07b8f733d29f2
com.erpya	production	shw-air-terminal-vertical-1.0.39		ccd4b5d87ac7d05dac3ed50ad59ee46477e804be
com.erpya	production	shw-air-terminal-vertical-1.0.4		ed1a8e232ff84355882f0b1de7ca521b050f5388
com.erpya	production	shw-air-terminal-vertical-1.0.40		aadf0ebf913265c3b8a46703aa07defa954e945d
com.erpya	production	shw-air-terminal-vertical-1.0.41		5834f6bae265c2eb3461c96b54405d5ee70b46a1
com.erpya	production	shw-air-terminal-vertical-1.0.42		7ffc849101acf70e4511e41ed875a5ca830c3ec5
com.erpya	production	shw-air-terminal-vertical-1.0.43		0ec3faf433c068f94a3331077113201266ad66e2
com.erpya	production	shw-air-terminal-vertical-1.0.44		094187442a8c97a2a302c8ff5a2964bbd4e6f667
com.erpya	production	shw-air-terminal-vertical-1.0.45		02eefd4ac5ce3eb79e2dc6faa52d88f8ccfdfd59
com.erpya	production	shw-air-terminal-vertical-1.0.48		50c9f97626e22d022dc4cbe34b95696a2fb9a6c8
com.erpya	production	shw-air-terminal-vertical-1.0.49		a37d9edfe0d9b0fdb0ef0a00e1430178d12c1126
com.erpya	production	shw-air-terminal-vertical-1.0.51		9fe0734e0415e454b93c95eca04848cc1ec0b443
com.erpya	production	shw-air-terminal-vertical-1.0.52		ccd64d33293080c3a5e061f3dc5fca8805824c77
com.erpya	production	shw-air-terminal-vertical-1.0.53		ba44c882e33be132e933613346332e27554b1482
com.erpya	production	shw-air-terminal-vertical-1.0.55		91631d8074bc6859953dc2edf6a798a7b537ee01
com.erpya	production	shw-air-terminal-vertical-1.0.56		c39ebdb9baacae13546ad73759cddbaa76de4a61
com.erpya	production	shw-air-terminal-vertical-1.0.57		2f22f4c56da786cc2d775aeece3a0af50d251b74
com.erpya	production	shw-air-terminal-vertical-1.0.8		e4f6bf939c2516b224f3d80ca2f9bca29591aef7
com.erpya	production	shw-air-terminal-vertical-1.0.9		9085435ec3a504f72273c77f847eed966a8f3c1a
com.facebook.hiveio	hive-io-exp-mapreduce	0.10		0fb51dfd9c56223a5dcff03a404794ad55286466
com.facebook.hiveio	hive-io-exp-mapreduce	0.10	jar-with-dependencies	585134a30bb8b104a63d00ca07312d84b279dedc
com.facebook.hiveio	hive-io-exp-mapreduce	0.11		395cf038b9a7b732700197674abca5bd1397e955
com.facebook.hiveio	hive-io-exp-mapreduce	0.11	jar-with-dependencies	f96224f5f29a7d35c285143f9337fd7ef72ddcd8
com.facebook.hiveio	hive-io-exp-mapreduce	0.12		ca965a2dcf6c08dfb91e99090dd2f994392bb05b
com.facebook.hiveio	hive-io-exp-mapreduce	0.12	jar-with-dependencies	ba1578c4b404639be3fc0f2138956c9f002e1275
com.facebook.hiveio	hive-io-exp-mapreduce	0.13		58b3a6f15b6bf14d68b1e4b84f8d34df61e26f66
com.facebook.hiveio	hive-io-exp-mapreduce	0.13	jar-with-dependencies	36144124ad9d672c19446d3f1e7b0c8b70d0bd9b
com.facebook.hiveio	hive-io-exp-mapreduce	0.14		3285e451d713a76d284dc31f05cc33ec036378c7
com.facebook.hiveio	hive-io-exp-mapreduce	0.14	jar-with-dependencies	800bbbcf3d73967d97cf3750ce9259435778ade3
com.facebook.hiveio	hive-io-exp-mapreduce	0.15		bfdb67cccb3abb3c07b8bdc5e8765a335f828d6a
com.facebook.hiveio	hive-io-exp-mapreduce	0.15	jar-with-dependencies	3ef2982554899759412ea048553da0240adeb5ae
com.facebook.hiveio	hive-io-exp-mapreduce	0.16		d12e83111a8ecd235f4e329cb23e148105738a84
com.facebook.hiveio	hive-io-exp-mapreduce	0.16	jar-with-dependencies	8242517f21657b527523dfbdb2770d7a5be29408
com.facebook.hiveio	hive-io-exp-mapreduce	0.17		c063e97dcee76b29eb14558b9f0c7f1a3c01dae9
com.facebook.hiveio	hive-io-exp-mapreduce	0.17	jar-with-dependencies	ba2fea0824d6b97df31f818067558e92ba598d9a
com.facebook.hiveio	hive-io-exp-mapreduce	0.18		00e3659bceb0da20f2a95f014659bcbe60405c6c
com.facebook.hiveio	hive-io-exp-mapreduce	0.18	jar-with-dependencies	f5d1019d8aa174285996d33a0f6dcfbd5751e360
com.facebook.hiveio	hive-io-exp-mapreduce	0.19		f2cffd1d814e28689934e8a7d040635d6678232b
com.facebook.hiveio	hive-io-exp-mapreduce	0.19	jar-with-dependencies	27f8e0614ec6648f7c0775810bd194d71e3a50fa
com.facebook.hiveio	hive-io-exp-mapreduce	0.20		ca40db9035ff73b9e2d7a29911842e6fed95f85f
com.facebook.hiveio	hive-io-exp-mapreduce	0.20	jar-with-dependencies	50f55ae36b8cb6142ce4ed6593eb9c801b393f3a
com.facebook.hiveio	hive-io-exp-mapreduce	0.21		4dfc418576f81a15426d22e07ec77fbabc00187b
com.facebook.hiveio	hive-io-exp-mapreduce	0.21	jar-with-dependencies	88f872352a21a76147b9c3ee0ae1aa8b5cbb1da0
com.facebook.hiveio	hive-io-exp-mapreduce	0.22		bc91d178c8e26e569f394018744b8107f8769e3d
com.facebook.hiveio	hive-io-exp-mapreduce	0.22	jar-with-dependencies	01e3c67eb5b1ff037bb88cc5214a517a09c07849
com.facebook.hiveio	hive-io-exp-mapreduce	0.23		7e2bb13553bebe50a3d5736b33166f1cdcc0894e
com.facebook.hiveio	hive-io-exp-mapreduce	0.23	jar-with-dependencies	17dfee996ad415dbcc854a399b574c8aaa1f205b
com.facebook.hiveio	hive-io-exp-mapreduce	0.26		802290680fdb1eceb5452d494f7b1cb0fb6a7ea2
com.facebook.hiveio	hive-io-exp-mapreduce	0.26	jar-with-dependencies	75a0f67ff135ba2ef7f55d98f313bc762c7438ed
com.facebook.hiveio	hive-io-exp-mapreduce	0.8		f177743db7c12091c29fdb61d5988b50a6dac3fb
com.facebook.hiveio	hive-io-exp-mapreduce	0.8	jar-with-dependencies	05c395b942af5db85b3c281347eedc2a7d488a6a
com.facebook.hiveio	hive-io-exp-mapreduce	0.9		0716b14ce902603eab09e9031e4cc14f1d42ca0f
com.facebook.hiveio	hive-io-exp-mapreduce	0.9	jar-with-dependencies	ec89333e49dd19db7341c584a4cc8dba4777df9f
com.github.aaronp	jabroni_2.11	v0.0.14		19148974ae00264d2b151b741f08de83ca273257
com.github.aaronp	jabroni_2.11	v0.0.15		e597cbef5cf62fda748683c433fdd7f920752e9a
com.github.aaronp	jabroni_2.11	v0.0.20		c91c002077f43f0b8e6bfad296314c50e0352fe7
com.github.aaronp	jabroni_2.11	v0.0.21		afc2fd00100b3d5099f7697ed6d9bd32d7b42912
com.github.aaronp	jabroni_2.11	v0.0.22		f2c1809e110ca4cb984514598ed6be18553e07ce
com.github.aaronp	jabroni_2.11	v0.0.23		4db6fb78d40ee16eff5d20fc0eb3d139a320d256
com.github.aaronp	jabroni_2.11	v0.0.30		694f725831acd9e22c268b807ac8f75c4ff4a67b
com.github.aaronp	jabroni_2.11	v0.0.31		13ad030d7ebdd3c3bba0ee0335a831c205c667c8
com.github.aaronp	jabroni_2.11	v0.0.32		298a81320ecbb607f344d86a0e036808397e10db
com.github.aaronp	jabroni_2.11	v0.0.33		ee05632039e32b36e09c2302540b1b7a9bd3d112
com.github.aaronp	jabroni_2.11	v0.0.34		ff82df2c4fce3a46cc42dd78e9fe33b1338e1c06
com.github.aaronp	jabroni_2.11	v0.0.9		c3c869eae715a255be13017045c105c8804576f6
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.10		fc3228921795522316243b5a02cf0f71929c6ca2
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.11		18080295a2c33faa18d5197830ed2526c8f6bac6
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.12		c938633a6b36de89521aecca4c1fdbebdd4c1c98
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.13		e7e00111a7c7ed0934134a3f9aa53d05909e8325
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.14		c5e51d7afd976b8e60e5b711cd8c1ddd5c6d6d46
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.15		e74f0a95549b3f0a2e7c62c6dea0d2efae336c79
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.16		2efa9fae560bc8caa1db4e8f9cbd602f592473d7
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.17		0f919c2ec593065d59643d2af872781c3be7c6c5
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.18		c86abd80c88345285a62f2fbbb8c144ebe841980
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.19		9694c492606322249e5d7ee4f4a98fd85123f707
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.2		873fbfcfcf74604a92a6a710c97cd749e69aaf84
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.20		4f9adf481e77fae2b21af2dc9afca9ee2d1f4755
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.21		33279b1804cbb2d2d1b154ed15f83ded2d6f7c29
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.22		0b2c2d53f931c22efad11b3ae4cd3d5d4f70af5f
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.23		6adb63057fbf2b5065858b572002d7b677229353
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.24		84e8002677b3140a7fc0572906402d4049d1eafe
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.25		b8e0aa9ab5110cb22e95c6745bc3f7fb6528e716
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.26		d88dda6a2f048323d53af0486d35049a58dba39d
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.27		21be61c54f9024df012225710b3ba26db744eee3
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.28		31869caefbd5825dacddf3433170589fddc96046
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.3		829464b0ebee1f2502e75fe3665f2ae364b6030e
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.30		d3d69b4e4ca53888e24349f5bc8d460fb4a517fb
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.31		c8c60908e791959c1440a84c3f3ab619a86024f6
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.4		69d28b22864e7562021cc8d8d61c695c4178d2b7
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.5		d3a73dd7b0d9f328b00037ab0d71c67b30cc4461
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.6		cadc20d0f99478037dd7306a42679200f8d9f5db
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.7		d1abbb083152e548254a51c2ad42ef399ed6bef3
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.8		0c806f9a637c76cf791eee90adfba0c880c30b4c
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	0.9		4b87f3e422521363682fd091bb2f889d0dd4c99e
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	1.0.0		6c0e250d0b884b76244551e5a699f7e48064b45a
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	1.0.0-alpha.1		N/A
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	1.0.0-alpha.1	plain	fae76b27b8336f9e2503fa1119fd8bf7170cdd4d
com.github.manosbatsis.scrudbeans	scrudbeans-spring-boot-starter	1.0.1		8b3f16cc973915cbc239cbaf4423fe5dfcf7e24a
com.github.moaxcp.graphs	graphs-graphviz-greenrobot-gif	0.14.0		31b25e2d800790a442d1bcae6948ff81ba288e44
com.github.moaxcp.graphs	graphs-graphviz-greenrobot-gif	0.16.0		0c1cf540fab1ac7566425d4e9f40d7bdd1957d1e
com.github.ryanholdren	resourcecompressor	2016-06-21		39a85e1eb2dc36210ee47889fb69888fbf3012e3
com.github.ryanholdren	resourcecompressor	2016-07-15		cf9a873e426141db187e50b21b9447a27c7d518f
com.github.ryanholdren	resourcecompressor	2017-06-24		5147ee5dc6d93a541c5246bb9935714b0e9c4acd
com.github.shyiko.klob	klob	0.1.0		ac4296fd4d84ae8aefd7d21145c7b58d97e4e3f8
com.github.shyiko.klob	klob	0.1.0	kalvanized	826b7e2b69be3b6be098e86442a165bc45230348
com.github.shyiko.klob	klob	0.2.0		6c47c4bb34e061cb3d7e5f5f567d661139c45927
com.github.shyiko.klob	klob	0.2.0	kalvanized	9863a4722ba4a4c03d5e3182ae27251a4b8b508e
com.github.shyiko.klob	klob	0.2.1		f6bc8b98c3fcce8a559beb2b6e8ec58efadb5bbe
com.github.shyiko.klob	klob	0.2.1	kalvanized	afe1fb7e7480fce7a033786c952e12d0c351d42a
com.github.wangjiegulu	rapidrouter-compiler	1.0.0		ae1eb132abd026a76b21e23cc711e50df0f17ebc
com.github.wangjiegulu	rapidrouter-compiler	2.0.0		c49f1d47c87fa832141eb84cce00e2ccbafa8214
