at.yawk.valda	valda-dexlib2	1.0.0		45a36e11d8d3a41d9a3d2e1d32a2c1f81e5ebf99
ch.epfl.lamp	scala-compiler	0.1.1-20170321-e54b7e3-NIGHTLY		2b7e72780c6b33a3305aa966f1d6d8fa84791f39
ch.epfl.lamp	scala-compiler	0.1.1-20170322-5fd7a95-NIGHTLY		b159233499208b258565a38d53ad724e134e4220
ch.epfl.lamp	scala-compiler	0.1.1-20170324-90eb9d2-NIGHTLY		19212294748a3008cb394e23cc4b973ca2b7ce72
ch.epfl.lamp	scala-compiler	0.1.1-20170328-9ba9b14-NIGHTLY		08446bd10fb89f98f78c1fe3f3d796d45681344e
ch.epfl.lamp	scala-compiler	0.1.1-20170329-f49c10d-NIGHTLY		8f3c5f56bfd54cbb6b0d20c90d326fc146078f35
ch.epfl.lamp	scala-compiler	0.1.1-20170330-f75caad-NIGHTLY		720a2f274de6dec84e526eedf2ce3ff232f5ea27
ch.epfl.lamp	scala-compiler	0.1.1-20170331-d73c8e4-NIGHTLY		ed6fecdd2bdf5261ed45dbddcd4b5869eeba8c50
ch.epfl.lamp	scala-compiler	0.1.1-20170402-054a4f9-NIGHTLY		a39e33a66a6e187b97292e80fd183ac978c4238c
ch.epfl.lamp	scala-compiler	0.1.1-20170403-5021c76-NIGHTLY		f16f6bf63b3fc6bb4a0c237f28de280c2a6e85ca
ch.epfl.lamp	scala-compiler	0.1.1-20170404-586113d-NIGHTLY		830bdbd71053cb0b57a71c84aa8da02d89c50a77
ch.epfl.lamp	scala-compiler	0.1.1-20170406-4d76265-NIGHTLY		87e02b8ac92b800415d06471dbfb7859ab48d02c
ch.epfl.lamp	scala-compiler	0.1.1-20170409-7294180-NIGHTLY		99d4a76aace202fae2db25e7dcf18b931046c447
ch.epfl.lamp	scala-compiler	0.1.1-20170410-0bd7821-NIGHTLY		620ba67ffe889c2733443fa7d109678a547b0f26
ch.epfl.lamp	scala-compiler	0.1.1-20170411-4b33e36-NIGHTLY		e5cdd8f6f9ac9cb01398a98b28bbafe16e8da66f
ch.epfl.lamp	scala-compiler	0.1.1-20170412-3a9deec-NIGHTLY		fa6da2ef91d67d7ee46783855a0d5d18633f6c2f
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170424-40d405b-NIGHTLY		6d7f00ce92431dc6a2d00a40d3004f493c6e4c3c
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170425-f1c3529-NIGHTLY		7c7b72063bcedec62ad9f26284a61361a22473a7
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170426-8815b40-NIGHTLY		3fa253a762e8ca6c847f41bbeee915a634c55e32
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170427-fa13f8d-NIGHTLY		0e0c6af55c2da34c40488ccd3a2c43e4b8746c18
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170428-206ba59-NIGHTLY		12b3f40ced10163d8f4916e2743ede8b41eff478
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170429-10a2ce6-NIGHTLY		09150b51ba5986c1f44d0a658a5a42caf2e6969e
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170501-b19d1fb-NIGHTLY		6bdc12e799ecf9f9f650acb20813e2dc33511a42
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170501-de53e52-NIGHTLY		d14cc7bb8ceb9105a32560cf1a4d42a5ac2fdbfd
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170502-df22149-NIGHTLY		78c1b6af61027bd26ecfbf6c998eb379297eca8d
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170504-92fe2a5-NIGHTLY		8371327c11dc986348a8862ddaffe0cd236a363d
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170506-385178d-NIGHTLY		76b5ab8f129b19cd7eee0a9d57ad672cd8a99c66
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170506-ea9643c-NIGHTLY		2e9f9ad23d79b144aa644e5f0d95da39ca485c61
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170507-1014af3-NIGHTLY		c1077485ccbc7ab1cc730c305e619ec89dd135c1
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170508-a391a58-NIGHTLY		bbb2d09c7d627f5c26e573f02f35794f74c5d1b4
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170509-7a3f880-NIGHTLY		967aedd80341519b7de0b5247f1ee3ddc652b2db
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170510-85d9684-NIGHTLY		4af6e8ed5c53cb77bf1f82031cb1096be86e138e
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170511-cc4533d-NIGHTLY		c16bfb55d8ff889791fe3a411290549b2a8c9238
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170516-8fbe087-NIGHTLY		9de939edf305737decb4553a48a1d6eae6e81b1c
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170517-8a9aedc-NIGHTLY		b7bbad041768f341b0210236451e8427f1d04c51
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170520-a147797-NIGHTLY		bd39f97d5ad15d3b2b43e084fa1f1cf9b67e15c0
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170520-d204179-NIGHTLY		e5f36957fb6fe7dc1be98de61b2e63413e01de76
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170522-5efbe52-NIGHTLY		5f418b257ba861f13eba5a784ce7ef1b205eb243
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170523-83745f3-NIGHTLY		eb1b6a3e81e43bc4869492ca577cea2fd7fd25d4
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170525-dffccfa-NIGHTLY		14b87d5ca3cc6eef4935078121da71853a8c9867
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170527-8b0aca2-NIGHTLY		1c42542cddf9c177aa19095fe3f18a2c7976a36b
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170528-5f1a8de-NIGHTLY		9a36806839ecef54cdeabcb74d3ccf14d8ff3673
ch.epfl.lamp	scala-compiler	0.1.1-bin-20170530-f8f52cc-NIGHTLY		1944fdd45e4a7078e1ebb1a8cab0963d3554a5b0
ch.epfl.lamp	scala-compiler	0.1.2-RC1		10d40b882a53a412509574f3ea7bca53796b1654
ch.epfl.lamp	scala-compiler	0.10.0		da98fa22eda7d21421cb47b8551eb1ad4f9786a9
ch.epfl.lamp	scala-compiler	0.10.0-RC1		096eb2709533e715bec91d16498370f38ecb7acb
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180705-61840b6-NIGHTLY		3756f8f9fb958a076c498de6141a6a2c1e840a70
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180706-7a80060-NIGHTLY		f1058fc2ca7e2090e2bf29888ebd0b6eb5d8635a
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180707-64bd0fe-NIGHTLY		50b75ddfa1c4dd324c64bf6862dbca35e362d4cc
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180708-346b8fa-NIGHTLY		7b2239194fd2e0354f915bf92c7e93adae8bb33c
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180709-acd0c6e-NIGHTLY		a2b93f52a00aed2c44e2c51b1a8fbef26fa8d69b
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180710-385082b-NIGHTLY		e7c496b779eed85b1fce97ad0840b8586bd35507
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180712-2e53688-NIGHTLY		acb09a9be66fae6f5677e003398acbb3ec257923
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180715-b668f16-NIGHTLY		065952daf1474ddf0bf154d7521b186509a07274
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180716-76972ab-NIGHTLY		d720892e7dfd8e3ed5065dbe4b06863989468138
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180717-37a5443-NIGHTLY		3c1261e4acaf93a6f3e1424cf36f95492ad52d8b
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180718-bfbd1af-NIGHTLY		919932d54fbf117781e93d7eee96a0fc6b802c1c
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180719-fe8d050-NIGHTLY		66fe6082d209062125c21fb31a3df2954356731d
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180802-38c066f-NIGHTLY		b61600f90cf3e0d6b43148360af681064966d44f
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180803-429c1f2-NIGHTLY		12e7e911f8ed3bf9f5db7d3b5a73e308140c9824
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180805-f39943d-NIGHTLY		8ec8efc56dbe1f9523693b77f625ae51d2a2632f
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180806-a4a611c-NIGHTLY		b8532f17e7f5afa7ed035c7e9169a4e8f6e39c8a
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180807-84966d2-NIGHTLY		aa4deacf6b807cc509e95ac50b75bbe5f6fe20fb
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180808-6c33431-NIGHTLY		431ac427d2c42b35ca3266da0fc14cc6710720d4
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180809-dbc8d80-NIGHTLY		1737f9b4df7ae3fd4ef15a59f9b94bebee2c2113
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180810-3bf8a16-NIGHTLY		8bed9408349e137b3947bd5d81467891ceeee480
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180811-a91d82a-NIGHTLY		874336bf4e08c7a0c7f5bbe3449fc20a5f6c07c1
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180813-b4670b7-NIGHTLY		3d2bb8bd20a2979a68087a1a6455af77959287ce
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180814-09a968a-NIGHTLY		6f8e85d9985c45394c10cfe1282254c0b699779a
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180815-61cba97-NIGHTLY		f82b4e72ece9cfbce90325aca3c2fb4cd05ca464
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180817-e8f137c-NIGHTLY		92d79a0eee4a63187e0267dc074467ec6d12d0ae
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180818-20945a2-NIGHTLY		d428c94e63e94287e60986764cab5f19bf4b4945
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180819-82b84da-NIGHTLY		a074c9568c1e010d880f1ceb41807e964e7b16f5
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180820-05e27f3-NIGHTLY		303c6cc7f7ca7acdb481fc53a7cab2f3b8747831
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180821-9dd92a9-NIGHTLY		c52a2d8a73e8e8e83c389d099239ea673b9da6fa
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180822-33afaa2-NIGHTLY		370442a5287e89e28b1b747d81dfdfafac0777e3
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180824-675b2ac-NIGHTLY		233dd45874574b10b8982d59715a8cfe2e92f189
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180826-28ddeac-NIGHTLY		e3d95a53de7977a32db4ba0e3036ecd7b2e769a0
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180828-1d24eaa-NIGHTLY		b65b724954be8307aaeb408fb2d3ef77977604fb
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180830-bb322b0-NIGHTLY		4706d2db61f61943bba9e0a9e74259d2fdfd8e29
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180831-fbcd879-NIGHTLY		0cdb12b11756f1c8a53a0d0303ba66c359661922
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180902-a31ea22-NIGHTLY		dd0252f363237084378a2e444d5d3cc8158540d0
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180903-86c4e72-NIGHTLY		dad42f61c128597b6efa602ebb794a7900dd1c87
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180905-c6687a3-NIGHTLY		8cc2eed037176d1d21e3e43be1bdad8449e211b4
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180906-00e396c-NIGHTLY		e0d6b4550a331a02cd5a65d1991e4d6d4c18d860
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180909-f5a6b74-NIGHTLY		bd3482949adf97c65bcbbe38dbee6d11c305f356
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180910-0c88214-NIGHTLY		d84c31511fbac8889a465637b7a64cdb16987b47
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180912-7dc2226-NIGHTLY		7b7ca8dbaf185977bcf3240b92bbf850cde7d68a
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180914-0a2734b-NIGHTLY		7340ecd27d97360a58e167efcde7607848cf31af
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180918-52a5bdb-NIGHTLY		15cd10e9de88b60f18afb59d88e4819f536b954e
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180919-e77a47f-NIGHTLY		5bf9ae7085c0ec71e105480a563eaf5e7914c9c1
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180920-9bfaf2b-NIGHTLY		7e34465877443c66865e705a04a6a2536bdea5b5
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180921-a0b429b-NIGHTLY		2879853206340e4718c181589e2c0e504ca4cb33
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180924-a4b60c4-NIGHTLY		6fec689090cf02b5d134f61d429fa574637adc9f
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180925-561c06a-NIGHTLY		fa995c96e76703d27c5b53a389ab9b571a08ed6d
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180926-5e91f77-NIGHTLY		acf69436173f607dcae5959f12ffc6cbb36f795f
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180927-19cdeb4-NIGHTLY		8dce7010713e780c0725d4a57e7fdd7476341488
ch.epfl.lamp	scala-compiler	0.10.0-bin-20180928-6317000-NIGHTLY		6e8e08f702b9d3f76b58797baa424e3badf8c6b2
ch.epfl.lamp	scala-compiler	0.10.0-bin-20181002-2b73f9d-NIGHTLY		248f63d02713604a0b0d262fe3aa26f0fcdebe70
ch.epfl.lamp	scala-compiler	0.10.0-bin-20181002-fd93b46-NIGHTLY		41ac3d00756c15464d4aa139b9d4e0b6bc31275a
ch.epfl.lamp	scala-compiler	0.11.0		fb82e5677f8b648355a6f46fa962321d3c9851c5
ch.epfl.lamp	scala-compiler	0.11.0-RC1		42b3cf9383b9c924cffafb27fb3cf56d046fae63
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181003-3eee37d-NIGHTLY		0147112281f69023741f077baf384a1c884d2695
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181004-3f86587-NIGHTLY		8ea6a47709ca8e9a8ac6a7e1ba52f596fac6282f
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181005-786e6da-NIGHTLY		2c9c29ac6080f56e98e4d5ffa17a2c13daf2a8c0
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181006-bb6a6cb-NIGHTLY		7cf45b4d2bbd6bd23636003fb37a7a90a88756ed
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181007-f86c6ed-NIGHTLY		2257a1d7937592bd4cb347e048b98bd8a857f75c
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181008-7463afe-NIGHTLY		004627f5a640daa5a0b4a8cfd7642d964551701e
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181009-9d12693-NIGHTLY		d64fc978f0253a68d61a185ccfccc0f66eaa85c0
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181010-97c63aa-NIGHTLY		5fb1095b910f254781867de2b14ef0e3193cf464
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181011-7027670-NIGHTLY		b3bc7d175574ee86fd5d2705362eb30054157ac3
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181012-7e5f0a2-NIGHTLY		738c53c0bcab1a00b7863603efef18db83333ffc
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181015-d3a0ac8-NIGHTLY		cb162a173c39c3648e702d416444533ac316aeca
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181016-ceafaed-NIGHTLY		2f50c139a89a72df0c5941cd5a6d80e01791067a
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181017-3253921-NIGHTLY		6878cb9a4910f710596516f5d18b452fd26f0995
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181017-a821035-NIGHTLY		fd427f0a205d101f7c60c668b8c2815a1faf83f8
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181018-24331a9-NIGHTLY		5b0081edf883868064027932f17fb379305c5e37
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181019-2f64743-NIGHTLY		5dff470218bdc8211a7c88ab51c50f17deee7f01
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181020-f758994-NIGHTLY		e748b865cf5b063596df7be7bfeba80239a48145
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181022-49db535-NIGHTLY		e4a8df729a9b2905b7731b69bde4ef9c8102f5a2
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181023-54cc7f5-NIGHTLY		6fa06dc3e6c98ea487b846ed9b3eee67d13b878d
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181024-05ddfda-NIGHTLY		137d9d0a3bd33a3b1fc91df6cac09e1bc0c88887
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181025-8031978-NIGHTLY		96b04d25313d4b5bc5f27f828f9c362954117207
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181026-cedef0d-NIGHTLY		bfde17f95ed9ab8b1594e104c74ff9fcb6ad7692
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181029-0fcbfdb-NIGHTLY		040ee3b970a0bc6d39d563514ec7e9863bcd2581
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181031-5a465af-NIGHTLY		c9111188b47e3acc5ae75a41eadd67b7efd7e9be
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181101-4075b97-NIGHTLY		b11bd6a461ef3926a45108e6094717300a6b2b0a
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181101-4100f88-NIGHTLY		4f0cde3c88ca31f169f88bd7be46f4735f3f262c
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181101-714ce80-NIGHTLY		24e906d9343519b91cf5d9eabff69a6a2e258ef1
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181102-d13a467-NIGHTLY		5aa3f976344f1a06e3408056fc48a33a36173fb6
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181103-f5b9572-NIGHTLY		1fb77539bf15597e8288234b6153c35ca3da4ab8
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181104-c04eb15-NIGHTLY		7dfce9d75670958de3aa1781e32e62db4b8f600c
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181105-f2b0b8a-NIGHTLY		8c43a6e73a0c17a043ff54b38b2eb21c8364de4e
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181106-2cc525a-NIGHTLY		6a1b4d3ae8ae2882e201324ecf612172db7ada73
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181108-45eb6aa-NIGHTLY		54f1138a9ec47c40f5afe372d8dc88bcbbc8df99
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181109-a9029dc-NIGHTLY		7bd6b4cd283ab52f7278e350a35b38c2a6b1d3d1
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181111-180c8df-NIGHTLY		823aea30aa7eac3f7676bc6f3663adc23c801220
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181111-a043541-NIGHTLY		d4df9b81e256b996974b944d5bd3d891cacdd81f
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181112-9eed6e6-NIGHTLY		f2903b60dc1fe162418513f1ddce27b6ea24d22d
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181113-bf5ba46-NIGHTLY		31516b57b4be7ecf92419c3ca54814547f8b6819
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181114-7a86d5b-NIGHTLY		8da9b5d6099aee1d6c98d2a9802e5b54ceb81218
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181115-4bd5115-NIGHTLY		8b0d12dc52144a0c257393ed5a9dc6b4aed37305
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181116-2d23cba-NIGHTLY		b3c2f282df3f9bcf38fed64df900c5a155e5d9d8
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181119-0a1aed2-NIGHTLY		68a1a7e38bdad163605a240389dc31a4f90756c2
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181120-2ac1401-NIGHTLY		0863b8a6f1757f7736037653fb13a131d2b84356
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181121-d6e67d4-NIGHTLY		8ccb3c501b4f80a6181529383b598263c0367613
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181122-74c405e-NIGHTLY		4766beb640b08dd7514012a866d9be050e4f389d
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181123-9a9aa31-NIGHTLY		bc15b9f0d08b1fb6e75b192865622d185726e4c4
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181124-d56af69-NIGHTLY		ec873af72f31b3ec9e24825673661204c572a6a9
ch.epfl.lamp	scala-compiler	0.11.0-bin-20181125-92bbb6e-NIGHTLY		2d25862cb5063f033a2c2d274e56a3721790120b
ch.epfl.lamp	scala-compiler	0.12.0		924a49ed9aa737e9b780197248b3eee42b48671a
ch.epfl.lamp	scala-compiler	0.12.0-RC1		241ac5276147c09825785059c3a9fbbc8d78a815
ch.epfl.lamp	scala-compiler	0.12.0-bin-20181126-a64e083-NIGHTLY		ac2dd870637cbcfff545ec785140218b0405cd25
ch.epfl.lamp	scala-compiler	0.12.0-bin-20181127-235a103-NIGHTLY		61f921ce9ac860d14ea59e1e4922ef28e1225822
ch.epfl.lamp	scala-compiler	0.12.0-bin-20181128-f66225c-NIGHTLY		1a15a9f54db359c4b4058e3ff6e3c1589646649f
ch.epfl.lamp	scala-compiler	0.12.0-bin-20181129-2ec79d1-NIGHTLY		33ddebbdb313f99db5b067787181b7799c9d2a8b
ch.epfl.lamp	scala-compiler	0.12.0-bin-20181130-ffced94-NIGHTLY		ab3d031fdf7c19562f7d456f4741a2ed8eb2d75f
ch.epfl.lamp	scala-compiler	0.12.0-bin-20181201-ee8ff7f-NIGHTLY		f2880aaae09f33f10424d14decb2a0c5740cb387
ch.epfl.lamp	scala-compiler	0.12.0-bin-20181202-e1ba839-NIGHTLY		27ff6a058445f73ca7a19abfafcfb49bcfcd7c9e
