at.released.cassettes.plugin.base	at.released.cassettes.plugin.base.gradle.plugin	0.1-alpha01		N/A
cc.carm.lib	easyplugin-vault	1.5.4		b24892e57289142998bba7e66b6a83df92abab87
cc.carm.lib	easyplugin-vault	1.5.6		b25d5febc9a3a4dbea21d34e71901829ca0ec4bb
cc.carm.lib	easyplugin-vault	1.5.7		f1f27ebbdeff0b25b4c1eb2b4abc5e26a8d5b635
cc.carm.lib	easyplugin-vault	1.5.8		00fd1389110ad82bfdf26411b5d04972a86915fe
cn.warpin	core-logic	0.0.10		f1df55ca201f4d214125b4a6a9d5685e3b87b20c
cn.warpin	core-logic	0.0.11		a97a4217cad3bd184a154c792e6899ac5d593883
cn.warpin	core-logic	0.0.12		dcf2fb3312ac7157da77df19247b7bf3c1aea8c7
cn.warpin	core-logic	0.0.7-alpha1		3b89a1f44478004b44bbbf920ae4cfb9a612e6ed
cn.warpin	core-logic	0.0.8-alpha1		74371c2f6d4dda9b3d839ca451ede1f7cf671e64
co.exabit.boot	boot-root	2.0.3		N/A
co.exabit.boot	boot-root	2.0.4		N/A
co.exabit.boot	boot-root	2.0.5		N/A
co.exabit.boot	boot-root	2.0.6		N/A
com.almis.awe	awe-boot	4.0.4		bdb803c2cbca6c59ec10f7a46f9d1d8d0e7c8641
com.almis.awe	awe-boot	4.0.5		6af7ad29b4e8c6f934a396e01e94f2007334f9f2
com.almis.awe	awe-boot	4.0.6		N/A
com.azure.spring	azure-spring-cloud-storage	2.0.0		4e44c855881dc07ba431a85e2d8e2636b7c9b626
com.azure.spring	azure-spring-cloud-storage	2.0.0-beta.1		a119fd935a705a9880df55a220df4019c89b9e3c
com.azure.spring	azure-spring-cloud-storage	2.1.0		3573820f8001c9f38975edd5a94076c6fc0e5500
com.azure.spring	azure-spring-cloud-storage	2.10.0		a98b9580dcc97f5476d05b653b0778b8050ea867
com.azure.spring	azure-spring-cloud-storage	2.11.0		34c4b40f373d46fc2362b7980064b6b8016138ee
com.azure.spring	azure-spring-cloud-storage	2.12.0		d526084e85d55bbbcc2dacb91def17a3741bce83
com.azure.spring	azure-spring-cloud-storage	2.13.0		474e18a56dde9f3a82844727f5e0e743f809dddf
com.azure.spring	azure-spring-cloud-storage	2.14.0		498947eb8e1047b61c3a73b5d5aaa0e08035d00e
com.azure.spring	azure-spring-cloud-storage	2.2.0		8f6ae58682ef764a7a58e8f90d016805f453389f
com.azure.spring	azure-spring-cloud-storage	2.3.0		8e2adc4aba5c030de735394776473a80e8cfcdc3
com.azure.spring	azure-spring-cloud-storage	2.4.0		af8254f1f9cf5c1ac0fffc5269cab55a73c59d1d
com.azure.spring	azure-spring-cloud-storage	2.5.0		b6abb6a5497dec4badb3631a083a913c821fd6d6
com.azure.spring	azure-spring-cloud-storage	2.6.0		d522e5f95d33f6ac167b0fcdf1603b32a7fd51e4
com.azure.spring	azure-spring-cloud-storage	2.7.0		692690879de9bb6f5cdb66c6a2f324a3fc166842
com.azure.spring	azure-spring-cloud-storage	2.8.0		c5dbbe2514cd91bee7f32609db52def49211854e
com.azure.spring	azure-spring-cloud-storage	2.9.0		5d1201872942d175788123eb6222672fc9b97608
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.0.0		c65c9132314a6f881ec302b6e7f128cabef911d4
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.0.0-M2		7312661df78567e06005957d7f5aa51c030833cc
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.0.0-M3		2c0c260ab92c2eccd701768d81eaa72d30ae2f04
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.0.0-M4		ffb48a0ff2f2bd3fd347e1b7e5bcf19590b38666
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.0.0-RC1		8873c4b9dfdf321cbc0f9e888edfbbec2d7cd7e1
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.1.0		26557fb2126156455dc6ea775baace9817dc9fda
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.1.0-RC1		b0dcb79d778534957667c1ba9c12ab1206cfa430
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.1.0-RC2		5bd0e04b9965970303a0632206c567447278b8d9
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.1.1		e860b3d9a1d0f80d8040902e2fcfae105d36a878
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.1.2		6e668e887e8090c9df029ca7f51b4d0094513ce6
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.1.3		04b03ccc67d480f1eef4dab04be3f5cd3c08a7d2
com.buschmais.jqassistant.plugin	jqassistant.plugin.maven3	1.1.4		3f837093c2a96eb3e4a499c5effc685e367238a5
com.cognitect.aws	health	668.2.364.0		68d693a7a1b8dbba7c25909c0decdf6c598b1d51
com.cognitect.aws	health	680.2.370.0		e18eb5e949c996660bf3246d422049e798e12326
com.cognitect.aws	health	697.2.391.0		4481d6801fe9aeb8399167aa3f597362a23d57b6
com.cognitect.aws	health	726.2.479.0		dc1b3ec0253bc7a1742d6eaf1deb22ed5e8ee921
com.cognitect.aws	health	746.2.533.0		c4ff26d6a1b5a140d061850a7295a951d304a30d
com.cognitect.aws	health	770.2.568.0		cf3d11f9b18b8aee220a58a0d0e9b713597f3290
com.cognitect.aws	health	784.2.596.0		7d3751f8cacd01a1be840058b053700316887f40
com.cognitect.aws	health	799.2.680.0		ad9135186a7f4705cdabc62d032f4671e695a852
com.cognitect.aws	health	807.2.729.0		fa90a40508c4ea9c0bbf31140a256cfadcf2b967
com.cognitect.aws	health	811.2.850.0		78b34038d6699a178254838ed9170284eadd2114
com.cognitect.aws	health	811.2.934.0		b68eacaaa7896dfffc7d72abbf4fbae7f6fa551c
com.cognitect.aws	health	811.2.958.0		7ba2377eaff21a11dececad9050988a18db76d6a
com.cognitect.aws	health	814.2.1028.0		ed1e2b3175b4e67722813a38ff2b6e366e368623
com.cognitect.aws	health	814.2.1053.0		6a2695f8f199e1eeb0b2bb6e98f78b344ea6ab4a
com.cognitect.aws	health	821.2.1107.0		e85ddf65cdeaa9b366c335331f5714fd3a39431f
com.cognitect.aws	health	847.2.1365.0		8bb97774b9ca8b3b40ae37f395789be95a75e646
com.cognitect.aws	health	847.2.1387.0		4044c6cfd0580027980fe116a56764c8c7322b6a
com.cognitect.aws	health	857.2.1574.0		580fb36c3bda2458849000321d884ed53719a0ad
com.cognitect.aws	health	871.2.29.35		228fbf7f41da1d193bcc4d773d7b06d3ea2854bb
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0		216469bc250e34bb28a776ae518b5a123c161914
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-adhoc.20240830.12942.0.v3e4e9451		4c9e13589e75c10e1c419f7964282ccd250c1674
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-adhoc.20240926.12977.0.vf09a26b8		04e0231a82777adb998b422f47b6cbb3a39797ff
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-adhoc.20240930.12985.0.v0bdf66d5		dec0eacfe360a4cf0d3ac4ea8d8fdc6ca53d4989
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-adhoc.20241003.12993.0.va759f925		4032fc4fdaa1376d3c480334e6c125ded3eda698
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-adhoc.20241008.12997.0.v9ba70c83		df26e713bf6133eea708f511a3e465ca72c3af47
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-adhoc.20241009.13006.0.v20f6fb6c		a821359c20a9e5a18f3184c7c675a96947d301d9
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-adhoc.20241029.13035.0.v7977e389		64f6acfed534b7fccb34235757bd68be87941860
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-adhoc.20241031.13042.0.v386ef7fb		7ad2b758132f7e3ce6d4d7c6e25e31e99cef256e
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-adhoc.20241212.13143.0.vdbbc65bd		d8a5bbcf0acdf5c99e59271d581438014b009601
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240620.12856.0.v6dca8f13		9fb260221fa5fdb1910dea7392455762a477b56b
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240621.12858.0.v69032bec		64a79380b735f874d29eef4b71771c75b887357d
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240624.12860.0.v89a57673		2e43f870254dc71c1b04735de9d34bc9d0f8a4b6
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240625.12862.0.v525059bd		586abcd9ac52f6704daaf42c7ac90ee08b588ad7
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240626.12863.0.v0dd3ff7a		6170eb2d60b216d97bbdc38fc8c12d15bf0a44f2
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240627.12866.0.v1b779380		899d1a66327ab52e64ee9f6876c1e64e778cbc15
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240628.12867.0.v53e86a7d		86a0593dbbbd9512fc976137ee73888670ed664e
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240701.12869.0.v4fda922b		4909976e2a2261da996e2a9753d128980d0280d2
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240702.12870.0.vad7e96c5		33ac883f90c1735384b3675ebabfb2b48fae9a42
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240703.12873.0.vf7419f57		1b34a96ee4f4a0f383dcee019223a6a9959a692a
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240705.12877.0.v924a1f35		e8c74db00e104e2cfa98d2ffba65922b8b2f459c
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240705.12878.0.vdad6987d		200e5bff26af1e3470955b994ce7d55457fe2213
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240708.12879.0.vf67d8519		d6a6b797b3d2428b9f6364b539c5588f2660b962
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240708.12883.0.v00a0c804		182ad934317964c817873cb47007a4edd706f074
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240709.12884.0.v2a1c56cf		a7a90127ed1973aecf76d9b719cd31f83d2e0299
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240710.12887.0.v4fa4f3b7		a8947eb795c527a8cef636296692fffda7e65a7a
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240711.12891.0.v2c3ad8f7		2ed18b54da1b470b00a4ec7bfa63f71831586462
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240715.12892.0.v4ae1ae43		1d39211f9af371fcbfdd5ad2ebfc787ea4f02ac5
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240716.12893.0.v672e6a67		79e45d1c08e2edf624fe365519960eb38eaeb7bc
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240717.12894.0.v12701aca		56443c335755cba91b10f7098423c4038ed746b6
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240718.12895.0.v0f0dbf7c		7ecfa1d32cfbb8f8a2cbaa3006864d59ca324783
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240719.12899.0.veadcd58c		024f361a522680b1edb8304948cc15d9a61c5fa7
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240722.12903.0.vb94f2695		98aac4e9199af76849e4f4d8d8cd04901769cce5
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240723.12906.0.vdd916f3d		f0886355cc9cf6760a469e497d99c6083cf3bd48
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240724.12908.0.v0f1b48fb		c104eea6e0bcd381cf883cec109129985ec85d79
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240725.12909.0.v3500e776		52bbf7f7b4760cc74523541a456614dd07708650
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240729.12910.0.ve49511fd		8dde2f62536a9799d15d84bfafca67f6ea2534f0
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240730.12912.0.vc8920051		cde9c6b7db3dc3c0aa1743a1c85baf668b29da42
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240804.12913.0.v8280eebb		336ce05fbd5f9cb41ea6c66b00716aebaf8ca637
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240805.12914.0.vca1ccc34		a100fa081f0176efa4e366f07c7b6f9728531ee1
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240806.12915.0.vc8c74759		d60a4de89b3da7790a59b4138fb2cd02be070b64
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240807.12918.0.v6ae6f17d		2263f92835e4bfea577b78dfc23051848d7805c2
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240812.12920.0.vadb77426		2dfd36ec4c0f4788785bfe004fc8964e208c2e28
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240813.12924.0.vf97df98d		6dc3a1ef33d6c1c62aa986b43926ab6c87627d29
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240814.12927.0.v50a79e10		836a924c3bfa76ea271541f5223b3b9f0af42d7f
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240815.12928.0.v88a1befd		32c15779ae57d69fbb3490150f98daac1bff5a51
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240816.12929.0.va7ea9d59		0253a10415d4a8adb5a023af521d9957ab000611
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240819.12930.0.v0e2bbe10		e284b4fcc97898a64dfe8041b4548d95cfa91f68
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240820.12932.0.v80ffa617		2ddbb50f7b29440cbfd7dd4f31facc11bc7bd12b
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240821.12933.0.v8ba622fb		1a7bbe0a77984b1d61645bd26230a95fa4bc21d3
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240823.12936.0.vecb8acc3		341103afa9ff9ca7eb76ddce8463aededa0774f5
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240826.12938.0.vc5a21340		1240b04d91eb60f8d806259c4e9a5e40fadd53c4
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240828.12940.0.v307e0c85		d99b8901874a0962acc788798899d0c78d14b26e
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240830.12942.0.v3e4e9451		4c9e13589e75c10e1c419f7964282ccd250c1674
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240902.12945.0.v29d5ab85		21c8cd97b80eaaf012c97eec8bdb36df2c449dfe
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240903.12947.0.v43734b6b		4cc152cb54d98ca469600a3fc7bc9fa989a60d14
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240904.12948.0.va6f6d25a		ed57d1846c7602ac403b178fd929a44a5b17e1ee
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240905.12949.0.vd31d5f11		44c489c5a1a3a88776fd1389555542838a3ff1bb
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240906.12950.0.v863effdb		7a0837ef6dae2bf9c6b6170807c34eea647bc8f9
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240909.12951.0.v4020b9c1		95232a513d5582666222c78be955a0dd9ba50193
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240910.12953.0.v7e224718		228afc5aaace49ac07ffe3d694e8f58515cb8b9d
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240911.12955.0.vee1ef999		9e5c565ed1d7ce984a1c5d90df813f2048c046f5
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240913.12956.0.vc59d689e		141b9cd199ecb9843cceaadd3b52e2c48dbfbee6
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240916.12957.0.v05bb1e84		4a2a76f211c6e4fefb7fdf437bbf4e4ebe986dc5
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240917.12960.0.v1bd2be60		9cff5f2831c13ec90986507d380d3499f7f2a8c1
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240918.12961.0.v064e26d0		7511017fda30ee15951a3b93acae6b9ea918a4a4
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240919.12963.0.v8b00825e		d7c72998c2c2a2624cc8ca531a0faf5c9764751c
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240920.12964.0.v8b5bf925		a427b9cf6f50c2a51f8eb2d589f4dd1f47930848
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240923.12967.0.v5850adf6		71c6ef52e56926cca338839ab16d0ce37ba0a5f3
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240924.12969.0.v7c80e3c5		362e7141b50c92b6d404b92eb6aab74602a8a15e
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240925.12975.0.v810514d5		92dc200a9a26cd42ec2a94bd75ef61e8afab51d7
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240926.12977.0.vc73c8398		04e0231a82777adb998b422f47b6cbb3a39797ff
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240927.12982.0.v46f26aaa		70fd8c7650730d19bad4287e608ee249aa043982
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20240930.12984.0.v34e731c5		2f10b35c0c7ec70adc21d3dea6bd365cd82923c3
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241001.12986.0.v9b136762		42c96879c511f35fc84a8eb8d28725c430684039
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241002.12989.0.v50ef79d3		196ec028a7917674b4087838aeda6e5223f8dbb1
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241003.12991.0.v4922d403		dd004d8cf2f06366c8151077b319f1c578e60ff3
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241004.12994.0.v3991c94d		d81a90c7ff6fa1faedfbf48616360680ff5dbf09
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241007.12995.0.vb72fe917		47f5a8d6f1e6e8e3cc7ebff93ec601317f7b95c8
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241008.12998.0.v085a1a73		bcc2e4721d8bc2e00d9af130c27b081f0fe77b76
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241009.13001.0.v44d905ca		9da5f3468e5d7b6fe0e542c9f587bb3559edeff4
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241010.13003.0.vb79a1d35		30f09fc50082548c9a01edefed74e5040caea131
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241011.13004.0.vfda42856		51fbb7da0602391bafe4f0e2866971af42dfc84a
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241014.13007.0.vb5371e6c		1876d2acd49ce11fa69e450ba648b1d1c5fe57ed
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241015.13009.0.v19d1b665		046fd4dd4cdc1c7051f57919a3aa7c0b4e8d0ecf
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241017.13013.0.vfdb00602		4157e19eb671abd9a26913c9c245b3bf4694469f
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241018.13016.0.v3621b0df		1934b319767cbab480d47dbf50f6c24314c57bf9
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241021.13017.0.vfac10709		28c53ef59bf85b44d005bee4be5a3b3a5ec5f4bf
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241022.13020.0.v61dad494		bf1784512b5b975a9bfb3cfae4001c243f192926
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241023.13024.0.v2bb40b56		c7fa96b9893501e02c423e1b15970bd0d1f9fdc2
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241024.13026.0.ve6249793		c7f5030eb4c1f817d38ae42564a89cbb989a9632
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241025.13028.0.v6753501f		cd26aa1e8de3a72ee4c10443bf9c76d7120e938a
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241029.13034.0.v5423d1c9		c2b9c51ab0927fab301f031fe749505b385d2802
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241030.13038.0.v4735759a		f44cc5d972b3e6cec86071b4c400c9cadaed4f55
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241031.13043.0.va2307b9c		8da434f2fb05532bf1b8b1b278b13e608d26169b
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241101.13047.0.v1e6d5c93		6f9175e0dafe9c14becfc3c8f1fb8adcc9a5473e
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241105.13052.0.v9f987229		4b1a1e4290cfd33dc2aea4797089719c30f85dfc
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241106.13056.0.v910c3af2		445b66162216cec0e42dc248fd60e382cb6e5072
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241107.13062.0.vc42923a7		45937df2c5330380baf6f95351426c48e27634af
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241108.13063.0.v98eb7dfe		f7c5859cc2bd16ee274c1b196fe2e2edd5729814
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241111.13067.0.va06af61f		4ad556c33f74b7952f94afe02c31325566a0ff76
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241112.13070.0.vc4a4a381		0ac86d45fdd18d3b4f2ad77ce7373f3cd9864339
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241113.13071.0.vf716891b		5acd6e8fcabdc392cd2ed5e977c114554b164f44
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241114.13074.0.v600d63b3		30e7be9763c08c4ba342d006bdf251ae3757917a
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241115.13075.0.v95837925		f0cdf95984302e5d70f4c8ed310227616fb7f58f
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241118.13077.0.v8fa24b57		fa286fdd4103177372724ab2b065aaff1e582df0
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241119.13083.0.vc52c98f7		7d2a163b9d1ca60c10ae65e4c851677fb0b354c6
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241120.13086.0.v82db983e		2540cebfd22ae57957d784470ad95c4a98e52cf2
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241121.13088.0.v89147e31		c9ea4cf8b631f66e0c1cc702cf01491bf806d3e9
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241122.13091.0.v2515f003		857e5d8338476c9e355c1a95c52720bd2f2dd222
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241125.13093.0.vcfe66a3a		d8ec558a397d6fdf03eec344e841c42530b4b567
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241126.13098.0.vb4a785d0		80a4bb4c9558903bb8f44bd044bcbddee61f581f
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241127.13100.0.v25efcc94		70cf41368a6644c6d5a49636496528b21eae3a05
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241129.13105.0.va6618160		5f89ab545f848e1fa4e444f8eb3663a16903bcf1
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241129.13110.0.v8614d753		aa83e496479e07a76cbc175ab3ce97c313c6f53d
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241202.13113.0.vc1ba0f69		df9e3ecdc3260ea14f61b7bc034d47793c47352b
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241203.13118.0.v810def9b		6967688f5d5441008ce35c706ee28be4339e3a6d
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241204.13121.0.v0d9ba7c6		472624224dc0a1c3498aa3d37a881c060a3bf5bb
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241204.13121.1.v0d9ba7c6		88c6899c9fb4702da39e4f96fe68d59d17b9f8a3
com.daml	test-common-carbonv2-tests-java-1.15	2.10.0-snapshot.20241205.13123.0.ve4181d88		2cd030b2e714770d9a63b1a022671c8a675673a7
