ai.themsp	pubmatic-adapter	0.1.0		N/A
com.daml	resources-grpc_2.13	1.11.0		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.0-snapshot.20210217.6338.0.ba6ba901		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.0-snapshot.20210224.6373.0.b0b0b4ea		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.0-snapshot.20210224.6385.0.dba114a2		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.0-snapshot.20210225.6390.0.0617fbde		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.0-snapshot.20210303.6421.0.145ddaa8		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.0-snapshot.20210304.6422.0.d3d5042a		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.1		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.1-snapshot.20210312.6429.0.7cd6380e		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.1-snapshot.20210312.6429.1.7cd6380e		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.2		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.2-snapshot.20210610.6432.0.ac4a2848		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.2-snapshot.20210610.6433.0.a08f6ea2		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.2-snapshot.20210610.6433.1.a08f6ea2		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.3		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.3-snapshot.20211110.6439.0.632ba5a7		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.3-snapshot.20211111.6441.0.eed4ad32		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.11.3-snapshot.20211123.6448.0.c679b4ab		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210309.6463.0.f7abca91		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210311.6483.0.5cb857d9		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210311.6490.0.8e25227c		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210312.6493.0.9a7e2465		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210312.6498.0.707c86aa		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210316.6523.0.b382fc45		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210317.6528.0.493e2154		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210323.6567.0.90c5ce70		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210330.6619.0.007b8674		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210330.6622.0.eef158d6		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210331.6626.0.29a68134		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210331.6634.0.b98a3881		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210331.6640.0.4b807899		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.12.0-snapshot.20210406.6646.0.631db446		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.13.0		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.13.0-snapshot.20210413.6706.0.2dc09ba2		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.13.0-snapshot.20210419.6730.0.8c3a8c04		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.13.0-snapshot.20210426.6770.0.ca66061b		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.13.0-snapshot.20210503.6809.0.ca012c3b		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.13.0-snapshot.20210504.6833.0.9ae787d0		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.13.1		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.13.1-snapshot.20210512.6834.0.5f532380		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.13.1-snapshot.20210512.6834.1.5f532380		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.0		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.0-snapshot.20210511.6892.0.ca9e89b3		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.0-snapshot.20210518.6953.0.a6c7b86a		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.0-snapshot.20210526.7024.0.aedb9a82		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.0-snapshot.20210601.7081.0.7d716e6d		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.0-snapshot.20210602.7086.0.f36f556b		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.0-snapshot.20210615.7124.0.d1b54ff0		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.0-snapshot.20210615.7169.0.adeba206		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.1		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.1-snapshot.20210706.7133.0.8ec16e94		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.2		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.14.2-snapshot.20210708.7135.0.aa297840		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.15.0		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.15.0-snapshot.20210615.7169.0.adeba206		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.15.0-snapshot.20210623.7217.0.5b73813d		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.15.0-snapshot.20210630.7261.0.84e1f3a7		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.15.0-snapshot.20210705.7286.0.62aabcc4		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.16.0		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.16.0-snapshot.20210713.7343.0.1f35db17		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.16.0-snapshot.20210720.7404.0.b7cf42d1		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.16.0-snapshot.20210727.7476.0.b5e9d861		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.16.0-snapshot.20210802.7499.0.5157ad6d		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.16.0-snapshot.20210805.7501.0.48050ad7		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.17.0		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.0-snapshot.20210811.7565.0.f1a55aa4		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
com.daml	resources-grpc_2.13	1.17.0-snapshot.20210817.7604.0.0c187853		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.0-snapshot.20210824.7647.0.640fb683		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.0-snapshot.20210831.7702.0.f058c2f1		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.0-snapshot.20210907.7759.0.35a853fd		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.0-snapshot.20210910.7786.0.976ca400		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.0-snapshot.20210915.7841.0.b4328b3d		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.0-snapshot.20210922.7849.0.49a75801		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.1		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.1-snapshot.20211006.7852.0.fbc4bc00		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.1-snapshot.20211006.7853.0.e05be365		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.17.2-snapshot.20211124.7857.0.b33b94b8		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.0-snapshot.20210921.7889.0.1b473c2b		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20210921.7889.1.1b473c2b		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20210922.7908.0.ced4a272		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20210928.7948.0.b4d00317		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211006.8003.0.cfcdc13c		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211013.8071.0.514e8b50		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211019.8113.0.8ff347d8		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211026.8179.0.e474b2d1		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211102.8257.0.7391a3cd		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211109.8328.0.92181161		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		74dbe2b41ff70e7a308f49efa4e56a511e88be0e
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211111.8349.0.d938a44c		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211117.8399.0.a05a40ae		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211124.8419.0.39d9afcd		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.0-snapshot.20211206.8423.0.2c945fcb		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.1		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.1-snapshot.20220106.8429.0.ea344666		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.1-snapshot.20220110.8433.0.e8e25a11		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.1-snapshot.20220113.8434.0.1724373f		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.1-snapshot.20220113.8434.1.1724373f		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.2		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.2-snapshot.20220310.8437.1.5221a5d1		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.2-snapshot.20220324.8440.0.5cfb1a21		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.3		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	1.18.3-snapshot.20220620.8442.0.c7424302		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211123.8463.0.bd2a6852		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211201.8538.0.1d0ff3cc		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211207.8589.1.85e2fa55		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211207.8589.2.85e2fa55		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211207.8589.3.85e2fa55		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211207.8608.0.c4d82f72		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211209.8636.0.0a17087b		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211209.8636.1.0a17087b		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211210.8653.0.35beb44c		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211220.8735.0.606a8ef0		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20211220.8736.0.040f1a93		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220104.8767.0.d3101e01		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220105.8777.0.cb15ab5a		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220110.8812.0.3a08380b		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220111.8828.0.7ec55d7f		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220117.8894.0.502b21f8		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220117.8897.0.36a93ef0		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220118.8919.0.d0813e61		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220119.8939.0.ebd3827c		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220124.8981.0.a150737d		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220125.9008.0.ed33c0d5		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220126.9017.0.159f3847		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220126.9029.0.42cf70b1		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220127.9042.0.4038d0a7		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220127.9049.0.345e2679		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220201.9108.0.aa2494f1		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220204.9165.0.225c58f4		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220207.9186.0.f63165aa		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220207.9190.0.89c9c5d3		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220208.9197.0.8182602f		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220208.9207.0.7b70711c		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220209.9212.0.b7fc9f57		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220210.9222.0.f2797795		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220210.9244.0.6a91fdfe		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220211.9260.0.3dccabf6		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220212.9261.0.3ebd9d7b		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220214.9284.0.dc5f2033		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220215.9307.0.55fef9cf		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220216.9321.0.eb45a4ce		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220217.9331.0.a9fd5497		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220221.9339.0.6d268fdc		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220222.9362.0.1af680cd		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.0-snapshot.20220225.9368.0.b291a57e		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.1		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.1-snapshot.20220322.9371.0.d9f46c43		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.1-snapshot.20220322.9371.1.d9f46c43		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.1-snapshot.20220331.9373.0.4a445be6		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.1-snapshot.20220419.9374.0.44df8f12		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.0.2-snapshot.20230421.9377.0.cb87f482		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.1.0		9bee91b7fd7ad8dda450d0c7345cc556ca062dae
com.daml	resources-grpc_2.13	2.1.0-snapshot.20220223.9363.0.d96b7bdc		c9e1f377e8c0bc7b9fbdb4626d8d4f0b988bd85c
com.daml	resources-grpc_2.13	2.1.0-snapshot.20220223.9379.0.2f86d8d3		9bee91b7fd7ad8dda450d0c7345cc556ca062dae
com.daml	resources-grpc_2.13	2.1.0-snapshot.20220224.9392.0.786906f2		9bee91b7fd7ad8dda450d0c7345cc556ca062dae
com.daml	resources-grpc_2.13	2.1.0-snapshot.20220225.9408.0.1783146c		9bee91b7fd7ad8dda450d0c7345cc556ca062dae
