axis2	axis2-jibx	1.0		d9606be24c8500f9a33e39cfe45b4015d2a1b121
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.29.0		24cca8a2f07c083883c8e67a3c609ed8e8bc4ce2
ch.epfl.scala	bloopgun-core_2.12	0.0.0-1-640c0683		eefac1e861dae07faa7afdbf93769a276fe3bbe1
ch.epfl.scala	bloopgun-core_2.12	0.0.0-1-6a1d3dcc		b6dc78c544e73c119243eef1a403f0145fef898d
ch.epfl.scala	bloopgun-core_2.12	0.0.0-1-f5da8eb0		fac5ba281f6771f65d46f3b3b3445e04b470213e
ch.epfl.scala	bloopgun-core_2.12	1.3.3		4850995c23bfb91f0f16b9685ff6803ec0a242b3
ch.epfl.scala	bloopgun-core_2.12	1.3.4		c98449d97e3132331903464fb65eecb34fff5a28
ch.epfl.scala	bloopgun-core_2.12	1.3.4+163-f9d3c4fc		a20a9f4f2c7b454ea0c9acbc02ecc7d4499cbc72
ch.epfl.scala	bloopgun-core_2.12	1.3.4+173-3c75c6e8		e36667be4ef25e515237bd9c1725307cc5840be8
ch.epfl.scala	bloopgun-core_2.12	1.3.4+194-f8402c3d		895b5c97595df5a3815782af8bf751309d2cc047
ch.epfl.scala	bloopgun-core_2.12	1.3.4+199-62c60de6		669c22c1a9a08282a1c42739139a36599257d6d7
ch.epfl.scala	bloopgun-core_2.12	1.3.4+200-f5e1cfe2		167614cefcb66fb7c486317da4b7f790f2f58f29
ch.epfl.scala	bloopgun-core_2.12	1.3.4+222-7603085f		b477399b481781bc4ecee32bd2cc48b742c9cfda
ch.epfl.scala	bloopgun-core_2.12	1.3.4+226-153862a1		2b8d77bcd4dffe4e191ea9cc07580d02dc5e38ba
ch.epfl.scala	bloopgun-core_2.12	1.3.4+228-d1eb4db0		b80c03a4a78dcc2ea789fc48ad334d90ef17ed67
ch.epfl.scala	bloopgun-core_2.12	1.3.4+229-35b59938		05e96c422f494a93b58f489807933fd592292043
ch.epfl.scala	bloopgun-core_2.12	1.3.4+230-bbf7b79c		f01033aeb387b65d794a6711e965613195f5cf13
ch.epfl.scala	bloopgun-core_2.12	1.3.4+235-b5df81ea		249cb988b35d5daae8082d2c6bd09d832799ed0c
ch.epfl.scala	bloopgun-core_2.12	1.3.4+236-3982b95a		a127fa5b8a137206f67a39a546c2e917eb101f73
ch.epfl.scala	bloopgun-core_2.12	1.3.4+239-f3d68fb7		3528dfdb5f2c7e5de4f4cfdb1e88bb7293c0d592
ch.epfl.scala	bloopgun-core_2.12	1.3.4+247-533137e6		56954324d9b2de746d2ce37620784ec44ed17b2a
ch.epfl.scala	bloopgun-core_2.12	1.3.4+250-848d3a5d		08ff4f3846bab045015ebcd826b576778bd002af
ch.epfl.scala	bloopgun-core_2.12	1.3.4+251-1d81dfe5		66d767d57258e1cb61ab742ee0c4cd3602ef1d8d
ch.epfl.scala	bloopgun-core_2.12	1.3.4+257-91ab5543		e1a4a35e0cdaa68126ca4c830d38693cc450d94b
ch.epfl.scala	bloopgun-core_2.12	1.3.4+258-67c8f4f6		bb44ac0ca4bbdddc4107cfcb8082b73377037b93
ch.epfl.scala	bloopgun-core_2.12	1.3.4+260-896345c2		061d562787fba6f5c80aa286b326a1267f9a122a
ch.epfl.scala	bloopgun-core_2.12	1.3.4+267-051a6f11		a6106f24c5232e1f801d71dea6a523fa98bd3d1d
ch.epfl.scala	bloopgun-core_2.12	1.3.4+268-8fb06ac6		99a569b64b59e80d8a717865faf99a4b92a4898f
ch.epfl.scala	bloopgun-core_2.12	1.3.4+270-f8c05478		57256294807a11bb0d263a09d762a7ec9501673f
ch.epfl.scala	bloopgun-core_2.12	1.3.4+271-42941449		13bb1971c8e6cc885da3d79e7dd536418c755e12
ch.epfl.scala	bloopgun-core_2.12	1.3.4+273-e589074b		c1d347c7f382e91cdf499e5b87dfabe75454f587
ch.epfl.scala	bloopgun-core_2.12	1.3.4+275-d834ac4b		af577b24de5df917213acbd24a03b482ecd64dbf
ch.epfl.scala	bloopgun-core_2.12	1.3.4+276-446e4f31		6c7e60cab05dc5a3391e920fa5fdb6802ab5ca22
ch.epfl.scala	bloopgun-core_2.12	1.3.4+283-5597a88d		6f09d0d81d9667fa72cc5e591b1fe2251456d03f
ch.epfl.scala	bloopgun-core_2.12	1.3.4+285-293af45b		f196a2a75e9dd043c8047e8bde3d093716f77ce2
ch.epfl.scala	bloopgun-core_2.12	1.3.4+286-965f8c9f		40c85d4c6e8d27eae56db17d931aa63fbe6f657f
ch.epfl.scala	bloopgun-core_2.12	1.3.4+288-1f8ecbb4		fbcc9f79c7bd9807dce79af9c33be19bfe4268b4
ch.epfl.scala	bloopgun-core_2.12	1.3.4+295-044dafe1		17975dbd22c3c14e1649f6cb4274b33cd144bf37
ch.epfl.scala	bloopgun-core_2.12	1.3.4+297-48a21249		5e5891c52b8025466b75b9bdadc019e85f0b8631
ch.epfl.scala	bloopgun-core_2.12	1.3.4+298-2c6ff971		f97dd3d5416db4cc3e93552647e0108feb6fe86a
ch.epfl.scala	bloopgun-core_2.12	1.3.4+300-6b726c45		ae2eb78489f417265b962a5e06eacaa6349d123f
ch.epfl.scala	bloopgun-core_2.12	1.3.4+319-7eab8059		a117b569c80df571024db25cc7aaf31ce5fb612b
ch.epfl.scala	bloopgun-core_2.12	1.3.4+320-90fd46c2		09fcc04b71f7f658b97d45cc36398eb4f06883dc
ch.epfl.scala	bloopgun-core_2.12	1.3.4+321-2dd71dea		d0ae88124bf19e6a3e25b77cb941dbee0e14f568
ch.epfl.scala	bloopgun-core_2.12	1.3.5		23e8fa382d2c4cfb0bdc50ef230c29bd468fa86c
ch.epfl.scala	bloopgun-core_2.12	1.4.0		fb2bbfb09e93b668073994c6b8f217c53dd43da3
ch.epfl.scala	bloopgun-core_2.12	1.4.0-1-558a94e8		9ded0427999bd6e9ae5f0c7d44de09abfc2e85ff
ch.epfl.scala	bloopgun-core_2.12	1.4.0-3-f576d239		c1117f3fc4b5cbaf4026e94314b10deb131bb070
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1		7c060cc8a682bb4b816252f6e1ae23d1c996f2ea
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+10-db2d98a1		d97233c4e40ac5cbe40ed38740c9344fabb485fc
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+12-033b25fc		059e9f45bad8391619d70b3158ae37fc65d6814e
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+14-97098ec8		7c63f57a8d7b1cf8915948dd5692b484804315d0
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+16-1cd95092		a0a6b9eb60d9c1819a03f55eb80bd29dcc0bb99e
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+18-5df9d055		030fe51f51198f91fc31939315912bb5e11dd008
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+2-2d96bcf6		3e54547613b2e5edb6c339ce6465a4fc5c281d51
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+23-f7a2397e		9253befdd8515a47b7efa286ca8d92f05a6e5559
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+26-c7213104		965f94c858ce5d1d3e93cb04a4064436c3523bea
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+31-8be4df88		ac73e9b9217b96e8dba3e090fa467d90d0960248
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+33-dfd03f53		06ea18ea2e8d58b4c1cf3b66a2086a71717b8003
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+5-c4af26bb		d4df4b1bb4542a1c458d72f7cb6eb61c2b460331
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+7-3286edcc		688c5d3e4ddcbdb2add4b70930e12217a594e5a0
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1+9-e94b10c3		89fdec38a57d3fac21888f68d08680f08d0d0194
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-101-98f5ba87		d61f5d07c771935704dce588fbd4726542b22818
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-102-aa58d93a		513a7842a13dd4fb533fec35b01be497ebab3230
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-105-118a551b		cfb48857263e87b25f170c52023be8e5e098d4e9
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-113-2d5d2caa		a66c92e0ea38d67f465d8baf8945f982dc9a3af1
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-116-068b96f5		e23073c32d9c4e93321fba0fc332da26d6ea2bf9
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-133-51724c77		a452fbfb683079e445efa8202082664decdf06be
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-134-7ea766e6		bee3c293577738bdbbb771e4afd1d0e925516331
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-135-fc3ad358		c689250c5d5dc87e5c26de3e038d7751c1c85354
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-137-54515774		7e8d8fc59a40a93356fdeecf03f41ba3445fe1d4
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-140-1a034f71		219dae16e9d5eef199f0eb773f4dee45603ca17b
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-142-90456e06		4e6c3e4508c003fc5bbd8f6cac376679bc8e87b0
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-146-9819e173		db10f947b3334febdd1152c0664afe6484aeb112
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-154-0236c401		9ef5abc40a71642fa2c9ce8e60e796196ea8d44a
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-157-3c527103		9d2b7710ff1dc6d905430e39cb95efb33eb0b119
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-162-888454e1		62b605236c349cfa9b620f58721dced98db409a2
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-164-a44940fe		2270cb6d24220ad6b4c8b861c5a1c2b9fba225c3
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-165-906110dc		0901418a4c596397e1afec6a35ced89e8cbabffc
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-167-61fbbe08		52535792ac16b0ea5f99328a96061e98d098d07a
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-169-f69dd3ba		95294c51e6d089962719082225761727241b85dc
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-176-7e217024		5b2dc5a400b9263ba3147d803d8a12812c031618
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-179-0a15e6fa		c5abb0fecb53082d5163339edb8e9172cd010a38
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-181-b975461d		503e766a5821cafd346273d21bddf5807b66693d
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-185-d13246c0		3105e548ebe08977440056321b6c43befab27ee4
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-187-1b2f9b25		a5d06112f00de0066a74779c9c993e08dd38d241
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-190-ef7d8dba		07c859c552344be48170e750ca3496a6f662ce0e
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-192-72a856b6		cc06baa0d54bf55f4c7e5c857eab79813bc6564d
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-194-5293bd25		29601cf9039df78b291983a5614bf2e82ce71aee
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-197-ae96534a		c27a3a179192de25d1e5abf5f2598a8d40130cfa
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-202-b8c48e3f		1f8c4f48d888154dbd220ef1e6c6a53a80ff13d2
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-203-ee72533a		1190b431e51b28b4ac575d7f411e0f46f34d375e
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-206-559dce64		f64c083813eb17eed56ba2944911177532bec882
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-211-fe37baa7		050841da185ce0dbc54f8a4e970347f2a7fb94a0
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-217-82189658		2be89909e1647eaf4c4c177830f7d8f5081d53dd
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-219-a3514983		cbe67f0fe338e19924565a57d786357eda260b49
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-222-f6582f40		ed57d6a74e0f05941b76e8681b272d47c6b85550
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-225-b526fcd6		18963532f9312dd00bc5075fa897e3d32f08c2de
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-227-99f4507f		bd09491546efdcc0c111848e52e73043f4fa21b6
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-229-b7c15aa9		566df1bfbb91cf74b401aca54a4f3ceeaf24c08e
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-235-3231567a		f965aee2d103b3d817a3f2c7b9b842561c691855
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-237-80d969bb		ec9db9cf0690fcaec3ef04155577a3a3d0033bc3
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-246-6679a3e6		326565713b3d630fd13681c6cc430911210bf985
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-255-f36b7482		cafe74bc480d4355119025801a90e05f3b9c444c
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-257-57a83926		85d32df14a234a61b0db95aca343959440d3f8f2
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-56-a2040035		1a20a8d2544574dc0b6d420aaf350f63755b872e
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-58-da3a262c		d022e2b7e77d8d1bcb21b899b34a3e3401c24147
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-60-6b436317		a37c2f85325fdf57a8e5ad2ce31bafde6dff59e7
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-62-d098adda		8889f3a0ea77f8dec2c400399dd5621eb755a488
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-64-96c8b667		02335a4cd62f8c29252e3e0ea046a1446b9c7e6a
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-69-693de22a		e42053cb8c0c2def0e91e180de155760467d2898
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-74-e0147604		daecf5cc493590e5251ba78951fdd0951503ea26
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-76-1488031d		d0a2e21137a27e8e05d30792f8b721b2de95da66
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-87-8f1f8da4		5af41b48fe47d26a1cbcac33111254cdc47776e4
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-90-70cfd9e2		f48b1d3e013491a643da310501693420205d8b47
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-92-d7fcc77d		9631490f888bb2cce7c45fac6705390a4af7dc80
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC1-94-a2be783d		e0c73c2bea3bc8248a78c5a49cfd57287e3b60c6
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC2		6b6e628241e5f3f9c429832373a00ce16ba4429e
ch.epfl.scala	bloopgun-core_2.12	1.4.0-RC3		c9a1e3139ec10bdaa8e97299551b781533db2698
ch.epfl.scala	bloopgun-core_2.12	1.4.1		f7aecae819822010382c3a440c5e6a45b5e16cc0
ch.epfl.scala	bloopgun-core_2.12	1.4.1-46-4d3ee37a		99230e8fbd763608dbb75327eecbb505093364a9
ch.epfl.scala	bloopgun-core_2.12	1.4.10		bab75c485fcf5c60e2350a981964eb6e0528e95d
ch.epfl.scala	bloopgun-core_2.12	1.4.10-10-7dffd83b		e8d695ecfde8d831c9e22ef01c7fa2aede4cd9da
ch.epfl.scala	bloopgun-core_2.12	1.4.10-12-b94d2345		42de3f32f817535899af75302f56fa054fb922d2
ch.epfl.scala	bloopgun-core_2.12	1.4.10-14-f51f591b		7fcdaf2a65d0f4aca762f99fb3466932fd505cd1
ch.epfl.scala	bloopgun-core_2.12	1.4.10-16-c483ea30		85467a771fdf1dc8c54a30f801becb319f577e8a
ch.epfl.scala	bloopgun-core_2.12	1.4.10-18-e2e6ede8		24c21367ac6b54cfbd37c75f7a6f0651d1e9a9bc
ch.epfl.scala	bloopgun-core_2.12	1.4.10-2-ba9c7f8d		62e97921cc378f67e6a9c14adc0a9411394e0a2d
ch.epfl.scala	bloopgun-core_2.12	1.4.10-20-12cca3a6		c5bd165926d457733a4ca0bbce59247fe518814f
ch.epfl.scala	bloopgun-core_2.12	1.4.10-4-34cd1617		84da1a5d258ea7a13fad4db4419ed2d42534781b
ch.epfl.scala	bloopgun-core_2.12	1.4.10-6-f1b48952		c511d0d4385de56f7fb66cbc8df101e69d30befe
ch.epfl.scala	bloopgun-core_2.12	1.4.10-8-8d1cbc4f		f1a3ad6f459757035f6d96431315b6299e79bc75
ch.epfl.scala	bloopgun-core_2.12	1.4.11		cac23cb0e5e7dba8dc9d6e3ad2561011dd8c1797
ch.epfl.scala	bloopgun-core_2.12	1.4.11-1-01ae12f6		22852c8b1a07fd254631a4397e49730da20b5966
ch.epfl.scala	bloopgun-core_2.12	1.4.11-11-d1e85e0b		cd16b41408bcb11111ac1102de2892b4cb9336d9
ch.epfl.scala	bloopgun-core_2.12	1.4.11-13-95157dbf		8652e23badb422df1475ecc29bea58d7f780742e
ch.epfl.scala	bloopgun-core_2.12	1.4.11-17-f4ef8273		4585e56ec5fbae91fcec7d18fb4dbed9eedd2cd5
ch.epfl.scala	bloopgun-core_2.12	1.4.11-19-93ebe2c6		c0d2fd4c0ae21aa364f80a630bfa265c85a61b28
ch.epfl.scala	bloopgun-core_2.12	1.4.11-28-dd429fcb		3ce926566e0e42f078a38f44986052208638b871
ch.epfl.scala	bloopgun-core_2.12	1.4.11-3-4318252d		9fac26aad24417794d8ff7ba86d37c2a94a2c966
ch.epfl.scala	bloopgun-core_2.12	1.4.11-30-75fb3441		b4afea0498f476bc0e2cb4fdad157ec169ebbcfa
ch.epfl.scala	bloopgun-core_2.12	1.4.11-32-df7ed99e		5493e7ac338e86311e8de74d5b68f0f829cf48da
ch.epfl.scala	bloopgun-core_2.12	1.4.11-34-9e5d2075		6985e163066fa18dbdbc9f34b9e0e88b66014513
ch.epfl.scala	bloopgun-core_2.12	1.4.11-36-36888397		d025e5b0198c752281747863e77fe44cff49f662
ch.epfl.scala	bloopgun-core_2.12	1.4.11-38-053cdea7		bb35bc88ef610b22ac36c09276e6f212afad5b7b
ch.epfl.scala	bloopgun-core_2.12	1.4.11-41-810654d1		f63fa36d27ceafe58c163daf6757acf5f181fd93
ch.epfl.scala	bloopgun-core_2.12	1.4.11-45-623bf486		b05bef3babeca1afe72c8044bba71d6ea082980c
ch.epfl.scala	bloopgun-core_2.12	1.4.11-47-b6175e43		985b2342c940da4331c29686fc3aa9c576d93083
ch.epfl.scala	bloopgun-core_2.12	1.4.11-49-5535314b		c6f7cb7dde71025a591ff8ac85f0f700911fd19b
ch.epfl.scala	bloopgun-core_2.12	1.4.11-5-c84c34d7		6a98dfe01bbf0fd2a60d4a624f5fd9bf99b3cc36
ch.epfl.scala	bloopgun-core_2.12	1.4.11-51-ac1d788a		acc8ac7fce57a5069e525ada281f869b2af1fcce
ch.epfl.scala	bloopgun-core_2.12	1.4.11-53-ee093a60		bf1f60ca3b039d4e0ba1a24bb945f4835cdb4c2a
ch.epfl.scala	bloopgun-core_2.12	1.4.11-7-ffffbb2f		6f604bdb52dd57d9c0f5030adc7de529c0311f26
ch.epfl.scala	bloopgun-core_2.12	1.4.11-9-827a32e7		5893f82e38b4555754f26caadac83d3221bc7b6c
ch.epfl.scala	bloopgun-core_2.12	1.4.12		998660e4543551050888b9d276c237a88c1b9815
ch.epfl.scala	bloopgun-core_2.12	1.4.12-10-46c598d0		6f03ed7abb381b4c6f7e84f37475ca889d58f485
ch.epfl.scala	bloopgun-core_2.12	1.4.12-14-2cef762b		0c8dd8101cb4fca7f5eb84eaa615e0a0e2d41242
ch.epfl.scala	bloopgun-core_2.12	1.4.12-16-373bc94e		60df361ac6e83f892736d2d17f65d53bb766c52a
ch.epfl.scala	bloopgun-core_2.12	1.4.12-18-a8c876fa		acbd0c654178864a0b85214c3088ccd04266f89e
ch.epfl.scala	bloopgun-core_2.12	1.4.12-2-2721355b		ef4e96330e1e564cf1ae1b0f8b93cac0e7a1b03a
ch.epfl.scala	bloopgun-core_2.12	1.4.12-20-cc0f72c8		fb85fb6ddcb3beb55bce245d76fca8bfb1a8c431
ch.epfl.scala	bloopgun-core_2.12	1.4.12-4-b38916d2		e108cc31a6d2b712eb2675b042ad9f4a8154a607
ch.epfl.scala	bloopgun-core_2.12	1.4.12-46-0dc735af		9019fb0c87dbd6e072f8fa77c2f46a3b1b802c55
ch.epfl.scala	bloopgun-core_2.12	1.4.12-48-81973d63		adddf5dfe6b700c2038d1a5dc82869ff2f0c27ff
ch.epfl.scala	bloopgun-core_2.12	1.4.12-6-1261d1aa		d03dd1e5c93da21b86adfb8396bba0eb591fcc21
ch.epfl.scala	bloopgun-core_2.12	1.4.12-63-858a5944		fbb7f913dc6e38d02f3a022b10a12c0431b157ea
ch.epfl.scala	bloopgun-core_2.12	1.4.12-69-12bdc7f9		e58d4f2d20a2f66fe9d98459f3120266175cb135
ch.epfl.scala	bloopgun-core_2.12	1.4.12-8-50cc7dc0		28d8976636b171aaea61eb7ddd9e6c491acc722a
ch.epfl.scala	bloopgun-core_2.12	1.4.13		ad42e636d0cd346712f4240b2f9b8e1204a9d934
ch.epfl.scala	bloopgun-core_2.12	1.4.13-12-6d14a532		9358123586038f896328d7daa8ee54915c6a9514
ch.epfl.scala	bloopgun-core_2.12	1.4.13-14-4b53ae05		51e4c509e400528c40f69a728d07b90a8d9f1977
ch.epfl.scala	bloopgun-core_2.12	1.4.13-16-15c71fe5		98214a43098e3950b3c0156a556730a5199fd884
ch.epfl.scala	bloopgun-core_2.12	1.4.13-18-3cc4983b		7c6e138c98357a62c1959cb4ea05290e40ac0eb8
ch.epfl.scala	bloopgun-core_2.12	1.4.13-2-c3139cab		0d9c89a731dfea943ce60c41765ea592f3985b38
ch.epfl.scala	bloopgun-core_2.12	1.4.13-20-5ae9868b		ddd444fca94e10683dcd1082dd1df75f781916f7
ch.epfl.scala	bloopgun-core_2.12	1.4.13-22-3cdfa19f		a1efa8bcc626387637ae5718f7c9d282a19fce44
ch.epfl.scala	bloopgun-core_2.12	1.4.13-39-b0716798		b7a0f0c3a3c1ec60437aba11a9082364a976758f
ch.epfl.scala	bloopgun-core_2.12	1.4.13-41-af59e70a		e9b944d0167098740da4517bc03dc87faa2b2c5e
ch.epfl.scala	bloopgun-core_2.12	1.4.13-42-1b6633ae		129aec8a700ac76132f0adb51b7b2cc86734f397
ch.epfl.scala	bloopgun-core_2.12	1.4.13-43-2580f21c		01e215ae690e5ea8c6f5fa03e87ce3d0f22c9220
ch.epfl.scala	bloopgun-core_2.12	1.4.13-45-7848b602		8d13fdc0d6b3f6272ff492b00447b3ce1216220a
ch.epfl.scala	bloopgun-core_2.12	1.4.13-47-46c03349		0bc9cdf115ae52d8d2a318675171ef15efe0c71d
ch.epfl.scala	bloopgun-core_2.12	1.4.13-48-a9b3ea59		5b2c907aa7aa1e7f73b99f9af05577e6cd76791c
ch.epfl.scala	bloopgun-core_2.12	1.4.13-50-8332ee9c		6b2c75056735e38afb044e63de34ad67adf78dee
ch.epfl.scala	bloopgun-core_2.12	1.4.13-53-823cde49		8d7ebbc71249745f1dfe378855c264c2079fbef9
ch.epfl.scala	bloopgun-core_2.12	1.4.13-55-1fc97fae		a48a3d86de4e571248917d4dbd072235c77d5594
ch.epfl.scala	bloopgun-core_2.12	1.4.13-57-5c286956		09bef9056ee641d3b6b6c563da22ac31710aa7b3
ch.epfl.scala	bloopgun-core_2.12	1.4.13-58-ebf0cf42		64d154abd52821675879c88be68a737533403e37
ch.epfl.scala	bloopgun-core_2.12	1.4.13-6-7f377e9b		4e76efef17fa8b42a4e0fe2473535d70154904fc
ch.epfl.scala	bloopgun-core_2.12	1.4.13-62-29904e14		4583481e52b3f3359e0dfec62e35f6fcdb2287c6
ch.epfl.scala	bloopgun-core_2.12	1.4.13-64-4e5281cb		d852173f5e753ca383e5b4c38fa3768b188218ae
ch.epfl.scala	bloopgun-core_2.12	1.4.13-66-fa868362		01904cb43b1f66fc80cf712c6b9476d08db55a80
ch.epfl.scala	bloopgun-core_2.12	1.4.13-67-aab21b15		743fef583bf183a1f96629ab7a6eef410690e788
ch.epfl.scala	bloopgun-core_2.12	1.4.13-69-805134a0		5c4e3a3414482b9f0252a32e5cab8d296b4db7fb
ch.epfl.scala	bloopgun-core_2.12	1.4.13-70-d6f16202		830452e09675ca0db3299ef5f8aaa8dc0c23d55b
ch.epfl.scala	bloopgun-core_2.12	1.4.13-72-bfcb7098		53f47fbfc83fe8e2461f97af2a379995e5a15ced
ch.epfl.scala	bloopgun-core_2.12	1.4.13-73-3cdeef0c		916910c9fc465e6177530a5a62c579a2a47d7c6b
ch.epfl.scala	bloopgun-core_2.12	1.4.13-75-f9d1bef5		cbb2af434c2ed9b287d9cd8b118f4cf6f9e1beab
ch.epfl.scala	bloopgun-core_2.12	1.4.13-76-34e8105f		75f03283847bdc2cdb0b901e7a6981f2adc05c32
