biz.netcentric.cq.tools.aemmjml	aemmjml-initialcontent-package	0.1.0		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.2.4.1.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.2.4.2023013001.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.2.4.2024062001.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.2.5.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.0.0.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.1.0.2022112402.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.1.0.2023042801.bugfix.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.1.0.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.2.0.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.2.1.2023063001.Alpha		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.2.1.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.2.2.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.3.0.RELEASE		N/A
com.gccloud	gc-starter-plugins-cache-redis	2.3.5.RELEASE		N/A
com.github.gwtboot	gwt-boot-starter-ui-vue-gwt	1.0.0		a013d386af92aa904b91cdf2c6336e4483848d6c
com.github.gwtboot	gwt-boot-starter-ui-vue-gwt	1.0.1		01386b5fa80eabfb0f967dfd58687bb7cfdd3bf1
com.github.gwtboot	gwt-boot-starter-ui-vue-gwt	1.1.0		5aa2f2bdedc708aad5a615f4d2dd9a575583551e
com.github.martinpaljak	esteid	17.11.13		d46e0cf56d63a41f645ed0e8e0b52529f02ad7b7
com.github.martinpaljak	esteid	17.11.14		881852d65c6f922023d2b289802a9de057da5c57
com.github.martinpaljak	esteid	17.11.24		de79fe8238bccf3f07b7cbed4032a0923c8a101c
com.github.martinpaljak	esteid	17.11.26		5605749189b6695cd64d3849fe4130ad668d0f12
com.github.martinpaljak	esteid	17.11.26.1		5e3ec28635133220311cfc19f0663754582aa93e
com.github.nomou.mybatis	mybatis-smart	1.0.0-BETA		168494ec2010f1f9f4301a561bf1161e9748a97a
com.github.nomou.mybatis	mybatis-smart	1.0.0-BETA-1104001		868629948fabab0f77d8591197bb0cf95ec4716d
com.github.nomou.mybatis	mybatis-smart	1.0.0-BETA-2003091		b533ae2507a60603fe675940c81c034a03c4b3ab
com.github.nomou.mybatis	mybatis-smart	1.0.0-BETA-2003103		88212638e1975c0e06511812f7f17cb9e0183aba
com.github.nomou.mybatis	mybatis-smart	1.0.0-BETA-20210819		e4ef3211ef23b27288109d42eb600c0582901f25
com.github.widebase	widebase-io-filter_2.9.2	0.1.2		4c0bebfd0e517f43d7fb63deaeda59f8f5d7df63
com.github.widebase	widebase-io-filter_2.9.2	0.1.3		58ad1ebec058abb63257c96ccee853a43ab92819
com.github.widebase	widebase-io-filter_2.9.2	0.1.4		57b653f9dc55781285eadbdecec4beb2475c4bb5
com.github.widebase	widebase-io-filter_2.9.2	0.3.0		4426c325eea23daf6017b832724729d32d90997c
com.github.widebase	widebase-io-filter_2.9.2	0.3.1		b041b6827ad5f424c85b848676b8d5a586d190e0
com.github.widebase	widebase-io-filter_2.9.2	0.3.2		078444b894971157952f9dc95d6c7f7507df5404
com.github.widebase	widebase-io-filter_2.9.2	0.3.3		994c43d7967f679fb0a666d2def4c108175f08c0
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0		d33339ff75cad64fa2c3abb75af542f94b9d28f1
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0-b1		96cff2e2b71cea1bb0b3843a67306186bf573b06
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0-b2		33c750da2408f48ace3f07ba5255fd5b32220bce
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0-b3		8ed83b99e19e0d6ea58902ad1a27df79ca74b590
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0-b4		19826a78980aca076554f7d9de7dd781aa1e41e7
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0-b5		8037485231e9367a73ba64d95d0ced5ea7ec2497
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0-b6		3076703ac978bebb4c0bf0428593a0e2f2de7726
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0-b7		a7bd68c3f73a44cd7880daf422349f9fb04edc62
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0-b8		ca69da56550df8e704247335a4fd570c2286018e
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.0-b9		cb12fcbc8f0dea6afd70243d22f5a4ac1674f71f
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.1		27ea441b74233e8d8aa1aea97526c21016307807
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.2		3f77d788d8a014af8284fa0efdfd3b4290b485b5
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.3		36333299f265f69e929968bd821e2f410244bb80
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.4		890ede8396f2365be417d3f7d73fd2abd3857040
com.github.xpenatan.gdx-teavm	backend-teavm	1.0.5		41f01eab7e1968dc68b740842ec35db641bfd892
com.github.xpenatan.gdx-teavm	backend-teavm	1.1.0		484b15601d7976a6f1460daf76635e18f1350f58
com.github.zhengframework	zheng-cache-ignite	1.0.2		329da014c40d3f32dd32866e3d69f74f8c1ac353
com.github.zhengframework	zheng-cache-ignite	1.1.0		6677c0f86a3ea1be6960f3b1c3dc1903f59387d0
com.github.zhengframework	zheng-cache-ignite	1.2.0		c12ba3a0c2845939abcf924e4645ada2cc0552de
com.github.zhengframework	zheng-cache-ignite	1.3.0		6551a8a15dccee9f1e4e0376680b07924959381d
com.github.zhengframework	zheng-cache-ignite	1.4.0		940c926c6f6628aa365f4295ab6b4e7ab351e646
com.github.zhengframework	zheng-cache-ignite	1.5.0		632e11655037868be9dcd19dc1fbb29f927cd5a6
com.github.zhengframework	zheng-cache-ignite	1.6.0		50f4540bb86b81877d777a59309a91feb349611f
com.github.zhengframework	zheng-cache-ignite	1.7.0		48d81a1e50d14a51ebbd0e17d081f8497880e253
com.github.zhengframework	zheng-cache-ignite	1.7.1		N/A
com.github.zhengframework	zheng-cache-ignite	1.8.0		N/A
com.heydocther	uikit	0.0.1		9f75d47f5f23136410bf63f1b02431459ba40686
com.heydocther	uikit	0.0.2		b70c65f681283790b0835f906fb763323a051469
com.heydocther	uikit	0.1.0		4ef29c181a1ff4e40797e16d8ca4966aeedc2ef5
com.heydocther	uikit	0.2.0		d79758441a33f631f315399cbfb364c5aa56086f
com.heydocther	uikit	0.2.1		8c460d5a855324adc1d2bf97c78bd4fdca66a43e
com.io7m.smfj	com.io7m.smfj.serializer.api	0.10.0		26e52a16ae763d7af707e9f33367e4c26a95eb65
com.io7m.smfj	com.io7m.smfj.serializer.api	0.11.0		e8878f9776029ea8383a56162fba608e0829555a
com.io7m.smfj	com.io7m.smfj.serializer.api	0.12.0		79a1d11f119b7b8768d56013d25be829971da3f4
com.io7m.smfj	com.io7m.smfj.serializer.api	0.13.0		c65de1f3b4fba30c7b64f51a29596a4539f6b1e7
com.io7m.smfj	com.io7m.smfj.serializer.api	0.14.0		216747421384a732f5cc289b9dbbc26ee79bf344
com.io7m.smfj	com.io7m.smfj.serializer.api	0.15.0		e3de01e55b0f7edda52a695a068cfa641959fca2
com.outr	testy_2.12	1.0.0		01f5cf0159934799ad8a65c8447f04467acea74a
com.outr	testy_2.12	1.0.1		a9602e91101bd8967b1f0cf3fc848cfd6a615ad8
com.outr	testy_2.12	1.0.2		93f59fbda94e8891ba8aef45aedb57bab465a40c
com.outr	testy_2.12	1.0.3		a970751da1dbce12cf3cdcd21986da4265d35707
com.outr	testy_2.12	1.0.4		a93e8b8ae55302cb0d2d2a7dc82c2eb7d90e8fc5
com.outr	testy_2.12	1.0.5		ffcb4d338320f91876863bc18ad4f3c9b22d0697
com.outr	testy_2.12	1.0.6		2dcd44ff9fca413a0b25f935bff513bc7d6711d8
com.outr	testy_2.12	1.0.7		c4ad16343205e826435f0b65c3cf0930f1b194a6
com.rengwuxian.materialedittext	library	1.0.0		N/A
com.rengwuxian.materialedittext	library	1.1.0		N/A
com.rengwuxian.materialedittext	library	1.2.0		N/A
com.rengwuxian.materialedittext	library	1.2.1		N/A
com.rengwuxian.materialedittext	library	1.3.0		N/A
com.rengwuxian.materialedittext	library	1.3.1		N/A
com.rengwuxian.materialedittext	library	1.3.2		N/A
com.rengwuxian.materialedittext	library	1.4.0		N/A
com.rengwuxian.materialedittext	library	1.4.1		N/A
com.rengwuxian.materialedittext	library	1.4.2		N/A
com.rengwuxian.materialedittext	library	1.4.3		N/A
com.rengwuxian.materialedittext	library	1.5.0		N/A
com.rengwuxian.materialedittext	library	1.6.0		N/A
com.rengwuxian.materialedittext	library	1.7.0		N/A
com.rengwuxian.materialedittext	library	1.7.1		N/A
com.rengwuxian.materialedittext	library	1.8.0		N/A
com.rengwuxian.materialedittext	library	1.8.1		N/A
com.rengwuxian.materialedittext	library	1.8.2		N/A
com.rengwuxian.materialedittext	library	1.8.3		N/A
com.rengwuxian.materialedittext	library	2.0.0		N/A
com.rengwuxian.materialedittext	library	2.0.1		N/A
com.rengwuxian.materialedittext	library	2.0.2		N/A
com.rengwuxian.materialedittext	library	2.0.3		N/A
com.rengwuxian.materialedittext	library	2.1.3		N/A
com.rengwuxian.materialedittext	library	2.1.4		N/A
com.slamdata	xml-names-scalacheck_2.11	0.0.1		f702021e8868ca64e17af2912c6edba41916419c
com.spring4all	spring-boot-starter-swagger	1.5.0.RELEASE		9004ffaf844b39b2bbf393d281e1ff01b6f12da7
com.spring4all	spring-boot-starter-swagger	1.5.1.RELEASE		a7f6906e2f40577b16eaa117a18d90cd5ad2c1af
com.squareup.misk	misk-jaeger	0.10.0		9ac007159e0feff352cee02979cae7ce661dd791
com.squareup.misk	misk-jaeger	0.11.0		98a60a26244b613b17ff4a46a6b760bec35fc0e7
com.squareup.misk	misk-jaeger	0.12.0		c7acf781c729d6fdea3b7c7ebeeab4b425d33dab
com.squareup.misk	misk-jaeger	0.4.0		8df9502003c94d88c0786f4709a930df12c45899
com.squareup.misk	misk-jaeger	0.6.0		17fcb758af8fdc2cd36723b1c742307b9b5b43db
com.squareup.misk	misk-jaeger	0.7.0		f7626c68408375310613fe25f23f9647d51104de
com.squareup.misk	misk-jaeger	0.8.0		97c7e8c16fa1d917f9ccb2f9b4df3e107f35c3b2
com.squareup.misk	misk-jaeger	0.9.0		122f449d89fe0a7748f6ce26e98fec6285302267
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.11		aae990a5173f03c9511c3dfa726ea1662a2580f7
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.12		943475769e59dd625722a57ba49913138384b4b1
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.15		fd020b72d8808570806e496fc0ce83926a51dc7c
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.16		b0fdfede050056af1b23f042424dba4a2159398a
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.17		ee59b1fa4fc06138c839dfde18793903937447be
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.19		872300b4d251a2a55ad20f8680fb03e929ec1555
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.20		e5849932c6537d543887bbfe7450bc256b487447
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.24		164ba23fd74556c2c056f2494428c9870efbdb13
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.25		c75958b5fef133a7f5dee3b8fe89b44cef25a10f
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.27		4215d53aa0fe59a48d436ae2936fef156735b297
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.28		d19425b3fc7bded695f6106185e42d56331ed323
com.strapdata.elasticsearch.plugin	discovery-azure-classic	6.2.3.31		58a3516290510fc7b0e86cfd5ca3ab769e64a526
com.turbospaces.boot	bootstrap-guice-governator	1.0.1		2c49f19bad8cfb888b79bb64753636471295cf5f
com.turbospaces.boot	bootstrap-guice-governator	1.0.2		71b6d287be51e4a2b4e0c84c16785a2e42e030a8
com.turbospaces.boot	bootstrap-guice-governator	1.0.3		e36e9c5e808e7c60f53ef8ba3b74c3c5a0a8d709
com.typesafe.akka	akka-actor_3	2.6.17		b83bddf685faaa3f3e6b873051929200696df84c
com.typesafe.akka	akka-actor_3	2.6.18		3d7f9c8d5c0251dddd6831c6d1660577f41eca8f
com.typesafe.akka	akka-actor_3	2.6.19		fea1d314e4fbf160587c4c7357d2c69390db7611
com.typesafe.akka	akka-actor_3	2.6.20		7b36624eba1bb5a3a6db09e83186677632141dd9
com.typesafe.akka	akka-actor_3	2.6.21		4850328c927a612f9da34b99b714f3593e685786
com.typesafe.akka	akka-actor_3	2.7.0		3e64209467066c7334704dbd6447d94a9835714d
com.typesafe.akka	akka-actor_3	2.7.0-M1		84004d61781308e84e66c3e2bdfaf833a368e417
com.typesafe.akka	akka-actor_3	2.7.0-M2		08d048968f4dd2d8ad7ccf9b473c656d906857f1
com.typesafe.akka	akka-actor_3	2.7.0-M3		87998eaf6792b151b5d4a0b045b8dacc85908f3d
com.typesafe.akka	akka-actor_3	2.7.0-M4		ca62d0ced18e677673e70d595a88785559f857e2
com.typesafe.akka	akka-actor_3	2.7.0-M5		88042398fd906753ce92dfc49f02894531f976a7
com.typesafe.akka	akka-actor_3	2.7.1		e07d1b0124999da777cb04175999cb7609c6983f
com.typesafe.akka	akka-actor_3	2.8.0		4ec0d66e3f4ab8e2887f6d10a9dba6ac178c7ee3
com.typesafe.akka	akka-actor_3	2.8.0-M1		1150bc7b1d32b4c7576ea81de4303e21a90ffcfa
com.typesafe.akka	akka-actor_3	2.8.0-M2		899af7816cf0bec31ab2e0ffe2b2ee379e188f86
com.typesafe.akka	akka-actor_3	2.8.0-M3		ebe0edb7266c44916c2122c5e7a33bb5268628c6
com.typesafe.akka	akka-actor_3	2.8.0-M4		d46d6cbecb17eb42eaf9b9260bafe4b1aa1fa335
com.typesafe.akka	akka-actor_3	2.8.0-M5		b52ec3a9c11a704831e35026d1d2317cd569fe94
com.typesafe.akka	akka-actor_3	2.8.0-M6		abfb9b427670ae6642e20aaea79dd5515c59fe24
com.typesafe.akka	akka-actor_3	2.8.1		3392a7010bea1c5a0106008d330b28300404a695
com.typesafe.akka	akka-actor_3	2.8.1-M1		02cb362545ffc6752cd345fb592c42eef4a3d4a3
com.typesafe.akka	akka-actor_3	2.8.2		c1bc5e945386571e9ef4a89294f61e6ca5dac2c7
com.typesafe.akka	akka-actor_3	2.8.3		af8d3739c36ffd5e8e0d0bf5f51e58dd51eb7366
com.typesafe.akka	akka-actor_3	2.8.4		2174c703cb3010d38ed84e3c6b5cf09c3babeeb9
com.typesafe.akka	akka-actor_3	2.8.5		af8bb450cd2253d991adc9ef438c2e34b79a6f75
com.typesafe.akka	akka-actor_3	2.8.6		7eed75258664afcc5a0f95c09acbc3709f5c29a0
com.typesafe.akka	akka-actor_3	2.8.7		90b57f17576c2ffa19bcae96810bb5087147bb6a
com.typesafe.akka	akka-actor_3	2.8.8		09fbf6d4b55a65b9c066b2b8c49c9477d57fa944
com.typesafe.akka	akka-actor_3	2.9.0-M1		4d9113572e32919767a77a849b2cd89035894376
com.typesafe.akka	akka-actor_3	2.9.0-M2		223c5f0da22937aefe4add1cf7ce7bc130e74bc3
com.virgilsecurity.crypto	phe-android	0.10.0		N/A
com.virgilsecurity.crypto	phe-android	0.10.1		N/A
com.virgilsecurity.crypto	phe-android	0.10.2		N/A
com.virgilsecurity.crypto	phe-android	0.10.3		N/A
com.virgilsecurity.crypto	phe-android	0.11.0		N/A
com.virgilsecurity.crypto	phe-android	0.11.1		N/A
com.virgilsecurity.crypto	phe-android	0.12.0		N/A
com.virgilsecurity.crypto	phe-android	0.12.1		N/A
com.virgilsecurity.crypto	phe-android	0.12.2		N/A
com.virgilsecurity.crypto	phe-android	0.13.1		N/A
com.virgilsecurity.crypto	phe-android	0.14.0		N/A
com.virgilsecurity.crypto	phe-android	0.15.0		N/A
com.virgilsecurity.crypto	phe-android	0.15.1		N/A
com.virgilsecurity.crypto	phe-android	0.15.2		N/A
com.virgilsecurity.crypto	phe-android	0.16.0		N/A
com.virgilsecurity.crypto	phe-android	0.7.0		N/A
com.virgilsecurity.crypto	phe-android	0.7.1		N/A
com.virgilsecurity.crypto	phe-android	0.8.0		N/A
com.virgilsecurity.crypto	phe-android	0.9.0		N/A
com.weedow	spring-data-search-sample-app	0.0.1		f0fff759aef10465c95edae1f78d8b34ed812d5c
com.weedow	spring-data-search-sample-app	0.0.2		2334e6326ab216917fdd2f92c68c6852c2908a47
com.wordnik	swagger-play2-utils_2.10	1.2.2		61fffd6339122797b965aebb75a8c0edcc3e2d6b
com.wordnik	swagger-play2-utils_2.10	1.2.3		ac5c617128f692ebf524c0bd89c41cda3840f264
com.wordnik	swagger-play2-utils_2.10	1.2.4		d4e3c4105276c3d98d86fd23839908f6bf13e557
com.wordnik	swagger-play2-utils_2.10	1.2.5		c015bd5cc57a2cfb00762f3ccfe412d64fcf2637
com.wordnik	swagger-play2-utils_2.10	1.3.1		44f318c74d50fd16715169f019fddfc293f78a76
com.wordnik	swagger-play2-utils_2.10	1.3.10		3644aa7540b6e3b4ab7223eb198063a0598d4e19
com.wordnik	swagger-play2-utils_2.10	1.3.11		f90ab616097a7f603dceead51b8ed24075050557
com.wordnik	swagger-play2-utils_2.10	1.3.12		6cd8e1c76e0d67b514b62d2af92ac57023bbe25f
com.wordnik	swagger-play2-utils_2.10	1.3.3		7f03a48c9346d269499cfdb16f03b6da6eefcbbf
com.wordnik	swagger-play2-utils_2.10	1.3.4		a4581f409057d83801f293d6c67950d2dae217ed
com.wordnik	swagger-play2-utils_2.10	1.3.5		dfff0eaa26e77cb10e2f8b19b9161ce84780cdce
com.wordnik	swagger-play2-utils_2.10	1.3.6		cc741ab3202d2879c4ec3601cda88836bc7e6131
com.wordnik	swagger-play2-utils_2.10	1.3.7		e94ca6581ec85d4d57b9bc44fdafdd69c4996ca3
com.wordnik	swagger-play2-utils_2.10	1.3.8		52fff086877a33854840f9c3d444b78a85f30c6a
com.wordnik	swagger-play2-utils_2.10	1.3.9		bfc604f5e3fb7f70325424f2710032c16fa3b7c5
com.yahoo.elide	elide-datastore-aggregation	5.0.0		bdd4464be6b1f70e728f458b345407cd2031d24f
com.yahoo.elide	elide-datastore-aggregation	5.0.0-pr29		0f223460a8754c1fe86b7f6bd559f5950d717ef6
com.yahoo.elide	elide-datastore-aggregation	5.0.0-pr30		204a9d4ef877044eab119ac2a674c523cda49597
com.yahoo.elide	elide-datastore-aggregation	5.0.0-pr31		55291fe618ae6c7349c59a7e0a7d13669ab0e1c9
com.yahoo.elide	elide-datastore-aggregation	5.0.0-pr32		0f4ece79fb28f953b9ab59d6132947c751639b4d
com.yahoo.elide	elide-datastore-aggregation	5.0.0-pr34		ca70e08f79c208a575112b4dfc80b929b30d8cd5
com.yahoo.elide	elide-datastore-aggregation	5.0.1		f829afb956e376eb5e5f3e241943a66992498a2c
com.yahoo.elide	elide-datastore-aggregation	5.0.10		4bde02309e477cf2189108552c350d912c14ba30
com.yahoo.elide	elide-datastore-aggregation	5.0.11		c25647deb3536b1905434c860ad154ecffcbb57b
com.yahoo.elide	elide-datastore-aggregation	5.0.12		dd2d5629c413f1dcd03a8741b7c55f2cd723979a
com.yahoo.elide	elide-datastore-aggregation	5.0.2		3a84ada2762dbdede7b61504222582d60097ca7c
com.yahoo.elide	elide-datastore-aggregation	5.0.3		c31bcdeffbf884d3cfa8a2c837f653c3954a8603
com.yahoo.elide	elide-datastore-aggregation	5.0.4		96bbb29472d469d7d894492e397d4d72df5af65c
com.yahoo.elide	elide-datastore-aggregation	5.0.6		c1d233a6fce1cff2c1c9948581053b91d16c7215
com.yahoo.elide	elide-datastore-aggregation	5.0.7		a650e7df28a741b6df05530368c9952a99e0d76d
com.yahoo.elide	elide-datastore-aggregation	5.0.8		4c86cc273f4cb797979acf976679d330e3d7d4ab
com.yahoo.elide	elide-datastore-aggregation	5.0.9		63b129aabf2fd724a68ec83caa72311e0575198f
com.yahoo.elide	elide-datastore-aggregation	5.1.0		0b44304c0c7d10960fa0471fce9abe4731c9315b
com.yahoo.elide	elide-datastore-aggregation	5.1.1		9194a84e2b9c29abcb34c260b02c5f353627c539
com.yahoo.elide	elide-datastore-aggregation	5.1.2		eba0236ce8ec9c82d102d63ce494eb7015f97885
com.yahoo.elide	elide-datastore-aggregation	6.0.0		653b5ba676aefd34c8f8a967e89967202e635bcd
com.yahoo.elide	elide-datastore-aggregation	6.0.0-pr3		2a6ebe3888ea9685b8adfebeafe0c7abe522877c
com.yahoo.elide	elide-datastore-aggregation	6.0.0-pr4		c3eedef5eefd9f268b99e6a446f2ecf2ade7a0bb
com.yahoo.elide	elide-datastore-aggregation	6.0.0-pr5		cd06d7621d41483e45c0e37185fee299f1b2d77f
com.yahoo.elide	elide-datastore-aggregation	6.0.0-pr6		9ede111878bde2b862ad0bbacf20a5384dd8f20c
com.yahoo.elide	elide-datastore-aggregation	6.0.0-pr7		86cdf2ce5df1eea7038f9603cc297b542bbc247a
com.yahoo.elide	elide-datastore-aggregation	6.0.1		fdeb7395a3a556635c41797e43ff28a0a1ec4379
com.yahoo.elide	elide-datastore-aggregation	6.0.2		78e18f61a5527e76fd0e6e5bd13dd93bf8472bad
com.yahoo.elide	elide-datastore-aggregation	6.0.3		1c6ca63e2ed6fbb98e9c68a3db430ad3ccca640d
com.yahoo.elide	elide-datastore-aggregation	6.0.4		2736818f232e7b7e3a655babb03d026ea2b01c46
com.yahoo.elide	elide-datastore-aggregation	6.0.5		7440eb13e2b442d9c30f2c3bb5c9582a95ba8eda
com.yahoo.elide	elide-datastore-aggregation	6.0.6		49fcb7558a936d7b10f6d057aa781db9920f28f8
com.yahoo.elide	elide-datastore-aggregation	6.1.0		3bd12a73175866427f5237a10ce41dc8513c6533
com.yahoo.elide	elide-datastore-aggregation	6.1.1		d247492ef8f9c913594332a904ffe0d6cafcd8e1
com.yahoo.elide	elide-datastore-aggregation	6.1.10		4c995a173a3ac0b80668deb4b2cdf180a7cf17db
com.yahoo.elide	elide-datastore-aggregation	6.1.12		e2a097318ef72b9fd68b69395829b3c195203c2a
com.yahoo.elide	elide-datastore-aggregation	6.1.2		85f114d33b39b4281eda0d7a9755d3a26e76c371
