cafe.adriel.lyricist	lyricist-core-wasm-js	1.7.0		N/A
com.github.bancolombia	scaffold-clean-architecture	3.15.0		1a89087873af32607d564590a194ffbbac0d72f2
com.github.bancolombia	scaffold-clean-architecture	3.15.1		e9eccda0e70b39497423659533b7e1b4108db450
com.github.bancolombia	scaffold-clean-architecture	3.16.0		8d80c6e5b0fc60c5563b16883f21e912ddb6b508
com.github.bancolombia	scaffold-clean-architecture	3.16.1		67374136b4c06f52bf5131ec711c3991fea55655
com.github.bancolombia	scaffold-clean-architecture	3.16.2		17ec7e0a224cf7d51cc05576f212937eded10ce2
com.github.bancolombia	scaffold-clean-architecture	3.16.3		71384fa1567d5d33d71e09793a120ec52e86b61b
com.github.bancolombia	scaffold-clean-architecture	3.16.4		4562ce2254049bbd27ba98ff0e78fe5784d33951
com.github.bancolombia	scaffold-clean-architecture	3.16.5		34c89d4b7a5b77a83dbd8b44c74e54f0eacb6c9d
com.github.bancolombia	scaffold-clean-architecture	3.17.0		55c3b09b12b8e50a61bd227b52e5c22881b06958
com.github.bancolombia	scaffold-clean-architecture	3.17.1		1affd23e84fd27ebd2f3ebbc967bd51070519f3f
com.github.bancolombia	scaffold-clean-architecture	3.17.11		b258f8a09c1dd784d31b87dfd05eb87c710399fe
com.github.bancolombia	scaffold-clean-architecture	3.17.12		11f89189da7311b259d77c11744e0772278e4e67
com.github.bancolombia	scaffold-clean-architecture	3.17.13		dfd711bb6ca96cdfe97c09b2e1a20518fb9ebe93
com.github.bancolombia	scaffold-clean-architecture	3.17.14		b1619b5563bf66c82adf8e11e3bcbe4fc38a02ab
com.github.bancolombia	scaffold-clean-architecture	3.17.15		20f59e2d56f1c662e2f166d5ff9d073d1e6767f8
com.github.bancolombia	scaffold-clean-architecture	3.17.16		0cdefea3b6e10259266deb26295ea25e4386ad27
com.github.bancolombia	scaffold-clean-architecture	3.17.17		26e8e12385953fec42328b13acb37fb277ef1a99
com.github.bancolombia	scaffold-clean-architecture	3.17.18		a4d94d2d000004e0021d7162778fc9e270f12b87
com.github.bancolombia	scaffold-clean-architecture	3.17.19		2061cee5e75678b047ebbbe194db126c6b048a61
com.github.bancolombia	scaffold-clean-architecture	3.17.2		0abda777b944e54e39591700d103a5b1d2d97672
com.github.bancolombia	scaffold-clean-architecture	3.17.20		5aa1c5be8dddff2e05864b2aeb48d061665a5a24
com.github.bancolombia	scaffold-clean-architecture	3.17.21		fb5a5ef3737fec10ebf1ab6543587fa16ee51c19
com.github.bancolombia	scaffold-clean-architecture	3.17.22		b6bb1bd10b58fe568d7fdb6587f99a64eaa8c7c7
com.github.bancolombia	scaffold-clean-architecture	3.17.23		85be4df1d644eb9eb47466933347fc4d7dca0cd2
com.github.bancolombia	scaffold-clean-architecture	3.17.24		4b151e86e04f3076083de37fdc143a45323b5e8f
com.github.bancolombia	scaffold-clean-architecture	3.17.25		59774b8d403676ae50ff78b727407f733c38ee8e
com.github.bancolombia	scaffold-clean-architecture	3.17.26		a52cc78ec2718a7bff40cb612c3722adc4db4560
com.github.bancolombia	scaffold-clean-architecture	3.17.3		820e41e393202fc93e6cabed59796aafd22b9a28
com.github.bancolombia	scaffold-clean-architecture	3.17.4		18be05cd9006cf930187191cdf0a64ed54256886
com.github.bancolombia	scaffold-clean-architecture	3.17.5		ecd1d605f7999c984cccc42c1fad4cde018efc2d
com.github.bancolombia	scaffold-clean-architecture	3.17.6		e3ec8cb2dc1e90413e957df10d6d6cd951d3ce33
com.github.bancolombia	scaffold-clean-architecture	3.17.7		cca46dd845da64af8d013ae132882b946650819f
com.github.bancolombia	scaffold-clean-architecture	3.17.8		6c4376389335b80468d66dde7679dd371ae30382
com.github.bancolombia	scaffold-clean-architecture	3.18.0		c4cf2110e58712b3c7f1bfb881a76e19692b5d65
com.github.bancolombia	scaffold-clean-architecture	3.18.1		39092197585e551902b4ecb182ced05eee528db6
com.github.bancolombia	scaffold-clean-architecture	3.18.2		6805f7f4dfd4c9692c30d7adc7ef610d36332794
com.github.bancolombia	scaffold-clean-architecture	3.19.0		3b5219bda195be398dcfb132deeca908457cc474
com.github.bancolombia	scaffold-clean-architecture	3.2.0		5a89a62d3c3189280d4cda92a601b031f1913806
com.github.bancolombia	scaffold-clean-architecture	3.20.0		9653b417e57a5d72f5bd4c1384e293189b075b6c
com.github.bancolombia	scaffold-clean-architecture	3.20.1		96caefa71930dca134c36d8bcb1534619f1e027d
com.github.bancolombia	scaffold-clean-architecture	3.20.10		a68148e69ff537a934c3dcf555c5aec62c30c7ec
com.github.bancolombia	scaffold-clean-architecture	3.20.11		c65fbbe656be571b48d23131267246dbc1082dbd
com.github.bancolombia	scaffold-clean-architecture	3.20.12		17f73f25e161fd890c45d8b67f3e6cedb207743d
com.github.bancolombia	scaffold-clean-architecture	3.20.13		60ad0e13cd181288c62fbffb37a9b0a7dead8332
com.github.bancolombia	scaffold-clean-architecture	3.20.15		3d6827be0d46efb3d6fc1a3625731b5369ea3e4a
com.github.bancolombia	scaffold-clean-architecture	3.20.4		26aaa3844c20ac4173d77f17de3b0f1e2a958a6a
com.github.bancolombia	scaffold-clean-architecture	3.20.5		61876122906edd27649e5418bf5eb8dd4155799b
com.github.bancolombia	scaffold-clean-architecture	3.20.6		456922f751f253b98b36994f49f594aa3cf25491
com.github.bancolombia	scaffold-clean-architecture	3.20.7		56384b82783c2c3f27314293025e95a6da3dc30a
com.github.bancolombia	scaffold-clean-architecture	3.20.8		ed66ade02a0392beb0d7c99411384c61289c2540
com.github.bancolombia	scaffold-clean-architecture	3.20.9		5359cc3259bd7a0a87a91478077fbb1994a97088
com.github.bancolombia	scaffold-clean-architecture	3.22.3		b22d50f226e600c999df6c62fc0032f6321af5b9
com.github.bancolombia	scaffold-clean-architecture	3.22.4		aade91256b02515c304918d87cbebcd617118e64
com.github.bancolombia	scaffold-clean-architecture	3.3.0		fefd464bf4bd3be0bb1a139f9c88c1362e6d45ea
com.github.bancolombia	scaffold-clean-architecture	3.3.1		f386597aa8960f9da22f43a74c974b576927c592
com.github.bancolombia	scaffold-clean-architecture	3.4.0		669b749452106a504b1374066e652cd4a03ac393
com.github.bancolombia	scaffold-clean-architecture	3.6.0		d6ae837952877f1512d780a97917a74de2fe3b29
com.github.bancolombia	scaffold-clean-architecture	3.6.1		f166b8a6892d21eef033d4d05caa7b5b49a87b63
com.github.bancolombia	scaffold-clean-architecture	3.6.2		9ddcace17e63093808c4c0f3066753d207abfa4a
com.github.bancolombia	scaffold-clean-architecture	3.6.3		cea9670540364b40d56bf6c91bf0b4d44befee2c
com.github.bancolombia	scaffold-clean-architecture	3.7.0		efad3ba9a1573af1d558a1e800242b90672d78a0
com.github.bancolombia	scaffold-clean-architecture	3.8.0		0363547849b1f2fca9d6c424ff5f54eea89ee4c2
com.github.julien-truffaut	monocle-macro_sjs1_3	3.0.0-M6		581c40c042c588d34d75c582c54da9fae5ba27dd
com.github.restup	up-controller	0.0.1		f667970b9f669030d5ba1a9b7ee11871c9befb92
com.github.restup	up-controller	0.0.2		16365971cc9d634bc424b3f028a314e24a0f4e29
com.github.restup	up-controller	0.0.3		8e0a2130e20defa236c26444ee5121c552031e8f
com.github.restup	up-controller	0.0.4		bf54e8c3f6491a57f080594c09f92a24950bc1a2
com.github.restup	up-controller	0.0.5		ac320da6ffdaa0771a2e6f10cca16f016f844f83
com.github.shepherdviolet.glacimon	glacispring-txtimer	2022.0.0		4ac2996d2418080ef54ced971fbc280a83ebc3f6
com.github.shepherdviolet.glacimon	glacispring-txtimer	2022.0.1		3e9b9c4a0a1da56cf074dc2bffa052bd22061be2
com.github.shepherdviolet.glacimon	glacispring-txtimer	2022.0.2		a9bb39b53f70b567fb4686865e2ff69e80b812df
com.github.shepherdviolet.glacimon	glacispring-txtimer	2022.1.0		6c270e950531e0e7d80dfbe8c3ec54e9fb7e95a4
com.github.shepherdviolet.glacimon	glacispring-txtimer	2022.1.1		e3cac158a534d62bc133cd7b129d86e5c098fb4a
com.github.shepherdviolet.glacimon	glacispring-txtimer	2022.1.2		d61402c30dec40e204c09260d682cdf3cc644768
com.github.shepherdviolet.glacimon	glacispring-txtimer	2022.2.0		fae9119f4d6ee89f1e3a5342f7cdec1cb9f04138
com.github.shepherdviolet.glacimon	glacispring-txtimer	2022.3.0		93b74f4cf7d6412330d7d469987313616ad7adc7
com.github.shepherdviolet.glacimon	glacispring-txtimer	2023.0.0		48c843e66e905692fef59f1fa97324148d9e5f74
com.github.shepherdviolet.glacimon	glacispring-txtimer	2023.0.1		90b8b5914fda2a0e17a2f77566c3008923ab9b8e
com.github.shepherdviolet.glacimon	glacispring-txtimer	2023.1.0		e69f6e2388dc89e65d599a51488a4c296ec72653
com.github.shepherdviolet.glacimon	glacispring-txtimer	2023.1.1		659a0706debc14a17b14e9ed9b7b6fb8ff0933a7
com.github.shepherdviolet.glacimon	glacispring-txtimer	2023.1.2		8d03f18910109630239923d3c0b38d6b76115707
com.github.shepherdviolet.glacimon	glacispring-txtimer	2024.0.0		203e8234174c2bf03a126876e964b3f8b7177d0e
com.github.shepherdviolet.glacimon	glacispring-txtimer	2024.1.0		df6f2f58a4c965051f60f617dbe88264a6033419
com.github.shepherdviolet.glacimon	glacispring-txtimer	2024.1.1		6a89f0565670d772c9d87c8613c48a9a1cfd934e
com.github.shepherdviolet.glacimon	glacispring-txtimer	2024.1.2		9836790ebe134613e4ee3d94a34a17d471566cb3
com.github.shepherdviolet.glacimon	glacispring-txtimer	2024.1.3		076cbd64d08e7f093ff7b72d7aa76ce66cf40069
com.github.shepherdviolet.glacimon	glacispring-txtimer	2024.1.4		7717d99883c184d85f48558a8a5b5cbc59111d84
com.github.shepherdviolet.glacimon	glacispring-txtimer	2024.1.5		e61f168051812c0730cf82d0c613d5b4c967736e
com.github.shepherdviolet.glacimon	glacispring-txtimer	2024.2.0		bef5cbe6b39950af25aa474a70efcd52998e9804
com.github.shepherdviolet.glacimon	glacispring-txtimer	2024.2.1		f27c6a0e76df99582101af4225489a3f76eb41f3
