be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	skolemisation-transformer-processor	2.12.0		N/A
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.2.4		e4ed4c7854e05fb1fbd7d2b8892ed89ba3fd4e9b
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.20.0		a2ee7313c609b9081031abb84473242181e0cc9f
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.21.0		174b9fcfcf0cc01a3276be336df49ad97337844c
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.22.0		459e4d88c85d002530952e0e354f3bf47ec49197
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.23.0		f18cb5377d0d8b511a5888fa8e17b9f48cf92bfc
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.26.0		cdeb246f7fa2367ad001ed0f597fe4fc7a695bbd
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.27.0		ec1b9319b6d1db5c3f38a65b8b9ad770bbc5d8dd
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.28.0		1411e1dc76c2b224b02a114debec0a8e16cea540
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.29.0		7c97aebaf0a54fb2cb00f2aeb0f820130878743b
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.3.0		9737430b5fd42dd37a16fcbc185e6b83fba44d70
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.30.0		673776a5a07fda9968189b2f7002b854cc66c2a6
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.31.0		7a21965d257cce6cb406f1c4ce56c1700ba535d9
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.32.0		ea1b2c4ad9e15fdeabdaefe1059db99ac626da7c
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.33.0		c2a87145e2998f1fd5a8b3443c31e0397f128605
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.34.0		613e55a67f148e665897d2c235b3f66642885101
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.35.0		9a040b31a36b377653ca250bb881535871b7a8c0
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.36.0		d81b61a696bbc8199f51ba27942c66c0ff520907
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.37.0		c14e0224a37caa11f4c5c249d598dcbe22da39a0
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.38.0		d190e083a5e38ed6a24c86dbf7e56756f7f52de0
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.39.0		5ec010f66ccbdb9d8a963336221c1f00a3413ba1
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.4.0		1f1c2b41f3fd961c511780fc5bde2fbc611c0e94
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.40.0		ac5b94fd290ae00f308c0af185636f7531ec57b1
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.41.0		dd92bffff5f384886866576c892a083c27ebc55e
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.42.0		8d2662b3b1de34c75b176c5276b32ffe4894e58d
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.43.0		167aca25e55f78b6687747b30bff40a0228119ce
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.44.0		5c719593048c87f37c6f954efe6782a1144e8225
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.45.0		994e04b136cbc18bdf1d36b089db5e167c40714c
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.46.0		87dc85dc5ec316b67fcb62d841e7cffbf0b64f7c
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.47.0		ad861708b592d475a740a5b485ee33b997d517e2
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.48.0		4da21331836f4f0a111975e080298e1f9a19f246
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.5.0		52fc346f041127707cd1c395ed84bafa304b45e8
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.50.0		b4ce63e87dfff0e1871a4135995839fb962c0600
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.51.0		04f7fb408292759419d23f4915b641625a4f5b0e
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.52.0		844ffc66cee45918c40f0c60286d6f55bf6bfb74
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.53.0		08a9073dace08766a743d3567000454cc78bfcd1
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.54.0		4b76309e8258f37cbf0b87071da1f42b38b6527b
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.55.0		b070b17bee85c0856fc318b2acdd57f5e7b78202
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.56.0		e881d42f67e634c10d6ae45dc2f46295c2d83028
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.57.0		038bbc48148237b7b5b903d7783cd919c709ef12
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.58.0		dfa0aaa61549610564093d183baeaa0c880416ca
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.6.0		2876657d2a137abd0a4cd73f302e9359122905e6
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.7.0		d11d35c4ec39b707c9d4c13e34f5b127ad74f452
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.8.0		11678ac618a1c7e8632f7b2899dc1b97f7406921
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.9.0		2b854edc6b1e4829a9d76a7c1155d1229ff4d891
com.google.cloud	google-cloud-webrisk-parent	0.31.0-alpha		N/A
com.google.cloud	google-cloud-webrisk-parent	0.31.1-alpha		N/A
com.google.cloud	google-cloud-webrisk-parent	0.32.0		N/A
com.google.cloud	google-cloud-webrisk-parent	0.32.1		N/A
com.google.cloud	google-cloud-webrisk-parent	0.33.0		N/A
com.google.cloud	google-cloud-webrisk-parent	0.33.1		N/A
com.google.cloud	google-cloud-webrisk-parent	0.33.2		N/A
com.google.cloud	google-cloud-webrisk-parent	0.33.3		N/A
com.google.cloud	google-cloud-webrisk-parent	1.0.0		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.0		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.1		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.10		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.11		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.12		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.13		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.14		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.15		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.3		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.4		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.5		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.7		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.8		N/A
com.google.cloud	google-cloud-webrisk-parent	1.1.9		N/A
com.google.cloud	google-cloud-webrisk-parent	1.2.0		N/A
com.google.cloud	google-cloud-webrisk-parent	1.2.1		N/A
com.google.cloud	google-cloud-webrisk-parent	1.2.2		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.1		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.10		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.11		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.12		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.13		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.14		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.2		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.3		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.4		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.5		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.6		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.7		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.8		N/A
com.google.cloud	google-cloud-webrisk-parent	2.0.9		N/A
com.google.cloud	google-cloud-webrisk-parent	2.1.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.1.1		N/A
com.google.cloud	google-cloud-webrisk-parent	2.10.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.11.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.12.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.13.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.14.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.15.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.16.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.17.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.18.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.19.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.2.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.2.2		N/A
com.google.cloud	google-cloud-webrisk-parent	2.2.4		N/A
com.google.cloud	google-cloud-webrisk-parent	2.2.5		N/A
com.google.cloud	google-cloud-webrisk-parent	2.2.6		N/A
com.google.cloud	google-cloud-webrisk-parent	2.20.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.21.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.22.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.23.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.26.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.27.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.28.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.29.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.3.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.30.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.31.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.32.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.33.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.34.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.35.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.36.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.37.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.38.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.39.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.4.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.40.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.41.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.42.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.43.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.44.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.45.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.46.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.47.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.48.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.5.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.50.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.51.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.52.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.53.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.54.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.55.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.56.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.57.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.58.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.59.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.6.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.60.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.7.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.8.0		N/A
com.google.cloud	google-cloud-webrisk-parent	2.9.0		N/A
com.jashmore	documentation-annotations	4.0.0		418968c3979e80608b345eaca6ec72d34b51fc32
com.jashmore	documentation-annotations	4.0.0-M1		ceae605280bd7161aabbc2d46c53c481257d5dfd
com.jashmore	documentation-annotations	4.0.0-M2		5b73b4b302a79c49f1a441a67b4dd74f5d31853c
com.jashmore	documentation-annotations	4.0.0-M4		3c0e8b279dd3f4b46245cf3bf92a444af7ee4e78
com.jashmore	documentation-annotations	4.0.0-M5		f7ce511d1ccddfe719743fe37b22eee069aad611
com.jashmore	documentation-annotations	4.0.0-M6		48ef3f7aaf8a04cb63783cfa22dde48cda27d01a
com.jashmore	documentation-annotations	4.0.0-M7		4dd04cfcb5f2636fd0f9f9b50d98ec0d0f4545b4
com.jashmore	documentation-annotations	4.0.0-M8		7f4c0f8ec298b327f874dacb529da8640439797c
com.jashmore	documentation-annotations	4.1.0		fd7289c33b349cd4d5ad62794a16f7dbc75aee34
com.jashmore	documentation-annotations	4.2.0		77685fd5d9ca011188d764a52caa3a058cc7daab
com.jashmore	documentation-annotations	4.3.0		3e097435a2c8d4d023daf0d90edd6a219e3fdded
com.jashmore	documentation-annotations	4.4.0		c8afd5443d5d4b6473b95680939d864131912432
com.jashmore	documentation-annotations	5.0.0		61410ebe2af4ff68267e9381ec10eae4e055ab0b
com.jashmore	documentation-annotations	5.1.0		096f3018cff6685ea701d93f37e73a248f7eb67c
com.jashmore	documentation-annotations	6.0.0		336897738e60f9fc21ee9b5401581d7caf3654a6
com.jashmore	documentation-annotations	7.0.0		ab3055cb5095f28a4f335c20948f283f1c8e3ee4
com.latitech.android	whiteboard-private	0.12.68		N/A
com.latitech.android	whiteboard-private	0.12.69		N/A
com.latitech.android	whiteboard-private	0.12.70		N/A
com.latitech.android	whiteboard-private	0.12.71		N/A
com.latitech.android	whiteboard-private	0.12.72		N/A
com.latitech.android	whiteboard-private	0.12.73		N/A
com.latitech.android	whiteboard-private	0.12.74		N/A
com.latitech.android	whiteboard-private	0.12.75		N/A
com.latitech.android	whiteboard-private	0.12.76		N/A
com.latitech.android	whiteboard-private	0.12.77		N/A
com.latitech.android	whiteboard-private	0.12.78		N/A
com.latitech.android	whiteboard-private	0.12.79		N/A
com.latitech.android	whiteboard-private	0.12.80		N/A
com.latitech.android	whiteboard-private	0.13.0		N/A
com.latitech.android	whiteboard-private	0.13.1		N/A
com.latitech.android	whiteboard-private	0.13.2		N/A
com.latitech.android	whiteboard-private	0.13.3		N/A
com.latitech.android	whiteboard-private	0.13.4		N/A
com.launchdarkly	launchdarkly-release-test-java	1.0.3		56de3e602eac7f9778f1dbf1edf83b2679ab7faa
com.launchdarkly	launchdarkly-release-test-java	3.0.13		df178aa5a75483dd08113609745083f2b0d3f8cf
com.launchdarkly	launchdarkly-release-test-java	3.0.14		077e1a0517401d8d1252fb2e8060f1a839faab45
com.launchdarkly	launchdarkly-release-test-java	3.0.15		f53e1083d1c0883ee4ffb5ff686d87f07fcb9f14
com.launchdarkly	launchdarkly-release-test-java	3.0.17		1d4aa725076e90e74fdc7b3b77109ac5d035450f
com.launchdarkly	launchdarkly-release-test-java	3.1.5.0		N/A
com.launchdarkly	launchdarkly-release-test-java	3.1.7		N/A
com.launchdarkly	launchdarkly-release-test-java	4.1.0		dedaaa7522b0d3ec7460aa4c4c8f08962d21c8fa
com.launchdarkly	launchdarkly-release-test-java	4.1.1		9803cb78293f2b7191037691e378919cbf9d6574
com.launchdarkly	launchdarkly-release-test-java	4.1.2		66b5e848d74e84705250b028754e136c2eae6c3d
com.lightstreamer	ls-jms-javase-client	1.0.0		3d4bb8af74e517e9a7b5c7c83ccf37ab569054b7
com.lightstreamer	ls-jms-javase-client	1.0.0-alpha-01		c0b4ba2c99001ccd49e6c8371c3e925e9eaff0f8
com.lightstreamer	ls-jms-javase-client	1.0.0-alpha-02		2e22afde02f2e3946b69352c9ee8080e8a414c64
com.lightstreamer	ls-jms-javase-client	1.0.0-alpha-03		d7245448941c015119c4c4cdfbfdc36a65fcea87
com.qcloud.oceanus	flink-parquet_2.11	1.10.1		53d273f548dbd172c64b1e69278f66bfead2b902
com.spingo	op-rabbit_2.12	2.0.0		ef1ae6a80dc9e01c16bfa58d8898939a1f525831
com.spingo	op-rabbit_2.12	2.0.0-rc1		66e6ba01b6da23f900fd9b4afbb62dac1533f671
com.spingo	op-rabbit_2.12	2.1.0		6a39caa6ee027cb7431cb744f587a8fc76228084
com.spingo	op-rabbit_2.12	2.1.0-RC1		0d4bc7a0cbd554dd8fec5b508149924059cc68b1
com.spingo	op-rabbit_2.12	2.1.0-RC2		dd700d15810cc708237fca423a02843f8fdd6c8e
com.sun.jersey.ri	jax-rs-ri	1.1.4		N/A
com.sun.jersey.ri	jax-rs-ri	1.1.4.1		N/A
com.sun.jersey.ri	jax-rs-ri	1.1.5		N/A
com.sun.jersey.ri	jax-rs-ri	1.1.5.1		N/A
com.sun.jersey.ri	jax-rs-ri	1.1.5.2		N/A
com.sun.jersey.ri	jax-rs-ri	1.10		N/A
com.sun.jersey.ri	jax-rs-ri	1.10-b01		N/A
com.sun.jersey.ri	jax-rs-ri	1.10-b02		N/A
com.sun.jersey.ri	jax-rs-ri	1.10-b03		N/A
com.sun.jersey.ri	jax-rs-ri	1.10-b04		N/A
com.sun.jersey.ri	jax-rs-ri	1.10-b05		N/A
com.sun.jersey.ri	jax-rs-ri	1.11		N/A
com.sun.jersey.ri	jax-rs-ri	1.11-b01		N/A
com.sun.jersey.ri	jax-rs-ri	1.11-b02		N/A
com.sun.jersey.ri	jax-rs-ri	1.11-b03		N/A
com.sun.jersey.ri	jax-rs-ri	1.11-b04		N/A
com.sun.jersey.ri	jax-rs-ri	1.11.1		N/A
com.sun.jersey.ri	jax-rs-ri	1.11.2		N/A
com.sun.jersey.ri	jax-rs-ri	1.12		N/A
com.sun.jersey.ri	jax-rs-ri	1.12-b01		N/A
com.sun.jersey.ri	jax-rs-ri	1.13		N/A
com.sun.jersey.ri	jax-rs-ri	1.13-b01		N/A
com.sun.jersey.ri	jax-rs-ri	1.14		N/A
com.sun.jersey.ri	jax-rs-ri	1.15		N/A
com.sun.jersey.ri	jax-rs-ri	1.16		N/A
com.sun.jersey.ri	jax-rs-ri	1.17		N/A
com.sun.jersey.ri	jax-rs-ri	1.17.1		N/A
com.sun.jersey.ri	jax-rs-ri	1.18		N/A
com.sun.jersey.ri	jax-rs-ri	1.18.1		N/A
com.sun.jersey.ri	jax-rs-ri	1.18.2		N/A
com.sun.jersey.ri	jax-rs-ri	1.18.3		N/A
com.sun.jersey.ri	jax-rs-ri	1.18.4		N/A
com.sun.jersey.ri	jax-rs-ri	1.18.5		N/A
com.sun.jersey.ri	jax-rs-ri	1.18.6		N/A
com.sun.jersey.ri	jax-rs-ri	1.19		N/A
com.sun.jersey.ri	jax-rs-ri	1.19.1		N/A
com.sun.jersey.ri	jax-rs-ri	1.19.2		N/A
com.sun.jersey.ri	jax-rs-ri	1.19.3		N/A
com.sun.jersey.ri	jax-rs-ri	1.19.4		N/A
com.sun.jersey.ri	jax-rs-ri	1.2		N/A
com.sun.jersey.ri	jax-rs-ri	1.3		N/A
com.sun.jersey.ri	jax-rs-ri	1.4		N/A
com.sun.jersey.ri	jax-rs-ri	1.4-ea01		N/A
com.sun.jersey.ri	jax-rs-ri	1.4-ea02		N/A
com.sun.jersey.ri	jax-rs-ri	1.4-ea03		N/A
com.sun.jersey.ri	jax-rs-ri	1.4-ea04		N/A
com.sun.jersey.ri	jax-rs-ri	1.4-ea05		N/A
com.sun.jersey.ri	jax-rs-ri	1.4-ea06		N/A
com.sun.jersey.ri	jax-rs-ri	1.5		N/A
com.sun.jersey.ri	jax-rs-ri	1.5-ea01		N/A
com.sun.jersey.ri	jax-rs-ri	1.5-ea02		N/A
com.sun.jersey.ri	jax-rs-ri	1.5-ea03		N/A
com.sun.jersey.ri	jax-rs-ri	1.5-ea04		N/A
com.sun.jersey.ri	jax-rs-ri	1.5-ea05		N/A
com.sun.jersey.ri	jax-rs-ri	1.5-ea06		N/A
com.sun.jersey.ri	jax-rs-ri	1.5-ea07		N/A
com.sun.jersey.ri	jax-rs-ri	1.5-ea08		N/A
com.sun.jersey.ri	jax-rs-ri	1.5-ea09		N/A
com.sun.jersey.ri	jax-rs-ri	1.6		N/A
com.sun.jersey.ri	jax-rs-ri	1.6-ea01		N/A
com.sun.jersey.ri	jax-rs-ri	1.6-ea02		N/A
com.sun.jersey.ri	jax-rs-ri	1.6-ea03		N/A
com.sun.jersey.ri	jax-rs-ri	1.6-ea04		N/A
com.sun.jersey.ri	jax-rs-ri	1.6-ea05		N/A
com.sun.jersey.ri	jax-rs-ri	1.6-ea06		N/A
com.sun.jersey.ri	jax-rs-ri	1.7		N/A
com.sun.jersey.ri	jax-rs-ri	1.7-ea01		N/A
com.sun.jersey.ri	jax-rs-ri	1.7-ea02		N/A
com.sun.jersey.ri	jax-rs-ri	1.7-ea03		N/A
com.sun.jersey.ri	jax-rs-ri	1.7-ea04		N/A
com.sun.jersey.ri	jax-rs-ri	1.7-ea05		N/A
com.sun.jersey.ri	jax-rs-ri	1.7-ea06		N/A
com.sun.jersey.ri	jax-rs-ri	1.7-ea07		N/A
com.sun.jersey.ri	jax-rs-ri	1.8		N/A
com.sun.jersey.ri	jax-rs-ri	1.8-ea01		N/A
com.sun.jersey.ri	jax-rs-ri	1.8-ea02		N/A
com.sun.jersey.ri	jax-rs-ri	1.8-ea03		N/A
com.sun.jersey.ri	jax-rs-ri	1.8-ea04		N/A
com.sun.jersey.ri	jax-rs-ri	1.9		N/A
com.sun.jersey.ri	jax-rs-ri	1.9-ea01		N/A
