ai.asleep.asleepsdk	AsleepSDK	2.0.0		N/A
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180805-f39943d-NIGHTLY		735da9c8a997f707c8afc540d57560d24fb3946d
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180806-a4a611c-NIGHTLY		057b494d125b5e8c3089795078fef9f7529d8359
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180807-84966d2-NIGHTLY		5040d4fba76dde2b2109afdfef3729d8b44d1186
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180808-6c33431-NIGHTLY		e131ee61073fab2eee8180271a0f8f7c13b696d7
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180809-dbc8d80-NIGHTLY		c111aae1034796cd2801705f6833612489c6ff16
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180810-3bf8a16-NIGHTLY		d1106ffd38a431bcff70fe63cf404693167c6a76
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180811-a91d82a-NIGHTLY		622ec125eb7e5ad4d5191da44a0a551c1c0ddd72
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180813-b4670b7-NIGHTLY		6310bbddb87641e71ddf9ca6a289399fc807fe8e
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180814-09a968a-NIGHTLY		25872b76daf7dca7718e65806922a113e9864811
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180815-61cba97-NIGHTLY		889f1009022bb23576e8c0d33f955eadd60c88ec
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180817-e8f137c-NIGHTLY		be3ffb73f06924efeb6bbe2679f7bcf28ade55c0
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180818-20945a2-NIGHTLY		aaf0e8e31e70facd70390b71f1b32308e2bf80bd
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180819-82b84da-NIGHTLY		6ad05a01169e5a92d018d93a8ca266728d649efd
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180820-05e27f3-NIGHTLY		fbc7806215edfd09edaaf7202588c733f33c3383
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180821-9dd92a9-NIGHTLY		1c4bc8d767bb076d8a7a86ed55d8240f9459440f
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180822-33afaa2-NIGHTLY		18cc4ddd8b5d842eab43b69536a39f3df9e806ea
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180824-675b2ac-NIGHTLY		95a999ac4aef1a8003868ed10c0d274f20aa5365
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180826-28ddeac-NIGHTLY		1c8dada9138f4f69e25ef599ff558622db492395
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180828-1d24eaa-NIGHTLY		f1cf3eabca981d484567f60d2ac635f8f6bf1a6b
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180830-bb322b0-NIGHTLY		0889f9e8a7b890bcff255ced0e694d40c4769d16
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180831-fbcd879-NIGHTLY		6fd1132670f86b4e124d63f79da6be1df15efb71
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180902-a31ea22-NIGHTLY		488d35abcd2420f3d1b0567df408c3447e4250dd
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180903-86c4e72-NIGHTLY		d262585bd9ac2b73150fde5471c2a427185ffd1c
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180905-c6687a3-NIGHTLY		99de763034b1674d38a23ea79200e7ba38e0ccb3
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180906-00e396c-NIGHTLY		67e2f8ac23884dc4247295a39fa592091f7ca3c2
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180909-f5a6b74-NIGHTLY		64ccb4dc13ff754b8e7f2997d14775b825122428
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180910-0c88214-NIGHTLY		00c5f9590895b138090225cf0ffb998de6678332
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180912-7dc2226-NIGHTLY		56e503f0f8a3fcedebabd597da585189c0259536
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180914-0a2734b-NIGHTLY		2d1ced76229cb319c067324d0add2e8f93ef0ada
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180918-52a5bdb-NIGHTLY		fb9e192bd361ed3c6dc776b7c7e9cae7674def1c
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180919-e77a47f-NIGHTLY		a26d9c310dc8a1a879d1e2c3f99fdbc7912e9bf2
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180920-9bfaf2b-NIGHTLY		ffe55d4f63b6b3827d6b722c34411bf479c6b9a8
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180921-a0b429b-NIGHTLY		fde1e00bd0984074126863a296c9c08a54bbb534
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180924-a4b60c4-NIGHTLY		dbd7ce5fe65107e26811cebd4e0b02fb8107a25d
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180925-561c06a-NIGHTLY		77b70b75abf4a6532747cc74252b57af772faec9
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180926-5e91f77-NIGHTLY		9e6d400f27076d0ecc106120f60e103a60ff9fc3
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180927-19cdeb4-NIGHTLY		4ca7f5ce4871c0b23d98de8556939c52202c5ba5
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180928-6317000-NIGHTLY		5469c761604361746d76949cc514e44586047e63
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20181002-2b73f9d-NIGHTLY		4ff269ceb23a957f90e3470811c88baf5081ba50
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20181002-fd93b46-NIGHTLY		35a68a1fee41deaff96e13c993b593320c8243b8
codes.quine.labo	recheck-exec_sjs1_2.13	4.2.0		777e95f68efb425c82fe9ed69fbf5bb2bd36de2e
codes.quine.labo	recheck-exec_sjs1_2.13	4.2.1		56b3af1d7ec61f9ac4d2610c269afde491d23156
codes.quine.labo	recheck-exec_sjs1_2.13	4.2.2		5af5a99a8cd49eee8ce8f0281518b9f58e8545e2
com.47deg.xef	xef-filesystem-macosx64	0.0.1-alpha.16		N/A
com.47deg.xef	xef-filesystem-macosx64	0.0.1-alpha.16	metadata	eb4925661944721419ce7821752c735cf1c28f77
com.abavilla	fpi-telco-plugin	1.2.1		05b8ef5eb283174d63aa70521f311b5825497eb5
com.abavilla	fpi-telco-plugin	1.2.2		8b0112c8b8077db9fe45943028b2c16e7e571db2
com.abavilla	fpi-telco-plugin	1.2.3		92624119f4086c6eab8a91efb293472c784b6650
com.abavilla	fpi-telco-plugin	1.3.0		d9c24a6fbaac255785673cd3686cad0e789c9bf9
com.abavilla	fpi-telco-plugin	1.3.1		1ddedb2a4da77689d8771c372fc1d387fb911482
com.abavilla	fpi-telco-plugin	1.3.10		62a070938254245b3d09fef463b4441d33433666
com.abavilla	fpi-telco-plugin	1.3.11		6c4f3891cfc729e50d96d93c606cbd5e4016482c
com.abavilla	fpi-telco-plugin	1.3.12		abce717b50803d154186e5cdb9983ecbf6cfad11
com.abavilla	fpi-telco-plugin	1.3.13		514c6b9e39edd14e5774dd10a28b75dc93eacdc8
com.abavilla	fpi-telco-plugin	1.3.2		40e05904ffff78b35deff6336f74e9145895cabc
com.abavilla	fpi-telco-plugin	1.3.3		6347cde26d74601be8343bc65d1f3943e42633cb
com.abavilla	fpi-telco-plugin	1.3.4		e12e80c98097d774f950334ec8f735fdfa02fcfe
com.abavilla	fpi-telco-plugin	1.3.5		c69dcf67117d92db3e65eb08cecb9dac35d3ca6f
com.abavilla	fpi-telco-plugin	1.3.6		9ad57ac5847f65b84b03a82ab223b9b14dd7e88d
com.abavilla	fpi-telco-plugin	1.3.7		4d339986eadadda86e4e19c502a5d1a014cdecef
com.abavilla	fpi-telco-plugin	1.3.8		be2c138c7f5bcbec0e099f44df25a0cdb77b6b28
com.abavilla	fpi-telco-plugin	1.3.9		b58817890bec41b4de5bfa5be8e9f7bf556a1a1f
com.amlinv	thread-utils	1.0.0		5ce0669b6e44df75fb5d3297149691025e886c25
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	5.9.3		4271d84f49392b238221601722a6787ed2143eeb
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	5.9.5		ff4f7f520c4539ed6cc6d0a32e6fd2a63b1626a0
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	5.9.6		f1cd5b954ea1504fa31f79f59e2b70d9ba301b91
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	5.9.7		64d67e59213b8162f3be28b252d7877e0829ff46
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	5.9.8		bf4ac2626b6aef66424c7fd3625e9b8bee786564
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	5.9.9		58d8611d9c253a27081c90df02fb2bb5eab4eb22
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.0.0		b624ac445ad15faf0705f05b9130f4c3c918319a
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.0.1		017abc74803000796dbd7fc6546851e62f47465f
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.0.2		77e064226734334ddb4f4b3d824ac8ae567e9cc2
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.0.3		811196e6acf41e2f84b53537ed70ad2e108a6659
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.0.5		de8d343a7da704f31ee7ff767520c9d99ac8c115
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.0.6		a9a7f9a88e51a4c575df8ae6e29607d2d6a750a5
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.0.7		5aadfb1313d62a6b25435c1b8652c6940c08dab7
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.0.8		635d21975f0731da3c1b7d103be1d0245a4bf9f6
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.0.9		8bc2d17ca1b7e9e1fe73f58b8c80b6381c1482e0
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.1.0		de5ed74a36582af9abf7a2ac0ae2e8d1f7aa7979
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.1.1		92107583748d1726c07cc7f7798e1b3def8dc968
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.1.2		d28aba09ad2e4c90e683a97c3cdf06e717b623f4
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.1.3		0ea438ca6ac14e7f1d1572f7c699477f7b7ec63c
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.1.5		ee383df15213fbb44dd0ebc6e7e5bd6a2987c4bd
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.1.6		4d6e126ddffe5fe87e586620a397fda2cb21cc52
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.1.7		bbaf3a6df52bc1a0ae3f92b3d35eacca97adb849
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.1.8		6ac2c2abf5bb4596804c27b7399f763be4dd0884
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.2.0		23d8f3b39e3cbe2825b8cfb5303746c130653444
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.2.1		a2584609845fa739c425f4092528bb62ec5a2a4b
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.2.2		72604c9cbf996cf7143e1ed030fbecc511708038
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.2.3		023c1af241753624a4c89ff7d9076eb901bd666d
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.2.5		e4766ff69763e3b1a36ef8060da372371ee68e0c
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.2.6		6fc4c869f44a49eb8babefd9bcc1bffd2f8a7d8f
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.2.7		831fb39a357e918068e67b2582421e87b6aac1ec
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.2.8		ea81ae9ac9bf3e3d9a98aa05fff6e0f915fe7c75
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.2.9		cadccb02cb885eeb76d4fb81ad8402b25ba84bd7
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.3.0		fd216bd04460c0a24faa233364952e51e94e459d
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.3.1		34547978590bfbe4d2eb45b89936f341ea26e522
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.3.2		22c5754129aaac9a3d6e4b84310fdd02ca2c7541
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.3.3		f282a4baa47cb279540c200eaf51fbb7aca83f5f
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.3.5		da020f5f5d3adb1a66799bc9d61c788421c90f32
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.3.6		0d700a17154184206c5c43d6534c9cb98bb19c78
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.3.7		68e987f4781b1e83375c2aa282ee72100d4a88dd
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.3.8		8ebca927eda614f4f1b771052d5a146727dd60fc
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.3.9		00786c4b9ddfc643d00d2a7bd32c242da9ed8ec1
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.5.0		052813549ce1730c2097c45862da6f944298380c
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.5.1		3991c0207b2c73b8120fb3ea498626f7413ac80b
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.5.2		f944733922081b6d4030ec63bff9bb645efe1400
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.5.3		a2883e25a598c3babcd0f2589b45c9b669d61e3f
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.5.5		18b273908124fc8c8ee6ec089f690f437eb24d12
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.5.6		c6a2db6df9a68cb6cae7354c9da0d896f47578d5
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.5.7		6095bbedbbef15c7a5e75d52a143605fa8816223
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.5.8		488863190502a27b1d70d39a2d36864f5a603f9a
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.5.9		e4ef2828bbcf99fc3f56d2feac22af0799b4c0da
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.6.0		6aad26ae4daea11b0413c316009122d2306365a9
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.7.0		aa5d83494dca9134c4571b86b37c1f2d61af0256
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.7.1		aaad2679e248aac788494b1d632f3d05175e3237
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.7.2		50165ff4ec42f5de29f350a75cb3be76e055028c
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.7.3		68c8d06cec0e159a69234ee325c33d260c37b40e
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.7.5		b58504bb9c525e994ec3453725253554eddd4cb3
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.7.6		b8c56c4980dc157d730589f5346450cad7bba113
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.7.7		9e1c412389079d06676f63c5774fe4212557e505
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.7.8		c1128899bd4db4b51aadc1e30e038ba5b6a31054
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.7.9		cde40e3ed5864e4718b32d8a459aa6cd1662b51d
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.8.0		33e5ed12b3d8564d91a243fdfad207cc5a1f12d8
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.8.1		bd27be9677cab3f01a3d88cbd867bcde62da378b
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.8.2		8730f35aa0eea1f7f0e189513244e11e145f2e5f
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.8.3		620f72039755bbcadc0ceaa16576c4978e645808
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.8.5		72d2093c9c0892c8ee158b8c4abce286b428851e
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.8.6		711a8f3ebacf11e545aba5965989f41d52c301af
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.8.7		ace18e0382425c3ac73a6774aacd1cd9ad986112
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.8.8		279476819c97c0129b0f29b5fba46b3b6161ff15
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.8.9		d666c3be7d097078d938a678198967eb95fb04e2
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.9.0		4ae3e3dc1add2c050504e6dc96765348c050f9bc
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.9.1		bfd4538cfb040a94100ba9795a7dd11588031059
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.9.2		5b981d89856de7296d72ffbd563cb992b126b609
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.9.3		383c17075bebca213dd7325b002aba379f3f5ded
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.9.5		6b6b7a983c6b1c9ac86d25daf76644fbc3364ec1
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.9.6		98e2192ca77298f5fb433a8e00eeb4e36c06cd27
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.9.7		7e07f0c4432df240ace0c62a0ec5cec9bd064d03
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.9.8		1dca70969c79617fc087b1e9d42db7ade9a8d0e1
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	6.9.9		f172f5cf1916a3af7ab61f0ee7361e6da43e0ba1
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.0.0		9a1bbe3046f90060e9ca3f6133c436b94ed15394
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.0.1		c167cd6bc1a08502e53a2ed3a744ca8522e381a7
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.0.2		73997b7900c59544d3a6cf60470009a4d153f4d6
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.0.3		a402c80947107713b09e3ab006900e826f8311a6
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.0.5		7a71aa842b558be3f6496ed91dec74585d7883d4
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.0.6		95e579358a34a965c044285115e3d5bc9c6cf67a
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.0.7		44ae7adc92fbed3b03a3b81e9624fe9cc12ec0c0
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.0.8		1325ba0a4fc2a3fdfb632f4612bc83c9bedf323a
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.0.9		e3c069ec70d533c337eff2cc5d8297b632ce1506
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.1.0		7f047b0444ac087f5bbeecb917a9b36175788bd1
com.bbossgroups.plugins	bboss-elasticsearch-rest-kafka1x	7.1.1		b6f8a8b006d53d679d84c22305d89a0a3510e387
com.darylteo	rxjava-promises-core	1.1.1		774961fa1c9a28efe663cf25555335b8da09973a
com.darylteo	rxjava-promises-core	1.1.2		7859dbc8577f6e6e08d19a5c35f848520ba8b70d
com.darylteo	rxjava-promises-core	1.2.0		9030f2bf75688298b354b86d5a00e092bfd57d13
com.darylteo	rxjava-promises-core	1.2.1		5e744beb0fcff723f1d899f588c10e06d56f2b26
com.ebay.jsoncoder	JSONCoder	0.1.0		3253cb2c9536a81598613025781259bcfb779325
com.ebay.jsoncoder	JSONCoder	0.1.1		1173078ca65163d640e45b3d73d3aea232a06ed8
com.faendir.acra	acra-toast	5.0.0-alpha10		N/A
com.faendir.acra	acra-toast	5.0.0-alpha11		N/A
com.faendir.acra	acra-toast	5.0.0-alpha12		N/A
com.faendir.acra	acra-toast	5.0.0-alpha13		N/A
com.faendir.acra	acra-toast	5.0.0-alpha14		N/A
com.faendir.acra	acra-toast	5.0.0-alpha4		N/A
com.faendir.acra	acra-toast	5.0.0-alpha5		N/A
com.faendir.acra	acra-toast	5.0.0-alpha6		N/A
com.faendir.acra	acra-toast	5.0.0-alpha7		N/A
com.faendir.acra	acra-toast	5.0.0-rc1		N/A
com.faendir.acra	acra-toast	5.0.0-rc2		N/A
com.faendir.asl	processor	1.0		31bb6485a739ad5ce940c2bf77923f31a960483f
com.faendir.asl	processor	1.0.1		258f2db8ddfa4afb90ffa4a4a609b51b6813817e
com.gitee.sherlockholmnes	goge-core	0.1.2		06728aefa02febfc09a653f26d2085a18cbb9e2b
com.gitee.sherlockholmnes	goge-core	0.1.3		5fa48b775f79e1b1ac8510fdc8359497e3ef2e28
com.gitee.sherlockholmnes	goge-core	0.1.4		9df46f4cd2f21659eaa20b7becde6ff02bd68daf
com.gitee.sherlockholmnes	goge-core	0.1.5		386756ef19e0cdfa8cea8c9f78952c1f25b3f90f
com.gitee.sherlockholmnes	goge-core	2.0		2ec6e01fe1e19868de928b1fa90fbd38a245cbb0
com.github.mictaege	doozer	1.0		2fe3da462cc0b008bd28bd1efcb53a92e5aac7f4
com.github.mictaege	doozer	1.1		deca70e961da6643cdcedecae92193898f6dae2b
com.github.mictaege	doozer	1.2		8f64529ff663b26705154f37b302e61347dabef6
com.github.mictaege	doozer	1.3		da2a526cd8403701fc39cb28dc9329f8589fb17f
com.github.mictaege	doozer	1.4		aea022c879f38a9758b36e4e45e1c05610b70db4
com.github.mictaege	doozer	1.5		cd60c1a45fac225793c2733723898cf021667d6c
com.github.rvesse	airline-help	2.1.0		N/A
com.github.rvesse	airline-help	2.1.1		N/A
com.github.rvesse	airline-help	2.2.0		N/A
com.github.rvesse	airline-help	2.3.0		N/A
com.github.rvesse	airline-help	2.4.0		N/A
com.github.rvesse	airline-help	2.5.0		N/A
com.github.rvesse	airline-help	2.6.0		N/A
com.github.rvesse	airline-help	2.7.0		N/A
com.github.rvesse	airline-help	2.7.1		N/A
com.github.rvesse	airline-help	2.7.2		N/A
com.github.rvesse	airline-help	2.8.0		N/A
com.github.rvesse	airline-help	2.8.1		N/A
com.github.rvesse	airline-help	2.8.2		N/A
com.github.rvesse	airline-help	2.8.3		N/A
com.github.rvesse	airline-help	2.8.4		N/A
com.github.rvesse	airline-help	2.8.5		N/A
com.github.rvesse	airline-help	2.9.0		N/A
com.github.rvesse	airline-help	3.0.0		N/A
com.github.ryarnyah	micronaut-requery	0.0.1		3aa8908cc88132b963aa168eb1fbc96004f5f27c
com.github.scalaprops	scalaprops-scalaz_native0.5_2.12	0.9.1		a12af37ff303e4bd379f9d0ce34f4082265f1dfd
com.google.api-client	google-api-client-protobuf	1.16.0-rc		905d580d12c7bd5b68b575294d41fb965cbfd140
com.google.api-client	google-api-client-protobuf	1.17.0-rc		b055789e0ca0b624e67479dfdb341600af7fa2d2
com.google.api-client	google-api-client-protobuf	1.18.0-rc		960e2115217edbf1621682eac0abc0097d0619d6
com.google.api-client	google-api-client-protobuf	1.19.0		1957a78c0725117bba976a03f3f0dcca18c5ba12
com.google.api-client	google-api-client-protobuf	1.19.1		e43809b4b9619c837dacb19f843ef4499745c964
com.google.api-client	google-api-client-protobuf	1.20.0		bb1f837da32859ac10b9917889cf3dc225b51842
com.google.api-client	google-api-client-protobuf	1.21.0		000ffd8c69b376bf7c8ae741c24cab8f61fc22b8
com.google.api-client	google-api-client-protobuf	1.22.0		6dd23cffe2f04cf0b224e6072763ef15f5634a9e
com.google.api-client	google-api-client-protobuf	1.23.0		9257978ae67770e908417c76d17fa50baa222721
com.google.api-client	google-api-client-protobuf	1.23.1		70d6414746b7802ab581ff326eef3b23d682e84f
com.google.api-client	google-api-client-protobuf	1.24.1		b32088e5ae46252217fd93bd1ca04e6cf62bacb6
com.google.api-client	google-api-client-protobuf	1.24.2		a7e79fb594a307b4b5f0a0df455b7c677b6e06f5
com.google.api-client	google-api-client-protobuf	1.25.0		a56ea686b04dc55f916d1eed6de6d5ee48a80bf7
com.google.api-client	google-api-client-protobuf	1.25.1		613525ca56cbdf7c392b232378e237795975248a
com.google.api-client	google-api-client-protobuf	1.26.0		8d973b4a8f95733b0a87aedbfadd9777da9e3256
com.google.api-client	google-api-client-protobuf	1.26.1		9657d00b8477f02a46f3dc8c1abc018f464916bd
com.google.api-client	google-api-client-protobuf	1.27.0		f5e241740431b63a707894dbd16161f8555eea95
