ba.sake	sbt-build-extract-core_2.13	0.0.1		dc786ca8a51fd3aab071c7feb22643b08b19660e
com.day.crx	crx-eventlogger	2.3.28		cc2fadeab34700e4614ed22d3a83329472950d8e
com.day.crx	crx-eventlogger	2.3.42		78b93a4f091f55f17f38bf0d0373800f5f398773
com.day.crx	crx-eventlogger	2.3.44		6ec73fc4c60195381aa90020ee25b1095405751b
com.day.crx	crx-eventlogger	2.3.45		c9702d14614cb5ced1ee07bee5367720c96d0cba
com.day.crx	crx-eventlogger	2.4.30		910941f047e63245a1495addfe48dfcdc7a47aa9
com.deeplyinc.listen.sdk	listen	1.0.0		N/A
com.deeplyinc.listen.sdk	listen	1.0.1		N/A
com.deeplyinc.listen.sdk	listen	1.0.10		N/A
com.deeplyinc.listen.sdk	listen	1.0.2		N/A
com.deeplyinc.listen.sdk	listen	1.0.3		N/A
com.deeplyinc.listen.sdk	listen	1.0.4		N/A
com.deeplyinc.listen.sdk	listen	1.0.5		N/A
com.deeplyinc.listen.sdk	listen	1.0.6		N/A
com.deeplyinc.listen.sdk	listen	1.0.7		N/A
com.deeplyinc.listen.sdk	listen	1.0.8		N/A
com.deeplyinc.listen.sdk	listen	1.0.9		N/A
com.feiniaojin.grh	global-result-handler	1.0		N/A
com.fimtra	solacechannel	1.0.0		b20ac2613c9139463e0de1178cc821a22453372b
com.github.android-password-store.android-application	com.github.android-password-store.android-application.gradle.plugin	0.0.2		N/A
com.github.j5ik2o	reactive-memcached-test_2.12	1.0.4		9e3b0eb101784d958ce72c8032f2a6d030be074c
com.github.j5ik2o	reactive-memcached-test_2.12	1.0.5		83a5b901575ebfaa33ab56d5e633b56d842a68db
com.github.j5ik2o	reactive-memcached-test_2.12	1.0.6		f5768afb5500b68655cb55de7ad80ba3d87d6745
com.github.ljtfreitas	java-restify-http-message	2.0.0		7e2200ffb6e60e6f2a99a759333085294c80c500
com.github.ljtfreitas	java-restify-http-message	2.1.0		78405b9dc9cb53b94911eef7021f2e0d57b4b1f2
com.github.spockz	async-converters_2.10	0.0.2		9683e1ae75cab0e1ff2c70d2d7440b796a2f5298
com.github.spockz	async-converters_2.10	0.0.3		905a12f8b93d10a26c22bc61f8925a35afc7ed67
com.github.tharwaninitin	cron4zio_3	0.1.0		1acc176d6c6702d988fe44a944ba86a13b1f3f8e
com.github.tharwaninitin	cron4zio_3	0.2.0		fa6af98818d2852dacfdd0799082ca52be93ec90
com.github.tharwaninitin	cron4zio_3	0.2.1		48cfa47b6c1c2217bb34fcd37f857c1359c62eaa
com.github.tharwaninitin	cron4zio_3	1.0.0		d10f1994a68387baa660480a7874b8a539837452
com.github.yanghyu	gifu-cloud-dependencies	1.0.0-RELEASE		N/A
com.github.yuyenews	mars-mybatis	2.1.0		5ee5d53b1dd904448efcb3fc8eb21f302d0a65bf
com.github.yuyenews	mars-mybatis	2.1.1		0dc6da150188035085855e0a2c3b296e91280c67
com.github.yuyenews	mars-mybatis	2.1.2		3ba50a028d4914eff1b6bde46506be403350069b
com.github.yuyenews	mars-mybatis	2.1.3		ff9c297150b10b4b2ce1b2a35194cdf0595744c6
com.github.yuyenews	mars-mybatis	2.1.5		b6c9a060a407b32d06322f5d6c52ed2cac1d53a1
com.github.yuyenews	mars-mybatis	2.1.6		4bd0d2d301a0a770171a2f700a52e50436ed9074
com.github.yuyenews	mars-mybatis	2.1.7		3a8b720c81c92ef278c97399629d388f2a538b61
com.github.yuyenews	mars-mybatis	2.1.7-hotfix		7d63ffc1919679b3f1ee30a60b93401306fbdb8d
com.github.yuyenews	mars-mybatis	2.2.0		38e69abc027a52bf4bcf2cc2187dcc3d991b4843
com.github.yuyenews	mars-mybatis	2.2.1		8cfd9c8717436bfffee9057d5776d16813bf8ad6
com.github.yuyenews	mars-mybatis	2.2.2		1a5dde7d3f093b336f430a8ee02724532e120f70
com.github.yuyenews	mars-mybatis	2.2.3		5c4d4891329f54887f1318fbb5fb3ca845c5c556
com.github.yuyenews	mars-mybatis	3.0.0		9d948e2fd40b2eb3e9e758a72d9744144614072d
com.github.yuyenews	mars-mybatis	3.0.1		5d6b152de9307efc3bbe940a293c23ce515ccea7
com.github.yuyenews	mars-mybatis	3.0.2		e38ac7602e60ebf7e71445264a75e3b8417afaff
com.github.yuyenews	mars-mybatis	3.0.3		666a8b484fe24020f9cdf3420b3cc39bf43f3149
com.intel.analytics.zoo	zoo-core-dist-all	0.10.0		8d5f313c8a4e1184d2da087e9bdf47f3b85013cd
com.intel.analytics.zoo	zoo-core-dist-all	0.11.0		689f770ece9b529c4378134fb2dc5ff1d8c684e2
com.intel.analytics.zoo	zoo-core-dist-all	0.4.0		101cf8cf0f2de91134b1ceb4ea670c48d74d4cfa
com.intel.analytics.zoo	zoo-core-dist-all	0.5.0		25f99ad64163d5ce722916e39caf0ac821530ff5
com.intel.analytics.zoo	zoo-core-dist-all	0.5.1		fe976f28992122d691b0efe23f38d34fe7629bdf
com.intel.analytics.zoo	zoo-core-dist-all	0.6.0		7523549281c2b3e2b8d0358c614e69acf937a48b
com.intel.analytics.zoo	zoo-core-dist-all	0.7.0		05f2d63205044bfc54557ceb25ac55900248a368
com.intel.analytics.zoo	zoo-core-dist-all	0.8.0		1a9d89176c58621f27f05155c17ca87997383142
com.intel.analytics.zoo	zoo-core-dist-all	0.8.1		4b34d08fb184a4b32ac04f302b4284b8b5b6b40a
com.intel.analytics.zoo	zoo-core-dist-all	0.9.0		2fee6b5544a272e028647c3dd4676c54d12a9962
com.intel.analytics.zoo	zoo-core-dist-all	0.9.1		10fe943c7a6a6591e88343ddb9d0e20259690bc4
com.intel.analytics.zoo	zoo-core-dist-all	2.0.0		61142a2116f3879c2c648d7a511ac4d45ebb911a
com.intel.analytics.zoo	zoo-core-dist-all	2.1.0		32af812bebda7c14692b6d57c88f4ae0f589fc95
com.intel.analytics.zoo	zoo-core-dist-all	2.2.0		4c30d6f2a42af90d400ee96a11a4bcb085d55905
com.intel.analytics.zoo	zoo-core-dist-all	2.3.0		862c00656c8af1474744d0f73044ae8c4c70380e
com.intentmedia	pig-annotations	0.0.2		5e558b3c9045a440d3af799e30c63f0e3a6529c2
com.machinezoo.noexception	noexception	0.1.0		edcd2b5ed8637f3fa514b0ca3350b4ca6456633b
com.machinezoo.noexception	noexception	0.2.0		133c083ce0f1b176d32a4526787f16d3ecdc3aa6
com.machinezoo.noexception	noexception	0.3.0		6d8dfcbedd33113dab63c027a10d986442f96819
com.machinezoo.noexception	noexception	0.4.0		a3b16e881702a5e0518ff34e672ccefe63d1b2fa
com.machinezoo.noexception	noexception	1.0.0		09c64ba250cef0ba60fe1f652d43356a1c9b849a
com.machinezoo.noexception	noexception	1.1.0		aa36dec6da06585ee666ce4fa2ff9788b0e8a4a7
com.machinezoo.noexception	noexception	1.2.0		ee99a0286f7f32233de8158846ecaca7b5bdba8d
com.machinezoo.noexception	noexception	1.3.0		ce4a35f39c47897892ef6babf6e32279f97b311d
com.machinezoo.noexception	noexception	1.3.2		22e2dfc39442b88fa8be18465a24935bff254c91
com.machinezoo.noexception	noexception	1.3.4		b6ee08e54190e05be82a0605c2911cad4acb6542
com.machinezoo.noexception	noexception	1.4.4		9b5bd00efc3cb37a76105b2a8fe60267a194e3fa
com.machinezoo.noexception	noexception	1.5.0		0a6fea8e8458016776ee0f6269733dd4d6eedb20
com.machinezoo.noexception	noexception	1.5.1		a651ee8ae27c16df162577bc45369c9bdd3637d8
com.machinezoo.noexception	noexception	1.6.1		249d71c3b89e184441ab03e00c4cb4f1f12272fd
com.machinezoo.noexception	noexception	1.6.2		870fdaf76bc5f07e5daf699f6cbc5996a21ff938
com.machinezoo.noexception	noexception	1.7.0		d542f8df0effe9391b23e10fda10f347b00bf0d2
com.machinezoo.noexception	noexception	1.7.1		b65330c98e38a1f915fa54a6e5eca496505e3f0a
com.machinezoo.noexception	noexception	1.8.0		93509991ea7867dfcf3b2b3a761bfd7faa5cbe82
com.machinezoo.noexception	noexception	1.9.0		6fdec9dc9b302aabc991d4a1ce241623c0317c7e
com.machinezoo.noexception	noexception	1.9.1		ff1bd6a895b36189a93baaa22e530fdb00314365
com.mcsherrylabs	sss-ancillary_2.13	1.25		cb5608d91d18390823c6bb6533fb21e9cd1c4cae
com.mcsherrylabs	sss-ancillary_2.13	1.26		a8899f333d73a4d29961f5ff42583cba60c21a04
com.mcsherrylabs	sss-ancillary_2.13	1.27		ac1b101592f5f62f21eaac16320511b55cd5eaa0
com.mcsherrylabs	sss-ancillary_2.13	1.28		79fa35dc9626feeff8a146340e693df78b4b2526
com.mcsherrylabs	sss-ancillary_2.13	1.29		e251ae66e3610aaa9c232065ac4e7b95220e3a44
com.rapiddweller	rd-lib-format	1.0.16+jdk-8		40a8833393cb845780e02ea13fcb0c105acbd5aa
com.rapiddweller	rd-lib-format	1.1.0-jdk-11		8e5cf06244d864103b748791c3406ac33244d16b
com.rapiddweller	rd-lib-format	1.1.1-jdk-11		4c0453ba89c4e3259c0ec1f83470248d38c8cd0c
com.rapiddweller	rd-lib-format	1.1.2-jdk-11		55e654d0489e4d25e5154b10286a7cd701c498a8
com.rapiddweller	rd-lib-format	1.1.3-jdk-11		7ad625833ea0c72920df529eacea32790a338dc7
com.rapiddweller	rd-lib-format	1.1.4-jdk-11		d16eb29810d503cdeaa2264de037fceb5df6671d
com.rapiddweller	rd-lib-format	1.1.5-jdk-11		36b2d22b90f221814f19f353467de6b38b3ed842
com.rapiddweller	rd-lib-format	1.1.6-jdk-11		c4a2e6a9ec54ce8d30bf58c65a28b0473d6ea5c9
com.rapiddweller	rd-lib-format	1.1.7-jdk-11		40af0b1fa240b1bf1efa3d5a1f09ade53c2fffa0
com.sshtools	maverick-synergy-client-tests	3.1.0		4b52de7283b24c84513dccffeeac61100cc15c96
com.sshtools	maverick-synergy-client-tests	3.1.1		f7d278ff2bedb80a839bcd1417638c95eeab6679
com.sshtools	maverick-synergy-client-tests	3.1.2		3f24964e66ba4fa0bf174c13ace1ca31e59e5348
com.twitter	algebird-test_2.11	0.10.0		bf12cb97b88f727396cd9f7280ec084016f205c6
com.twitter	algebird-test_2.11	0.10.1		3b0c97cb52a0f88dccfe0cc343af2fe95b792b03
com.twitter	algebird-test_2.11	0.10.2		ce42b227c2d4f2394e2ba5c2e3320629f052d797
com.twitter	algebird-test_2.11	0.11.0		4b761cf263c39bc7662a8fdf6769ef5df8de6873
com.twitter	algebird-test_2.11	0.12.0		a091f6ce55cdd0ea319dd76de432319c827a7aa7
com.twitter	algebird-test_2.11	0.12.1		f4479ba4bbfc1adf35ffbc32e748b5ebba5618bb
com.twitter	algebird-test_2.11	0.12.2		746022737f3355480ca71746ea963f5c63b6379b
com.twitter	algebird-test_2.11	0.12.3		eae16304fca4e074f95e7613fdf009e137d083d7
com.twitter	algebird-test_2.11	0.12.4		e655cb27b049578b69a1ec1cf33fcf7be6160852
com.twitter	algebird-test_2.11	0.13.0		103192a07c8b7a857c059517afcbefcd38a25cca
com.twitter	algebird-test_2.11	0.13.1		dc2f49d12886f5774ddd9fc48d736134cc4be98f
com.twitter	algebird-test_2.11	0.13.10		832a8e69e37b0afd4946ffda0598b58f082cb8e0
com.twitter	algebird-test_2.11	0.13.2		67b2d99f7bbb4ded03b0094602aa6cbc5d3b6f8e
com.twitter	algebird-test_2.11	0.13.3		f758427a726533e96c62c37c1216db8f1db0194c
com.twitter	algebird-test_2.11	0.13.4		3db9715a9b848c992604f299d3196c8b6ddd6bb9
com.twitter	algebird-test_2.11	0.13.5		0e4b1659aa529c8d04c03dadd90a28990ed0d4b5
com.twitter	algebird-test_2.11	0.13.6		f66395904e93039b383bd1bed0b240df69a10fa8
com.twitter	algebird-test_2.11	0.13.7		4cc205ad7d1117c2fdd5b7df4185d105794704db
com.twitter	algebird-test_2.11	0.13.8		99a448e17214a138e296ad502ef0d0260bfb6fad
com.twitter	algebird-test_2.11	0.13.8-M1		91d46ad96157ecc238554752e1b458e68c05ae92
com.twitter	algebird-test_2.11	0.13.9		c02f140d1081eed8c56f9939a6854ee839848438
com.twitter	algebird-test_2.11	0.8.0		973905388e9db422e54a08182be68dcc5ecf9897
com.twitter	algebird-test_2.11	0.8.1		a84f62b9c3b9920ef046fbc93566b76ef8d0ef17
com.twitter	algebird-test_2.11	0.8.2		20ae3a22a1e2c5bbf1f65e5d43f08102607655e4
com.twitter	algebird-test_2.11	0.9.0		87b3e066675dfbdd1bd2b0b5d851e2af47368db4
com.twitter	algebird-util_2.9.3	0.2.0		369ab0454bdcac7869843ddd3315d5e2e061eaca
com.twitter	algebird-util_2.9.3	0.3.0		991909e1532755622f9290c3e3523e8a8dd1ce30
com.twitter	algebird-util_2.9.3	0.3.1		0edb15cce0db8ee7bab9773d213628fbcc1625e8
com.twitter	algebird-util_2.9.3	0.4.0		94b69ee09cf42be7583faccbe3c74e55e13381f7
com.twitter	algebird-util_2.9.3	0.5.0		27277b606a931e14cae9a51cb3202c50f846b44a
com.twitter	algebird-util_2.9.3	0.5.0rc4		caead842a7b487b1471e97a0d0ce7fd7d91a9043
com.twitter	algebird-util_2.9.3	0.6.0		8ff2700f9f729864fff023fb0e1556c97b597867
com.twitter	algebird-util_2.9.3	0.7.0		12fb3d06efc1d7f0fff0c55424c654e16c60fb15
com.twitter	algebird-util_2.9.3	0.7.1		06754fb7f0de9fd629cb5e71f2b65607ef3ec7ed
com.twitter	algebird-util_2.9.3	0.7.2		38b5b1a0e74d4663bb3a509439b529cb4c8d4167
com.wuyushuo	spring-malloc	1.9.1		464b79fe4ebb05fd926b924be025e039bba3a8e9
com.wuyushuo	spring-malloc	1.9.2		ea22d9b12804b598c2dd9faa62b1723ca0da2667
com.wuyushuo	spring-malloc	1.9.3		a4708e25b1fa5d68ed8f201d6f6dee0e75c8a39c
com.wuyushuo	spring-malloc	1.9.4		4d25d8971ea8070bb75e461d9566b4a105b64c67
com.wuyushuo	spring-malloc	1.9.5		5a8057c4d25b625c53ee7675c8d06cb5f458442c
com.wuyushuo	spring-malloc	1.9.7		311673f92dac56f1aedefeeb674cba4841c516f5
com.wuyushuo	spring-malloc	1.9.8		b62f0addeaa0048cc6b37a05ba0ad456f91be991
com.wuyushuo	spring-malloc	1.9.9		e5a047b44fdd45007ba2c8729c57cfb1d062526a
com.wuyushuo	spring-malloc	2.0.0		478557f870db3bbb45bc300244a33e388ec7ea77
com.zegreatrob.testmints	action-annotation-mingwx64	10.0.16		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.0.17		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.0.18		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.0.19		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.0.20		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.0		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.1		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.10		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.11		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.12		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.13		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.14		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.15		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.16		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.17		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.2		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.3		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.4		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.5		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.6		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.7		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.8		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.1.9		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.0		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.1		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.10		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.11		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.12		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.13		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.14		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.15		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.16		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.17		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.18		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.2		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.3		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.4		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.5		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.6		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.7		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.8		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.2.9		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.0		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.1		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.10		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.11		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.12		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.13		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.14		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.15		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.16		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.17		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.18		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.19		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.2		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.20		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.21		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.22		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.24		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.25		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.26		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.27		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.3		N/A
com.zegreatrob.testmints	action-annotation-mingwx64	10.3.4		N/A
