br.com.anteros.social	anteros-social-android-facebook	1.0.1		N/A
co.touchlab	kermit-simple	2.0.1		48e7dd2a9253caca4563601eb55e110167e6674f
co.touchlab	kermit-simple	2.0.2		06af9ccf2fc06632dc866ba11bedab58731fbeda
co.touchlab	kermit-simple	2.0.3		4c576e807d439c0d6a9fbb89699bed150a88e1dd
co.touchlab	kermit-simple	2.0.4		4c576e807d439c0d6a9fbb89699bed150a88e1dd
co.touchlab	kermit-simple	2.0.5		a435d7163613e0042a1cba99913c69d7da0719d5
com.aliyun	aliyun-java-sdk-savingplan	1.1.1		130cbe0d69cb9d6d7695a015871cd6b542682879
com.aliyun	aliyun-java-sdk-savingplan	1.1.2		e0815c590aa3f0b5f43be7668359ebe936b55294
com.armanbilge	epollcat_native0.4_2.12	0.0-3c7bdac		92e74fd49acabf2a6957348fa91fe1b3cc551f39
com.armanbilge	epollcat_native0.4_2.12	0.0-70bf67b		660d204fb934c6e13b88864a733cffce221ab6da
com.armanbilge	epollcat_native0.4_2.12	0.0-755e1f2		b86cae5ef71eb207a6298b5d9b110141e073557c
com.armanbilge	epollcat_native0.4_2.12	0.0-ab1026e		9dbecec753df53631616602adb7db7c8aa7159ea
com.armanbilge	epollcat_native0.4_2.12	0.0-e7dd9a7		5e57d89118c64f4f95889d7ba26f87f17cb0e815
com.armanbilge	epollcat_native0.4_2.12	0.1.0		744603ad625d802a230ba1d15489554166fb0c2b
com.armanbilge	epollcat_native0.4_2.12	0.1.1		65a03be2ebe5266e65f1d0141eecb1e9c26557fb
com.armanbilge	epollcat_native0.4_2.12	0.1.2		c933c0bf52705b1cbcd7063dc224dfdf31afa368
com.armanbilge	epollcat_native0.4_2.12	0.1.3		54a1602f3e78f2094d4495adacad36f140f67c24
com.armanbilge	epollcat_native0.4_2.12	0.1.4		375505b2aa2063c20195ee3aafc98928f820decb
com.armanbilge	epollcat_native0.4_2.12	0.1.5		45794fb30180f1fc5d5127855e18c57989f18eec
com.armanbilge	epollcat_native0.4_2.12	0.1.6		40a575cadb81b6c9e8d71affa1b301a5f7c46ad6
com.armanbilge	epollcat_native0.4_2.12	0.1.7		6448c1d2c474ef087b292b18e46bb7c6b222ada7
com.baffalotech	baffalotech-eureka-server	1.0.2		4bb5059ff61638ca1689c180773f4271951b87c7
com.baffalotech	baffalotech-eureka-server	1.0.5		55993ad08a30ee6b4cb1be911aae47b856b35d82
com.codacy	foundation-logging_2.12	10.0.0_play_2.6		a1e9209e77ef4a138fc74ba1736281d074507c6f
com.codacy	foundation-logging_2.12	10.0.0_play_2.7		e8a13584758fe5837fb0a5a5ead635116f3f7e90
com.codacy	foundation-logging_2.12	10.0.1_play_2.6		55e51df6c1b8b07969172db3de59c72ebd393e3e
com.codacy	foundation-logging_2.12	10.0.1_play_2.7		65b7c9d129774d5b0a899ca2488d0bc0273424e6
com.codacy	foundation-logging_2.12	10.0.2_play_2.6		a0ff85501f867f3ac0d67bcc62adde349bc57872
com.codacy	foundation-logging_2.12	10.0.2_play_2.7		8157d115d66e3dbf2988f75924201bb876a8ed51
com.codacy	foundation-logging_2.12	10.1.0_play_2.6		3de0633bd8437088642426fd06a50e2177f7dbc0
com.codacy	foundation-logging_2.12	10.1.0_play_2.7		116e490cde6ac99cc3ca194b9d5cf4a0cfa351ca
com.codacy	foundation-logging_2.12	10.2.0_play_2.6		11872b991a1c523450045d1458dd7a68c11f8b14
com.codacy	foundation-logging_2.12	10.2.0_play_2.7		590b73576c7743b2b52589682b0ec8f5718a0fd3
com.codacy	foundation-logging_2.12	10.2.1_play_2.6		0010ad57b4c91aaad39582318e2865d55ffad13f
com.codacy	foundation-logging_2.12	10.2.1_play_2.7		f6b24493b1d0815395a1010ed5511ede9a4e36f6
com.codacy	foundation-logging_2.12	10.3.0_play_2.6		24783b28e42264faf3e447b734572a94ccf07c78
com.codacy	foundation-logging_2.12	10.3.0_play_2.7		0f2ded427b6a82e361033c47fedec4d43d2e4636
com.codacy	foundation-logging_2.12	10.4.0_play_2.6		d7b43b722f6d2788816feaf91388b2ba97718e53
com.codacy	foundation-logging_2.12	10.4.0_play_2.7		402ad7e59f177389e7bfa9bb028767cce17d904e
com.codacy	foundation-logging_2.12	10.5.0_play_2.6		7f6be68b950456167e2c58ae8ca6d2ae9d5b4b39
com.codacy	foundation-logging_2.12	10.5.0_play_2.7		1aa6114609061ddf2403682caba9522cca818582
com.codacy	foundation-logging_2.12	10.6.0_play_2.6		9cf89c8894878cbdc613ff3411480ab46ae535e2
com.codacy	foundation-logging_2.12	10.6.0_play_2.7		7ccaa5dc4b3da08daabda7067973ab9006a6dc7a
com.codacy	foundation-logging_2.12	10.7.0_play_2.6		f53a2991989026ec9ee1cc83b1737da9a20153f9
com.codacy	foundation-logging_2.12	10.7.0_play_2.7		a272f2a24622d62f78690b6fb5bd55966efc2b71
com.codacy	foundation-logging_2.12	11.0.0_play_2.6		2fe4a0d0bb964c5e30162863fc90b77064431526
com.codacy	foundation-logging_2.12	11.0.0_play_2.7		e0b3f67052f68196ff983e3ef5b70631504d3bc2
com.codacy	foundation-logging_2.12	11.0.1_play_2.6		cbe6feae20d9aad526233014ad6ef306a23114ca
com.codacy	foundation-logging_2.12	11.0.1_play_2.7		53edd1edcb28388155eb2d00719e85614b95ddbe
com.codacy	foundation-logging_2.12	11.1.0-scala213supporttest.2.bca0241_play_2.6		e22e6208ec4748ed522c9c9f3707f0589018a83e
com.codacy	foundation-logging_2.12	11.1.0-scala213supporttest.2.bca0241_play_2.7		b50e1d8375f1265264b3d12421a85c7d6352b938
com.codacy	foundation-logging_2.12	12.0.0_play_2.6		70c28a6bdfd008e16f799e481350227073819076
com.codacy	foundation-logging_2.12	12.0.0_play_2.7		57fbed1428024c6e7f5d04a5fa2217a944d5a8fc
com.codacy	foundation-logging_2.12	13.0.0_play_2.6		fe1c8546b072f23efa85ae1d9efa3c1aa6e73fe6
com.codacy	foundation-logging_2.12	13.0.0_play_2.7		1d0ee3e56d9ce0fc52f33077a6a443dfd9162547
com.codacy	foundation-logging_2.12	13.1.0_play_2.6		a5ec07ca853a82e4e424f9b49e0b1a7b022bb54a
com.codacy	foundation-logging_2.12	13.1.0_play_2.7		d4583acd2e77f3f47d7e656644ceaa4715f2736e
com.codacy	foundation-logging_2.12	14.0.0_play_2.6		caf65dd5a91d0a7b80bb648de804baa4002fc32c
com.codacy	foundation-logging_2.12	14.0.0_play_2.7		250842333e0b57f1dc929b061b88024e599e9f13
com.codacy	foundation-logging_2.12	14.0.0_play_2.8		60dbb18117e69329f5395c83103ed69c3386d044
com.codacy	foundation-logging_2.12	14.0.1_play_2.6		361fb069fb61c26673809948277c8c76354fdded
com.codacy	foundation-logging_2.12	14.0.1_play_2.7		bceeeccb278355507b48cc211dd7ef24d03f0965
com.codacy	foundation-logging_2.12	14.0.1_play_2.8		e601a3875cc04420e09f3560e2dd80481bde5a42
com.codacy	foundation-logging_2.12	14.0.2_play_2.6		41c512b848edc7fa5d03889f8ce283ba76f8e725
com.codacy	foundation-logging_2.12	14.0.2_play_2.7		984f3e7669a60759ea9e3f31f5cab0a33d34be49
com.codacy	foundation-logging_2.12	14.0.2_play_2.8		6fc185d98e064d4c13fbc0ab04fb5fbc6bed2b8a
com.codacy	foundation-logging_2.12	14.0.3_play_2.6		99c9e9d03fbdf172af3e8bea9a69f19ce00f7606
com.codacy	foundation-logging_2.12	14.0.3_play_2.7		15af320423f9c337328bb1dbfd01e55ad4b853ce
com.codacy	foundation-logging_2.12	14.0.3_play_2.8		8489e102924555760477620d2176f750d1e64a6a
com.codacy	foundation-logging_2.12	14.0.4_play_2.6		1bbb7399063858b06e4029d4ea16bca04d5de6dd
com.codacy	foundation-logging_2.12	14.0.4_play_2.7		1ea57453bcdc412d0f59811a5ae7962d92279823
com.codacy	foundation-logging_2.12	14.0.4_play_2.8		2d07e580df956931601df8a70730ba210415cb43
com.codacy	foundation-logging_2.12	15.0.0_play_2.6		019dcda9ae0f1eea3bb1b62583981a3add3cb052
com.codacy	foundation-logging_2.12	15.0.0_play_2.7		490b7d1b26e8bde905b8d3b3221673e864b51fc8
com.codacy	foundation-logging_2.12	15.0.0_play_2.8		647d15131d2e20e3e6d54f2ab501916b7b610818
com.codacy	foundation-logging_2.12	15.1.0_play_2.6		143decccefd55583997b1d44285dcaf4489ed80d
com.codacy	foundation-logging_2.12	15.1.0_play_2.7		bc37704cf5cd2b88249c57b2427cfc445563d762
com.codacy	foundation-logging_2.12	15.1.0_play_2.8		be7ec6c23c62706fbf952b520f183f07eb74f023
com.codacy	foundation-logging_2.12	15.1.1_play_2.6		57bd28d1c33ac13cb528c06b6c935bd0fffa4b78
com.codacy	foundation-logging_2.12	15.1.1_play_2.7		d25fed6fecddfa555aaddf97453e271be35d010f
com.codacy	foundation-logging_2.12	15.1.1_play_2.8		43cd962b6fbf45310c4f9d0c5c05473095fb52e1
com.codacy	foundation-logging_2.12	15.1.2_play_2.6		d84db19fac52623287728744423b1c057ce33d6b
com.codacy	foundation-logging_2.12	15.1.2_play_2.7		e81e78bf1615af33fe0a0ef04f42ac26e69ecaf7
com.codacy	foundation-logging_2.12	15.1.2_play_2.8		5876e7ca3c066f7e7245adc6b1882c9d151c7b5e
com.codacy	foundation-logging_2.12	15.1.3_play_2.6		840a2f0cf6d3260e70615ccb1e7c35e39037c03b
com.codacy	foundation-logging_2.12	15.1.3_play_2.7		ed64d65ce03cf46dae70f39e8e963f5beb820d1c
com.codacy	foundation-logging_2.12	15.1.3_play_2.8		a0d928a7ca46a9ff1b7ee67cd3bb6e1fa8602af3
com.codacy	foundation-logging_2.12	15.2.0_play_2.6		f231f2fcdfdab339096ee9b10390017e78f076f0
com.codacy	foundation-logging_2.12	15.2.0_play_2.7		658958372a36bbd7df9fcaf8e30528e46d80e2e7
com.codacy	foundation-logging_2.12	15.2.0_play_2.8		1484ad2905bd4544ebb80199ef4ae45e4fa9f026
com.codacy	foundation-logging_2.12	16.0.0_play_2.6		fbdd936786dd1c336b5c6f1cb5746751e91a7836
com.codacy	foundation-logging_2.12	16.0.0_play_2.7		0b48eeb1b004a3c2b01f6d807816fc7db6d38272
com.codacy	foundation-logging_2.12	16.0.0_play_2.8		13d34421dd9056cfd91f6519b5f8875d0c56ca3c
com.codacy	foundation-logging_2.12	17.0.0_play_2.6		093b97aa7f776ef4d261db9a559fc6fc1996eb9c
com.codacy	foundation-logging_2.12	17.0.0_play_2.7		c1bb6bc930c5f80b8414b429f5da1bf441a3c3fd
com.codacy	foundation-logging_2.12	17.0.0_play_2.8		892eb70afa145bcffdbd86e83f1d4524f77e2054
com.codacy	foundation-logging_2.12	17.0.1_play_2.6		9f6ac44a35b6e5f98a65abb8bdfcdc81bf967545
com.codacy	foundation-logging_2.12	17.0.1_play_2.7		785d038403883c9671b69bfc474c24405dee16b4
com.codacy	foundation-logging_2.12	17.0.1_play_2.8		730c36d844e3ca375de9dff04d5772a6e8cd0456
com.codacy	foundation-logging_2.12	17.1.0_play_2.6		2dbd4782ccbe7e561ead31b710c9f5b5e2fdec17
com.codacy	foundation-logging_2.12	17.1.0_play_2.7		bc92fea6b393ffa50d47ec94ed69fd4b590ddb3c
com.codacy	foundation-logging_2.12	17.1.0_play_2.8		1b9af66ad8f61d61b93893f395db902363ec9d31
com.codacy	foundation-logging_2.12	17.1.1_play_2.6		b81f057d7c6fcf0f7a6f5f8aeb0cf55fdbdedd12
com.codacy	foundation-logging_2.12	17.1.1_play_2.7		b1caf7e40b19db5f65346eeb0123136b4ebdb455
com.codacy	foundation-logging_2.12	17.1.1_play_2.8		6e1f3b7678a7b5807eddc076794d39643d6780f9
com.codacy	foundation-logging_2.12	17.1.2_play_2.6		a8206af29be78cb1b669434d9254da9f5fbf74d7
com.codacy	foundation-logging_2.12	17.1.2_play_2.7		73718017baece8d46cba39e810a54eae470a8800
com.codacy	foundation-logging_2.12	17.1.2_play_2.8		caa65be8f82ff3757c6fb9d6f707a620d553860e
com.codacy	foundation-logging_2.12	9.3.1-publishsonatype.14bf3b3		f84565efb6a8e991855da81674f0558d57eb7f18
com.codacy	foundation-logging_2.12	9.3.1-publishsonatype.14bf3b3_play_2.5		8561d1c6a6ff6bda462577fa2c4d62d93979a6d7
com.codacy	foundation-logging_2.12	9.3.1-publishsonatype.14bf3b3_play_2.6		7de9d1d62fe63adacf99cd0d407c02ebe80e83dd
com.codacy	foundation-logging_2.12	9.3.1-publishsonatype.14bf3b3_play_2.7		af5fe2fb07615de363a1fc8c5a6e9c24ca8e393c
com.codacy	foundation-logging_2.12	9.3.1-publishsonatype.a27ebe6		0a6cff906005179660983b8aa109bd56fd6b69c7
com.codacy	foundation-logging_2.12	9.3.1-publishsonatype.a27ebe6_play_2.5		5d1cc4f51bc50e8875b287926dcf4368b15af8d0
com.codacy	foundation-logging_2.12	9.3.1-publishsonatype.a27ebe6_play_2.6		6fc1adb7f4977ec8ba7049b3095034f15de99208
com.codacy	foundation-logging_2.12	9.3.1-publishsonatype.a27ebe6_play_2.7		6bd600ed52e5898660b4a9aec11719967d100141
com.codacy	foundation-logging_2.12	9.3.2		999af8638a77b91a8c281e24a2dfa1a5b1950aec
com.codacy	foundation-logging_2.12	9.3.2_play_2.5		db7bd88584f910c110cdabf776d67e61aa92f0a4
com.codacy	foundation-logging_2.12	9.3.2_play_2.6		600c5d7af01756ec8a3a5d002673b18e88e82191
com.codacy	foundation-logging_2.12	9.3.2_play_2.7		6f015ca77b23240b8b5eabdd655fa328aea5ff56
com.codacy	foundation-logging_2.12	9.4.0		ef7443d736d60ab9faa4ae5728a1fc8a7c2a6814
com.codacy	foundation-logging_2.12	9.4.0-improvehttperror.e3eecfa		0376e6c649b68b7d2e4ef765b2d54e42540ba200
com.codacy	foundation-logging_2.12	9.4.0-improvehttperror.e3eecfa_play_2.5		2474d968809dd36be82d99ee44683fd40a30ee45
com.codacy	foundation-logging_2.12	9.4.0-improvehttperror.e3eecfa_play_2.6		e2dc5d03d968e9f1c2ee36af3c4a7a40cd0cc6fb
com.codacy	foundation-logging_2.12	9.4.0-improvehttperror.e3eecfa_play_2.7		21dd45c3b5cfc3344013c424472c8fba2f4f66a6
com.codacy	foundation-logging_2.12	9.4.0_play_2.5		3ff7b941bd66769b58040112273530df61f57406
com.codacy	foundation-logging_2.12	9.4.0_play_2.6		ebdb1f0c2e4e90c5803dddbf936a9d9640131706
com.codacy	foundation-logging_2.12	9.4.0_play_2.7		b89f82f64d42e5485a0f46c40caf1e11f1ec3f58
com.codacy	foundation-logging_2.12	9.5.0		7dce2177a242634a8462bbf940951812225677f5
com.codacy	foundation-logging_2.12	9.5.0_play_2.5		68531a6900da61ba5c7bd362fe5cd54c7967313c
com.codacy	foundation-logging_2.12	9.5.0_play_2.6		e04c8c77a1ce9e36cba7cb678c01c40f59ca1050
com.codacy	foundation-logging_2.12	9.5.0_play_2.7		e53598414b496e41de46dc3d656a2344b773c487
com.codacy	foundation-logging_2.12	9.6.0		cfcc76ba2a5772fb3a2bfcd6fa7a52883e5e21a0
com.codacy	foundation-logging_2.12	9.6.0_play_2.5		9b413ff2dd448e2931bb90ec0d2406fc6bdb1269
com.codacy	foundation-logging_2.12	9.6.0_play_2.6		38005df62f4593f33808d8d55f36166facbd2387
com.codacy	foundation-logging_2.12	9.6.0_play_2.7		771ddc946b077344447279ffd199ab421325e949
com.codacy	foundation-logging_2.12	9.7.0		8fc39f41155991cd21c315c313494469af4d0f64
com.codacy	foundation-logging_2.12	9.7.0_play_2.5		a3950312ecf40f18d871c9f94158e79bd2b51a71
com.codacy	foundation-logging_2.12	9.7.0_play_2.6		3399257d8122fb5d5669ff28f224be2ea8e7896d
com.codacy	foundation-logging_2.12	9.7.0_play_2.7		348435fa3a5d6e70e0a5c14f7e68492d1fa33614
com.codacy	foundation-logging_2.12	9.7.1		1be439044d626aca3e29f4d85fd5574c6bba7c29
com.codacy	foundation-logging_2.12	9.7.2		f969b2fca6c2bd70ec825863511131804e7bac5e
com.codacy	foundation-logging_2.12	9.7.3		e263b859fe3ab83f31fb9235330ec7e4ecd01705
com.codacy	foundation-logging_2.12	9.7.3-bumpcodacysbt.2.16cec0e		0fd026d3a0f1794a226c158126d9f6c46a27217d
com.codacy	foundation-logging_2.12	9.7.3-bumpcodacysbt.2.16cec0e_play_2.5		ec2bd8cf8c0f79f69ecaa5af6927538f61462460
com.codacy	foundation-logging_2.12	9.7.3-bumpcodacysbt.2.16cec0e_play_2.6		a5c51e092fd6732cccd4c2bbec52f6fa3277b777
com.codacy	foundation-logging_2.12	9.7.3-bumpcodacysbt.2.16cec0e_play_2.7		2329be8cf9cd7b494d3aaf0d8e3af04ecbb6d33a
com.codacy	foundation-logging_2.12	9.7.3-bumpcodacysbt.2.56da00c		c4a4673ec3f0077ba2df9b33bcb31b3ce3dfa337
com.codacy	foundation-logging_2.12	9.7.3-bumpcodacysbt.2.56da00c_play_2.5		b82cda11a2f17043aab37d863e2485f84ac23cbf
com.codacy	foundation-logging_2.12	9.7.3-bumpcodacysbt.2.56da00c_play_2.6		809791f3b3c97c7622c7a2fc332b20b2592d28be
com.codacy	foundation-logging_2.12	9.7.3-bumpcodacysbt.2.56da00c_play_2.7		3092ae4589bca36e5a18b4cf4e55d469ef837591
com.codacy	foundation-logging_2.12	9.7.3_play_2.5		cf194f34c52dad4bb0558351373ff323fab4c7af
com.codacy	foundation-logging_2.12	9.7.3_play_2.6		4ee2a935a04dfa2db6eef0abfe5f6b973481643d
com.codacy	foundation-logging_2.12	9.7.3_play_2.7		cec3daa3020f573013feba7eb2a6605d2dcfe9d4
com.codacy	foundation-logging_2.12	9.7.4		212732de226fd662ea1d79f0af44864a46074ad9
com.codacy	foundation-logging_2.12	9.7.4_play_2.5		f141fcc621e899ebb05b4010dc21f76780ec42d8
com.codacy	foundation-logging_2.12	9.7.4_play_2.6		cc376f957e9e75f457612ff5f3be2dfd29f433e4
com.codacy	foundation-logging_2.12	9.7.4_play_2.7		480a5f12c48638399cacf085bfb5633afbfa11b1
com.ctrip.kotlin	sqllin-driver-mingwx64	1.0.0		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.0.1		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.1.0		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.1.1		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.2.0		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.2.1		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.2.2		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.2.3		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.2.4		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.3.0		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.3.1		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.3.2		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.4.0		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.4.1		N/A
com.ctrip.kotlin	sqllin-driver-mingwx64	1.4.2		N/A
com.day.jcr.vault	vault-fs-spi	2.2.12		6ebdf13d0b79ecf82f23f0154c44fba76e69d4cd
com.day.jcr.vault	vault-fs-spi	2.2.14		cb06e36e96520f673e4bc083ecdab1ca0c311611
com.day.jcr.vault	vault-fs-spi	2.2.22		2fa89ca4a1ba0f609ee40a878877391622540edc
com.day.jcr.vault	vault-fs-spi	2.3.0		648c0d47ecc30828beb5d9ab738dd88ca3815eaa
com.day.jcr.vault	vault-fs-spi	2.3.12		4633f81a8254a5c7c17b12dc0f5d9d773d2dfdfe
com.day.jcr.vault	vault-fs-spi	2.3.30		fafc497ef475ca442d8f0b38ba4a0616f6e64c61
com.day.jcr.vault	vault-fs-spi	2.3.6		accf2aa42b797cf5d1df7ab47232953b7bcd576b
com.genesys.gms	android.sdk	8.5.201.00.rev.223		N/A
com.gilt	handlebars	0.0.15		03b56d20a1126f2dc8bf6556b4a1598558e26d34
com.gilt	handlebars	0.0.16		2a2b61e2c9f21991d893813083f8504b3586a60b
com.gilt	handlebars	0.0.17		788471841b9b99745d88ea0043348de885891184
com.gilt	handlebars	0.0.18		df28436c5fae1f04001903b2f658943939e75b58
com.gilt	handlebars	0.0.19		8bd20c124bb4f14dfd64b95b5e996c83d79ecb7b
com.gilt	handlebars	0.0.2		5e175354775bbc8e79ac5ad5f81d087c67e8aeae
com.gilt	handlebars	0.0.3		c14c5b5b6c52fbbb12ff808285cac16ae9526006
com.gilt	handlebars	0.0.3-perf		e0f2c05299392141595a739a2692011600fc2a31
com.gilt	handlebars	0.0.4		59ad0fbc0472ba0cae02b4ebc86cd64de38c664c
com.gilt	handlebars	0.0.5		3ecd266b54a151d95eb8082c6d6ee224346463fb
com.gilt	handlebars	1.0		025cc250ede4ee9ac437044188d4fdd522b0e3c5
com.github.819548945	tool	0.0.1		35fa0be57eec6c60523226848e681cc65f8f3ed1
com.github.819548945	tool	0.0.3		b83b8b4405b664fb095974aec1dfb8bbac12b9cb
com.github.819548945	tool	0.0.4		6edd26b4fd24f8c61981dc9d362f4528ec56c7d2
com.github.819548945	tool	0.0.5		57929a941f012c4bc6c708efa3fd15fd9b5ff5a1
com.github.819548945	tool	0.0.6		db15a78386cc6be0387cbe2c528729d6c98b2380
com.github.819548945	tool	0.1.0		7eaa40e4766ca627e2f92071f001dda9396b8088
com.github.819548945	tool	0.1.1		52bf2cf00a421f43da790847b38055c653d4cfe3
com.github.819548945	tool	0.1.10		3e3e668223e78d10a76b91780715205dc335b7ab
com.github.819548945	tool	0.1.11		a37aee8d30fdec404b9d5cdcd8b3bf99f2acb9d5
com.github.819548945	tool	0.1.12		b7e2e61c49aabeafd9bdc2de554a8b963ef039db
com.github.819548945	tool	0.1.2		cce7de204e4aee1d4dc8dd1f567de5e2ccec3747
com.github.819548945	tool	0.1.3		6e2e9064e8ba67087de5d3bd1959cb634c28610e
com.github.819548945	tool	0.1.4		555d17399e5dc7c4a2d751a3e9ffe5f983a06e48
com.github.819548945	tool	0.1.7		04019953128c900e4ec592dae53408049cac7da9
com.github.819548945	tool	0.1.8		1459ee5a5f84b9dd667b4e58dc607fecd7b126ee
com.github.819548945	tool	0.1.9		9136caa89f18351b4e6bd3a177e1b7d852be838f
com.github.alenfive	common-api-boot-starter	1.0.0.RELEASE		6c747275dd9fcaf47696d2b9051b4c23c418d80f
com.github.alenfive	common-api-boot-starter	1.0.1.RELEASE		e59b9a848e15959b679a0f42b8be9d20a2f0c6a9
com.github.alenfive	common-api-boot-starter	1.0.2.RELEASE		074f99e2f5ca0d53b7024510b8ac6125830e0bd3
com.github.alenfive	common-api-boot-starter	1.0.3.RELEASE		29dc0c7694fa539cc7f5905c9abb16a748f1c855
com.github.fonimus	vue-actuator-spring-boot-parent	0.1.0		N/A
com.github.liuche51	easyTask	1.0.0		8225da9e1c375c55894c2355598fd9478c190c00
com.github.liuche51	easyTask	1.0.1		N/A
com.github.liuche51	easyTask	1.2.0		N/A
com.github.liuche51	easyTask	1.2.1		ff85438afe906ac1a9f2a3453215a791add504ff
com.github.liuche51	easyTask	1.2.2		80d4bb9eefcd5386018f683bb06e416ba3abe4d6
com.github.mboogerd	mmap-api_2.12	0.1.0		620345b08196a9f380db28067beebbbdb8beba67
com.github.mboogerd	mmap-api_2.12	0.1.1		1b3792b58fbad2bcbeb25b99d3600546d66041f5
com.github.mizool.technology	technology-web	%25NEXT_DEVELOP_SNAPSHOT%25		6fe430a811a3478becec3bb058b7a17111ea53d0
com.github.mizool.technology	technology-web	0.10		049ab165963a539a102f163e52c1fc2ec3243220
com.github.mizool.technology	technology-web	0.11		0a01087debc7cb177ba46e02f636d11c1e66b6e9
com.github.mizool.technology	technology-web	0.12		6df7d03b41ecd9a05caed9bbc4602d67031b0eb0
com.github.mizool.technology	technology-web	0.13		d7d006fca9eaab5a5561323cd08539ec8db2654f
com.github.mizool.technology	technology-web	0.14		a195fa7c67deba9e2f49ef8ea464563fbfefcf4f
com.github.mizool.technology	technology-web	0.15		656c75e86c49c0d924b89be157b2d54437e4c9fe
com.github.mizool.technology	technology-web	0.16		9b5958f95aa72f120663c3294dc816f1a37c2e94
com.github.mizool.technology	technology-web	0.17		f8dfef687d87d10974e6c46bb5f989657c6e7b43
com.github.mizool.technology	technology-web	0.18		12c9bc0943e70a17a7558de7bd3999cb47632ce4
com.github.mizool.technology	technology-web	0.19		6d8174c2cb2f2721e1db1fc6bd8873b29829ba3e
com.github.mizool.technology	technology-web	0.20		aa78c023a067c8d55509fad9d308f5e1b5d66477
com.github.mizool.technology	technology-web	0.21		302f75cbf43b543f60df3eeee4b597e53e446576
com.github.mizool.technology	technology-web	0.22		8d6f2167b75d739a94ff068ac52c47879f7b3365
com.github.mizool.technology	technology-web	0.23		8411f8c41580f23871caa5add7de8b27721680d3
com.github.mizool.technology	technology-web	0.24		c6d3120676b5dcb92e65285baa9fb567cd923f49
com.github.mizool.technology	technology-web	0.24.1		681d34e95d642d0fc772bdd3d23b09a71e1c28d0
com.github.mizool.technology	technology-web	0.24.2		e08ac20b4d7ae23d51bc3b8504dfe96f2def575b
com.github.mizool.technology	technology-web	0.24.3		5a392d544ef3725e0f42fae337be753ed3b20644
com.github.mizool.technology	technology-web	0.24.4		21a0ec843b85052187a9cea81ff00cc125e20b6e
com.github.mizool.technology	technology-web	0.24.5		cfdcb2edfe489efd51f5109884a195ddee7fb1fb
com.github.mizool.technology	technology-web	0.25		b245d76a1c0c0f3a643ee116a853ce0b7f23cd4d
