activesoap	jaxb-xalan	1.5		6b10269457d75d4bd2a045e81cf620102f54692a
com.leibnix	secuencial-ids	3.0.0		7d21925cfd39b4c41906cdbd9fe77edba5f77b18
com.leibnix	secuencial-ids	3.0.1		5c58bf95cc403a4e2cbb78b960df15da44469851
com.leibnix	secuencial-ids	3.0.2		2df009bbfe949b3730a9d401dfbcbf06297b81ca
com.leibnix	secuencial-ids	3.1.2		abd94b9abe4dc86d18ac703d8c9f8f0da6ca523c
com.leibnix	secuencial-ids	3.1.3		040fc27a28e8a347cf26864b67a49bbe875db00c
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.1		f94ae877b24648dc8e8bb342c11d7184a42a8bbc
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.10		d98f23492c7d247c8f8059fb2eba2b5d50fc0487
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.11		3bb3c6f629a0ef609cc4566b37f2756c60aad1b8
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.12		29b0080138344d694f3a844c60c996f06a7d7bce
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.13		3dc623ff3a2db32754f4594d05103c25ed1d0e7f
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.14		850d394fcfefbd0bcaf1289c75a09e9ea5f1b20b
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.15		4d9531c8e5a077a154fc51203f74b5caab1e80b1
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.16		169865eb6bbe9d64183258b0f062bf2a707a7dbd
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.17		de56828b71728fd844019d03f9aae1ac252f60f3
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.18		766d08668624474f9b0e6d91eb14585e599067e0
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.19		c1682966a5fb3310af689a6c1b2d51e68a398b48
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.2		737e8674af1457dd2e6af41868025c27c86c4f1f
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.20		bbab393b10f8f72c4ab3ee3ec12758b5626fc219
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.24		843c317d700f1f9341ef448960f13ee4653579b9
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.25		e5b56dcf0d35040a2f29e138c13aa68aa132aaf0
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.26		53d5c5729a3c8af43f1fd537a416ba3724e0616e
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.27		8a29f1625f3b16a2d0ee323cbdae27e09bb97577
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.28		38033114b41e67a45590d23c6e471fa28c1ae275
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.29		0227c5a36280598ec3bed6e077abdb0bd48a0262
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.3		ba3b48f9bea34004382c775f55f8780bed11d12a
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.30		4574064463856ae79a5b7a36cfb05b72e8bbd1ed
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.34		98c59d4f8919db48efb829c01a919cea379726fd
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.35		22a280bd3cffa3a4c39cc708498a45e5e4e52853
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.35-java11		49b444108e6667de541c6530a8440c57ac67abc0
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.36		6496044223eaa524f3d545459ce5a4428b9ee609
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.37		7e999ab7f2fa7344576fa7cfd4984ff0f6eafbb7
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.37-java11		8a1ac727fedeb0a71c29b15cf00669ff8ad5fbeb
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.38		0345138018527e525b6d6f9beb6550f025105eff
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.38-java11		0d418b1b7af38b7ab722ee9b5bdc2599d44720b5
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.39		13d17402ae84355e085fdf91f08ca47234e1f47c
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.39-java11		7fd0da1ebca89e503433a466477665d3f1521def
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.4		5a3c5f3a6cac03861fd3bbb61a02e0e97ede239a
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.40		ccd710f69df764435e15beff11bc7cfbb48a573a
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.41		5dfaeb919d75c7174c042ccf01a1348fea7dd0f9
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.41-java11		67b23ec09cf6c0b77fca6cdba58c01ce6ccf3d5f
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.42		954eedaa4f0d8a9f9ee4a1c718b525d62e9cbefc
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.43		a2f7c8a4ab70d43147c5662d3ed0a3cf9913295b
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.44		02f4516d8059a6544cd52befba70e4a8fb4716e2
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.44-java11		d4ebd37a42cf08db1f6908adbb19c860027ad481
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.45		32aae5aff54610f4895505a68ac77996475fb6e5
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.45-java11		b1265906f6a9e1a60d560f69dde2ed89c33fe468
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.46		1c99b3b1406379286735d18bf682e94a24f1828f
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.46-java11		91deb148d728430d16ce46c92d0210a13242b75e
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.47		a08edf291ce0dfc9b99f2729da71f98295d8f88e
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.47-java11		59cdab47d3fa2ec428ac0c6af57cf062ef0c9a5e
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.5		20a731e17b6cfc53fd72c3440fca0284592534b2
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.6		c744bf9bea68fbda0e8a32f0669fc44fa60ff051
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.7		3b879370a5fb8d991e7dabdca15e6bdc57ab952e
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.8		229de61b77d1aaeafedfd3728761a286724bf6be
com.mobius-software.protocols.ss7.commonapp	commonapp-api	10.0.9		706a52f7f46dd995f831964266d65e4cfc7cf199
com.mtvnet.boxspring.osgi	boxspring-osgi-web	1.0.0-beta-1		3404c4a4430004f786094364585cdc354ecca0e2
com.mtvnet.boxspring.osgi	boxspring-osgi-web	1.0.0-beta-2		f688ccf089a10a1883b9acc0ed4e3cdf7c3f11f4
com.mtvnet.boxspring.osgi	boxspring-osgi-web	1.0.0-beta-3		a5a616faba9fef87e38e20260d5b6a77767c58a8
com.mtvnet.boxspring.osgi	boxspring-osgi-web	1.0.0-beta-4		77140b7f0379e5b1cf04fa063048263b0a2c4fbc
com.natural-transformation	avro4s-core_3	5.0.0		5bf4198ea1e41f4d2795a441df7d2e68425df010
com.natural-transformation	avro4s-core_3	5.0.14		4712b1875a07363aa4803af1769f4297fc8f913d
com.natural-transformation	avro4s-core_3	5.0.15		65b7f28f3bf74d1f3f06a2d3562fae18a63e6c5f
com.natural-transformation	avro4s-core_3	5.1.0		8a4b4e2fd27c86fdf5a28cb15205d2ab5b272ec2
com.networknt	http-entity	2.0.25		d2644245a647218ee17db37f3bdf31507a25f4ae
com.networknt	http-entity	2.0.26		0d4e370a3451b5844c2165645b35c1aa5d786141
com.networknt	http-entity	2.0.27		f7824d920a77f0c44efc17a9b24d1a13669e9d7a
com.networknt	http-entity	2.0.28		f72456a7b65ada6636b507051c0d02ef8b31e565
com.networknt	http-entity	2.0.29		ad687736548e16c652b7b61a4fa0f92bd15ce8a8
com.networknt	http-entity	2.0.30		1442a9c963cc646dfd2718cb5468c8a52c40aed0
com.networknt	http-entity	2.0.31		ad8eb6ce052e75e6b1a04af142fc15ec31aa6367
com.networknt	http-entity	2.0.32		edb4f0a0a0ecccf76d559419a61498d304f927c2
com.networknt	http-entity	2.1.0		6432007e2eccfe21bc4261c232d4deaa8eb96804
com.networknt	http-entity	2.1.1		5d441afc42a78ec85f78dcd3ba7e2c9f56c3ea00
com.networknt	http-entity	2.1.10		52437b2215a6f9e1a3b4c43cb30ec0efe00ddb05
com.networknt	http-entity	2.1.11		e061f05883268526359edb94cd648f3ea3ac8400
com.networknt	http-entity	2.1.12		cc34613389fad90ab56cfd7ab809a129bb19f2cc
com.networknt	http-entity	2.1.13		8dc5970e366cdfa1dfdfd84bcc23e141c926193b
com.networknt	http-entity	2.1.14		34cc3f499bfdf8f65789cc175eaca072854d6d64
com.networknt	http-entity	2.1.15		df5aef6201fa871a206352a4677b322eaa4f366e
com.networknt	http-entity	2.1.16		08718d406f09e7d0a87aa0fb9f02ab48cec4a090
com.networknt	http-entity	2.1.18		37ab005d1eb35ba72fbe84f89deb283b92290c85
com.networknt	http-entity	2.1.19		ce281767060f8a676cbd08bdbfb195a8c10bb349
com.networknt	http-entity	2.1.2		5dc8fdc175f258878325033089c85fd7b7fcf7a9
com.networknt	http-entity	2.1.20		a6e5c0a1245e0750f5179a89f6a86d1c9f727a4b
com.networknt	http-entity	2.1.21		742bbfac1c61933db8dcae8bc363f4dd8b61ce86
com.networknt	http-entity	2.1.22		9f6bbda4afa8d8af2e2c75a2bccbc9c7e931b606
com.networknt	http-entity	2.1.23		c0bad9558e25cd1585bc9c7563dfba5a4b506821
com.networknt	http-entity	2.1.24		13a74c6dd8b5cbc1ebce00aeb46a256ffa2988a4
com.networknt	http-entity	2.1.25		91a4752b429933f4e9b54f663224a867342c8c90
com.networknt	http-entity	2.1.26		ec5f0aa19e7bfe6e498b361cd845de861371355f
com.networknt	http-entity	2.1.27		7a8c85bb4a0f99f911a0a1393eba70dc1f9365fb
com.networknt	http-entity	2.1.28		29fdb830f6b45391db64a1c60255e914cad4739e
com.networknt	http-entity	2.1.29		ee9eda90093c21acdd32ed02434962fc219f6bb0
com.networknt	http-entity	2.1.3		c0a45fa75a4a2c7405f4c462d9e234691523e8bc
com.networknt	http-entity	2.1.30		9814e2e09878d98b8a5f8c7e4a8164f185a2b402
com.networknt	http-entity	2.1.31		6236e86987f90eb65ff940df42d33ab773ba1185
com.networknt	http-entity	2.1.32		e0a0ecf12c95eca0bb1d67634e8efce4f0ba73f5
com.networknt	http-entity	2.1.33		523c454ec5cc65bd873227c7251e497be0ec0fce
com.networknt	http-entity	2.1.34		0c267e19a4731b09714465d086e28fa838f1d742
com.networknt	http-entity	2.1.35		f874b13d38040b9f31d36212c3fd4335592625b3
com.networknt	http-entity	2.1.36		dd31caea951fe8a9079dbad0bce05212fc88a144
com.networknt	http-entity	2.1.37		67b41f3eba454c84b0c6e9bc6412ee994f7a51c4
com.networknt	http-entity	2.1.38		ed1608174546fa1c366e6e35af591fb79188b334
com.networknt	http-entity	2.1.4		5d5718c2ef4bb2221b9edd3a62f9fbafb0958cf7
com.networknt	http-entity	2.1.5		db07577152d3420a3708581d47bed6bdf16e9979
com.networknt	http-entity	2.1.6		24177dea5930f7a3d99bed2f9ffc5c12638df7a2
com.networknt	http-entity	2.1.7		f582ed042428817ed7696a46a750aed9b0b0e839
com.networknt	http-entity	2.1.8		bd7b685665e7adbe6a35ad6a087d886b778bb022
com.networknt	http-entity	2.1.9		9322f311fca5d22969107308489bd40ccba97bbb
com.networknt	http-entity	2.2.0		91b7c6e87a5ff89dc1f8ce9530e9074f0c121960
com.networknt	http-entity	2.2.1		519a96d52ff10a5043eb915b202a5e4644bddc2b
com.softwaremill.sttp.client3	circe_native0.5_2.13	3.10.0		83cf1f5c1c89b7f9e4415551e47ff575cdd9a795
com.softwaremill.sttp.client3	circe_native0.5_2.13	3.10.1		7dc0b7e668af91978a51112059e91ebe1739ea4a
com.softwaremill.sttp.client3	circe_native0.5_2.13	3.10.2		683450b99c59a0de17001c39b927f8d83e830a95
com.softwaremill.sttp.client3	circe_native0.5_2.13	3.10.3		c59437597e7f5c80063c896b22140e16a1520226
com.softwaremill.sttp.client3	circe_native0.5_2.13	3.11.0		f2b228331dd013758597240fe3c5aea55816b06f
com.thinkbiganalytics.kylo.plugins	kylo-service-monitor-activemq	0.10.0		900b8b91c6c81cd06f731c96851ff730ae2280c1
com.thinkbiganalytics.kylo.plugins	kylo-service-monitor-activemq	0.8.4		8ba75a75b170a342cee9d2348300787484fa28be
com.thinkbiganalytics.kylo.plugins	kylo-service-monitor-activemq	0.8.4.1		586e25ae2697f96797fcd658b995699e338fdc51
com.thinkbiganalytics.kylo.plugins	kylo-service-monitor-activemq	0.9.0		6251ad975b8670cfa477c7ed134d5ef0f3ea7570
com.thinkbiganalytics.kylo.plugins	kylo-service-monitor-activemq	0.9.0.1		92c88f9169a4e9713f2e080138428cf5ce1bf15a
com.thinkbiganalytics.kylo.plugins	kylo-service-monitor-activemq	0.9.0.2		db2f37dd7b5593d2cf374a3689e5e8621282fa74
com.thinkbiganalytics.kylo.plugins	kylo-service-monitor-activemq	0.9.1		53380e94780f46134c9f904165b0cecfa3c9834a
com.tourapp.tour	com.tourapp.tour.request.db	0.8.0		5ac102f331db2e2c30a6fb2081cd1749f2d38ced
com.tourapp.tour	com.tourapp.tour.request.db	0.8.1		27616f590488d7ecd044a0f2a36587ddab569bac
dev.mauch.spark.dfio	core-spark-3.3_2.13	0.0.10		7ad69cc192132f16ad2dadc99164290d40c784e5
dev.mauch.spark.dfio	core-spark-3.3_2.13	0.0.6		efad2af95abee7e2108697b5a132bba785b5e5cc
dev.mauch.spark.dfio	core-spark-3.3_2.13	0.0.7		1db72e82f56f6d94ee5a95ed199538ec0f17fe54
dev.mauch.spark.dfio	core-spark-3.3_2.13	0.0.8		1db72e82f56f6d94ee5a95ed199538ec0f17fe54
dev.restate	sdk-api-gen-common	0.9.0		0a991a121eb4fba9438b418b1ee0d41d2028fa44
dev.restate	sdk-api-gen-common	0.9.1		03da04f83888741a7b5f054969f12965dc04ae1e
dev.restate	sdk-api-gen-common	0.9.2		282ba6606c735a32b9b9da7cea3ac8c318c96b37
dev.restate	sdk-api-gen-common	1.0.0		8f3fb97964f6244a0482e502d1ff9a13ba7506d0
dev.restate	sdk-api-gen-common	1.0.1		5a4e589e68602c4b719292dafbfd5aba1cefc1af
dev.restate	sdk-api-gen-common	1.1.0		e9d6e61c1634e4f305cc93c9eba613e5d9d10069
dev.restate	sdk-api-gen-common	1.1.1		5f5891baef7459a7f5286b146b1d269e81ebc0f2
dev.restate	sdk-api-gen-common	1.2.0		52aa3b11ed299d9ed148ac2e890fb7be07690de7
