app.cash.sqldelight	android-paging3-extensions	2.0.0-alpha01		2bf5d4b8c6b483b79b57916102d1b0089b6a79c3
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.25		34bd39f83061839850e28e0eccbd0e974523cdbc
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.26		8b368577662f6ad0c54f9bf019ada32254282272
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.27		04ed0c9a63fb9312f285751203bc76d63e84635d
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.28		1dfa1bf48256e934b442386aa6c74f9280e9ce89
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.29		fb35823dd03c8cf9098089dfb75afc0fc91a1e15
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.3		dc78c317caf7b6ffec270a6b55c5fa493ca8c26a
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.30		b9a6b70a8613ce4adac6d8b8c3797c9e264e45ec
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.31		9103c2056d67843e6b738ead9298f2c78746ab8c
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.32		e8e92f177604c7c6437265f7f32a8c8335103966
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.33		df3d9dcf76d8bedfdb4b4e934367840d93c0ac6d
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.34		597808edc54901b1eb38b0c527b3cdca1cd84fed
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.35		0bba56d2d6b0c01f368c15886dc6c14e0ceea320
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.36		1f53f185208cdb9ed4b911b1f821017feb7d1ca0
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.37		9e5959d06605bec79c4ef027c1a76e9d0cac6dbe
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.38		fdf3302156c9041b2e097effa6e43a1b016930a1
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.39		e80b042ca10c2b95492960db758e7449af25fb1e
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.4		d5839013b678afaeb3126a51aaf7ea7591cc2d9f
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.40		ce4381d399df2d91ed8dfb96bccd12be5f549a40
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.41		b20219395cf60ebcacd3aa2fc16d699b87c38930
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.42		b567527c5ddd71c41b4df596a1a0fe5251476f6a
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.5		d352d3472defa357f0ca1ee0f706f4400b351568
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.6		f235556221278a0904a40876d2554a5b5678f4cf
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.7		afbfad5b95d8a0323e2853e34704aa8ed7239b6d
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.8		6d36ed11fdc68c9e945dcffebd05add0ee5ef540
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.9		8568008aafbf5d50306aa61b92577e390eeb8716
com.github.javadev	leetcode-in-java11	1.10		9e15a525652e9c4a8fe3d98994c086d73f183bcb
com.github.javadev	leetcode-in-java11	1.11		1df186077ec7774616fb0ce2e4443e78c7a3b717
com.github.javadev	leetcode-in-java11	1.12		60d4a64e31c8d7a2a3c39364dc95bb412d11dbc9
com.github.javadev	leetcode-in-java11	1.13		bcebd3c5bc83977ae5190f12a0b1d8dd6759a74d
com.github.javadev	leetcode-in-java11	1.14		51cb4a29ac4accdcaf983515a16c895bc41e15a2
com.github.javadev	leetcode-in-java11	1.15		a0e9608d4f8b109d7f826570b8a67d4b9f270b5b
com.github.javadev	leetcode-in-java11	1.16		dd6d8cae4166df8f8a969d64fddb631de61f3f43
com.github.javadev	leetcode-in-java11	1.17		7ea7a22d3b43beff472f901b284e390300860a9d
com.github.javadev	leetcode-in-java11	1.18		3a30f26f6af353591d84e8c3a31ab02010226004
com.github.javadev	leetcode-in-java11	1.19		62d13cf0832da72fc0199a52dc4c0aa0885c2071
com.github.javadev	leetcode-in-java11	1.3		11fbc3a1d1858f96738276d29315f86af904dea1
com.github.javadev	leetcode-in-java11	1.4		0317fd87778753fdce9b07bb2af7220c5fb15fea
com.github.javadev	leetcode-in-java11	1.5		b9777198a9fcea63b1b44b6f00479a0395cfb10a
com.github.javadev	leetcode-in-java11	1.6		544fcc256f942ef97a6d9b33fc4218c074ddc97b
com.github.javadev	leetcode-in-java11	1.7		b19dab0e3074fc9d5a3e6225cb5e390076f835a9
com.github.javadev	leetcode-in-java11	1.8		f0ffdf6015857030c705cffe9477ceefb52f7357
com.github.javadev	leetcode-in-java11	1.9		25f327ed7a323f9b611096ac39642c698f4087d3
com.github.marcosemiao.tomcat.maven.plugin	tomcat-manager-api	0.0.1		6d702aa5669cc4148f902c158be4d9552cd80f93
com.github.nighttripperid	LittleEngine	0.1		0408e14876700422de5aded08dc2ba8dcb32a587
com.github.palindromicity	simple-syslog-3164	0.0.2		904f8cdc03d108534d2899ea72c9d95dd88f6b26
com.github.palindromicity	simple-syslog-3164	0.0.4		dda622c9a35076eaafd0df8d6810fd675e097f38
com.github.rnett.krosstalk	krosstalk-server-macosarm64	1.3.0		N/A
com.github.rnett.krosstalk	krosstalk-server-macosarm64	1.3.0	metadata	f82df64cfda10738850ece19a655780564cf31a2
com.github.rnett.krosstalk	krosstalk-server-macosarm64	1.4.0		N/A
com.github.rnett.krosstalk	krosstalk-server-macosarm64	1.4.0	metadata	a8f486611bf585974177d6a7f0cd5aa77c7a2163
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.1.0		d77551078cf635e50b5c324fcbe81739f933ce70
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.10.0		129f19868e758b60315265e95d0a1ac97558bbbb
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.11.0		b2de298ed730357aa2bfe610350a5f2de41c566e
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.12.0		4895273a4d873410f230a1a769e55058c35019e4
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.14.0		3580e9244fbf81fd2beaa85fb98bb4653a730ae3
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.15.0		5920c6d38c147c39049f03f9450529509fee03e3
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.16.0		d2d995e9f82c4292eb71bffbbb30dcaa624edbf7
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.17.0		861c6248cbfbf29c096b94b80998aafab22aeb1a
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.18.0		0c810acce443824d1153a5550939112cc0af21e9
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.19.0		fbc69dc2acfe7480560baccaaff13ed99e510406
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.2.0		2adcf90ed1786b4013d89414b3d847241416ab23
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.20.0		3f776f29c24298eaa787649a417826a1fa00c586
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.21.0		e298eefb08faab51859a270b66a59f9b85464f63
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.22.0		f9458c8eabbe958f744babb92bb6b5d9df3c0d6f
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.23.0		baef8c20be32e130c2f1da795e354d69f3a449f0
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.24.0		972c71cdf8b9cefa26898d700d2eefe8ce810c76
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.3.0		ace2f7b22bf25ff5a5c58e56412b5cca15dcf914
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.4.0		59a1c86c4691d51dd79561e7a225365a4469ff76
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.5.0		6728e162f303a4c0e6885602f4d484294f69ee78
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.6.0		4a0d019725fb4d816d9d8e14ed672978d9116960
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.7.0		b5e54397c1ec26a9e122c8075bd2859f76cd83c6
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.8.0		170a5ec8f2a9ac55ba1256a8cbbd78bd0364ce9b
com.google.api.grpc	proto-google-cloud-parallelstore-v1beta	0.9.0		704fd68396c0b6ac3009b305a76967e1092a5c5e
com.ibm.ai.devtooling	com.ibm.biginsights.thirdparty	5.0.0		34082823a69c2a79ed4d27f810abd78bd77cedbb
com.ibm.ai.devtooling	com.ibm.biginsights.thirdparty	5.0.1		40443da794ede9628d9bd1ea8b0dc6a693102f1c
com.ibm.ai.devtooling	com.ibm.biginsights.thirdparty	5.0.2		54e1c0a78d33feb0cf2cf799df974a10f3624a01
com.intersult	thin-war-maven-plugin	1.1		e36ac07c950cda8158417aeef6a04099fe665f64
com.intersult	thin-war-maven-plugin	1.2		5eb18b44be5c3126222d8a35c42246a1bf21b88d
com.intersult	thin-war-maven-plugin	1.4		31c71785fa0fbc55fe6849394b04649a2516a494
com.intsoftdev	nrservices-android-debug	0.0.1		N/A
com.intsoftdev	nrservices-android-debug	0.0.2		N/A
com.intsoftdev	nrservices-android-debug	0.0.4		N/A
com.intsoftdev	nrservices-android-debug	0.0.51		N/A
com.intsoftdev	nrservices-android-debug	0.0.9		N/A
com.itv	bucky-core_2.11	0.10		05deb24533fbb9efc2d1c51a3e37aa99fb46de38
com.itv	bucky-core_2.11	0.12		fe41fdbcd97ac70d712be21d0a080229e7f47c5f
com.itv	bucky-core_2.11	0.13		91e5731a10e0040da65c0e8198142d826e4dc68a
com.itv	bucky-core_2.11	1.0.0		531b939281e2f70d35c0d3e5271f32c22379ddda
com.itv	bucky-core_2.11	1.0.0-RC1		da348f4372ed309601e0e085e19f69ffc7b925d1
com.itv	bucky-core_2.11	1.0.0-RC2		00418f97520743deae8eecb5ea128fda29a86432
com.itv	bucky-core_2.11	1.0.0-RC3		246f3b4ec35b5c7fb987685bff2a8bb6305f0296
com.itv	bucky-core_2.11	1.0.0-RC4		4645395f5687ff664948ef8e0d84e5207352b41c
com.itv	bucky-core_2.11	1.0.1		e506eef98019c0e9f975329f6623a13b775e3d8e
com.itv	bucky-core_2.11	1.1.0		cdf8f6ed1c1b0a9db233619a3013248940d1f9a2
com.itv	bucky-core_2.11	1.2.0		3a7e71b2fc4ca1126836656f63bbe5fcb79d7d3d
com.itv	bucky-core_2.11	1.2.1		024e5e50461d3393db9b1981ac3957378e62e923
com.itv	bucky-core_2.11	1.2.2		7b6dd26c6e7c91ca6f0f36426ec2373a0969126c
com.itv	bucky-core_2.11	1.3.0		74d061fca671b94b2aceb0c3480605dcc0b86c00
com.itv	bucky-core_2.11	1.3.1		08d87f8dffc2b96ceb32bac6649523c23b53de97
com.itv	bucky-core_2.11	1.3.10		a1ac0868937887ae3df1aeeae5a40ae855c43297
com.itv	bucky-core_2.11	1.3.2		0ec46f5d86f8c50d371242b0ccdd8a5694c15ea7
com.itv	bucky-core_2.11	1.3.4		41f390616662e178dddb03e728ad0bc39c8eba71
com.itv	bucky-core_2.11	1.3.6		665712f71d7e0055ccc26d85d7e4ad84e09cdb31
com.itv	bucky-core_2.11	1.3.6.1		3c1010c7958651455e9c52ea7a3bdfa92f212e57
com.itv	bucky-core_2.11	1.3.6.2		87fac8421c6f761152d9f8e5f274582c9fa55cfc
com.itv	bucky-core_2.11	1.3.7		7f42271a6b89d688fa1f3836db6c53e29ef4a00e
com.itv	bucky-core_2.11	1.3.9.1		4aae9c30d4c01f0ff94cee7a3a59edbe7c9b3952
com.itv	bucky-core_2.11	1.4.1		68d1f3e21f5dd912a4226051b930027188de9c21
com.itv	bucky-core_2.11	1.4.2		34625608da07b55a2443b838c42a66f5b7bc88f9
com.itv	bucky-core_2.11	1.4.3		fb850da7b7f3c79666b048075c165ea02988a27f
com.itv	bucky-core_2.11	1.4.4		6f94d3756e90328bb7b453e0b020c5521d8d313d
com.itv	bucky-core_2.11	1.4.5		fae4c2e6f729a111dea6aa8aaa76e4840011d503
com.itv	bucky-core_2.11	2.0.0-M1		52c611431199f97f34d2d7b4c26680e0c396a0a9
com.itv	bucky-core_2.11	2.0.0-M10		d89b3be22073745b57ae6ee40eb9127d4e066e32
com.itv	bucky-core_2.11	2.0.0-M11		fabba71279c77422d33db548e83a6d0edfac1b01
com.itv	bucky-core_2.11	2.0.0-M12		b2817c89ab66916a9ded755be2cf3c063eafa7ed
com.itv	bucky-core_2.11	2.0.0-M15		bc142c5dac082d029fc4a71e396b9da68c60ed63
com.itv	bucky-core_2.11	2.0.0-M16		852be7f94e70de0f20c4e64afb6b33dd6d477871
com.itv	bucky-core_2.11	2.0.0-M17		1bcbaccb0790d644fa04f319a0bdbe0a1e079b2c
com.itv	bucky-core_2.11	2.0.0-M2		896a5140c31b53306ea9ad785f94ce700bd8d6bb
com.itv	bucky-core_2.11	2.0.0-M20		26bb45020308cd2195689cf942127a2a0aaf54c7
com.itv	bucky-core_2.11	2.0.0-M21		9635214bfd011de0f4e851757f5286599907438d
com.itv	bucky-core_2.11	2.0.0-M22		dcc674646411d7021bffc66f8f4c037180f7b918
com.itv	bucky-core_2.11	2.0.0-M3		045262dd0889e9f85ef8b3f0129231c978ab1c28
com.itv	bucky-core_2.11	2.0.0-M4		8a6e3bb919a5faa61fe36265f5657897682c9bb5
com.itv	bucky-core_2.11	2.0.0-M5		0c0d421ab901e46c670c7fef9682cfebed8e0460
com.itv	bucky-core_2.11	2.0.0-M6		e94bf7bf3f6a8f35c0bcf158cb1c1896baf9e173
com.itv	bucky-core_2.11	2.0.0-M7		e6a9557b61d4e2353ce893177a495db1ce056e69
com.itv	bucky-core_2.11	2.0.0-M8		4e2ce887678fc47c698d5dd57066d28848fa5be5
com.itv	bucky-core_2.11	2.0.0-M9		8c64b736c40b3cfb7a68b27b689dc4ef479270f0
com.jd.blockchain	jdchain-parent	1.1.2.RELEASE		N/A
com.jd.blockchain	jdchain-parent	1.1.4.RELEASE		N/A
com.jd.blockchain	jdchain-parent	1.1.5.RELEASE		N/A
com.jd.blockchain	jdchain-parent	1.1.6.RELEASE		N/A
com.jd.blockchain	jdchain-parent	1.1.7.RELEASE		N/A
com.jd.blockchain	jdchain-parent	1.1.8.RELEASE		N/A
com.jd.blockchain	jdchain-parent	1.1.9.RELEASE		N/A
com.jd.live	joylive-transmission-grpc	1.0.0		4e8363c074d0340cf3bff306a5a7c9080ba93114
com.jd.live	joylive-transmission-grpc	1.1.0		073173bad5c90de1e9324324408c101d0321b8ec
com.jd.live	joylive-transmission-grpc	1.2.0		b208b7b987d469772b749962e5496766fe4e3d8f
com.jd.live	joylive-transmission-grpc	1.3.0		f406e03afc0c2abe7c663eab1ec10abfb9edec2f
com.jd.live	joylive-transmission-grpc	1.3.1		bd891f0c4b54fb75f77faa02b268fb64f401563c
com.jd.live	joylive-transmission-grpc	1.3.2		8c773e10015183b12481423bdafd4bafe942fe39
com.jd.live	joylive-transmission-grpc	1.3.3		f32d1de298eb8c5ba211254d9dc7f7734098cd00
com.jd.live	joylive-transmission-grpc	1.4.0		49cd4269e941c20df278503492e879a582cb78d9
com.jd.live	joylive-transmission-grpc	1.5.0		445a28121052b2d4a658f45f7c5f39083361d5a9
com.jd.live	joylive-transmission-grpc	1.5.1		dcc76cf1d61fdbc032ef66915eee8f61f127f4e5
com.jd.live	joylive-transmission-grpc	1.5.2		eca8df965f89c669847ff082366263d6efc3267d
com.jd.live	joylive-transmission-grpc	1.6.0		e98b22571e0ac14d7d0590b67f612102767472d6
com.kaltura.playkit	playkit	4.13.1		N/A
com.kaltura.playkit	playkit	4.13.2		N/A
com.kaltura.playkit	playkit	4.13.3		N/A
com.kaltura.playkit	playkit	4.14.0		N/A
com.kaltura.playkit	playkit	4.15.0		N/A
com.kaltura.playkit	playkit	4.16.0		N/A
com.kaltura.playkit	playkit	4.17.0		N/A
com.kaltura.playkit	playkit	4.18.0		N/A
com.kaltura.playkit	playkit	4.19.0		N/A
com.kaltura.playkit	playkit	4.19.4		N/A
com.kaltura.playkit	playkit	4.20.0		N/A
com.kaltura.playkit	playkit	4.20.1		N/A
com.kaltura.playkit	playkit	4.21.0		N/A
com.kaltura.playkit	playkit	4.21.1		N/A
com.kaltura.playkit	playkit	4.22.0		N/A
com.kaltura.playkit	playkit	4.22.1		N/A
com.kaltura.playkit	playkit	4.22.4		N/A
com.kaltura.playkit	playkit	4.23.0		N/A
com.kaltura.playkit	playkit	4.24.0		N/A
com.kaltura.playkit	playkit	4.24.1		N/A
com.kaltura.playkit	playkit	4.25.0		N/A
com.kaltura.playkit	playkit	4.26.0		N/A
com.kaltura.playkit	playkit	4.27.0		N/A
com.kaltura.playkit	playkit	4.28.0		N/A
com.kaltura.playkit	playkit	4.28.1		N/A
com.kaltura.playkit	playkit	4.28.2		N/A
com.kaltura.playkit	playkit	4.28.3		N/A
com.kaltura.playkit	playkit	4.29.0		N/A
com.kaltura.playkit	playkit	4.30.0		N/A
com.kaltura.playkit	playkit	4.30.1		N/A
com.kaltura.playkit	playkit	4.30.10		N/A
com.kaltura.playkit	playkit	4.30.11		N/A
com.kaltura.playkit	playkit	4.30.12		N/A
