com.bakdata.kafka	streams-bootstrap-test	2.16.1		38a08664848a2faf64c051c13713e29e9ca14a51
com.bakdata.kafka	streams-bootstrap-test	2.17.0		cb5d6b57f2bf8ae0da4a5a84ebd5a1e9accd8763
com.bakdata.kafka	streams-bootstrap-test	2.18.0		3c6cb6388894048613dd0b3fda1037610e24ebf4
com.bakdata.kafka	streams-bootstrap-test	2.18.1		0e796bad5d94c7d9323838264a0fddecbdb5ed31
com.bakdata.kafka	streams-bootstrap-test	2.19.0		c16b622adc1175051259964645170700baf1ab3a
com.bakdata.kafka	streams-bootstrap-test	2.19.1		b07236fcc8c08f852d41d860993d28dd358ca16d
com.bakdata.kafka	streams-bootstrap-test	2.19.2		4b808681fac90ac80a31ea03d22b4e22f0cc2d3b
com.bakdata.kafka	streams-bootstrap-test	2.20.0		db8f93dfa46fb3f46bf0649ca8356da6afb8c823
com.bakdata.kafka	streams-bootstrap-test	2.20.1		00107057db32ce14565b27b72f141aefbdb00bf3
com.bakdata.kafka	streams-bootstrap-test	2.21.0		c24ccfe79e8738cfd90f91cdc276640e0217ed9c
com.bakdata.kafka	streams-bootstrap-test	2.22.0		1109b3e1525b8682657f7c685c39b5550b494ba0
com.bakdata.kafka	streams-bootstrap-test	2.22.1		ddf8ff15b509d8be88956f883978a2b0259ef4ea
com.bakdata.kafka	streams-bootstrap-test	2.23.0		feaaabd2c2bfc53b0f1c33f0f0f2dc9f2b5d85f0
com.bakdata.kafka	streams-bootstrap-test	3.0.0		3f03e0692c946e42edf33222ec7302b88715251c
com.bakdata.kafka	streams-bootstrap-test	3.0.1		2d1449455cd5c799bb313080e5384172955671b6
com.bakdata.kafka	streams-bootstrap-test	3.0.2		0f23c66f6151ac23415f7476617574606f658201
com.bakdata.kafka	streams-bootstrap-test	3.0.3		eebaa96da0e34622e8d104887d82a8da0e6e4f75
com.bakdata.kafka	streams-bootstrap-test	3.0.4		f59ff8d629b5f553079ac5368102cb47c0c79a31
com.bakdata.kafka	streams-bootstrap-test	3.1.0		432f4e366588e885b679cd8fdc5fc969fae0327c
com.bakdata.kafka	streams-bootstrap-test	3.2.0		9f3e6c430ab8676e3ee4ad88ae48284653e2fcd5
com.bakdata.kafka	streams-bootstrap-test	3.3.0		867e5676397c635dc52f676f68f0280e5a473b21
com.bakdata.kafka	streams-bootstrap-test	3.4.0		7a6610a19c5f31fbda96a3d45e6a4e87048862f2
com.bakdata.kafka	streams-bootstrap-test	3.5.0		a0acaa991087764720dac8c61b66e2ff0631b23e
com.bakdata.kafka	streams-bootstrap-test	3.5.1		1e4ac39d0039a4cd5a47c3604a35917480b51cac
com.bakdata.kafka	streams-bootstrap-test	3.5.2		46e556bad1a6a6f3155ea2e61774bfcbff991eb1
com.bakdata.kafka	streams-bootstrap-test	3.6.0		5c24f1a771dd304353cb05d81c49672d3e119ef9
com.bakdata.kafka	streams-bootstrap-test	3.6.1		90425e93ced1101ce1a40b8a748befbdf8e8cdec
com.bakdata.kafka	streams-bootstrap-test	4.0.0		cb8f32a63734f979872f84c768ca79ee43a367db
com.bakdata.kafka	streams-bootstrap-test	4.0.1		f8420b388eee81a9d8147302e5983eda0deb091b
com.bakdata.kafka	streams-bootstrap-test	4.1.0		6e6c4f3dc1aff607982488c554ffb92f99760627
com.bakdata.kafka	streams-bootstrap-test	4.1.1		28a7f28e30ba9b3448bde40daddd2822a39a8871
com.bakdata.kafka	streams-bootstrap-test	4.1.2		e27525d700d2d724f4f014765121a35f478bda70
com.bakdata.kafka	streams-bootstrap-test	4.1.3		1e40bc7f7e044ac00f5b6f06b5eb43cca8c7b615
com.clever-cloud.pulsar4s	pulsar4s-zio_2.13	2.10.0		8690e18089a3ba61bbfb7c040b8a82457a168529
com.clever-cloud.pulsar4s	pulsar4s-zio_2.13	2.11.0		029e7d5d581d3a55c49605f322575ebb6c92a59d
com.clever-cloud.pulsar4s	pulsar4s-zio_2.13	2.8.0		d5b2afead069f6c1c5df56bdd8279bac9d58e8cd
