co.amity.android	amity-api	5.35.0		N/A
com.badlogicgames.gdxpay	gdx-pay-server	1.3.1		0eabaa06bd8766cc1363b8101c1d5fba835ab620
com.badlogicgames.gdxpay	gdx-pay-server	1.3.1	library	0eabaa06bd8766cc1363b8101c1d5fba835ab620
com.badlogicgames.gdxpay	gdx-pay-server	1.3.2		0e211d4ce7042c8227732faab713f78a0efed60c
com.badlogicgames.gdxpay	gdx-pay-server	1.3.2	library	0e211d4ce7042c8227732faab713f78a0efed60c
com.badlogicgames.gdxpay	gdx-pay-server	1.3.3		90281029464c651bea27a3fbfadedbc9802d7c80
com.badlogicgames.gdxpay	gdx-pay-server	1.3.4		c899ea3ea914f489680ede369d8a87ad370af09c
com.badlogicgames.gdxpay	gdx-pay-server	1.3.5		4c3aa891b2d28e3f2105eee2e7f6e59b67fc3320
com.badlogicgames.gdxpay	gdx-pay-server	1.3.6		543b737a9d4293ab3cbaf7bb385597361f72c0d7
com.badlogicgames.gdxpay	gdx-pay-server	1.3.7		ddc1949e64868614fc45c30ad4ec49ddbf77c242
com.badlogicgames.gdxpay	gdx-pay-server	1.3.8		38616673a425b470a9b22850f58a0efec2034ba0
com.cedarsoft.commons.old.spring	configuration-spring	1.4.0		aba3599818b86c1039ad11e234c3fadbe03eced7
com.cedarsoft.commons.old.spring	configuration-spring	1.4.1		5bab02c56da5d9eb2f70b1098b1515d1b10d70b4
com.cedarsoft.commons.old.spring	configuration-spring	1.4.2		412fd753fdb7aa4d945558031320fa05a35c5bd4
com.cedarsoft.commons.old.spring	configuration-spring	1.4.3		5fb81f819fc1ceb31fa9e0405661e4c3775913b7
com.cedarsoft.commons.old.spring	configuration-spring	1.5.0		df57d3fd77d78e074e43174234f78bd790c83502
com.cedarsoft.commons.old.spring	configuration-spring	1.5.1		71e711650a926bc3ed6c9ad0a3452aa5e5d1bdb8
com.cedarsoft.commons.old.spring	configuration-spring	1.6.1		bad1f06bb34fc80f64d671a8c8054d0ec1d03490
com.cedarsoft.commons.old.spring	configuration-spring	1.6.2		ab86e1369adb18f8d67b49a2cd47a72698c21db8
com.cedarsoft.commons.old.spring	configuration-spring	1.6.3		77d5320c0a191a96ea49d6794a653ff93bd1dd4a
com.cedarsoft.commons.old.spring	configuration-spring	2.0.0		09249b588f9b73800da080db0c1478ace00a0bb1
com.cedarsoft.commons.old.spring	configuration-spring	2.0.1		697ca087c9b7b7bedb698c107397c938a2d7cbd0
com.cedarsoft.commons.old.spring	configuration-spring	2.0.2		dc9a9fffb283e3153cdeaa7e3f987ae750bfb552
com.cedarsoft.commons.old.spring	configuration-spring	2.0.3		3ca4a058d7fc99be366b9b103a1af9b1827aae0e
com.cedarsoft.commons.old.spring	configuration-spring	2.0.4		46674551c9f8b9a992fff2d4e36d81098576ac09
com.cedarsoft.commons.old.spring	configuration-spring	2.0.5		94bd4357e07dee68a961901d271c6c48a4fef0d1
com.cedarsoft.commons.old.spring	configuration-spring	2.0.6		f873fc014e3aec58866b91dd215e3cdfeab36557
com.cedarsoft.commons.old.spring	configuration-spring	3.0.0		f8d5e8b2168d78b029099f3413b7fe4920e3d066
com.cedarsoft.commons.old.spring	configuration-spring	3.0.1		921c391f11bbe106044bca779120f473d1e244c9
com.cedarsoft.commons.old.spring	configuration-spring	3.0.2		a6352c2ede3b05fca7e4ad0200a22689dc0b6d17
com.cedarsoft.commons.old.spring	configuration-spring	4.0.0		19e628e540b486e2563ad8107ff041a29cd79189
com.cedarsoft.commons.old.spring	configuration-spring	4.0.1		3263d6a132949eda958fc552c8b08aaa5e0d0049
com.chatroulette	neutron_2.12	0.0.1		ebc340631ba1ef03fa7423ff4a0399801734b11f
com.dimafeng	testcontainers-scala-yugabytedb_3	0.41.5		a0c00aa9bb89a6e9d1b2c7fe338ec488402dfb33
com.dimafeng	testcontainers-scala-yugabytedb_3	0.41.8		d9b57802b531043e3aac6e4cc3fbcba8ec1368bc
com.dimafeng	testcontainers-scala-yugabytedb_3	0.43.0		f924ab72e4db2da4101697cf9c205f056ba2e8d1
com.ensody.reactivestate	reactivestate-test-js	4.5.0		4b80ba8c668bbeaba341cc56540f81a7035bd93b
com.ensody.reactivestate	reactivestate-test-js	4.6.0		afd9a4f1cca88d502519a23d71e8e11e859e76ca
com.ensody.reactivestate	reactivestate-test-js	4.6.1		28b8ffa2260d72690b9745955f4264dd9c5d5e7f
com.ensody.reactivestate	reactivestate-test-js	4.6.2		9f157c973c5ec846b8e128441a86577d954e7481
com.ensody.reactivestate	reactivestate-test-js	4.7.0		672e4c31308e47536fae04375d6f148cbd477968
com.ensody.reactivestate	reactivestate-test-js	5.0.0		e0ccb1c88ae6728ef2ad5061bcc6fa6fd3bfe22d
com.ensody.reactivestate	reactivestate-test-js	5.0.1		49cde6568b3c9aea0b7cc7bc9c6a237908c59f62
com.ensody.reactivestate	reactivestate-test-js	5.0.2		f6c7e39451055c48990d0b45722c65f359d3d5c1
com.ensody.reactivestate	reactivestate-test-js	5.1.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.1.1		N/A
com.ensody.reactivestate	reactivestate-test-js	5.1.2		N/A
com.ensody.reactivestate	reactivestate-test-js	5.1.3		N/A
com.ensody.reactivestate	reactivestate-test-js	5.10.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.11.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.12.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.13.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.2.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.2.1		N/A
com.ensody.reactivestate	reactivestate-test-js	5.3.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.4.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.4.1		N/A
com.ensody.reactivestate	reactivestate-test-js	5.4.2		N/A
com.ensody.reactivestate	reactivestate-test-js	5.5.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.5.1		N/A
com.ensody.reactivestate	reactivestate-test-js	5.5.2		N/A
com.ensody.reactivestate	reactivestate-test-js	5.5.3		N/A
com.ensody.reactivestate	reactivestate-test-js	5.5.4		N/A
com.ensody.reactivestate	reactivestate-test-js	5.5.5		N/A
com.ensody.reactivestate	reactivestate-test-js	5.5.6		N/A
com.ensody.reactivestate	reactivestate-test-js	5.5.7		N/A
com.ensody.reactivestate	reactivestate-test-js	5.6.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.7.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.8.0		N/A
com.ensody.reactivestate	reactivestate-test-js	5.8.1		N/A
com.ensody.reactivestate	reactivestate-test-js	5.9.0		N/A
com.eygraber	vice-nav-wasm-js	0.0.5		N/A
com.eygraber	vice-nav-wasm-js	0.9.0		N/A
com.eygraber	vice-nav-wasm-js	0.9.1		N/A
com.eygraber	vice-nav-wasm-js	0.9.2		N/A
com.eygraber	vice-nav-wasm-js	0.9.3		N/A
com.eygraber	vice-nav-wasm-js	0.9.4		N/A
com.eygraber	vice-nav-wasm-js	0.9.5		N/A
com.eygraber	vice-nav-wasm-js	0.9.6		N/A
com.eygraber	vice-nav-wasm-js	0.9.7		N/A
com.eygraber	vice-nav-wasm-js	0.9.8		N/A
com.eygraber	vice-nav-wasm-js	0.9.9		N/A
com.github.jessemull	microflex-integer	1.0.0		d1f7dd20d3a1612fe190bab46a142c0a161a7554
com.github.jessemull	microflex-integer	1.0.1		78a028314f499fd85ddd7b4b08b5b385181cc9ba
com.github.keyboardDrummer	editorparser_sjs1_2.13	0.1.7		fcc50ae339841bf8e018e99777fc1e239f40581e
com.github.keyboardDrummer	editorparser_sjs1_2.13	0.1.8		eaf7b8dc0dfa5f42fbe4d4ce36cb403feb3aac0c
com.github.keyboardDrummer	editorparser_sjs1_2.13	0.1.9		e22679d8204f89411fcb35f3c864e581273a9aa8
com.github.ksoichiro	simplealertdialog-samples-demos	1.1.0		dd4e640be59fffe150467f3cb167c057308a0a3a
com.github.ksoichiro	simplealertdialog-samples-demos	1.1.1		319a5bebf426637af9e03704a812c94a69a8d22c
com.github.ksoichiro	simplealertdialog-samples-demos	1.1.2		5fe893eeb3e4d8d0e16edef6124b0cfcb1c8c11f
com.github.leeyazhou	common-maven-parent	1.0.1.RELEASE		N/A
com.github.leeyazhou	common-maven-parent	2		N/A
com.github.leeyazhou	common-maven-parent	3		N/A
com.github.leeyazhou	common-maven-parent	4		N/A
com.github.polydome	analog-clock	1.0.0		N/A
com.github.potix2	spark-google-spreadsheets_2.11	0.1.1		55036c727099a2f2d600bc605bebadd675938cb7
com.github.potix2	spark-google-spreadsheets_2.11	0.2.0		18088389bcbf12b294a3c5ee09868a828ff53df8
com.github.potix2	spark-google-spreadsheets_2.11	0.3.0		10cf6621fa5f63097fc026772d1e542894c4936b
com.github.potix2	spark-google-spreadsheets_2.11	0.3.1		d43598b8876a86a9e936e6087b8b62a9bb5e0f8b
com.github.potix2	spark-google-spreadsheets_2.11	0.4.0		4e8ac201d760588769e4cccf8229274f13d9fe14
com.github.potix2	spark-google-spreadsheets_2.11	0.5.0		5c08ec08ba609b7b642e9cc4e1f8fea804c75b02
com.github.potix2	spark-google-spreadsheets_2.11	0.6.0		30f04bf5faa00e2d469b33b2cdc73ed93e15727e
com.github.potix2	spark-google-spreadsheets_2.11	0.6.1		7e9e59952f55b898fcb9b1bc6539dc57b5cd3b38
com.github.potix2	spark-google-spreadsheets_2.11	0.6.2		3db4f1b5a3a1e4abece55cfa6bcec7f05489e144
com.github.potix2	spark-google-spreadsheets_2.11	0.6.3		177f7490324e0a6d1f177588f8599c6fff7c8d90
com.github.tommyettinger	gand	0.0.1		c4e1042d422a4a46c6881f72cb318eeaeb69bafb
com.github.tommyettinger	gand	0.1.0		61f760cf16746e5fb7d60b9fcb7ed3122bce94e8
com.github.tommyettinger	gand	0.1.1		e9d0a3e34fedbcc956e03488caff662305c63840
com.github.tommyettinger	gand	0.2.0		d48cf53e2f93200275c06e509cdd1bcbc5defcb8
com.github.tommyettinger	gand	0.2.1		ff779b2e236426f61019295bdfcaf8da6ce8ac8e
com.github.tommyettinger	gand	0.3.0		5431f4fa55c6f2a105b4dc87088e7adf86cd1b67
com.github.tommyettinger	gand	0.3.1		ec285862e9aed4056157f0bfe200f6be73e16ddd
com.github.tommyettinger	gand	0.3.2		6efdb3d25b7cadd0093beedc0bc95eb985c5f0ab
com.github.tommyettinger	gand	0.3.3		946d406f34c83a89d93ca09698300d8b65caa03c
com.github.virusdave	zio-test-magnolia_sjs1_2.13	1.0.5b		cf3823b1580baccd7147f1e83bfb4027219f6d58
com.hexagontk.serialization	serialization_jackson_yaml	4.0.0		83f34f3a7b2e362b642f55589148c4c45d2e2d93
com.hexagontk.serialization	serialization_jackson_yaml	4.0.0-B1		fd0b42246a85acebbd107e4b54a4ee6f94eea85c
com.hexagontk.serialization	serialization_jackson_yaml	4.0.0-B2		c64132d9f41a077fe76434e4edb8d4b08d669ed7
com.hexagontk.serialization	serialization_jackson_yaml	4.0.0-B3		dd270543a986408c10fd75c8bfa49af0b1366d5a
com.hexagontk.serialization	serialization_jackson_yaml	4.0.0-B4		66045e36cfc8d3b167176c7d748ed31544dbc3ec
com.hexagontk.serialization	serialization_jackson_yaml	4.0.0-B5		de0cdb997f05be4f4f599f6d2a8e7dfe71f64900
com.hexagontk.serialization	serialization_jackson_yaml	4.0.1		b11aa3293860f128f8743caa549d232c70b838fd
com.hexagontk.serialization	serialization_jackson_yaml	4.0.2		084281bdb120a5ea37b449c2a8852c4fc47bd06d
com.hexagontk.serialization	serialization_jackson_yaml	4.0.3		719234bceee29f1dc64488e036a06715de71292d
com.hexagontk.serialization	serialization_jackson_yaml	4.0.4		f735741841714bac4969c9aa4b3b799e6540bac1
com.hexagontk.serialization	serialization_jackson_yaml	4.1.0		49f3674096a75a3db8e554c5983c7ec41d514a0c
com.hexagontk.serialization	serialization_jackson_yaml	4.1.1		944c101a600505dea7a23a386656b4489ff0f0b7
com.itcoon.boot	common-boot-swagger2	0.0.3		c89fc8443af5568ef171bc1d59639ae7ec99548f
com.itcoon.boot	common-boot-swagger2	0.0.4		987721a6dbe6c3ee37bb7a8b55678b22e767b65f
com.itcoon.boot	common-boot-swagger2	0.0.5		7b5de2963de70168705fdb2fded5a11fdf4a2741
com.itcoon.boot	common-boot-swagger2	0.0.6		d8a90a809800b18a4766276050c0fdb9ea7a5f58
com.itcoon.boot	common-boot-swagger2	0.0.7		dc9d959fc1d8dd5fa937b94b420ded252fe1b98f
com.itcoon.boot	common-boot-swagger2	0.0.8		a840483519eb22f13711bd2b6bf94b7b5d6c7531
com.itcoon.boot	common-boot-swagger2	1.1.0		072c7f10f340401979b52bdd00d3befc744f2d93
com.itcoon.boot	common-boot-swagger2	1.3.0		a25c4ad38abfea5ea7b3070bb92c10aa5f2d3438
com.jamshedalamqaderi.ktransport	ktransport-jvm	0.0.1-dev-11		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	0.0.1-dev-12		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	0.0.1-dev-18		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	0.0.1-dev-19		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	0.0.1-dev-2		b35d4c57c75bbd11f958786e47f4539c2a54ad13
com.jamshedalamqaderi.ktransport	ktransport-jvm	0.0.1-dev-20		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	0.0.1-dev-6		b35d4c57c75bbd11f958786e47f4539c2a54ad13
com.jamshedalamqaderi.ktransport	ktransport-jvm	0.0.1-dev-7		b35d4c57c75bbd11f958786e47f4539c2a54ad13
com.jamshedalamqaderi.ktransport	ktransport-jvm	0.0.1-dev-9		b35d4c57c75bbd11f958786e47f4539c2a54ad13
com.jamshedalamqaderi.ktransport	ktransport-jvm	1.0.0		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	1.0.1		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	1.0.3		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	1.0.5-dev-2		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	1.0.6		0fd5b41aa15c655715d46126f10491fec7e215bd
com.jamshedalamqaderi.ktransport	ktransport-jvm	v0.0.1-dev-1		4449ba2756b3ba55a886bc0fad17760cb36d2850
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.1		ccb2af5fa947eec8d44d724d0a0d0c24c8e0cf07
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.10		a5f6e33e364986e3795ad5e97db95acf97b99961
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.11		592421d968b647a0e5b964b5e84b7ee743d12e39
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.12		297078da2b76655a0e30bb3d5b8c704fe30ff87a
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.13		f1b1c68d78602b8a841e68cf3ac7b0727c15d337
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.14		006a5d79c2c343732a96e1a9d067ea7a744d9c3b
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.15		46718336ec548fd20044397ef48b98f50a63d152
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.16		9fff2d4c9a4660ffacdcde4099df86912ab52f8d
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.17		fb62795c171566df6ded085f3fd9ed8b6800ba72
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.18		dcec2700a64bc02baa59ae91fdd5b6540b925908
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.19		448b4b677d9c2eb3c1d30cb1f28cedaeb57a796f
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.2		165e814aa70e9257de7d059a47a0e8526473daa5
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.20		878e1c1d26f6638ed9ef2459d44362c3c3399adb
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.24		0dca2115fc3ce72327ea64e748f45d39855fd662
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.25		b71c6091ee79c1dde98f1cd29532eaf42944236a
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.26		2b008f952364bc98679abbfb7a7f98a997511640
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.27		384514ca7e31c5589911f84a31d0bd624e3caf1e
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.28		c74695d7486a58cfcd569f87cefcae5ccfcbeaef
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.29		5946ff7c424521c0dbd942a26429e09caea29096
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.3		582d90423b1a0368c1c69cc5fa50ac949e567c6f
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.30		2e3064709955fac911b40870f7081a58924e7aff
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.34		7c142ae604863b691821d43913ea45fb22d19cef
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.35		e3d011cb618a728802800d1e71ee2c72818181bd
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.35-java11		7a816b3d1176da845a134073674794fc2eb03dab
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.36		c1c1ad126b1b074e5f479a9619839a68ac110b24
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.37		b0fbb5787fafe4780700f0bba4269a1bb51db526
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.37-java11		a2f6dc76e85c115f4d40e6bd218818eed7e35eed
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.38		c684a2e689bdabb213c85ce3ef170358100031ae
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.38-java11		a7bf2eef250236c18f093ba3e30aa623aec7bb8f
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.39		a63a87f6932405001ebe7854c45048a44aa7e711
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.39-java11		1a4fda5d81b252772ab18c337090585472b79fe8
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.4		96e14903f4ac389e69d01dc2878175a3dc0dfe20
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.40		3dae3d439cf9eaec888d4a728d6b56cbb525104d
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.41		6e3480d13eb804abb87cb6a8ed6560229ec0a52a
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.41-java11		0c745d5a478e06676698dd06583c63ba56d2e5ab
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.42		05f57a8a93de816179c678cc495c6b9ff7ce1963
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.43		d009d06c455d69ad8b31a23cdbf28c94cd7a3493
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.44		3b351aa35d47e676b6b0ebdef474e50bd1ec8af1
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.44-java11		5ea3788d0173486874730d30a57d66cfeca3fa41
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.45		c13d0977d0ef316943c17085355524e7eab46fd8
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.45-java11		cae8ead9f1c80403aa01bd243b006f6543242e1e
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.46		25f59aa13784c66a191b73daee134032d8d1cec4
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.46-java11		6fb5441a43b32b0760591f5b0f61e80ca77ba685
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.47		d87eab136d18fec1ea057a5da8abe86bc1983c84
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.47-java11		150325c7a40204682dadbef38851a890e7c98a5d
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.5		75e35d251904cb053e7e1fd0e6706cfe1965c9b6
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.6		f8a086a50d84bb62b95c2b7ba5781cd7b4173ed0
com.mobius-software.protocols.ss7.tcapAnsi	tcap-ansi-impl	10.0.7		99aed86eaa587f9cda93b6d07b8e009e7ac7871b
