ch.cern.spark	spark-token-provider-kafka-0-10_2.12	3.0.1		c2417422c31b183ab9544f65630b2ef4aaeeb12a
org.actframework	act-maven-archetypes	1.8.20.1		N/A
org.actframework	act-maven-archetypes	1.8.21.0		N/A
org.actframework	act-maven-archetypes	1.8.22.0		N/A
org.actframework	act-maven-archetypes	1.8.23.0		N/A
org.actframework	act-maven-archetypes	1.8.24.0		N/A
org.actframework	act-maven-archetypes	1.8.24.1		N/A
org.actframework	act-maven-archetypes	1.8.25.0		N/A
org.actframework	act-maven-archetypes	1.8.26.0		N/A
org.actframework	act-maven-archetypes	1.8.27.0		N/A
org.actframework	act-maven-archetypes	1.8.28.0		N/A
org.actframework	act-maven-archetypes	1.8.29.0		N/A
org.actframework	act-maven-archetypes	1.8.30.0		N/A
org.actframework	act-maven-archetypes	1.8.30.1		N/A
org.actframework	act-maven-archetypes	1.8.31.0		N/A
org.actframework	act-maven-archetypes	1.8.32.0		N/A
org.actframework	act-maven-archetypes	1.8.33.0		N/A
org.actframework	act-maven-archetypes	1.8.5.0		N/A
org.actframework	act-maven-archetypes	1.8.5.0-BETA-1		N/A
org.actframework	act-maven-archetypes	1.8.5.0-BETA-2		N/A
org.actframework	act-maven-archetypes	1.8.5.1		N/A
org.actframework	act-maven-archetypes	1.8.6.0		N/A
org.actframework	act-maven-archetypes	1.8.6.1		N/A
org.actframework	act-maven-archetypes	1.8.7.0		N/A
org.actframework	act-maven-archetypes	1.8.7.1		N/A
org.actframework	act-maven-archetypes	1.8.7.2		N/A
org.actframework	act-maven-archetypes	1.8.7.3		N/A
org.actframework	act-maven-archetypes	1.8.8.0		N/A
org.actframework	act-maven-archetypes	1.8.8.1		N/A
org.actframework	act-maven-archetypes	1.8.8.10		N/A
org.actframework	act-maven-archetypes	1.8.8.2		N/A
org.actframework	act-maven-archetypes	1.8.8.3		N/A
org.actframework	act-maven-archetypes	1.8.8.4		N/A
org.actframework	act-maven-archetypes	1.8.8.5		N/A
org.actframework	act-maven-archetypes	1.8.8.6		N/A
org.actframework	act-maven-archetypes	1.8.8.7		N/A
org.actframework	act-maven-archetypes	1.8.8.8		N/A
org.actframework	act-maven-archetypes	1.8.8.9		N/A
org.actframework	act-maven-archetypes	1.9.0.0		N/A
org.actframework	act-maven-archetypes	1.9.0.1		N/A
org.actframework	act-maven-archetypes	1.9.0.2		N/A
org.actframework	act-maven-archetypes	1.9.1.0		N/A
org.actframework	act-maven-archetypes	1.9.2.0		N/A
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20240905		495d2debd0c769e0cf3b27c97b74384cb8d8f4fb
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20240909		c5f2f2a4e2c54cbadf29b9d2be34f9f463d0152e
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20240911		416606d0adf4a5d1d4faed32b8fb82b8f2c673b7
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20240912		58edcf6cee4e43fab40f3ee5a7e61adcba3b1204
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20240916		3f11bb658a74d56551283459c5ea372c7569eac6
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20240923		b5042b953539ad41b8edb1c56179e5c971a2c971
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20240925		601a9d6a06750af724d1132ee73c1569b1ced3ce
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20240930		a164621aa28ff4e27f4d233f3dc90cd84be3a24b
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20241012		554dffbbe4484f2f5525db2f5cd64d2763f6fbc1
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20241016		d5cee3901feae01c17cfecb8274bd32aa6ac4c84
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20241022		acf89edfd4ccae015eeb8c050af4bbd478b640fc
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20241107		94d0255c56549bfe455c0d70b9f6603f369a7f6a
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20241120		e736f7c6c95121bd8e0c8f4ab06d735ac2f3bef5
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250101		8b0cb2011e6b561cfa4bb3e0eb1ef71f6aa6ed1e
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250107		9d7a9529ebf9d4fa7603779f94dafaf818c05af9
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250108		43e331a0d0fa77a89e032d283168a1d98acef5ad
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250110		96970ab59eec3f00d0c24802bba87db5cb6b3d19
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250212		48163b4715b47cdee99448c766e065ab1d2059e6
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250225		2e443ca2345b8ff15c20636a03acefbdef20388b
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250312		dfc8f7a1639d7e5dd67191e36db93b14d36f3016
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250401		d14e0d11483de7b6c3ca8b78ef51f96d13880620
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250404		94feeb139b9051c0043ef7faeeccf2fd7d4fe4e2
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-20250502		1d36f33c844210736bd83098f5b12b3d5594093b
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk11-20240911		8170ae8bcfec9956d546631461a867375acf1070
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk11-20240912		f0bcf3017ad2e76ad2f49a3731178ec2fd552141
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk11-20241015		ca14a00cb4714f1b30758f29a9b469822e3e080f
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk11-20241022		7c069455151577fa003e03483c2cf24642eb0d81
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk11-20241231		9a114bf9d0ce828ebf33b7cdcafcbb28bd4f789c
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk11-20250102		901813bda437bd8c687e42d5a0d96761ed63dada
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk11-20250108		4522c318031684d7ac069d8c69f65df3b5b0bb1a
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk11-20250312		aac1fcb8e343a675a88a0d2348e1e17a7a0c10e8
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk11-20250404		b55ff42ade8e8663ff7abc0bc1fb7b1341d0d20e
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20240911		eedaab74eb678d6632952b6af78935839bba02e2
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20240912		077884fdfe2c24b227350febcfb0d44170feb3fc
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20240920		e3152f9f349e17626ffaa6b6945226db2b8f901c
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20240925		8dd880f1db4734aeee6974a5548bfef3445b325f
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20240930		9c8062172a415f34e25236d21215fbeacf20671c
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20241015		2d2c625cf3c806dd005b284c11d41d4e25f64476
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20241125		a08eef94cc3e5867fd5a032551c55c04dc26bc2a
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20241231		23843cdc9eca40178c3a0a35d75f1096782f0b8b
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20250101		79a665a46180967143e403787a4dd51e177c0918
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20250102		f836fbebdff7d85149d89082e8d00df522b08f29
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20250108		927a0c333df3af529b114264aa4a14e63c1a574f
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20250109		9e044546536943a38909744d629fb70ba86a0953
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20250212		4e9ad8f3001e9926d051fe0e47be211ebdbdcccf
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20250312		b40e619f43026adabe446a580ba45cccb7bf8ed8
